"","CE206_RS01770","CE206_RS01775","CE206_RS09240","CE206_RS09245","CE206_RS09250","CE206_RS15955","CE206_RS15960","CE206_RS17185","CE206_RS17190","CE206_RS17195","CE206_RS17200","CE206_RS20240","CE206_RS23870","CE206_RS25135","CE206_RS25140","CE206_RS25145","CE206_RS25150","CE206_RS25155"
"ACHX_As_1 (GE) - TPM",-0.380623116471016,1.08541598345839,-0.862905854669738,-0.873413034349549,-0.794270171769368,-0.193495025681763,0.076659018883273,-0.341879711156094,-0.963152932538582,-0.0257758027865157,-0.164012037581372,-0.0288508322960842,0.233684874584037,-1.21811374182663,-0.476066461184103,-0.421809400491103,-0.477496243023737,-0.968701631211982
"ACHX_As_2 (GE) - TPM",-0.253471236559479,0.466466195037724,-0.625648902597707,0.0256326401998979,-0.544629620677036,0.0422002092518885,-0.0356170516004648,0.457276804462801,-0.615957877665064,0.102727114626732,0.135098643042648,-0.0685583778389333,0.39502750610813,-0.935902331230783,-0.307744047131206,-0.358860664336494,-0.338807322862286,0.476108427034447
"ACHX_As_3 (GE) - TPM",-0.032278269664967,-0.147592032324472,-0.690369586344317,-0.660355927324671,-0.336858361259431,-0.38267268650668,0.332236576459078,-0.0244744690702598,-0.46588312440353,-0.212556165337991,0.129734734723472,0.42516380050913,-0.0501736177697234,-0.921371443016553,-0.481178984104974,-0.607433647976243,-0.701874589706162,-0.689236198125158
"ACHX_Bs_1 (GE) - TPM",2.85451641040503,2.53652822117573,2.56228044523797,2.67021045992875,2.8986782513837,2.67520974420352,2.05951572514879,2.83371802272572,1.76088027534043,2.6305210653194,1.95490349561295,1.64825614308112,2.9795943704208,2.17641489155131,2.95024682224917,3.26793881585019,2.77205939163788,1.9814166398357
"ACHX_Bs_2 (GE) - TPM",3.41383430233197,3.30499131564473,2.63838076735804,3.00158677214076,2.89082122114195,1.44036554063115,2.29677250838834,2.81259282842168,3.06453040091225,3.0186976579523,2.04615883853826,2.52143081465248,3.17774119357153,2.25284595121366,3.41600598753756,3.07701882267965,2.86839765969446,1.91299278458142
"ACHX_Bs_3 (GE) - TPM",2.71460286794075,2.3824289205996,2.45329746976898,2.05115870296728,2.68662489897395,1.6647056893245,1.70024819128225,2.92837209948335,2.45643855492242,1.97410098136935,3.55661480043091,2.31712468144016,2.89514615240852,2.12767981841223,2.3916512186299,2.93623271984005,3.10124584392577,2.29584812256292
"ACHX_Ctrl_1 (GE) - TPM",-0.0874899813719489,-0.148120668252479,-0.466133281844931,-0.449648469851738,-0.456588836497148,-0.898279316371359,-0.724265359124559,-0.667256093832283,-0.93359800517669,-0.420329248921322,-0.691186410777133,-0.503168263359932,-0.0349907764328659,-0.86194350043819,-0.531487344986614,-0.449689091637788,-0.454194834855747,-0.534928659068134
"ACHX_Ctrl_2 (GE) - TPM",-0.241763603966982,0.029732105324836,-0.10736469409513,-0.55326042087826,-0.360635225842439,0.103017698551361,-0.113670035622269,-0.429374909725948,-0.508101314561136,-0.540201013930911,-0.386964856932644,-0.477107888391258,0.070576850070775,-0.519305936354181,-0.507921961391824,-0.327649302496777,-0.461888119504684,-0.437470270497363
"ACHX_Ctrl_3 (GE) - TPM",-0.22247379645559,-0.287183717617581,-0.283153793365042,-0.359967478624549,-0.237023646829873,0.231751056928943,-0.028087589753649,-0.62160750290607,-0.575463351490005,-0.0220109011427491,-0.503525966818557,0.924244359485833,0.0867214369887202,-0.480693010599344,-0.299636812163308,-0.603298701198203,-0.564386970282054,0.215957235126764
"ACHX_Li_1 (GE) - TPM",0.144502267239552,-0.225041194444743,-0.277346435280403,-0.428603900396282,-0.5791714193022,1.27498083276645,-0.345737282728987,-0.311334472846754,-0.758026568510652,0.669965249196796,0.522707315489634,-0.915503621652978,-0.289208545549701,1.23383591608666,0.450381968817548,0.146179366103024,0.39813521047713,0.815488786053908
