"","CE206_RS00095","CE206_RS00115","CE206_RS00410","CE206_RS00565","CE206_RS00625","CE206_RS00755","CE206_RS00925","CE206_RS00990","CE206_RS01120","CE206_RS01405","CE206_RS01420","CE206_RS01695","CE206_RS01865","CE206_RS01890","CE206_RS01920","CE206_RS02315","CE206_RS02660","CE206_RS02690","CE206_RS02715","CE206_RS03130","CE206_RS03885","CE206_RS04080","CE206_RS04160","CE206_RS04265","CE206_RS04485","CE206_RS04720","CE206_RS04835","CE206_RS04905","CE206_RS05410","CE206_RS05430","CE206_RS05590","CE206_RS05620","CE206_RS05720","CE206_RS05890","CE206_RS05965","CE206_RS06305","CE206_RS06365","CE206_RS06370","CE206_RS06375","CE206_RS06560","CE206_RS07080","CE206_RS07330","CE206_RS08220","CE206_RS08230","CE206_RS08395","CE206_RS08400","CE206_RS08510","CE206_RS08640","CE206_RS08645","CE206_RS08830","CE206_RS09035","CE206_RS09670","CE206_RS09685","CE206_RS09705","CE206_RS09710","CE206_RS09775","CE206_RS09960","CE206_RS10240","CE206_RS10440","CE206_RS10510","CE206_RS10590","CE206_RS10615","CE206_RS11240","CE206_RS11435","CE206_RS11865","CE206_RS12010","CE206_RS12015","CE206_RS12155","CE206_RS12355","CE206_RS12360","CE206_RS13145","CE206_RS13210","CE206_RS14225","CE206_RS14365","CE206_RS14370","CE206_RS14585","CE206_RS14810","CE206_RS14960","CE206_RS15260","CE206_RS16005","CE206_RS16100","CE206_RS16420","CE206_RS16615","CE206_RS16705","CE206_RS16970","CE206_RS17010","CE206_RS17230","CE206_RS17270","CE206_RS17670","CE206_RS18145","CE206_RS18165","CE206_RS18260","CE206_RS18275","CE206_RS18395","CE206_RS18765","CE206_RS19080","CE206_RS19105","CE206_RS20040","CE206_RS20185","CE206_RS20390","CE206_RS20420","CE206_RS21160","CE206_RS21395","CE206_RS21415","CE206_RS22045","CE206_RS22240","CE206_RS23755","CE206_RS23810","CE206_RS24090","CE206_RS24220","CE206_RS24225","CE206_RS24265","CE206_RS24570","CE206_RS24615","CE206_RS25130","CE206_RS25235","CE206_RS25385","CE206_RS25490","CE206_RS25615","CE206_RS25690","CE206_RS26200","CE206_RS26220","CE206_RS26235","CE206_RS26905","CE206_RS27130","CE206_RS27360","CE206_RS27450","CE206_RS27590","CE206_RS27630","CE206_RS27760","CE206_RS27830","CE206_RS28010","CE206_RS28240","CE206_RS28245","CE206_RS28415"
"ACHX_As_1 (GE) - TPM",-1.15399759394716,-1.54863341851194,-0.956591256566682,-0.639368483696186,-1.20280159606218,-0.213685107948899,-1.08742906877754,-0.296349756382199,-0.410228184668333,-1.09315729824631,-0.912980047325111,-0.628571541202992,-0.355897962300503,-0.0276604681406201,-0.775964694332875,-1.18351413714406,-1.01087782360871,-0.109848541279208,-0.156346108869346,-1.54719556312894,-0.837994037059468,-0.595871018493091,-0.0687947522946951,-0.683957987953234,-0.837069322028128,-0.636164472711292,-0.344223676365888,0.816763313132317,-0.465360401187821,-0.435173992599086,-0.847978078453981,0.456493862470258,0.0513216421667348,-0.953671034722937,-0.326475150100897,-0.279256685892106,-0.27874019271075,-0.731121500010207,-0.323758968784252,-0.0283750927762667,-0.650840151772726,-1.37915483244891,-0.762939938103164,-0.949043723791335,-0.328662911204848,0.768687621841187,-0.95116480811795,-0.964209014982396,-0.399714492389632,0.498582020883345,-0.588965958696833,-0.595179622555748,-1.05087148430338,-0.572156723930203,-0.566919601868826,0.362615684014336,-0.0771409061504591,-0.646405410178282,1.47436829819267,0.631166838627999,0.125340498651259,-0.432737070302833,-0.994133093746923,-1.23934645726465,0.606205559066297,2.25644349131554,1.38977415337739,-0.743124407401138,-0.724413550473499,-0.906753149113048,-1.0889316304656,-0.521034592715659,-0.387104892419812,0.814565436710678,0.470281257105832,-0.847135099301934,0.196505881986117,-0.678328819402283,-0.385581547810871,-0.65235308091016,-0.83141471865167,1.6003987975467,-0.342632765727094,-0.231881434576007,0.740152788558848,-0.189190709310915,-0.515060269904308,-0.780552179188529,-0.547909593863134,0.00181845913027259,-0.226955251807136,-1.22556238211493,-0.877822444888708,-0.823793730147963,0.559298526428,-0.834816560378998,-0.0727113099264551,-0.967058031150894,-0.70489339175874,-0.987721576350393,-0.299628231420906,-1.05234664503548,-0.152949422033902,-0.977491121507954,-0.850662526588034,0.483897303260688,-0.95274052470724,-0.748184988469145,-0.679474037415794,-0.989232004054821,-0.515345292396215,-0.166656492673361,0.113301640881594,0.325196968561989,-1.30203031213235,-0.415494195968125,-0.903632132201758,-0.434145695665874,-0.55221565579247,-0.906637314259066,-1.08026458675783,-0.594599209799263,-0.0761642742576759,1.46133887930824,-0.207228773864516,-0.841651740398633,-0.726972341978268,-1.1337766636583,-0.873550384099771,-0.240926090698814,1.43575992135331,-1.03384578695277,-0.150840048864755,-0.882785697098494,-1.63145656252203
"ACHX_As_2 (GE) - TPM",-1.25007239427906,-1.31863753340466,0.00973715456670136,1.7869228851028,0.146515295878837,0.785109474031295,-0.499651854057445,0.218386338660592,0.463618072034054,0.487616510194944,0.163421799239566,0.807041316180865,0.137973086953047,0.852074418761693,-0.0543738233395116,-0.131058155559609,-0.463044273975841,-0.0755496376038937,-0.621491088756761,-0.098724549720797,0.121679369818469,0.3560579849578,2.11026248049476,-0.134713824507132,0.515117650153069,1.62973128373459,-0.434234183999583,0.724973050289805,-0.471314815239078,-0.115318172208458,-0.0610268445809406,0.57551794543392,1.36688046827541,0.715989995610962,0.627452338474438,1.24318232804969,-0.347846789527951,0.729753952017133,0.237021028104899,0.625549703819847,-0.229559321158944,0.625836609166928,1.18612564300735,0.0643808837228892,0.842284569196596,1.84714781700075,0.0572724032923159,0.10727569317227,0.0605172578049055,1.02005793271653,-0.397806949407015,0.223307502117753,0.135411390741776,1.02432647803732,-0.27225336099235,-0.0955806602013652,-0.230400658076977,-0.255895592823404,2.28651931025535,4.24867045692848,0.744239139694734,-0.742459701083561,0.23315421705551,0.026997463737263,-0.411277769211431,-0.196563310697986,1.79034392403403,-0.710584220356579,-0.942219444773217,0.734929843881238,-0.518593389207825,0.558132145972828,-0.566331468275282,-1.18131154856499,0.445403971561787,0.00973797052861177,0.774873039463678,-1.32789188822096,1.27282787621021,0.527332330540628,-0.23830313495306,-1.22340327631795,1.91611093946426,2.21592548695812,0.160039609388843,1.72820796145258,0.19289949925083,0.330280515172566,-1.98075989505493,0.943755483956175,3.0672526970626,-1.06226963175972,-0.836642641479379,-0.0260780655929567,0.286910773266578,0.109698591348409,2.30285276034266,-0.773955008031294,0.324667208491798,-0.115317732728435,0.535269114205577,0.289896720359154,-0.171680094860212,-0.297431808029226,0.583933262407998,0.928849876446517,0.0559756052034687,0.447159876539152,-0.25621157414917,0.0799321028418835,-0.132038562637542,0.239040465183974,-1.07306095589397,-0.434477953490732,-0.201945441700455,0.797368933615492,-0.630966618037132,0.869958076440866,-0.827913119972171,0.0109632669538762,-0.0533727627592245,0.793071495599878,0.845690659313775,1.45547520344109,0.133592366857586,1.57353763120148,-0.463168525705479,0.446283778104642,0.2472602736285,0.964690865822729,1.2610481846459,-0.0778766794268558,-0.280704383161593,-0.92940700711701,0.0816859916275762
"ACHX_As_3 (GE) - TPM",-1.40618911366027,-0.769078833761554,0.20307739069613,1.14171910074323,-0.224081276198978,0.221331005570566,-0.270139425652858,-0.124948061041549,0.402762131494987,1.52944844847065,0.222320344877703,0.401222161611154,2.03082310688485,0.392086323699892,0.298247589349547,0.129453124305697,-0.116985398627246,-0.638147905759866,-0.381810368464131,-0.491911898315975,0.466129176950704,0.483489538820414,1.68742994576257,0.491805363150984,1.24145123686181,1.44675993568866,-0.397633779669614,0.587752577501077,-0.0125907421704684,0.0861857656223493,0.138511813823864,-0.502250291828178,2.30839154577933,0.850568420983709,2.83922839599904,-0.557546547004241,-0.370040552405737,2.10814564298428,-0.142787482805792,0.693546956124631,0.187872192806332,0.562360071345024,2.09289147532707,-0.0369527367645459,0.587120938747363,0.5975105740217,-0.348998983258663,-0.206626506677136,0.11087115976377,0.0420046945928542,-0.622394996901262,0.037093168172035,-0.609457607910893,-0.292310590865172,0.0749765031721676,-0.307386177809786,-0.739096100499322,-0.197827475624872,2.06476130248201,0.641472783687812,0.230373681881546,-0.689475783571386,-0.374400668493721,1.59783868376423,-0.276036279299309,-0.109808853047253,-0.315106716044387,-0.277677084379044,-0.498436150793636,1.2767294877448,0.363001063275609,-0.647884519177544,-0.236038111978051,-0.0218908309061817,3.01794641816094,0.313205822122289,0.398429429840051,-0.435350345769437,2.37213268890646,0.467799785619119,0.651388032190212,-1.22340327631795,-0.115838614954134,-0.400854394590106,0.181813365132401,0.279464180893208,-0.18247650013391,-0.672053946939856,0.68498563003791,1.27078286118219,1.9813291488003,-0.0663967521427946,-0.476808576188754,0.00477660242877583,0.791242836874974,-0.098978413211726,0.531015323255025,-0.512693558262484,0.512607632007405,0.10772846522845,1.4522687198978,1.21620325869852,-0.0985767497424029,0.244608918458033,0.872897865194846,-0.0526184453287497,0.0657168366082299,1.2668636832825,-0.0320599356437246,-0.0121646775176537,-0.265172988907343,-0.0647684181574595,1.01975822335989,-0.655830025570029,-0.328129750493749,-0.0721597132934546,-0.282455464218113,1.02116757769694,-0.168448358152528,-0.454286643803937,-0.123555324948272,0.964391285964432,0.829425109200695,0.417558468034989,1.24231501977137,1.60167573053831,-0.250981906793953,0.5393393992043,0.313875203080831,0.65561641908721,0.565892951083925,0.190923338823024,1.75775773452144,-0.326850390089001,-0.873295701132094
"ACHX_Bs_1 (GE) - TPM",-0.0915862927761878,-0.406474398024193,-1.00388284222358,-0.865839649586045,-0.125715820685773,-0.537771191975201,-0.625854020171516,-1.11848531978716,-0.687916935901124,-1.01665231332627,-0.998116669313554,-0.933076560110657,-0.804137539930756,-0.427453483052391,-0.648996406635307,-0.904445158670419,-0.754769409346902,0.0307789520384393,-0.865817241666873,-0.290125303350689,-0.616477203359152,-0.322493014862553,-0.390423677341405,-0.966043779633098,-0.226872169198461,-0.0340317487961038,-1.05054502031564,-0.337892713679312,-0.644753389596603,-0.377728344530777,-0.811218442986914,0.239808504376755,-0.366889506345852,0.0829841508779517,-0.819899528679753,0.251813873356022,0.26037754062573,-0.179664487430659,-1.20340428093298,0.423268843207503,-0.240788207155311,-1.14175737401308,-0.761037085298012,-0.971677519079858,-0.204354981919517,-0.116553457633851,-0.826689209847527,-0.897078436072156,-0.875015668554845,-0.860181791473441,-0.81994868149505,-0.864188894343829,-0.741626654696935,-0.124471207902379,-0.706509130987187,0.00273132092965043,-0.255545507870647,-0.82163194162006,-0.396098141952747,-0.651242312983461,-0.997242326721665,1.98593754597453,-0.8957682701172,-0.81654816355698,0.52409411878245,-0.994230558248091,-1.06963920273333,-0.216615663448948,-1.09880964782471,-0.462973637205786,-0.690870691601795,-0.483202644025528,-0.948326853709906,0.51032563294022,-0.88215011624293,0.264839057147311,-0.273311456734871,-0.0112730145933796,-0.50299462040386,-0.563577029124879,0.714776918035787,1.49827471092258,-0.222625474643211,-0.653997481776824,-0.660926771883788,-0.611179805871977,-0.141748341585672,0.228100354267407,-0.165648117545224,-0.886253202878302,0.0415521934710771,-1.01675384845327,-1.40852672191038,-0.489350333208695,-0.195653270413127,-0.722212444881684,0.619311484193195,-1.14465707424339,-0.874937898668452,-0.882825586585462,-1.31985622480958,-0.819938378747298,-0.910101826398541,-0.415607979318746,-0.640677311490193,-0.739666915131768,-0.499778371828118,-0.883264068282418,-0.914312205195878,-0.967063156627577,-1.16722503112399,-0.200305827973074,-0.5013323288827,-0.866638973425854,-0.0832923162759675,-1.03253292663933,-0.646094160834668,-0.721957568530699,-0.208330873786527,-1.29829147135215,-0.633706209705202,-0.798898550659229,-0.971694779262505,1.16477226719215,-0.4496702690527,-0.852686045085565,0.62832077178427,-0.915627725138509,-0.948371657370869,-1.37431713689202,-0.977087127720872,-0.634599935710013,-1.14495338897261,-0.344704222793557,0.254187741582152
"ACHX_Bs_2 (GE) - TPM",-0.390291616295473,-0.455917678483108,-0.802074420821754,-0.880646433688513,-1.1414348188461,-0.305402374622993,-0.593887911488887,-1.13608193810127,-0.303886418615258,-0.985195334061504,-0.984745644449949,-1.01316762132543,-0.794245287692917,-0.382526169869687,-0.589614287411364,-0.962989320326743,-0.665927580999578,-0.0268346897517407,-0.790708728157945,-0.70359753943514,-0.585274476443768,-0.333824720742057,-0.240673489909741,-1.01334416622277,-0.20360539798686,-0.197694591398408,-0.851902423274724,-0.310281256020441,-0.702588092613183,-0.114674457385486,-0.840649947842669,0.054578178243338,-0.296030571944503,-0.478643390834825,-0.90661913706142,0.393457026069129,-0.0074413333080604,0.0351416160332839,-1.16236691821156,0.0635901246624361,-0.0812078948906206,-1.04070626135191,-0.630078249232217,-0.975065759488602,-0.469265881899035,-0.408221507821376,-0.763425690281011,-1.0339176408605,-0.86217276939013,-1.01514214200719,-1.1010297414084,-0.701244015485174,-0.65428232953156,-0.542616036830219,-0.332824298857133,0.131961742990548,-0.312725099068399,-0.965104576788956,-0.408250585930107,-0.651242312983461,-1.04487850470501,1.10599932678127,-0.721055458857057,-0.268167211933964,0.309882345468044,-1.15328414421333,-0.903840417130076,-0.0107176208905345,-1.12758424245003,-0.186188840435753,-0.567701982348222,-0.538145657660153,-0.955522473412127,-0.281868780176419,-0.497379591480484,0.354401938426241,-0.48022389413059,-0.0413533699186118,-0.418550238512045,-0.346385352263168,-0.220245574174022,-0.128812168984306,-0.0305886674419901,-1.0181405567882,-1.13645932000394,-0.361304191334884,-0.287349934783435,-0.45965542222519,-0.33502345815908,-0.888078095414908,0.278582739018921,-0.822265592336624,-0.986389842815835,-0.662446605152367,-0.226785771725457,-0.76833445252972,0.740261155133453,-1.12387016856475,-0.968591321155715,-0.965229989343609,-1.07919633508675,-0.762920090702565,-0.856633027432568,-0.405176398837816,-0.713398276492016,-0.704048316560972,-0.248786457768656,-1.04901722222579,-1.13910876267607,-0.96941838461017,-0.969394377814143,-0.181039870605177,-0.383255908852546,-0.785588355809441,-0.108070066740378,-1.06084930636085,-0.736540287386533,-0.883603046301287,-0.319373957152543,-0.953410391334594,-0.607337522240373,-0.821129955274468,-0.809628556670263,0.980917441906148,-0.223145091883395,-0.749872056214162,0.655126302908264,-0.919893401884222,-0.269234565451488,-1.48467420963445,-0.134111984726632,-0.645652837338163,-0.384071380858498,-0.266675108954105,1.26838294721206
"ACHX_Bs_3 (GE) - TPM",0.165109666798482,-0.359391673853231,-1.08683385754421,-1.06322840522161,-0.283741595896745,-0.313803287069357,-0.7277672889216,-0.977657393415095,-0.698359855646057,-1.11732445125605,-0.990460296558206,-0.910009714367848,-0.921150050477748,-0.54220585491696,-0.664099354436454,-0.854689663292326,-0.802526309482547,-0.325544577068294,-1.63357263002088,-0.518867970562768,-0.438205442753298,-0.580634602640547,-0.726662256412748,-0.856044568711251,-0.236098000900098,-0.541549516546943,-0.979181142598363,-0.398063717523623,-0.759280542601963,-0.443903269265264,-0.866084733853134,-0.179895964332384,-0.469963962465184,0.0333025699351048,-0.923488591358398,-0.0711366794553878,0.231146902854376,-0.161126186959714,-1.07607632196057,0.474460274499419,-0.433959253818871,-0.928206173470111,-0.915484448059816,-0.865175930087148,-0.0674742902929194,-0.0571507582808349,-0.858112730393941,-0.987170920510112,-0.84126859296935,-0.583886991527339,-1.10493793254734,-0.889591813468985,-0.76549434170471,-0.413985725637118,-0.689700861971626,0.182792328894629,-0.0524792014777383,-0.853975899516065,-0.175666256379973,-0.323136495758293,-0.97242313449172,2.11853154749168,-0.780765072565242,-0.904390416691911,0.792711060131585,-1.14320757715952,-0.823413422491328,-0.114851222431004,-0.740211153217157,-0.512700361089899,-1.10313852175275,-0.172183992014703,-0.994822346729168,0.97751108282678,-0.970674194495341,0.057812398334582,-0.30321408854229,0.635365529126284,-0.591216843921936,-0.600007216473741,-0.10779002783146,-1.22340327631795,-0.537517253381962,-0.362444468184336,-0.763903530826761,-0.616694153821062,-0.407312873358488,-0.129498374907892,-0.794166426318569,-0.840626871955413,-0.448921007676693,-1.20781602469197,-0.872478637282202,-0.522467581781434,-0.339258569055016,-0.837838320775192,-0.504417049989116,-1.11988661898956,-0.919497743974599,-0.931715309307742,-0.879025075611489,-0.963086162700087,-0.746777370484307,-0.386379540754918,-0.616702063296248,-0.63077198482729,-0.560322120930184,-0.948515056814789,-0.684573523739624,-0.893835608859352,-1.17318237671507,0.0718030407931746,-0.61776265798451,-0.621301622003218,0.0502756177047049,-0.854247874207918,-0.708788826668636,-0.855277318568708,-0.298105158221984,-0.825930401156156,-0.815729163618256,-0.820903653753183,-0.805305367522062,1.41824128958466,-0.726135209559637,-0.834947469781303,0.337011208941001,-0.987579068781074,-0.281880091317199,-1.29858106052278,0.154628707418888,-0.745882759924618,-0.818270149129442,-0.69741045706879,0.0017055502373136
"ACHX_Ctrl_1 (GE) - TPM",0.564622896746175,0.0504486149575196,-0.736148379468362,-0.743987411806296,-0.542191920374986,-0.691201618535275,-0.712213335669005,-0.561175240015775,0.1709852738126,-0.274419633795905,-0.800143259828898,-0.987253993251572,-0.676267622662367,0.0480413513850083,-0.56710451251263,-0.636697055993842,-0.0570779925046151,-0.705222490859834,0.128555501240963,-0.0471664103708077,0.00289187567232062,-0.405375354314992,-0.419002495157015,-0.640795723795369,0.0744966227637082,-0.251587693970924,-0.405025536303663,-0.353237036465116,-0.578083420679304,0.329724491544235,-0.846601762098556,0.138439408985724,0.423837996893155,-1.10461541553835,-0.836292463872253,0.179391722603467,-0.896923637838396,-0.767654749508714,-1.56469202094174,0.498569481013977,0.0378342819454481,-0.878057220920222,-0.663561281965337,-0.965223130403785,0.319535829742799,-0.310529867392903,-1.04137704021321,-0.994671060366809,-0.769051085329614,-0.959598750173616,-1.04694374223589,-0.354592280723148,-0.608209621297808,-0.752232514308523,0.100742535121024,0.648257099673443,-0.677910614644984,-1.05282796774053,-0.312421493295118,0.143931991542527,-1.0149970785055,0.557463280013822,-0.41585520091511,-0.0102014789029276,0.713140561496718,-1.19096586590657,-0.605511533231956,0.336901416324105,-0.462458957943673,-0.302083401591313,-0.448064333659076,-0.222324619754588,-1.01527101092198,-0.507952872022789,-0.153948145887797,-0.137142775598813,-0.986590711836031,0.236802022390774,-0.112535373762847,0.101502644191715,-0.573995384140187,0.235709081739255,-0.737765818323794,-0.281085346424118,-1.12219705821246,-0.894827452623509,-0.259442493127467,-0.23490498671745,-0.28873237006087,-0.822882245079557,-0.696098562218317,0.396940363905632,-0.447652354950293,-0.750798001438864,-0.620249335699029,-0.839571584093368,-0.0859275783909967,-0.824646969359961,-0.985439831070023,-0.856736215387655,-0.625405919551328,-0.0641154449915853,-0.876895914201077,-0.479125612783415,-1.00435130792638,-0.374803647916079,0.364161350384568,-0.682327726981402,-0.807798445460244,-0.763124491569818,-0.618027438684546,1.15892427390229,1.31770209876816,-0.310826352599435,-0.807754900742571,-0.353239174537479,-0.399639153523506,-0.889867308987049,0.0787608886813235,-0.247375064620973,-0.506762168757534,-0.526453910064979,-0.344364679178504,-0.443573016653518,0.575341049577777,-0.854536267643479,-0.959202887273297,-1.03057398342637,-0.523050647151481,-1.51802990605101,-0.374040598200631,-0.430526701956646,1.21613048643181,-0.180418282088077,0.256578082919
"ACHX_Ctrl_2 (GE) - TPM",0.760561474485182,-0.206846406065953,-0.100777959997377,-0.575502965271022,-0.473203168363722,0.550030866318613,-0.670744892087901,-0.525507129497703,0.110987503048208,-0.680978954421313,-0.429422734700718,-0.837879909113669,-0.659776209857466,0.400158378358987,-0.587800452669446,-0.567413099523019,-0.278319824565967,-0.322880199446348,-0.034030076739705,0.0508621337029252,0.0113769760688449,-0.678582157023057,-0.820835558038156,-0.798551094869841,-0.0371491072187083,-0.0489277672436356,-0.75427416972712,-0.535426294901333,-0.491552395441745,0.957927859326554,-0.682782414573327,0.363684308124792,0.365169432851216,-0.176117492570072,-0.349587126340208,-0.232998762112992,-0.880853560272732,-0.606617716812122,-1.18585812220906,0.228315853129076,0.51427154135135,0.0725894663304306,-0.455001322821855,-0.628357135775022,0.161682237168511,1.31909608477561,-0.427045050616184,-0.65257415004348,-0.931590456410472,0.126605973256948,-0.556230578624407,-0.383858807428969,-0.0472145657679678,0.645275653686008,0.188573952591397,-0.447761128950839,-0.675962126186107,-0.85951992120081,-0.0746675903440664,0.299867366284459,-0.909103239355832,1.13616179846813,0.268469678867736,-0.536317862834317,1.04776055110809,-0.791991156273898,-0.620236840799157,-0.584763307249447,0.365705035377486,-0.139058270721274,-0.5708388822537,0.198095388688699,-0.980220428221346,-0.0708214971408531,0.602805144957333,-0.0307935187928012,-0.149510381489022,0.296405507268683,0.0785583881368955,0.0516525464786498,-0.0333906595484559,-0.29260466305977,0.823703114427926,-0.0949533922852155,0.0511654139633866,-0.592156074382187,-0.352498399844784,0.640611174433115,-0.00565482644538241,-0.7750750390804,0.667756426408257,-0.0048290970848445,-0.89378368761071,-0.564072779406336,0.0308764517957221,-0.573445961141222,0.074127265238568,-0.785023388212152,-0.737432479067268,-0.609506451049354,0.170381939557238,-0.510872431511277,0.174292424001753,-0.289704596026861,-0.858710677212348,-0.0194251198014348,0.0640757718627942,-0.43427479413899,-1.07338487737422,-0.689488796495265,-0.506021954438342,0.724097648532166,-0.266508016963718,-0.0583411585277888,-0.0729310770566496,-0.143039558737862,-0.391627745847927,-0.692462987958554,-0.0260382384728389,-0.540836624224703,-0.256303045947659,-0.332565794528631,-0.230792120582226,0.0188594884780961,-0.164706759269649,-0.338414199951431,-0.747830970861265,-0.84475264566031,-0.277421220299384,-0.592999576968339,1.75404390944882,-0.52396429208427,0.215624683911429,-0.702569675983944,0.334135739296212
"ACHX_Ctrl_3 (GE) - TPM",0.481267982152538,-0.240805465123239,0.054806635204661,-0.35857690640897,0.148279014878704,0.462606667269975,-0.69764022230844,-0.643985578749647,-0.327233559671188,-0.213386569722255,-0.266301487167984,-0.441510668182743,-0.573015480059708,0.622681673512659,-0.489986042065375,-0.461953512619447,0.0301866827191747,0.359296603573054,0.0380307351830092,-0.363409040985582,-0.151573710925364,-0.380447326766237,1.22428568011391,-0.681996911089287,0.721646165126903,0.723712116962946,-0.15833575664982,-0.38066953024247,-0.368792265655611,0.603076413145182,-0.54744498359575,1.81789097506197,0.73006440864997,0.00293827362487191,-0.31930647274672,-5.88239332612983e-05,-0.398804480007477,-0.247683050510704,-1.06400980828546,0.696147098139898,0.384360098966307,0.312439985534566,-0.0957037607967403,-0.604130054655734,0.570226202185585,1.00983260669438,-0.616784578359861,-0.752300058168873,-0.838976622223487,-0.321548399846965,-0.912248767465978,-0.792647606115791,-0.447472906950568,-0.0699585346081367,0.0371493609971318,-0.693104966299681,-0.250055555937297,-0.730314568199088,-0.190675723272944,-0.0599273826921554,-0.758222962158253,0.39940089993628,0.373419820544554,-0.363279765544847,1.07458093115636,-1.13920782306426,-0.62588913054304,0.858725801623481,-0.441908798896127,-0.07550467472476,-0.360859714829514,0.253911957785951,-0.806025328871111,-0.559454494789483,0.385246273854167,0.694553661869097,0.278513775945794,0.347126985128357,0.185584586393046,0.0240627011516511,0.206799627143467,2.03171293320073,-0.344251376325059,-0.191542560406519,-0.0879685293754066,0.193195979290908,-0.688907028209023,0.274779574179471,-0.683815271896305,-0.706110901496434,0.00342591623771443,-0.209093374772292,-0.365934506067557,-0.745330606214944,-0.189104853556826,-0.216074473685029,0.375699755493302,-0.76677842440569,-1.01649601086582,-0.533015892627543,0.666703621653839,-0.408264317641822,-0.327067508072386,-0.0824231412611409,-0.72265530786294,0.59509572023866,1.64803532640096,-0.433470557002434,-0.890834274550651,-0.433361216840732,-0.686565921671406,0.820526987107849,-0.252518718779159,0.0108957162520641,0.203176875400814,-0.284042083901804,-0.397452748364262,-0.016102331063371,0.018811560531308,-0.987203920108983,-0.456126921112952,-0.39011426536958,-0.174805463495132,0.523276354789173,-0.191553462576778,-0.258538786492108,-0.320103394436709,-0.694117700535053,0.722746958304063,-0.363719229335855,0.28900883169701,-0.341143404834738,1.22360883462925,-0.763600560933665,0.515870962840617
"ACHX_Li_1 (GE) - TPM",0.87515923753479,0.310174877398709,0.730974004821536,-0.475323090439601,0.0292583930601942,0.423582489591092,-1.18735643673052,-0.879009068537728,-0.320832078434726,-0.616622572885578,-0.150869668171116,-0.167309926571192,-0.69242347276918,-0.377232055897876,-0.56212119464822,1.57528094637306,0.28903136841035,-0.305253327343218,1.5095502342673,1.2971913429861,-1.17548900609627,-0.624958034367114,0.316633859375156,-1.36605099876279,0.0395973487354579,0.190358743185768,-0.206399773522437,-0.6264477720003,-0.791397216233449,-0.43997869214343,0.249120564475312,0.783161212794394,-1.29041565115643,0.185725910761498,0.225819147929013,-1.38987554551208,1.05855511613571,1.20154574522781,0.575296290457107,0.845087766931066,0.816936434922513,0.373807852075911,0.478100308588251,-0.668582362337053,1.20394659845428,1.61334505932501,0.782821464802384,-0.365636952734407,-0.923979815256771,-0.754355723634009,0.279388461589605,0.228989529184275,1.76796013448399,1.5675495590729,1.64450192384774,1.58113136624513,-0.850207866748946,-0.300919666456216,-1.08641276825877,-0.651242312983461,-0.953635962425652,0.238620375264421,0.595943587237534,-0.597718037904068,-0.119970699689549,-0.473994100819919,-0.214213771512623,0.485449622786912,-0.552773802368539,-0.656671539599074,0.0897603631337511,1.49230010633569,0.479900809604867,1.93748564415904,0.318840050474026,1.61572413686128,1.03152973529997,0.0366006847977837,-0.105062441361361,-0.326027046775546,1.55719570872353,1.28657642754935,-0.405341789416366,-0.201443261224189,0.854536826547088,0.722927770452731,0.163034865784231,-0.24267892651268,-1.77784669203519,-0.517111271374095,-1.28836293113102,0.536469868310563,0.336430883777322,1.08036595907316,-0.511625811843807,1.60511870603109,-0.258647665798525,0.214450624723086,-0.564651240002116,-0.181718192416931,0.738790273417882,-0.6759564321086,0.351587772925574,-0.612163529755949,-0.636135648236627,0.366172167821056,-0.301895087272608,0.0325830434890386,-0.939366324501376,0.281712407994394,0.647589336295315,0.316147142546259,0.50871387879765,0.0433138963069855,0.311855371064951,-0.537291316107054,1.17278193935244,0.228910028923124,0.847020030234093,1.99299994266087,0.134575619234587,-0.195411309464704,-0.127053074626066,0.96411005801138,0.917889655138073,-0.193419660751314,-0.898333803308176,-0.0700200183775331,0.251534510866693,0.738013447902923,0.352007533973092,-0.601947981911095,-0.624451576642366,0.26404386384666,1.10179039069533
