"","CE206_RS02355","CE206_RS02360","CE206_RS02365","CE206_RS06475","CE206_RS06485","CE206_RS06495","CE206_RS06505","CE206_RS06515","CE206_RS06520","CE206_RS06525","CE206_RS06875","CE206_RS07120","CE206_RS07670","CE206_RS08195","CE206_RS08365","CE206_RS09490","CE206_RS09505","CE206_RS09525","CE206_RS09530","CE206_RS13880","CE206_RS13885","CE206_RS17625","CE206_RS21125","CE206_RS21815","CE206_RS23295","CE206_RS24100","CE206_RS25630","CE206_RS26795","CE206_RS27675","CE206_RS28275","CE206_RS28290","CE206_RS28310","CE206_RS28315","CE206_RS28320","CE206_RS28325","CE206_RS28425","CE206_RS28430","CE206_RS28435","CE206_RS28440","CE206_RS28445","CE206_RS28450","CE206_RS28475","CE206_RS28485","CE206_RS28540","CE206_RS28550"
"ACHX_As_1 (GE) - TPM",-1.30459243848117,-1.47005150073264,-1.13875833749263,-1.9546629883652,-0.868704080971949,-1.36084027825597,-1.2115633905847,-0.87887886636885,-1.3891910205929,-1.84555724010291,-1.13585925484743,-0.961355620506634,-1.28937557385171,-0.840899029674498,-2.00203374187617,-0.646515289006442,-1.13933853732268,-1.66536387379092,-0.692802512777598,-0.817204191926182,-1.61387353063092,0.110189057226503,-0.0476594371120712,0.595465147959795,-0.796307179095836,-0.786463654877161,1.23682371382133,-1.012210743242,-1.05875964352014,-1.18464593807699,-1.04875533827364,-1.60777139342497,-1.10926154811886,-1.70645647161874,-1.44938639878759,-0.182274546648061,-1.27163805349738,-1.81740045207145,-1.69377802112951,-1.62884799364814,-1.76620205436212,-1.44322718192371,-1.34567237978824,-1.58577645984911,-1.13542406958956
"ACHX_As_2 (GE) - TPM",-0.29638844081523,-0.78727544219053,-1.08810430684413,-1.81310405027414,-0.116780632127481,-1.10035225683605,-0.959618327692451,-1.21700711569327,-1.18941041771439,-0.526073479085583,-0.220260839935631,-0.741274095108141,-1.24021486645071,-0.30675125443324,-1.67423342478355,-0.426509230208917,-0.505237790970889,-0.34006226477853,-0.380169612568922,-1.07127462923362,-1.6014606744451,2.2484853425733,-1.19896309498338,2.35259542257652,-1.32040940194442,-0.347078715791455,-0.187494602781927,-1.04612203535372,-0.607626605148292,-0.800893177334011,-0.826747841422572,-1.39189900736857,-0.819481744995232,-1.32940617043974,-0.996076324142198,-0.970964190388962,-1.25069648275735,-1.5172610738154,-1.42149026420043,-1.20499494865974,-1.34048235280371,-1.5422819759826,-1.00413382594378,-1.32639524788168,-0.728025913070803
"ACHX_As_3 (GE) - TPM",-0.11695848272804,-0.739199222363119,-0.916270020784258,-0.467439065894442,-0.0925666454619351,-0.522995340986306,-0.772838472954211,-1.54716040632421,-0.205598746285951,-0.177683511542666,-0.259324771885758,-0.410350948956801,-0.886203414526678,-0.429022962862927,-1.15222229493335,0.0784016129365796,-0.415251799431959,0.0797786260635952,0.0312348380879629,-0.589274634222965,-1.28597017990188,0.172909771318431,-0.61868510095444,0.192227956962247,-0.218681187497951,-0.523204660523803,1.48801479682766,-0.386830844935782,0.131438053339237,-0.715065865550215,-0.363928390855153,-0.94902828968938,-1.07885059875141,-1.15291414465883,-0.833184932573756,-0.448401668954683,-0.994362794308119,-1.40102716853431,-1.0598884190908,-1.1220974407266,-1.01893473400109,-0.91128449688108,-0.690923803546963,-0.71364826570995,-0.712966274670682
"ACHX_Bs_1 (GE) - TPM",0.148531043805602,0.221579020984686,0.605539146711847,0.30299800137586,0.421990963871162,0.673701652674145,-0.595097566993195,-0.189192856367199,0.298729769666274,-0.371985428378451,0.727782358146302,-0.339192486697517,0.52217268243192,0.0933440779875231,0.337709606260584,0.367225721397548,1.06556794208033,0.292111048755427,0.236668749772494,0.505449402617846,0.306341685566026,-0.143403664172728,-0.0892968573250567,1.03653480473787,0.0875203923894204,-0.861643127251818,-0.250994942500463,0.540258209117744,-0.148353104763906,0.505577292113313,-0.00691298079716582,0.18239724539217,-0.147055554679417,0.381866638890946,0.179936385300544,1.18232893724741,0.466098147919914,0.564411592647903,0.533302641711197,0.0369040251068496,0.385028698606263,1.17625288918426,1.0453797501605,0.941522148892467,-0.0946541625526212
"ACHX_Bs_2 (GE) - TPM",0.172682791904382,0.154858149511213,0.900226164337455,0.561388629357636,0.361184620458363,0.729967014483467,-0.43432970980278,-0.668682680896503,0.0324626916917705,-0.383805064501894,0.551045682091382,-0.294920441876479,0.601210856676442,0.143403031018778,0.487769547879152,-0.00555128489886754,0.105917768292865,-0.187719776639915,-0.0261035742801171,0.561677135646489,0.200095083663691,-0.718378818289332,-0.529542905586968,0.617542797333233,0.523893344018153,-0.750436672627072,-0.39698500386942,0.472018100017024,2.05345447794559,0.469657396234073,0.220178281081914,0.0453385748032056,-0.03704231337589,0.449952911077251,0.193964287808215,0.769882196414242,0.73146076052493,0.886871468871758,0.952661178957291,-0.00361512062576913,0.467138065828191,1.69535388670469,1.13574369107885,1.15241459042736,0.0220082996853651
"ACHX_Bs_3 (GE) - TPM",0.0392259366927921,0.126924041194905,0.405514227711872,0.0558069283387086,0.408891132891837,0.645490660208804,-0.347944299682256,0.00179581629713919,0.503043310793812,-0.583339353142562,0.893356936022448,-0.303863332836793,0.405112973014848,0.201809670679392,0.147549291600581,0.231057112146688,1.30668658378204,0.625134994211244,-0.275621395059009,0.389051145204121,0.0616620098033841,-0.0568424698600879,-0.425736979272853,1.02168780643586,-0.364625774813957,-0.691921468059855,0.00207773157433531,0.396994295952113,0.753754757342618,0.58300339844776,-0.0667188892748033,0.475099657907326,0.116658121065421,0.257423028990278,0.0869751903970742,0.848004941561353,0.251171619119469,0.151703330665549,0.204288377554504,-0.114222115632099,0.157561408233786,0.938450049741625,1.07952413598053,0.718934097604112,0.0436555339170994
"ACHX_Ctrl_1 (GE) - TPM",0.828876850116124,0.760765191336539,1.20033738532608,1.65444278659206,0.910154182606559,0.717305792080209,0.692556287891628,0.408628510526389,0.203586216390874,0.535634509506465,0.485752965161986,1.50628396969983,2.05237244182483,0.668893890047666,1.84612870911267,0.687938684900214,0.765206948661361,0.652070615709543,1.15391885818813,0.943049364004608,-0.277283036881166,0.246824821276869,0.496503461089588,-1.04221623884754,1.29991140566859,-0.751201066658893,-0.843480497620267,1.50448727957857,0.185833901339797,0.827825822117426,1.20701622963673,1.08474147213614,1.73713996011367,1.30508302412623,1.00691355318627,2.88194208338507,1.82369686941383,1.85234485070424,1.43091841994912,1.19108309172086,1.26319484529776,1.49373891532204,1.47283234000956,1.88014831231058,0.472708143692028
"ACHX_Ctrl_2 (GE) - TPM",-0.0482858392191872,0.23473021958299,0.957496088614121,0.618083519719518,0.260106601691128,0.0498525583661744,0.836599211533708,1.18259439268836,-0.254065124863933,0.057675785668125,0.269727141862835,0.565930308798817,0.2811897015059,0.865506575690261,0.391202135051874,0.672833486523527,0.752830285831562,0.54892549835763,0.829553411988403,0.254487334601707,-0.899064723234797,1.41394666294999,1.43381560284056,-0.619563816291545,-0.160653771113551,-0.666967233093248,-0.841006399918799,0.568386311626832,0.809363950814887,0.506163820555899,0.505562368685908,0.369418306427708,1.67391524400389,1.10931456964265,0.0555540908698563,1.43281424258609,0.621253074055909,0.685189829607162,0.699549743208612,0.523329509549211,0.0591922136366403,0.433892675717084,0.555013357730813,0.925467210210581,0.216376340046134
"ACHX_Ctrl_3 (GE) - TPM",-0.0617971123930137,0.676266593011738,0.284285531356824,0.606207585793126,0.547214193472042,0.298301489513043,0.494726889222063,1.37764162774082,0.245070046535153,-0.0928174212811764,0.37179126800998,0.5458124970848,-0.131533829020801,0.387429784115703,0.394161526774569,0.467533575351602,1.0013829671908,0.948714330532067,0.866909075263481,-0.148661071319614,0.345136232310859,0.204807018748838,0.791771613294156,-0.662624167760642,-0.102001799300523,-0.51552296132168,-0.689288160853319,0.160237538543161,0.737830736076913,0.365520518083951,0.0740032207363211,0.0655507101640686,1.34668989173687,0.693994449082403,-0.054503196517885,0.293005333926319,-0.0686885829377981,0.493471847668746,0.219740184556192,-0.0765867130084964,0.575150812173894,0.15847091583032,0.306498714665019,0.0361710151004369,0.0672078329531205
"ACHX_Li_1 (GE) - TPM",-0.528879350014599,-0.285633507681695,-0.836245492723597,-0.91626489746741,-1.16135447273473,-1.35316324488535,-1.08656657477144,-1.61092617215158,-0.0262562842065065,-1.02417777488892,1.31199511001695,-0.332639987312803,-0.502040606817288,-0.473118011340582,1.63512706332943,0.531999115997223,-1.21546847707211,1.20811938255096,0.0257476518368542,-0.895667110069407,0.354548277797765,-1.51724607918203,-1.19896309498338,0.0321032552914932,1.23782781365937,-0.809523169039328,0.682985916591828,-1.22313671421607,-1.05875964352014,-0.600768413240158,-0.346514761680548,-0.152195088541608,-0.40239634866182,-0.436432912063633,-0.322129189162798,-1.18208785270047,-0.985385661735115,-1.10505983178406,-1.31864693277103,-0.968446634477178,-0.949471009441908,-0.308764863699181,-0.609629088575942,-0.596420068330365,-0.558155325656079
"ACHX_Li_2 (GE) - TPM",-0.993413582789588,-1.30541359723652,-1.28640101144603,-1.05252057258697,-0.946907521626283,-1.25164144565863,-0.748116745700234,-1.19058685854355,0.199603451891126,-0.247608822082395,-0.0692914619393674,-0.542251689704891,-0.36525854088144,-1.06043038833505,0.919545464234361,-0.417274901879314,0.331595973126852,-0.129191665110869,-0.140215784775344,-1.05787329208598,-0.739903314775408,0.553436330734771,0.390855481927764,0.4116970981816,0.539193535358436,-1.05624885126918,0.193870835262894,-1.35279021055235,0.1452458189539,-0.902238905447785,-0.941812487719774,-0.938877678116444,-0.750991946999538,-0.912544249000099,-0.696071890209532,-1.33331429703261,-0.949523279523681,-1.2015088427265,-1.25470952729562,-1.21084069771721,-1.16052201099704,-0.376078633679404,-0.875438903206365,-1.14641964217385,-0.668046412487787
"ACHX_Li_3 (GE) - TPM",-1.06733676677851,-1.27503977882196,-1.29936688466206,-1.04111233118291,-0.79577090448401,-0.951609549287293,-0.645684286303263,-1.46734960811522,0.0209525884382657,-0.535946152193188,-0.456343959552656,-0.631225448200785,-0.433503531622668,-1.0083980807677,0.696138765776537,-0.168858414254742,-0.0203249080986826,-0.0173877404297686,0.0748584339503351,-0.896696425456737,-1.23575255906547,0.680056258140419,-0.443010684870119,1.92146850725116,0.340770576002431,-0.896027546129918,-0.73002616181632,-1.36478180694861,0.925906360660288,-0.984191836254701,-0.648680432779013,-0.830772426360353,-0.421420693786224,-0.508850720794337,-0.564048644885846,-0.836882470624315,-0.66854301965592,-1.08832095965604,-0.921710649982722,-1.02594432258029,-0.865470765682072,-0.829644315943398,-0.621440576265857,-0.811886417807125,-0.929135859492135
"ACHX_Mig_1 (GE) - TPM",1.19061536817213,1.11801991521226,0.492941881100141,1.07436753932939,1.7302948579011,1.61433896029882,1.16608225597769,-0.178204731943519,0.538628868065121,1.35750789849218,0.17910896185429,0.193143471833128,-0.282341549602732,1.24296290205665,0.423049383519343,0.23673682753481,-0.794448876132113,0.472915100423719,-0.398175686551062,0.933680457004105,0.023165191394849,0.879703102207705,-1.19896309498338,-0.100988662344384,1.65857387659153,2.86371788544507,-1.85069968525724,-0.064845481979168,0.363238342545002,0.34105116511347,0.21084387854367,0.295703458180806,0.334077467774164,-0.623772854127724,0.573580305549655,0.143581224149917,0.515592327306443,0.285798695672671,0.14616375872925,0.827386519338506,0.214346356861845,-0.189010181544662,-0.223812426953367,-0.527863590178122,0.211653659330994
"ACHX_Mig_2 (GE) - TPM",2.90514893830329,1.94614867521349,2.18735177394543,0.877151035134038,2.85287082928286,2.74282276566077,2.27496173130845,0.91291777124263,1.64975652979411,2.01433108423612,1.79459340058567,2.49991697603656,1.01669699433601,2.64774161345892,2.11148385828489,1.63737232225342,1.04480167914844,1.61685321687722,-0.0201870121894155,2.41875320644456,0.917422034958989,-0.298597794202967,-1.19896309498338,-1.27681250119902,1.66990394158293,1.29751773442599,-2.02874411216788,1.14304846475784,-0.267096084454896,1.82616507103675,1.55456554141844,0.719803623148702,0.560897204129369,0.250947141156929,1.53243101728926,1.45575022454446,2.15791739263591,1.2037273681905,1.43336104842549,2.48736916414894,1.78210017646319,2.09488421046494,0.594340120328621,1.29727713062872,2.26947473426241
"ACHX_Mig_3 (GE) - TPM",3.33175778532039,2.19638675776548,1.79049170201892,1.46951597422181,2.8890695703107,2.76468204482063,2.24299951848122,1.16288574141411,3.5449196556129,1.48450209900637,2.79780248788328,3.30060193786785,1.11116883862383,3.18105405372685,1.90443534282097,2.26948928750994,1.46564886493593,2.23070204191101,0.243286448492934,3.11194547892024,0.0687048878957058,-2.4151043677752,2.36532052704451,-0.477136707779298,2.53436031099048,1.42070033425907,-1.73865952058519,1.34882412061075,1.8654954233559,2.23877595525322,1.91167699715052,2.08939477503247,1.84062084324194,0.759742269791889,2.93233054908613,0.3986707810093,3.3862459417219,1.50570200105431,1.93610952770665,2.32803044372671,2.30988801487404,1.68495508312888,1.14866504322258,1.76997921205208,2.17356100192725
"ACHX_Nd_1 (GE) - TPM",-1.05981003662889,-1.11638172600459,-0.515722865636259,-1.33030031571841,-1.79992313740392,-0.958486008721701,-0.512294330914812,-0.811982962853406,-0.763603712493519,-1.11818051236692,-1.54945743688517,-1.35332545599215,-1.9462544848489,-1.54802199337859,-0.861001176007745,-2.50517404581618,-1.49906292276405,-1.71341340029851,-1.19436242402353,-1.86228368330126,-0.258363792855905,-0.583745144679963,-0.751677611134303,1.38989436235837,-0.324305727970414,-0.79373530316025,0.720402450412426,-1.51324407445322,-1.05875964352014,-1.34707862275213,-1.72491620018477,-1.70387012199789,-1.04924855840359,-1.96872547125029,-1.56093364280926,-1.55327316912848,-1.01523124795714,-1.84998545087507,-1.8321843420037,-1.41591342049704,-2.04437915910605,-1.9313139361888,-1.69644112063872,-2.06414208176245,-2.3233186078176
"ACHX_Nd_2 (GE) - TPM",-0.814232481935077,-0.938572693600112,-0.478272243855042,-0.906484791832471,-1.2855023370583,-1.02138075196122,-0.825898874990228,-0.899365759363961,-0.584920855051651,-1.46607651967329,-1.50320207535726,-1.43082721119564,-1.70138082789389,-1.19788738453829,-0.763843665453698,-1.98973752790746,-1.12262206549043,-1.34820490628177,-1.28081155172427,-1.59169946372547,0.32300612273727,-0.259862439585144,-0.0103414415027531,0.919382966452341,-0.707578748673319,-0.796738453168447,0.459729006380589,-1.54076601017798,-0.571167569068807,-1.1554359082001,-1.87324910275997,-1.73261584301165,-0.83616255174898,-1.84555529935042,-1.4201590159068,-1.64808826941548,-1.11976807939563,-1.92263779807181,-1.86548039177436,-1.07482904721814,-1.87480332324767,-1.80319239701451,-1.55410098224167,-2.05630503581872,-2.30736568313415
