"","CE206_RS00300","CE206_RS01345","CE206_RS01585","CE206_RS01715","CE206_RS01955","CE206_RS01995","CE206_RS02565","CE206_RS03335","CE206_RS03845","CE206_RS03975","CE206_RS04035","CE206_RS04050","CE206_RS04205","CE206_RS04320","CE206_RS04590","CE206_RS04765","CE206_RS04945","CE206_RS05290","CE206_RS05780","CE206_RS07565","CE206_RS07700","CE206_RS07775","CE206_RS07845","CE206_RS08105","CE206_RS08430","CE206_RS08680","CE206_RS08690","CE206_RS08695","CE206_RS08700","CE206_RS08705","CE206_RS08715","CE206_RS08725","CE206_RS08735","CE206_RS08925","CE206_RS09610","CE206_RS11570","CE206_RS11710","CE206_RS11780","CE206_RS11785","CE206_RS11805","CE206_RS11810","CE206_RS11835","CE206_RS11840","CE206_RS12345","CE206_RS12430","CE206_RS12555","CE206_RS12755","CE206_RS12815","CE206_RS12850","CE206_RS13345","CE206_RS13350","CE206_RS13815","CE206_RS14320","CE206_RS14595","CE206_RS14860","CE206_RS14865","CE206_RS15420","CE206_RS15590","CE206_RS15620","CE206_RS15630","CE206_RS15660","CE206_RS15715","CE206_RS15790","CE206_RS16180","CE206_RS16270","CE206_RS16835","CE206_RS16975","CE206_RS16995","CE206_RS17060","CE206_RS17135","CE206_RS17240","CE206_RS17450","CE206_RS17525","CE206_RS17545","CE206_RS17580","CE206_RS17600","CE206_RS18420","CE206_RS18690","CE206_RS19630","CE206_RS19990","CE206_RS20755","CE206_RS20780","CE206_RS21015","CE206_RS21590","CE206_RS21625","CE206_RS21660","CE206_RS23045","CE206_RS23085","CE206_RS23120","CE206_RS23370","CE206_RS23600","CE206_RS23905","CE206_RS24305","CE206_RS24410","CE206_RS24495","CE206_RS24540","CE206_RS24620","CE206_RS24890","CE206_RS24990","CE206_RS25025","CE206_RS25270","CE206_RS25570","CE206_RS25665","CE206_RS25720","CE206_RS26000","CE206_RS26255","CE206_RS27210","CE206_RS27310","CE206_RS27560","CE206_RS27625","CE206_RS27720","CE206_RS27810"
"ACHX_As_1 (GE) - TPM",-0.680983040844864,0.897773187056017,-0.45570515949325,0.485626981128546,0.739105194553994,0.661149730233109,0.174442217362674,-0.166566317179063,-0.29240886494246,0.787997956084482,-0.195475254804231,-0.846517739573082,-0.139980420330072,-1.08832644362588,-0.705570516549139,-0.597892506172353,-0.172375171762845,-1.48021932271724,-1.3637063542034,-1.29058386260354,-0.844034747741647,-0.0589370537222856,-1.20265406045579,0.0401881509177968,-0.248732490153684,-0.110694494492186,-0.732546238439319,-0.165418332942952,-0.111306679025363,-0.354353511213434,2.47762689798694,-0.396425923995618,-0.667301569940064,0.329109002349097,-0.643717402330886,0.0150733908872687,-0.746504338198251,-0.142978120022341,-0.400927338340656,0.28356750573599,-0.280671553428309,-0.391930176615377,-0.123069590484721,-0.735913164225107,-0.366347924586404,1.04882835046269,0.730536722249006,-0.560790856217566,1.01257288947066,-0.567766961040251,0.600514986055761,0.013179455199774,0.513060637489182,0.392683339539411,1.68640538752849,-0.367664357948257,0.00650126336779647,1.4658924495604,-0.0925599656831424,-0.238707127777351,-0.658394045637734,-0.130956055887407,-0.913943893901125,0.299184764268378,-0.256943086473156,-0.660746639812133,0.0768610777714962,0.56843678363272,0.29079170034535,-0.847143820546355,0.369777164741997,-0.169465691663232,-0.434721508051445,-0.0650188643894254,-0.340778180339244,0.0354312020732621,-0.28353748522804,1.17254262064753,-0.789698764186928,-0.837902145697525,0.996715098437311,-0.176460702570537,-0.450357212619208,0.49221049517557,0.150222217474965,-0.127600848307156,1.09236759225818,0.429522275717193,-0.790684699592514,0.457154165870576,0.431446971106809,0.843887566493374,-0.443704667662254,-0.337004086772439,0.747792965252814,-0.631676607172739,-0.716231694609961,-0.696798585819582,0.567313490120148,-1.32836601800905,-0.610288051882471,0.811129035036183,0.548987709951436,-0.878552217772825,0.176279007276948,1.04609952634324,-0.94953055176355,0.0405138331465201,-0.839895582318826,-0.433032702806849,-0.545746020811914,0.528268666076534
"ACHX_As_2 (GE) - TPM",-1.98835438291255,-0.856169923860816,-0.341004554290924,0.94307867428948,1.25000019070456,-0.715273853321044,-0.636453627377409,-0.515771235785706,0.788382076963179,1.26628216158748,-0.343569553903941,1.14969765395537,-0.434974696709944,-0.599542784257677,-0.394634141950662,-0.180149908288659,-0.656731090634736,-0.493264816584902,-0.530067562862588,1.68949948401606,1.62330447123452,-1.00350526293311,0.74425975678571,-0.278825208191581,-0.609143543894083,-0.0865968459790214,-0.940142773882578,-1.89791849013986,-0.260415562045623,-0.154797064665623,-0.795323109069487,-0.637180719335337,-1.32003032636231,0.491818407834899,-0.643717402330886,-0.400795775851744,-0.111059846590433,0.506806206633407,0.362206860375603,-0.899712286085016,-1.28566247418193,-1.35223516493492,-0.466460581196791,-0.11613513717472,-0.776691283450744,-0.673331395926736,1.26920233520821,-0.247231480515832,-1.72208415978887,-1.10577372040574,-0.0364910344299737,-1.02623147593582,-1.34945686200219,-0.983804229600791,-1.46089276961882,-0.237708588815683,-0.597619560706475,1.33071640310639,-0.538261892666816,-0.238707127777351,0.502749418999068,-0.466598079986657,-0.913943893901125,0.254712682883279,-0.256943086473156,0.891532321109305,-0.210379179732669,-1.33441559472996,1.15493857615169,-0.847143820546355,0.79206538301777,0.89944661163014,2.17653152451885,-0.45851992026058,0.334540901054359,-0.231184404662264,0.173505830744695,-0.53640622574896,0.62959827220207,1.49508952547283,0.0805272616049967,0.0389338936839613,-0.171435770496579,-1.09017074359186,-0.283606349929595,2.13745564504665,-0.747379792624568,-0.29870366130158,0.366995365848199,-0.893607251127743,-0.914671451467435,0.976143233727277,-0.469951424081331,-0.721325429349866,-0.612518459227322,-0.257413596066023,0.122503975306612,0.285526947070802,-0.127198476454366,0.0347518321773362,1.10702956860178,1.41292651269539,0.989570595119115,-0.329564415798507,-0.852317956204726,0.876582569430356,0.228914047461285,-0.934718804182107,-0.872932573576214,-0.136658649534329,-0.791673160291531,-0.95812574893247
"ACHX_As_3 (GE) - TPM",-0.831865321868972,-0.414160301540901,-0.33836835277181,0.779941689973316,-1.12805228455413,-0.823011309579748,0.0279385103961373,0.0873978417041528,-0.670578889757938,0.383050656295743,-0.127126023943327,-0.384120682271343,-0.812606232137369,-0.973739894513608,-0.365282397556426,-0.0904552773758122,-0.168482696963464,-0.350371043651937,0.128172924484945,-0.514500947003174,-0.674117759060589,-0.368732509251344,-0.643158512420638,-0.406470413863227,-1.24108345933517,-0.312957217052324,-0.104315446381433,-0.308073903054215,-0.150057540057945,-0.0868881119289886,0.452053706870651,-0.562281408558882,-0.333068813560446,-0.134196618126194,-0.402219619982448,-0.168099656839356,-0.033413339090344,-0.23555047534305,-0.253366710654395,-0.530688519272354,0.137961115306752,-0.142207193245297,-0.83066835043624,-0.245619124461966,-0.776691283450744,0.33933509596667,-1.04687406057787,-0.166525341827681,-0.442218453076828,0.250052264161576,-0.277715332073526,0.0870178237071975,-0.0977999132470247,-0.46083982980146,0.918550544271042,-0.514286496850955,0.0113562162574972,-0.982028983881849,-0.557797085743606,-0.238707127777351,-0.0457187767214161,-0.511687165147744,-0.230731167257451,0.0569094143346617,0.0607839613851681,0.26069272443421,-1.09136482100876,0.679636077441021,-0.67839179354232,0.332698957297326,0.736230931076292,-0.756099108199663,-0.03524383802877,-0.219810392280282,-0.108158258199436,-0.474943567520701,-1.30843900580302,-0.0710229735140696,-0.466668871595441,-0.233593947344062,-0.730095772340714,-0.831404847176163,-0.370689310702498,-0.735704548725014,-0.283606349929595,0.951016097659198,0.385628046448424,-0.607903335574998,-0.28172202723547,-0.212798916802732,0.115514101414835,0.707276607107727,0.239141268234732,0.0594061357898606,-0.363201473150372,-0.242057566460421,-0.399277164591793,0.00806812781643161,-0.533455634953181,-0.775188928385487,0.152492179543139,-0.279721893264408,0.967710165671306,-0.104458278961572,1.67609989186892,0.258877367948859,-0.947528892742953,-0.63351054690819,-0.390080867291257,0.592574077264487,-0.222002573506501,-0.177288515534833
"ACHX_Bs_1 (GE) - TPM",-0.861691835511349,-0.856169923860816,-0.436681019522235,0.425164150301903,-0.528175324409413,-1.23193165130488,-0.0274268717835112,-0.826930459156313,-1.32556841439905,-0.136699132344002,-0.581346975245866,-0.801063171042881,-0.977347526742853,-0.443296519693389,-1.03671383329216,-0.299139496929777,-0.656731090634736,-1.07752709600495,-0.235041894225665,-0.736244332845912,1.02167905794091,-1.00350526293311,-0.650704394642496,-0.812085766701859,0.990661545452586,-1.14540602127806,-0.594691240657466,-0.153491808569767,-0.343865144897611,-0.515467847679069,-1.06186169734446,-0.881221236205942,-0.53362717147012,-0.800598104586527,1.20354848347035,-0.210277377848303,-0.676026325972233,-0.0894984973842074,0.107355852210527,-1.09380743465767,-0.156144864255528,-0.889447604303046,-0.868566435461004,-0.829956880150294,-0.776691283450744,-0.673331395926736,-0.289650792492686,0.502279913901333,-0.780742397573846,0.968424281383835,0.338861757765006,-0.775776435585212,-0.451877509069389,-0.761832242464533,0.35919204251003,-0.317749361913167,-0.0153470411473868,0.26575669411722,-0.230956382022511,-0.238707127777351,-0.365489150221019,0.429441468854643,-0.913943893901125,-0.215293584237236,-0.256943086473156,0.122395358585863,-0.428691434530645,0.132812290479304,-0.23094745920893,-0.847143820546355,-0.0770498269151003,-1.11180388720534,-0.0700005060713074,-0.607841198431834,-0.425457454659713,-0.228985150629848,-0.665933936927345,0.679098384085125,0.2564454457786,-0.862963369799777,0.090461894329571,-0.457839697234106,-0.756718617861432,0.265521435657291,-0.283606349929595,0.53712703366531,-0.580616969146719,-0.111061764683613,-0.407276376699144,-0.0256669072866293,0.0427668896652369,0.447846214313398,-0.149896913988956,-0.18651037370599,0.341019826414531,-0.341047892635978,0.434360349511254,-1.04503410623538,-0.953522741149636,-0.187794200585356,-0.925994920273614,-0.210561520208495,-0.543882862531842,-0.320779186262763,0.869338857181098,-0.00288230586291717,-0.718472055066812,-0.504093467575126,-0.68796461490325,-1.16198519223843,-0.533204675842597,-1.45363019426068
"ACHX_Bs_2 (GE) - TPM",-0.497631767207358,-0.17628851513415,-0.727338854966149,0.541935649830905,-0.886796710230823,-1.23193165130488,0.282593760202015,-0.667520785378592,-1.29808129426377,-0.481538544813533,-0.726084601953063,-0.896480107472101,-1.18494637141016,-0.686898712765868,-0.931514773835212,-0.629281363782988,-0.375104580998236,-1.05036152961388,-0.513684463526695,-0.418485295214726,-0.48431741345,-0.515314313153848,-0.29376788271905,-1.13669674376307,-0.471752948548429,-1.11545585016988,-0.0431903634137598,-0.579824608223161,-0.69542872162303,-0.186814978142525,-0.892643477724837,-0.170926698828354,-0.750741149809116,-0.372259622806585,0.842131269537342,-0.686119729187934,-0.619121692895349,-0.362676099235882,0.277135598021627,-0.694122552337059,-0.566305012175417,-0.235505373584584,-0.47633219720291,-0.72607089905414,-0.776691283450744,-0.339550788439927,0.144545239632898,0.0700836595620809,-0.132030461808655,0.145512451967853,0.494771833128497,-0.824777915693971,-0.627488736250084,-0.830170025505478,-0.240904794392652,-0.0148603004967919,-0.363444054056947,-0.528753289395697,-0.650998745153244,-0.238707127777351,0.048400281696112,-0.338649569092524,-0.178320673021841,-0.116457911640009,0.231771868440631,-0.0308262222541236,-0.658028453600416,-0.449291820316565,-0.32014752200211,0.0602495141490886,0.0812655884105213,-0.648903795324414,-0.82788002377744,-0.698739545046746,-0.772330807130395,-0.178188517341011,-0.810008354738062,0.285091671962168,0.0292932580021403,1.84597875567804,0.319924185636722,-0.76023102753343,-0.162943875885353,0.000280522259093298,-0.115441273641331,-0.272805289359712,-0.1457567803881,-0.322932050748555,-0.342765679908247,-0.195479267588181,-0.522771525559878,-0.142604765066075,-0.406177704270392,0.433824185846387,0.490013427978876,-0.164681231306279,-0.476892626901533,-0.910047483996746,-0.540017602200815,-0.102038163593652,-0.0659200961975424,0.31684217175034,-0.43704347394231,-0.084936285047498,-0.0535438385239182,0.300211389456294,-1.0055073767306,-0.485954482292336,-0.929201379662651,-0.617994671703853,-0.820534082366876,-0.740708066742564
"ACHX_Bs_3 (GE) - TPM",-0.753402261990481,-0.519608692341832,-0.169050135543418,-0.330728422571479,-0.292052204825127,-1.23193165130488,-0.0930169885011989,-0.545092476162695,-0.920162951111242,0.106276769843548,-0.0522424810499247,-0.495853113090856,-0.905263271671259,-0.393489476017076,-1.04629246737451,-0.226684452023143,-0.23849095157556,-1.3264424964768,-0.751904663906711,-0.413003445575292,0.759433194241055,-0.0368299274250092,-0.554764954722663,-1.20936795518162,0.0283870734613563,0.0182489544680149,-0.802032936259944,-0.0243453113761359,0.0794958245738816,-0.27271687308633,-0.572528717209389,-0.495139412345953,-0.599836861563598,-1.01459891859108,-0.275948073174329,-0.324329800024642,-0.670365556849458,0.0945765679389178,-0.220466650439437,-0.75690742512984,-0.421616369216796,-0.615149845705478,-0.406185598923421,-0.815155344192697,-0.146770436588702,-0.673331395926736,-0.191551322882358,0.565510594766303,-0.0728736425413057,0.133072965983882,0.653087054003241,-0.627329800464781,-0.396402487365824,-0.549640940999089,-0.43421207912116,-0.0986585226446456,-0.133924592993286,0.3298695743503,-0.515579476550552,-0.238707127777351,-0.0752541866946135,-0.582217532130991,-0.28967807181806,0.0683552889352913,-0.256943086473156,-0.660746639812133,-0.226638611766903,-0.165983007197534,0.0448658558817284,0.350686328220874,0.743965155802854,-0.607942943569809,0.530085603967915,-0.324805548476844,-0.431475966746887,-0.377008600252876,-0.0307638331168943,-0.372502207308388,-0.546948245838804,0.406714964183452,-0.799400051312317,-0.963658923070625,-0.52156989235674,-0.752792400693079,-0.283606349929595,0.0400999040210754,-0.0868189563127742,-0.397133434037706,-0.856406932678836,-0.548013430639161,0.288184359867496,0.850763156369987,-0.512650432730619,-0.549034958268055,0.336673906928396,-0.155009303584762,0.395454725596313,-0.777744762821966,-0.816926147134739,-0.0414305908809711,-0.547191050755927,0.768818797048127,0.586673349652533,-0.520864674872032,0.365017216209659,-0.871401417955747,-0.433893662440293,-0.0373553059923418,-0.888436282063653,-1.047442536906,-0.828169453193664,0.0507528331628051
"ACHX_Ctrl_1 (GE) - TPM",-0.343758081536947,0.231385082188212,-0.33459332637686,-0.235953976369518,-0.549174768395938,-0.561171947443781,0.124477713726126,-0.502739625181996,-0.724188375357463,-0.652607715434443,-0.239374543511242,-0.0211502937151161,-0.753288534849819,-0.955845598465158,-0.950199571561313,-0.78400275707968,-0.393941357958523,-0.917959554883351,-0.743009058080329,0.14328872277729,0.0218909430246648,-0.222583025422455,0.827088819923095,-0.399039443947664,-1.1385301270024,0.454440424594866,-0.794083653048227,-0.114616279278334,0.0711760933024501,-0.346534427552688,-0.14168936840417,0.178974210924015,-0.207014937361746,-0.668374263107445,-0.0495173914723895,-0.449556502713788,-1.1460582669874,0.10358025367243,0.146844021117363,-0.439996834632767,-0.277388026580569,-0.161336222791789,-0.543072357406488,-0.726632289076033,-0.0133752361218548,-0.495356842211199,0.165344183180436,0.128880625685084,-0.63201746066705,-0.772175702914108,0.849726253525746,-0.542856378840022,-0.723897970593113,-0.208512795809314,-0.777859810380693,-0.846064868511241,-0.223026666226942,-0.031846365474698,-0.489258338232571,-0.238707127777351,-0.564176914581086,-0.57758122417601,-0.577737900245307,-0.693858085674047,-0.0615029739156726,-0.471814856716688,-0.177943685683101,-0.685477131728303,-0.112935064388888,-0.605229042065631,-0.182082897464418,-0.557126316135052,-0.340314023647386,-0.440322972724838,-0.999917519940898,-0.395827455998299,-0.383042230912158,-0.557402229089165,-0.243308382075582,-0.917035364404064,1.03438788872567,-0.719602727393798,-0.281810284982755,-0.545073043889,-0.216356103034314,0.202993356876694,-0.199247475638985,-0.17942965905959,-0.703311567331727,-0.474828747988938,-0.165837158940339,-0.436360713533162,-0.160804094090328,0.121689703926517,-0.114099279604853,-0.267710179422328,-0.161796947537714,-0.559196292063221,0.202247187679982,-0.503857212921466,-0.226356969059132,0.202796086177356,-0.229186059159413,-0.223489855298476,1.01668359507613,-1.10456347689714,-0.735279702944783,-0.327865758346148,-1.28430117237847,-0.522509017832333,-0.925789970099745,-0.578705275150584
"ACHX_Ctrl_2 (GE) - TPM",0.212780100533943,0.878265888609084,0.167323395943256,0.260377189233639,-0.0509908593892354,0.038372107769194,-0.03476554769402,-0.539696914581953,-0.390633660087496,0.223085239653465,0.729032009407408,0.062741654820272,-0.242168468773249,-0.330170348505034,-0.518904038159983,-0.358009332690173,-0.0879554887626135,-0.61362961724306,-1.00169434487209,0.659807830510766,1.32943846913484,0.553265991039733,0.628709008359331,0.0807647438619187,-0.300657471406314,0.0808821964334572,0.650465362525809,0.0682917688626899,-0.317147198761801,0.174538257898351,-0.15263269386764,-0.611358115930872,-0.00892115881404907,-0.402679458905539,-0.406809436106305,-0.681767815443264,-0.803454846954145,-1.009632330464,0.28049002242352,0.346922085039504,-0.373455919029917,-0.402610657427674,-0.334851140024081,-0.341232569845588,0.542092200506367,0.0717337037199877,-0.316262610707248,0.70132924941661,-0.514833140632764,-0.174733354562976,0.297875249516927,-0.126862168980207,-0.121588435351643,0.0373479394167352,-0.605011916761203,-0.640607290131042,0.447833610296954,-0.759680074151046,0.489516764834039,-0.238707127777351,-0.658394045637734,-0.788561766775611,0.627580143794441,0.28814017362015,0.0547453601999547,-0.158565065990228,0.652066380413152,1.44107555710723,-0.65764226810064,0.310275308574864,0.480044774993248,0.596960793106042,-0.43909420398703,-0.454836661081686,-0.386803681203149,0.219016729756947,-0.549880423260193,-0.611581248976647,1.6458409612456,0.353583866085254,0.333067751723443,0.139135365567995,0.0764050568026829,0.387678967060437,-0.176355465025493,0.721079152914923,0.0643693974278584,-0.242883045845761,-0.358901413775082,1.88918085950232,0.124670632603875,0.465308477144828,-0.49894479190449,-0.274551770818079,-0.429084538472428,-0.655322152935296,-0.0811837341131715,-0.227173272862657,-0.0550727045281165,-0.0460730981095282,-0.675765757216118,1.14915355674217,0.199354076601863,1.0488088490069,0.485264845512404,-1.10151772815993,-0.336540575302104,0.343601545390864,-1.03587096176519,-0.833126664895143,-0.299536668053313,2.02117101549085
"ACHX_Ctrl_3 (GE) - TPM",-0.393779891302229,-0.856169923860816,-0.0251413917881463,-0.800772356270528,1.02429919672133,-0.483736773022804,-0.584941079287802,-0.588560496191329,-0.583347750916563,0.469751662384996,-0.215379942888617,0.0774441772348167,-0.518694922449201,-0.310248722956033,-0.32099329452283,-0.276586880212339,0.515777816843471,-0.346006050106791,-0.943835296934445,1.0019176861737,0.762201640680117,0.73864476483724,0.971969174310961,-0.392488467935107,0.0172340164011605,0.312305454304768,0.091941470016081,-0.993505133419196,-0.567172476315046,-0.315816324391118,-0.257173069384957,-0.0301671514537744,0.372932839454283,-0.343274693292913,-0.643717402330886,-0.0740184071315504,-0.238455255532655,-0.314203359985607,0.113599151392042,-0.161999778902544,-0.0747012302291078,-0.521997000908444,-0.360678221132225,-0.192330473050275,0.358557109455651,-0.673331395926736,-0.16839141218575,2.78463478999388,-0.641276743093757,-0.361553915466103,-0.221590116729745,0.411576110369227,-0.0612551944938127,-0.519594970539677,-0.916689193402622,-0.585750360158205,-0.597619560706475,-0.247732237915671,-0.414517884887186,-0.238707127777351,-0.0278304525742738,0.0102011217129953,0.211112968170269,-0.350441324069152,-0.256943086473156,0.182224645928422,0.473164029116572,1.82422224928713,-0.579942426119224,-0.847143820546355,0.741052749971549,0.295401848376441,-0.82788002377744,0.343724544289871,-0.336723000913738,-0.121945204047747,-0.143933571461788,-0.756688341712302,1.01021730783643,0.934020502393678,-0.223304475930165,-0.600684235638715,-0.332931702383995,-0.117329223060461,-0.283606349929595,0.766337237887272,0.0154615480443552,-0.265415103217059,-0.725769639542399,0.663472625808229,-0.177539417114068,-0.147899509343169,-0.273519328404598,-0.313515152418617,-0.0993258349764182,-0.272077773987523,0.274052747928198,-0.563323112055854,0.564056422879441,-0.381268633821658,0.466568051935191,1.31608800373904,-0.318748208642274,0.694349273788128,0.572700490670494,-1.61712329885666,0.524105887663241,-0.0706877232923148,-0.704061144019806,-0.612726962036626,-0.398483016882521,0.847709936884129
"ACHX_Li_1 (GE) - TPM",1.99336125998128,1.48235885476759,0.797898560182236,-1.18621235353153,-1.12805228455413,1.65268726505733,0.435347510380853,0.760520706432128,2.98340195090634,0.626950195611971,-0.823454029957952,0.703324862250665,2.22912912385003,1.43366462794017,1.49032369376512,1.28572312585198,-0.656731090634736,2.12708607407789,1.49296039927613,0.413538434051048,-1.49744729939252,-1.00350526293311,0.793732023836728,1.50065229489286,0.523049243151086,0.09638125009926,-1.14336159823332,2.57454125457942,1.98999904603174,-0.0115455193390012,0.323972950042239,0.135271148322856,1.29081543925773,-1.12461261495289,-0.643717402330886,-1.12997520330159,-0.341277425546634,1.5630100062342,2.48614313414902,1.4222667627099,1.24753194131787,-0.07186247930505,2.68713779422207,-0.759673769593865,-0.776691283450744,-0.673331395926736,-0.047165016073127,0.330456569151009,-1.72208415978887,-1.10577372040574,0.350879835816444,2.43837971957038,2.37547932124307,1.44231199590855,1.89613621019642,2.05116091737935,-0.597619560706475,-0.546417043494297,0.116229966310602,-0.238707127777351,-0.658394045637734,-0.233661430642397,0.531918408474525,-0.693858085674047,-0.256943086473156,-0.660746639812133,0.413309821076492,-1.33441559472996,0.128575020158176,-0.847143820546355,-0.889497154270263,-0.916883819517034,-0.82788002377744,0.49112248744246,0.595960460766599,0.205538073326041,-0.914584974425103,0.893896757534055,0.89665723918341,0.580960496626123,0.516361308949652,0.435767456387152,0.877165532046857,2.66055936140285,0.294816395501487,-0.939547975325765,-0.856908024644618,0.616377960491725,-0.570788242087028,0.307037714363726,0.211960981314829,-0.463587476226665,-0.105356882838947,1.50986921623978,-0.612518459227322,2.02560224547194,0.409685604791436,1.74077615398852,0.272997830801492,0.161029338403388,-0.800184174199995,-1.38824788097312,1.80128118916015,-0.850248072165563,-0.247482945442687,-0.576204551026524,0.129756023875752,0.918965052932728,1.22528954906267,-0.819409367764124,1.19222847601692,0.135619570789318
