"","CE206_RS00435","CE206_RS01265","CE206_RS03375","CE206_RS03380","CE206_RS03385","CE206_RS04325","CE206_RS05655","CE206_RS05660","CE206_RS05665","CE206_RS05670","CE206_RS07060","CE206_RS10425","CE206_RS11015","CE206_RS11020","CE206_RS11025","CE206_RS11470","CE206_RS11475","CE206_RS11975","CE206_RS13025","CE206_RS13440","CE206_RS13615","CE206_RS13620","CE206_RS13705","CE206_RS13710","CE206_RS13725","CE206_RS13730","CE206_RS13745","CE206_RS13750","CE206_RS13755","CE206_RS13760","CE206_RS13765","CE206_RS16535","CE206_RS16815","CE206_RS16820","CE206_RS17615","CE206_RS17620","CE206_RS18090","CE206_RS19215","CE206_RS19580","CE206_RS19640","CE206_RS20045","CE206_RS20370","CE206_RS21095","CE206_RS21900","CE206_RS24135","CE206_RS24705","CE206_RS24715","CE206_RS25760","CE206_RS26540","CE206_RS27750","CE206_RS27755","CE206_RS27785","CE206_RS27790"
"ACHX_As_1 (GE) - TPM",0.28852615083478,-1.16690951932024,-0.585046875950831,-1.14580620597425,-1.17783023419806,-0.648749035296137,-0.338224611820055,-0.603822600555295,-0.540325306024379,-0.480564159141435,0.0647859525314361,-0.453566888897576,-0.0822164543715823,-0.323402992732095,0.018196636907926,-0.590752742761473,0.922640377847741,0.0266118236000346,-0.431971771116327,-0.362472257401741,-0.716209571384914,0.187430165382707,-0.0307849096228362,0.304614202335566,-1.56578266270733,0.795481761832614,-0.796793251538443,-1.14587478481164,-0.978063421344163,1.00414165514928,-0.353349838884852,0.167689157623719,-0.65605131384729,-0.70862102576828,0.914734546552174,0.122142178875975,-0.346559419852167,-0.310288919728015,-0.802414594192533,0.045701225328067,-0.0718747487687579,-0.288003322734326,-0.295494480324976,0.330651185883947,0.913945612099576,-0.382724523326101,-0.0900530089395297,-0.779621225881264,-0.853986766152574,0.992617738143939,-0.0710086980197913,-0.562530493334918,0.366398711576579
"ACHX_As_2 (GE) - TPM",-0.154118504362585,-1.01365940260095,-0.633382713537567,0.504395137274051,-0.403709313048596,-0.890149948747745,-0.473426342601236,-0.625784335989807,-0.426641008667657,-0.230636890785621,0.758463350080994,1.28049186160977,-0.558185543613704,-0.905868452014495,-0.137074716147592,0.343420280265862,1.00503205135806,0.113831682445799,1.61329959312478,0.144801905098708,0.0835455850606859,1.01868889482814,0.912467377359201,-0.02209019269153,0.0115600584403657,1.16188755364169,-0.156079097105791,0.491978793377182,-0.321416821344696,0.534789733967462,0.251463810131648,1.5525284943102,-0.53452756213147,-0.405784413459699,1.16210269249704,-0.125196768060114,0.80701561709755,-0.372383347917996,-0.895264029465454,0.897489541809192,0.30349038385856,-0.349336268060923,-0.295494480324976,0.469192307611713,0.530062184654063,-0.74839206503161,0.222658719134203,0.566127515219751,-0.119847382339636,0.200825914327432,-0.288243140012599,-0.448218730221862,-0.490988075598125
"ACHX_As_3 (GE) - TPM",-0.178218663570527,-0.789436429897688,-0.618138487875577,-1.10287150266933,-0.547557033872379,-1.22217558158649,-0.463112244214733,-0.448862845284483,-0.340974833430854,0.172094348787393,0.250428749968901,-0.41837796585589,-0.385681638776734,-0.125827121866807,0.310559512242421,-0.210359843172018,-0.154270824854203,0.129893975222385,-0.349178035165318,-0.375567203841314,0.179363784439911,0.585518668462742,0.0887301492478715,-0.0058624371627254,-0.0741204233422017,0.868820949785071,-0.385939155623286,-0.0424636205697813,-0.581350017207788,0.367693071826087,0.353466059404493,-0.586737949004152,-0.364654223842996,-0.336020592176539,0.927509289928427,1.24103655140799,0.192826746169967,-0.355849058060968,-0.647952798339775,0.0230483097824444,-0.513643781620566,-0.489325650811137,3.01718940852042,0.38812360395503,0.557617380113739,-0.734972109134656,-0.0720890578553603,0.00724404907658368,-0.206757304359257,-0.00274404390127737,0.310389725734313,-0.638739775913744,0.629903258572743
"ACHX_Bs_1 (GE) - TPM",-1.26627208031637,-0.726094434335844,-1.29310194731749,-0.909793625644165,-0.201261604488872,-0.775370784619946,-1.1901496291086,-0.984424202212716,-1.19881525741494,-1.03674715554312,-0.75416864542381,-1.02325519735027,-1.09463576750832,-1.19926071116046,-1.10158137749138,-1.2288722635049,-0.281092200709922,-0.928355697815921,0.376216523225433,-0.762999446588063,0.939760947168878,0.795613441008894,1.38483600057658,0.976566836388626,0.458400818335099,0.6616150837178,0.398097236586964,0.0208918060148598,0.508527283338339,0.579311141931093,0.78601234937147,-0.376010564782118,0.703092690484228,1.40271081642,0.256121967388733,0.488148954027627,-1.04885922091562,-0.981105559915909,-1.19063717556283,1.09678771664358,-0.806059004870469,-1.26363533261188,-0.295494480324976,-1.1368299366307,-1.13400558663356,-1.13623450643384,-1.02944910015608,-1.73691940291549,-1.24805901706616,-1.13466308511848,-1.06709330263197,-0.823829444400335,-1.41549075331545
"ACHX_Bs_2 (GE) - TPM",-1.29893745127838,-0.0745069802604903,-1.26087396725851,-1.32982561324576,-0.709483811873265,-1.11084765141171,-1.33293852316526,-1.162864525301,-1.32204898073175,-1.32742428317838,-0.742400685850939,-1.06720452374621,-1.25713102642393,-1.08969908125023,-1.23556039036445,-1.30121413487348,-0.425818766665218,-1.0790321346867,1.15388560808315,-1.37376548737775,0.468635361945327,0.578513143479522,0.323532862069572,0.744346754801491,0.205217154412546,0.805459602173993,0.599930353008942,-0.42203812429083,0.32471968719009,0.567585523991858,0.664554634434745,0.218920089985752,1.22965086953877,1.96087152058439,0.255608327643074,0.348303756103274,-1.27608547181076,-1.06066561739762,-1.30880176620356,0.26209432602265,-1.07317800414859,-1.42163119853349,-0.295494480324976,-1.24059112115168,-1.13701017272999,-1.33797460035167,-1.19936359305209,-1.69615219731884,-1.37340494197286,-1.25013731850392,-1.23330610158184,-1.21665497257569,-1.4677100993095
"ACHX_Bs_3 (GE) - TPM",-1.17610839096627,-0.237581451556788,-0.941979535593773,-0.929113534352355,-0.309302908795333,-0.835973242680202,-0.98034500450261,-0.857223796270795,-1.07766420524761,-0.792355675214286,-1.12102419700436,-1.09280298759139,-0.591816296505006,-1.30911504904726,-1.13724027532183,-1.26491394361326,-0.248206570010499,-0.778599268814214,1.34012978616868,-0.271276388014484,1.35842555463604,0.812497012621897,1.13586746962129,0.917424838511468,0.427520088243967,0.589897421824313,0.740972146261921,0.160689418964798,0.605533820391915,0.591762272375689,0.531770321508247,1.17621309892278,0.479929210138137,0.717786161572341,0.708814660625188,0.688022700066396,-0.81655893359922,-0.955075172603818,-1.0858421698137,2.24915060176056,-0.682077559608194,-1.09713121612644,-0.295494480324976,-0.933597614895114,-0.939454449928369,-1.38356460714272,-0.936978939911002,-0.607452058083697,-1.13581289192372,-1.04227824875513,-0.89992318922086,-0.522585120987657,-1.32448976101502
"ACHX_Ctrl_1 (GE) - TPM",-0.994672872934504,-0.450962324900071,-1.17459162227835,-0.589709586094825,-0.636546818242262,-0.797125899694954,-1.35641491462182,-1.25484684456089,-1.42016464698906,-1.56935599611974,-0.959206551959738,-1.03293248928028,-1.15728985727134,-0.890229351572727,-1.29407802172479,-1.12781337354362,-0.987198307443599,-1.1990643522921,0.777873753305969,-1.13581331318162,0.697039303454673,1.20794041622893,1.00056008419622,1.3222037334872,1.22674976601745,1.06484317256105,1.17771393305591,1.39728799526511,1.55233773935566,1.43627892281258,1.2199635661111,-0.253030901306431,1.23254035874229,1.39936129395491,1.4625572740522,2.10751869530828,-1.1342776252009,-1.11930921707649,-1.33315380968234,0.00505428647966775,-1.26904813521959,-1.4873812035496,3.77989865176373,-1.15735334502461,-1.14165532872004,-1.16413679681726,-1.25128707991165,-0.949125591640076,-1.41234438585239,-1.33742796555816,-1.36711394568442,-1.14135474038582,-1.08147344911737
"ACHX_Ctrl_2 (GE) - TPM",-0.853889240377813,-0.397404274936241,-0.988640246105519,-0.581575347818638,-0.284440146502093,-0.172599794378892,-1.24065916890705,-1.10370791913292,-1.25224825244965,-1.39191327020087,-0.872394403475429,-0.748478584091858,-0.670028310841276,-1.14969183337323,-1.32943161406059,-0.97824964560835,-0.661310924477334,-1.03244662840305,2.45728591901301,-0.452334399175329,0.940682404785263,1.45481182332031,2.20170928042834,1.76915102105416,0.563354507104746,1.07804970788661,0.874231131372185,1.91789018156819,1.84984010667709,1.483893561566,1.33751765872,0.088098408035466,0.573194530211205,0.80856790078431,1.40007438534063,2.26293123542174,-0.944441809367391,-1.04827592421229,-1.18586376291527,1.02055112451041,-0.854289748249803,-1.26982882742542,2.95422979044005,-0.925239228556995,-1.11730915010722,-0.870921479719028,-1.12679829082529,-0.527776543383433,-1.22950091422457,-1.22085141825619,-1.18397357572492,-0.945019113057814,-0.685969791020368
"ACHX_Ctrl_3 (GE) - TPM",-0.903772957661086,0.324086362449984,-1.06006181435053,-0.862374623490756,-0.202121481775929,-0.106806440118035,-1.09766725119695,-0.827642539844706,-1.04748074834226,-1.10368250704915,-1.01035799956483,0.0382912467821975,-0.671232815914039,-0.866768856275211,-1.04204359515976,-0.525978001608086,-0.494923765966177,-0.853118443559327,1.55724156340324,0.142004374267839,0.762142827728814,1.74999538440979,2.05259795220629,2.20715206006424,1.37725043938738,1.87265480551005,0.645133442412353,2.2948034091476,1.3592997763806,1.73356357640447,1.6913441618423,1.8027511918637,0.226637681181336,0.473019706931086,1.71826657680431,1.40363128771449,-0.611228071846348,-0.929847747311804,-1.10706351744236,1.39886640504903,-0.656094024359833,-1.02961734042175,-0.295494480324976,-0.967287197356451,-0.906435412121566,-0.840424142303685,-1.05889969929753,0.227769527730575,-1.05012066510632,-0.957049621971928,-0.876631786329113,-0.770292834816739,-0.98429395081638
"ACHX_Li_1 (GE) - TPM",0.63761493545889,0.182935371191728,-0.32741593000195,0.272872569141022,-0.830343119757692,0.727573017624632,0.760667005233793,1.70022439751408,0.149636564878705,1.10995184692898,-0.523340149738991,1.94831713026486,-0.0470040923032181,0.0528859673626475,-0.299641677584185,0.0589144769394508,-0.225571283805583,0.17937393868932,-0.00892893281306981,1.36312443705448,-0.408132148810294,-0.71649967632093,-0.53934467196209,-1.44864304018742,0.399310637536865,0.326710994751682,-0.16634715587749,0.159661636629576,-0.638354994627786,-0.566219315993706,1.02126312333085,-0.677372218191396,-0.778540965056842,-0.764812112118369,-0.860665918359286,-0.341265404311971,0.629138274363569,0.00395769883473312,0.405930881746163,0.50018074137031,1.55393216702158,-0.255669723974245,-0.295494480324976,-0.833047623191862,-0.21781413970233,1.45326443402601,-0.203685657335811,1.90815296765868,1.36881846647741,0.409025473010042,0.829036808225226,1.38331149408127,-0.356338323018237
