"","ABUW_RS00105","ABUW_RS00710","ABUW_RS00935","ABUW_RS01510","ABUW_RS03005","ABUW_RS03190","ABUW_RS03855","ABUW_RS04405","ABUW_RS05705","ABUW_RS05710","ABUW_RS05715","ABUW_RS06690","ABUW_RS06740","ABUW_RS07310","ABUW_RS07630","ABUW_RS07725","ABUW_RS08060","ABUW_RS08385","ABUW_RS08515","ABUW_RS09230","ABUW_RS10050","ABUW_RS10070","ABUW_RS10585","ABUW_RS10670","ABUW_RS10875","ABUW_RS11505","ABUW_RS13140","ABUW_RS13215","ABUW_RS13435","ABUW_RS13440","ABUW_RS13885","ABUW_RS13910","ABUW_RS14160","ABUW_RS14165","ABUW_RS14470","ABUW_RS14475","ABUW_RS14505","ABUW_RS14720","ABUW_RS14730","ABUW_RS14820","ABUW_RS14895","ABUW_RS15300","ABUW_RS15525","ABUW_RS15680","ABUW_RS15910","ABUW_RS15970","ABUW_RS16125","ABUW_RS16855","ABUW_RS16870","ABUW_RS17050","ABUW_RS17825","ABUW_RS17830","ABUW_RS17980","ABUW_RS17985","ABUW_RS18870","ABUW_RS18910"
"ACIB_As_1 (GE) - TPM",0.0884814691027375,-0.270737038129305,-0.364015750843615,-0.627505616553915,0.396485862346827,-0.223242790880621,-0.365783260198908,-0.0396276401593525,-0.347236072068513,-0.395460978675336,-0.376036500879033,-0.307960270453414,0.0147784884693486,0.400689980529948,-0.344849063601461,0.0324101109410758,0.419091925433701,-0.294669320531312,-0.52817279051419,-0.512102679444005,-0.262267812410063,-0.369928793998689,-0.430306898613685,-0.0101410549616638,-0.279678324012286,-0.378463593898322,0.296091654582171,-0.354744526226328,-0.447126086069702,-0.248142551926437,-0.263989472260649,0.360883916716449,-0.144102323629703,-0.667583995584457,-0.081803098564582,-0.280783690018983,-0.395063660728078,0.0479552495505143,-0.0776184123908159,-0.234697945473291,-0.290584731679599,-0.0620065229538267,-0.323139715806081,-0.370143887210976,-0.382406269085131,-0.202116964248124,-0.156981607243966,0.0262327527904382,-0.363165172032902,0.161780241613976,0.221946563167902,-0.211016420857893,0.284363795090041,-0.189489180743577,-0.0468433392287691,0.346024590871944
"ACIB_As_2 (GE) - TPM",-0.0424578614316757,-0.115890268792019,-0.522567810461139,-0.372763629996306,0.537840602730819,-0.275861471123078,0.33623546660442,-0.229190153924651,-0.321257313211711,-0.364578032503583,-0.381014860571679,-0.370473430955943,0.360491805781796,-0.00070458711998679,-0.748167523331643,0.0353424683159076,-0.18628903688749,-0.696396274150908,-0.414227958141361,-0.655410939870271,-0.0235067304356236,-0.420197583752693,-0.433741069660919,-0.302530877589273,-0.264252442799718,-0.370035127944602,-0.661913593161098,-0.367714616663702,-0.446522051491595,-0.275997077312464,-0.188914358638055,0.0757363788716022,-0.295611363251366,-0.71343392901375,-0.460512616664617,-0.645463495971305,-0.383445073821418,-0.126603377266816,0.0142071372099478,-0.166371577751427,-0.203937798902027,-0.528464507029331,-0.489302178693697,-0.0089482076607163,-0.537764160740985,0.05937505972076,0.190499684957259,0.110088281150598,-0.366374672100691,-0.192182583423805,-0.0513044252441692,0.0457405501174754,0.07634585535515,-0.0395725243587861,-0.291756644992406,0.117150059955581
"ACIB_As_3 (GE) - TPM",0.0721110504022417,-0.138424789280251,-0.503302072349546,-0.517225604418163,0.798271451402881,0.161233273559187,-0.283830697345199,-0.254648140988527,-0.316103428065275,-0.36412974375457,-0.385646271392576,-0.415295818984078,0.696128931123381,0.0985213067337304,-0.286411835913669,-0.0338352911138837,-0.374327165103488,-0.282295158731696,-0.325870186797162,-0.423158975892105,-0.0507044448278998,-0.411932402081757,-0.421076605187693,-0.334602290974591,-0.162248839755771,-0.373736479205237,-0.119461316645243,-0.359904422691432,-0.375227295247685,-0.121578205583957,0.153381755987303,-0.260726216531125,-0.188091263616163,-0.740102424398368,-0.0627297522085509,-0.717821594884515,-0.39840541180826,-0.279278869912322,0.349921156230096,-0.0933165811343401,-0.0148326373950758,-0.110329575582468,-0.400838537758539,0.199299685973058,-0.583467913730361,-0.150208458673596,0.458317516967793,0.138929412276313,-0.37042969498908,0.00309724018614511,-0.255136816927913,0.0391371664947847,0.0594024504354911,0.0683297494782324,0.0721266038348583,0.43399569404041
"ACIB_Bs_1 (GE) - TPM",-0.812970146276485,-0.425265281595703,0.468471637832692,-0.627505616553915,0.00738411371657413,-0.211542778230204,-0.597157658451156,0.348026094160375,-0.23172418928224,-0.377654066746559,-0.437958846417185,-0.242579252572001,0.315681606271105,0.798507933072665,0.086210683006413,-0.305050301105378,-0.432336074890388,0.0539715594268706,-0.0527082172965578,0.468924462803505,0.142751430828845,-0.388731900903378,-0.437663450877658,0.701870846303885,0.220323047108255,-0.384538348624816,0.347446830757201,-0.380994164488874,-0.357479337503205,-0.483139018124548,0.181460133494041,-0.847568666301536,-0.506216639392595,-0.200741220914322,-0.596862941547304,-0.517893571596923,-0.412432972247799,0.464540382158461,0.143152955959358,-0.29917024395132,-0.0142492060616632,0.241870320152558,-0.371466461794862,-0.166530375600781,-0.247355281833028,-0.361557453735134,-0.106308353711,-0.643081128426633,-0.440538616928414,0.294230577570823,-0.415829812691265,0.146670436201145,-0.0202441578866623,0.0658562428574701,-0.461393840079214,-0.0108326062566653
"ACIB_Bs_2 (GE) - TPM",-0.887214199099824,-0.358717447131634,0.421238638626632,-0.0840770373967865,-0.227041356175665,-0.698450687210238,0.317128067307639,-0.0500777872679613,-0.306850437515284,-0.381736651868544,-0.44431632923747,-0.520944074487341,0.173723907896112,0.431805315891298,-0.0349423075374511,0.131332343233903,-0.988240856557445,-0.5733902162685,-0.1972191340264,0.676278995818714,0.753103579446972,-0.447865688275023,-0.443861301452016,0.761771319698378,0.0695423524799945,-0.374097278239756,-0.353689580946776,-0.379312756386359,-0.159204385019421,-0.554023517632523,-0.0201024356720884,-0.224322470585895,-0.499679745871961,-0.247598718199238,-0.67103518724788,-0.501266618687122,-0.409045434611574,0.00266905332381596,0.250035398546732,-0.348850175149348,-0.191408556368394,-0.0733110771511082,-0.193894290103271,0.175185169765281,-0.487287271900535,-0.495331317382105,-0.349360524444301,-0.458693805558447,-0.458413887500223,-0.0433666600132395,-0.679199102099423,0.978508812331453,-0.306429163989164,0.0953902852179839,-0.687834199970508,-0.245898245730993
"ACIB_Bs_3 (GE) - TPM",-1.26753438079608,-0.330039502490377,1.05201670618985,-0.627505616553915,-0.38485979345964,0.0853516216847561,-0.902682703654472,0.162629964028617,-0.35549781383038,-0.387496037721811,-0.434613389765426,-0.465694756397592,0.0326147545871557,0.189749624123928,0.314480666660525,-0.111037558905658,-1.16629810089376,-0.179309969728127,-0.130515762650215,0.292466936147439,0.328978680348862,-0.384097207873558,-0.43372879557483,0.709715746238955,0.428880854788712,-0.382875237260672,0.894740474509706,-0.372550066164814,-0.324729279455409,-0.511951169387364,-0.227340399260513,-0.767672794719289,-0.468709535356192,-0.263941885474956,2.09080328946411,0.386519203018842,-0.389235432119072,0.124252123540506,-0.48084275442437,-0.174998921507716,-0.277564098298392,-0.202239895722412,-0.49752331088821,-0.169156547449419,-0.158428505023185,-0.64398071174462,-0.721061138175115,-0.0904329336256798,-0.373673327895296,-0.332817956049123,-0.567986717321075,0.705731790479613,0.465563645315909,-0.311951393389649,0.0875471449503291,-0.265469573058366
"ACIB_Ctrl_1 (GE) - TPM",-0.557366661532681,-0.329083358478359,-0.150290249581684,-0.627505616553915,-0.0895460583978926,-0.132597135159021,-0.600414191986537,-0.459354344779541,-0.309197985880338,-0.374109906917694,-0.433224729380761,-0.120308538822053,0.256370075000833,0.221498317026656,-0.422756820945574,-0.103049231472859,0.259646252769277,-0.187477033616922,-0.199678623483065,0.282448041094955,-0.0310946290902235,-0.330858705160954,-0.424194608559674,-1.02175811210856,-0.494240074276604,-0.358022601164629,-0.725743147620173,-0.357932332034417,-0.437097240423623,-0.0918177395760092,0.01779994115924,-0.635416068134663,-0.468630023971776,-0.27319150964673,-0.344607173613752,-0.401464260279083,-0.402429408778004,0.065854376883884,0.657047408103549,0.0018464614427974,-0.0782670636479477,-0.204031451381706,-0.47622294978319,0.0762619379926913,-0.396992010658816,0.298626150513552,0.314065745831866,0.592370609301319,-0.447081360146546,0.0910696264436939,0.196431131452304,-0.0656545497519787,-0.559607305585511,-0.0289622348101494,-0.709218575908742,-0.0520192894977331
"ACIB_Ctrl_2 (GE) - TPM",0.495088851212622,-0.439897795321852,-0.18866453228929,-0.627505616553915,-0.111512483911614,0.0591922540998504,-0.902682703654472,0.176596224685379,-0.17664164635486,-0.364540059159595,-0.434491511758093,-0.335134788378097,0.274810224222567,0.787650488964854,-0.850534643496551,-0.103969499228018,-0.317551852349467,-0.600746336061088,-0.157343039752542,-0.146462084371693,-0.312617793754713,-0.447865688275023,-0.435706457579293,-0.74663101708112,-0.42340966823444,-0.379614049445901,1.60499341637863,-0.377992275140779,-0.415373037954767,-1.07730914161423,0.509529669141969,0.116572272045386,-0.457492890811343,0.206440277830062,0.0516549617625526,-0.774085010620784,-0.419630507727625,0.240825172425277,0.528058404779139,-0.226452075935666,-0.295311483178477,-1.08279918708825,-0.519677761923588,0.463102233293632,-0.0724196921900832,0.073278701460997,0.337535256392604,0.433621463160894,-0.454580296050414,0.0244896245630623,0.0314408345530138,0.729996049363544,-0.725434103469485,-0.0919904376919577,0.267413012428262,0.658624054882481
"ACIB_Ctrl_3 (GE) - TPM",-0.373049262963857,-0.227604366694605,0.0295644318614986,-0.627505616553915,-0.356555986501457,0.126741844017397,-0.100748882009563,-0.514661925179822,-0.213399858413001,-0.398483000536635,-0.440015492328597,-0.107676778336581,-0.164156137026916,-0.683669687851457,-0.115121923991244,-0.392243956852579,-0.229855557820878,-0.489634587357495,-0.299577113833158,-0.681910985478751,0.190111486450018,-0.370259310604434,-0.425980372524493,-0.744895566177597,-0.652074766683289,-0.381651956342283,-0.862085723073768,-0.377215489003736,-0.600848163428699,-0.343397816573778,0.122629367268106,-0.192156003433974,-0.495322345284992,-0.366260298288167,-0.117504762053576,-0.697423148472408,-0.402176341115324,0.538270000855331,-0.759887314617697,-0.278565887048709,-0.575512547951534,-0.438162461101977,-0.272880553853239,0.0513493177852629,-0.26312921677161,0.521865196685827,0.0418292401845303,-0.109857745769004,-0.413916354983404,-0.189404932698019,-0.258669467300031,-0.663381998658708,-0.00774177275729789,-0.47922448018157,-0.398258274516683,-0.423354405384196
"ACIB_Li_1 (GE) - TPM",1.56365446018104,3.66458267727703,1.1939220499604,0.359838170022374,1.67578163872326,-0.351214983583281,0.36840079608644,1.8205445062401,4.76524307747135,4.57218975032396,3.46739352883863,3.87544106759322,2.06099500362051,1.22019802340908,1.13302944508209,0.387312837997845,2.11309449604139,2.63140884800543,0.920495809170171,3.00477653040257,1.75107803386158,4.71846563095643,3.28320176283225,2.37885337519529,4.33373666614812,2.38988677188695,0.558383578623987,2.61657338924423,3.58489088557362,3.26256891350517,2.58685767826434,2.20232922134051,3.68005527890286,1.61819970308591,4.01780397978018,2.07563285886855,4.22851205779038,2.92051748300024,2.21621625793724,2.53624367667171,2.23627041532407,2.14349719753002,0.476187452320509,1.43772415312404,2.88688541882851,2.82576808203719,2.04717982620933,1.90049584460188,3.05220480679552,1.68363181524119,-0.207463466210757,0.209947928182735,0.687772628563572,2.13690571672752,-0.41955397352657,1.2999324759454
