"","ABUW_RS01055","ABUW_RS02780","ABUW_RS02785","ABUW_RS02810","ABUW_RS19730","ABUW_RS04615","ABUW_RS04620","ABUW_RS05105","ABUW_RS06260","ABUW_RS06470","ABUW_RS07015","ABUW_RS09440","ABUW_RS09450","ABUW_RS09675","ABUW_RS09910","ABUW_RS09925","ABUW_RS10580","ABUW_RS11280","ABUW_RS12495","ABUW_RS13690","ABUW_RS14055","ABUW_RS14415","ABUW_RS14420","ABUW_RS14425","ABUW_RS14430","ABUW_RS15170","ABUW_RS15275","ABUW_RS16290","ABUW_RS16425","ABUW_RS16945","ABUW_RS17645","ABUW_RS17720","ABUW_RS18085","ABUW_RS18265","ABUW_RS18270","ABUW_RS18705","ABUW_RS18710","ABUW_RS19210","ABUW_RS19215","ABUW_RS20055","ABUW_RS19390","ABUW_RS19410","ABUW_RS19465"
"ACIB_As_1 (GE) - TPM",1.40893166929331,-0.153494970220717,0.115560016673308,0.232262150840416,0.680840743408831,0.156219965278084,0.761649532315982,1.85580556911016,1.7123505950162,0.240057102829995,1.10094078165003,1.79459437645821,2.17029328840332,0.343074470867008,0.643804018084892,0.710972542164908,0.0355789064521554,1.37784025864726,1.58041182951411,0.776752348691875,-0.184648259083647,-0.116507513622469,-0.117996140207393,-0.12575114684663,-0.10588714727112,-0.204116078115608,0.133989910059916,0.628982608737677,1.07770706047912,1.05538036265974,1.63420549265697,0.986051295998372,1.25427810016994,0.207796124457772,0.0103502294794205,-0.00948038808862079,-0.326462249376884,1.43218979411193,1.45882189748984,0.12875469452631,0.818078383708778,0.413568915634741,1.93791316348562
"ACIB_As_2 (GE) - TPM",1.6721629873504,-0.00500436304243442,-0.208272777670265,0.198763468633376,1.1919772824669,0.660140117816078,0.0968630265837839,1.81620124762332,-0.0592662952840882,0.976361958659616,0.731849296262177,1.59897788737166,1.74999266393101,1.07091216425285,1.00649341589656,0.606937414632681,-0.314819837625403,1.46889292133563,2.04762881640998,0.754055060289777,-0.159062518117658,-0.256156426974436,-0.179256884426874,-0.0854493768498767,-0.0489173659130305,-0.973350308232574,-0.298882616847659,0.0500035468206476,1.38293370908927,1.07370103133591,1.50465178847282,0.815764517832573,0.669748113980706,0.158732933546837,0.128497317394062,-0.216013449734842,-0.293154816502196,0.781781298810174,2.36251275514034,-0.430446817887007,0.31378627435726,-0.000974168537584037,0.590826513602042
"ACIB_As_3 (GE) - TPM",0.981125736124256,-0.140337387180719,-0.0998920729163363,0.437206610537492,0.664201283455033,0.677771011604344,0.381706294224594,0.919563430432632,0.0228257797117745,1.00905066265436,0.860776111957348,1.23858741177325,1.08860208555433,0.117762325281122,0.972651873835622,0.347780080764488,-0.164568334804907,1.04620032454727,1.14911958503308,1.59346115209953,-0.196416928744517,-0.0944786804651589,-0.226040828183937,-0.101739357861299,-0.199272563966893,-0.517197424309988,-0.126064452789465,0.611199117373771,0.357971330246627,0.676944273357209,1.33017640338352,-0.13634279107825,1.53982326619429,0.306270277242429,-0.43777765176477,0.178325149120653,-0.26990693870932,0.145737395780578,1.66588214270126,0.448496281159362,-0.170528968121417,-0.0994391575900688,0.438628885913359
"ACIB_Bs_1 (GE) - TPM",-0.523081594502215,0.636241787286526,0.496274551280872,0.0507772612103039,-0.703187362670555,-0.329141998139175,-0.540028460469026,-0.39004210454524,-0.120210496849894,-0.344392698904401,-0.547040938863708,-0.0886913387329417,-0.097400226316771,0.572691577003329,-0.779417758034137,-0.457274112206502,-0.382643325449443,-0.0658890830715618,-0.145781961249155,-0.375746644038422,-0.501898961353509,0.0605601378319491,-0.255434554641274,0.0110761511492664,-0.211408506898221,0.207708409793268,-0.193158162389321,-0.36921038316385,0.124820272741595,-0.352270771487724,-0.435008712052146,-0.128359267269671,-0.110354502635614,-0.396571048593668,-0.229091712079362,-0.594812248366182,-0.458944825891703,-0.545665405695558,0.0164615529296126,1.47885000964609,-0.524463708246554,-0.734787128961089,-0.218093073920125
"ACIB_Bs_2 (GE) - TPM",-0.122412322671693,0.443287267223736,0.65665236598977,-0.168427354531967,-0.703187362670555,-0.00816276899703513,-0.94315601738858,-0.402257617129717,-0.452978309225891,0.906554828215854,-0.706345125821608,-0.705885261194319,-0.0913382657546772,-0.0446647959051085,-0.0213845130013439,-0.379904172929509,-0.610317467281185,-0.513821822237978,-0.549631995653672,-0.938549992403778,-0.664386169006763,0.0845915512511714,-0.280372888126472,-0.0871988648454131,-0.211616372968584,-0.0755590259168671,-0.429687888289045,-0.310099986284204,-0.267168656972854,-0.87509963914125,-0.57179942304759,-0.659718221522932,-0.941456404932461,-0.68676168360038,-0.872883884891606,-0.571804596764708,-0.416240685691903,-0.848023189710588,-0.582882628793981,-0.430446817887007,-0.207341815725487,0.0479164604343421,-1.00616508264652
"ACIB_Bs_3 (GE) - TPM",-0.386327302736499,0.767799487070964,-0.346819692707889,0.236647079786649,-0.703187362670555,-0.46676165668481,0.378938194018043,-0.0910600841983022,-0.78450167778994,0.949628066238592,-0.580683519936384,-0.644117839893854,0.198140455381837,-0.0952047036599918,-1.28635603487863,-0.577659841002913,-0.649664687526442,-0.338805546180121,-0.741661109229103,1.77057977150158,-0.43471395004383,0.310493782434299,-0.291394106788742,0.0312545602242513,-0.292289761292487,-0.0810694066866882,-0.266528890888419,-0.0721662961648618,-0.303702714601657,-0.281238037104822,0.0370460341472764,-0.534614474850604,-0.190362585967535,-0.859966547464363,-0.747024880202722,-0.482560316685772,-0.532247331919339,-1.0311645024871,-0.0391348616803035,-0.430446817887007,-0.36804710270489,-0.734787128961089,-0.164776209684071
"ACIB_Ctrl_1 (GE) - TPM",0.216660175014654,-0.406586483959227,-0.604538373145089,-0.335914635398378,-0.703187362670555,-0.323547844543615,-0.467219135246971,-0.114123347018376,-0.455896364216447,-0.974357999950435,-0.143380364189697,0.734176161659268,-0.188009672718443,-0.47709204340012,-0.784821116978416,-0.85327441412854,-0.209536913628321,-0.217637663901965,0.366846111162634,-0.472928217166362,-0.507715228277787,-0.065272870377762,-0.325500845532489,-0.00232979750492175,-0.199674211412636,-0.247968031620114,-0.403762694161241,-0.671753401901034,0.246767771185603,-0.0695474380392387,0.552730840262652,-0.34570350061239,-0.495179393905481,0.0728730044221314,-0.271618216362243,-0.506043422840276,-0.335398953596132,-0.78379781052325,-0.456455870979714,-0.430446817887007,-0.255392328594595,-0.734787128961089,0.0651373640827258
"ACIB_Ctrl_2 (GE) - TPM",1.75864642948069,-0.251485413204062,-0.154657518180248,-0.821141002325258,-0.703187362670555,-0.578119112194519,-0.726420715262267,-0.388714438916554,-0.78450167778994,-0.64973164294334,0.272175024761016,-1.18239141801314,0.213268625460064,-1.3195043672205,-0.3256109656978,0.702897069719478,-0.51194806148195,0.42099161935967,0.277434394403665,-0.884827055172938,-0.260940627685124,0.66915258374113,-0.240645659372862,-0.265645363750929,-0.0308739350704629,-0.74670570033197,1.79747055396907,0.85899684352513,0.781487180781451,1.16849409906582,0.44711537828341,0.118023969708071,-0.0941989128586758,-0.25167403244838,-0.401813514560819,-0.217111837756673,-0.431325045045824,-0.314191327548005,-0.635865796173008,-0.430446817887007,-0.129103138105036,-0.734787128961089,1.8817327397251
"ACIB_Ctrl_3 (GE) - TPM",0.627801344664428,-0.32125971398067,-0.889670759308198,-0.392030879298159,-0.703187362670555,0.149684007516344,0.0840079138314377,-0.445917792944404,-0.687634266240079,-0.383680067149463,-0.408168730537295,-0.396660629082666,0.249924877837431,-0.20202287616994,1.37483954384576,0.978763161329404,-0.543769784852403,0.500679074961827,0.297466289449578,0.748937874325376,-0.323627691109967,-0.28184856856569,-0.111324014227918,-0.0258888889789586,-0.242174717525666,-0.446775031340381,-0.418237260577451,-0.534578961900204,0.702889812555423,0.491079562419072,0.696561841865082,0.563552534172109,-0.0774105670747271,-0.0439853935781908,-0.0979542621970946,-0.443452944342534,-0.305395270747367,-0.62324850630337,-0.704504813164103,-0.430446817887007,-0.850003446224109,-0.734787128961089,0.651622144715753
"ACIB_Li_1 (GE) - TPM",0.162482137162974,-0.637281393620167,-0.487794200207116,-0.507225900630649,0.0169488335505569,-0.25503150829431,-0.46265848648988,-0.437029797849302,0.278447261592588,0.223567960800756,-0.625761688665528,-0.209690444897261,-0.541298161707525,-1.10756186202342,-0.421113772747507,-0.432039983691136,-0.0357049623934649,-0.24329375920088,-0.452676023900336,-0.406285135496101,0.0253009644622986,-0.550417974947549,-0.120242397698453,-0.24571613221767,-0.194853156983422,-0.163034061859011,0.0172913018369466,0.265787232984595,-0.021560843822092,-0.583916305048172,-0.718302260042924,-0.411922954924457,0.258275647469119,0.624103138370173,0.799158689658423,-0.505004861956136,-0.464982225204407,-0.0870030750348083,-0.341270699000101,0.0509650260741598,-0.401409590506732,-0.400180671153038,-0.820764071754542
"ACIB_Li_2 (GE) - TPM",-0.10527828222897,-0.664220322521577,-0.456054620755312,-0.532300307969856,-0.703187362670555,-0.121302547353784,-0.970877525133193,-0.562780501568944,-0.78450167778994,-0.167856390536704,0.186543472299057,-0.658211771981864,-0.626057045420385,-0.567310204492287,-1.28635603487863,-1.08684828837036,-0.67016323531585,-0.323102145849589,-0.333104762678641,-0.902160881673672,-0.278066464062006,-0.377133463106721,-0.342213583438482,-0.0706249324783309,-0.305662655338313,-0.629410658710943,-0.231328895586807,-0.850203126812551,-0.83882915048094,-0.719027460301565,-0.836276581581935,-0.913072603227056,-0.166930044973904,0.541596507944351,0.360226142532562,0.116680287836534,-0.4619577436102,-0.0170070252831094,-0.519306419120924,-0.430446817887007,-0.18780509958582,-0.734787128961089,0.353914004879757
"ACIB_Li_3 (GE) - TPM",-1.61482480449659,-0.632244355905147,-0.807167010489384,-0.821141002325258,-0.703187362670555,-0.266143641987027,-0.44024811791868,-0.246891797474657,-0.78450167778994,0.121346088189033,-0.209268212964539,-0.367955720109025,-0.471011440174022,0.137323912856171,-0.765957485862869,-1.08684828837036,-0.325880962812901,0.305086942633682,-0.240548151136212,-0.309248428913617,0.145749066155875,1.11235682327694,-0.457292089634131,-0.150695546870874,-0.381186565030936,-0.500623370725896,-0.154081002759631,-0.479880046028329,-0.574269633908061,-0.469784109833293,-1.08478626759624,-0.72064775872828,-0.702452924619112,0.860392307110933,0.592934276180551,-0.323419633211851,-0.434402462931461,-0.0121412942049746,0.699491137496358,-0.430446817887007,-0.398198128691372,0.0702069068847457,-0.612784002392005
"ACIB_Mig_1 (GE) - TPM",-1.50531930601354,-0.588738041975212,-0.852213964397184,-0.695422541613482,-0.703187362670555,-1.24529305821051,-1.0914121938973,-1.18512580531656,-0.600033547207995,-1.05636218104223,-0.845083222342169,-1.18805530238713,-1.05834715949812,-0.810224908317828,-0.929010358621336,-0.814520824908268,-0.673455498535972,-0.969368596897186,-1.64063519739454,-0.725443561253809,-0.699044378824355,-1.03335233653549,-0.518957162321465,-0.950231178779962,-0.848226435701179,-0.690017474478314,-1.40528629010279,-0.803968160418109,-1.70410608926091,-1.06539990309993,-1.55602521405633,-1.45844911564446,-1.02240208744464,-0.965480679318181,-0.958501455668106,-1.22021718895883,-0.661799694403918,-1.17813335550135,-1.28715703955157,-0.430446817887007,-0.793046402149512,-0.734787128961089,-1.53321964352117
