"","ABUW_RS00180","ABUW_RS01770","ABUW_RS02165","ABUW_RS02175","ABUW_RS02975","ABUW_RS03095","ABUW_RS03145","ABUW_RS04200","ABUW_RS04210","ABUW_RS04225","ABUW_RS04230","ABUW_RS04500","ABUW_RS04505","ABUW_RS04535","ABUW_RS04655","ABUW_RS05140","ABUW_RS05145","ABUW_RS05285","ABUW_RS05630","ABUW_RS06230","ABUW_RS07045","ABUW_RS07135","ABUW_RS07215","ABUW_RS07385","ABUW_RS07515","ABUW_RS07650","ABUW_RS07955","ABUW_RS08520","ABUW_RS09005","ABUW_RS09010","ABUW_RS09015","ABUW_RS09020","ABUW_RS09160","ABUW_RS09225","ABUW_RS10490","ABUW_RS10985","ABUW_RS12070","ABUW_RS12075","ABUW_RS12385","ABUW_RS12935","ABUW_RS13285","ABUW_RS13920","ABUW_RS14010","ABUW_RS15795","ABUW_RS16135","ABUW_RS16380","ABUW_RS17090","ABUW_RS17365","ABUW_RS17390","ABUW_RS17430","ABUW_RS17775","ABUW_RS17780","ABUW_RS17860","ABUW_RS17905","ABUW_RS18525","ABUW_RS18530","ABUW_RS18535","ABUW_RS18885","ABUW_RS18890"
"ACIB_As_1 (GE) - TPM",-0.595008554498128,0.283050682675938,0.0490611086480002,-0.405374044593038,-0.0419464240493194,0.114471841909779,0.00885730763567077,0.0707750841208334,-0.138799477250711,0.000633001469669114,-0.231741289724428,-0.303081389097552,-0.453437184435286,-0.291420128876947,-0.398650210392953,-0.420884751607028,-0.386131051936483,0.26923222465013,0.23687144835307,0.418633875003578,-0.41114355623467,-0.494044775777408,-0.163790819322508,-0.374278504163793,0.244103593483629,0.766703426645068,-0.32082312821269,0.561060151066106,-0.347897376808779,-0.255656118818943,-0.098748626642745,0.453803831086585,0.292881811057654,1.01613806267414,-0.023205027509038,0.331190835009307,-0.0793758318855636,0.0141879020911685,0.779287371023103,-0.36815531583239,-0.62125499186082,-0.642855885236569,0.372740897597011,0.852401343319117,1.08383029431432,-0.405614641449186,-0.330631817773585,-0.334136004402395,-0.203469820581066,-0.463444869283233,-0.062405611731164,-0.121395161088878,0.0376860833397297,-0.376434392877035,0.0153614196959832,-0.249056737241946,-0.500345338530976,0.113258401695759,-0.489026986029731
"ACIB_As_2 (GE) - TPM",-0.432744673188111,0.548071531223746,0.366065077376351,-0.458310784351981,-0.0736175234383875,0.313148061327382,0.263236518324992,0.0847110082697004,-0.026240034372447,-0.0199299201041752,-0.132338282635463,-0.349606285817182,-0.102227461182794,-0.283078131933647,-0.437605543888337,-0.530706720507792,-0.455199809282063,-0.322685059203443,0.0903474872648943,-0.544525174582186,-0.169724323674257,-0.646779116662208,0.0148704302272073,-0.208621680097073,-0.166105708334381,-0.0452426547791424,-0.388102730235963,-0.178790460677399,-0.341412967428634,-0.339347553994272,-0.0431567118831543,0.0133388895391129,-0.165182777716751,0.324711310972671,-0.0664050453461733,0.587413299651183,-0.0066519931420287,-0.126304802746454,-0.0837408658964379,-0.0782827365611198,-0.696962349070699,-0.596714594139981,0.0792057998502481,0.921490800026986,0.0715111817689787,0.236154577191629,-0.399166377665839,-0.296429867878461,-0.250659356576576,-0.325898054427029,0.120693090270407,-0.0524181784057669,0.307550688762828,-0.407016858130066,-0.103041164983739,-0.33172226463212,-0.247181372561802,-0.0331534313796255,-0.322948724602218
"ACIB_As_3 (GE) - TPM",-0.521797216201703,-0.0842680409283724,-0.0338457949814842,-0.569258926174808,0.0240177964626407,0.105680830463394,0.0225509546646324,0.158492357880094,0.0444821596006662,-0.155333993196233,-0.413656486435201,-0.109780111018515,-0.305128736030755,-0.291758409075015,-0.465363586876933,-0.475119194199701,-0.387417147141881,0.119845043913026,-0.0978521559645475,-0.127939978518959,-0.30553457754717,-0.430752135174267,-0.157976486659234,-0.122235356506859,-0.150136684440125,0.467209080116186,-0.511891368702989,-0.104167430852716,-0.351469751611607,-0.293393469500751,-0.0514855477668852,0.018258249752311,0.804328963950203,-0.329982201429782,0.163144313722324,0.415736586786588,0.612906463596971,-0.531764236243575,-0.158368176788256,-0.246748555244056,-0.720543927742668,-0.741856661405514,0.574012000089594,0.301330687289526,0.275584407519229,-0.303857116249696,-0.531322249370096,-0.381217599130283,-0.37887294371818,-0.487605954551712,-0.0928033848078915,-0.317423471456647,0.467503634397911,-0.414599818398167,-0.127688614541327,-0.273186541290153,-0.259357599757358,-0.234810467597389,-0.501711584272209
"ACIB_Bs_1 (GE) - TPM",0.598885715258814,0.134493687348705,0.410701633478731,1.32903825222723,1.00863001771524,0.559759910799369,-0.407173162936275,-0.74175710828697,1.57034641909749,0.547310309470109,0.750612662422512,-0.0617189106203626,-0.120513829953606,0.736548704131338,0.0232104269540683,0.317157787725519,-0.244212301045448,0.22532908923635,-0.0551125328387496,-0.0270935403387274,1.07030096060135,0.265067106086473,-0.940807625600425,-0.317277464068577,-0.378275101575475,-0.77704001513298,0.401983490766657,0.342463359096779,-0.401407857285653,0.295870177114432,0.226002749720477,0.188505418809124,-0.125549972979606,-0.184145749069434,0.630553038753676,0.661240629672658,-0.164589478208594,0.540162733496587,0.37815926642399,0.0478402993155394,0.0251901623591015,-0.0673935245860817,0.777103867183908,-0.531357917999226,-0.169044527950767,0.575794040929802,0.845927447401261,0.531802652158783,0.752478397384867,-0.218662175149674,-0.421080939839183,0.864812880859924,0.32420116772833,-0.208829659961218,0.258214430285847,-0.279477016660617,-0.261597544375146,-0.129846037895087,-0.024468547971897
"ACIB_Bs_2 (GE) - TPM",0.325699888393754,-0.0359181177898344,0.445337337099584,1.11214566284521,0.939257278082347,0.385519876502854,-0.779790816371479,-0.621888728433929,1.26785467037498,-0.0431131947290223,0.135972260939302,-0.562110818866202,-0.0914451684201253,0.678998949044039,0.159732887858512,-0.0896229883927506,-0.444300259721112,-0.566578502897173,0.193185600185647,0.255087120745138,0.634990128440667,-0.0777478357967651,-0.0480884462617555,-0.319496149291308,-0.852988676065812,-1.09127920497202,-0.0691473278653925,0.0392649744480936,-0.460405766985943,-0.0583292629551547,-0.165672429037113,-0.342284466718353,-1.16199500160972,1.07049199045509,0.293717829225665,0.501210514756072,-0.311005465382931,0.490308955355952,-1.18833739031528,0.000892448719913179,-0.33788068992286,-0.210423039525782,-0.913888385645976,-0.690862355430081,-1.07099163878064,0.238304810787309,0.0498193963604247,0.322222340547827,0.959199261100598,-0.339415441994685,-0.248650229766152,0.893549646267052,0.361508477481313,-0.549234315072442,0.735114901265856,-0.301794842699201,-0.193712039707397,-0.565977868326439,-0.347863085028795
"ACIB_Bs_3 (GE) - TPM",0.717367975806971,-0.652348104553193,0.0735771235199906,1.03092004691904,1.18107971873857,0.701606007303241,-0.85124026523128,-0.518858353855216,1.43859874646706,0.750660308547076,0.523802116003577,-0.287297727330888,0.0208065817510097,1.02386730380076,0.159582747242092,0.287140269040488,-0.299679790033084,0.0108225123590786,-0.165712530690478,1.90525317117776,1.18484749866809,-0.114070656391782,-0.628999447189277,-0.224452621369267,-0.997399156681468,-0.217782500638529,-0.038755174443945,0.286162883258965,-0.491172299161794,-0.0424541448966844,-0.197954903474846,-0.510845264059687,0.500932387641291,-0.36399541611115,0.334530613394133,0.441883702476787,-0.803181214595736,-0.285700904346809,0.00965162844054422,0.23246204389883,-0.163859691076594,-0.188148236121491,0.931678459671064,-0.423935170718212,-0.164190683173366,0.488290311151303,0.299282046986399,0.901210079893373,0.643063239843543,-0.19598995254592,-0.446892056057385,1.45296291774735,0.396883212825629,-0.413101414542556,0.42019474881409,-0.327873789805683,0.076937264905441,-0.193193191833543,-0.18984235019521
"ACIB_Ctrl_1 (GE) - TPM",0.0242367572978958,-0.421457024254154,0.291521009442314,0.718029345880881,0.635396232966527,0.15445855051237,0.691704583142781,0.228744663232577,0.703645850309432,0.240114061157342,0.553743895372993,-0.212793976416968,-0.140314519080491,0.343318957471795,-0.272097427560623,0.0814116972488773,-0.268667184957655,0.383226173947755,0.311680013009469,1.36982489501422,0.493955759171263,0.194887291912326,-0.0638333518612302,-0.329901193411482,0.174594486074194,1.02612063610493,0.473708219393909,0.148713280000686,-0.376429097883156,-0.119663929439478,-0.0047172320100086,-0.120567177134401,-0.463328466322202,0.173417803695806,0.779163337708483,0.300117752102226,-0.182938801264444,-0.21018464060206,0.149081278751102,-0.107496147739852,0.118859448577382,0.000824116029872535,0.0592299245205779,-0.313065851420394,0.441413418830829,0.127312048789494,0.361587713858319,0.0201681494818347,0.660671517750827,-0.229552650003636,0.00536817683141018,-0.0127790646376341,0.465452420546773,0.0891338689518907,0.29674084481144,-0.0371807773172793,-0.218148357975413,0.258210009804639,0.0931547696063862
"ACIB_Ctrl_2 (GE) - TPM",0.348252117574258,-0.103789514612604,0.187430582700639,0.408348918321468,0.277701873830655,0.120903427216322,0.159551205843387,0.0518808107066603,0.433725184592508,0.153211914793007,0.852953259582568,0.721746559877971,0.0782709508543739,0.17635332987225,-0.255059758088731,-0.0338832641131005,-0.431675429240009,0.39679197277114,0.939202267090622,-0.626645645452226,0.841902749491426,0.0474433378382214,2.19642750743341,0.799053853020036,0.0678276813936898,0.527211468482455,0.0425426748687542,0.158025979604908,0.119869744068,-0.55370330562148,0.0763982783372595,0.0130043365410434,0.24553453453431,-0.646211169328212,0.62644428040754,1.06514700518147,0.832730371262438,-0.790586393689324,-0.350578669697554,0.321603033290232,-0.0179692603764112,-0.0475302033289436,0.673751672581409,-0.118170227608381,-0.372042928230724,0.0386164570865736,0.638125411114003,0.666929011159743,0.371846287506534,-0.0693975239229061,0.655905948816948,0.386064781242296,-0.331090226231575,0.493200590812737,0.105674750718845,0.0606814766923539,-0.0697127938955072,0.603286593403053,-0.00183539640265471
"ACIB_Ctrl_3 (GE) - TPM",0.0740410008992129,-0.421743144131427,0.422550523015862,0.624239744933439,0.174659697706819,0.0216873172971617,0.2192432635961,0.0624031451071878,0.437723894326011,0.515654740758338,0.500170706472374,0.882552069876888,-0.0891247204030663,0.380165850103813,-0.271273832132121,0.0229415192339472,-0.449250269447705,0.634185512694921,-0.47337164911548,-0.169604216350555,0.786209161831701,0.0314072457168434,0.613112949460808,0.000885707070078218,-0.0211441637582443,-0.391519043733827,0.0412426522415035,-0.0108944248094113,-0.236937027442897,0.247577122770493,-0.387029740065593,-0.162434149192721,-0.440033514346658,-0.523300611824189,0.66874217802097,0.25630738113178,-0.317151282304462,-0.327776790868051,-0.679597117742006,0.393609524510905,-0.111866576465816,-0.303197354380932,0.530428424872204,-0.07416091129154,0.170037231143152,0.359734839780015,1.01064104771422,0.141154460805889,0.385283584038659,-0.180889619588854,-0.185086718204476,0.0651115569588784,0.427134156533261,-0.215572811881247,0.254170587538434,-0.135332078509265,-0.194535596515393,0.402007873606104,0.0149486250772861
"ACIB_Li_1 (GE) - TPM",2.13524938202146,0.58460712484968,0.796527772364518,1.14377445716138,0.922968448003666,2.49093550380396,0.527058566318429,0.850459137545817,0.622258752790588,0.24574893959514,2.74453599241383,0.697764355183704,1.02974913399221,1.70649232321858,1.43060688811874,1.7648223710574,2.13203761434103,0.0860566010005752,1.40050951505955,1.32518322760422,1.2110490237794,1.43865661342235,-0.164077299418769,1.39156644286907,1.08380282708173,0.547802718226226,1.66258841502061,1.76556915167731,0.946476106932082,0.943664457009348,1.30499467005303,0.73737092627228,0.572919631444841,0.00854306017501149,1.74653665176607,1.75634485150043,-0.263928160631869,0.288962875170143,1.39978592124424,2.61392664136499,1.23349954460156,2.36573852393893,1.32951950823695,0.386026465624481,1.6870761930245,2.01019263299678,1.95233494276015,2.8783963835906,1.20865151443745,0.886210399186564,1.22312990251641,2.24334956114808,0.136255941684677,1.91897162907428,-0.448680107142556,-0.377265175908129,-0.209373526433585,1.64806292047657,1.14260157227482
