"","D7S_RS00215","D7S_RS00230","D7S_RS00630","D7S_RS00880","D7S_RS00925","D7S_RS01070","D7S_RS01145","D7S_RS01170","D7S_RS01665","D7S_RS01810","D7S_RS01955","D7S_RS02505","D7S_RS02565","D7S_RS02575","D7S_RS02730","D7S_RS02860","D7S_RS02865","D7S_RS02940","D7S_RS03000","D7S_RS03050","D7S_RS03330","D7S_RS03855","D7S_RS03935","D7S_RS03945","D7S_RS03950","D7S_RS04130","D7S_RS04135","D7S_RS04240","D7S_RS04335","D7S_RS04345","D7S_RS04400","D7S_RS04600","D7S_RS04615","D7S_RS04620","D7S_RS04860","D7S_RS05010","D7S_RS05110","D7S_RS05175","D7S_RS05240","D7S_RS05405","D7S_RS05755","D7S_RS05925","D7S_RS06905","D7S_RS06945","D7S_RS07140","D7S_RS07445","D7S_RS07570","D7S_RS07705","D7S_RS07710","D7S_RS07715","D7S_RS07720","D7S_RS07735","D7S_RS08130","D7S_RS08135","D7S_RS08170","D7S_RS08265","D7S_RS08585","D7S_RS08620","D7S_RS08680","D7S_RS08685","D7S_RS08820","D7S_RS09245","D7S_RS09380","D7S_RS09875","D7S_RS09880","D7S_RS09885","D7S_RS09900","D7S_RS09905","D7S_RS09940","D7S_RS10155","D7S_RS10450","D7S_RS10455","D7S_RS10575","D7S_RS10580","D7S_RS10935","D7S_RS10945","D7S_RS11095","D7S_RS11100","D7S_RS11115","D7S_RS11165","D7S_RS11225","D7S_RS11320","D7S_RS11405"
"AGGA_As_1 (GE) - TPM",0.568685229783992,0.938657815116854,0.0986397340942231,-0.0855860757045387,1.1903344419842,0.853419755088319,0.426733488407375,0.0591970564849738,0.944714585095583,-0.193887245875174,0.365510977743508,1.47139695351366,1.58098390768372,1.42581137965054,0.0519506060226746,-1.02608371142405,1.99123904802664,0.722982213802683,0.0834651065536407,0.720637363686137,0.0139283629838477,0.411013201568933,0.624218101710399,0.484494814101794,0.172465818960189,0.302685451113226,1.41484217128909,0.866316142115002,0.677743287972446,0.30669162922784,1.44606544601209,-1.02960812369457,1.02453980325305,-0.122003188987165,0.850493060852307,-0.0467371557148518,-0.123793684381709,0.459648925971873,-0.588115320146687,1.2481318772306,0.19605175685579,0.7633595595483,0.825233375160192,0.152300347954382,0.187988152395107,0.384880897437269,0.729811512061479,0.773147371992297,1.03482562801179,0.844576796559042,0.371682001924732,1.20194958282119,1.08274975951401,0.773543480915429,1.54300644958753,-0.859516982472866,1.98701104657607,0.471872170264716,0.320031868721984,0.31880989712864,0.817244612816459,0.256708276434297,0.241506150633643,-0.224793449029027,0.0726701265603274,1.17564602025719,0.711492086101909,0.702306868674679,0.712217345971578,0.200503340419964,0.168238798022678,0.04903657838265,0.455918943456185,0.3625555360799,1.09578870673239,0.883708754756657,0.843246793483502,0.636487307543169,0.0820318027090001,1.2030585036514,1.38644487188573,0.731828538759039,1.61898870637546
"AGGA_As_2 (GE) - TPM",0.740335009235402,0.830918293948754,0.108431986505368,0.848458950244977,0.660236911550376,0.514574884211066,-0.0393349624242822,0.974527244467258,0.609187598682019,-0.400840531597896,0.154294522039229,0.983496834383442,0.555189319550012,0.618691948245379,0.00211127094579648,0.0129860668287236,0.10128236094591,0.139693016691919,-0.127141950793255,0.621244194856589,0.0782559806454563,1.03878741541737,0.293666292712409,0.63999881034627,0.617475949638768,0.123647047772481,0.451423454732853,-0.522681252908454,0.514079652246385,0.00196509208498544,0.233682988034021,-0.756230485358596,0.684907025907346,0.436222276224459,0.808141339908638,0.226526327506202,-0.436551211421016,0.786841308580736,0.137732879824627,0.577215493182831,0.287728077502885,0.0992953827408678,0.740240840393724,1.05866646993768,0.220537501777914,0.361812869857154,0.661473515991364,0.359032733080675,0.542371461418348,0.36916956027199,0.337807237122994,0.306713179154242,0.751276923481564,0.57791177905428,0.421730386460775,0.578364626917307,0.495763638081586,0.515067662201302,0.31173736857345,0.266782773862289,0.129138344845997,0.253258697594113,0.0478310745862195,-0.311590886229231,-0.16270731283639,0.72786869301826,0.737498182864044,1.01469497334869,-0.302292489783679,-0.29841712742155,0.234571330951143,0.055249171162449,0.0791214790286969,0.0842638542572532,0.421420018067859,-0.111985543697293,-0.107265968732597,-0.203226668122684,-0.762141468732995,0.0727383714856896,1.42831970738322,0.438019024147019,-0.0729277765886247
"AGGA_As_3 (GE) - TPM",0.671834865078657,0.773728676566893,0.401709073899943,0.00732311845667321,0.922618673246537,0.618673484769245,-0.0150849440446148,0.861732510695337,0.616034798613145,-0.824289488912234,0.205945659436242,1.24825502114507,0.223504460149539,0.500049726101954,-0.120455492273825,-0.274843421618909,-0.0244871698859303,0.223782407207776,-0.105907700209302,0.100854257326991,-0.0924229761724167,0.7427395444777,1.3090928265137,0.351144824906394,0.645496699835951,0.336263795336643,0.112815874195675,-0.0490755498168603,0.535039875307646,-0.141155723413605,-0.314932582315352,-1.00657458513074,0.824658193074951,-0.271176798499102,0.565180682909251,0.204698912491696,1.00701407122244,0.238214832833447,0.00459828488963971,0.0651259277723314,0.00942349289402341,-0.0575355965348142,1.15004464497224,0.366445902358609,0.0808702715504847,1.06250358108639,0.0314662137343609,0.103337763820309,0.185698683334634,1.41038624010183,0.019898300760113,-0.338619880492629,0.869393482425918,0.22384244496227,0.757884816424001,0.559540936350282,0.449947172702257,0.466969886418965,0.417835091930319,0.513181463777227,0.00581252219301063,0.507818354329555,0.602321363254669,-0.341436857350625,-0.281301911250101,0.975911130323148,0.652366808542184,1.63156309452309,-0.176351415928208,-0.216753718200535,0.388136941247941,0.203054433082849,0.0959544095626184,-0.421165434834642,0.0260355043301733,1.17225036320735,0.401891291676837,0.170109243678342,-1.52204567925617,0.626859200873206,1.17794471396139,0.426046904697201,0.589015513029249
"AGGA_Bs_1 (GE) - TPM",1.78926484575414,1.38756676870427,1.27505451957302,0.329907359539375,2.09921254871801,1.39842576382309,2.89252241768365,0.0861658246086843,2.27433674484928,2.06666151060823,1.39807266201366,1.00416545029262,2.60168264919632,1.0682989007976,2.30596480195678,-1.89927195435651,1.47588973552588,2.64058995171663,4.60497529253242,2.1702513772199,1.94022696666336,1.3419263416325,2.32911284300522,2.38825564311322,2.16625470602345,1.35280315620065,1.13397682487158,2.9635552050252,0.331249398446987,3.20547237031328,2.48576765705397,-1.10098110987572,2.18360157054035,1.30308969904417,0.771285126108666,2.55090716396165,-1.07686063911964,2.15033013848475,-1.33870949948949,1.50353183974529,0.976075506554412,1.97027073633556,1.84497902439193,1.07171075376636,1.28199762438903,1.201731692291,0.931942457997067,2.19259273853252,2.07585315404259,0.946289833747467,1.91263021392685,2.4130018461296,2.0020312052433,2.41170501766699,1.83511292231897,-1.65834816660092,3.23062150954078,1.38014819697537,1.98587612716056,2.14304432416124,2.82077558835463,1.61167021833768,1.48005468591746,2.97041872056563,2.69870291581744,1.58043653435554,1.84012745135216,1.53827238948868,0.344399642559524,2.78267067970729,0.958853871088331,1.92025674007607,2.21948990325636,2.50940073012785,0.596261004034429,1.14025839458121,2.14164217375973,1.34488636281183,-2.39545658486407,2.35043646392553,1.44407118114818,1.93995923394616,0.889384914258285
"AGGA_Bs_2 (GE) - TPM",3.06750875777228,2.5766264127572,1.76060239088555,1.6113588304372,2.10111866892981,1.98267351880327,2.49968811456759,0.796717192810303,2.71884307481941,1.70050200908915,1.3424585387316,0.24917897995275,1.67210263816105,2.65853416451323,1.598737330389,-1.66638420641475,0.435344639485062,0.453447814418952,0.970600673835492,2.67968216978171,2.9401448665126,1.68603345423704,2.83868150709093,2.51771962661519,1.94163756241095,0.415912567724135,0.930988929240362,1.3469621467893,1.65824187800003,1.19902520578334,1.51364247977706,-0.871872298439743,2.9628605094366,2.65850883078542,1.2174043880582,2.94173747107191,-1.63981204799558,2.35825698434042,-1.09544473574891,1.22386836773111,2.53247550391733,2.45631337410384,1.5955346225554,2.54639476741354,2.95511720123277,2.59826483500088,1.90841725428329,1.92548486384167,0.982097832710842,1.49508945960979,0.388437943118873,1.54908956060163,2.14902379666936,2.25971955212141,1.42330334062278,-1.2265344592195,1.37691682255268,1.97147275413503,1.3968803776406,3.23852767884568,2.12477839561525,2.27337794205511,1.24264492647532,3.13522359601494,2.3800638859933,2.18536246578615,1.25761061060384,1.84915742873472,0.927413495441953,2.8532796513071,2.66551130989739,3.01124511979446,1.64233227202341,1.73039219749125,1.12209936953891,0.773893689468653,0.935824447276527,1.3581720705154,-0.470323038447923,0.998557282597141,2.05134729309937,2.46583017950363,-0.127841675640652
"AGGA_Bs_3 (GE) - TPM",2.41337105107466,2.6468347516421,1.54847759313612,2.41140950830693,2.28942108762983,1.73195322261767,2.71441326094685,0.377173496154904,2.64231171276441,3.45703963893669,2.26844825054672,0.456861241894292,1.72049860283461,2.27600398916733,2.59365361339216,-1.87766568554956,0.997951538256288,1.09339530951723,1.22655978919322,1.24435795049007,3.32423916377626,1.7629674346055,2.08377185136447,2.90976888711058,1.5002339616683,2.53341218512321,1.11970989867098,2.27514530954423,0.809959991299783,0.903347366583152,1.09756742525983,-0.590191180814075,2.55452026914837,0.744019034319304,1.52797481480828,3.19614759526305,-2.08147823340816,2.30185549166764,-1.20059785842109,0.829049411701622,2.32906916300116,2.14964977010923,1.70820212493716,2.00412355586217,2.29475132918868,1.84825618095781,1.62577618708909,2.66959358652988,3.52597758558457,1.70664742972535,1.91744606024453,2.11491029538204,2.04381489559558,3.06980521431407,1.31140826725961,-1.33433510120295,2.35279259048719,1.84979725226612,2.10641126219443,2.6262933890271,2.51257199553998,2.82876691468354,1.91693269168069,2.96567028564186,2.59216471990441,2.64200181832735,3.08792643979009,0.928779107359162,0.830633957318477,2.82573253126422,3.18022721723357,2.554739964773,1.86356088150916,2.93452115633676,1.77507028343969,1.31337674479832,1.5723990108857,1.84974581872904,-0.666649512744614,1.95976715963026,2.31273288571061,2.08383025305714,-0.234256719092201
"AGGA_Ctrl_1 (GE) - TPM",0.331495667327189,0.933832324396138,1.43499579564458,1.90820207656601,-0.741838141906024,0.232866471324482,1.02091882750439,0.692707807373953,1.37503268118131,-0.569329010179587,-0.698948606682401,1.54967340447209,1.42718352017987,0.447477235292557,-0.945073999125492,-0.354454502338438,0.885021467302413,0.738896070730945,0.101546374180142,0.562580529781961,-0.395129669847873,0.929598092485488,0.264823674500723,0.647543006020907,0.366599020636956,0.334920945871868,1.62725684724743,0.329687335355584,-0.0362821961684743,0.541617780934537,1.96538694629358,-0.117391111356708,0.778939961708873,-0.217764251629586,1.34366623525692,0.302749776941302,-0.143721817465512,0.952518025771963,-0.563156607273155,0.201951982915055,-1.22653398787483,0.113553942798153,-0.442411690912897,0.322567843954711,-0.443654658198636,0.497843317672516,0.94126698907191,1.06979659929963,0.795870034012047,1.76128971572475,1.79680902754421,1.49330423551862,0.769836632529425,0.912269096144126,-0.449914274026096,-0.620400181583139,0.794741769685611,0.930452248755741,0.059036102397479,0.360666001132909,0.683064488300875,0.0328943922720465,0.857751763122052,-0.265996698104572,-0.480887512282658,1.02557484168259,0.0646541001587133,0.237467264024623,1.07070228526854,0.186775486304335,-0.0281612317199297,0.92009489439353,0.58127027095982,0.590880895812834,-0.0780783420187674,-1.31546403147913,1.47131647606956,0.98299953739976,-0.133836653726759,0.0298376421874302,0.637167689752943,0.941244318201409,1.82546202866546
"AGGA_Ctrl_2 (GE) - TPM",-0.460076341258438,0.155252911913549,-0.277572938690776,1.83029449323801,-0.899238747688507,-0.38478236237351,0.180437856907574,0.835175121231545,-0.0696329473298022,-0.457712271303608,-0.891610692915833,-0.399746089655159,-0.13821431319242,-0.738756053726541,-1.09403707303648,-0.0582876708071346,-0.18713131853365,0.351283881002863,-0.420554133151859,-0.340548078561356,-0.665399097441853,1.51044612671447,-0.435875120749302,0.271088133625412,-0.48120529404236,-0.204742111822938,0.578509822687046,-0.43835634842288,-0.310841993610234,0.577379193733986,0.14862469028955,-0.248644819876157,-0.0240110550921347,0.119017139928923,0.452970757050454,-0.389163225680182,0.278812205112198,0.593672504898193,-0.38675187744129,-0.805135544272003,-0.973883578377404,-0.334965819656529,-0.529613596626991,0.5374743108981,-0.565026592380751,0.141049671971814,0.0915504798000161,-0.0499004847142872,0.444789878083309,0.839240073885905,1.20609415610057,0.132748773969518,-0.20682931140723,0.0881848708163662,-0.438534815717867,-0.534711450821985,-0.472000748920704,-0.161857608351735,0.40938633628009,-0.289486290003984,0.482588477918262,-0.0925057623391799,0.121646146628506,-0.556102363375775,-0.344373979169038,-0.333546123152549,-0.824309191075871,-0.37909818135133,0.102876924579626,-0.332243473421453,-0.23900187678803,-0.0285805787245532,0.43006227572853,-0.175242235460156,-0.243562347036166,-1.03218375141617,0.703898487494699,0.282499242373087,2.05045720061841,0.607759687280181,-0.351892588492733,0.358784900038695,-0.423204188434909
"AGGA_Ctrl_3 (GE) - TPM",0.194221426158607,0.574560026982465,0.719678814763888,1.86230955125356,-0.753325079644097,-0.340340979874929,0.373374167192272,0.557604603583156,0.40815069934174,0.0192660348323729,-0.703302279626639,0.00354157671933559,0.178702217744183,-0.189960097058955,-0.734105947643038,0.397029489824475,-0.605485124101675,0.72619749501791,-0.182246120547874,0.162731524755935,-0.427980152148555,0.953798536826253,0.00493484796075832,0.437885104846234,0.0436422165353002,-0.101535591153376,1.26502641285464,-0.041981290693696,-0.36278434668829,0.498982968981357,0.420184948979219,-0.0692318204275178,0.619111303017765,0.238194347658077,1.0275557522633,-0.250253126824659,-0.336899299235893,1.01194291161361,-0.153405120745847,-0.495022721385617,-0.769509866508083,-0.396506227049593,-0.734303769718498,1.30815113738222,-0.523154709239408,0.759993432738071,0.0160622246625226,0.591586157049017,0.871259927811017,0.280612141353377,1.34845619123641,0.228037814167675,0.166307470184079,0.665662402517163,-0.492456478954509,-0.0719001541363893,-0.478375990630397,0.508249891286637,-0.216470326259999,0.00963740074196246,0.724215996777174,0.063460648292135,0.791468600935003,-0.402823059454184,-0.270801768172743,0.298760669093736,-0.427674205375739,0.18480099473724,-0.986834562342093,0.00964370445120038,0.389447536667578,0.314937251784805,-0.00142036560675941,0.28184871295363,-0.427324457041547,-0.511697142971617,0.914610153965008,0.765251857463598,0.39559150878605,0.561871606755987,0.295537390804795,0.6101687167369,-0.93351131515011
"AGGA_Li_1 (GE) - TPM",-0.767421777071658,-1.10548887898327,0.985951955468492,-0.0161955936258476,-0.884360219069896,-0.928672521672883,-0.672791183140045,-0.352746103967362,-0.318576176331264,-0.462409443820959,-0.448695350154726,-0.515638229382492,-1.6364723605816,-1.0804358326022,0.23442202435521,0.542969326328123,-1.4811848943356,1.94627543697446,-0.259309855539768,-0.76714951777063,-0.658296139783991,-0.280047541523476,0.264181737632017,-0.500426728091986,1.25443488632776,-0.798042116813091,-0.53640047958392,1.11385204378501,-0.612648429963697,-0.40965035146892,-1.30266384589837,1.42406473652851,-0.720490088870598,-1.03744231372617,-1.04454819870716,-0.217328948517893,0.895200001329888,-0.444269821818352,-0.823309692327128,-0.639499478073831,-0.956243728677545,-1.06808206118966,-1.28687024974165,-0.315973437265487,-0.614023437368002,-0.196317439101149,-0.745385642315537,-0.034507153425743,-0.0881259521239431,-0.414723307833121,-0.258057157612901,-0.929304298956029,-1.0232038085061,-0.905589961755072,-0.777261041203833,1.39986947202917,-0.77756818754088,0.30472997961794,-1.38606927053723,-0.711920112160514,0.567962849631204,-0.151051473321758,0.240259128970119,-0.562376712970039,-0.553601059119892,-0.140119809443287,-0.740103927279294,-0.925822000922444,-0.705021362588382,-0.676119824013611,0.201072891761698,0.611575366240053,-1.5740249934067,-0.501429140803138,-0.737200705150351,-0.636638065904062,0.0969605638591979,0.529060319106086,0.00703803281985682,-1.03311866962186,-0.971883400710508,-0.579517752145096,0.20132169396772
