"","D7S_RS00995","D7S_RS01380","D7S_RS01385","D7S_RS01390","D7S_RS01520","D7S_RS01525","D7S_RS01790","D7S_RS02055","D7S_RS02715","D7S_RS02960","D7S_RS03060","D7S_RS03695","D7S_RS04505","D7S_RS05220","D7S_RS05610","D7S_RS06650","D7S_RS07090","D7S_RS07200","D7S_RS07205","D7S_RS07210","D7S_RS07215","D7S_RS07700","D7S_RS07840","D7S_RS07875","D7S_RS07880","D7S_RS07930","D7S_RS07935","D7S_RS08060","D7S_RS08365","D7S_RS08590","D7S_RS08905","D7S_RS09705","D7S_RS09790","D7S_RS10255","D7S_RS10260","D7S_RS10265","D7S_RS10270","D7S_RS10280","D7S_RS11425"
"AGGA_As_1 (GE) - TPM",-0.804287939143647,-0.772200260387354,-0.693576419765707,-0.7981712948303,-0.240285176942576,-0.288122546259711,-0.467144896300733,-0.774857666692734,0.477199892976661,-0.524719871113767,-0.740157480718039,-0.512372163175479,-0.244286140676077,-0.113608789803512,-1.08874199013585,-0.34319916140499,-1.06176479920296,-0.775384894774276,-0.843714876959928,-0.870064178774498,-0.482829588256595,0.827614966596519,0.0991217870531531,-0.845508066471345,-0.826289729355519,1.00860871129655,0.993130651497766,-0.656554950401662,-0.256458103259549,0.478913665220922,-0.594913962241156,0.192504375658963,-0.122735122718257,-0.709836973189238,-0.676486820266581,-0.737114258329762,-0.645813393890025,0.409993849080168,-0.713919446304363
"AGGA_As_2 (GE) - TPM",-0.905565659321606,-0.84477777415192,-0.785641232637256,-0.888290096024136,-0.530782377446479,-0.58094361858819,-0.33528018224556,-0.738552626753034,-0.11372930698867,-0.397197701214857,-0.520577921744132,-0.288169367274717,-0.341463762409379,0.0973452965003965,-1.03297624420503,0.104457725318971,-1.11546071626564,-0.875532151220752,-0.875657414349847,-0.930510179571311,-0.118363871305594,0.463865462578185,-0.417767213328763,-0.610499215722289,-0.781364989704918,0.411554560487197,0.737224904602342,0.25238260222956,1.1474825516724,-0.123236653668693,-0.342510124674705,-0.367231438546104,-0.372721941924423,-0.672884510243942,-0.763743250214063,-0.790577814527376,-0.676614073014647,-0.375925454786578,-0.729904762437501
"AGGA_As_3 (GE) - TPM",-0.814998754948401,-0.966308677817474,-0.947074206378054,-0.919292439666692,-0.584483175121929,-0.562487431660794,-0.503386387758657,-0.745722594374745,-0.231183245995374,-0.368788515012834,-0.151737426784954,-0.243185944059988,-0.479183756790418,0.0717867757684085,-0.784924109143693,0.519794851105227,-0.384386166076197,-0.803719656118738,-0.825743380461057,-0.804580374489472,-0.95540797874482,0.466898489393209,-0.44676047870118,-0.731533929217527,-0.740584474252096,0.447638219086946,0.932987070814038,0.317689848793689,0.243863586569764,0.172108615017316,-0.112298353744607,-0.0889030200322007,-0.983406929065511,-0.770780999350787,-0.732994229600042,-0.734660629881483,-0.695727203655928,-0.590544392649923,-0.63595352276514
"AGGA_Bs_1 (GE) - TPM",-0.41014075025064,0.280502951781719,0.583020647602279,0.461592381258499,0.288108157616895,0.224070020945975,-0.319048261778102,-0.465394652607988,-0.0572799133523948,-0.390686104830741,-0.2542717238571,-0.177790803209587,-0.00144305734825856,1.08118807339132,1.65551306612944,-0.553013230508652,0.334443081732172,0.767375961113244,0.133355418907023,0.255542958759931,-0.211921513679309,-0.930914936952023,1.03072653701041,-0.0342834561277404,-0.125137135204734,0.99491553662637,1.51836832047026,0.964782566626063,0.359797707746771,1.15685069804211,0.285229810165879,0.89993521225808,2.75386148862286,-0.0137165706471057,0.194738188757384,0.514930183478689,0.367305913766976,-0.173964972897874,-0.587576299374157
"AGGA_Bs_2 (GE) - TPM",-0.812454573082721,-0.0895997896251469,0.0790374534248368,-0.0450723880170469,-0.157655949293133,-0.223240439248673,-0.394235046965267,-0.695536742211245,0.152638637984267,-0.477442891095729,-0.255186231186532,-0.506220788657844,-0.568853755693232,0.620003973223696,0.568568591634848,1.58838470801767,-0.936775570294449,-0.189265723834783,-0.715379556609887,-0.74168915236995,-0.317767744376102,-1.47510308247194,-0.393820046468724,-0.237881234070285,-0.911194402888137,-0.201128103269919,0.620679642501109,0.0468033776471031,1.2527469956049,0.372099691202492,0.201252105681145,0.353911227250779,-0.542774612685664,-0.600493906558051,-0.577702569796216,-0.561264224452551,-0.363160806664007,-0.363564197512423,-1.22752154790323
"AGGA_Bs_3 (GE) - TPM",-0.810377824653208,-0.207766391880054,0.0728622294694346,-0.173154655986166,0.0606729237870285,-0.0777525552191235,-0.562560984278993,-0.744818035998175,0.105725208096306,-0.528473003407679,0.0219167069399312,-0.45209031607234,0.0717270841421606,0.413542544613551,0.533785882417936,0.704380381296752,-0.769986152220399,-0.267619099379256,-0.637546564400186,-0.596926523799461,-0.817711422511097,-0.88453634508529,-0.256847443208213,0.0622289383715908,-0.532369830403641,-0.426858270890437,1.11407938519779,0.358081938752414,0.92314681762861,0.495426440481702,-0.148095245624634,0.472169020393172,1.41103859361987,-0.726699975812428,-0.609933987404878,-0.668210776302485,-0.607988655763368,-0.142382606569229,-1.17251670158906
"AGGA_Ctrl_1 (GE) - TPM",0.391234754871103,0.732009177553545,0.836881312442817,0.37312137118229,-0.126529868141787,-0.1740167926706,-0.264668689015334,-0.259079747420951,0.861229990056018,0.546975532860744,-0.608201684789721,0.689391658457955,0.343854385847938,0.396436349000891,0.575300852757972,-0.619324588956038,1.26211456277528,0.17459195014379,0.151502493665704,0.840136923116224,0.874912087852505,0.617100547759873,0.960434464183939,-0.582631981671594,-0.98093611937242,0.941440321055016,0.833674966110566,-0.746683598710594,-0.460043341722314,0.728221761611187,0.0499235598649563,0.698911454483171,-0.338503450611294,0.598875386210339,0.714285720872616,0.471557172106569,0.157943837604218,-0.0286707454100312,-0.0951773830940277
"AGGA_Ctrl_2 (GE) - TPM",0.500677207385253,0.61916694268126,0.591764058804816,0.264505652719078,-0.482713635376601,-0.499136180552126,-0.337619641569281,0.288185141762192,0.943360736769035,0.332834406500878,-0.257219599768305,-0.024750786599099,1.29604244775423,-0.566691658208728,1.90251778752847,0.172801606369971,0.403746801945432,-0.0568304353145928,0.337335822290386,1.07009020369921,1.3412168105934,0.498271925504648,0.857450986260684,0.539457354133029,-0.102982690582922,-0.447746410303251,-0.460238807305364,0.631071856150604,-0.481905377162829,-0.42910925117443,-0.14958466933454,0.331785203746196,0.15354552046382,0.77654590325545,0.953202895846962,0.702142700533531,0.308728176169069,0.254790808066974,0.572018989390617
"AGGA_Ctrl_3 (GE) - TPM",0.649236265139779,1.19500162809651,1.19221160216452,0.623127859194739,-0.318767625000254,-0.336355229485636,-0.0368661549351965,0.259290299506439,1.03441377994867,0.796570667774412,0.3805505423611,0.42636616813181,0.790063462448413,0.174551926075181,1.29926043460542,-0.617494198775405,0.850356782321442,0.304315041783867,0.511539368189516,0.786779261110334,0.880267121814258,0.955167968211035,0.932771912620712,0.665495201905379,0.0916721407719733,0.357255297547654,-0.182645164962939,0.557447836047509,-0.803080985526787,0.202087666987294,0.672211019463183,0.564349944236415,-0.19309782822999,1.18103144686594,1.12073810407989,0.623459909693855,0.100688847200493,0.598989581861911,0.410666226664404
"AGGA_Li_1 (GE) - TPM",2.36413956611434,1.54059885708137,1.19020992781637,1.22742097497784,1.57450030693582,1.21720003604824,0.542570637028657,0.151440373672745,2.16361262758867,1.3190397661361,1.23688596116207,0.993627944728569,1.70184093104597,1.09173292415164,1.81150087553615,-1.66310062063619,0.886998629592185,0.992806850525459,1.10760886499643,2.07937240121678,1.74022844662111,0.603018627251532,1.41036083200237,1.67996938433524,0.878251726664082,-2.13768324659821,-2.07585214846816,-0.0106661772304605,-1.51904876293841,0.277943457217554,0.543491410935581,1.46081456024197,1.26080121360672,1.52550578943619,0.4709666085248,0.275919046455669,-0.043583774081433,1.9996870646699,1.38363988064841
"AGGA_Li_2 (GE) - TPM",0.831348126356055,2.18053703599625,2.49998801955873,2.01790191247505,1.93566089973891,1.25093242317423,1.15203948417158,1.07199780563493,1.21892516504452,2.10405635754667,1.57411043172373,0.354596944644099,0.648212113520517,1.61359581788517,2.04152747183281,-0.643900512215206,0.0921205144977484,1.62896108444851,0.988633709283551,0.733712047264318,0.541034665312345,0.832493585226821,0.972091035888986,2.13513481422899,1.87401869069108,-2.15349131341917,-2.24545786729229,1.04877209854803,-1.51138019302962,0.591250972944296,1.34566964748639,1.15417623530131,0.48058242934917,2.89414626581433,3.08404508280871,2.80467452699101,1.1334136929041,0.718979956955614,1.52728804469662
"AGGA_Li_3 (GE) - TPM",0.995548955468552,1.687332990242,1.78168692033752,1.45167533007931,1.71347161013161,1.27857844121768,0.697573121986686,0.760349887868463,0.653806176290672,2.12601360855532,2.77929927613946,1.37324220661856,1.02596277186826,1.4158878839056,1.28976434058133,-0.48985391002445,0.529378726346601,1.32685700595455,1.17727941608877,1.19777568657961,3.56604215477067,0.580053505645,1.37722017171798,2.37095055742412,2.72439304118598,-1.92370117869403,-1.8108604042082,2.12798932420063,-1.27637541972439,0.0777574307938113,1.13499090538835,1.53525347968707,1.07662789242429,3.32715551630233,2.15074250342647,1.55299830630971,0.595786578183127,2.4739377373222,1.28196301804714
"AGGA_Mig_1 (GE) - TPM",-0.901257058948713,-0.920286551489037,-0.910189961370057,-0.952990457158212,-0.894722648248094,-0.804734331521397,-0.943301787052184,-0.67825650635511,-0.661469022867845,-0.309330064279041,-0.759440442649744,-0.815501460798961,-0.114998892942214,-0.610189858000621,-0.312226034912551,0.0282552983040337,-1.01761324177289,-0.986899277784097,-0.971466292180729,-1.00120412935376,-0.986316335511356,-0.341371157110894,-0.430318288567735,-0.324047165826278,-0.095499492381997,1.01878862222286,0.633485787436664,-1.01648230918044,0.731783533814981,-0.99568243342098,-0.524429246992864,-0.780201197731672,-0.58417277455651,-0.86072983419614,-0.877572000206429,-0.839186044925617,-0.75075373573452,-0.821895919607228,-1.02804313470634
"AGGA_Mig_2 (GE) - TPM",-0.896570979973969,-0.963978043291725,-1.04670464959198,-0.985533735740297,-0.985563802449424,-0.904021176342603,-1.10240855591322,-0.68867731115866,-1.11188313320042,-1.29245442730364,-0.880138206310237,-0.855211823638891,-0.151448137018611,-1.29433608680067,-0.724817918991736,-0.558798256218645,-0.867217069675172,-1.04829155405515,-0.973584686033316,-0.984278017165326,-0.942518236384991,-1.22613347870788,-0.979546434950612,-0.685893798476294,0.10192687984584,0.879455503984285,0.00961741430222961,-1.72718427271861,1.38444034781087,-1.2251278304824,-1.01348626568774,-1.35828682126233,-1.01993468624204,-0.771568219603884,-0.871905206524452,-0.844057580701775,-0.694798758290052,-1.00892904230221,-0.771540225330044
"AGGA_Mig_3 (GE) - TPM",-0.957334170218733,-0.998887786776801,-0.902141298883619,-0.884118540592885,-0.943409114819332,-0.830590456148415,-1.02910095787191,-0.65907166368983,-1.31041912317051,-0.703232045255363,-0.863947055470924,-0.669673342379177,-0.467073587208627,-0.954543600240052,-0.591037342865614,0.59624515589355,-0.987721762591292,-1.01775841922916,-0.983639976416847,-1.07342553000046,-0.97409088976101,-0.983067674338012,-0.513931408011763,-0.045034112617133,-0.525941504482537,0.657742299235309,1.05888065337665,-1.51834071872244,1.34589749030665,-1.15333549417496,-0.536310759287232,-1.09273453075888,-0.949196881813867,-0.744455551255586,-0.892432544457905,-0.834072860874087,-0.741883332414903,-1.35187949193796,-0.885756856835677
"AGGA_Nd_1 (GE) - TPM",2.58394846570831,1.89568514632232,1.13903030170751,1.51350958989891,1.34785570486861,1.41381267999349,3.05833777965918,2.85449846166248,2.06667868927999,1.53795577611357,1.77623520877953,1.94155135430799,3.10706178028849,1.63297335894111,1.7385692172971,-1.72517481120091,2.56707276657708,2.55888659220014,2.81769258914185,1.95883799397708,0.189833737818269,2.43435747604017,1.61884548248126,1.49849224643353,2.08292215476708,-1.62422479039337,-1.26559078278233,1.06585334268569,-1.98451693288809,0.952499593823336,1.65340660695901,1.60906354634279,0.424418973605425,0.716263260414521,1.93723619964774,1.22229836303663,1.94381355658561,0.956569324489312,2.11697915085485
"AGGA_Nd_2 (GE) - TPM",1.43609259609024,0.727096253664087,-0.255681554575029,0.00909632970984288,0.365698113057697,0.419201678651108,1.37520685867776,0.936113390794384,0.844044228633366,0.849217573159118,0.61312105062698,2.24037249415677,0.748806762284406,0.0137607611839505,0.312808953219608,-2.1150991275384,1.45066606937047,0.26390411101978,0.674269723992624,0.410535410895297,-0.82217945186654,1.85591384729889,0.860407143495451,0.361493894489774,1.50194840026291,-0.478739796852973,-0.0669149772202959,0.339338196817831,-1.69781158455659,0.467146888004606,-0.256849093564738,0.450301098865974,0.459722633710587,0.421931197454338,0.826943202562103,0.0640546868982203,0.632731915038304,0.894457972631437,1.08277941513942
"AGGA_Nd_3 (GE) - TPM",2.05168159262031,1.28282988249492,0.306953473112829,0.657954891547151,0.75956900879198,0.680359436180087,2.17834199961192,1.74085816839705,1.85765157858435,1.15049431417991,1.41507908692245,3.06595686363337,1.51996413193439,0.437782774831597,1.11049488905483,-1.78492363188704,2.44895235694789,0.98056761545531,1.9076822580045,1.11150849325649,0.480716074757838,2.08935155595118,1.18980190933569,1.04259750869326,1.56874807649466,-1.33739009251813,-1.02701109440974,1.36420437530835,-1.4043405770992,0.417980615445927,0.240145069305853,0.815157414575734,0.168686183279525,0.570597930990237,1.51196125381848,0.546451351427119,0.862495978295606,0.950357488022067,1.5275150225766
"AGGA_Ns_1 (GE) - TPM",1.04091594322705,-0.391343752697901,-0.240160165546357,0.198821166909043,0.601430762870297,0.702652082021075,0.506967949639553,-0.402366487917888,0.831422447310126,0.811316886647373,0.418354517073866,0.87744549102039,0.549725534552278,1.45841516144854,0.0993434789497656,-1.4378844818434,1.1635448445988,1.16739209629166,1.81649283060119,2.03726543445629,0.701220777152164,1.02804800685476,1.82156754956979,0.690742784665878,0.8139344848503,0.232922301369789,-0.922079003694956,0.656793212992099,-0.883879499785178,1.02634522096676,-0.506786718281531,1.6324280401086,0.860467357617284,-0.650156238163831,-0.59697266095191,-0.497599632209826,-0.352212074326695,1.17958187240833,0.481585799585754
"AGGA_Ns_2 (GE) - TPM",0.130246596523071,-0.4475876718839,-0.447589938634781,-0.390636337334185,-0.105499529934915,-0.0951421308242758,1.04864083460595,-0.468818894098744,-0.681654292202279,0.95843623665471,0.979771601756019,-0.488010238390345,0.53278610394393,1.96660052360447,-0.45845419727456,0.0359415668963401,0.329819103567116,1.08411090571388,1.09444320977738,0.469858292744374,0.341697530316843,0.554109429399703,0.0511889292466212,1.32853819907265,0.37405903302936,-0.186934903908225,-0.442239582066145,1.60934666097219,-0.668622229232493,-0.256989842571776,-0.350418299864075,0.842026612392914,2.10119603399721,-0.696376759949256,-0.633091357889945,-0.682184190266345,-0.599732820597129,-0.0137932928451582,-0.214379332477524
"AGGA_Ns_3 (GE) - TPM",0.378309287179866,-0.366898163247529,-0.544769019229798,-0.443279773918136,0.0571501406993611,0.168221250944821,1.2183636654671,-0.569347261163463,-0.51660686477175,0.951592293958035,2.56944098671138,0.77257746728649,0.00971330718142902,1.31566496750054,0.0714828803691878,-0.488483089370905,1.03621382423318,1.4781616940693,0.914673446616255,0.518497313062941,0.0408215913976878,0.519393799592036,1.10863604730739,0.801491374976552,0.815375692406764,0.135148778891467,-0.0487835778312556,1.35954552062703,0.173348365476022,0.224843005297378,-0.116478823485113,1.5433522642248,0.616164101707012,-0.727913816351555,-0.687953391434285,-0.630212929806456,-0.570257471643747,0.298481844391618,-0.457032497602961
