"","D7S_RS00335","D7S_RS00340","D7S_RS01165","D7S_RS01515","D7S_RS02430","D7S_RS04660","D7S_RS05190","D7S_RS05425","D7S_RS05430","D7S_RS06065","D7S_RS06515","D7S_RS06875","D7S_RS08025","D7S_RS08030","D7S_RS08040","D7S_RS08045","D7S_RS08255","D7S_RS09425","D7S_RS09430","D7S_RS09435","D7S_RS09440","D7S_RS09945","D7S_RS10815","D7S_RS11050","D7S_RS11245","D7S_RS11250"
"AGGA_As_1 (GE) - TPM",-0.0292293639462043,0.00967635913955095,-0.24232525014032,-0.48411104845046,-0.410759826574078,-0.588003877722221,-0.862864890971933,-0.186349464055792,0.0425185080877184,-0.689700388498336,-0.149923806213048,-0.0440869538050757,-0.487729766279339,-0.900169245999105,-0.295567412699217,-0.520808242869945,0.156130229004508,0.0606628806307512,0.375951571721867,0.172469153892379,-0.249923263808071,-0.73759716151062,-0.378693686247842,0.128353948464013,-0.135965719123949,-0.361651553481247
"AGGA_As_2 (GE) - TPM",0.904850601662679,1.24171262482165,0.730693421801587,0.784423252977532,-0.301891929647773,0.192305439072574,0.272845844871524,0.485993425222711,1.07308858653032,0.180999704643014,-0.0471966372405873,0.653851771247184,-0.1769542054473,-0.118349975484979,0.140633671063156,0.463338225924438,0.771248935358474,0.131653979270288,0.240366826100265,0.389940409999951,0.663689889016769,-0.686792528742334,0.794786053379218,1.20939942071538,0.678955215934501,0.0343215432209947
"AGGA_As_3 (GE) - TPM",0.46155794057105,1.2725672630128,0.423541965635821,1.74108751721558,-0.552797127424252,0.135537958110863,0.19526528131158,1.12938321467793,1.41070769690435,1.05710584594418,0.537535215117602,0.52021770478478,0.123044428949125,-0.453319349963303,-0.302665269384565,0.0259019620222091,0.663872007508323,0.440105317487147,-0.176916017668986,-0.0544380851770405,0.170863079760992,-0.651697512077902,0.810876693050875,1.38927863985885,0.490823780630322,0.750232690060084
"AGGA_Bs_1 (GE) - TPM",0.41783127906686,-0.035541627090162,0.61565104402898,0.320848334720131,1.22233957427295,-0.315060594285594,-1.00618034940848,0.0199797187242902,-0.929167660505038,-0.747938381067132,-0.813667913279863,-1.32889088509392,-0.383225533923358,-0.353091825500761,0.126420922667884,-0.364674499217298,-0.191241515442273,0.184591758798648,0.255392668740861,0.506106132027844,0.815097746627347,-0.186714007695399,0.0933944598795802,-0.462774193121647,-0.0581116147136423,-0.221965038154972
"AGGA_Bs_2 (GE) - TPM",0.744568261836278,-0.0183935649641729,1.2335534938455,0.760393469286133,-0.887942736272382,0.540211656378021,-0.262136046979292,0.517398182246538,-0.357184109591719,-0.09355332219261,-0.531325103980046,-0.603260548592454,0.630824552656393,0.616376613871066,-0.169885406731939,0.689093548452379,2.0862289312937,0.175553113640173,0.276800596188394,0.346740782153211,0.981165506566263,-0.727400572978578,-0.139591103657131,-0.379136221440463,0.393742491422546,-0.355017032013851
"AGGA_Bs_3 (GE) - TPM",0.0118761583419722,0.601615416027777,0.730668293119079,0.661424599889652,0.202598985010899,0.953162789638219,0.247940976069413,0.139684630802102,0.226371220715582,-0.600605544101679,-0.540631850549775,-1.24309079661235,0.147058296007232,0.174166453337402,0.504552344690271,0.282414432897125,-0.100530305008883,-0.138853225909108,-0.228111056025308,0.198530902279279,0.09657354147318,-0.478672726854397,-0.354166741439144,0.106738091321366,0.102656705700006,-0.452420535696997
"AGGA_Ctrl_1 (GE) - TPM",-0.0747323680006339,-0.515782282812448,-0.395346669155495,-1.21384238358185,-0.749178866622443,-1.10170378193383,-0.868642223807633,-0.373295810179874,-0.608476023761264,-0.628525293316938,-0.640233078476127,-0.633947277803016,-0.0921526254514824,1.11913233291494,-0.206833844603938,-0.741642958658008,-0.541021620407713,0.744019036342338,0.865796493881724,0.401439339640266,0.485873175008623,-0.314780689805176,-0.77334696528572,0.659945204264626,0.996149598562148,1.16992455289498
"AGGA_Ctrl_2 (GE) - TPM",0.619089143380459,0.788015782797259,0.741439699386708,-0.358748475269509,-0.892186561133353,0.0374398312606429,0.39949710192018,0.222715464675578,0.296901691276281,-0.884587778459224,0.0140897927116939,0.580500898332861,0.759723175498601,1.32523498861774,0.895308994190581,0.437504704609608,0.0982095076664906,0.911407632836007,1.18748680516908,-0.325638093677051,-0.459349286083433,-0.455303190949742,0.108466742655619,1.1041486483674,0.41837217879547,0.880429349814563
"AGGA_Ctrl_3 (GE) - TPM",0.175543728805309,0.211737563834311,-0.00358220599684086,-0.756141074654898,-0.918880968728428,-0.32871446048874,-0.0784603685459121,-0.0471135679359133,-0.38571683647772,-0.33207204428817,-0.335015726897424,0.446054988829189,0.126121676362256,0.936791714641104,-0.297151468060125,-0.218068205879608,-0.620692987893948,0.702585095232215,1.11205144517447,0.197391788680567,-0.107711483118929,-0.57290037360746,-0.560674797532054,1.53936347090723,0.320775954781031,0.665137708958092
"AGGA_Li_1 (GE) - TPM",-0.995715702602703,-1.45692196270482,-0.226291822958221,-0.918171466306589,-0.486306347331252,0.284136071516001,0.0734520207166344,0.375379005873853,-0.281112088048386,0.482719188299634,-0.917490551017355,-1.64723293728114,-0.899772063018603,-1.46937631980521,-1.06552037650663,-1.45174150416989,-0.977832106760917,-0.401845446340047,-0.312589866833046,-0.155405074574056,-0.215424946302428,1.40621956537218,-0.0575314148021324,0.128066450962872,-0.327994540954667,0.0451803009958622
