"","D7S_RS00005","D7S_RS00010","D7S_RS00020","D7S_RS00025","D7S_RS00050","D7S_RS00165","D7S_RS00325","D7S_RS00330","D7S_RS00365","D7S_RS00815","D7S_RS00830","D7S_RS00835","D7S_RS00940","D7S_RS00975","D7S_RS00985","D7S_RS01125","D7S_RS01135","D7S_RS01215","D7S_RS01320","D7S_RS01400","D7S_RS01415","D7S_RS01580","D7S_RS01680","D7S_RS01685","D7S_RS01840","D7S_RS01935","D7S_RS01960","D7S_RS01980","D7S_RS01990","D7S_RS02150","D7S_RS02155","D7S_RS02325","D7S_RS02330","D7S_RS02395","D7S_RS02470","D7S_RS02475","D7S_RS02520","D7S_RS02525","D7S_RS03040","D7S_RS03085","D7S_RS03100","D7S_RS03195","D7S_RS03745","D7S_RS03750","D7S_RS03755","D7S_RS03865","D7S_RS04095","D7S_RS04105","D7S_RS04110","D7S_RS04115","D7S_RS04120","D7S_RS04160","D7S_RS04270","D7S_RS04410","D7S_RS04415","D7S_RS04515","D7S_RS04955","D7S_RS05185","D7S_RS05205","D7S_RS05615","D7S_RS05680","D7S_RS05955","D7S_RS06060","D7S_RS06110","D7S_RS06435","D7S_RS06525","D7S_RS06795","D7S_RS06800","D7S_RS06805","D7S_RS06810","D7S_RS07020","D7S_RS07420","D7S_RS07490","D7S_RS07495","D7S_RS07650","D7S_RS07660","D7S_RS07885","D7S_RS08260","D7S_RS08270","D7S_RS08360","D7S_RS08375","D7S_RS08430","D7S_RS08935","D7S_RS09255","D7S_RS09555","D7S_RS09580","D7S_RS09820","D7S_RS10085","D7S_RS10090","D7S_RS10100","D7S_RS10180","D7S_RS10185","D7S_RS10245","D7S_RS10400","D7S_RS10625","D7S_RS10715","D7S_RS10950","D7S_RS11085","D7S_RS11145","D7S_RS11350"
"AGGA_As_1 (GE) - TPM",0.25753905332291,0.0935860673336235,0.318670215245483,0.51741065109263,0.663382709405214,0.101924968776264,0.250991247656843,0.30542635802728,-0.702760737640907,-0.294818965921761,0.475553435689546,-0.174378777357766,-0.171567570239824,-0.0959819068667153,-0.800721298194471,-0.651279180179684,-0.35130546394063,0.0242318218487267,-0.933027933131195,0.415608403619439,0.00851384491543458,-0.0583973963341535,-0.270786408518308,0.0505632052642619,-0.504813418811256,-0.0581992484176508,-0.896289418580104,0.0891590702528535,-0.707333801686638,-0.378456624246144,-0.403564095479372,-1.16779187752025,-0.520021393970034,-0.882622779144132,0.058979078395347,0.275790779156261,-0.480364059496211,-0.45260301408635,0.264915812633519,-0.331723513679756,-0.822449067589245,-0.306125177444489,0.356488361754507,-0.0131540208180719,0.105676926118853,-0.652069054315095,-0.460889442927126,-0.193740811663688,-0.297708542457782,-0.540446429669709,-0.409754694416801,-0.0538699610218405,-0.154941760101892,-0.534142057912011,-0.629646359622427,-0.589883523728313,-0.585131270175488,-0.994975877392897,-1.17552923026134,0.280929349528352,0.0591166521243123,-0.142533443313499,-0.153914000596442,-0.815108783092787,-0.76336756778944,-0.572582330139339,-0.491958933542035,-0.462789182553227,-0.0258833926457458,-0.644256754669219,0.257982367012364,-0.138450013101634,-0.617015576489585,-0.723595821830846,-0.193347722153588,-0.282599160671509,-0.303807195394916,-0.633173763680573,-0.525459885424868,-0.168242050361956,0.283672669491478,-0.584464184713427,0.584024934637183,-0.559385447221652,-0.495525430943143,-0.417427230455368,-1.09048668745518,-0.0688260713025644,0.169678235409735,0.409551551646286,-0.3344468490521,-0.0867564219552512,-0.0886411895442364,-0.81193791442951,-0.799173720479906,0.268466678833541,-0.118731700644276,-0.215029311402328,0.561144192169802,-0.437189529235319
"AGGA_As_2 (GE) - TPM",-0.199447713382854,0.442833050690138,0.728859820967793,0.991717850065854,0.528379006567827,0.497047801698644,0.612511846081897,0.598922195474121,-0.2521011039804,1.06605353676428,0.715119453306607,0.816720995440747,-0.723237298103576,0.295250250580245,0.755482088893796,1.48824252893964,0.737774844644937,0.645543591299203,-0.55576051230705,0.255478959176532,0.964352894928357,0.304016729854203,0.0547649504869998,0.550365349290412,-0.805704299658714,0.390259931942034,-0.307324898786651,-0.287363839652089,0.269142044779681,-0.187701695918737,-0.474359892436939,0.0772457927197275,0.645194493428902,-0.0595595200217691,-0.298992394046792,-0.312818812326742,-0.141889963411511,0.216617793745631,-0.0153688209377094,0.318288350230948,0.124831464108241,-0.107004742535055,0.127147863608446,0.387614950680116,0.0902885781586689,-0.200071111189787,0.623470516565432,-0.239025015346711,-0.240449728391943,-0.519066255224391,-0.413459207570533,-0.264242651714075,0.0769473190196885,-0.0818993645581535,-0.344402634845948,0.338098859448475,1.03698958101077,0.577227057380985,-0.0877627741948248,0.92205678796266,0.852452520575523,0.19065070744729,-0.372897564048708,0.185681012326855,-0.580744743815217,0.155615050941598,-0.0799661556324426,0.0485887043201587,-0.125639188302479,0.0816208884474998,0.708766453541924,-0.71305109235375,0.245245025855291,-0.0533631988883466,0.672702514262982,0.850352968730746,0.288298056746479,0.518862455114861,-0.241573949387449,0.196582250843342,1.10724805981444,-0.366902948293777,0.245021923136364,0.329589470751497,0.745232619997202,0.0943384594095641,-0.0700589760777782,0.785591816838517,0.516874204059724,0.915792941608474,0.53913106806713,0.154523143792403,0.469524170784089,-0.495605097599451,-0.600449920498756,0.262499891743093,0.160747696139166,-0.180813137775204,-0.356607301917974,-0.110252827962857
"AGGA_As_3 (GE) - TPM",0.388018269376439,0.572265423463785,0.48527704159738,0.427281791074149,0.433072751726601,0.111048111004934,0.595363699085334,0.395804614341327,-0.247872062926063,0.539575974306249,0.558855599300411,0.661314193113503,0.812631778688167,0.339017852757501,0.244310704331035,1.16672047185694,0.18245487385926,0.606032691995702,-0.648782681574142,0.462594495541797,0.999407532684287,0.31108237834769,0.298701251312561,0.84939431874368,1.61089771518988,0.239823754402172,-0.554267943019462,-0.430375728812207,-0.0737329589789913,-0.346830935808509,-0.337198554775057,-0.174158635480293,0.2853499072394,-0.730341247248684,-0.210737983807991,0.0332104078684576,0.202054524445929,2.10733479850678,-0.235292062576375,0.443656709842958,-0.482386433220326,0.723457890191242,-0.465294710307963,-0.379119573015801,-0.170929102984269,-0.377332618220346,1.09791455763032,0.40125596635696,-0.20944600590846,-0.612902724427494,-0.491230959255409,-1.28747519857885,0.426616381322055,-0.636925245128556,-0.131053881011636,0.453135752899777,1.5214839266856,0.522600484333718,-0.810900309430472,0.829533420483848,1.29334776188571,0.722084633323993,-0.296598022028137,-0.0814026798926262,-0.727535045778667,-0.128911119955592,0.212198462146382,-0.232983510002039,0.130577142817123,-0.721980808450065,1.20119557696566,-0.787543403501346,0.16095693768668,-0.112375582842478,0.79818265487089,0.758226641120836,0.775859380198852,0.445056406461582,-0.562144853703665,-0.0423987985005242,0.3491378878638,-0.0756562532818246,0.381281362124723,-0.227413636536182,1.31285295281545,-0.147783159288166,0.347727626744873,0.594579884105856,0.489493668477711,1.04478701934063,0.64536806267168,0.0928994418621966,0.373847263609621,-0.0422956421023162,-0.575084924236762,1.00300770972098,-0.0614595436385749,-0.708447532765982,0.730054361614544,-0.210712464950857
"AGGA_Bs_1 (GE) - TPM",1.02493647184577,-0.252523943228509,0.113537739667786,-0.106144675174339,-0.270717318698873,-0.121935782848459,-0.948261757892941,-0.831670950165151,-0.255102510060648,0.0570192704021983,0.22822903397891,0.390009889143875,0.169328698956745,-0.568378251792877,-0.14817998488432,-1.47940985344533,-0.574624473168648,-0.0301128940904662,-0.898738142766186,0.275331646570673,-0.270679112376634,0.220348951551481,-0.642254233900195,0.0453813835705694,-0.635733163721394,0.232023104084985,-1.03877497284739,0.00615411687315656,-0.0851037429375771,1.04266928768099,-1.05046436732991,-0.345806197154847,-1.04445957960092,-0.708342488731716,-0.207644087744899,0.338999636996377,-0.407617924986961,-1.5075336324158,1.01300464266424,-1.11451199603449,-0.30406108871747,0.724181324017909,-0.298670614160443,-0.457325253113988,-0.407371327157259,-0.697877636646431,-0.408249661102415,1.67902954494125,0.757662995881877,-0.708904690416235,-0.764749603596701,1.24943732562674,0.690091616972646,-0.805765267130076,-1.51585083708334,-0.945914780499258,-1.08004459553716,-1.13979748855417,-0.459239894252245,0.616366553998066,-0.7321692049099,0.833321562332156,-0.344125409338577,-0.103658566111011,-1.16953856788309,-0.903006732575463,-0.929127817240653,0.0155064226497301,-0.739957658051161,-0.384346441229014,-0.189976027767929,0.831763027974921,-0.490513038658436,-1.21099274249629,-0.168080066772268,-0.59096930546387,1.28327070477491,-0.23662160392388,-0.712366265853624,-1.32376577159995,-1.08017348991938,0.152244962885623,0.588290033043085,-0.120501488503357,-1.53759079026423,-0.626126256730108,-0.815973824072889,-0.295813807257625,0.281290548731162,-0.258674375694071,-0.622387439500303,0.281979500428886,-0.0237109768885812,0.403011279513607,-1.09241484420438,-1.38966906361432,-0.598774860298372,0.686522710810004,-1.78657079141521,-0.494482897768948
"AGGA_Bs_2 (GE) - TPM",1.20324396760688,0.863635412044286,1.75049245478771,0.659796704584617,0.563014820130466,0.234553964315832,-0.69362286538515,-0.703029635868399,1.823519334466,0.534996153793826,1.94736988646495,1.04807026713067,-1.30167889297837,-0.214015649174771,1.34632692631508,-0.198611779549502,0.608390857047256,1.70692984120658,-0.181191942728024,0.907750968599226,0.595918534814559,1.22004424085615,0.680160143302139,1.13917518434865,1.57597200271025,0.663074065925229,-0.741914437936822,0.0398520264576551,0.777838027788072,1.48801068058191,-1.03100601853192,2.16675774645054,-0.364331651697753,-0.371340400373595,-0.681196225197338,-0.241971940692056,-0.217255807615726,-0.182757268287122,0.662409797069514,-0.945837234014896,0.266252667249585,0.549909781918754,-0.0757367767200372,-0.448485575109623,1.57690207552747,0.0188355608882177,0.590850269028355,0.944060841474612,0.0784584229756746,-0.763729294590968,-0.722265537467554,-0.468583462512944,0.264104456217544,0.0589134794532394,-0.905571016909197,-1.03843466527817,-0.477721585175941,1.0912939276439,0.560372741050693,1.1740121114232,-0.248055491863113,0.358270522812216,-0.599138849638167,1.97186727010492,-0.723523231367608,0.784215865953201,-0.789744870065572,0.257742846580308,0.298211255693943,0.430261074305871,0.905002686010085,0.267822897434764,0.635310596560581,-0.683632425328548,2.03516980117006,0.62054056983396,0.664489071826564,0.458675670265456,0.0737013334016862,0.206753055739896,-0.284986291586829,1.9578658680203,1.11287454937049,0.710964544918619,-0.28192269140456,0.145140337944679,-0.122805463201475,0.210886960496693,1.02206786626696,0.83460054200792,0.594986123186648,1.94641995996055,1.83478939081796,-0.572263455063028,-1.07074975923792,0.708314568930025,0.290317089934824,0.713540353699161,-0.295433334872239,-0.178909476842951
"AGGA_Bs_3 (GE) - TPM",1.0096745183229,0.787276106544744,1.06937692434218,0.579978074431506,0.492656075335246,0.623120233807125,-0.704473359084185,-0.668906445764334,0.417042828619139,-0.0516641631205081,0.265980809817471,0.186360995431706,-0.613603180265648,-0.0468894691305697,0.356762519581932,0.837921379707319,-0.0649935744971003,1.34628899909767,-0.108537588552599,0.802324278789461,0.11372916459382,0.127659839450021,-0.0656048377122166,1.26700530678478,-0.515022541090286,0.806400515386049,-0.900457931965684,-0.320220611088833,0.422246892268161,1.19215649667949,-1.19117086465371,0.772436964118574,-0.24669113960806,-0.61652688682789,-0.730704455330373,-0.21148347137993,1.24572676738846,1.0270617434294,0.341707435381246,-1.01168475296648,-0.253405971529651,0.568347570269785,-0.274053632123118,-0.335193456277632,-0.0499325856587992,0.265059801969019,0.294196706620791,1.30681913286148,0.537969406611553,-0.748370178722003,-0.743949152215078,1.00021072036532,1.18350110899531,-0.599433386027295,-0.69835561425028,-1.56397281461581,-0.394427100247891,-0.477920141464885,0.48524221082364,1.48548793972831,-0.39895384897924,1.17156985483639,-0.679996357541348,1.13975884385135,-0.727144266318651,1.4228254045031,-0.940107808663927,0.0768463731254447,-0.546126337116398,-0.166671392413937,0.830987372104382,-0.0331092404011585,0.053024282433262,-0.867475424179634,1.26018851899788,0.263240589005718,1.05137378385866,0.233953701208377,-0.854315922330274,-0.5457981438724,-0.645495747865875,1.96616759174353,0.914625949673902,1.08026768524351,-1.18662484079739,-0.258731343092181,-0.281588072478213,0.115671958123376,0.655019788619262,0.864438850274427,1.34160814166695,1.77909607069842,1.58750996742808,-0.529015453340758,-0.981793646459609,-0.280163435151072,0.199822246311313,1.00391020746412,-1.08456301762967,-0.328319544350281
"AGGA_Ctrl_1 (GE) - TPM",-0.741834446763592,-0.74507302360238,-0.906129605992507,-0.534648546270082,-0.386200052232233,-0.817526629344741,-0.851804896233564,-0.765377970780555,-0.953538499784943,-0.152739483235327,-0.68440211501409,-0.460417901698419,0.555534417530365,-0.537511767528299,-0.817759904796523,-1.05937687606758,-0.560499545334099,-0.428015804890968,-0.476997382417807,-0.170531643345197,-0.743787394251147,1.04041511565823,-0.887343934751321,-0.711006789292831,-0.548678394007777,-0.154988458861037,-0.737038294075427,-0.378857692627896,-0.37583719202954,-1.18664833412966,-1.05083840907009,-1.06758442261632,-1.0272235595834,-1.09151939621648,-0.0332904098848735,-0.0894879088899482,-1.08805250445859,-1.5075336324158,-0.760271419802264,-0.810843496580538,-1.2021763325422,-0.922196409696947,-0.0533213837008582,-0.0184099082970721,-0.581584482506723,-0.269543753011192,-0.198881926868853,-0.640083059231475,-0.37377811523337,-0.552218552754691,-0.655417302766453,0.643419573320225,0.35145723183692,-1.48705097699058,-1.64135772411573,-0.579446687286188,-0.77975373778428,-0.702063097249637,-0.837352110668892,-0.859843972712658,-0.562153265710393,-1.10465703294917,-0.658106605886421,-0.892762159598093,-0.721686397623798,-0.867563120330939,-0.444852939150623,-0.867714343501501,-0.597636620791025,-0.811672427853836,-0.593510675060945,-0.257801051126276,-0.776603999318533,-0.951224060189279,-0.446417447058933,-0.928123483857068,-0.898466718106932,-1.06048746618319,-0.877438253933837,-1.22274320785549,-0.892406554994313,-1.28366928563238,-0.0869001215519784,-1.00803883153917,-0.535373428465592,-0.229709240455986,-0.989792515996471,-0.644958938263486,-0.558294352050654,-0.473135758584542,-0.902918735687185,-0.531953982709186,-0.432920487283639,-0.0530121139500504,-0.709488490836838,-0.819211193457754,-1.00626197722595,-0.08700658217626,0.600641166462102,-0.590940581184607
"AGGA_Ctrl_2 (GE) - TPM",-0.71519861039691,-0.260736867252474,0.0957159336885908,-0.160793701897225,-0.376678531943628,-0.524412395786512,-0.898584187668248,-0.703216625263071,-0.00395199285583583,-0.677293099419468,-0.711107822476673,-0.617550551126308,0.130521550229245,1.8158117691838,0.0991342248794998,0.415107781025138,-0.68982328271785,-0.51837655310003,0.751641070285325,-0.135688273113107,0.204324493083001,0.497546842146739,-0.630310645964771,-0.806116019938305,-0.40476013953556,0.283266232397833,-0.734799172911978,-0.750771258549001,0.141103166869204,-0.719419237200972,-0.360985211275834,-0.810245288688543,0.108642355328262,0.615184356975164,-0.398807862101828,-0.438381678999949,-0.213807256472825,-0.00923186559867102,-0.45250712935904,0.101620787073976,-0.0482816769936555,-0.881625580076101,-0.360155726020004,-0.481091867709916,-0.624199222358626,0.867246063965103,0.248283926530266,-0.897391628124896,-0.509879611722926,-0.259173565024864,0.177595027057759,0.30516185799775,0.776305399159993,-0.689510743175223,-0.932969544934442,0.806269845733165,0.108172464438009,-0.344928885756508,0.375142712686486,-0.568408089375207,-0.20100798462223,-0.568466538609089,-0.198426815507382,0.0615452714300772,-0.2695586522981,0.0868249565402364,0.476336919706654,0.269185719963071,0.423727876184639,0.697420043011419,-0.11415924417386,0.136364241355493,0.153901412595626,-0.200131988047575,-0.919342998606223,0.164330539281804,-0.195700149420625,-0.00299106517117534,0.247772003075311,-0.899825778682609,-0.243283436410234,-0.358067137174781,0.413640222109029,0.430274061713546,0.228698181775093,0.670279508146965,0.346062470410804,-0.210247762619642,0.187980461889495,-0.460340952104821,-0.87551736191316,-0.388100235469028,-0.492900448869091,-0.942095163794067,-0.246084559299652,-0.708309826388516,-0.829024646192253,-0.265422337414818,-0.0319776384702589,-0.48031585587202
"AGGA_Ctrl_3 (GE) - TPM",-0.853367515252029,-0.592430881031555,-0.402677774986614,-0.340712766602689,-0.480257303356836,-0.674619551967387,-0.913312428082494,-0.756665494031078,-0.437615380144271,-0.497165231482423,-1.00006259726531,-1.03647791726198,0.15133784554734,0.826262458303195,0.134075838458653,0.50965677546479,-0.5411540892286,-0.262912077937087,0.476799855530993,-0.393298614555798,-0.409338910852281,0.727317007960346,-0.7026468086417,-0.865624206484426,-0.395062318289831,0.309530033590233,-0.930730597076323,-0.843862792568261,0.140231228625356,-1.20897846468967,-0.724233558317537,0.0432351153442991,-0.255496940789266,-0.217573839832857,-0.329523075220867,-0.276363173558703,-0.754417836811955,-0.417411082072141,-0.908801627845772,-0.249986406868686,-0.659446479380802,-0.733094749188298,-0.567363015117845,-0.786369525765461,-0.741554332572114,0.386241419516699,0.139767031444188,-0.778509847130377,-0.651254836506142,-0.49163261669019,-0.479416588420763,1.90224680537028,0.0963041051418179,-0.981111201538542,-0.791321829318958,0.270456086918119,-0.103560707771398,-0.574294366364535,0.0199813686249767,-0.843113575622772,-0.489005204522825,-0.924859559334625,-0.420900768383104,0.0338347281828503,-0.525170375170805,-0.432487556747196,0.0641739128332372,-0.308522540685931,0.197911498423172,0.000368426253009823,-0.408753093970561,-0.975987608296112,-0.0965550738549894,-0.209025287173848,-0.381525263779274,-0.404480464767012,-0.448994414424709,-0.714025253330339,0.241265010757135,-1.12504921066569,-0.451002350887535,-0.349196005999611,-0.110816264940845,-0.024409356448161,-0.727208049810508,0.574884958551408,-0.276906267675183,-0.547333602108278,-0.587594650706251,-0.409733081937392,-0.923242489803506,-0.461044068305071,-0.399252950060421,-0.191551840657185,-0.582421225360153,-0.968373787179571,-1.01970880754944,-0.776058057498559,1.39454985961426,-0.540648478286064
"AGGA_Li_1 (GE) - TPM",-1.18849442796588,-1.14506751151297,-1.35280894527866,-1.29205734425206,-1.04894251322024,-1.20639435009782,-0.981580121659254,-0.880688197768215,-0.512899796995395,-1.07876019573126,-1.20691900906584,-1.3817485366722,1.36838810123697,0.647118754763788,-0.596945169504268,-1.023938606069,-1.01399229103363,-0.423112432458746,-0.21105915688476,-1.04179704962811,-0.635594371869901,-0.0455397926725372,-0.764391803327375,-0.814816686656779,0.617469138965416,-1.72056488124866,0.777200289288924,0.483698901413178,-0.282799449216843,-1.1555598970761,-0.934313385229659,-0.967921128098432,-0.606965596228464,-0.314362921278576,0.995230007176029,0.768294149686924,0.277244535588008,-1.25149484107132,-1.27569943380463,-1.08463293185107,-0.873023634277507,-0.862922425792059,-1.28767004301797,-1.24236387834364,-1.19534251737451,-0.457881356179025,-1.34766212881837,0.153205772157368,0.00617572257605331,0.0216538420902614,0.326744634092538,1.94449369394284,-1.45850212753254,-0.973809689236586,-0.595094983901272,0.360510998293716,-0.286147162189029,-0.969944270388745,0.603834676346387,-1.66231420721648,-0.55933660386817,-0.628872178923303,-0.111067697706243,-0.35472243396113,-0.144382459724618,-0.856253547632121,-0.0925179288715925,-1.03382401535443,-1.28888635252251,-0.964890821895546,-1.13800797228578,0.322179336860033,-0.700818247241464,-0.533659399347143,-1.22640580629068,-1.42977584360879,-0.285733437595452,-0.847246371944059,-0.352021790442827,-0.554802923466035,-1.08017348991938,-1.93216174951236,-0.984664289680326,-1.30961664018855,0.932318840341459,-0.985145619031949,-0.274525619635516,-1.35458653649892,-1.10295189328512,-1.12752423460295,-1.02970768972682,-1.20260508425216,-0.952289489834977,-0.842740996921665,0.644123731490158,0.0989021678277373,-1.29643928222935,-0.44308488254331,-0.18152446766968,-0.722087480804032
