"","D7S_RS00235","D7S_RS00245","D7S_RS00305","D7S_RS00500","D7S_RS01280","D7S_RS01450","D7S_RS01975","D7S_RS02025","D7S_RS02040","D7S_RS02045","D7S_RS02260","D7S_RS02305","D7S_RS02935","D7S_RS02955","D7S_RS02995","D7S_RS03010","D7S_RS03385","D7S_RS03455","D7S_RS03520","D7S_RS04055","D7S_RS04065","D7S_RS04085","D7S_RS04125","D7S_RS04245","D7S_RS04250","D7S_RS04255","D7S_RS04595","D7S_RS04705","D7S_RS04785","D7S_RS05195","D7S_RS05295","D7S_RS05305","D7S_RS05310","D7S_RS05520","D7S_RS05815","D7S_RS06370","D7S_RS06520","D7S_RS06685","D7S_RS06790","D7S_RS06985","D7S_RS07785","D7S_RS07815","D7S_RS08110","D7S_RS08220","D7S_RS08235","D7S_RS08320","D7S_RS08800","D7S_RS08835","D7S_RS08945","D7S_RS09755","D7S_RS09810","D7S_RS10225","D7S_RS10350","D7S_RS10410","D7S_RS10820","D7S_RS10875","D7S_RS10880","D7S_RS10885","D7S_RS11040","D7S_RS11400","D7S_RS11500"
"AGGA_As_1 (GE) - TPM",0.850070429225011,0.37389291414707,0.79339377270935,-0.694425140195426,-0.378462625745019,0.558980195849895,0.00734764259574496,-0.555469146093531,0.339359748804002,0.37132628055513,-0.0435860435365177,1.55386483673475,1.03789331263815,-0.436347931056366,0.881452837064894,1.55520458043603,0.147653325691194,0.63124267219698,-0.478008319531213,-0.0960111307513789,0.578761970669006,0.778952275771279,0.56114824442433,0.612682825843246,0.462099825111642,-0.000963857059779516,-1.17395389758682,1.06041069619322,0.222685020528015,-0.967502543636223,-0.131887335555109,0.42422694389719,-0.0522264713390397,-0.298535312210023,0.612421027262962,-0.613065516366508,-1.01331063064059,-0.0626112016408549,0.537750688674456,-0.607886155695076,0.670285112926303,-0.813654094147613,-0.363701213143003,-0.967579763010092,0.796879591184546,0.254329627766347,0.415187458422931,1.58734477135872,-0.0897560639360472,0.486078044137931,0.837393326293769,-1.05120296437867,-0.620160326158357,0.274621606125628,-0.533289754942836,0.596235762686081,0.900439625659245,0.286417519114842,0.497630445858908,0.611497728379909,-1.12709202268826
"AGGA_As_2 (GE) - TPM",0.273744533629313,0.207530626500249,-0.00915683203558317,0.0132142271510117,-0.264271202449931,0.144401241955653,-0.00572080649087445,0.408756581789303,-0.0098642832459577,-0.0870947157983928,-0.226349626030998,0.403272936758515,0.0118340119353627,0.116807413909415,0.198964163047051,0.627444457659374,0.254170007157235,-0.0362211798841906,-0.242481668275123,-0.0911754176754499,-0.103782337389789,1.00683511912101,-0.189413341177172,0.061585497502181,0.382583967797311,-0.51754749104283,-0.660090335001754,0.102114713485599,0.29412982744366,0.206111600819855,0.273957124087327,-0.775455529166892,-0.221351315986283,0.397575006765692,0.0811967473877186,0.184105747970795,1.11380201327491,0.46662923731752,0.307570462754634,0.376664587410625,0.918730776879665,-0.15819105723698,-0.192322453591372,-0.173301811976438,0.695988051832826,0.131326394169677,0.0582623492507914,0.361678218111677,-0.399695428455077,0.0669381433311222,0.484975754631989,0.702654204926807,0.495659113212719,-0.185396089984742,0.039030214490404,0.405481735933786,0.292062986593005,-0.131089436728061,0.0213318514944272,0.122595123776978,0.740077827077166
"AGGA_As_3 (GE) - TPM",0.409319264200327,0.212162238274155,0.10611285117216,0.633361581222946,0.278482265731353,0.0494498604353346,0.419934572880445,0.0292916150210726,0.393344957027631,-0.062643022763042,-0.304166288508117,1.51251662390933,0.394477039243733,-0.0497151714947263,0.138740457836806,0.168075093881822,0.274294988021936,0.495911274481112,0.0655160354720315,-0.168168503316396,-0.123585251523178,1.28597582701154,0.241956813446738,-0.00733215284357393,0.749708814632679,-0.564339513235656,-1.17239791426339,-0.318085220068502,1.04233176624142,-0.164508549326325,0.241092944196828,0.101767092515382,-0.0769377966043105,0.496844363770397,2.32921195483966,0.141462958686968,0.318910987068366,2.0738591637078,0.495261585174042,-0.495449764090004,1.65998319771324,-0.259389095917564,-0.0106144774024905,0.137065018253047,-0.359072762208049,-0.209236014781567,1.01041203949715,-0.173909335295497,-0.23852821517039,0.469254214213754,0.188786463013537,-0.0811881681179777,-0.0546386331602561,-0.0492156484120109,0.836234816906983,0.220878673234753,0.283526083004776,-0.419031289500149,-0.132223081409045,-0.0517229861422548,-0.232729524507498
"AGGA_Bs_1 (GE) - TPM",0.772763229887917,-0.22713193309845,0.861776519943939,-0.462083921116864,-1.26046179901303,-0.935921910581625,-0.399414805510414,-0.824493624337898,-0.389761623726435,-0.938006381189829,0.996264656794835,-0.455259547756308,-0.0120134740705457,-1.03315697160088,0.329726600442169,0.427134279977141,0.790471656072847,-0.417779765597323,-0.153700405075543,0.0390637218082194,0.679310041650011,-0.586294271929971,0.769241308827338,0.216207201555159,0.122797551255497,1.80486691258854,-0.552547018582922,0.141144594018781,2.6514659481429,-1.3948081159104,-0.409391557868831,-0.138810565653272,1.47125817891931,-0.253230805970828,-0.713952062655098,-0.234405516461741,-0.0678973701846278,0.272370207212968,0.511580073717862,0.814126198595051,-0.623483515610392,0.0585137182152523,0.0247474323138584,0.103078761023818,-0.3697022253755,-1.19307794682116,0.596432226411007,0.857450765311713,1.12702417181353,-0.94804709743155,0.7033438580738,-1.12527854876039,-0.365886375829961,0.171062763112255,-0.773397784525782,0.24247112733264,-1.48960800081751,-0.456861859558828,-0.144730320266921,0.327450781101722,0.448838942946498
"AGGA_Bs_2 (GE) - TPM",0.488326662386041,-0.164007285213021,0.283402443721564,-1.00821660493061,-0.306608856542679,-0.86129080584998,0.590703746561019,-0.391232436753724,-0.37485899929544,-0.887949368922359,-0.171263835862334,-1.26514158011068,-0.887309106861613,-0.114780906282303,-0.506597474001976,0.385926401906679,0.110493085203153,-0.981908458353643,-0.54453625764384,0.0505953770769595,0.420778378183176,-0.546742521868013,-0.48832436519364,0.406196315564762,-0.255089010471042,0.325826160812308,0.389190400880722,-0.246059685730089,-1.06081810515411,0.133955942463978,-0.942808248001408,-0.596183464394509,-0.282227040605206,0.0178459821864268,-0.737126574832657,-0.00463392248098247,-0.530154064711761,-0.646674598984682,0.40253255419675,0.647723915020385,-0.803130821282719,0.757277844191773,-0.454228239190148,0.233616824463506,0.924380187165212,-1.4560579536384,0.616702736762475,0.34502447951237,0.666658823543734,-1.16719930738574,0.628265309033129,-0.516705129018097,-0.448952320001894,-0.245610422088863,-0.613891540818711,-0.629539298177572,-1.40760743166362,-0.292056480607608,-0.208029433857551,-0.0283324519860663,0.46263033724233
"AGGA_Bs_3 (GE) - TPM",0.834938868020034,-0.209611476766602,0.605165241659819,-0.66176952924069,-0.694474027399076,-0.880221621498899,-0.286538493047621,-0.598322149688913,-0.521282991005504,-1.01742234882765,0.338763607659651,-0.820611772384399,-0.153585322386097,0.132202725947851,0.468107324097329,0.456245317168906,0.208548806084962,-0.749340735840094,-0.450639720761848,0.161286614903744,0.442273608844845,-0.415444023299983,1.01538386297628,0.0118750583088128,-0.44402640458639,0.906463296819218,-0.216783929974081,-0.43652441305477,-0.508985329224441,0.102264185935384,-0.721896161567259,-0.829560464420172,-0.239161541911932,-0.0565255767944027,0.563323499562073,-0.730888305857515,0.610168061864581,0.151139660935084,0.471277518158952,-0.366683059480913,-0.467881202227722,0.906218953112105,0.472402475374133,0.189952408496381,0.65707446364713,-1.1617778010954,0.733238698302116,0.847179563011188,1.8290071654904,-1.05773758340046,0.575957588729224,-0.766826522366595,-0.839582321634336,-0.9024356588394,-0.450743446948897,-0.210704163525958,-1.3045030752745,-0.584682218305183,-0.00296919532762921,0.224030640958846,-0.624312212462102
"AGGA_Ctrl_1 (GE) - TPM",1.15180338028043,-0.0614711288109465,1.1831415637015,-1.48881933201338,-0.315424996863577,0.194194232590005,-0.351830632235823,-0.184004923375039,-0.17968842244449,0.708060959969809,0.212970276184661,0.915645705391805,0.301406889861355,-0.963417349518144,0.924809193936442,0.603750008289971,0.537821166513256,0.395163718818123,-1.16619631465095,0.651593890474579,1.40153891780042,0.757266120425362,-0.134235766316002,0.629852048716867,0.856734244717773,0.827741967665627,-0.506864849916484,-0.0950950060877568,0.749710689190326,-0.548125604156599,-0.144466490579041,1.06713247066726,-0.106221161399867,-0.384514760608816,1.03268184370873,-0.989433627094452,-0.855961882019103,-1.1545837805381,-0.877062104108782,-0.186230101859983,-0.853774940486895,0.499551778255887,-0.359988521376588,-1.16850936305669,-0.474858974952257,0.429933708608427,-0.174577720287302,0.332481481608037,0.736529322536812,-0.161223180218232,0.846784756211378,-1.09677187295275,-0.963610294217999,0.421392170617248,-1.0567342502179,0.979984067874538,-1.23622926139201,-0.836990147057736,0.35297084147519,0.721888003733669,-0.651544393603131
"AGGA_Ctrl_2 (GE) - TPM",0.860650217185699,-0.156049242916925,0.0842751796153979,-0.0342915738223294,-0.0510047397928903,-0.509975655751276,-1.20600853853466,-0.00485986550359295,-0.303220844491062,0.501156312464192,-0.133505349151936,0.968828679806609,0.804230592258933,1.08843238096027,-0.348215689393203,-0.24151674736565,-0.217141603353202,-0.0828487803326683,-0.678115360695327,0.222161654886841,0.0543738168696219,0.0332954278852403,-0.0508358030459257,-0.0283191373129084,0.648706190163713,-0.207919950992514,0.378842897959656,-0.379404922135921,0.192846230570447,0.121850278504595,0.10687949991403,0.372145605630073,-0.300163925186725,0.564418456170059,-0.0973257534106182,0.049415770758666,-0.444300372529647,-0.374229613260403,-0.750895269167377,0.371266527430055,0.17513631798137,0.390560858801057,0.0159316284241545,0.932314215400684,-0.715168829038006,0.402582928758366,-0.518110275413326,-0.715578055561868,0.13010875196661,0.0133125228549674,0.108115498938961,0.37051359682922,0.899438916132411,0.45226365667083,0.0742459863742909,0.943792186534842,-0.618128843354267,-0.600244021782278,-0.052134896978618,-0.0151919203858388,0.127488941453071
"AGGA_Ctrl_3 (GE) - TPM",0.825697887385669,-0.10034949469396,0.313348376981651,-0.205704185248541,-0.451856041039526,-0.466053725783035,-0.573916310796059,-0.417770634888425,-0.278730836123719,0.363782034608319,-0.319218545890793,0.783889562063402,0.570581723033456,0.413019461860734,0.33253127520281,-0.122984982909533,0.0783335433620957,0.0665925162338753,-0.515961881874817,0.395885448154691,0.176295060874624,0.218613776539276,-0.181345414633296,0.0921995291121993,-0.109950231844705,0.0918766758166313,0.416683237113481,-0.586922746156336,0.274405164531522,-0.16181971674211,0.554945302531952,-0.297817890188422,0.286274914633139,0.167623543820309,0.131620143741778,-0.266028068154827,-1.00116850891602,-1.02680257458368,-0.839736263358608,-0.00973234775166034,-0.378695420413234,0.825936335626002,-0.212055438789423,-0.331243795380787,-0.122816834140171,0.624220574860049,-0.318253550393723,-0.559268601909853,0.0509293417634387,-0.121378526233746,0.205023619025717,-0.175776729867744,0.680897190877303,0.00279251131620013,-0.877193173703688,1.26959195118012,-0.73784454298734,-0.787440229092735,-0.037804666107423,0.268762558224495,-0.48309941927056
"AGGA_Li_1 (GE) - TPM",-1.06142613834604,0.286793162639523,-0.602506761224187,0.310944929167245,0.473144059654289,-0.771075207857231,-0.711404304832026,0.081976671838532,-0.473591523893251,0.283513319450986,-0.688070899642246,-0.152323766726087,-0.141808872082592,0.594582275420497,-1.03460127822266,-1.01960613521051,0.950995839462629,-0.0519224114794016,1.42825630989294,-1.1409261292515,0.159677247189179,-0.966346740084687,-1.40884112305156,-0.867678094513098,-0.862763474526554,-0.00423882872658143,0.228607205933682,-0.97283008534852,-1.40399088320959,-0.327276845914801,1.26099827319297,-0.2294595970664,-0.701845256040329,-0.440278076704812,1.94216910540594,-1.03894389989421,0.523505591025977,-0.874166283871805,-1.22116857320148,-0.41175412210302,0.432871848724173,0.146511273342554,-0.228626787450381,0.19870888578457,0.696837179393686,0.839362877742606,-0.0300556487566646,-1.04914467145393,0.748132700157494,-0.968875068537386,-1.29871549466952,-0.495773139177291,0.669919366770142,-0.532972757232911,0.140732186275868,-0.258233638655698,-0.140678379653514,-0.975535669000566,-0.508391343199924,-0.71055133203173,0.36373627015087
