"","D7S_RS00840","D7S_RS00850","D7S_RS03550","D7S_RS03555","D7S_RS03560","D7S_RS03565","D7S_RS03570","D7S_RS04470","D7S_RS04475","D7S_RS04690","D7S_RS05840","D7S_RS06015","D7S_RS06860","D7S_RS08350","D7S_RS09915","D7S_RS10285","D7S_RS10510","D7S_RS11390"
"AGGA_As_1 (GE) - TPM",0.127641415672269,-0.182146615950296,0.571021599936579,0.612613621355282,0.717385584733371,0.360980946960582,0.853461568930857,-0.552568316172203,-0.449824841003011,0.243466210948852,0.00295741318837562,0.000549304973211804,-0.127211376127592,-0.205159889442124,-0.809424754623365,-0.324989641073987,-0.413008077073104,0.0884412807121563
"AGGA_As_2 (GE) - TPM",-0.127474609339116,-0.298185389219372,-0.156248128277242,-0.293190167347188,-0.471011709359415,-0.393980460556769,-0.268159406583626,-0.209405915224731,-0.524666960607748,-0.364338830871874,0.462214639253611,0.406489182883728,-0.395982850525287,-0.759846234014424,-0.175002770270003,0.47953277425144,-0.0984511171599437,-0.599821210527679
"AGGA_As_3 (GE) - TPM",-0.525795517749505,-0.988162705369167,-0.536638008051534,-0.3242878051702,-0.750498092563576,-0.328085857463556,-0.782886195301801,-0.162668195906921,-0.263716050759949,-0.491552617992327,0.741204709262328,-0.0450791350934554,-0.52066688939543,-0.778586931520437,-0.211392889665518,0.438557594273323,0.415586117822813,-0.498143959057993
"AGGA_Bs_1 (GE) - TPM",-1.28991138326075,-0.998284639485201,-1.02129607385204,-0.683503535679063,0.207688982290563,-0.898651162358099,-0.69842553251768,-1.17855608538562,-1.03632942383788,0.377664057680666,0.451817313604979,0.645360282110678,-0.389516175548758,-0.99971751344331,-0.225246488276254,0.672315373391663,-0.381388099647483,-0.587313698285701
"AGGA_Bs_2 (GE) - TPM",-1.59035756959375,-0.874630632925827,-1.58718653459083,-1.37155238661766,-1.08373340449633,-1.98204797878657,-1.41396342060797,-1.19580231893693,-1.11812618667949,-0.41761600689131,0.0409745026310712,1.2007474652579,-0.988242947107344,-1.39742045217946,2.26581664075207,1.49722732379492,1.33627722675517,-1.58400957729572
"AGGA_Bs_3 (GE) - TPM",-1.47692629032602,-1.02116935690662,-1.52135479353555,-1.15235695213888,-1.25489327793744,-1.53755085638981,-1.6701586874756,-1.10879061487496,-0.866361589401013,-0.340757015792887,1.05130029352627,0.618423635301756,-0.508066568541785,-1.49118544367417,0.509533981627567,1.39785855506617,0.64747550184147,-0.655280924540209
"AGGA_Ctrl_1 (GE) - TPM",0.347688516527282,0.251767899882834,0.142385753737717,0.0959143989989459,-0.230812237561675,0.265416735280705,0.552275454007724,-0.088211827616763,-0.243452917629777,0.0506824671790761,-0.75595134863662,-1.05971641269064,-0.529363721128639,0.159332678254423,-0.0647079743233566,-0.699115778252577,-0.6468378631754,0.842386925584552
"AGGA_Ctrl_2 (GE) - TPM",0.330368057118338,0.710459630724141,0.344918101568298,0.0797064058414016,0.670567400711302,0.207146027597596,0.325599212775184,-0.326091622276348,-0.315186014934548,-0.406599867847194,-0.137496145308939,-0.891420090407484,1.23380064289365,-0.340678540302666,-0.629103276616956,-0.583392698674484,-0.198438893385301,0.765980157277334
"AGGA_Ctrl_3 (GE) - TPM",0.1803453415701,0.146777449673,-0.112288887538298,-0.0372960673737702,-0.0338213652620861,-0.293641078450975,0.0832343795288646,-0.229090984822003,-0.22243804572227,-0.622351812339146,-0.606257860857076,-0.684124045924096,0.213966783664371,-0.530430986234984,-0.575064349742119,0.0980639960276383,4.2780782658116e-05,0.518782898125814
"AGGA_Li_1 (GE) - TPM",-0.703692763164128,-0.547390853562419,-1.01902425625009,-1.31551203649048,-1.79716850346786,-1.27257558987228,-1.51295596382977,0.294594087492608,0.150312305508656,-1.20250833997298,1.44075579082673,0.374261556901121,-0.677370949160999,0.480883679522144,1.04927005338855,0.663411309082903,0.131784313928977,0.186442788153314
