"","D7S_RS00635","D7S_RS00645","D7S_RS00740","D7S_RS00865","D7S_RS01325","D7S_RS01590","D7S_RS01595","D7S_RS01600","D7S_RS01905","D7S_RS02115","D7S_RS02350","D7S_RS02385","D7S_RS02530","D7S_RS02615","D7S_RS02795","D7S_RS02840","D7S_RS03160","D7S_RS03670","D7S_RS03795","D7S_RS04195","D7S_RS04465","D7S_RS04960","D7S_RS05470","D7S_RS05785","D7S_RS05875","D7S_RS05880","D7S_RS05885","D7S_RS06050","D7S_RS06565","D7S_RS06925","D7S_RS07305","D7S_RS07405","D7S_RS07640","D7S_RS07675","D7S_RS07900","D7S_RS07905","D7S_RS08095","D7S_RS08765","D7S_RS09625","D7S_RS09725","D7S_RS09785","D7S_RS10445","D7S_RS10480","D7S_RS10560","D7S_RS10845","D7S_RS10850","D7S_RS11235","D7S_RS11485","D7S_RS11490"
"AGGA_As_1 (GE) - TPM",0.427438749671502,-0.32695706007594,0.399103853646386,0.499274282016406,0.674283469419155,-0.0119822315861854,0.562234426207088,0.802727073150661,0.143952526867132,0.503590828941019,0.340894398001256,0.736256967822202,0.102101569463115,-0.374082085972658,-0.501830400501769,-0.150564957869142,0.147702451113779,0.0580727547683555,-0.254194325844962,0.347922231907227,-0.295206147306805,0.519453754915859,0.705569544317208,0.0450643249457511,0.186510572227,-0.0751604322208367,0.0711393653306262,0.510616597689186,0.419010759460181,-0.0776402918091305,-0.100811001640498,0.0854979445130061,0.272091442314076,-0.985190172434714,0.18032548151142,-0.0800858967450109,0.800877828163691,0.243209924765252,0.18192845642776,-0.162520624249594,0.579498377070664,-0.206365039666083,1.19195636151681,0.598295547250676,0.0615000319310454,0.679889472809617,0.206114384916627,-0.45967018252326,-0.39250931371282
"AGGA_As_2 (GE) - TPM",0.736194810722912,0.385866318579057,0.625872756932482,0.613262257245902,0.447601055718748,-0.279504114896533,0.145542949297534,0.301634589690048,0.0213617481210733,1.66982810347505,-0.0572357081679572,0.638905812555031,-0.0146240081328249,1.70238744297935,1.10434165263432,-0.335345969153765,-0.590912736772973,-0.553098981876412,0.376595079056353,-0.0486994913830996,0.307520707878456,1.00690410082535,0.176452398870034,-0.101290293498427,0.0355275807567628,-0.094598001739619,0.909643751825191,0.332768271152463,1.68186235972459,0.0329507952103679,0.539128825952061,1.18352945884226,0.322106724781596,-0.452195445378658,-0.729419285690515,0.0530288035522688,0.483341466956506,1.71150893834084,0.205799338190493,-0.280629326745855,0.623751351379072,0.453474803327849,-0.0708817900362747,0.166607154946366,0.43371473886871,0.60972459122047,-0.144055077960433,0.718871257993088,-0.39250931371282
"AGGA_As_3 (GE) - TPM",1.37756904992322,0.7384352667255,1.00865122177383,1.16559339495149,0.430245074231475,0.327709813288781,0.816352749095062,0.782318455847969,-0.49056116162784,0.194101016460658,-0.374558700328186,1.2328509435725,0.699555618471096,-0.3597290200696,1.85008275530367,-0.33565914536185,-0.420506017974364,-0.110094157598566,0.426334113058136,1.51119228685618,0.368061314768476,2.11719911376959,-0.347221501213893,0.246755589383692,0.151919624140627,0.290164069322891,0.387590470943773,0.971906252470778,1.89559476414093,0.801042159505098,0.247946962831954,1.20035159796897,2.14540545869,0.193376244467708,1.27964184382864,1.40248821098462,1.2397731705307,0.899985815334887,0.498466072194604,-0.335402788225027,1.35219502153991,1.7283023755726,-0.262329161820811,1.47811119514765,-0.216233396097908,0.781798649790281,0.594282815276541,-0.620564608967875,0.317591770556086
"AGGA_Bs_1 (GE) - TPM",0.118929172147115,-0.201392966879993,0.916503114365869,1.00739539634965,1.04799226607208,2.26826424904307,-0.222817263262741,-0.0628185332319181,-0.717194808735672,-0.730835944775539,0.0601256602845357,-0.235710788642306,0.192136884020392,-0.2659268254779,-0.501830400501769,-0.27291832863735,-0.683285648543035,1.37875726165864,0.597748790867644,0.221174927514814,-0.387586412856977,-0.524088840457466,0.0905301245392562,2.01685270251438,-0.762557329890737,-0.314657032026196,-0.335418477456548,-0.077357624961851,0.257284920725678,-0.550136455267384,2.20667842098284,-0.12653737250928,-0.543076458710272,-1.07368186515647,-0.474789539816016,0.916838784493226,2.03520810485404,-0.247182605731224,0.151021748634582,-0.150708372794987,1.34262683483431,1.9297153320025,-0.142598429462325,0.953280711325191,0.564211361404209,1.1640791758478,0.0435790952088347,-0.516132007571322,-0.39250931371282
"AGGA_Bs_2 (GE) - TPM",0.0585456797990479,-0.57063990809972,1.23775387289411,0.253763793714619,0.514151413555503,0.852911728459475,-0.28443754234776,-0.438375855188577,-0.654780935341643,0.316492379965466,1.8265891966985,-0.764821027058614,1.34465584872585,0.0748325422100921,-0.501830400501769,-0.194066191670573,-0.487846765005765,0.43013282118424,2.52000842586625,0.114502224720488,-0.127415151221191,-0.567363775831081,0.512682935426755,1.16961657459885,-0.489539094379767,-0.728686275886972,0.0368707103105726,-0.861093679501584,-0.0678137314395006,-0.631523890548962,0.651947917564271,1.48294560193149,-0.188551947225313,0.231658550442087,-1.11405647069444,0.197107315792548,0.598412284143241,0.245129622441616,2.03941213140499,-0.153457028917634,1.62637679436982,0.359579930787236,-0.907782716000544,0.746410133436159,-0.123107388372083,0.690263270133471,0.559232331742623,-1.39405118597837,-0.39250931371282
"AGGA_Bs_3 (GE) - TPM",0.192646030811599,-0.862732583889359,0.775843707342939,0.365281280924504,0.398012617057728,2.25099315200843,1.87784209563244,0.283350792289129,-0.390993067167727,-0.120127407136421,-0.359110247901408,0.567046745763718,-0.131021563331335,-0.655685837365166,-0.501830400501769,-0.386710310294686,0.440824185702967,1.04277167611624,1.1092899602936,0.590445430558773,0.363887252092779,0.460604148351091,1.23434970250625,0.55908765452953,-0.742980523961176,-1.14837126543711,-0.203875194429231,-0.816021895822613,0.142088930998631,2.02103374362618,-0.400560926672146,0.161738315069861,-0.966302761478404,0.632508043648406,0.218760163359936,-0.102496893644038,1.11444158769821,0.299162797545215,-0.316817131472341,-0.197494644670701,0.0547670067845773,0.146701165613332,-0.463953694528856,0.971629704559763,1.31566327404864,0.847084453453038,0.197136738392462,-0.173793806748662,-0.39250931371282
"AGGA_Ctrl_1 (GE) - TPM",-0.536489731557856,-1.21491803293832,-0.806014031347894,-0.728764103256249,-0.549546001756605,0.127734877926767,-0.374996289323442,-0.368863394527846,-0.609317495637728,-1.20925125263171,-0.61270349652788,-0.494459036444646,-0.242788197543503,-1.2952394363193,-0.501830400501769,-0.304982290899107,-0.376171385749436,0.258519410030522,-0.519729840660039,-1.07522845987757,-1.28557381541608,-0.510784440994131,-0.252670896872115,0.517527379560392,-1.05637867639696,-0.887567229096464,-0.509424418786734,-0.96397507086869,0.055530310449339,-0.37114440817698,-0.959503213286538,-0.547682297352356,-0.158306888426642,-0.985495656898358,0.0374121691501885,-0.37668676977709,-0.69613133050648,-1.42674532566504,-1.11522095110183,-0.285801601626562,-0.166886565718164,-0.589696298573926,0.555044788598415,-0.415481462895861,-0.104839110755231,0.0259205757700845,-0.714847360341942,-1.13049503199363,-0.39250931371282
"AGGA_Ctrl_2 (GE) - TPM",-0.793727171846146,-0.486249346862978,-0.466810108864634,0.0731489461550253,0.131485984269739,-0.392195763074536,-0.491960546718131,-0.459862681124698,-0.567903976858586,-1.20381197451097,-0.97809795308665,-0.966688648138245,0.0132235480304904,-0.59806840590408,0.180549329944999,-0.388814210961764,-0.21831021758985,-0.302636735546862,-0.386989417256633,-0.811297589950275,-0.585894419124256,0.626325336948731,-0.225973976833433,-0.66066308701547,-0.476736392738331,-0.550802637994497,-0.524084681167791,0.0725991527905281,-0.81020726766071,-0.559386556778351,-0.44141741833827,-0.356040626782145,0.0947418778391434,-0.702536416847745,-0.194861060085578,-1.05107825717251,-0.724689261843186,-0.72705042840524,-0.867677656981073,-0.266113617197063,-0.677555514491523,-0.671196585604035,0.986829752541708,-0.651095063376034,-0.529545401709769,-0.0747708349904617,-0.592073688178189,-0.879760018574955,-0.39250931371282
"AGGA_Ctrl_3 (GE) - TPM",-0.802015635663476,-0.338116609761365,-0.760421577374967,-0.535912347891038,-0.822944931206912,0.082613258425757,-0.713129072265704,-0.655143489763749,-0.489062043138838,-1.20314579067389,-0.741021746632905,-0.5425631300291,0.0176866068755489,1.40409564701211,-0.501830400501769,-0.375989434023612,-0.375987526665597,-0.0721005612298884,-0.121384865798113,-1.1059543956947,-1.21133601292617,-0.220983209084629,-0.406327238786893,-0.38732892650204,-0.950914109600565,-0.675674158554585,-0.663134581167566,-0.508265061969408,-0.965993146235443,-0.198247007370616,0.233772230977013,-0.177185272496596,-1.06282840828708,-0.982810443065446,0.737952251151764,-0.522218973563312,-0.453693459965804,-1.12659351831548,-0.350355967917936,-0.208506095426466,-0.765513400788076,-0.615288178813659,0.588200364855373,-0.944941759152385,-0.448927598823338,-0.247487578557228,-0.468026340106868,-0.381399651428495,-0.39250931371282
"AGGA_Li_1 (GE) - TPM",-0.938909698245309,-0.592321658139055,-0.765960582995515,0.240983173579747,-0.617506988344155,-0.310668109761996,-0.857071144195145,-0.916145038908356,-0.806979822024575,-0.740483685263977,-0.742521559184424,-0.799901910450835,-0.992607809867177,-1.6510533559655,-0.501830400501769,-0.27011399250721,0.238986458591374,-0.190547726539669,-0.700387387721316,-0.370779139033304,-0.499281006935337,-0.366933672627259,-0.877627555105545,0.0409736301287677,-0.460778561154706,-1.47661300186722,-0.84808889690925,-1.2198005347879,-0.393752922736511,-0.114831289881436,-0.098576386438698,0.632225348932304,-1.61932313525523,1.11194624240144,0.456719772205337,-0.0630538408767505,-0.75691996077632,-0.984025999528908,-0.913409541830992,-0.273871002330561,-0.12139406652285,-1.33937351168327,-0.339870298369813,-0.669164457141698,-0.593499123588135,-1.21475206849928,-0.391215823652335,-0.674990794492771,0.399652689311103
