"","D7S_RS00320","D7S_RS00640","D7S_RS00680","D7S_RS00685","D7S_RS00690","D7S_RS01880","D7S_RS01885","D7S_RS01890","D7S_RS01895","D7S_RS01900","D7S_RS02000","D7S_RS02005","D7S_RS02015","D7S_RS02035","D7S_RS02295","D7S_RS02300","D7S_RS02460","D7S_RS02515","D7S_RS02965","D7S_RS02970","D7S_RS03135","D7S_RS03200","D7S_RS03205","D7S_RS03210","D7S_RS03215","D7S_RS03220","D7S_RS03225","D7S_RS03230","D7S_RS03235","D7S_RS03240","D7S_RS03245","D7S_RS03400","D7S_RS03575","D7S_RS03725","D7S_RS03730","D7S_RS03735","D7S_RS03740","D7S_RS03905","D7S_RS04005","D7S_RS05035","D7S_RS05105","D7S_RS05125","D7S_RS05335","D7S_RS05460","D7S_RS05525","D7S_RS05585","D7S_RS05590","D7S_RS05825","D7S_RS05865","D7S_RS05870","D7S_RS06600","D7S_RS06605","D7S_RS06760","D7S_RS07075","D7S_RS07460","D7S_RS07635","D7S_RS08615","D7S_RS08730","D7S_RS08735","D7S_RS08930","D7S_RS09135","D7S_RS09600","D7S_RS09605","D7S_RS10300","D7S_RS10305","D7S_RS10435","D7S_RS10605","D7S_RS10610","D7S_RS10615","D7S_RS10825","D7S_RS10830","D7S_RS10900","D7S_RS10920","D7S_RS11185","D7S_RS11430"
"AGGA_As_1 (GE) - TPM",-0.786349414438315,0.311147707437936,-0.30026997422825,0.095744835685322,-0.494316209902726,-0.23782182293962,-0.718993398879699,0.372091109022482,-0.0098095153636029,-0.0337856010686476,-0.446114381673753,-0.78184149116979,-0.415730203332592,-0.605567207842366,-0.020099173386611,0.144182967900269,0.168215759670391,-0.585293629349317,-0.426175652654438,-0.380154910738571,-0.657064393389657,-0.789551148532141,-0.420033785350346,-0.504771768236568,-0.573093678002835,-0.630168296066551,-0.513850630772931,-0.536692142666687,-0.511689493349396,-0.59098282227384,-0.601137285618856,-0.299466727304115,0.356230865925932,-0.494948427659438,-0.576884740292348,-0.595610795630087,-0.272160292394173,-0.627730827114968,-0.726581494361485,-0.450750352496349,-1.33379581230104,-0.559270915845237,0.253064897604373,1.39073763640971,-0.17217051753356,-0.40172012392973,-0.823651388031033,-0.330369724444561,-0.438493169899544,-1.04072783948163,-0.426422932948683,-0.125090770956091,-0.542963720539711,-0.382082761707293,-0.267481406475622,-0.70824904473711,-0.533531686292663,-0.526015113823674,-0.54780657879837,0.600231701315026,-0.436247327358703,-0.152691260468181,-0.359040185068374,-0.736146066294068,-0.82637950726878,0.158782634928015,-0.404506426500939,-0.313189663717144,-0.289064344448112,-0.299327916092358,-0.12026210981085,-0.482106754290485,-0.425528856768926,-0.648260812096431,-0.296423009273484
"AGGA_As_2 (GE) - TPM",-0.849991062145925,0.589034820527325,-0.41043533343254,-0.186747285533166,-0.504766671472529,0.482053656875521,1.03323810809817,-0.748175548509059,0.0621599174529199,0.231481121738253,-0.269801236832057,-0.577457974378435,-0.426086316608098,-0.457760586926054,-0.219490028713756,0.0648275277505903,-0.409942971138503,-0.533078047619861,-0.365509046632323,-0.398710466131393,-0.579956682605072,0.0340826527470593,-0.369316407562458,-0.440466183130311,-0.459506976154907,-0.572535167503348,-0.467356679502938,-0.444721476994737,-0.379329525554851,-0.402616243233762,-0.087397206541522,-0.304658609402903,-0.575174955847992,-0.338515958264808,-0.283941596154245,-0.309557889490697,-0.367014361563011,-0.552897589500086,-0.80095158965945,-0.125835028294007,-0.922718299606238,0.0724013705684682,-0.0316882530768028,0.882609692140642,-0.115478770497759,-0.150699981995627,-0.689410974946555,-0.820379278736097,-0.206132587239213,-0.081346895045218,-0.495372497453777,-0.322043038765516,0.543301008511062,-0.363410511447792,-0.925149712909087,-0.371338461748005,-0.26107573247219,-0.280605034583471,-0.375739049433617,0.0785618135917351,-0.0117048104535725,0.660809572932044,-0.325482123843274,-0.592612696913267,-0.615723884578325,0.83898430315754,-0.408341322046016,-0.344995829115081,-0.321239049201834,0.100797736526351,0.777109190571808,-0.600101795761418,-0.236129934224283,-0.266787077463522,-0.884354289952739
"AGGA_As_3 (GE) - TPM",-0.292461978994354,0.0783711735569834,-0.0376148273410805,-0.379740726547908,-0.625990492262587,0.189999418998154,0.981017789308066,0.356879588147186,0.294216489334731,0.801347170857649,-0.266491131606801,0.232033880692371,-0.412496382910893,-0.364079282053505,0.0275959087461856,0.0832776178042581,-0.0827180884387043,-0.486735972187049,-0.306764923363537,-0.391847892206777,-0.505426422929876,-0.643437822832173,-0.38951257111036,-0.387604994685652,-0.498139267489445,-0.582967800584406,-0.438454937604463,-0.385163503535407,-0.438951710439226,-0.426512966668639,-0.323090601988224,-0.275758822087805,-0.248740310462807,-0.43841352956453,-0.30757268557237,0.0360887484181148,-0.287321731072479,-0.386393886454205,-0.834274979102831,-0.458934012899876,-0.58769589319298,-0.268906010379558,0.18618951160173,0.110637785710487,-0.263808696891247,0.0512396318296077,-0.718405371350227,0.987902707841361,0.416475122763,-0.0403767990477652,-0.422032847629798,-0.533938282606266,-0.080110561433944,-0.370353252885443,0.734078026888159,0.0949211396483389,0.255032400329957,-0.471115326421171,0.307893505523456,1.2028096491859,0.043828876964022,1.41668822756108,-0.343402205372295,-0.676691269632372,-0.533977888459517,0.512377371614591,-0.394089297536272,-0.320706660806894,-0.238026763779726,-0.613062528313177,0.278718432081832,-0.476031912223095,-0.086316757917084,-0.108701175515319,-0.540329599793996
"AGGA_Bs_1 (GE) - TPM",-0.185773983952084,-0.366893562114893,0.555972329864018,-0.171306600628013,-0.581176638910008,-0.725300366651218,0.865034610699702,-0.813846739472231,-0.99147929513832,-0.658554314768017,0.905825596092674,-0.339098979871702,-0.352057963060693,-0.498626202795825,-0.174828308341699,0.567509441846579,0.055522389293132,-0.710265897641634,-0.392171670816159,-0.344528968482091,-0.87107462118523,-0.284689233860732,-0.298424971687402,-0.350373326586933,-0.35366079575407,-0.601720265115708,-0.433533948921815,-0.30868156981476,-0.192368365220373,-0.500237485326865,-0.689143906324457,-0.138549634762689,-0.670212300367348,0.0889635085624595,0.879908245929442,-0.465831792555256,-0.081952051687936,-0.430458981580809,-0.399192809609267,-0.211983897469466,-0.976783429253131,0.934482918286253,0.927875921553534,-1.37175556902627,0.517835307653811,0.0828338859519866,-0.749721401622315,0.91696345415311,-0.695521819208599,-0.778992902958087,-0.35085157627186,0.402427515308941,0.780472485271983,-0.301479000438822,1.20767354253105,-0.963420901738919,-0.404751300393955,-0.376798536190331,-0.599689215453228,0.793254064716407,-0.0563676556130607,-0.659849227018786,-0.339097146816403,-0.0907055082033402,-0.496985188137946,0.527072981203091,-0.378632348294499,-0.229955542531158,0.399492198034694,-0.0955677240597202,-0.980506664704193,-0.139137656953428,-0.524126291996184,0.464116849678184,2.04290957797965
"AGGA_Bs_2 (GE) - TPM",-0.510206100992502,-1.31748348297486,-0.112510893582286,-0.171841801820892,-0.699534005278834,-0.695502927480756,-1.16071762730283,-1.13676226489308,-0.969954613003629,-0.625690481380788,0.720018641686376,0.740336027082003,-0.41904497675327,-0.50118050003077,0.110899529525085,0.364981468371217,-0.581609944747084,-0.801993310871552,-0.490907049071885,-0.271406979769697,-1.05995847128627,-0.397841053330622,-0.361335106281772,-0.364298753806596,-0.257870494354534,-0.552976321521812,-0.440809747098885,-0.119843931822238,0.0883739562482626,-0.430442319506974,-0.36541691508858,-0.168802278956238,-0.823877819291663,0.241850619948493,1.84582243731839,-0.658698871469549,0.0559758038823988,-0.0333547010115377,-0.127524198089358,-0.201491090405125,-0.868271350567096,1.84450755982101,0.0749690138298044,-0.881335093457893,0.440217581971036,-1.07310646550207,-0.933108023295561,1.38453665624682,-0.859286659483539,-0.933266901516647,-0.286552324313772,-0.368993329831508,1.76396637250291,-0.247362548690542,-0.17490705312612,-0.917239180155965,0.937610573220195,-0.558747188799049,0.403389153073502,0.338303180579478,0.407462634843183,0.867094960684369,-0.311925845560818,-0.147983353040788,0.399088276203453,1.47682830785947,-0.376556306389704,-0.106801783104568,0.248974197203881,1.82382608058896,0.358019057423764,-0.0772089030873288,-0.623354780071124,1.86759818226788,0.0923644509319009
"AGGA_Bs_3 (GE) - TPM",-0.828351793285578,0.444203916089972,-1.00305419646244,-0.508517967972017,-0.667402688755145,-0.878141350194543,0.528690129958192,-0.239094090963518,-1.26958640133492,-0.902557617822329,1.26239832980782,0.0900718449854561,-0.416766442358809,-0.551598371991344,-0.278997068880104,0.180913503649802,-0.339064420822238,-0.799333589325866,-0.317414312601133,-0.302391281879554,-1.06552260670831,-0.403403106995578,-0.361824446154233,-0.414266958963618,-0.298858668157789,-0.607445974582649,-0.406430504123732,-0.207249129336461,-0.0884020701793945,-0.482759121736643,-0.531626977171098,-0.129271930881636,0.215258316024083,-0.0451269226326568,1.22824677194171,-0.204526226779583,0.200991645439398,-0.385265224132379,-0.23166696944542,-0.119593733742158,-0.113863815634693,1.55121543714538,0.437062168735852,-0.963755239701781,0.195316083049519,-1.21307304825721,-0.946230147979679,-0.15539425654535,-0.63949664193004,-0.690370090864333,-0.295126809881458,-0.519094072847996,1.32405482155036,-0.317595087994903,-1.54198355170876,-0.292073080446501,-0.433153377506563,-0.117714287129376,0.0177190951263696,0.408145983619042,0.151731236599445,0.124905597241596,-0.335568165953331,-0.089191659960106,0.901620591550042,1.13140132650874,-0.390397755676741,-0.195609954834194,0.220149307242902,-0.803601445153284,0.0626429081959226,-0.260541725031723,-0.319926565804509,1.52361953491844,0.853464813771632
"AGGA_Ctrl_1 (GE) - TPM",-0.442775608873887,0.775246788285844,-1.03843378449932,-0.531571911792024,-0.648674800211034,-0.42410866776821,-0.187690529375386,-0.167352140563198,-0.0132779943017394,-0.7006922934389,-0.461022283416787,-0.574014689336608,-0.365459330628559,-0.526003613096085,-0.797664713488407,-0.0907707525578336,-0.603204528648118,-0.537782978841391,-0.409495534644554,-0.465539095836713,-0.616282434185865,-0.349059208575771,-0.368880423806872,-0.46416709507,-0.451491806591465,-0.516174486901033,-0.487544067198569,-0.448428038800322,-0.338202997713883,-0.370378278511088,-0.351340545911339,-0.29554779276043,-0.0541365325242002,-0.22788628991692,-0.256858522719876,-0.174724495428355,0.462869535361372,-0.49518302655187,-0.604752204380763,-0.39681231992706,-0.220921805907087,-0.292325952648681,0.588391649331214,0.159260201020835,-0.0652575962618142,0.0270697264613797,-0.757462757337508,-1.42185272293384,-0.931503430992087,-0.949816759847752,-0.382349189108578,-0.0999139218101126,0.321813266133367,-0.374744256458536,-1.10800439029173,-0.871114435236437,0.200619832182608,-0.787392857178538,-0.82553500908668,0.47543885405061,-0.21253082475041,0.340739302471615,-0.371817787468319,-0.326562086161512,-0.456859236060822,0.0552277011316632,-0.367791621997697,-0.321914644972563,-0.200448548547102,-1.17953823706815,-0.464669583111552,-0.0983195670854114,-0.344189889041643,-0.495767835120078,-0.990656909599972
"AGGA_Ctrl_2 (GE) - TPM",-0.379741359234061,-0.709997452769992,-0.680651649247364,-0.657549035879269,-0.508185249783101,-0.225697974614349,-0.31923961142334,0.926868606547141,-0.0233863758647684,-0.411152993858023,0.271381011868426,0.351236517702869,-0.347261142242619,-0.569469274999631,-0.921761892560652,-0.462988609786576,-0.841586977535595,-0.411684580280231,-0.465687304304861,-0.395556228374694,-0.352867169004271,-0.113024047244807,-0.330242087588926,-0.400884896502545,-0.412309240733328,-0.392509510805753,-0.166919332760348,-0.441051683461205,-0.27129722784305,-0.0510441178809703,-0.0316479080239834,-0.279929464720709,0.917977116008412,-0.235325131353483,-0.391150259491426,0.141112633840535,-0.0823549814964168,-0.667011955492179,-0.297009070405154,-0.39600276855825,0.710139268442865,-0.204043255229079,0.615328018237572,0.0431649747850402,0.0462418634917628,-0.372034462641242,-0.568747042255897,-1.33790213912821,-0.106871819438431,-0.677230526487107,-0.250221053296786,-0.107446237964253,0.484877705076944,-0.384943522449149,-0.630487212195702,0.0180054734773792,-0.752885387576933,-0.455692747895614,-0.52111897120205,0.41932327301959,-0.525926706934039,-0.413372971829835,-0.358854155747399,-0.267185468938157,-0.512498830972988,-0.20900149391588,-0.34504083438569,-0.342768406072569,-0.478258508179151,-0.501274834314638,-0.490703163345683,0.0360232277936312,-0.133261565798129,-0.698479139522459,0.00689032665458592
"AGGA_Ctrl_3 (GE) - TPM",-0.23035370515582,-0.399504498239002,-0.75308285022349,-0.651878320394847,-0.561053023555185,-0.393020352134156,0.0130364440887382,-0.669005885693721,-0.353364311728697,-0.662661640814364,-0.0419343786903151,-0.388259606272156,-0.359635443874135,-0.503681406787799,-0.667485015673601,-0.165308293681743,-0.744204686083566,-0.458127598297301,-0.446684686070583,-0.379599593655537,-0.299122790902352,-0.0422504861594791,-0.345436882252421,-0.358201604034529,-0.410580588895688,-0.365078570438128,-0.325524386912147,-0.336197765290048,-0.191466006562277,-0.0327139831331665,-0.202363523661293,-0.274593938475007,0.278872324608303,-0.122683629912996,-0.106233924314062,-0.133419038534459,0.356995779631768,-0.566325787192256,-0.261283725402274,-0.139189554307213,-0.545051198666644,0.0368785918964441,1.17385943945625,0.620187488795291,0.0409745383808112,-0.223000150484402,-0.570953448882426,-1.14855565077921,-0.384757536882329,-0.705962301254223,-0.278455662310256,-0.163055048207289,0.688690965288188,-0.367300002759975,-1.07498704618186,-0.248457036156794,0.307957275752555,-0.829376542991518,-0.842143574761498,1.27603271371654,-0.0272066693987632,0.844838312924664,-0.360014378369769,-0.0553898327092576,-0.285806336224868,0.23995582877634,-0.362925403834781,-0.292421991836961,-0.358026044545899,-0.184491318092206,-0.619039796766796,-0.144175247256192,-0.14332038853766,-0.445523104203422,0.238040836679284
"AGGA_Li_1 (GE) - TPM",0.26116747340437,0.706828209305139,-0.784699571496429,-0.76563463700303,0.133970451315633,-0.48764672560912,0.0339020233594583,-0.819381207670669,-0.049007092345144,-0.0895764953647747,-1.01277933985027,-1.27611031955461,1.60049737528783,1.10024042564625,-0.840777752201619,-0.549716575706236,0.0847399710365279,0.157303762705756,-0.37928757334427,-0.257425188320771,0.645498509430741,2.34859535471644,-0.264542917889401,-0.334909143855825,-0.223349600694632,-0.0507166192579825,-0.247453443903775,-0.247350840873,-0.0616252766957735,0.554685508475237,1.23628336254187,-0.254043031708547,-0.639149672406477,-0.116537317780959,-0.163246332770558,-0.0187510753582637,0.877837197523897,-0.37971594439891,-0.080496932042326,-1.32549793940881,2.09180687505659,-0.455674810616279,0.569789216498934,-0.583132859787155,-0.504019976784488,0.269413549861513,0.0853806924586365,0.416654361871351,0.275716368677422,0.244105664639133,-0.652645581971675,-0.849406706416584,-0.736631311519058,-0.374390380952607,0.897363474077875,-0.521435728432904,1.20400729179864,-0.473039803744971,-0.826072438448697,-0.643964084761704,0.0285317977752433,1.51592310438183,-0.346782313379767,-0.316364341531843,-0.235661450093491,0.0965630278803094,-0.30622161091727,-0.338344171035181,-0.515157804057965,-0.227381368389992,0.740097704829225,-0.3932866102668,0.566484442869904,-0.399177939876968,-0.156566845944288
