"","D7S_RS00065","D7S_RS00075","D7S_RS00080","D7S_RS00085","D7S_RS00225","D7S_RS00310","D7S_RS00380","D7S_RS00695","D7S_RS00855","D7S_RS00980","D7S_RS01140","D7S_RS01785","D7S_RS01985","D7S_RS02365","D7S_RS02655","D7S_RS02660","D7S_RS02665","D7S_RS02670","D7S_RS02695","D7S_RS02740","D7S_RS03090","D7S_RS03095","D7S_RS03105","D7S_RS03325","D7S_RS03680","D7S_RS03760","D7S_RS04015","D7S_RS04070","D7S_RS04200","D7S_RS04540","D7S_RS04650","D7S_RS04715","D7S_RS04720","D7S_RS04725","D7S_RS04850","D7S_RS04855","D7S_RS05095","D7S_RS05100","D7S_RS05150","D7S_RS05155","D7S_RS05160","D7S_RS05215","D7S_RS05320","D7S_RS05325","D7S_RS05400","D7S_RS05580","D7S_RS05670","D7S_RS05675","D7S_RS05905","D7S_RS05910","D7S_RS06005","D7S_RS06010","D7S_RS06020","D7S_RS06025","D7S_RS06290","D7S_RS06295","D7S_RS06465","D7S_RS06545","D7S_RS06560","D7S_RS06730","D7S_RS06855","D7S_RS06880","D7S_RS07060","D7S_RS07065","D7S_RS07085","D7S_RS07435","D7S_RS07585","D7S_RS07790","D7S_RS07830","D7S_RS07860","D7S_RS07865","D7S_RS08240","D7S_RS08700","D7S_RS08705","D7S_RS08710","D7S_RS08715","D7S_RS08720","D7S_RS08725","D7S_RS08745","D7S_RS08780","D7S_RS08910","D7S_RS08940","D7S_RS09205","D7S_RS09350","D7S_RS09355","D7S_RS09370","D7S_RS09375","D7S_RS09450","D7S_RS09495","D7S_RS09680","D7S_RS09685","D7S_RS09770","D7S_RS09775","D7S_RS09815","D7S_RS10570","D7S_RS10895","D7S_RS10955","D7S_RS11440","D7S_RS11475"
"AGGA_As_1 (GE) - TPM",0.0676867051095605,-0.629781768798337,0.163439325267743,-0.435408674742912,-0.407225697578897,0.342645761750642,-0.858153637876157,-0.46377840502056,-0.487125172085254,-0.215050772761683,-0.323998264683877,-0.685405174919442,-0.541619465984456,-0.694758476923664,0.430725761856796,0.284337911635102,0.244975446845748,0.0435015781296423,-0.961999086027022,0.991614945560121,-0.17455422800329,-0.126906028962224,-0.024646724030965,0.448894891514084,0.290935103392022,0.463899718879644,1.56329163490986,-0.0828440069930309,-0.289884391494181,0.293038323900157,0.282600321164798,-0.703614578768717,-0.584866028991386,-0.34052071308251,0.465606388213118,0.0961004242281187,0.409613775027648,-0.193302360074565,-0.683696022934231,-0.390801924615567,-0.0799280154772323,0.303498641264512,-0.383560316928646,-0.4154621472714,0.661580279563277,0.0831572493130616,-0.282681559650832,-0.267933271427403,-0.322375902694229,-0.299275670753095,-0.391242073244692,-0.0419972931112677,-0.144604062548369,-0.3048356704793,-0.493283827897262,-0.359225417197093,-0.698157352061422,-0.281651046897553,0.665090609332736,-0.208364598477712,-0.437754169771935,-0.427010844190823,-0.814551298529083,-0.197590095481716,-0.325589586836054,-0.808188190043579,-0.789802238326262,-0.411511057786489,-0.46819867653816,-0.533556551611019,0.846403643999231,-0.487323925533477,-0.235537638741035,-0.611912615628718,-0.390147408979731,-0.513889457606711,-0.301126841909331,-0.411414494082395,-0.366596186353638,-0.579047253508909,0.840143945690209,-0.793322027435013,-0.745152230852739,-0.477483133131052,-0.509018977111553,0.653850350218067,0.387100672046409,-1.08425163743366,0.733083607798505,-0.455428392593878,-0.452977619848215,0.221987455178091,-0.541216031955871,0.495691173392287,-0.703042316811975,-0.283387781698067,-0.73204272006695,0.786610475379785,0.203345422243163
"AGGA_As_2 (GE) - TPM",0.115280717898899,-0.828307115155255,-0.197518447532807,0.474866423825743,-0.34004218068126,-0.183744741908364,-0.0678904722152224,-0.359572428895207,-0.49993987116372,-1.14416150438398,0.000853922840959258,-0.0661093549732582,-0.406560883826461,0.138614311866782,-0.0209624205728137,-0.0253912557559615,-0.317040487804976,0.377796791802822,-1.05963805031395,0.932796790686539,-0.287065620429975,-0.128617808709021,0.321751491700166,0.0837377486602759,-0.0340463786637288,0.376768896598692,1.82579169273344,0.450450577434374,0.228926265779254,0.114466371459869,0.171941154205661,-0.702733122425084,-0.554956063230076,-0.181277929518225,0.489256977073665,-0.0630501417821263,0.0518834940084672,1.30279774755754,-0.213492792561948,0.00620602602794916,0.335961703446536,0.909104744709253,-0.228142557946399,-0.189806776192679,0.154602386734556,-0.792317778578375,-0.38927758407964,0.297068443229673,-0.215791061543161,-0.221146987345168,0.189207064281635,-0.226525382903629,0.0421830859286908,-0.242695387168177,-0.363571052877962,-0.16581277084033,-0.944159046174224,-0.175865960896058,1.04259047475629,-0.18251333092562,-0.814840681302937,-0.249568357071106,-0.468953529943336,-0.0997326453066564,-0.191177941353017,0.274542385834343,0.0142349239302102,-0.489978905160695,-0.46819867653816,-0.249460627317633,0.476395968822136,1.01705626011753,0.403718059032865,-0.338624212201516,-0.379145943485199,-0.127272473387485,-0.014495867849353,-0.0395157238222751,-0.769315049672934,-0.478180943213558,0.652632655350889,-0.813513042979422,-0.10605247642212,-0.313229405892985,-0.338666685737498,-0.405481011701863,0.120160752346258,-0.920397880390796,-0.280264566838851,-0.361803347482884,-0.356927424894448,0.354368979495717,-0.381616686437796,0.310707856481237,-0.495341696816659,-0.343130542470179,-0.443702689646238,0.26371052287936,-0.270215782978398
"AGGA_As_3 (GE) - TPM",-0.237457975819542,0.261736124335325,-0.235021789770627,-0.0637296596394966,-0.362589775603273,-0.0271984904357921,-0.386965203074615,-0.409035370310097,-0.973075581396606,-0.791071643839069,0.037378677565353,0.0730312030798749,-0.407993496633476,0.174955348031813,0.314902942323869,-0.190806091920793,0.390834336580109,0.100481892130099,-0.35876352420499,0.422064631602325,-0.180127266414755,-0.185673700599654,0.801256107469471,-0.398276719442058,0.264557602942638,0.435817690771321,1.37341978311726,0.736125952373856,0.73669077428396,-0.248732532309448,0.50914498947238,-0.606459646447074,-0.719542514911831,-0.537371414710145,0.718808351482699,0.0653171840830895,0.454983098409859,-0.0917293655729233,-0.351368936927754,-0.315481323521236,0.629284103908431,-0.117239640446211,-0.379801267840503,-0.185901789949017,0.107173733957096,-0.308393440639768,-0.395519646066858,0.27206706160017,-0.337589385834992,-0.328637144954507,0.155080155232263,0.514212837570518,0.925523211729338,-0.812309370451578,-0.448597825949027,-0.547738023400202,-0.280087392479777,0.390641214842744,2.26742807042744,0.0152021497775966,-1.17537059397108,-0.354188197170871,0.666266387905255,0.0552258884635982,-0.306820964676753,0.288158104698936,-0.161849595624912,-0.591033681365746,-0.46819867653816,-0.44864350818708,0.43021439637862,0.138321884162873,0.292691136664738,-0.175772613594075,-0.155203686996081,-0.0689236541518383,-0.137136740334003,-0.289454675165154,-0.387860814820796,-0.596766607433427,0.669989013829854,-0.232556252962193,-0.854835531274466,-0.451819566998591,-0.52584047758096,0.57240787105752,0.413518590847917,-0.515047919402809,-0.0165945107361844,-0.400236908722041,-0.45238305374161,0.0247072664306168,-0.466975906595911,0.131286715055294,-0.8138726431489,-0.349141769015068,-0.415381106941264,0.554112311942176,-0.0163282211551265
"AGGA_Bs_1 (GE) - TPM",-0.824018923245256,-0.845005265794853,0.105447231129525,0.322778285688161,-0.361404521936166,-0.56077625438596,-0.708965491091926,-0.262893038343999,-0.397382085526117,0.410918153582269,-1.08231437177858,-0.760272718025239,-0.961670992664682,0.0926535535434348,1.38728675786155,0.547837471636648,0.731615381904267,-0.529496534805867,-0.732991427368765,0.827501659268429,-0.425095783295425,-0.427097433239174,2.17843286343283,-0.358525405349182,0.387084995548666,0.398001368132189,0.306767401938854,-0.468224823127502,-0.941568548063329,-0.146250637347949,0.374801637770707,-0.25542600468109,-0.120258844700834,-0.763790324783296,1.54585423894407,0.813571658633484,-0.203551054488763,0.429723760347974,0.873976060680658,0.696142727231503,-0.045714576979119,-0.400060590209351,-0.238426394414389,-0.266479401625918,0.823234965092463,-0.287681749350344,-0.800392948491647,-1.09636749485833,-0.402397669932703,-0.264363858289425,0.0439420017281618,0.374381072547429,0.704273667630078,1.56381533705711,-0.362581157976391,-0.762937595466856,0.347774566896399,0.531057088141671,-0.823654724757402,-0.981937528913215,0.0474952236734207,-0.423652382376554,0.949275569749326,0.717966225727874,-0.336360510997616,0.576727809756267,-0.099069123805512,-0.836993301247315,-0.46819867653816,-1.38174961785341,-0.668716106118419,-0.140249986565027,0.0542116954161567,0.134218769391373,0.0881665735968237,-0.232838826627735,-0.231831742131886,-0.518074690146722,-0.107307590544892,-0.422619894093713,-0.152239070304866,-0.604827182242695,-1.39437524556726,0.0430405829721971,1.10548843182875,1.05575845603987,1.05858154664926,-0.718748659332725,-0.375777848314388,-0.345397666958595,-0.374389377087027,0.209133337858807,-0.377743565768618,1.15422655784796,-1.74703663694076,0.627498816281992,3.10172590079896,0.0655172421898838,0.458064761583904
"AGGA_Bs_2 (GE) - TPM",1.54892835030461,0.49736686601775,1.08246104016137,0.940508643105743,-0.338137151567443,-1.00432229090042,-0.451707596100184,-0.49391102123238,-0.47112410758713,-1.67252713084459,-0.627888802982437,-0.495933984728039,-1.00377755182987,-0.94014563525531,1.59185456992527,0.278261365539533,0.567432340999771,-0.379693664394357,-1.09554390774627,-0.379630074814402,-0.44361860864603,0.299831597309409,1.11696719002099,-0.267398431757654,0.0680460651728819,0.336382835362619,0.481456907882395,-0.101190027478659,0.267029694359686,0.695485084443473,-0.319654015675108,-0.299170632478929,-0.0413621032878836,-0.619200856959827,1.2275990851283,0.805711140582848,-0.264214863288656,0.0455958628676206,0.993735867102136,1.38826211647101,1.05568244995565,-0.288796017152952,-0.195146581681371,-0.178027319796536,-0.102315213276843,-0.795356064736317,-0.747911065162718,-0.511748664223657,-0.414447569282102,-0.429832933859582,1.06753174297719,-0.412628300677516,-0.545182141821383,0.714226054255131,-0.243115942106976,-0.813952314200017,1.61814381300364,-0.399235483937321,0.241693646516879,-1.3697053784168,-0.174416130105002,-0.218529306107991,1.72739969454806,0.438023819014156,-0.391864078423536,-1.14133085187465,0.662573103611251,-0.69411682623857,-0.46819867653816,-0.932078620645147,-0.523978669911511,-0.706272545426458,1.86480100617111,0.440329716733828,0.623101510495846,0.448582777706774,1.35630855944765,0.120548274258526,-0.664250193318844,-0.472104088607359,0.295285385280566,-1.12158659097326,-1.15504104779758,0.294602012207372,1.45405839372332,0.353886487636074,0.886300590432564,-0.960083044390255,-0.83299890244936,0.0774139565819067,0.148390533369752,0.626525277458668,-0.236073653319117,1.03255247107137,-0.820565066015762,0.137741773746209,-0.73204272006695,0.982421551794683,2.50077240526816
"AGGA_Bs_3 (GE) - TPM",1.71087348143826,-0.159722266392216,0.944478471744735,0.113608998961405,-0.396297690800816,-1.21964094465907,-0.233033738971642,-0.52562276060031,-0.37996973586386,-1.17044857878698,-1.08230939196816,-0.724098025162509,-1.10709500887529,-0.357295043701174,1.65665188188882,1.02819799982974,-0.222781739158259,0.00952013741985558,0.454975517544497,1.56971890860849,-0.186377256111927,-0.12642732798901,1.82808344437022,-0.0631667576068386,0.211455883109344,-0.231731560380485,-0.0359484179634312,0.554123725837728,0.589234709604934,0.18388113584697,-0.0889559327037555,-0.114315043194318,-0.347477895352066,-0.720405813144467,1.47076176653269,1.14341839904463,0.588166452718035,0.214110823421595,0.843042606158732,0.736478969467604,0.914271528252852,-0.814368736849496,-0.356231170767348,-0.337712369433307,-0.224858316715769,-0.670917035286203,-0.889926173900223,0.402466292920928,-0.497541776284954,-0.418362624873773,0.857683592007262,1.05916988480279,0.0534639141019809,0.434164153753747,-0.359123663677817,-0.745197123979847,1.63426841847916,-0.102454720300229,-0.0355647269040128,-1.08885807073547,-0.880716695091753,-0.377219038667353,-0.25151388429077,-0.0214795098743206,-0.44728205930735,0.416165518565009,0.0443014660183268,-0.943237019082242,-0.46819867653816,-0.92442956076525,-0.926027631471002,0.347017878783636,0.42526466984748,0.307095363174495,0.0992075111569697,-0.185456766745486,0.9421593138897,-0.129643522521446,-1.08113910136047,-0.568782864659303,0.57211505504552,-0.345804179464492,-1.22583635859213,-0.134687302435044,0.910770965404458,0.880899455553548,1.18646130772898,-0.397056307979384,-1.42753662222308,-0.083666808684955,-0.19028660398203,0.082181322941387,-0.387417611165182,0.645879584404586,-1.03120808532007,-0.0820211965682943,-0.73204272006695,1.24492227404362,0.0826676043679589
"AGGA_Ctrl_1 (GE) - TPM",-0.712694918383115,-0.778341113303633,-0.496006723190051,-0.869323110413149,-0.465017234424664,0.95601687985393,-0.316984528074783,-0.669385922463667,-1.43254645827816,-1.25522999726051,-0.567561900238329,-0.269571820930629,-0.703095983656188,-1.21326535219961,0.53102573342047,0.119669436930823,-0.61302365718905,-0.401565936504829,0.0199980791223304,-1.02754955117668,-0.30853348570026,-0.558979108092484,-0.0763903497564974,0.616178401964124,0.628204410350084,-0.254737598386043,0.928916084948328,-0.862024903366746,-1.21431449178534,-0.243300641169593,1.04313021715996,-0.995234761386135,-0.70993540691559,-0.7118833604624,0.30214422828902,0.2823822444392,-0.0929655239964226,-0.801228069843651,-0.673690957875898,-0.441252455612347,-0.757578103636709,1.11701583116723,-0.575719793847592,-0.561917565934322,0.181717085573236,1.2072184613978,-0.589974531801236,-1.18909202189823,-0.624470586157121,-0.663041667524224,-0.977379879530991,-0.0281623848362731,-0.476741275746934,-1.70908186536617,-0.55646185454575,-0.679011314716999,-0.621300396191557,0.0593762883524876,-0.530506157251459,-1.14816404476036,0.0102171331782535,-0.614920180151273,0.775407777365871,0.165706735611327,-0.540398061729611,-1.25088056820887,-0.537547383992492,-0.761954169558676,-0.46819867653816,-0.623100728875546,-1.04635444132488,-1.36499427520565,-0.846496601583128,-0.797060291043623,-0.79623143546964,-0.737666744304264,-0.521502500958226,-0.664888946392451,-0.854564490297987,-0.690897848590264,-0.862031072201867,0.713285321460085,-0.346404256721198,-0.564034228744109,-0.541842746579215,0.161896316674225,0.0828868100607169,0.570519960794056,-0.168824037226109,-0.503511708821401,-0.485906143319152,-0.795230939044319,-0.704563251125148,1.07675258505843,-1.99166256765341,-0.116002527922889,0.706605247547739,0.282123568355571,0.441617208672798
"AGGA_Ctrl_2 (GE) - TPM",-0.0888647666426573,0.308025325062918,-0.265857418232851,-0.334692401679384,-0.488475557466664,0.550946227033449,0.829780505714685,-0.584554315592893,-0.0990966300459728,0.535861572814658,0.421370360815057,-0.811714753334641,-0.294441161522754,-0.600309526297215,-0.775602231373836,-0.293097951034142,-0.770138808016644,-0.527446447804177,0.478011696158724,-1.48670307127718,-0.112296408939579,-0.536717903559279,-0.704264726224432,2.6712814768418,-0.410656417201849,-0.690080297834195,-0.681770035191377,-0.0933450066647776,-0.721834992650085,-1.14115787272562,1.11378116746511,-0.694829866551048,-0.487056273109036,-0.292451011787514,-0.062509890533872,-0.200433940885784,-0.274736612627499,-0.323194183638827,-0.650716011618166,-0.303100804985155,-0.218005063224448,0.839111418051049,-0.537610826453169,-0.486551536132905,-0.635381393115277,1.64297922446942,-0.112024183718823,-0.785351349642204,-0.475168777561739,-0.518587910154181,-0.760013172831155,-0.332586113401587,-0.106899049297366,-0.838233366361067,-0.505920651156388,-0.368118111632585,0.424876238336523,-0.460768106608042,-1.19719881696991,0.207163895034874,1.94681116152934,-0.540870734500434,0.569830156711029,-0.357059438963654,-0.57076553845015,-1.27390183280076,-0.306362776970374,-0.888290566006604,-0.46819867653816,-0.133829183053994,1.05073068622538,-0.628240705924789,-0.799063721782168,-0.244902232187555,-0.217753644233485,-0.312207637377704,-0.389148412174124,-0.368751948102371,-0.655481836344579,-0.529694019744338,-0.87864256531972,0.611585600387732,0.537319659183178,-0.422676895586496,-0.490118367663042,-0.472957060227452,-0.159748284935079,0.312258755171552,-1.03485648652251,-0.41544030866771,-0.44136815769956,-0.422180376292099,-0.61822243272321,0.542883490751795,0.00693312914722855,-0.395990739689993,-0.119538624222033,-0.324831474142178,-0.0243203262892381
"AGGA_Ctrl_3 (GE) - TPM",-0.130717915808124,-0.348059638458936,-0.670630630292853,0.0596576598935387,-0.473392596997916,0.31691343789749,-0.0541591022061889,-0.602365441480048,-0.576354581223422,-0.38684968524179,-0.234327646030809,-0.385910300868008,-0.424366107943446,-0.82803860221916,-0.485102994529661,-0.196540077996029,-0.5786163670891,-0.37217638955733,0.4691319552257,-1.38618708786795,-0.321697629692463,-0.542732674404435,-0.507475321483454,1.63715949532425,-0.237738535156607,-0.60486897898636,-0.0623134747454324,-0.493214201465904,-0.871569099684586,-1.50021292792213,0.34078720811093,-0.5655036955995,-0.600427449641755,-0.280145189887465,0.012016962949442,-0.00303118515092368,0.0577196010300164,-0.655626573669758,-0.627993358104621,-0.181257955274723,-0.549444936890432,0.819467123617549,-0.54738499864821,-0.474640138926446,-0.448019359842258,1.49074086008854,-0.00184227132910096,-0.431433572663385,-0.472889098803446,-0.533112012470825,-0.725820227126609,-0.825959103730798,-0.759217348730473,-0.793844862994877,-0.516708774094905,-0.559943377842307,0.564825579574992,0.110588617553225,-0.445137307080624,-0.0387827424315482,0.699998916549705,-0.562993825590293,0.452009585968742,-0.66137017061504,-0.561548804884375,-1.49162286745265,-0.536832490669116,-0.788158347359246,-0.46819867653816,-0.549361819799799,0.760869480412628,-0.899788516984542,-0.7335948278456,-0.2866624748251,-0.251316255600011,-0.817650150382436,-0.614354307384676,-0.505492431641342,-0.512444758741361,-0.609231043953558,-0.858766329957202,0.404087193713262,0.782605580345759,-0.47744707731457,-0.416403174460217,-0.159835467589155,-0.021154919976979,0.205058370313876,-0.867855647708608,-0.431090121112127,-0.422612168818961,-0.51154543898163,-0.615428276749442,0.092377842814233,-0.597881044780675,-0.213951788191074,-0.269261799887471,-0.273767469467295,-0.538833351499911
"AGGA_Li_1 (GE) - TPM",-0.0557252575447616,-1.13573777784166,-0.626731054365592,-0.768069087678303,-0.065829320306906,0.678389092853363,0.318161007520709,0.385298808666413,-1.52777988608734,1.06679102870456,0.309027702654035,1.61725204887841,-0.105409024096801,0.210609485813071,-0.463202177466207,-0.332931226488238,-0.536628835291057,-0.55240605734574,1.7935555797694,-0.385553504382268,-0.479499035176982,-0.845253851029833,0.0952684625424845,-0.266169203673128,-0.347449104614117,-0.289857931288355,-1.25467101976364,-0.584555907896598,0.678409590149201,1.04089179044591,0.97486810565547,0.873707482331391,0.120856568702253,0.320432728736213,-1.08682165705991,-0.367909329109664,1.36751905402591,-0.888162019526962,1.4498852311806,1.01622355481139,0.556316715328778,0.276542359277272,0.172611169811384,0.348163171351828,-0.329100221274963,1.69727406703913,0.492929214942802,0.563696352924842,0.424297558901303,0.404025717484541,0.863548969695824,-0.548127853472585,-0.813000386691229,-0.90096285906663,-0.246056342745376,0.128300150747584,-0.639876124723066,3.21792094951438,0.584208705068422,0.41519346997007,1.54423983966236,0.0226814930177948,0.0413863691292817,-0.130991774784147,0.0440385064595781,-0.930067565047367,0.897792198968182,0.152686549157236,0.436953331675488,-0.233658320962323,-0.237870426852038,-0.715137312950965,-0.708787725040968,-0.425705959239308,-0.732365018506443,-0.830882965029502,-0.794957312691829,-0.620589530574314,1.06285256412265,0.535091142258571,-1.12875419448828,1.73749190092749,-0.621026452471956,0.0678976196306834,-0.024410062642339,0.180296235722978,0.183829472560982,0.601048190798601,0.0526889808004984,-0.316205902904785,-0.326804554513936,-0.416008426544219,0.540443265084039,-1.82054474959911,1.54274963694967,1.93492737645808,-0.496538880472023,-0.509787485323949,-1.03289477088533
