"","BPSL0169","BPSL0456","BPSL0798","BPSL0849","BPSL1763","BPSL2559","BPSL2722","BPSL3362","BPSL3427","BPSS0032","BPSS0305","BPSS0306","BPSS0308","BPSS0309","BPSS0310","BPSS0311","BPSS0321","BPSS0528","BPSS0529","BPSS0530","BPSS0532","BPSS0534","BPSS0710","BPSS0812A","BPSS0886","BPSS1163","BPSS1253","BPSS1493","BPSS1498","BPSS1512","BPSS1513","BPSS1518","BPSS1520","BPSS1521","BPSS1525","BPSS1526","BPSS1527","BPSS1528","BPSS1529","BPSS1530","BPSS1531","BPSS1532","BPSS1533","BPSS1538","BPSS1539","BPSS1541","BPSS1542","BPSS1544","BPSS1545","BPSS1546","BPSS1547","BPSS1548","BPSS1550","BPSS1551","BPSS1552","BPSS1568","BPSS1712","BPSS1830","BPSS2125","BPSS2243","BPSS2326"
"BURK_As_1 (GE) - TPM",0.321626472474165,0.0637603146066043,-1.13797353765834,-0.954833783795204,0.0584112597836738,-0.899797280453334,0.124873619587179,0.450003132126632,0.866880304186307,-0.971077607791819,-0.36000278076701,-0.322132829789918,-0.537052963532423,-0.706124892573344,-0.60625396540418,-0.568037916110486,-0.646929307186179,-0.906391320331643,-1.37544525463726,-0.972072172178639,-0.14439832214444,-0.522380056351626,-0.858650223044056,-0.735896534389815,-0.673840864588844,-0.552918068400839,-0.735052223525606,-0.200043995280004,-0.959233029664597,-0.52778819036723,0.477404712428608,-0.655858579697026,-0.44097635322814,-0.620100707657546,-0.579288992879606,-0.413125949100091,-0.295228944619836,-0.499346281252036,-0.636992930034523,-0.547982945781107,-0.544872773501474,-0.422708024025495,-0.596395374262464,-0.551161541816902,0.140996159741623,-0.622967396404973,-0.804283348009274,-0.579219838129798,-0.346421065758534,-0.922177011835491,-0.804938988567816,-0.735834626827836,-0.48634015836209,-0.702958084846869,-0.252472678732474,-0.946272677684032,-0.790985179142531,-0.598890771305033,-0.731865910602094,-0.626280662192013,-1.19499525930575
"BURK_As_2 (GE) - TPM",-0.423895155035318,-0.00801786924828793,-1.02204098182632,-1.071768559927,-0.123656739096289,-0.864897387234586,1.83572327273142,0.0527174234089849,1.18914454422032,-1.03321465986172,-0.147300532448626,-0.407103918534421,-0.14549164612129,-0.651678970866592,-0.635201004065091,-0.536168679678056,-0.639182287710477,-0.863367480471786,-1.08985314849021,-0.650308734019556,0.0360097511942205,-0.626667606198901,-0.491661809730499,-0.783096534102794,-0.66304201406441,-0.497211434047428,-0.649268413942775,-0.296652950133537,-0.190141961112708,-0.699027921013229,-0.120436224877461,-0.609305708392456,-0.332250300405307,-0.625502640008298,-0.537210983576834,-0.447791898491913,-0.240995852187884,-0.288874024157795,-0.541893886868919,-0.346310351183378,-0.490650526607896,-0.334080979942221,-0.576931328933294,-0.568837091038538,0.461698367859347,-0.296398695466903,-0.726083951807768,-0.390478483499133,-0.397817452602158,-0.988251129076967,-0.737228235236363,-0.750003609050757,-0.433315411128884,-0.0804030996721758,-0.0813160373123281,-0.956879898382849,-0.79378701482076,-0.652425647606879,-0.827356949329692,-0.617271757013314,-0.907590456234051
"BURK_As_3 (GE) - TPM",-0.765550052588216,-0.0243033814348058,-1.28637312639946,-1.09915201788457,-0.164113771421486,-0.898166644028937,0.137234768127685,0.710605642508713,1.74460223011025,-1.02993450460754,-0.463554727335734,-0.461887346882919,-0.419002393620107,-0.55180606036259,-0.580502213838489,-0.433677400619122,-0.662927535834532,-0.877694833561463,-1.17030446243904,-0.87945183141916,-0.666991645789493,-0.884419543101181,-0.888678065776422,-0.713092510080887,-0.301571549316034,-0.527081565830855,-0.779024543123452,-0.251949594744693,-0.591295314335335,-0.261265746586217,-1.21731039306776,-0.556288466105437,-0.541410904464992,-0.664637654803369,-0.580346406274891,-0.558681633567857,-0.207518080308553,-0.499580000548958,-0.588327335998008,-0.505945392862913,-0.605599066508901,-0.392139748016019,-0.600084342167554,-0.26210126944944,-0.156428207466926,-0.51329895174703,-0.814087872263282,-0.660306463055904,-0.762019390572687,-1.1597679601421,-0.784801800092335,-0.757776034261147,-0.34749344064735,-0.303874748141274,-0.573153416401793,-1.21069477007659,-1.08305065612999,-0.571351992209042,-0.811421057056031,1.04136816535458,-1.23224257332056
"BURK_Ctrl_1 (GE) - TPM",-1.07510991212653,0.598914459299549,-1.13026883126752,-0.80495175607938,-0.665950859663485,-0.970926738777097,0.245275568893413,-0.680778200828478,0.430740770537533,-1.01128043326753,-0.508033216539372,-0.450612712742086,-0.460075227341452,-0.606535153346091,-0.583279943490376,-0.584657430161382,-0.70962539188761,-0.706925888563089,0.59791779378324,-0.800931025701612,-1.13755254747579,-0.430627633576849,-0.891445607461627,-0.783039068256746,-0.30641685721907,-0.55846973069741,-0.692983900168916,-0.316193769012866,-0.233822445945304,-0.693215542022964,-0.779615913094509,-0.556252598527649,-0.616759348839642,-0.641429207555596,-0.595802683874957,-0.509687483548984,-0.322152077521795,-0.655230523546233,-0.734523700649658,-0.716416552775159,-0.724755686917905,-0.62269924286411,-0.608505347378394,-0.724591506958672,-0.739768434412028,-0.781966735077161,-0.838621181780316,-1.10303577544775,-0.821499294605868,-0.897348928015251,-0.791642314127879,-0.723241809449803,-0.559380551914073,-0.366328468360058,-0.416494011505197,-0.816115855323457,-0.710006367139954,-0.584756250030696,-0.544486329379667,-1.04681726154315,-0.921560229593391
"BURK_Ctrl_2 (GE) - TPM",-1.01520796378205,0.710520003028777,-1.12144275134872,-1.01924998343852,-0.820919793512213,-1.0775570250255,0.853120232348201,-1.04990820761413,0.352846723134736,-1.08338311070058,-0.54229614567604,-0.43999393105619,-0.620623992102502,-0.611713793108296,-0.481182870531658,-0.538554896953637,-0.676826405911119,-0.763408474367392,-0.371001656812519,-0.700752614326356,-0.981138620768223,-0.979819086519526,-0.715112431849525,-0.768925071036978,-0.403983942097482,-0.538242951907075,-0.690102191430909,-0.693049130263319,-0.216069980288688,-0.555906425204846,-0.780034376087141,-0.645009253933398,-0.620134449415567,-0.664247875771636,-0.610733900920848,-0.637990205573878,-0.796158716348376,-0.603623645449149,-0.768690711877475,-0.686266154337735,-0.666266449369316,-0.618731743392247,-0.597717584225436,-0.803965914989572,-0.820151918826437,-0.77886728944781,-0.846619034681,-1.13814649338586,-1.16680314434947,-0.841968958192356,-0.7464856692075,-0.746485257153575,-0.59585791757704,-1.0832129511523,-0.397069980778878,-0.66115187612258,-0.66478188884659,-0.792107145871362,-0.42223381282911,0.805819068894168,-1.04731116387028
"BURK_Ctrl_3 (GE) - TPM",-0.843109312755418,0.772288463451799,-1.09770175845999,-0.971109751304165,-0.771146961024459,-1.04287729755745,0.0597348662385033,-0.985372473155417,-0.419775111587413,-1.06495959853963,-0.793751890902414,-0.545731348594888,-0.589152142524586,-0.344816914032834,-0.448036885635101,-0.57127454686708,-0.661433384825665,-0.445074283040583,-0.804832533675964,-0.513089406604008,-0.0593821374064537,-0.714403505196048,-0.97031666771564,-0.769327226437635,-0.647153453347754,-0.5300488167577,-0.829914576057227,-0.452092562725843,-1.1861519812976,-0.699060104693217,-0.00204858355629837,-0.566765887869992,-0.645429485763886,-0.649508437186065,-0.596790164452888,-0.58689962487807,-0.796891739052394,-0.757632794137341,-0.784756605593699,-0.641511887485092,-0.754757319487204,-0.743956776437486,-0.687322071402531,-1.03527449737738,-1.11410257636131,-0.976108497924537,-0.922863363659961,-1.14482385311747,-1.17453995123968,-1.07553840463383,-0.840802441067418,-0.739675401496527,-1.00956082006495,-1.37067305532847,-0.922277669575414,-0.870008064634071,-0.818013623934226,-0.804052118573796,-0.551809518833098,-0.431103177641322,-0.969038526210732
"BURK_Li_1 (GE) - TPM",-0.288942116840875,-1.31647232124502,0.798634975448614,0.0148666734018574,0.207782496604634,0.250072737124135,1.48015894740462,1.32020672968577,0.389133474220299,-0.17856496501586,-0.186729264538558,-0.594043668005389,-0.771927032159876,-0.699348867269597,-0.724527173925056,-0.721234784196541,-0.705634270266411,0.135146053701679,-0.456938994764224,0.109793898337287,-0.590522932624265,-0.115238966948038,-0.44490303675431,-0.625229508020356,-0.110666145345951,-0.530069384217546,-0.593847177014495,-0.424523156841447,-0.430908729229309,-0.486231832210708,1.56228256397641,-0.489732766379133,-0.561520388340088,-0.515590255965281,-0.488561264499766,-0.336570793007116,-0.424235218810054,-0.554035331473487,-0.505984502662362,-0.613836262398822,-0.565671712828073,-0.42664782709598,-0.460867595546368,-0.249416849345488,0.185029797735367,-0.296395449611326,-0.293664208514973,-0.131774527540038,-0.173282090154622,-0.561398072033843,-0.14391253605321,-0.330678209597474,0.389169071433201,-0.0728811804706387,0.0945661925850814,0.381635662759283,0.551483818344606,-0.716060412716198,-0.413357834676308,-1.04681726154315,0.585673362846363
"BURK_Li_2 (GE) - TPM",-0.807892112525471,-1.40728955717144,0.73233168535329,-0.116917900010971,0.450273351000916,0.349216584844679,0.480776578810973,1.65737616914316,0.580625424286617,-0.217634657828185,-0.54187174024205,-0.508377368289421,-0.652199654148915,-0.643523005244815,-0.606185676401681,-0.677847520024686,-0.663925668787577,0.00721954847192576,-0.312240760884174,-0.451255095375281,-0.67849091878122,-0.422331219725581,-0.141646911374238,-0.596224920324628,-0.0837691450926439,-0.492842495478052,-0.497545589944936,-0.772643381675357,-0.317645900500183,-0.306830692242581,0.48262628998923,-0.523226244710863,-0.495867291350975,-0.527428539885824,-0.496343616301037,-0.628211707545232,-0.660465729484804,-0.566003003641032,-0.599941715373226,-0.619714525343004,-0.608087356248195,-0.537952768841015,-0.369893936594225,-0.176860637745822,-0.546980179619507,-0.309486815471536,-0.438161942975942,0.0451962679185567,-0.305138113192234,-0.538741581965388,-0.111535647496012,-0.385771485656521,0.450138400222874,0.763413502652251,0.853468225476314,0.225926722272357,0.81480454146063,-0.714511644058863,-0.440319548311928,-0.394619824235003,-0.0807886707098056
"BURK_Li_3 (GE) - TPM",-0.212321966539022,-1.12009417446127,0.869487187897486,0.159720016543511,-0.255377205333149,-0.0100376393375477,0.647564398449997,0.808003589942485,0.891656725428316,-0.301830903351522,-0.420002603036307,-0.519233044291675,-0.820231829927289,-0.577455340380796,-0.451112797593197,-0.695726727763305,-0.648493792457346,-0.666482538257963,-0.839305438994564,-0.607512587371872,-0.319764698867283,-0.713152279378864,-0.444441641130472,-0.620002204409486,0.0566821043053452,-0.532336074260205,-0.514841636998682,-0.66562093510582,-0.658110788604019,-0.601747436192095,0.0335693286836459,-0.497718424175219,-0.593703050282394,-0.543032995916141,-0.551972767898432,-0.7732213553813,-0.965183961297535,-0.664708342746719,-0.622939655267144,-0.571019141903475,-0.604969915163648,-0.579021216462484,-0.594447450698594,-0.455720631560568,-0.714952068621328,-0.597316780774823,-0.502110315256102,-0.22536590298571,-0.428310711896143,-0.493831289527815,-0.297345132760256,-0.511610787067585,-0.0813222330487007,0.410221061756807,-0.243311285255574,0.0314679385727439,0.39198989766855,-0.408535214475568,-0.668941977613158,-0.900373422274275,-0.253970947406712
"BURK_Mig_1 (GE) - TPM",1.69890523643262,1.3532351207556,2.92732975734826,1.35663489455581,1.655058678336,2.08141041797003,-1.61878787736732,1.19796798883499,-1.32574334720823,1.8668395776276,2.47491209100862,2.47554360892522,2.72906966898162,2.56966668502849,1.96495972466585,1.80024728216133,1.70387601806655,1.24734168191539,1.11440800485369,1.09229640951313,0.451411645594044,1.58347507206159,1.53901365469269,1.99825749804366,1.60364882828253,2.65271875173169,2.14599520667664,2.43277207041813,1.27482716359641,1.70381542680745,0.596024964914581,2.57228954867764,1.76424614822629,2.13464692871089,1.40123548117927,2.17098213644298,2.36208977638481,2.18967881983381,2.34553554154223,1.89700407435325,2.43769541231812,2.10549680004664,1.79777606294717,1.21101170552642,1.69696728290881,1.18694553947275,1.32181605777009,0.985781816554649,0.979440063627477,1.37861306798991,1.1535414570533,1.32848747623049,1.23660772867882,1.92240933654616,2.02070408382361,0.876923920306548,1.79593909777604,0.534412835404001,1.85711526207374,1.36490135441026,2.2818360346596
