"","BPSL0001","BPSL0020","BPSL0026","BPSL0027","BPSL0028","BPSL0029","BPSL0030","BPSL0031","BPSL0032","BPSL0056","BPSL0209","BPSL0225","BPSL0226","BPSL0227","BPSL0228","BPSL0229","BPSL0230","BPSL0231","BPSL0269","BPSL0270","BPSL0271","BPSL0272","BPSL0276","BPSL0277","BPSL0278","BPSL0575","BPSL1075","BPSL1117","BPSL1342","BPSL2137","BPSL2185","BPSL2275","BPSL2278","BPSL2283","BPSL2284","BPSL2286","BPSL2287","BPSL2288","BPSL2289","BPSL2290","BPSL2325","BPSL2400","BPSL2401","BPSL2619","BPSL2712","BPSL2735","BPSL2860","BPSL2901","BPSL3292","BPSL3293","BPSL3294","BPSL3295","BPSL3322","BPSL3323","BPSL3324","BPSL3326","BPSL3328","BPSL3392","BPSS0317","BPSS0442","BPSS0544","BPSS0759","BPSS0760","BPSS0761","BPSS0778","BPSS1852","BPSS1982","BPSS2009","BPSS2342","BPSS2343"
"BURK_As_1 (GE) - TPM",-0.164382779929177,-0.73549184338463,0.621614896469858,0.47989231092281,0.194598944672688,0.804413986331622,0.596650983659308,0.476489352950104,1.00762972745248,1.68434001943541,0.764187327330724,0.103377258311824,-0.0558001318672675,0.0174836133251868,0.141544724379405,0.208883739943027,0.449809791626039,0.142587721519561,0.295968820673012,0.363739676984426,0.29226783840895,0.476618435480405,1.04838645387193,0.732404416164819,0.299862539679157,0.148328275801455,0.88165895999605,1.12959746582992,0.475880185013376,-0.485304190487351,1.27969670079618,0.795861734980372,0.999446422104899,0.119017571600943,0.275640265209737,1.20453725618056,1.30585673399449,0.444539192345282,0.802367637441242,-0.112810839922433,0.959475823997379,0.286464263111412,0.664477662473471,0.409721359436307,1.02921577547087,1.79030487774511,1.61180971192377,0.30353911181347,-0.113376822007306,0.0331633647511752,0.316381035064851,0.469123653361833,-0.1098625758183,-0.177282077993363,-0.0302342329477731,0.0133491325446004,0.155092853173744,0.971034998141421,0.178470795052983,1.53778036208536,1.16614929580036,0.767141557216109,1.01520881393134,1.07170558029741,0.0680534018376954,0.789602266430878,0.0950394670775144,0.10412548202696,-0.393238420930386,0.894344028146668
"BURK_As_2 (GE) - TPM",0.487799824207212,-0.525145967225681,0.534379693525021,0.180017803570911,0.289569603416277,0.898704868444977,0.671769710375492,0.286441172881649,0.943320946299632,0.615581905757068,1.31632470392439,0.210864982456955,-0.113827485958511,0.276835171454696,0.230268789405237,0.0291429743615639,0.539013449247062,0.183651733591354,0.408681716350959,0.336409670299954,0.186445584509898,0.295132582286238,0.885605843380826,0.761378464361169,0.446923445494214,0.0902593830769283,0.63276822405861,1.48517508369931,0.184739037721926,-0.300980141071069,0.831843041951374,1.00084867886148,1.31992619650008,0.597908237618843,0.269164665194054,0.686508993700992,0.868054807969402,0.139955488035415,0.463329039395068,-0.307281887374958,1.23198692394029,0.180550097203123,0.485637069064101,1.30002188584085,0.743523208770875,1.62333386501187,1.61785563306556,1.76929836486339,-0.0418995348763388,0.238025023288369,0.379018724268927,0.387817976551753,0.0435932615032673,-0.13502350625397,0.109930629212422,0.0764623980024468,0.102928131707145,1.66926524858926,0.0323048927035373,1.72994471081586,1.11096279200899,0.951401132976638,0.743800852155081,1.09767039646862,0.29593723554535,1.39332297980857,0.276032838346449,0.559178387371742,0.497561473179532,0.736846183023964
"BURK_As_3 (GE) - TPM",0.585262870756559,-0.633750238630245,0.402013336950474,0.128060144927073,0.140420637393689,0.353346550281499,0.496192610856709,0.634203477716626,0.974573674132036,2.1689315003797,1.0208443558108,0.160982802816767,-0.169139411024987,0.0342284017726065,-0.0723250784966872,-0.0927853182961099,0.326089049814126,0.0285906115791247,0.541204522198504,-0.035785438314281,0.0931739321930549,0.320521697098757,0.691106856201679,0.542405188534078,0.303175331110036,0.512797748139523,0.933429862622628,1.12562852333776,0.771638568687223,-0.328203489056963,0.573360222554983,1.44472340136862,0.82687224393567,-0.139831426193906,-0.349398439581763,0.682026431382583,0.987781258880342,-0.0819766764769096,0.13810017461333,-0.511098690401368,1.29383105775029,0.25568288287024,0.715731717184903,2.94629955143515,0.704767430123583,1.26897260398622,0.758786060472243,2.14034051724738,-0.228428924164363,-0.165609822414094,0.0537779724874257,-0.0462429314373686,-0.131451503103341,0.0129659490188092,-0.156429447702034,-0.15523500775268,0.0103513196473626,0.241367042409871,0.259383728123717,0.281809258620966,-0.656890191484164,0.760994405386589,1.35747858924365,0.459817638436064,0.387122127701152,0.110140506711371,0.795240337923779,-1.609012997213,0.277126731086184,0.964355830553228
"BURK_Ctrl_1 (GE) - TPM",-0.0725102308812402,-0.794241943161603,0.414614533238574,0.538316809871463,-0.0328810269553887,0.36139146573038,0.232439807453515,0.325960230110698,0.657931869935903,0.415685059660262,-0.0607715563484432,-0.0538302371720031,0.0596562634972548,0.295098412588652,0.315555202368256,0.165955944471238,0.0694945827471088,0.0276091067498062,-0.198554698952387,0.337113202006517,0.0552633193418886,0.210966087439901,0.259711059855261,0.322096687038581,0.0794762812448372,0.369567251693088,0.103261232586423,0.179828297407209,0.678458720702394,-0.455746852636512,0.19494380878528,0.914064156554848,1.08622044289977,0.500611685174814,0.777629802865606,1.24833729195702,0.695246172609446,0.585455491064572,0.739358940203143,0.225692117494795,1.27313405248452,0.0394111775218715,0.0238169431220135,0.900528072018422,0.597862990766415,1.18459227604582,0.861641628466397,0.329442723875645,-0.0780213127568807,-0.0283321408536323,0.0819850986934534,0.0979608017960157,-0.0219611518517567,-0.0738413270849863,-0.0539005198637099,-0.116340055364492,0.124645424545334,0.428542577222191,0.154705043600922,0.439422383294433,0.0308160740408527,0.582862515538842,0.992117146614719,0.492939077497307,-0.172953420828998,0.160868962521615,0.954315946676791,0.994826451891231,0.957512803294522,1.20943180735441
"BURK_Ctrl_2 (GE) - TPM",-0.363457429032917,-0.450821084468494,0.373746670754171,0.416275233033511,-0.173077536977463,0.154106643677649,0.349794026935161,-0.0553718074064355,0.525996773716826,0.259084827636845,0.40402742792796,0.0713854014460171,0.0150408175611095,0.247908268759924,0.448175693711289,0.169132759550896,0.131911317852177,0.21625419219039,-0.0968288805142802,0.265576503095844,-0.157695504016544,-0.0922203991707678,0.0526144002811375,0.515175826666118,0.141084494104632,0.278527636560301,0.469395747372997,0.132158816470617,-0.247060016771965,-0.235382229213892,0.425629548746975,0.205199143493628,0.610488421077812,0.740791478714413,0.537998398385926,0.712907898184717,0.518637693563221,0.340896813870871,0.307386938676009,-0.168061735183361,0.908960704921901,-0.0680665076519103,0.407154045116999,0.367866341182478,0.666492918229719,0.262377541532861,1.20859185459973,1.10658445974024,0.00370402071713904,-0.0407343379835498,-0.0603625990951044,0.145425041401351,-0.11886494789532,-0.239585441284434,-0.0512479051663601,-0.255395996352609,-0.0225840009389807,0.339419464278891,0.490090628515494,0.00605823442138594,0.512123851738572,0.57816643857123,0.740256416579411,0.371406416650722,0.783593462410073,-0.10375261153936,0.356992589651286,1.95038694735525,1.7788329143825,1.8407574160023
"BURK_Ctrl_3 (GE) - TPM",0.092862359008294,-0.784730933260555,0.00239525048347123,0.184965256303431,-0.226642386421133,0.0743365457797451,0.256478164037884,-0.230635509607699,0.600942123177871,0.661928019442972,0.322223819727269,-0.112603439296837,-0.0928038403400548,0.0296850885377774,0.211760641135198,0.0639849463406571,0.0355823739758257,0.0249938373724656,-0.190468274337869,0.219782452452681,-0.10015036727101,-0.0624134032944599,-0.185905560251589,0.0586142061074967,0.0547274237929647,0.562347364920689,0.0468959359004249,0.0224323144738644,-0.0511391235740128,0.0522226600045575,-0.364546781773306,0.338174104000635,0.87984419974966,0.323772628095739,0.579722583783503,0.30704652238195,0.116230499902858,-0.077096745186599,0.0447716294322229,-0.325255275700784,0.617581305955603,-0.622112549351263,-1.08063718884425,-0.0570809775135465,0.276362197672224,0.701106962543364,0.356797028522686,-0.104540052154762,-0.371108145303208,-0.165419891759901,-0.139260947470759,0.100574599556436,-0.151879788423199,-0.334290844714286,-0.208762272525081,-0.329657187444322,-0.0563543148395149,0.0742689415885766,0.388515019013622,0.532233077308135,0.528732413246316,0.234044800379473,-0.131712343942898,-0.344733090978315,0.174615799778713,0.509900421415216,0.53977321217952,-0.277685229638527,1.20211281867131,1.48776014122094
"BURK_Li_1 (GE) - TPM",-0.929271301314702,0.536575075402465,-0.206959831717036,-0.358780030646588,-0.417327090430353,-0.417148019330386,-0.432362911188573,-0.480485157328884,-0.628605015682172,-1.10878634605428,-0.618077663761845,-0.283082936935419,-0.412758186172303,-0.384223813753164,-0.37005663935896,-0.561987924363349,-0.472219469849352,-0.0595038081236026,-0.29930603036085,-0.212284193478601,-0.397697552284176,-0.360109849607056,-0.548538411433758,-0.597148402954358,-0.429059191445848,-0.360611302262417,-0.591418032188979,-0.133347291838117,0.246988282177464,-0.224585625001512,-0.143118392988513,-0.94430420279364,-0.526439164635097,0.500823679241385,0.31628540259786,-0.561800076417426,0.430806817683481,0.605785700482486,0.299524373245454,0.185512323141784,-0.819274684956602,-0.21704096919864,-0.563597936774516,-0.866495430513635,-0.737582039908653,-0.753541893953842,-0.234367378348088,0.0985670293210685,-0.66323265784392,-0.583397104917512,-0.650795030958138,-0.617817622671396,-0.00767329451081466,-0.189489907164973,-0.24204125962044,-0.439394066015647,-0.462403520755174,-0.863142781409058,-0.309266376039375,-0.867106787524784,-1.08558616659059,-1.08621777252383,-1.00441547374507,-0.808073866187107,-1.01363845527034,-0.590437356380397,-0.915991907086,-0.10558621192935,-0.342709945602747,-0.645721693219988
"BURK_Li_2 (GE) - TPM",-0.953228313886818,1.33470527996479,-0.225403596674288,-0.313657988187611,-0.422187413382603,-0.52650847372238,-0.527520541328209,-0.436081647510051,-0.535891452124106,-1.06829661816199,-0.817847526462483,-0.260366909404189,-0.294648244563815,-0.37413600215571,-0.486967425538026,-0.50948121319131,-0.549099851610337,-0.113327578835199,-0.244549612035599,-0.330343497966202,-0.275313118391398,-0.374299349421881,-0.571113470562448,-0.569902464090171,-0.408578127577245,-0.272118076214813,-0.562505136774516,0.479544297022772,0.210608371290309,0.035988324026027,0.443990245843822,-0.490787638883555,-0.482642465923145,0.0144116304135208,-0.222906671301514,-0.732877709790753,-0.013697714349413,-0.0305007555995885,0.0609210962393041,0.00888229693740246,-0.830724725372091,0.229404605220383,-0.319138476537253,-0.785980905403416,-0.860366635223422,-0.825198707349719,-0.41650659010225,-0.0628540666409794,-0.599584667781484,-0.533969285275638,-0.49012769038959,-0.555485082097394,-0.00994498372758714,-0.215596549348527,-0.226389993862044,-0.177013504014165,-0.38297118015106,-0.337545353334311,-1.10384142412023,-0.64761028647315,-1.54207140574249,-1.1189698503713,-1.00133425594244,-0.662671585717398,-0.623409352531268,-0.215328786765885,-1.15907298076699,0.266688693999869,-0.492238237755733,-0.619132223049466
"BURK_Li_3 (GE) - TPM",-0.964442248506444,1.27931147087073,-0.41950267198942,-0.386580567168608,-0.497818233262916,-0.433206354854889,-0.455991643645622,-0.713058350905413,-0.478445183857325,0.012817364156701,-1.04284182645687,-0.329883393944219,-0.460134630674744,-0.449707265488989,-0.502399290977756,-0.57279122660853,-0.642573214279242,-0.191539018368893,-0.234458222246015,-0.383369952062975,-0.429700327961192,-0.450130431419956,-0.560363104895734,-0.558064911422199,-0.37260578141799,-0.252464892354295,-0.467331711047597,-0.00771643216649422,0.00151000770558333,0.253342159878009,-0.237818281917061,-1.17595798189691,-0.924092384680376,0.217686488789699,-0.290707404976841,-0.752906083774383,-0.335741198835046,-0.0677941055497096,-0.148061375573465,-0.225925124317915,-0.873308837488263,-0.0119875002570776,-0.972886073758153,-0.704403187888715,-0.942526081180648,-0.533517335111454,-1.33234875660368,-0.302241644248601,-0.577648529833903,-0.56524903573823,-0.650745443419144,-0.656247533472621,-0.286983074757084,-0.314794716574574,-0.303103828612033,-0.341495710975905,-0.486287958520411,-0.383102529635025,-0.61886052216231,-0.619707724311297,-1.03424346122639,-1.03406413638485,-1.41167954526938,-1.17331187608567,-1.06987604473969,-0.465902115907061,-1.01734741243235,0.320315539580805,-0.649018919710092,-0.925367311127227
"BURK_Mig_1 (GE) - TPM",-0.72193250561916,1.6641507406926,-0.884054106790657,-0.679576771094717,-0.742218218989509,-0.837963119443579,-0.783187119867415,-0.710151092826504,-0.639854832895206,-0.599124010173702,-0.617219979078548,-0.522691940503819,-0.434606071712355,-0.63965369026757,-0.579055573432418,-0.734054292357196,-0.730930875345454,-0.528992013604152,-0.801620942472052,-0.723241589106627,-0.68766792397953,-0.689925352889008,-0.663793621581638,-0.438277378740917,-0.427663939261901,-0.8532949690224,-0.935502245272988,-0.195712402398994,-0.900324377259235,0.341291846773463,-1.05645530658451,-0.189728927210713,-0.955740277953663,-0.345919574848865,-0.653041691195361,-0.864240071247761,-1.07475717067536,-0.997134539503883,-1.14496697007219,-1.0557205920438,-0.386017454079097,-0.647595771989012,-0.81034533189033,0.397060410605615,0.529849004776329,-0.990848875679219,-0.773614030242365,-1.34639045381523,-0.54791189572302,-0.582305463865323,-0.681502846859,-0.665356882748773,-0.704296282566412,-0.691162527483734,-0.586735806006601,-0.479429921723199,-0.350918013875827,0.699225952376346,-0.469770335115043,0.442466954496287,-0.90368011555753,0.107237525057531,-0.00651888969133768,0.828364622359708,-0.563052495183847,-0.241804903189826,0.0535970250160767,-0.697610478748972,-1.09478996157956,-1.06028573179818
