"","BPSL0002","BPSL0083","BPSL0084","BPSL0129","BPSL0131","BPSL0266","BPSL0310","BPSL0361","BPSL0507","BPSL0512","BPSL0551","BPSL0553","BPSL0624","BPSL0625","BPSL0757","BPSL0872","BPSL0911","BPSL0952","BPSL1073","BPSL1074","BPSL1083","BPSL1191","BPSL1203","BPSL1228","BPSL1288","BPSL1304","BPSL1339","BPSL1805","BPSL1912","BPSL2007","BPSL2020","BPSL2126","BPSL2461","BPSL2464","BPSL2523","BPSL2547A","BPSL2548","BPSL2588","BPSL2659","BPSL2768","BPSL2849","BPSL3038","BPSL3175A","BPSL3229","BPSL3230","BPSL3248","BPSL3249","BPSL3270","BPSL3316","BPSL3317","BPSL3347","BPSL3394","BPSS0022","BPSS0229","BPSS0455","BPSS0557","BPSS0703","BPSS0776","BPSS0849","BPSS1014","BPSS1049","BPSS1062","BPSS1063","BPSS1363","BPSS1573","BPSS1792","BPSS2015"
"BURK_As_1 (GE) - TPM",-0.35216487664242,-0.672680474457202,0.752919609791989,0.348150654717998,1.22596863369729,-0.416657381981709,0.192394008241374,-0.55855507135915,-0.295186486755638,0.0710452638824921,-0.677384999590544,-0.392582835756016,-0.876259186968396,-0.399694375432911,0.0976151648584057,0.41149978244615,-0.280320219957441,-0.497358308759664,-0.321977429938674,-0.832091291826861,1.06093641934802,-0.441084356816023,-0.371300151699886,-0.360558031691612,-1.38397387323863,-0.288789491380801,-0.152127138080445,-0.335142352346408,-0.347918755205684,-0.534805266092997,-0.316958768096098,0.218813445533748,-0.146992315296336,0.123998913285755,-0.696011568109218,0.58324747553712,-0.362604496432632,-0.368512118705725,-0.110218973835407,-0.649004361322255,-0.876128899215365,-0.41215040844344,-0.694866195115181,-0.328333774082161,-0.977076496058289,-0.366910669320893,-0.178681549724396,0.60151171069644,-0.938886450863535,-0.531226098645838,-0.944086018927205,-0.352917695258416,-0.0762700267461232,-0.140097763671962,0.23098080627329,-0.819128314156932,-0.536289935632821,-0.580423473320915,-0.936376488134359,-0.151681644759713,-1.03901640123203,0.0811724558600018,0.119444137210629,0.294578453475736,-0.499562529848634,-0.939641384258224,-0.0857449158644784
"BURK_As_2 (GE) - TPM",-0.473188845630004,-0.788043604129054,0.480992010838588,0.416658181299753,0.465722917152605,0.354380862550479,-0.667022878722406,-0.279780381765463,-0.35729829161936,-0.0368665515551992,-0.496812140945025,-0.190609818180373,-0.834322923635111,-0.393425305186164,-0.30778439736408,0.620773988222751,-0.204244623023922,0.0493464626184524,-0.316156898898596,-0.813374058845088,0.681147156629518,-0.320368492762748,-0.34726912241091,-0.356692154968368,0.384105567995361,-0.32716621321592,-0.141961334036083,-0.333686151039804,-0.411652125627431,1.4444769653286,0.170923704628978,0.128209494577618,0.0157190903724305,0.498013335867375,0.170418092815297,0.521105055196478,0.0164128558556698,-0.754130133630247,-0.555063803624841,-0.566665823065437,-0.211125136188897,-0.0289036081664471,-0.44488283027238,-0.557877370470629,-0.94348227319158,-0.537585493550009,-0.307087459629923,-0.0313850787216224,-0.597262697156925,-0.572035766884388,-1.1609672261325,0.198333685970525,-0.265036277015041,0.14483868688233,-0.171733410155955,-0.869232204136293,0.264874915324242,0.125426971264415,-0.615860669320252,-0.313335284137297,-1.03901640123203,-0.229425069403497,0.17635025966682,1.23585743067827,0.813456674632715,0.0690785146294337,-0.186886131514427
"BURK_As_3 (GE) - TPM",0.0251917563630835,0.441098348401957,-0.213634512481768,0.457452915518614,-0.504059080000574,-1.2693941930266,-1.00092578184248,-0.478865706966258,-0.428746207275889,-0.0322602992322929,-0.634407305090422,0.163673030653481,-0.778290477609175,-0.306803154883896,-0.427427017168167,1.14310911660338,-0.0321701460654882,0.185051271247571,-0.295442421380712,-0.928728114339844,0.730070870171747,2.17665097376405,-0.359989356510339,0.462134382434883,0.374158173568116,0.0854809506030816,-0.0739619459175977,-0.396168163357855,-0.429565605190042,1.17788248797073,-0.530611359681281,-0.119367917772986,0.345503534267588,0.233094758488261,-0.651626779421571,0.587933355238606,-0.52388745908485,-0.276364797587242,-0.198047879541272,-0.525332299904994,-0.186639552192422,0.0183011513826088,-0.328330873602267,-0.405202925074499,-0.936377687144369,-0.376854329090714,-0.123640146945418,0.579533338585182,-1.0566756980268,-0.650957859116397,-0.564214634633835,0.0599366439204361,-0.256144089068842,-0.22368251046706,0.316742701718103,-0.854786531205304,-0.589271384070425,-0.681612362081842,-0.691688377830348,-0.0875914475090683,-0.323904657933498,0.881687577829493,-0.59371941790305,0.519439676892576,-0.820143391354826,-0.623181257641659,-0.383119160058894
"BURK_Ctrl_1 (GE) - TPM",-0.327506590117376,-0.513625164328707,0.155681251853617,0.067599955925689,-0.726357427695884,-0.471191949518223,0.8153409318907,-0.916319012234002,-0.410546063796247,-1.01831580538689,-0.432298614055621,-0.545662701361267,-0.894073639956696,-0.349167763389456,0.0828803441612873,0.221523655262083,-0.342301348672338,-0.190164355009781,-0.301606247961529,-0.860353357382567,-0.44615292334112,-0.132940986763221,-0.410149560359832,-0.722582555739229,0.133027756884429,-1.07755664111878,-0.253080272968884,-0.432970777523912,-0.29819096584811,0.0651988482831405,0.423600015325705,0.308684837360202,-0.520903472899729,-0.0496530505073727,-0.0665958067105361,0.0968808982297541,-0.11231929091695,-0.872256275792458,-0.427681669179435,-0.0949535728154404,-0.368940275825541,-0.375891906770693,-0.733883778997348,-0.983641288830302,-1.00567632367283,-0.40219036026427,-0.31715824412702,-0.269488140928365,-0.922440905481404,-0.726576579107998,-1.40331117654898,-0.151186320896171,-0.519523211272149,0.194015619740601,-0.118127217564926,-0.864025000570827,-0.37878751086831,-0.986845394607224,-0.350483255851519,-0.36230190144182,-1.03901640123203,0.0179115497324122,0.0162242235820035,-0.675247988800665,-0.411160413980529,-0.828063752270189,0.842176430376339
"BURK_Ctrl_2 (GE) - TPM",-0.498571976996726,-0.540946322209868,0.14030859926702,0.26277111476695,0.619467336076167,-0.155099313581765,0.581745143828324,-0.527614283642538,-0.650979470613974,0.900017749149555,-0.667901950283443,-0.452102027193647,-0.859045923285317,-0.301647319549373,0.044650637149001,0.498545220155749,-0.321935475051364,0.0582864131097321,-0.277492352389873,-0.84496524471123,-0.379980458331713,-0.0402736904232399,-0.364933355853447,-0.528153476788594,0.0891830875354314,-0.132729218661302,-0.213659768293431,-0.356246411069956,-0.286198938230534,-0.220923769223021,0.977826051697785,-0.0957660796480259,-0.611331116031045,-0.358105094329353,-0.657483629336069,0.164084374858356,-0.242567773139379,-0.273353375022593,0.0890587869925124,-0.417532883746601,0.282795450869368,-0.185822573779215,-0.510344240411436,-0.733757197323591,-0.978874974638462,-0.262230080441998,-0.205671338503731,0.101434234420336,-1.05212922766705,-0.632411779269001,-1.33491943129213,0.0881716915366953,0.132670542838283,0.318291378100356,0.482571569926467,-0.657682528981023,-0.564190033516947,-0.87610756816033,-0.50659133060953,-0.380621090433411,0.547099921510315,-0.253943783602917,-0.603943789718602,0.320215178751384,0.400574259745448,-1.07113560302869,0.22314426817112
"BURK_Ctrl_3 (GE) - TPM",-0.348397687557459,0.25218406702289,0.0875011238175361,0.340592956537992,-1.02959908088625,-0.283114271054928,1.39920728429957,-0.764955332415161,-0.54612882395738,-0.0077963937665453,-0.0116844435675293,-0.337922854509455,-1.00357463913844,-0.502546581678967,0.231426754368225,0.599850840001325,-0.296529234739631,-0.317906623335241,-0.260538244609852,-0.996693998903023,-0.524860985319147,-0.122583873643259,-0.379258411041346,-0.651649236956832,-0.807978482580311,0.220957676751445,-0.194265304744064,-0.42285005828608,-0.320362508682588,-0.80822594201643,0.833159024429721,0.194068050042304,-0.737508339457298,-0.716098106855595,-1.3870791487179,0.118515792006351,0.340571425296571,-0.72582148515119,0.348382852770263,-0.54760366479755,-1.21097461610505,-0.0693952150411283,-0.770461547648482,-0.850829692340425,-0.972394570715594,-0.290490075371788,-0.163113283821094,0.410067195171839,-0.636519481663498,-0.795893008880372,-0.848916477568147,0.00997787646743047,-0.30560294142002,0.142083208977387,0.665222285404114,-0.64010109328018,-0.601535750288843,-0.624476303136286,-0.0604687079493416,-0.535555116945319,-0.617306368703493,-0.613638234139617,-0.0714315092068807,0.792934732875957,-0.648680233410916,-0.82599045134572,0.194472712163335
"BURK_Li_1 (GE) - TPM",-0.678291967967212,-0.600705924162843,-0.0459194103766031,-0.698967796575729,-0.172472684763386,-0.723998838474086,0.200431785321261,0.659849696811286,-0.528387398111707,-0.395544583183127,-0.228390933726872,-0.387709291485416,-0.374697965901439,-0.469159486384444,-0.584575683807188,-0.708563723999009,-0.410267327280418,0.903517509507239,-0.338478970868818,-0.286698749011814,-0.629570003528624,-0.852853630582817,-0.294228343767603,-0.652800646048398,0.619521047531037,-0.897934062056824,-0.391659827238571,1.18489540486505,0.0210772847679754,-0.70794716654924,-1.54523262818989,0.248743705375509,-0.145318605072391,0.283978906612874,0.82813458544057,-0.310264544548292,0.761964391844006,-0.663745288203066,0.0259567178480946,-0.494223063843119,-0.882802508665836,0.362116077997968,0.0828355701921749,-0.961538287409618,-1.02663727688855,-0.41224070751172,-0.618743929980181,-0.431461344822617,0.0524381968571011,0.0272453272639996,-0.707125660856493,-0.611906366715257,-1.14580697958944,0.456285784631863,-0.695149016859883,0.364332320628508,-0.937748848536495,-0.413126399280772,-0.172564638999304,-0.736369871225873,0.427825039045325,-0.389232470883193,-0.0910190322877547,-0.907087810967595,-0.806712352650551,-0.355171792370269,-0.600295681685688
"BURK_Li_2 (GE) - TPM",-0.43870308481742,1.15635243417208,-0.14741313504672,-0.729488621271559,-0.454890857492422,-0.649251218883655,1.12041036018781,0.0781725461974231,-0.770641452230685,-0.568365006956084,-0.45881592961447,-0.48327500546209,-0.352342424020289,-0.40869974836173,-0.734719323611735,-0.6210502625776,-0.610753880506269,0.496143102302622,-0.33144663260881,-0.241401327255143,-0.198074381876797,-0.402659247771705,-0.286614449970012,0.593835458073662,0.226756822441069,-0.81190110585192,-0.383889246296679,1.03929255211717,0.295779435443273,0.317569464246375,-0.299730688634642,-0.712657100249487,-0.227713457214183,0.55837668190896,1.92080141686018,-0.223296492873902,0.968969932649103,-0.713762216551885,-0.190466198713492,-0.590695552942895,-0.066578907190301,0.540925603696508,0.0919352660995975,-0.890659442883836,-0.986709574651455,-0.379770304203988,-0.547283091625502,-0.137572694040815,0.0224485381271466,0.222465227204798,-0.470185871689982,-0.674830413188982,-1.05393111725978,-0.988153821580914,-0.716708145673081,0.528267252190261,-0.619452901587283,-0.978188634393434,-0.35158306229713,-0.616422820292825,-1.03901640123203,-0.486727513714637,0.65583160719351,-0.731875817571454,-0.623820890230733,0.0627486242855632,-0.34381301298381
"BURK_Li_3 (GE) - TPM",-0.552237409650224,0.618815051203915,-0.819255362392816,-0.554671262811792,1.06866320110271,-0.874683830803332,1.01457689394282,-0.673154139309682,-0.748310736359207,-0.720641896112242,-0.226246571220983,-0.41299133643845,-0.246347810712022,-0.380930645331097,-0.700503996776669,-0.57023649109199,-0.356963368392051,0.709256840388334,-0.336961815772631,-0.203443881789029,-0.494954062718132,0.332918031394007,-0.284585289595409,0.985922865421033,-0.67158952587644,-0.946259236679946,-0.392094164751138,0.9084066905326,0.283419024644634,-0.130178441552936,0.136365383115107,-0.301148389524982,-0.135444931182868,-0.231441091915573,0.573979871229606,-0.225046146186886,0.765765080921101,-0.905000292364011,-0.131057647492332,-0.512568263092787,0.213280039486558,0.344986421715089,-0.395587622200784,-0.953912536800964,-0.938749055298913,-0.43201936531874,-0.363031022298992,-0.175720052164075,0.130983006760875,0.0725867556985566,-0.463139324968249,-0.315119642758898,-0.791092451323844,-0.0607768648912737,-0.843114484450709,0.212030595746157,-0.635718877596639,-0.438204516401117,0.430655751009122,-1.04132556490262,-0.236607132090465,-0.672538258452562,0.106017266524542,-0.999000847744863,0.126839153188129,0.334864690764523,0.261410228313336
"BURK_Mig_1 (GE) - TPM",-0.26561034773942,-0.804137062030479,-0.75063130174227,-0.725682332441248,0.109708054172085,-0.616338867429408,-1.43854067231685,-0.224457429838408,-0.840106185327589,-0.146179165569954,-0.824499095041067,-0.393838163700941,-0.173096767093722,-0.551488658755928,-0.274217366306065,-0.885929944057973,-0.266369896847576,-0.664846331612858,-0.325070100672135,-0.875438436599122,2.13138012174284,-1.13417151407427,-0.221852289960587,-0.333231398120757,-0.368709680012726,-0.941081932397741,-0.413083042168642,-0.500682340041328,-0.172980357051252,-0.511631973988521,-0.450987619886095,-0.921952403843752,0.71864578771856,-0.831044323438561,-0.261764492553887,-0.717229131944583,-0.552100620494065,0.090470691926326,-0.552818390439647,-0.193064661747144,-0.782044129181999,-0.408625260986466,0.207561765568052,1.02582142799626,1.50385494272167,-0.625261826043924,-0.573187470270811,-0.823129819966118,-0.205870431633845,-0.505644216035118,0.4764256282809,-0.460469915278199,-0.831604238241324,0.165057353098394,-0.535045449479963,-0.0430050806412541,0.347636709100786,0.713346797501066,-0.250755030334386,-0.478074806678966,1.851660349843,-0.500869661623262,0.081402340356836,-1.24672160572088,-1.19326605253644,-0.766645137075418,-0.824961394281541
