"","BPSL0023","BPSL0079","BPSL0195","BPSL0299","BPSL0344","BPSL0346","BPSL0405","BPSL0432","BPSL0462","BPSL0471","BPSL0472","BPSL0495","BPSL0496","BPSL0497","BPSL0498","BPSL0499","BPSL0536","BPSL0540","BPSL0549A","BPSL0561","BPSL0576","BPSL0633","BPSL0756","BPSL0776","BPSL0777","BPSL0839","BPSL0858","BPSL0880","BPSL0888","BPSL0940","BPSL0941","BPSL0943","BPSL1038a","BPSL1039","BPSL1048","BPSL1064","BPSL1127","BPSL1153A","BPSL1177","BPSL1287","BPSL1413","BPSL1433","BPSL1434","BPSL1686","BPSL1687","BPSL1688","BPSL1690","BPSL1759","BPSL1806","BPSL1840","BPSL1841","BPSL1842","BPSL1859","BPSL1967","BPSL1985","BPSL2032","BPSL2180","BPSL2291","BPSL2468","BPSL2493","BPSL2494","BPSL2495","BPSL2714","BPSL2736","BPSL2809","BPSL2883","BPSL2884","BPSL2898","BPSL2933","BPSL3006","BPSL3042","BPSL3131","BPSL3231","BPSL3232","BPSL3233","BPSL3234","BPSL3235","BPSL3236","BPSL3429","BPSL3431","BPSS0003","BPSS0058","BPSS0100","BPSS0206","BPSS0208","BPSS0209","BPSS0218","BPSS0273","BPSS0286","BPSS0380A","BPSS0390","BPSS0503","BPSS0558","BPSS0559","BPSS0570","BPSS0595","BPSS0632","BPSS0647","BPSS0649","BPSS0673","BPSS0800","BPSS0878","BPSS0915","BPSS0916","BPSS0917","BPSS0918","BPSS0919","BPSS0932","BPSS0934","BPSS1111","BPSS1118","BPSS1119","BPSS1120","BPSS1297","BPSS1311","BPSS1311A","BPSS1334","BPSS1392","BPSS1705","BPSS1706","BPSS1707","BPSS1764","BPSS1782","BPSS1793","BPSS1795","BPSS1796","BPSS1826","BPSS1862","BPSS1865","BPSS2073","BPSS2176","BPSS2304"
"BURK_As_1 (GE) - TPM",0.455266344035313,-0.734558572123237,-0.0172161049937875,0.473269820437159,0.000953671876964539,-0.0634631483467755,-0.76924447345291,1.04354566540978,0.133035299329882,-0.440352555253438,-0.522499202760501,-0.385012497493904,-0.124838698653176,-0.548175838798708,-0.392492268589278,-0.301262927128716,0.60441561196966,1.14675596497978,-0.257410317073977,-0.950417641136273,0.332991122134746,0.434563833710923,-0.368289984526929,-0.158823751968042,-0.111231697356515,-0.0466585473087687,-0.487734641886095,-0.725783544530381,0.0493785110914644,-0.495367803837248,-0.554115288392884,-0.502837460958567,0.024983475594108,0.717010809327971,-0.31958152487318,-0.414646110282796,-0.0962722884105877,1.20531702939432,0.0347216457656847,-0.781055398662251,0.628688529400388,0.25364551656204,-0.260460616185457,-0.463866992260346,-0.124268783439751,0.0543285918474333,-0.804831548986008,0.90998345598658,-0.427123572588513,-0.286294075396086,-0.392386867302406,-0.169580621402803,0.00497923379160429,-0.268469536574297,0.280224766690312,-0.479717818855419,0.163159304754143,0.337957235140393,-0.0783997172985899,-0.531734741552864,-0.0424815371482479,-0.355489779452001,0.363510068032535,0.204550265332784,-0.359496525492667,-0.431056380127938,-0.0119671733864578,0.660116292791156,-0.022553893633937,-0.15916135027835,-0.686517690556058,0.638294452681307,-0.887045730628818,-0.871012985758086,-0.726873763568065,-0.781519526326942,-0.509569118319251,-0.587201677321684,0.109924312180926,0.942040906711363,-0.492557488970835,-0.224230785485585,1.49386009165669,0.733728184795763,-0.0973912849430869,0.41865235867313,-0.291182657998828,0.0870022759528021,-0.195106240813241,-0.302086227475395,-0.928778033317963,0.143791733028501,-0.64387179947563,-0.298689585556192,0.190378249987578,0.767451392144186,0.423561389278543,-0.890867080800328,-0.419156461752624,-0.582605978752972,0.5792658369859,-1.08473479689226,0.962265783681187,-0.0953306089284533,0.155259402181277,-0.262487218223274,-0.544982781514531,1.14449271844827,0.341002785068628,0.940133914585057,0.0339156169027593,-0.246909945491582,-0.230985688069281,0.164944265402955,0.317718002324043,-0.0300522835729221,-0.428887375365207,0.26122337223425,0.31072732778719,-0.266889448385281,-0.719584685851858,0.411174500005018,-0.981664112043028,-0.0823361701864784,0.119195743075308,-0.127997576175518,-0.331228140645681,-0.189363853511454,0.116490905106409,-0.876322661628698,-0.529578020890984,1.51758921024564
"BURK_As_2 (GE) - TPM",0.381974923367943,-0.302272040109707,0.351172920001602,2.36220293913532,0.278123758800102,0.0173989251596572,0.635320564815169,1.5310215225811,0.222422759436002,-0.389548583936888,-0.484966402125799,-0.15228912328558,-0.111122359712351,-0.379861842842554,-0.107659349826215,-0.213484058342522,1.19601345023515,0.364597833662403,-0.063149067226449,-0.240139795332032,0.165570244517198,0.945267729243913,0.0358891179982034,-0.158047246808733,0.213700903945145,-0.0798003627085675,0.868842837011878,-0.770059284979077,0.506687075797208,-0.567037898505895,-0.514426735153114,-0.378892924982192,0.967793347627688,1.00310445980273,0.739767648204212,-0.493160756872881,0.373148398013201,1.64513188713788,-0.661906682164086,-0.46614488512205,0.936194094470846,0.317537937391495,0.165401331957278,-0.461048249890622,0.145102521925184,0.133033384742626,0.135845792015637,0.960928355821768,1.45632643244511,-0.31917821784345,-0.26755950381626,-0.203543512381762,1.13785907070707,0.605789377770097,0.392118525639061,-0.241564498790241,-0.033611240702962,0.654271950953578,-0.302826667775803,-0.5712797030682,0.065303017814512,-0.295147366547311,0.360533516540812,0.405274452050193,0.0292773748927045,-0.25523048236301,-0.147468488002459,0.525530991297863,0.194133638580975,0.171780760707445,-0.617612554967997,0.487109223974369,-0.862363108022071,-0.847796929157806,-0.680523312765911,-0.748429946587024,-0.399645509269775,-0.57497233799207,0.0639106183555689,0.774802811272636,-0.422244753720777,-0.136440369972747,-0.092569876072964,0.449419696576944,0.395621536241749,0.746779282107964,0.0998251344311028,0.086092035620804,-0.42288683613223,0.096817172410367,0.142088099524022,0.0767703706528182,-0.313232257995238,-0.376788497510785,1.00576543104773,1.04346619035111,0.880437253022787,-0.762502690722697,-0.647328620048103,1.29905611517873,1.50676547772338,-0.537818354079929,1.01834583888559,-0.244419830536375,0.160312335490811,-0.46831937731608,-0.323740485373095,1.96851256324537,0.601151427881587,0.608113070038588,0.0640546339667889,-0.2597374508788,-0.113436631042093,0.208451106302289,0.970012759182299,-0.63290490852032,-0.437108247465232,0.615228110421085,0.0587660075097033,0.436944187356467,-1.02170413013889,0.630265556652033,-0.834881405704103,0.194714281462101,0.0770524153227656,0.519477874095508,-0.590473654120265,-0.242674158770758,1.20587524454186,-0.869561264149498,-0.253056950446794,1.87829768353684
"BURK_As_3 (GE) - TPM",0.501543975142251,-0.283549923653161,0.543486562564785,0.960773240678912,-0.849881747486114,-0.260546599973367,0.653426604629021,1.3870236052305,0.369915599753287,-0.421773086367857,-0.501631543504228,0.0360467361312409,-0.517552175913191,-0.316919250226188,-0.101522253663284,-0.240368105963688,1.1758881576042,1.13424749418956,-0.179772618689467,0.13789280221061,0.479000867998938,1.47804656939278,0.0644374922970211,-0.205503055108606,0.011203033630207,0.0679819043645753,0.504246597122436,-0.662043932642586,0.281153267810085,-0.471153211723926,-0.49630023880437,-0.38871046921878,0.339335255732635,0.47719476664092,0.142117354806745,0.497507563467362,0.461041013998729,1.76829020459498,0.0703082837273005,-0.345732634526967,0.74048091456945,0.101662925925088,-0.150231230906805,-0.0923556436756838,-0.364432800184295,-0.292369462154543,-0.191052052430882,0.567612488299023,0.742409807832409,-0.332675621649415,-0.192785878196154,-0.261267446280732,-0.570743488839859,0.37152862021839,0.0170972237029249,-0.580287160956764,0.583275940662022,0.529592432900573,-0.313522744223365,-0.507817442180496,0.189848084831485,-0.225405387158564,1.4278872319183,0.0955563006725704,0.269367291592132,-0.373905803048965,-0.117117315006685,0.758975504099772,0.421396422618819,0.192810351278002,-0.663626644293341,-0.513916447653908,-0.884801988180621,-0.839851450826021,-0.619648244735357,-0.725427322647268,-0.446708260696227,-0.671964413499533,-0.185219224142424,0.215630142209294,-0.408854252839863,-0.205095126726185,0.992939193314036,1.02906941900112,0.257525828112062,0.654859442730679,-0.196445582572204,0.31199261301995,1.92454862684266,0.548695753424083,-0.319647369409467,-0.442818416802637,-0.173890896341023,-0.376820344118287,0.408501951220519,1.17968534073628,1.23015199524927,-0.734859948767257,-0.712104283357806,0.391802162804562,0.414220908393793,-0.918544080774884,1.0840144283204,-0.276062708137769,-0.161355077833986,-0.418733752650311,-0.535175096248137,0.864884763556585,-0.0336226102607486,1.04618486727132,-0.354190809456634,-0.086563607046429,0.260119030299014,0.542820079982118,0.723108738748718,0.754694900603794,-0.465359455030157,0.0215413951884055,-0.298327912987456,1.13657502477062,-0.969094294693483,0.908536917816692,-0.997855056998572,-0.0951185401690993,0.539186207020017,0.588918252667344,1.0241066172164,-0.205099888621446,0.820506402132295,-0.884605466463159,-0.556278666930033,0.907924270698805
"BURK_Ctrl_1 (GE) - TPM",0.824842308208757,-0.29296910620826,-0.113314864472029,-0.705967930011676,-1.16096827494128,-0.0710945220797546,0.0900883645261246,-0.130391608323414,-0.456925116625643,-0.457773603446447,-0.49742009278104,-0.318891664451527,-0.359622705333609,-0.783890643204807,-0.344004517329923,-0.437862914062014,0.282072766553987,0.25634848043897,-0.206570373978239,-0.5084004442672,-0.147069621769652,0.478395056299036,-0.38558980296093,-0.258705133243647,-0.251067455205973,-0.114356447004926,-0.201392629053122,0.0434122589741754,-0.30858442707128,-0.407386496428912,-0.541033939678038,-0.647735747396215,-0.0605361877027078,0.225204300074612,-0.147646402913868,-0.263242735348547,-0.860761335312698,-0.0715018423129317,0.243063553399957,-0.295930266287705,-0.0411712815420177,0.138353755651306,-0.14895244269896,-0.40481478356945,-0.495710538962186,-0.23925996134372,0.0227519094887762,-0.0690775974082375,-0.86690504803418,-0.306648809514545,-0.305547745917171,-0.376908777814841,0.181357603702241,0.103452435007561,-0.105195468569631,-0.499751033204039,0.390648970478323,-0.00294737310118552,-0.666808565763296,-0.422749138590912,0.128660197300175,-0.39513948901313,0.501563358317491,0.147141340155701,-0.164576207843273,-0.384116219059351,-0.198209515123108,0.310919886501234,0.00845988572296403,0.18156061041655,-0.728129337761356,-0.562569730588748,-0.9191884754325,-0.895255428916014,-0.735392418609904,-0.805740557613744,-0.241477044868427,-0.290952886318459,0.219593897533118,0.470681311098789,-0.495403839957066,-0.236763466558606,-0.374169895328178,0.425846096741394,-0.209042674228461,-0.11578092686675,0.179877323576464,0.298331388819215,-0.554357168572498,-0.0405115937976492,-1.29984999005799,-0.490679653268414,-0.496500311790479,-0.709463558984707,-0.0294912102110546,0.907550701188234,0.642598561647131,-0.717796408825894,-0.783769843192736,-0.517773433256725,0.741545914273184,-0.650774363089243,-0.00485799612777534,-0.175570217025305,-0.182866635692254,-0.381362754239442,-0.126620264728696,0.0557957644751004,0.426972889341016,0.360742096030632,-0.544150686389863,-0.462466955579679,-0.611224226811197,0.687187787096465,-1.04267047503265,1.18325451276328,-0.438237756012873,-0.640360618391148,0.403618399622797,-0.413596459835471,-0.933903033034543,0.84584068690004,-0.776382990199223,-0.0934536382568765,-0.262177686424266,-0.274337141263496,-0.573824025307509,-0.397420221937443,-0.882622640227111,-0.592026964140305,-0.542306649250088,0.857551464315177
"BURK_Ctrl_2 (GE) - TPM",1.130665046562,-0.291530321076416,-0.0496036351006897,-0.386015158251191,-0.0496276415243561,-0.0127918052888927,0.0343188996133014,-0.13376170586453,-0.0963421645251324,-0.369693546402792,-0.490838098978684,-0.146345148882311,-0.427305207298473,-0.69043527134315,-0.277832462276879,-0.47761387864868,-0.0220130580875158,0.308105873613742,-0.191595445557696,-0.277601956280093,-0.290361694337711,0.485845622865596,-0.233486441455813,-0.268760244261781,-0.271541631060772,0.383064896844874,0.156308246755415,-0.139295854717106,-0.0218255034228015,-0.458819797946623,-0.564939591372052,-0.619993192028779,0.383675724369606,0.365726073551867,-0.659461650483447,0.766858739408708,-0.806269512857335,0.828433753925874,0.827935023254505,-0.669813730898262,0.124194533228723,-0.0675936145870882,-0.487489175054534,-0.432730084801308,-0.376262082178227,-0.268359062256585,-0.483217037648128,0.451240399735417,-0.714886253033431,-0.361779515076676,-0.402756450138096,-0.33921142506099,-0.0682176668245045,-0.177518390065674,0.029711348710669,-0.400497060826463,0.863044966339235,0.0995222138679931,-0.574756667976671,-0.610044457930947,-0.0809783908771956,-0.361413922256851,1.01230512849344,0.494561908731545,-0.105339882631681,-0.391660938516183,-0.062048478537515,1.21933802714811,0.0658809736903619,0.109885486321606,-0.671585904230315,0.0626860540893163,-0.917930188741564,-0.884656346033623,-0.689010535292813,-0.778256944168821,-0.348984706343279,-0.513799742763707,0.135939130935169,0.918989249261109,-0.444958248649708,-0.230419212023196,0.721715749555076,0.939114555470761,-0.285073006374585,0.081076107453508,-0.238941982814941,0.323233978529303,-0.622690585550587,-0.658728396474279,-0.125002245897814,-0.496110101586696,-0.251714795713335,-0.530426388478244,0.108603738820885,0.987296248143269,0.733009835724164,-0.643707447710961,-0.356475734946064,-0.657540175417843,0.828399720056592,-0.593045922839701,0.266479866626307,-0.366602271021998,-0.219406664067275,-0.367920413904817,-0.485786295670396,0.415245136609914,0.307482160616836,0.593795468577186,-0.895218977471921,-0.385640003806375,-0.718448683477656,0.758951381461665,-0.707577589879795,-0.192071886862879,-0.41720686984814,-0.855734306020864,-0.0843414884111425,-0.735631853587957,-0.854160469403704,0.490834410028829,-0.77024873095086,-0.0223906945943467,-0.362050297579225,-0.604190250754091,-0.627491987889129,-0.4194521006376,-0.557815377188927,-0.715160315515379,-0.482014957138615,-0.414773482841324
"BURK_Ctrl_3 (GE) - TPM",1.43250460047152,0.234884391649122,-0.226160725438837,-0.568110668552223,0.344130159643891,-0.00237567220489108,-0.468819204465581,-0.532270389881762,-0.240971408302923,-0.389714005978924,-0.520655352094625,-0.186282450348311,-0.563157067796881,-0.682930972534291,-0.26255930451931,-0.347896560718927,-0.741357443239911,0.624932717927877,-0.110615049231786,0.680278190298175,-0.175950947207979,-0.546493775099648,0.0906462621352069,-0.30714968862248,-0.318602323691264,0.177914350617216,-0.182151102483448,0.194541166772216,-0.425204275444397,-0.417866412296513,-0.522631671180428,-0.669890019367289,0.368068807317938,-0.272733047282856,-0.436319169923221,0.630013126261418,-0.470673907207611,0.647060268084959,0.826677960653463,-1.19769378511134,-0.390599418558745,-0.491354215962173,-0.658238458988176,-0.50919039044281,-0.183255840820571,-0.341995789600623,-0.615242922533719,0.236715573737634,-0.876375477227071,-0.359516444727098,-0.355133308166148,-0.382167988737343,-0.0796044652485975,-0.0699296183891738,-0.423592214280978,-0.413292798698267,-0.0636239107248772,0.0967221457862527,-0.59086584333322,-0.692491813693027,-0.0867624245474596,-0.419071723383694,0.506382913247675,0.188519474911386,-0.0353704728391122,-0.398604624868366,-0.272881067688168,0.947978960820943,0.183626673012773,0.0966787911436654,-0.686369226875305,-0.118245069017402,-0.910766398014589,-0.885536706347614,-0.729805751129839,-0.774828379163239,-0.246924192479632,-0.672734469168806,-0.0219876944053162,0.612042441869791,-0.460324995704866,-0.229566235165608,-0.702540665556546,0.541095295777586,-0.376636572243816,-0.211328037580389,-0.434550936803324,0.379209599968787,-0.142275699060391,0.312761734372739,-1.23603068891649,-0.080623198979257,-0.0990647120009875,-0.360716006144648,0.247454253774427,0.856890009312876,0.00411508228746145,-0.759439523564719,-0.671873795382063,-0.660021168198936,0.593494588785522,-0.835103337546316,0.0196755426532634,-0.435987380547417,-0.400025411339343,-0.479067053485539,-0.572823289625034,0.128084466445059,-0.459215877467081,-0.0228186202618226,-0.755020921261135,-0.488131701863854,-1.07929827825153,0.509802461726454,-0.585235361024366,-0.618580006578502,-0.387920208174881,-0.969313746262739,-0.283775208925535,-0.20220799818476,-1.13300624276854,0.605524791974156,-0.742851598947263,-0.19907018033,-0.222645591342662,0.00268056838193531,0.349679466340683,-0.388968526136295,-0.271575063680441,-0.813612850293196,-0.587480858879152,-0.206070176968475
"BURK_Li_1 (GE) - TPM",-1.04956515770105,5.87808257886806e-05,0.466268746573663,-0.0653549589100873,-0.528649353677715,0.505627639778429,0.829550642015136,-0.89654834361898,-0.135556146228903,-0.380467057764028,-0.102346238533005,-0.142007042962909,-0.182425976931751,-0.196225496919932,-0.385953295850676,-0.490446482980378,-0.168330867309034,-1.08836363818825,0.56628578423482,0.148338276148557,0.993022080081073,0.0898085702772613,-0.442032441855699,-0.272737786544499,-0.0313412037838221,-0.535108599603728,-0.432612387021238,-0.631206110265712,-0.690325699445632,-0.339492869610134,-0.309500158507505,0.552864782345031,-0.109509626050469,-0.864335547808445,0.256135915550407,0.403312749383454,1.82640411991368,-0.935710048760126,-0.4480305322611,1.86248820793715,0.562122306912216,0.897165157655748,2.06319373412261,0.661271724781496,0.204765930659508,0.335652929317136,-0.658987368563987,-0.571224656784459,0.379139325616293,-0.252045005498558,-0.115897189737733,-0.244535905194274,-0.0722215868025988,0.902172527521842,-0.383751580573422,1.1022124219769,-1.00940793690498,-0.0473476766090921,1.84619935655506,-0.073623338272399,-0.646583591805893,-0.364260533425725,0.945940116737227,0.446446313097291,0.437136528633827,0.133248487495852,-0.313754981579764,0.185776175388202,-0.547691870384396,0.610912155349819,-0.698399723500994,1.62780062584712,-0.942761972963362,-0.933444346383065,-0.760162997675094,-0.833164897983188,-0.922024145592976,-0.907298924184769,0.343177375274649,0.029861215409721,-0.326563612326836,-0.389988023441035,-1.00050480838289,-0.519498721228071,-0.330337121941756,-0.510662926984384,1.17619986635726,-0.510777054028597,1.01172950483584,0.889850347276876,-0.20270976766374,0.681999037636694,0.663389038342008,-0.169956408296941,-0.189256001204983,0.109163271416496,0.114151363613169,-0.399434282285857,-0.550160814484902,2.56774538724173,-1.29445153446314,1.41825526961287,1.52038348224876,1.80821911007851,1.39937510105387,1.25992215387768,1.74039839180999,-0.714257197346525,-1.32111990501942,-1.69404209631816,-0.328106875479978,0.205169689227162,1.06455514967879,-0.426381232243518,1.49315453364272,-0.111957862674041,-0.256218508443069,1.03148113157995,-0.557911781513394,-0.280924282379114,-0.39175195335347,-0.243087963975613,0.307692129673827,0.946509843473658,1.20887283983159,1.46119082121323,-0.417186349469855,-0.300261971333084,-0.345731315069434,0.396417128442229,-0.639751727301238,-0.209710702464548
"BURK_Li_2 (GE) - TPM",-1.04614011110712,0.0668463454921628,0.591842544950841,0.00209304519283482,-0.241863779931538,0.440637686781027,1.81377827389324,-0.151259551171125,0.212782762428027,-0.207027382562799,-0.0300880632775009,-0.23847659832013,-0.472093014005005,-0.049160222611033,-0.373459278783902,-0.431549598265585,-0.108683130237406,-1.03998637445368,0.639069341594853,-0.0130294269767496,0.897794393088506,0.482230204055118,-0.752364626347287,-0.26458125901702,0.122161466640809,-0.711347831173905,-0.526772330056287,-0.628838712970884,-0.263860820767966,-0.458572006247695,-0.308989619845854,0.582083984481102,-0.114085624200611,-0.763410467620581,1.14059490825447,0.229561990650985,1.73065718979902,-0.926266767948663,-0.319479717807607,1.70928346449156,0.843270596685323,1.07996766103687,1.71578729074027,0.396486517967366,0.222935291817678,-0.0435559548215537,-0.540879883602922,0.43504042999698,0.0842394784337775,-0.230836050255134,-0.0569364526819672,-0.273619389189995,0.334191442267636,1.60762749015846,-0.43897912338211,0.628270279858803,-0.531292093649147,-0.212440847731116,1.98545551703745,-0.19841228630847,-0.646657324381897,-0.29591441920177,0.901406050515654,0.512852739075179,1.0939784935089,0.126177436608575,-0.500493788365892,-0.0816607337947374,-0.57808654193665,1.04535111137699,-0.681281362414032,1.99089033287051,-0.900777747413,-0.884126261206437,-0.72865818508652,-0.799138066337876,-0.847461897163008,-0.719634007233903,0.426376531743233,-0.415788433163924,-0.24392726273701,-0.405306336046347,0.691221268111538,-0.495436463403966,-0.124343907937067,-0.256183413051103,0.652135168443015,-0.11013890871101,-0.0196746527535348,0.355025026857782,-0.0166394361294014,0.719739814000115,0.538459721182619,-0.154625188102524,-0.187743310656301,-0.333244165489305,0.0417219287939157,-0.239340273959407,-0.61541670692155,1.54526532364038,-0.365796429355896,1.58403062458007,0.671394370475841,2.04176714465163,1.36324814568272,0.708551319164325,1.66943571529285,-0.0295777598786221,-1.26094866231848,-1.57401071279892,-0.209293203390202,0.292156384976062,0.116056040033566,-0.491717626877271,2.02800184258147,-0.892349755579733,-0.18509910029353,0.114243351395512,-0.0245083689573245,-0.386458808736251,-0.0492814358323426,-0.241299375905075,0.22641714394858,0.995666707193613,1.44185696828609,1.79197388621231,-0.254622533818405,-0.321848392215667,-0.499534500390251,0.285810440715141,-0.642199764054324,-0.560681678525767
"BURK_Li_3 (GE) - TPM",-0.627700350839789,0.0174398892356333,0.302841677283751,-0.23364457274856,-0.601806036773871,0.205856342664919,0.512531607521984,-0.253424231694709,-0.311574471132775,-0.268025775118242,-0.180788259076587,-0.371384446048837,-0.774513884873299,-0.277846175150107,-0.182506643296637,-0.265651842400015,-0.393198457350306,-0.929069551671177,0.440391217858129,0.461918371780871,0.867666621200922,0.358020813664818,0.0481997611094331,-0.203451955152944,0.00706141267313813,-0.52069520010809,-0.544584966173692,-0.482682073703527,-0.724246800720065,-0.419693872236108,-0.355039366632674,0.500283536172071,-0.209834962134871,-0.832015923551016,0.538138147828122,0.626138892878219,1.27375750851011,-0.772396801981119,-0.382777156424218,-0.0465629324214726,0.0488103521332489,0.436363355865712,0.903941868820576,0.0130055077183382,-0.0434564629352478,0.441317850470897,-0.498973872674735,0.0652260414043699,0.0932996328748315,-0.257620913140797,-0.147326794952199,-0.214322272506138,-0.372927226847889,0.479427056651843,-0.844019325717074,0.668143029445286,-0.745995219668825,0.0276907520595986,1.20516447792261,-0.172202169236597,-0.508117824484141,-0.347339911000636,0.469722971160177,0.0334661523741716,0.910871745511987,-0.0800944385436575,-0.436389689512004,0.238825082462382,-0.560123828146813,0.510299555577147,-0.637785699011147,0.815277199980594,-0.839337570955207,-0.868197908505546,-0.680203485622127,-0.727210395812047,-0.805024623680378,-0.752220012596778,0.0346886384209376,-0.210613233405618,-0.291767358548221,-0.368347933065654,-0.849429023904992,-0.350018929855393,-0.235250208864138,-0.206485224953808,0.786318926453596,-0.60905728780789,-0.143549221940961,0.512849224248338,0.101790527395291,1.18345044663281,0.364564202035248,0.279789685507608,0.472894379426212,-0.196713462844758,-0.327490461149424,-0.315697014440731,-0.268738844410486,0.622029964874979,-0.580929254723396,1.30606709655182,0.635563484976157,1.072150201294,0.938722774910073,1.24334291112832,0.880906943309783,-0.276404540027993,-0.956484873148944,-1.74152181596243,-0.278814488568965,-0.350098256148285,0.629345668937237,-0.359386685783915,0.90724101584566,-1.01854950611641,-0.182733386436548,0.145290997915229,-0.415181683751327,0.0979417381131722,-0.946470412206853,0.0558309689822262,0.343233216781358,0.618565939678403,1.03853844074721,1.29923561376909,-0.737200411478581,-0.368815709345343,-0.321927862357392,0.202967321907156,-0.667486717135852,-0.767075036534578
"BURK_Mig_1 (GE) - TPM",0.130235501218346,-0.063129947083736,0.254740118924439,0.603547443562596,-0.473368710744886,-0.442643471959342,-0.0360824000316116,-0.163438028377187,0.403524503644926,-0.0639177023878758,-0.118407338853012,-0.699734408729249,-0.768513271921083,-0.47424771124497,-0.43454208880551,-0.0580786885808932,1.00453732183434,0.134115138247291,0.0531460038202823,-0.0769254599137771,0.424426835899074,0.567408719168568,-0.227942140295617,-0.460703924911886,-0.378215289370559,1.05016272587336,1.05623776224558,1.74770157985862,0.360275114166703,-0.615195316575137,-0.299599113305965,0.384559830620387,0.155312869045773,-0.0088319718921149,0.0600397727455564,0.137673826449664,0.186627079556769,0.35667267987417,0.398315826663601,-0.298316366223491,-0.0852212879949681,-0.0375226698790404,-0.402317633718056,1.17756317233754,0.538522141745404,1.28617957569635,-0.729547275034406,1.0459063258001,-1.0407744968959,-0.482499738041941,-0.527470062628121,-0.413440252219452,0.0302805789701244,0.0513455862323299,1.13307472039299,-0.330096093695593,-0.235810139809591,0.3117429983335,-0.649454388574535,-0.194828011031705,-0.292941121744993,-0.302223529939012,0.641037949822277,-0.57693687993493,0.319646317783242,-0.31516896302134,-0.0171573629352371,1.39505318443243,-0.563797452837473,0.146041439169832,1.17518956069539,-0.470235168594357,1.44261685191501,1.08451842112867,0.313139760328501,0.57266221507361,0.206531984599189,0.455260339914652,0.678375173435707,0.912624007479065,-0.319985100117707,-0.352617877027616,0.902642439103236,0.333663801360961,0.943211749268939,0.803538038346329,0.183690874803605,1.21682267506412,-0.0491882819178174,-0.122116303292165,0.713968697446585,0.0452428020394668,-0.202032261829145,-0.310787659617197,-0.750569124125091,0.100740192567923,0.0251467206873268,0.215941312015022,0.118775413893837,0.03055740132759,0.26444747796867,-0.289790442920419,-0.0283878469950043,-0.568534369799773,-0.262727362555801,0.109924471357642,-0.121339616589977,0.538750514916968,-0.18761499515653,-0.232002591826847,-0.22996317308739,-0.328321554865349,0.537388454741368,-0.142233808169269,-0.530883865917001,0.156636372682876,-0.43636033702309,-0.55440265590031,-0.0293582343588997,-0.51615822474501,-0.575893193883157,0.435146093063333,-0.421248207273176,-0.323739870724978,-0.222494941384803,-0.13419601954959,1.08029454345639,-0.536216523696477,-1.11948272163945,0.111175301085625,1.09547091166896,0.810483882047379
