"","CJJ81176_RS08730","CJJ81176_RS08735","CJJ81176_RS08835","CJJ81176_RS00015","CJJ81176_RS00145","CJJ81176_RS00175","CJJ81176_RS00250","CJJ81176_RS00260","CJJ81176_RS00275","CJJ81176_RS00380","CJJ81176_RS00560","CJJ81176_RS00570","CJJ81176_RS00645","CJJ81176_RS00715","CJJ81176_RS00810","CJJ81176_RS01120","CJJ81176_RS01340","CJJ81176_RS01775","CJJ81176_RS02020","CJJ81176_RS02155","CJJ81176_RS02175","CJJ81176_RS02180","CJJ81176_RS02325","CJJ81176_RS02360","CJJ81176_RS02525","CJJ81176_RS02555","CJJ81176_RS02650","CJJ81176_RS02655","CJJ81176_RS02705","CJJ81176_RS02945","CJJ81176_RS03110","CJJ81176_RS03145","CJJ81176_RS03320","CJJ81176_RS03370","CJJ81176_RS03375","CJJ81176_RS03435","CJJ81176_RS03455","CJJ81176_RS03515","CJJ81176_RS03560","CJJ81176_RS03720","CJJ81176_RS03930","CJJ81176_RS03945","CJJ81176_RS04135","CJJ81176_RS04235","CJJ81176_RS04350","CJJ81176_RS04455","CJJ81176_RS04640","CJJ81176_RS04650","CJJ81176_RS04665","CJJ81176_RS04750","CJJ81176_RS04765","CJJ81176_RS04925","CJJ81176_RS04940","CJJ81176_RS05025","CJJ81176_RS05040","CJJ81176_RS05210","CJJ81176_RS05220","CJJ81176_RS05255","CJJ81176_RS05325","CJJ81176_RS05375","CJJ81176_RS05665","CJJ81176_RS05950","CJJ81176_RS06045","CJJ81176_RS06100","CJJ81176_RS06295","CJJ81176_RS06305","CJJ81176_RS06385","CJJ81176_RS06410","CJJ81176_RS06435","CJJ81176_RS06515","CJJ81176_RS06535","CJJ81176_RS06580","CJJ81176_RS06685","CJJ81176_RS06865","CJJ81176_RS06870","CJJ81176_RS06875","CJJ81176_RS06905","CJJ81176_RS06950","CJJ81176_RS06955","CJJ81176_RS07010","CJJ81176_RS07015","CJJ81176_RS07025","CJJ81176_RS07030","CJJ81176_RS07225","CJJ81176_RS07830","CJJ81176_RS07835","CJJ81176_RS07900","CJJ81176_RS08255","CJJ81176_RS08350","CJJ81176_RS08405"
"Campy_As_1 (GE) - TPM",-0.226440109427363,-0.237451250804892,-0.351448251544896,-0.239709184340302,0.538627929585535,0.587941055481509,-0.556014569505073,-0.146515366874204,-1.12246963570796,-0.124709094017773,-0.0236187091364473,-0.0304598355728046,0.528019565389944,-0.166483054676049,0.124215056294002,-0.395618974858001,-0.0983321558643521,-0.616958128284199,0.0819489562525732,-0.143243188563644,-0.449086833417594,-0.0592501963769339,0.0799912141375171,0.55753712292472,-0.339059855721422,-0.0402496428396117,0.289768199653111,-0.150781982484055,0.521753561280121,-0.50078256099504,0.599311599934827,0.369786592575664,0.370836829013734,0.477840559586371,0.456146665018074,0.222786522403021,0.308502564995643,-0.263210109477935,0.745393707701982,-0.311143289796866,-0.229808021622586,0.0991524274726435,-0.0753000822654493,-0.224450787889725,-0.611382088161602,-0.722696891455658,0.455768614749143,0.554219839344365,-0.0229264809541105,-0.0618885657168711,-0.307744588259205,0.552606614656898,0.313164998334033,-0.596359013803827,0.230909274717163,-0.239680285028267,-0.201414811469036,-0.0962684297394984,0.479730394377923,-1.03968698650046,-0.359358056567602,0.616599832322956,0.444864927870985,0.181931890773527,-0.532178356575439,0.302650052330381,-0.258048301646391,-0.216324942655357,1.51385606461772,-0.572055231910217,0.759254615528118,-0.796738926635222,-0.127760170007932,-0.00256515587544615,-0.403875873828057,0.187966818510818,-0.152304239282511,0.117653525628105,0.430490994643647,0.187822339671065,-0.949008109064802,0.0974903166427857,0.0513867455143994,0.501612644819023,0.128739685896796,-0.0208423906034059,-0.095358369031974,-0.619948121093257,0.842414981483768,-0.969711926971334
"Campy_As_2 (GE) - TPM",0.181688084792384,0.0918885905895146,0.0501032838767468,0.0942882381800575,0.460330936152372,0.782881783004003,-0.586258681149357,-0.314460021222177,-0.995925312462858,-0.821726775723455,-0.501097592444299,-0.161941070381724,-0.197881708507242,-0.203493666404295,0.50063178615625,-0.132635298117932,-0.385015825987716,0.228937542217222,0.10584120133743,0.629363232547897,0.615268554837699,0.37402582138519,0.130373183592871,0.0881152442877934,-0.0302463126302638,-0.0513048536469189,-0.19875204898587,-0.297196335803873,0.418145085602452,-0.706628404947224,-0.354166950385564,-0.139442516506435,0.0041668130645088,0.147050469801707,0.647923672457385,-0.53075803816775,0.614308138197528,0.208634129788742,0.407594947312075,-0.625268227190303,-0.111413740444917,1.0428020814325,-0.456049662465757,-0.479246622663628,0.0764328950720813,-0.717202794250383,-0.0519772446623068,-0.244260876345712,-0.693552448705218,0.373086752288062,0.0772407597624962,-0.389772665090556,-0.334672379669418,-0.805463738561639,0.716982211530086,-0.252755043552121,-0.581813373982807,-0.164085723562516,0.709825664087009,-0.62753328349994,-0.184108964473754,1.08357100401718,-0.451455155875829,-0.583211313016626,-0.933280422500953,0.293495014804279,-0.180028048747925,-0.163041799561583,0.515617678892997,-0.740020525924852,1.53076440990719,0.157620039151881,0.626364181583998,0.283112712495071,-0.0620824839224373,-0.672651885712352,0.882122433408868,0.0487735522782123,1.09122555055118,-0.374433271509073,-0.240220185304917,0.217096541992085,-0.632197726164484,0.523111907595989,0.00328799014032297,-0.00603617498653047,-0.629055780213861,0.686535085870841,0.332461882180051,0.873529723496843
"Campy_As_3 (GE) - TPM",-0.119386892653123,-0.704521643181793,-0.41864752318026,0.237913523010922,-0.314200887876239,-0.0715631611434548,-0.729805352105887,-0.419413599208792,-0.785519630082086,0.703346064791373,0.158993129794445,0.91288823944813,-0.35320136797676,-0.508199794859,0.636364060514846,0.00413279252187004,0.194689134794433,-0.317002577945565,-0.130111354515109,0.732507283234434,0.184316021292414,-0.0228629786294541,-0.21242726445374,0.546269391895639,0.0720812992078144,-0.729106072521534,-0.361604629539099,-0.321367466604343,0.174632836369027,-1.46769254507379,0.136777675350206,1.05673207819152,-0.539770125124683,-0.383014725040164,0.506314101088781,0.109115789168589,-0.52299101492707,-0.555802261554859,-0.124155819632371,-0.424889456197826,-0.403927221884165,-0.0723776938512922,-0.378713642382165,-0.386565413635285,-0.695087713261985,0.234174431125066,0.0767867525630994,-0.00367409963823838,0.203341966923164,-0.411260759048553,1.13061761910758,0.105565232223075,0.675209706856139,-1.71794346253268,-0.403797329591958,0.161162672623018,-0.330959610309368,-0.236851824576334,0.119430952366164,0.446753279242334,0.397091153587632,0.209392244835398,-0.571117145788171,0.452756157478601,-0.468576751813251,-0.530062625087024,-0.411665973632331,-0.627388082384125,-0.0823152633584617,0.703044585822312,-0.0982721383586437,0.331210854966674,-0.180767934828774,0.279851194360449,1.3124901152176,1.28799486075005,-0.730094022024582,-0.0241817772420531,0.119208579889556,-0.427835565662211,-0.641283638392377,-0.88664169094453,-0.611143354992628,-0.516902114149296,-0.37721404675943,0.196775143347114,0.171619874789111,0.483769634740995,-0.561300149634759,-0.251136727700774
"Campy_Bs_1 (GE) - TPM",-0.674504729818551,-1.23687561205759,-0.975734055135047,0.446903761364121,0.375460697983348,-0.213813515796763,-0.0225040953446472,-0.691826927751602,-0.837171764786145,0.70151372606685,1.23540263367733,0.742399045096795,-0.39119933334381,0.381480103179535,0.310908181644588,1.44236870236024,1.10436741254314,-0.522455694349021,-0.978047337524074,0.016424878816621,-1.09576574814041,-1.03187736552806,1.16413906325918,1.5817069796809,-0.361694958006141,-0.291002117729803,0.0812250637399388,-1.11435909904967,-0.0585956244781816,0.460161732827444,0.239506466156953,0.90378022733489,-0.875680802780026,-0.992147482098315,-0.850655149222579,1.38333999547191,0.457441742114177,-0.219196753718408,-0.428623847038007,-0.998316713479836,-1.20433716331465,-0.664736746608062,0.80780108410706,-1.09829150897491,-1.07094285521633,0.0279523850273768,0.0959976139305568,0.400701148175931,0.382440812064113,-1.03627453244834,0.2251389979515,0.775361584685698,0.453640588534968,-0.342885025397989,-0.367089620821942,0.743420692224449,-0.480493873859813,1.42446895035255,1.25734463429279,0.60767641622244,0.190808199451247,-1.12965783320844,0.742025144854371,0.970591049807368,0.523345565427146,-1.02974938087161,-0.562372222182496,-0.969861005383771,-0.161002102855233,0.126478030579157,-0.559745181788504,1.57901389384605,-0.904939072000151,0.610038197134935,-0.0513215848323928,0.00626989997466275,-0.740062822827944,-0.833270975383672,-0.683195428145339,-0.427123652317825,-1.2277229868108,-0.833926075399272,-1.07376855963534,-1.06428709698631,-0.780005657940259,-0.0844206161025817,0.68015361495166,0.345445520065647,-0.776226171596899,-0.408889662245741
"Campy_Bs_2 (GE) - TPM",-0.435733580089096,-1.06012331484756,-1.25654327449592,-0.488654140227692,-0.427260656159522,-0.338260448870913,-0.433981098131578,-0.930792301573877,-0.924997718449299,0.631811618302806,1.12897723833886,1.07710140564268,-0.586827201175594,0.0399186250260428,1.67558890028368,1.19814139072843,0.614868853333477,-0.811429447240744,-0.823043267643269,-0.385574990320096,-1.61918757434776,-1.72820705089408,1.47052007289923,1.19408315730513,0.00882394728098956,-0.585344163578253,-0.276297561766298,-1.69408461913816,0.895113011841578,0.308132251072069,-0.498462465809274,1.17762781613127,-1.22967815183306,-1.33834282622698,-2.25135567739544,0.0358905992177963,0.0151702931358397,-1.15533867135014,-0.584757160899977,-1.12389933374516,-0.951829479887326,-1.08266288092623,0.865525650899248,-1.3646785986608,-1.14972418797764,0.926303764089348,-0.430084072936386,-0.090302332868956,0.426181523939194,-0.576166998014733,-0.0871800673675941,0.126081924341467,0.724379326241815,-0.904886187281547,-0.735720955495415,0.136771245882297,-0.426635948442706,2.60651945830156,0.969087138876582,1.31363082666373,0.0422292519221407,-0.91274210300594,0.468800187201507,1.57622711547298,-0.0387017226311361,-1.38969678513044,-1.32942956369105,-1.39523761018847,-0.363084844645287,1.07869460791825,-0.550871064166551,1.7189796528595,-0.0656271045251094,-0.0446899740689727,-0.335734753072412,-0.375254254655666,-1.27076857142527,-0.802267439713647,-0.878765961646963,-0.630546879449701,-0.907407963387899,-1.37344958135404,-1.34767467774251,-1.14842091305871,-1.17885848836026,-0.176348632719341,1.26807420354508,-0.0974022389888269,-1.24037473126551,-1.37745665936641
"Campy_Bs_3 (GE) - TPM",-1.03169273583027,-1.35163523780135,-1.64707394691661,0.605338346692167,-0.470543758388704,-0.799959876703288,-0.677837079439904,-1.09630361557963,-0.772301565622436,2.58715432209703,1.46604283198104,0.847286179678752,-0.587559211769811,0.203584202320645,0.666839412899613,1.48363469109235,1.15255790549134,-1.08883864454643,-0.629914247138981,0.100778508128554,-1.76596629189326,-1.49927767315764,1.5426050892744,1.17129439301101,-0.14991561117445,-0.843412169603582,-0.713025909874232,-1.51949648546019,-1.00664709756034,-0.0732754409510149,0.185020901267155,1.23648322151867,-1.36918681329181,-1.69837089706422,-1.47248684620268,1.26760587070081,1.38518749994782,-0.879298370216494,-0.760533527691245,-1.53196450543367,-0.646237572397402,-0.179456171418538,0.0585094798311062,-1.63300282293605,-1.62046901803759,1.3221023179883,0.953532324294961,1.34663118045362,0.656289503027122,-0.904530998744783,0.195109085471211,1.39847764284414,1.42165726713249,-0.46772026246101,-0.856041031898536,0.620944544152796,-0.711085220872409,2.6006731284843,1.11849828511406,2.08532043017448,-1.78999673877903,-1.5880614257403,-0.067790373813909,2.16812779099064,-0.0419453059597034,-1.37131519101898,-1.04929235063093,-0.9530589580019,-0.725190647855656,0.790071507236034,-0.584200408558959,2.59278734737022,-1.35925745596546,0.298380962281392,0.949248960192761,-0.0756315085488265,-1.22955545708083,-1.10040615939911,-1.05449438069219,-0.989879872522493,-0.456640288048192,-0.950053978549053,-1.58508089480514,-1.565016707973,-1.26695743812212,-1.33495890538448,1.65879290112221,0.109342309763552,-1.18417655986029,-0.627334934539357
"Campy_Ctrl_1 (GE) - TPM",0.883359065998813,1.89080117001045,1.63588704043353,-0.293443445799106,1.25006588177779,2.30632569241862,1.96032894597704,1.40449211503713,1.92515346521915,-1.73870601044686,-0.892905801443091,-0.971775922155234,1.86893514514962,-0.187023662486185,-0.714649514815564,-0.660377962304612,-0.662396132006387,1.46026273633106,2.06201224068219,-0.985445450030801,2.03373219300958,2.01705460400258,-0.647715576210509,-0.847125746140317,-0.968358063117625,1.36869443582053,1.29332782806073,1.99941619756206,0.807052843561131,1.62810132990426,-0.91633410596662,-1.15228097751269,1.85765259017055,1.62394211910182,0.938271291838102,-0.971028529123401,-1.00001051964721,1.1242595761369,2.66041363706419,1.0559795026423,2.4355587795345,0.36360766235856,0.669655162862744,1.84093425895539,1.5204991189225,-1.07215431300729,-0.552613366224671,-0.840581110583401,-1.09769020513557,0.802960442660946,-1.40772176351009,-0.447936069419341,-0.860130131324457,2.64104428167737,1.2100973697941,-0.514701087545818,1.18850521585356,-0.18767464589954,-1.44475945080471,-0.409568154085026,-0.0468682850685968,0.961507409081601,0.695943713903738,-1.47702179503059,-0.746601047447111,1.9060970902204,1.09056861676916,1.9830616917034,1.67920205079426,-0.9005717229126,1.66402943455004,-1.44110779901946,1.95867817867719,-0.844283492688479,-0.927514489865578,-1.47147512260429,2.37866264369471,1.53636552373879,1.62037477493413,2.10878200496134,1.20147710584426,1.92331704787836,1.82597329235823,1.6139149988811,1.97435529194832,0.525763620237212,-1.20672760225481,-0.743950617626231,1.97179225945663,1.55756438726942
"Campy_Ctrl_2 (GE) - TPM",0.821147604650206,1.36404934977594,0.891501446612234,-0.270565748541582,1.88744428684982,2.01713940840356,1.26772767463513,1.03725195660272,0.0597218516249229,-0.602962604456424,-0.233295655644727,-0.639919850055457,0.762485714688892,0.796354741822957,-1.37740614703279,-0.609889914911878,-0.729238199528687,-0.102318576395791,1.27931798653679,-0.829891484038412,0.488842968601011,0.939112122810341,-0.745698460583337,-0.590503171911216,-1.46898464505946,0.407507292738468,2.44572220684633,1.57265887947445,1.5353351116949,0.71733301029158,-0.546941038384322,-1.02889929241175,1.57891917072358,1.57447806671788,1.80210386274478,-0.427293993724481,-0.747915442457571,0.741994062032213,1.33172999714326,-0.0650885009006058,1.05743726045304,1.33536338330461,0.328662147227868,0.486890077963432,0.172425400856748,-0.72054748635149,-0.153677643512065,-0.599225476472091,-1.15845694459368,0.0921170874630909,-1.7105803264319,-0.0433809283053653,-1.01219005434553,1.02273859181473,1.45761866263081,-0.523528235338793,-0.152001232873603,-0.925337544852224,-1.18193475177839,-1.16366898358086,-0.691950461604312,0.0877325405862646,1.51879377501849,-1.11392041339197,-1.23045924218725,0.911804027245178,1.19608519957633,1.55755468727002,0.886780783064397,-0.928418029951781,1.67475796850669,-1.00775996518418,0.35635357518644,-0.995132584316778,-1.48696607587867,-1.27670775292289,-0.00231238526437545,0.32430217460809,1.63615484801696,0.605360721741527,2.23719889731804,1.5668045212445,0.605241961377219,0.868436552507913,2.15947901834227,1.81974403465648,-1.16301073163788,0.351624640140332,1.18377119783406,1.18663013231683
"Campy_Ctrl_3 (GE) - TPM",1.09506503110724,0.717876556342002,1.10641620618576,-0.542270367963905,0.922079711793785,1.31889397135461,0.0356399728258449,0.467645724872594,0.806697292508016,-0.63730196965529,-0.751556071234895,-0.401957583968495,1.37781531627104,0.566605280799125,-1.53632159323841,-0.347998892921367,-0.222596657811442,0.148693419532616,1.73778051537492,-0.763351482873885,-0.0699957477811798,0.61239553981358,-0.976521265250307,-0.879338015392376,-0.973478740930388,0.383048831339844,1.50091824188434,0.895768908418874,0.344294133994999,1.61554322918957,-0.0269398581778205,-0.4523324392929,1.11624728404548,1.02374359374578,0.429490666610369,-0.702190521850549,-1.14974907164816,0.726654993500868,1.77158212259136,0.618685588022692,0.943043615594562,2.07125874216034,0.690802431071024,0.674117294638803,0.713218873220871,-0.325722258141071,-0.323029630702921,-0.621184657482825,-0.994879430800669,-0.126990089638974,-1.31262339030428,0.00317208834059517,-0.643054902985666,1.44241459546562,0.944449484946004,-0.118302029135989,-0.171494785375383,-0.204952263587257,-1.44753288760891,-0.164233482486333,0.427993238367794,0.111868738705879,0.844625288258247,-0.507772202227467,-1.55331948815828,1.03023764227407,0.214108013103422,1.88234362688159,-0.482849708013476,-0.452136757942501,0.916421481105739,-1.19357144471152,0.881049675788321,-0.223775348980961,-0.438131234036216,0.559957137871039,0.0931516783658357,0.813552635335001,1.5199878399215,0.877617673950453,1.25026613850095,1.63845006185385,0.890723914849509,0.663338502270245,2.00102597329439,1.8078692167647,-1.02464812789482,-0.695030471128229,0.423667195679717,0.937984033903346
"Campy_Li_1 (GE) - TPM",2.26661747992373,2.43108259482087,2.30511409153889,-1.98268758160388,1.63559281019343,1.20289900884202,1.52465715168467,2.29952650968987,1.50545439215321,-1.05552835735121,-2.09374655314857,-2.05818925194826,2.26775494223737,-2.74293993609593,-2.08395732713469,-2.41291333665302,-1.71601169109501,1.33672494708469,2.07704628435825,-2.19761144780437,0.374792550880008,1.43240577322325,-1.53459930078198,-2.0101533869973,-1.1964451068896,3.03226572879786,2.53737742752041,0.656914358767918,2.77016623214053,0.907932791176547,-1.91600390886347,-1.54541004069756,2.20929575878068,2.70830205713751,1.48178358744773,-1.69047947850495,-1.78275975321464,2.07656556936109,0.364008070996876,1.16896365277434,2.91717685338666,0.751646366831341,2.60826511449131,1.89073879901855,1.3990357545936,-1.99986162374345,-0.902581653367218,-1.41932591513093,-2.39506709973864,3.25371909879729,-2.30213176284018,-1.10054283985083,-2.09248115002525,1.64146163127083,2.2314785474748,-2.06547160145957,1.92650325771467,-1.20313694777185,-2.07853523135968,-1.60936534813186,0.872341005496126,2.21314547447838,2.33557809669146,-2.15348704508817,-1.20791441601227,2.33436147326456,1.76063933872141,2.59327212191165,0.924195172476575,-1.34529341308456,1.75905357345164,-0.88038714844349,1.0148631892914,-1.52747420705528,-1.97429641524478,-1.52905721005011,0.58911630009516,2.50437130858637,1.98012556794605,2.49111505967133,0.0745439267304857,1.34810479449537,0.673978174660718,1.7028272030478,2.04389288024356,1.2826212157979,-2.64588343200375,-1.78442942809159,1.28138850941815,1.67657710898801
