"","CJJ81176_RS00115","CJJ81176_RS00135","CJJ81176_RS00910","CJJ81176_RS00915","CJJ81176_RS01040","CJJ81176_RS01600","CJJ81176_RS01890","CJJ81176_RS02145","CJJ81176_RS02165","CJJ81176_RS02835","CJJ81176_RS02885","CJJ81176_RS03130","CJJ81176_RS08975","CJJ81176_RS05095","CJJ81176_RS06665","CJJ81176_RS06670","CJJ81176_RS06825","CJJ81176_RS07275","CJJ81176_RS07400","CJJ81176_RS07590","CJJ81176_RS07720","CJJ81176_RS07725","CJJ81176_RS07730","CJJ81176_RS07815","CJJ81176_RS07965"
"Campy_As_1 (GE) - TPM",0.849554571817279,1.24412615599175,-0.827697796958478,-0.660949216514842,-0.391039998496295,0.853411002017184,-1.22306676161277,-0.432517024541893,-1.00236939433188,0.0032325462642362,-0.853713160323101,-0.357276169065358,-0.791652807778216,0.878851288327686,-0.733566187106462,-0.489806251189822,0.641305123112531,-0.122265475138276,-0.0363069491222097,-0.648750041518863,-0.584392291160276,-0.507539070575354,-0.742964059152001,-0.98116226972394,-0.88622400240394
"Campy_As_2 (GE) - TPM",-0.0809297139143203,0.123918554388199,-0.846542074273688,-0.787994968311297,0.469713326461257,0.942963354555651,0.116346561606161,-0.563359197782459,-0.931766323348861,0.287076369517187,-0.702871223127014,-0.383855536909847,-0.900094729369712,0.710601746866263,-0.520938043316321,-0.502768441918331,0.829002870851701,-0.205008499436748,-0.0988926753106953,-0.667008426193808,-0.620050543205146,-0.507098999135958,-0.537704142360719,-0.741791672842353,-0.809754749742146
"Campy_As_3 (GE) - TPM",-0.200053545997838,-0.0670219413445775,0.461809492170538,0.290323502686824,0.567149030840729,-1.48692251010031,-0.799484807983427,-0.795570961388609,-0.388167112334875,-0.206962044002124,-0.499478420170389,-0.990362446553094,-0.821310091870441,-0.0407660895260053,-0.363108448013209,-0.428881218442282,0.224220114250886,0.42371846695967,0.156068681992047,-0.66293086777432,-0.220846882049485,-0.324797117649352,-0.0861889580673396,-0.683111969295582,-0.386954778780145
"Campy_Bs_1 (GE) - TPM",-0.0143171772371129,0.669691648803346,0.328946372487063,-0.838989975908776,-0.39729042581066,0.882588835745158,0.559254357227875,-0.297628543614971,-0.121070528585651,0.00505204045847732,-0.176133542464616,0.110992935231322,-0.927425581680494,1.12191748505018,-0.446265820838952,-0.46733812951573,0.506431240948626,-0.659803208654017,-0.494574643216055,-0.761877111053936,-0.411481616549636,-0.483665193932502,0.0908165784120368,0.0526843967553018,-0.115176612844364
"Campy_Bs_2 (GE) - TPM",-0.367216742661058,1.24058126041539,-0.016457171938219,-0.454336909083549,-1.49489897423034,-0.438894737812874,-0.063516493453763,0.902124411845132,-0.326159772475257,-0.150341209407711,-0.304616759517484,-0.0476576731903072,-1.0218395418245,0.857606185009339,-0.550964710200589,-0.597719297612006,-0.31709558244149,-0.436793324693232,0.442183407555507,-0.52650020822891,-0.710048708077478,-0.590390091564444,-0.103112410941473,0.233906591131136,-0.275846403733375
"Campy_Bs_3 (GE) - TPM",-0.468020032781847,1.23554007977175,0.586925395298273,1.9862336930206,-0.918170948915126,-0.258882363003757,0.525251021035236,-0.407075406499247,0.030149994594141,-0.198520284606164,-0.641652245276723,0.0911845577162299,-0.859302499661867,0.322368558171323,-0.441101907470023,-0.379518036561074,0.810499903230025,-0.629905092829837,0.0906866182467263,0.0551641666889709,-0.361680111823416,-0.569442582046562,0.149024574786285,1.04653813145989,0.390789910120892
"Campy_Ctrl_1 (GE) - TPM",-0.164416051792636,1.26671372839201,-0.911740827846246,-0.717692299442608,0.0768603063308044,0.967221758112218,0.490820645205125,-0.0719315807990301,-0.664974356508917,0.827436363393295,-0.478952977512073,1.76625965880455,-0.412800189090158,0.016247456829354,-0.535380392864887,-0.489227825407155,0.434072769650758,-1.13105516956795,-0.893757534054122,0.147006178856877,-0.62616118219042,-0.498790973507367,-0.425727667211289,-0.472565935477212,-0.360056208833875
"Campy_Ctrl_2 (GE) - TPM",0.114478712150226,0.659659957611576,-0.777914451695985,0.0570078866503969,0.0318386709804809,1.54253207838278,-0.758043835182616,-0.589675026623928,-0.612826187849506,2.56466459469906,-0.734754573891408,1.1632765612206,-0.520813031120605,0.512115221876297,-0.699048938551197,-0.518638481514667,0.0791493767888575,-0.990722432043425,-0.212168803580707,-0.616879455393979,-0.585860507516858,-0.525560503830803,-0.74320773252784,-0.58183614327311,-0.142338588923449
"Campy_Ctrl_3 (GE) - TPM",0.229887293344209,0.648484597806722,-0.129574398464097,-0.724374502849101,-0.438499923878803,-0.0943505090647285,-0.41033337592784,-0.262856866730269,-0.496073974661147,1.01433419241473,-0.405761173173147,1.53014787651763,-0.222977374994375,0.915849424267782,-0.457707074683952,-0.50628307026371,1.63683465623095,-0.442754351416036,-0.341557238286548,-0.130825227717148,-0.279988587541742,-0.430719923612763,-0.583010551165002,-0.247736345653938,0.0281669014539734
"Campy_Li_1 (GE) - TPM",-2.40305389333679,-1.47503567178256,2.00474116039279,2.57903266678883,-1.65849606757525,-0.656216247344792,1.67899461004285,2.48655072767088,2.05060683049649,-1.51893424884302,3.01822250130575,-1.92741003307755,3.16442234425935,-1.89527286459576,2.43449270890331,3.37202558489857,-1.60602239423315,1.59197025266796,1.49080034452865,3.27860124960528,2.93658351988436,3.06601742467327,0.504854719886612,3.27172588917669,2.69643434913992
