"","CJJ81176_RS00055","CJJ81176_RS00765","CJJ81176_RS00770","CJJ81176_RS01145","CJJ81176_RS01255","CJJ81176_RS01315","CJJ81176_RS01605","CJJ81176_RS01830","CJJ81176_RS03035","CJJ81176_RS03460","CJJ81176_RS03465","CJJ81176_RS03500","CJJ81176_RS04175","CJJ81176_RS04375","CJJ81176_RS04775","CJJ81176_RS04825","CJJ81176_RS04855","CJJ81176_RS05000","CJJ81176_RS05710","CJJ81176_RS05745","CJJ81176_RS05865","CJJ81176_RS05900","CJJ81176_RS06205","CJJ81176_RS06675","CJJ81176_RS06680","CJJ81176_RS07470","CJJ81176_RS07495","CJJ81176_RS08060","CJJ81176_RS08340","CJJ81176_RS08435","CJJ81176_RS08455"
"Campy_As_1 (GE) - TPM",-0.869651456864612,-1.01067481350362,-0.818418479637245,-0.259548264805281,-0.281847846493517,-0.109734551150721,-0.712280396369662,-0.799072776448963,-1.50901918004898,-0.812378184266578,-0.436139021595937,-0.165540903836127,-0.826071884610416,-1.07653335494995,0.348908569736815,-0.436440476595408,-0.298136008437012,-0.57846753294926,0.642073740504753,-0.680640530454441,-1.15383663964471,-1.10432614289364,0.256234542622445,-0.533408705701302,-1.19096861237996,0.352570239592266,0.857738643008843,0.027126132518059,-0.254697166033079,-0.430418734530835,-0.908134635529387
"Campy_As_2 (GE) - TPM",0.410724928713071,-1.06580684971511,-0.67586486164909,-0.265918667123161,0.605281648328744,-0.360951963467695,-0.596168031972698,-0.700915022780677,-1.81179170274166,-0.601873848450722,-0.581238605697734,-0.0471202811641605,0.392606401720689,0.0629719277879244,-0.139342714197659,-0.952189707118083,-0.983262965277913,0.297246088890649,-0.102729194228408,-0.450067924070469,-0.448377399499503,-0.233110394845441,-0.516444302194002,-0.525327196542681,-0.959116997857896,0.747275791466206,0.459649944435797,-0.186655155697292,-0.433508891685824,-0.0995195711771534,-0.601809387743515
"Campy_As_3 (GE) - TPM",0.165110437915097,-0.769257966063985,-0.0575483391556111,-0.0290944768001279,0.0504130285591423,0.093314786629256,-0.514937435229739,-0.302877326641486,-0.622968665997205,-0.529581989822666,-0.480135901512198,-0.103792454825862,-0.503922639435645,0.533116440977739,0.280380273472422,-0.414068457317098,-1.01883996101488,-0.300840379945052,0.710404777031384,-0.4922846662376,-0.5529015847594,-1.12530780480471,-0.0939712238879473,-0.531054509668333,-0.964935281584696,0.454070806622752,0.647918025865309,-0.239761282031118,0.12824612043275,-0.420326661626603,-0.941994213321294
"Campy_Bs_1 (GE) - TPM",-0.685055253614726,-0.301744263324937,-0.920004875563978,0.149616229672152,0.376237726345277,-1.11396049806346,-0.221989891224603,0.184871815079323,0.149022913730259,-0.309566965677772,0.15431575991768,-0.346565628585039,0.287219665381374,-0.285566804253966,-1.49212312483083,0.39305781349155,0.649879578608007,-1.11700004443627,-0.261733517312893,-0.373621778090441,0.0689039825880271,0.532113987373373,-0.393443075904882,-0.498738802222679,-0.821518480430647,0.0595156505439818,0.26288421534506,-0.746026012552193,-1.1459685076711,-0.21862446652413,0.55066170726226
"Campy_Bs_2 (GE) - TPM",-0.407233031472555,-0.178894238275155,-0.234374982330595,0.0697202960340073,0.198944566896336,-1.61269346920332,0.190087695995747,0.21478915286541,-0.142941414098207,-0.0143773090512783,0.257345457043279,-0.123770170997194,0.204224794549951,-0.85103276435138,-1.41497047599546,-0.344312081300018,0.605076799032273,-1.39142083220115,-1.08003448873215,-0.496334753667252,-0.209717637986054,-0.517683998214799,-0.836803259238584,-0.408397921148183,-0.0291017494522836,-0.414827769876356,-1.70240789597401,-1.04140284167473,-1.41127069891752,-0.847034127840371,0.827086774581076
"Campy_Bs_3 (GE) - TPM",-0.587734844179705,-0.141987491458182,-0.19403997033648,0.220693828769999,0.795397338338489,-0.486920953246932,-0.171613160298771,0.498984943741936,0.253865963300946,0.0144726730369093,0.186739802719615,-0.319529474077255,0.338560754665805,0.327085513388101,-2.52458120518071,-0.142066656223579,0.0535084563045283,-1.13914773256325,-0.794283473062261,-0.0501917756633505,0.0350411397792102,0.379995953522165,-0.79993840969153,-0.437561775726333,-0.790160468668428,0.781169506263987,-0.441861830546647,-1.8076311890416,-1.83518219497842,-0.841536657919379,-0.190246705328654
"Campy_Ctrl_1 (GE) - TPM",1.11225809828215,-0.800676548177756,-0.186277270111485,-0.885676772419595,-0.356112825574803,0.218295060561463,-0.651079852471848,-0.92681613836154,-0.784423458304338,-0.700408383081656,-0.556254212150804,-0.746890763758371,0.410266033962279,-0.867868054979361,-0.565224407128346,-1.04617457455386,1.20686797308062,0.00411318263930957,-0.771515265193109,-0.460259708569173,0.924615303756427,-0.225021298114856,-1.00702569053499,-0.519572544837128,-0.389973873953262,-0.564514411993687,-0.294591021672393,-1.08769193773641,-0.0265108996461807,0.669507981926808,0.391613081416769
"Campy_Ctrl_2 (GE) - TPM",-0.62335802815196,-0.402413468530967,-1.03529989177431,-0.675019013207493,-0.760230781504366,1.21656134900672,-0.311011746115672,-0.786538282900023,-1.14658396201461,-0.917425164023236,-0.278607391177023,-1.44210744583954,-1.61800895655733,-1.2998627846625,0.308488865971717,-0.244143102199394,0.194563796881909,-0.871954662783347,0.207717386539777,-0.454743093669298,-0.272292175087513,-0.86077139516936,0.540628824250031,-0.528835163306764,-0.0673117004434771,-0.899605336963289,0.695070118023304,-1.01776914071876,-1.73590886832372,-0.258509471586219,-0.325932259971877
"Campy_Ctrl_3 (GE) - TPM",0.338261762288991,-0.297168404921053,-0.790545321585384,-0.862067437301712,0.767693052783286,0.270118349704992,-0.384362910169855,-0.657408350440776,-0.81815820384606,-0.648335175972708,-0.252627585899645,-0.390612012120702,-0.0218509620226584,-0.615018330922351,0.0635100152016092,-0.368393802603975,1.60280596664832,-0.654453107948472,0.508453213488001,-0.462963035151163,0.345858569292823,-0.504314251532278,0.507071768207286,-0.473513945851857,-0.48283558285602,-0.46954283748977,1.03975660888596,-0.0929625311362784,-0.326529161367036,-0.125534696170983,-0.284628301043096
"Campy_Li_1 (GE) - TPM",0.898592899322321,2.68146253077765,0.245444980499262,0.128260431634397,-1.90833407875098,0.711702382128341,0.863363853739894,2.62648865304109,0.715522425619527,2.41284831176224,1.23816530673419,1.09229547201454,0.739620441966666,2.01130313897943,0.220475967752837,3.02952967334822,0.00873814370880267,1.18998609279353,0.45397106659621,1.22768120734207,0.688382139359318,1.84788033612675,2.99071782276267,2.68677055078257,1.93885091398233,-0.996969765751897,-0.751133666045115,0.976190657310613,-1.1454379896598,0.844557934517688,3.27095054367183
