"","CJJ81176_RS00025","CJJ81176_RS00075","CJJ81176_RS00085","CJJ81176_RS00105","CJJ81176_RS00195","CJJ81176_RS08895","CJJ81176_RS00405","CJJ81176_RS00410","CJJ81176_RS00415","CJJ81176_RS00420","CJJ81176_RS00880","CJJ81176_RS01025","CJJ81176_RS01160","CJJ81176_RS01165","CJJ81176_RS01350","CJJ81176_RS01420","CJJ81176_RS01425","CJJ81176_RS01685","CJJ81176_RS01800","CJJ81176_RS01875","CJJ81176_RS01895","CJJ81176_RS02045","CJJ81176_RS02050","CJJ81176_RS02055","CJJ81176_RS02570","CJJ81176_RS02675","CJJ81176_RS02680","CJJ81176_RS02710","CJJ81176_RS03075","CJJ81176_RS03180","CJJ81176_RS03185","CJJ81176_RS03325","CJJ81176_RS03330","CJJ81176_RS03510","CJJ81176_RS03670","CJJ81176_RS03715","CJJ81176_RS04015","CJJ81176_RS04390","CJJ81176_RS04400","CJJ81176_RS04405","CJJ81176_RS04410","CJJ81176_RS04415","CJJ81176_RS05200","CJJ81176_RS05675","CJJ81176_RS05680","CJJ81176_RS05760","CJJ81176_RS05790","CJJ81176_RS05830","CJJ81176_RS05835","CJJ81176_RS06275","CJJ81176_RS06280","CJJ81176_RS07085","CJJ81176_RS07205","CJJ81176_RS07210","CJJ81176_RS07340","CJJ81176_RS07345","CJJ81176_RS07365","CJJ81176_RS07695","CJJ81176_RS07700","CJJ81176_RS07750","CJJ81176_RS07795","CJJ81176_RS07800","CJJ81176_RS08090","CJJ81176_RS08130"
"Campy_As_1 (GE) - TPM",-0.118313126509246,-0.447110044404561,1.07470237491249,-0.666881300493407,-0.555666657200767,-0.696955892111036,0.00409870254248514,-0.446616116115001,0.0866833593553317,-0.814344787613847,-0.725949569059214,-0.851820986779117,-0.342408754600749,-0.847753653105785,-0.286649846180968,0.629603526661117,0.0953461363021295,-0.283037827112113,-0.764953761431798,0.068990323351091,-0.752471981792439,-0.732310829257544,-0.737610677237123,-0.299700907959399,-0.297406142319345,-1.07146578984833,-0.886301299981795,-0.874630077023522,-0.296013867153834,-0.323982165819907,-0.565319358564989,-0.667485807913783,0.0868530008083826,0.520383018943351,-0.615934863590495,-0.502046358354603,-0.302363853672604,-0.465813210231984,-0.515922879967841,-0.594389132085628,-0.667087067528042,-0.780843770525284,1.38957279040856,-0.25495041756101,0.70314434221357,1.25217648209249,-0.526908217066469,-0.626492037414461,-0.93469685555154,-0.538348061004891,-0.444478234045419,-0.50460248257105,-0.298806126804077,-0.49705230996198,-0.154626969444157,-0.555670141222783,-0.637132267016679,-0.334072577342389,0.00290988538250505,-0.779264842695449,-0.378043725664519,-0.202348704585721,-0.441611345315,1.50628083927917
"Campy_As_2 (GE) - TPM",-0.978040660095935,-0.111762655938204,0.502570434923486,-0.844887206183072,-0.589213756469732,-0.690942451951366,-0.572460972470728,-0.253771698984837,-0.149145399182013,-0.950690647351403,-0.369143500822005,-0.836700209432136,-0.536769986459293,-0.791309020473882,0.782106280930091,-0.255567855245608,0.213532592437162,0.681251880739547,-0.372764373861286,0.0916727287403158,-0.565122796209177,-0.76157173445678,-0.598712036618956,0.285376683415947,-0.227220943279055,-0.963840384384993,-0.881637204352553,-0.696207148488292,-0.736273024232289,-0.858572626443596,-0.578897493084658,-0.0401017525337306,-0.0738108235279305,-0.648614576498655,-0.599229956953633,-0.467792837910085,-0.652928601606138,-0.513885113919992,-0.446498740460438,-0.465818669990711,-0.489813578643555,-0.767722169973041,0.746074330557699,0.0959505139896102,0.607252216875634,0.328091914849125,-0.409999129518779,-0.588818960173422,-0.642786308634515,-0.339128391517934,-0.422327579703978,-0.862355702715301,-0.349985005628641,-0.507936943109714,0.102889431603296,-0.525169763000537,-0.420694156995288,-0.556262721158237,-0.035715371597702,-0.664410351491545,0.0960697154250806,-0.580373720601617,-0.487023728085806,1.20625797441133
"Campy_As_3 (GE) - TPM",-0.507549708754776,-0.419528553099093,0.0193120184224647,-0.568649865211387,-0.443272116434631,-0.608572064139285,-0.153747687334019,0.248674720087408,0.164244100853267,-0.372428912860916,0.958052327030191,-0.576627517375876,-0.284062492927702,-0.463004383060004,-0.0181645259761168,-0.660899428727787,0.765484161985737,0.83110136215576,-0.234471887281038,-1.1128399373987,-0.103557794098648,-0.424184403734882,-0.0617699909236217,-0.696602959384232,0.31657889306333,-1.01179510639786,-0.747066044780487,-0.366994273859528,-0.455212628450312,-0.225742649768556,-0.503019420011763,-0.199425207720846,0.157880858996786,-0.563965729071715,-0.0758579310183437,-0.596381945710706,-0.492830720086648,-0.262740722152638,-0.273018071575748,-0.210622342590411,-0.148388108744144,-0.609055410529837,0.774748253985235,-0.110516442601893,-0.419327720414644,0.368322037055069,-0.553261035259172,-0.828891592265484,-0.513873708123414,-0.240136985256723,-0.668907959381641,-0.0702195801925897,-0.186810120432038,-0.30101637984404,-0.335761715348593,-0.435616053937592,-0.270100832809379,0.0655906152309061,-0.209734524859668,-0.407727400059518,-0.234859396821462,-0.178311336104952,-0.308837502036524,0.0245766453026373
"Campy_Bs_1 (GE) - TPM",-1.1404722085237,-1.0116456284964,1.28479226092537,-0.548224024926,-0.559403639182618,0.222391423794312,-0.997563222183451,-1.67760902835519,-2.00549203378411,-1.15320466762609,-1.11112724751039,-1.11388687257971,-1.42500476680498,-1.28764412385725,-0.0585943075000615,-0.343525213756149,-0.875631624975045,-0.787357141392315,-1.05619058962781,-1.63701896631312,-1.32236251113017,-0.529146246712994,-0.76920301225447,-0.627966041042199,-1.43889016368608,-1.44495941797749,-1.52511034328784,-1.13816316276879,-1.13014425215558,-0.732156477930331,-0.460235822688385,-1.32061756252037,-1.15284510034095,-0.911526057290571,-1.30137169866603,-0.58077124831515,-1.45798624663677,-0.574849576518806,-0.416487899653265,-0.826904738724716,-1.10896785279026,-0.520994643927471,1.38792513748593,0.626129530024093,0.620356062453428,1.42667892270295,-1.10375109222317,-1.06934576537364,-0.549344063351281,-0.924407668928669,-0.739128658265058,-0.838908512033742,-0.753078249392056,-0.614875879939021,-0.301985195366314,-0.621989208752987,-0.897790940632698,-1.90090722725067,-0.985125297765313,-0.8246305804238,-0.952678826771045,-1.11161053437872,-1.37738459945917,-0.153171308775618
"Campy_Bs_2 (GE) - TPM",-1.82294562192055,-1.52336593942113,2.87011364901365,-0.721901181368462,-0.628446150674272,0.455718748640758,-1.2498235344995,-1.84218742777996,-2.00003278242469,-1.43442294669869,-0.80438458159784,-1.31669574173892,-1.66134642456863,-1.38324397502054,-0.558646778507064,0.31964451540538,0.165210365738053,-1.12245130893264,-1.8825183783946,-2.12957354682881,-1.22181986539198,-0.771569059077603,-1.03421010486449,-1.16529595877229,-2.49488897766754,-1.42010491086474,-1.53089643624089,-1.57640423244787,-0.827574253146213,-1.03542338100652,-0.525306770684854,-1.9119056454003,-2.0545450393539,-1.30065281039875,-1.45641753047443,-0.625625495315878,-1.96974410924266,-0.730392839775012,-0.630299775929231,-1.15130142954223,-1.09958320179768,-0.595489468632418,2.03045250119014,1.5605068454709,1.49112060935185,1.5402581185793,-1.28820663097045,-0.851230384202952,-0.200577056174337,-0.869096759019926,-1.08561279435823,-0.908945448519076,-0.986890740525662,-0.71223793412331,-0.631210355094761,-0.685573222070063,-0.790503501053681,-2.29724138835657,-1.3155547370792,-1.03960985034917,-1.19837626947739,-1.32138972422333,-1.83833463448942,0.488724512625197
"Campy_Bs_3 (GE) - TPM",-1.49542030793074,0.281105897652996,1.78797965991964,-0.728500869929632,-0.570072577868712,-1.1012060331221,-1.20221809493691,-1.72583840348449,-2.07360096759088,-1.51951620109825,-0.34158630155577,-1.17470675400364,-1.43192869082318,-1.21366435737507,-0.462885215147458,-1.53968999859066,-1.05854159292771,-1.30328118062239,-0.370673617236774,-1.47672680371773,-0.910942111973241,-0.861163984048884,-0.827233677990946,-1.22132161690813,-2.33605929441675,-1.35119369789156,-1.91645435866931,-1.08560618336789,-0.838248062938637,-0.955772215397568,-0.48719611215629,-1.73461259846366,-1.91431426997981,1.00508469357065,-1.47668544462286,-0.895364731267684,-1.79446927725289,-0.694250597881663,-0.433695608623715,-0.89080876689813,-1.20118698635883,-0.429187013368906,-0.615687241061611,1.09170627526899,1.19565246628943,1.57489414098688,-1.48595020980592,-0.907621292085588,-0.336509234183872,-0.518739962563512,-1.02542429469224,-0.127752922149094,-0.94456276478882,-0.627595490734384,-0.439465135331583,-0.705272607992762,-0.965229044250569,-2.24324584766812,-0.636827506649748,-0.89241909182021,-1.39093397676629,-1.16254273996444,-1.60233831372776,-0.470625782559806
"Campy_Ctrl_1 (GE) - TPM",0.0663556827909278,1.17180786712432,-0.115394114069223,0.519448637691752,-0.169481619042367,1.21613993343668,-0.250440029350928,-0.050372626775884,0.383164190237479,0.504592142268177,-2.37077517430656,-0.731164532172694,-0.94790287050276,-1.292528335863,-0.710471329106245,1.16966772528585,0.553997441648953,-0.0271116938761429,0.626030142309028,0.419910172394909,-0.209128050072211,-0.711591647270515,-0.40942708303496,0.482479386366824,-0.179686872229799,0.228305589361473,0.287084235832483,-0.677442702381055,0.162871637675206,-0.351383786922194,-0.0586318939623699,0.326115878888738,-0.113224144117137,-0.175103015918408,-0.645178403843872,1.60275960476167,0.0522442012428654,-0.404015790880342,-0.358740590305983,-0.410900119162465,-0.471745901778227,0.113245356119795,-0.632856295017533,-0.125164152002833,-0.170395367500353,-0.581707818351929,1.0315966251287,-0.0809606762372591,-0.755623709220941,-0.452432700975199,-0.233696943505923,-0.550828939909612,-0.495436563352229,-0.367143098936339,0.314054468014951,-0.312925861700262,-0.291517119657021,-0.348665121977898,-0.290915838192344,0.118054959815604,0.109388210439124,-0.288370258978813,0.358302843993541,-0.0482789038064671
"Campy_Ctrl_2 (GE) - TPM",-0.125850287283958,0.404582111985956,-0.0844659524408553,-0.302023132418213,-0.269872208763249,-1.30101737553761,0.0459900734775528,-0.402171552062425,0.315633455866686,-0.175455165255539,-0.995823486712803,-0.811394019210345,-0.403817704036503,-1.35862146352899,-0.576983948440299,1.7466339650679,-0.282074220985336,0.780178866378308,-0.0859322745050189,1.51278182517735,-0.708505708016977,-0.518308798673869,-0.554807508873786,1.49792599935156,-0.192559608803578,-0.195910169425985,-0.44954070956218,-0.900438318781369,0.51003832318994,-0.717812120372716,-0.254387358422813,-0.248273751359371,0.164900601423373,0.251520807870549,-0.683033717209608,0.362859907892656,0.10924029527162,-0.514173069548969,-0.780338847911013,-0.446696509239178,-0.593953485123422,-0.253212591378621,-1.27784119469645,1.18446857310955,-0.119871729254168,0.2050506670293,0.393054685903308,-0.184997323785191,-0.993364463255179,-0.245118644063857,-0.555956437020783,-0.97987321842329,-0.484127709460154,-0.480040725274859,0.358204974244846,-0.376148806160522,-0.192492107369472,-0.808376594112958,-0.621314378552895,-0.348257413871397,-0.152514942115361,-1.22961751251838,0.473198973253306,0.046632906542981
"Campy_Ctrl_3 (GE) - TPM",0.141050027202774,1.0819053120415,-0.655073580962227,-0.0475026353947261,-0.0118795299586559,-0.164109035230693,-0.0285884829649781,0.181894040428654,0.115026216160822,0.300964495196742,0.187049217859243,-0.607062870775648,-0.151707225387112,-0.67084992647216,-0.178296683251488,0.00051338601519039,0.838258585535901,-0.0519597449542824,0.12240868567025,0.664914743353592,-0.309667475681446,-0.439605098467805,-0.254534325536785,0.534109492023687,0.129219751719066,0.08962326991393,-0.314731839499749,-0.221281724023475,0.0554698132743206,-0.394977368669669,-0.145048751544524,0.0961446724642478,0.210702681373264,0.0331933012292316,-0.540394442981334,0.373561028296593,0.157738788932131,-0.307727158814907,-0.355326026759269,-0.100094623696798,-0.332555563299759,-0.010353511892099,-0.6083999048381,-0.188085716651938,-0.692857803554396,-0.303359222442801,0.455681905826569,0.0145151245993454,-0.533516331120783,-0.15924370674028,-0.171382436967154,-0.83123818165269,-0.195083575039463,-0.252223673162348,0.333158960996469,-0.190861853188199,0.0411157642507896,-0.639276271233711,-0.60646078191881,-0.23761752189846,-0.0970025713683974,-0.833376013802863,0.684374537446404,-0.617587172426165
"Campy_Li_1 (GE) - TPM",1.10423598339319,1.21040253313096,-0.249362559316224,0.663259613398261,-0.342328751441617,-0.734156089979695,-0.92682358292526,-0.868169985778809,-0.386287452150578,0.107312906187073,0.0806505374333436,0.584913264035438,-0.571685230001852,0.747244544566531,-1.74818846797731,-0.499891182450251,0.356222238831427,0.494765432679252,-0.595297790376397,0.143123222384954,-0.229471232772033,-0.706994709489048,-0.463862767100743,0.835753983264975,0.222548716279201,1.39318855620834,-0.0808174717869351,1.91759081227362,-0.832547105529417,0.250233220114225,0.18615359958068,0.722420496172707,-0.630754613483099,-0.46589027804289,0.650740690652341,-0.22051446074046,0.0423926159460789,-0.622809743543453,-0.899401077027964,-0.640336925854902,-0.350239920291619,-0.332257749746713,-1.13332631309736,0.198800409290671,-0.94085433593213,-1.0819986022566,0.589004245244209,-0.0192633864272098,-0.797011862006057,-1.29147514336233,-0.224434837806907,-1.03737871836329,-0.653431129915748,-0.390895805446978,0.696876275986372,-0.0236993489238727,-0.058579247740283,-1.53928721517459,-0.791179645244054,0.380342462232486,-0.660297115982552,-0.478871358339941,1.65424198381974,-0.276259535408891
