"","CJJ81176_RS08805","CJJ81176_RS00370","CJJ81176_RS00490","CJJ81176_RS00495","CJJ81176_RS01400","CJJ81176_RS01940","CJJ81176_RS01955","CJJ81176_RS02200","CJJ81176_RS02520","CJJ81176_RS02580","CJJ81176_RS03755","CJJ81176_RS03890","CJJ81176_RS04465","CJJ81176_RS04635","CJJ81176_RS04840","CJJ81176_RS04920","CJJ81176_RS04945","CJJ81176_RS04950","CJJ81176_RS05060","CJJ81176_RS05685","CJJ81176_RS05690","CJJ81176_RS06230","CJJ81176_RS06390","CJJ81176_RS06480","CJJ81176_RS06660","CJJ81176_RS07360","CJJ81176_RS07740","CJJ81176_RS07870","CJJ81176_RS07970","CJJ81176_RS08055","CJJ81176_RS08070","CJJ81176_RS08315"
"Campy_As_1 (GE) - TPM",-0.903868803621791,-0.455645326340937,-0.0770266706156463,-0.221146001594595,0.431690718135462,-0.112950790889846,0.544306247673422,0.168947252270792,-0.0479787125449481,-0.324223914307988,-0.591795559907339,0.0520206579545833,0.175028149395944,0.332938159369215,-0.838799475988621,0.232309322931039,0.13933075763859,0.106567384212135,-0.457565436617912,0.382424959621906,0.642334301398899,0.118444657890349,-0.538474264323648,0.449951870613041,-0.135744864839041,-0.230834928652016,-0.362671413909911,0.118095283901214,-0.206312349574177,-0.675101139497642,-0.603837023542986,-0.594681516009489
"Campy_As_2 (GE) - TPM",-0.173855051818699,0.624914693901932,-0.165573292640183,-0.0318551565898882,0.343100386276329,0.25713850961004,-0.307813396291907,0.0744385329491614,0.168391279165926,0.382529925431497,-1.03392306378653,1.13538014157533,0.508111540130223,0.624698281949546,0.603756421514541,0.531996761470658,0.192497729239074,0.0785663312983784,0.536212688396487,0.432211627694835,0.45532896631851,0.772554274282472,0.49574778940362,-0.638590704362165,-0.699764849886786,-0.211612292426446,-0.414343388422298,0.534486287874207,0.166882566268672,0.568880443857023,-0.213912428635773,-0.740857823542768
"Campy_As_3 (GE) - TPM",-0.61688278191843,-0.744704151642848,0.310392242071363,0.789194461419021,0.865480910305992,1.05020780063023,0.384537347291412,0.658793442248133,1.14193017254263,0.836998971049318,-0.6587176870256,0.242428735628356,1.36743449945144,-0.732000570076295,1.19287858792945,0.466265003953203,0.857984577871583,0.52163772789121,0.832256773719967,1.38507199008288,0.523525499316815,1.17641697499314,-0.445932175610469,-1.83918049616072,0.413526430421253,0.766500400832902,-0.00907378226863165,-0.892850771872872,0.133620018284343,0.172491958879623,-0.9186615974601,-0.861194464217078
"Campy_Bs_1 (GE) - TPM",1.27087365774565,1.83024255362142,-0.916595857307851,-1.09085711177045,-0.117985428366084,-0.107477403283171,-0.177006911725893,-1.096036036568,-0.101019739036298,-1.64670227079161,-0.630861525364387,0.354496965554694,0.000400638022388361,0.571981790098435,0.745899788700575,-0.357993589138726,0.0829227320091331,-0.721293319255883,-0.176825723521323,-0.905418429044194,0.00101971700756097,0.215566026467039,-0.105524619788487,0.632215940416215,-0.800796283521902,-1.03463283592135,-0.323660248715535,-0.34323063529074,-0.00235413335014059,-0.587794418018935,0.908064761564651,-0.472827426644126
"Campy_Bs_2 (GE) - TPM",0.73342991650778,2.1234207061541,-1.14126580426664,-1.69671574401791,-0.289156970208243,-1.24718996451412,0.798297163778403,-1.26343830607522,-0.731742525956086,-2.47181119842434,-0.71684135959236,0.316991781735,-0.872802313372154,0.210204549027588,0.920927635642617,-0.25077929872616,-0.654326146034116,-1.3179650287456,-0.0164207568087899,-1.01811465609164,-0.81650344220284,-1.04126240516789,0.657225605840922,1.2512912995384,-1.37474222399215,-1.24893822555731,-0.349130358604642,0.681711911695403,-0.0962106732708025,-1.49539440246867,0.950069020773716,0.332497999609386
"Campy_Bs_3 (GE) - TPM",1.73161034352378,1.2364927304443,-1.53178184671279,-1.07001711338815,-0.290053953495162,-0.19498516721479,0.314221639448023,-1.30584658904176,-0.227417630171144,-1.77593092279053,-0.749169020658514,0.448053212655391,-0.658853063008168,0.372445813394967,1.04387460868104,0.129051834313786,-0.400550238123422,-0.117171650417964,-0.621518194923118,-0.78423310120115,0.16354960742114,-0.2209706476208,0.619707528596776,0.387956933533593,-1.1729355138706,-1.29633068951363,-0.334833825747028,-1.3426845410441,-0.072684080608713,-1.37406949631639,-0.625358348311937,-0.638649227483091
"Campy_Ctrl_1 (GE) - TPM",-0.159821660370985,1.3743296703443,-0.511446260075495,-0.498396368943703,-0.850902968512654,-0.762200514441545,-1.08804968427563,-0.385104660973314,-1.20503701381904,-0.430301949445384,-1.5588909919231,-0.286561447752304,-0.694078322090874,2.43498298918139,-0.944232158470686,-0.388128904255736,-0.915790649201175,-0.174309270656279,-0.568851599755173,-0.704544935681116,-1.64414432684365,-0.755521084801498,0.589409952737473,0.769337041300338,-1.38836949363197,-0.598619247891951,-0.361258171341805,1.66076821803054,-0.501374274526877,-0.960466065441903,0.0273566009905817,1.04555965322314
"Campy_Ctrl_2 (GE) - TPM",-0.139518602471144,0.525607789778533,-0.724281934471243,-0.650183847282437,-0.27813860096996,-0.486536000444391,-1.29201353159124,0.0606059239835366,-1.3759202968846,-0.39210741466205,-0.427459799126102,0.0645861514898658,-0.633019854257917,0.889453800801385,-0.523422051569434,-0.970131882871993,-0.652565448778941,-0.712101890471892,-1.27200012597273,-0.491461403820472,-0.864816897250943,0.156437318141891,0.237371253592185,-0.0669247493708387,-0.423705379470468,-0.214821356671022,-0.627806275784887,1.18100450839659,-0.0273865801367677,-1.00842163783427,-0.644199403418002,0.126991340193529
"Campy_Ctrl_3 (GE) - TPM",-0.43443055109134,0.698258856794021,-0.294223054680909,-0.198680054890796,0.0477666245681542,0.550034131912491,-0.53092683640075,0.549432572370954,-0.793992122731205,-0.0963133459646396,-0.170572229994261,0.115379024410014,0.363435632366174,0.504520646138349,0.259560608098235,-0.177771023092834,0.161167089446808,-0.0364357779771613,0.204570507033217,-0.205070885622958,-0.789458012149937,0.285413064743525,-0.384784383500996,0.800784589417973,0.107585566386049,0.579348033674844,-0.460158367701495,0.50551524629714,0.0387626758342533,-0.0625298009293505,-0.284835920096013,0.584803439000059
"Campy_Li_1 (GE) - TPM",1.50035973484451,0.803429838002846,-1.13301566803916,-1.02411228479218,-0.384579810887579,-1.36631553991923,-0.942106083176752,0.0743999525815895,-1.06573527694086,-0.76513149750957,-0.119488671784416,-0.357708555350002,-1.39291239696296,0.318067642891815,0.314986328376484,-1.10542256138434,-0.922293032582795,-0.784838114402297,-0.330753248102932,0.210156882040789,-0.985839969667454,-0.954023464058519,0.507563958860234,1.33766112697829,-0.698608445544047,-0.229497605595619,-0.0321744620802694,0.220515850367066,-0.269969472479378,-1.31883477596689,-0.218029969852056,0.0744213567532683
"Campy_Li_2 (GE) - TPM",1.67982589769499,1.87287848656538,-1.40489580345297,-0.907152721806443,-0.846346317218689,-1.53278591281798,-0.823653958589969,-0.0799029374088819,-0.28103143702472,-0.927136510304143,-1.17719666872354,-1.10849172681533,-1.55971331608353,0.58909540543862,0.256665995631283,-0.429133246052384,-1.08000499774808,-1.16421691977627,-0.316456376425427,-0.610812075166728,-1.30091556445721,-0.627389107002157,1.00645414697749,-0.23155252984864,-0.646189393651321,-0.0930445152747126,0.129668566169446,-1.06360317624411,-0.0776943040007846,-1.22428517648958,3.6442924627092,0.0939242272165265
"Campy_Li_3 (GE) - TPM",0.601549345496793,0.179735705707992,-0.549159783333321,-0.41575641704042,0.161894186059425,-0.130911472044939,0.149775756951343,0.260327755422888,0.106285431285143,0.0520114611668488,-0.133833572280912,0.0408901695201365,-0.0994782383868649,-0.630188312458536,1.18942129815508,0.0191970022428466,-0.528429605958964,-0.169360504600166,0.528841402992376,0.680008722241227,-0.456992264949384,-0.309138506855781,0.733656859624815,0.919544266452607,-0.498314336875645,0.511447149295147,0.227525327826026,-0.503563195216319,0.200311865728656,0.309596109662968,0.232352910401138,-0.530287047761482
