"","OG1RF_RS00960","OG1RF_RS01420","OG1RF_RS01975","OG1RF_RS02160","OG1RF_RS02415","OG1RF_RS02420","OG1RF_RS02425","OG1RF_RS13430","OG1RF_RS05445","OG1RF_RS05470","OG1RF_RS05475","OG1RF_RS05480","OG1RF_RS05485","OG1RF_RS05490","OG1RF_RS05495","OG1RF_RS05500","OG1RF_RS05505","OG1RF_RS05510","OG1RF_RS05515","OG1RF_RS06370","OG1RF_RS06375","OG1RF_RS06805","OG1RF_RS06810","OG1RF_RS06815","OG1RF_RS06820","OG1RF_RS09005","OG1RF_RS09010","OG1RF_RS09025","OG1RF_RS13570","OG1RF_RS10845","OG1RF_RS11010","OG1RF_RS11520","OG1RF_RS11690","OG1RF_RS11750","OG1RF_RS11755","OG1RF_RS12415","OG1RF_RS13075","OG1RF_RS13080","OG1RF_RS13090"
"ENTFA_As_1 (GE) - TPM",2.57712637361337,2.17494779287268,2.5237183326284,2.68946420566136,2.81546440521652,2.85538783890471,3.71219913628209,2.25396165231625,1.36870519680171,1.89200797977001,1.90944256608459,1.98004859619636,2.15879763065323,2.04135702281632,1.72965768222019,2.01332254971199,1.8563122301659,2.03286335662538,2.01059167638633,4.62349153940861,3.09755419594821,3.26417361032228,3.74713574504529,3.18233103600867,2.58712523885173,3.41650127770107,3.91118526482183,2.86940824676168,3.36832763237444,1.95057813242152,2.56012840789253,3.15236031226046,2.34599555824482,1.84137524979372,1.7324538251672,3.25918017687881,2.80729281257121,2.58105463383167,2.29083341220846
"ENTFA_As_2 (GE) - TPM",2.82351714040152,2.27396081838727,2.85660843527454,3.09594953477541,0.770476982368695,0.806330907888402,1.04610781045307,1.37346369430481,1.77380140789925,2.7727597838221,3.0853538917095,2.72532504047408,2.73554074144497,2.99109421796016,3.00285526719163,2.90076836881908,2.83768344000518,3.24049136825214,2.87248031340897,1.50394364088789,0.559798053097419,1.66626433246584,1.76001489024462,1.6046151227519,1.26782820230137,2.65502558868861,2.27172362843476,1.46305613719209,2.49612037864203,1.47243557401311,1.53097818936284,1.60765123639721,1.71487060525323,2.41024631942926,1.5540554634237,0.927644286913924,1.22765857560485,1.06710983465555,1.61614587759673
"ENTFA_As_3 (GE) - TPM",2.43043655743134,1.89164440876524,1.97299923419392,2.64144110112951,1.92814079748251,1.95965961765698,2.19558604057564,2.55307760025297,1.63491212437347,2.98222886005961,2.35957130445434,2.82489810598593,3.1137351228452,2.77876798258656,3.40584734567932,3.24163733213901,3.02208342035535,2.93772394262743,3.41209885443762,2.61891494510951,1.9046234074896,2.81556775528569,2.6162455496613,2.62139939041713,2.62145003622574,2.94854872258058,2.7275429231819,2.3370480394119,1.14860094593768,1.7087388946669,2.08056545859121,3.0940388547244,2.2530615937578,2.32763205690166,2.4823670781683,1.68071830346734,1.87634253105992,1.59790197494823,1.45104980787562
"ENTFA_Bs_1 (GE) - TPM",1.16734289091852,0.465823721271504,0.301866806070626,0.403887499940638,3.29590797267119,3.5854876354291,2.76367499837085,-0.496930076841449,-0.503504987686847,-0.250954768264142,-0.211029906342133,-0.34700610005531,-0.0525865726524347,-0.207628903110225,-0.241667684491304,-0.178076041153042,-0.300835167748663,-0.276691738997475,-0.247948265491115,0.443870215248992,2.27191322573676,1.94883073630643,2.00480010009944,1.97529459343486,1.75136233335821,0.648088034113706,0.816830205832825,1.71368651803223,0.969701331997777,1.47228950710501,0.678140400652859,1.03358231974394,0.245471888094385,0.558928345423661,0.964932651430194,2.08521285686859,2.19265860624406,3.25310857332029,2.29480394111552
"ENTFA_Bs_2 (GE) - TPM",0.492813887247616,0.17469001619928,-0.375279590476505,-0.204367356548511,0.654354022719122,0.810995053630188,0.759627361033355,-0.349696674362994,-0.219368636272835,0.16417373858976,0.2914074439355,0.0479337424217724,0.256910007241065,0.0555606567131498,0.00293574914267309,-0.0579963946889454,0.13369539047902,0.00765026616756593,0.160681124641841,-0.254795548171709,0.52122410740387,0.319713946749282,0.459771479033356,0.433279685920968,0.468347278426386,-0.0370405731462393,0.0386717227743517,0.130227879324294,0.974740996320943,1.67683265145518,0.0869604019894674,-0.290918869973679,-0.297977548070937,0.160681690731053,0.0267744046924251,0.365396538850946,0.754774514096537,1.3790059768855,2.26252722707532
"ENTFA_Bs_3 (GE) - TPM",0.0515388725335096,0.677974325888651,-0.272497821829862,-0.387821334748755,2.18499689660473,1.63390819431525,0.998495127199464,-0.128433288655197,-0.608429421535748,-0.332579255318938,-0.387991123854887,-0.383759732546201,-0.184724633920969,-0.272540306601558,-0.371316247938731,-0.346777342870074,-0.0997995926996395,-0.184953265004405,-0.261685726963755,0.0601562583329959,1.61825491950958,1.18265887637805,0.99383493859356,0.98726434565439,1.13725208511349,0.0631622697022814,0.234478002706931,0.799469970644979,-0.673186324491557,0.537129058344563,0.921444073671355,0.535089076175958,-0.246271508362957,0.386862603632176,0.113796032590274,0.793279013469281,1.23342982730278,1.75162731470641,0.702280123573837
"ENTFA_Ctrl_1 (GE) - TPM",0.444241387329958,-0.457460914664333,0.235296254597837,-0.138954219426258,-0.472950608169977,-0.254703851379786,-0.301765331777807,0.4600855641463,0.175357122499746,0.638894405307191,0.65457571512173,0.573985181783956,0.414468257221115,0.427635960218199,0.421014554005622,0.306818805688469,0.397311787088517,0.147642759952737,0.324297244581154,-0.161943878255709,0.113664529617462,0.00328194289403478,-0.219487994172029,-0.292559014595987,-0.304262240499312,-0.211369527923357,0.36942464868467,0.325441396410782,-0.424327293796553,0.25619685382711,0.289955172090651,0.0728678687913653,0.446208443332604,0.429656099992712,0.858332237818786,0.187180746520263,0.351053199360653,0.271132492969981,-0.392437036959991
"ENTFA_Ctrl_2 (GE) - TPM",-0.312005152612903,-0.76792373503441,-0.487155720273352,-0.191593770124999,-0.52836567842159,-0.522560520434265,-0.47260961280475,0.0903384902100131,0.000249534945363714,0.516981076458247,0.628938203179279,0.590619375190203,0.569527067155313,0.181305509193529,0.135882153781182,0.224518613741495,0.300607646354993,0.602798962187575,0.0884790907513339,-0.427637190546133,-0.508353945957657,-0.428904925888109,-0.406267300490913,-0.531792493677967,-0.58818515234048,-0.582500721917631,-0.139248134552251,-0.289564654679344,-0.673186324491557,-0.273265752278064,-0.195030463640901,-0.536510355177999,0.0190846056973987,0.619931318290164,-0.182123167833433,-0.0117517629421078,-0.294296774847567,-0.217913466022632,-0.517303919563733
"ENTFA_Ctrl_3 (GE) - TPM",-0.420993687097025,-0.262438651348293,-0.521019261020021,-0.484629143958634,-0.608456750607319,-0.430002847809545,-0.460031391209126,0.200949274602569,0.336729345974753,0.445837998475845,0.605753605924501,0.870591400865018,0.709862571133399,0.217726209879525,0.0876996747476594,0.0934477188502478,0.103272829955756,0.0193075953137309,0.0554996613975586,-0.432367371906131,-0.323207494458079,-0.454116791508545,-0.395091291131149,-0.514955252789657,-0.623099812662601,-0.444920348139445,-0.0624198037238552,-0.323885878691975,0.390996307253217,-0.492728010291235,-0.361083191370673,-0.551937609974308,0.238151907347975,-0.595732228931824,-0.738229285331123,-0.269104482530924,-0.390093640498232,-0.258102682548263,-0.330262489759395
"ENTFA_Li_1 (GE) - TPM",0.00652345141190737,-0.332714926717429,0.272101363203957,-0.62657672385659,-0.38197517617137,-0.518049956013796,-0.550061107005708,0.953424578741677,-0.191686577456877,0.0482300494288705,-0.0204995274352968,-0.0541588405508944,-0.325540706217367,0.0489712750484082,0.148609688528012,0.0714048953185765,0.0538986918711333,-0.133691841904643,0.114956918907046,0.0133181609251458,0.456579743675719,-0.0940878362712536,-0.250755189480029,-0.308398933237205,-0.311815578328093,-0.537247913576581,0.0332795841063039,1.40516071436315,1.64379420416437,-0.964950242772479,0.737795081212868,0.339431830720832,0.905347594049271,-1.03250949379538,0.871827772972238,-0.0388280577029145,0.271768808999073,0.158191292109031,0.264818646804632
