"","OG1RF_RS01385","OG1RF_RS01440","OG1RF_RS02645","OG1RF_RS02650","OG1RF_RS02655","OG1RF_RS03445","OG1RF_RS13385","OG1RF_RS04205","OG1RF_RS05235","OG1RF_RS06255","OG1RF_RS06310","OG1RF_RS06565","OG1RF_RS07350","OG1RF_RS07355","OG1RF_RS07360","OG1RF_RS07365","OG1RF_RS07370","OG1RF_RS08050","OG1RF_RS08420","OG1RF_RS09730","OG1RF_RS10680","OG1RF_RS11925"
"ENTFA_As_1 (GE) - TPM",-0.580369004988471,-0.625992399923552,-0.865879170083501,-0.829812288691107,-0.754904899892944,-0.152379198042536,-0.840751926418375,-0.357295097343037,-0.0833226064309383,0.066217609858221,0.617114745266349,0.444782107737432,-0.35454651639836,-0.558020305026617,-0.669862282124883,-0.627680341570496,-0.709331773716021,-1.12143949481702,0.0628383357049674,0.0998483588994304,-0.868025186296397,-0.078398002314305
"ENTFA_As_2 (GE) - TPM",-0.5968308654729,-0.0583359767758712,-0.815286951404412,-0.97295285233653,-0.903591485586852,0.450815261998376,-0.816992422024706,0.00168365023601045,0.0243555694033189,-0.0261589459078452,0.12727165226868,0.417326329344627,-0.495753727201017,-0.693203682120634,-0.938726135368652,-0.598065697020343,-0.727107707312632,-0.804805067730542,0.707780758069325,-0.0244396153089843,0.0914788638696152,-0.801055913218875
"ENTFA_As_3 (GE) - TPM",-0.778976287212016,-0.530480754306852,-0.750194950618245,-0.876851651572935,-0.827531593473985,-0.0342022172757903,0.289151457768204,-0.468440674860866,0.302324157022199,-0.612806034643978,-0.0518610747654297,1.24737912534886,-0.462051596523521,-0.731084147022014,-0.877719084411672,-0.683133361689758,-0.817475074058601,-0.746019175784011,0.363157248621074,-0.18193165977843,-0.380885453818837,-0.486900241821379
"ENTFA_Bs_1 (GE) - TPM",0.0482512167972119,-0.865230399611656,-0.0107905303913579,-0.720143938091514,-0.914506727531203,-0.647217997006944,-1.07103768329239,-0.858782372963345,0.0644841344548557,-0.105805475465275,-0.41384985827164,0.399449643080984,-0.784415987400728,-0.88381685940214,-0.749434078388018,-0.584890380129784,-0.374716735783946,-0.321134945759018,-0.675346341920781,-0.369759726709266,-0.162078259325092,-0.460544621452526
"ENTFA_Bs_2 (GE) - TPM",-0.33919580986981,-0.900043699607364,0.433323498763732,-0.237226318667005,-0.631910647447701,0.735109541614305,-1.19554444608745,-1.76828702906611,-0.364550791457399,0.490314219947615,-1.20409348864322,-0.317320025703957,-0.852955094590428,-0.674544221988019,-0.778655512274621,-0.718031254178149,-0.489697122507104,-0.113891805848193,-0.7585822061211,-0.794110962451438,0.0418011957372063,-0.406948163829968
"ENTFA_Bs_3 (GE) - TPM",-0.397811211909636,-0.900957460454235,0.116931033830153,-0.657331635089149,-0.857945941097919,-1.02209351522709,-1.01064799925106,-0.990284336286223,-0.207160131190973,0.0297681612431543,-0.859750985865339,0.386349715359054,-0.949535281652248,-0.869341869136437,-0.757534739256916,-0.597796566119481,-0.641911606945657,-0.475884720614796,-0.675674287019144,-0.684274791209717,-0.364927198993666,-0.742908613016108
"ENTFA_Ctrl_1 (GE) - TPM",-0.859504645495453,-0.880434830350022,-1.31643039503429,-1.16033063469088,-1.06791688496168,-0.960544260681315,-0.906858635760943,-1.00061412565481,-0.84607832463564,-0.833209346044415,-0.83447242393421,0.014610741715858,-0.934664391828406,-0.862290443726895,-0.800256646694041,-0.647846265890009,-0.816622251873707,-0.86659842170638,-0.720732376549893,-0.378978764014569,-1.20851007644972,-0.960812005845265
"ENTFA_Ctrl_2 (GE) - TPM",-0.859504645495453,-0.60738422349546,-1.34722027769382,-1.20988985554527,-1.2480347004332,-1.43087025774141,-0.92578910465484,-0.601081858979575,-0.463063983356516,-1.25145940312012,-1.31666484326452,2.03316226484713,-1.02690812494692,-0.852226961597949,-0.927562351452966,-0.691652033023648,-0.884425067755373,-1.96209574494572,-0.742090227468204,-0.678884414657257,-1.0028528678295,-0.676382212188649
"ENTFA_Ctrl_3 (GE) - TPM",-0.712504633177701,-0.419144528043813,-1.40029914711633,-1.27709859700348,-1.22683171897136,-1.65905855704826,-0.124890971591548,-0.272921379416267,-0.844170214734085,-1.3217955621919,0.442694614983127,2.2827719611947,-1.00353332081929,-0.861952689730982,-0.846297421928322,-0.563820470723298,-0.933734392160888,-1.53549193646489,-0.394407891705465,-0.601975904692718,-0.248377483640767,-0.916238671261689
"ENTFA_Li_1 (GE) - TPM",-0.859504645495453,-0.940717999469338,-0.969815164376389,-0.996663743314535,-1.028070322963,-1.72754383064552,-0.72891338493727,-0.87867538146591,0.135390581037384,-0.947939919377295,-0.835999007057327,0.918160237036187,-0.981458274812329,-0.939130666691496,-0.793923592875949,-0.593144737694354,-0.759932378059236,-1.33757873371486,-1.02859535765513,-0.224714311691423,-0.341108141431203,-0.747176751938568
"ENTFA_Li_2 (GE) - TPM",-0.859504645495453,-0.935377509774102,-1.03172763796492,-1.03790962416782,-0.877572717905291,-1.27607595722302,-0.902603294575688,-0.58353577037214,-0.522443153084556,-1.09073787575626,-1.1575794345882,1.02044370079701,-0.945158956975749,-0.978540418183598,-0.90505693458389,-0.78945851155051,-0.599668878506562,0.516217322631009,-0.933279542727141,-0.240890312921849,-0.142056342398811,-0.755024868438819
"ENTFA_Li_3 (GE) - TPM",-0.742313503693767,-0.977833947614699,-1.0362386029007,-0.982830828943418,-0.935523930313618,-0.817386286384166,-0.194955426251718,-0.526475953067031,-0.705574366947222,-0.555272040391252,-0.901076304450233,-0.117675226280843,-0.777857561836852,-0.882174208811455,-0.684011638837182,-0.615781435580308,-0.682774818377579,-0.799641070534398,-0.824749525046536,-0.155816672748125,-0.760712145648608,-0.730568559479641
"ENTFA_Mig_1 (GE) - TPM",2.33512113245854,1.77706073045426,1.48768260039011,1.60204834913569,1.39718056651483,2.34948637898897,0.968110232099079,0.871006037097956,2.44823305097405,1.99575327332207,3.01429971624696,-2.07480400899114,2.08177638572238,2.31481496444181,2.11934137202413,2.74313632920664,1.48051056373728,1.62109949402892,1.41636204482852,2.70349217635684,3.27587729877369,2.03184593066972
"ENTFA_Mig_2 (GE) - TPM",-0.4406630001133,1.98299436485188,1.7618690447478,1.64653660695711,1.46011301328298,0.470815394231943,0.695550035735435,1.4623960328994,0.255050456873369,1.31907101398833,1.79001837444421,-1.81881830549992,1.58891828760793,1.65707828549114,1.94487539944593,1.83559014970117,2.40025307027748,1.05652695711319,2.66516126892993,1.95530690308174,0.41307759345038,1.72436183113184
"ENTFA_Mig_3 (GE) - TPM",0.844365626842381,2.93828483066415,1.75362664662514,1.80775772418576,1.69816786241635,0.442826292157794,1.02442432835248,1.38231381843939,1.70852047721106,0.793802439099834,1.11160770095139,-1.71771482287256,1.59277580861272,1.38533613187558,1.86120455174136,1.72292895807837,1.90915268429393,1.15616830555528,1.55794303612521,2.09559843605785,0.682582757158748,1.83539816605708
"ENTFA_Nd_1 (GE) - TPM",-0.859504645495453,-0.294922624143943,0.166383164595518,0.724994529297875,0.832424085577719,0.229442233256277,0.111472939055512,0.245978335710684,0.231717239179049,0.345890414705855,0.0410985234941771,-1.06866638889645,0.373026124151034,0.673685179980999,0.250313848840985,-0.557759280176242,-0.461186948801224,1.16357301592999,-0.0972280590296931,1.23855697284907,-0.10575274981428,0.952449076943149
"ENTFA_Nd_2 (GE) - TPM",1.33988042178451,0.0511165286593642,0.355364702456049,0.945924150272695,1.18407682545328,0.973590374814931,0.447481444344778,0.062760911004704,-0.262338458453083,0.965446989263404,-0.644419004054204,-1.05248401117035,0.790321276111734,0.506341327225984,0.148962142786534,-0.51424285055383,-0.377264606956496,-0.173914936066619,1.02124320598302,1.55825988410194,-0.0017898528457511,1.04840921485005
"ENTFA_Nd_3 (GE) - TPM",0.493687993656712,-0.494029778219408,0.978959350566895,1.24182832022821,1.48774284894207,1.16719494076286,1.44779680249202,0.832766673941105,1.41559596653882,0.344093064132151,-0.36366502397819,-1.74847351744501,0.779992800259798,0.904893758621408,0.335839499125753,-0.381403778031036,-0.102097662520408,0.034823864579378,0.754471223374555,1.70572732216458,-0.289444381984808,0.242331728755223
"ENTFA_Ns_1 (GE) - TPM",-0.413388998186301,-1.05023947314828,-0.959271362313667,-0.969178265266279,-0.802972505021761,-0.72420131551628,-1.10208925703477,-0.96187529985793,-0.615745992088221,-0.879475890580147,-0.111533596807576,0.722294131713816,-0.711543079156866,-0.7987042368921,-0.758484368479944,-0.541738153975551,-0.668020464486405,-1.19647503347749,-0.90207915876615,-0.323843774504745,-0.700007691856548,-1.11077514410824
"ENTFA_Ns_2 (GE) - TPM",-0.714507015155534,-0.72241253952231,-0.930262046675468,-0.978825470942005,-0.933974134940568,-1.16667426009822,-0.101093265915129,-0.393243128470823,-0.867365516263897,-1.131760199522,-0.816200612818951,0.516474860546498,-0.881357627930799,-0.752664234226488,-0.758380851524837,-0.610856368749336,-0.635198955666761,-0.0180411157181764,-0.304614420356437,-0.49249186771847,-0.56309998736796,-1.31027760262565
"ENTFA_Ns_3 (GE) - TPM",-0.43662280443376,-0.806142310710439,-1.08053432233264,-0.950402008527907,-0.781257638313134,-1.07102926720064,-0.51559514457271,-0.283597328624506,-0.688211044061369,-0.622376135735615,-0.582138657017719,0.875819567182738,-0.738442537816617,-0.593592091241155,-0.74689901739879,-0.632883531020927,-0.532729891886002,-0.285810117826543,-0.613413175574537,-0.44207835791721,0.0219345168191529,-0.593102720338334
"ENTFA_Oss_1 (GE) - TPM",-0.443034136838473,0.0627449195869213,0.493926122088707,0.599103298135515,0.651965127452747,0.530094268543122,0.977815845750807,0.0533113031367493,-1.43688703460739,1.07836495980836,-0.0151593393739111,0.329124841546189,-0.539534049099905,-0.495778004834992,-0.448908181767881,-0.492287944545518,-0.110186793713699,-0.538119094558021,-0.811244516202469,-1.15329680175716,-0.0512249828633783,1.33522709625593
"ENTFA_Oss_2 (GE) - TPM",-0.452777612490671,0.689208390931488,0.523401564136313,0.38618319051167,0.369450453218518,0.263067940783552,0.0909706451546902,1.6117202108375,-1.20270466719705,1.15625402560275,-0.306868303009995,-0.23057855118035,-0.602003015643414,-0.462777595433767,-0.464245380022515,-0.418647770815478,-0.221061490235281,0.162010431312987,-1.16751556548847,-1.13648227397465,-0.326021870339962,1.08613336120627
"ENTFA_Oss_3 (GE) - TPM",0.213458653320021,0.83855778117088,0.278995589411997,0.369747696504722,0.376498173441509,-0.246581111205549,-0.423714823170532,-0.391622116713864,-1.84391308876512,2.0207398626857,-1.45612765183133,-0.480717153395574,-0.260958287532574,-0.540603514673401,-0.00367198763861568,-0.325965502124964,0.1152674970972,-1.14238153588694,-0.823517721561106,-1.05116194112733,-0.943603394596466,1.64519279583038
"ENTFA_Oxs_1 (GE) - TPM",-0.316728953947311,-0.907511544790722,-0.4214652298558,-0.373050137457751,-0.498806677843629,0.188238987806976,0.0544184781639288,-0.237614813143746,-0.851038132859842,-0.255872768028832,-0.544682190048812,0.0785356325486351,-0.699701397698373,-0.737779524910851,-0.687887585025668,-0.597956347803052,-0.56703336194721,0.297622732932349,-0.736852381195921,-1.22665667577841,-1.00152070012589,-1.02228775945016
"ENTFA_Oxs_2 (GE) - TPM",0.0169993823986971,-0.696998207623321,-0.513956987315071,-0.3478680467751,-0.431055961705715,0.0606554830656981,-0.566515055412939,-0.202031805375987,-0.916074010125247,-0.523691185590847,-0.426860350243112,0.666225841219133,-0.738161459759567,-0.827364361507893,-0.82048106822562,-0.568688773226732,-0.780173305543677,0.213753576889243,-1.06874762567774,-1.20135127732537,-0.119214972885453,-0.467493180911032
"ENTFA_Oxs_3 (GE) - TPM",-0.529251841368281,-0.85011798849112,-0.529486924870331,-0.473567642629328,-0.319253751684608,-0.123069583752329,-0.365064849330618,-0.754233015788475,-1.08598245002665,-0.219248956243229,-0.247448225252285,0.963568709250425,-0.693472224641406,-0.722791392116455,-0.741747584492312,-0.564557625421939,-0.716901888682904,0.254169097916452,-0.63291646154733,-1.2041254334012,-0.468097728406458,-1.24044375952317
"ENTFA_Sp_1 (GE) - TPM",1.84010950648925,1.1188189018589,1.74465798981502,1.64573223936432,1.73135058124225,0.611402182549001,1.48075868106149,1.23299569391671,1.56860635696623,1.43513874595937,1.41562979192521,-0.422919781410541,1.39992003093857,1.43283549595406,1.57592556105193,1.7371649837672,1.55644321160696,0.774656096772171,1.49745020280494,0.478799789500771,2.53001195994259,0.383020483371387
"ENTFA_Sp_2 (GE) - TPM",1.91481686582798,1.81536020713786,1.47114000287721,1.78248080393381,1.60429230316674,2.29892703156692,3.24516481256658,1.70697391801943,0.38471912762071,1.76763045725751,1.72932542361449,-0.00282926310285726,1.28452707774905,1.8964411378992,1.26530195365751,2.37255833225908,2.01977118064646,0.98572346144519,-0.475422103976624,0.24231593091699,1.89511917026564,0.241563027321282
"ENTFA_Sp_3 (GE) - TPM",2.1719103818109,0.704103286821883,2.06195889074036,1.61951058832703,1.92205766064857,0.946447691224631,2.11644429009496,3.19760812133693,1.77477343810096,1.29514003166213,1.28488086003955,-0.996190329842936,2.00270157180704,1.44179690242874,2.15617587623989,1.84627413834535,2.08213091632846,2.71224996358466,1.56487407571475,1.03507140764499,2.18633771197385,1.93140723657569
"ENTFA_Tm_1 (GE) - TPM",-0.326202797647602,0.308826217235124,-0.367056129153818,-0.00695846558602471,0.179946465184526,0.679137021772308,-0.075019869751761,-0.175051504249922,1.11667797145857,-0.636180452498911,0.369389456768422,-0.490478084013957,1.17319723985551,1.07104539572277,0.744962263590094,0.273002483182589,1.01903664136217,0.264193373132456,1.1651580639958,0.00200027577866271,-0.401724152641436,0.333156586904501
"ENTFA_Tm_2 (GE) - TPM",-0.177190436114401,0.707832719461179,-0.137286960969968,-0.0135043008511032,0.204059292402844,0.942974085319183,0.676139523157867,0.0201495235127383,0.229473764336814,-0.667534903627273,0.74726232419321,-0.213418989714681,1.07167356601862,0.853755331401195,0.654518590202575,0.53451985534834,0.750098829192966,0.28912428359133,0.593497860431537,0.08540998652293,-0.158390070805605,0.158052029481665
"ENTFA_Tm_3 (GE) - TPM",-0.441952229515247,0.7305573793193,-0.48286488982331,0.04310413670251,-0.102326487018783,0.868083661705728,0.182001064791628,0.281287022759944,0.809251450215303,-0.854730014412659,0.836148181816078,-0.747901232263088,1.32126558967808,1.23478454340241,0.951697392769534,0.588614376817213,1.19519222934546,1.29237781106965,1.6403210827524,0.00164183471680042,0.112356492618069,0.044112449722749
"ENTFA_Vic_1 (GE) - TPM",0.422103236293727,0.145078222644585,0.543301979808826,0.188309636760657,-0.14821036732036,0.276923668638085,-0.81192522925281,0.44124987783933,-0.301006298150819,-0.684497542823063,0.50974659341833,0.414516314163559,-0.114308506178693,-0.0854359912870605,0.0317390847087247,0.113823097224527,-0.397911305365484,1.30584646485934,0.0235948446873558,-0.324193116320351,-0.34012343293088,-0.183253225124462
"ENTFA_Vic_2 (GE) - TPM",2.35664459742798,0.308200241315092,0.409727002700379,0.142163788712704,0.190167967810665,-1.04013715709381,-0.566569936080736,-1.31226616067213,0.194770029097282,-1.35559905102964,-0.763735895995018,-0.175717679133813,-0.0836477281953313,0.2833066621033,0.649134270088237,0.208537658059685,-0.200014637146362,-0.513632766043362,0.0552637357507858,-0.293935193107113,0.574071775087854,-0.511033275261119
