"","OG1RF_RS00730","OG1RF_RS00735","OG1RF_RS00755","OG1RF_RS00760","OG1RF_RS00765","OG1RF_RS00955","OG1RF_RS01270","OG1RF_RS01275","OG1RF_RS01725","OG1RF_RS01755","OG1RF_RS01765","OG1RF_RS01770","OG1RF_RS01840","OG1RF_RS01860","OG1RF_RS01870","OG1RF_RS01875","OG1RF_RS01880","OG1RF_RS02225","OG1RF_RS02325","OG1RF_RS02340","OG1RF_RS02435","OG1RF_RS02460","OG1RF_RS02465","OG1RF_RS02470","OG1RF_RS02575","OG1RF_RS02580","OG1RF_RS02620","OG1RF_RS02780","OG1RF_RS02810","OG1RF_RS03470","OG1RF_RS03640","OG1RF_RS03645","OG1RF_RS03650","OG1RF_RS03715","OG1RF_RS04475","OG1RF_RS04480","OG1RF_RS04485","OG1RF_RS04550","OG1RF_RS04890","OG1RF_RS04895","OG1RF_RS04940","OG1RF_RS04965","OG1RF_RS05040","OG1RF_RS05045","OG1RF_RS05050","OG1RF_RS05390","OG1RF_RS05525","OG1RF_RS05900","OG1RF_RS05910","OG1RF_RS06000","OG1RF_RS06055","OG1RF_RS06325","OG1RF_RS06440","OG1RF_RS06450","OG1RF_RS06605","OG1RF_RS06695","OG1RF_RS06700","OG1RF_RS06765","OG1RF_RS06870","OG1RF_RS06980","OG1RF_RS06985","OG1RF_RS07260","OG1RF_RS07295","OG1RF_RS07500","OG1RF_RS07505","OG1RF_RS07585","OG1RF_RS07730","OG1RF_RS08300","OG1RF_RS08370","OG1RF_RS08375","OG1RF_RS08550","OG1RF_RS08675","OG1RF_RS08740","OG1RF_RS08815","OG1RF_RS08820","OG1RF_RS08825","OG1RF_RS08830","OG1RF_RS08835","OG1RF_RS08855","OG1RF_RS08860","OG1RF_RS08865","OG1RF_RS09185","OG1RF_RS09230","OG1RF_RS09300","OG1RF_RS09315","OG1RF_RS09415","OG1RF_RS09495","OG1RF_RS09835","OG1RF_RS09840","OG1RF_RS09845","OG1RF_RS09895","OG1RF_RS09900","OG1RF_RS09950","OG1RF_RS09985","OG1RF_RS10350","OG1RF_RS10590","OG1RF_RS10620","OG1RF_RS10740","OG1RF_RS10885","OG1RF_RS10890","OG1RF_RS10895","OG1RF_RS10965","OG1RF_RS11145","OG1RF_RS11150","OG1RF_RS11155","OG1RF_RS11160","OG1RF_RS11165","OG1RF_RS11170","OG1RF_RS11175","OG1RF_RS11180","OG1RF_RS11365","OG1RF_RS11385","OG1RF_RS11790","OG1RF_RS11825","OG1RF_RS11960","OG1RF_RS11965","OG1RF_RS12035","OG1RF_RS12215","OG1RF_RS12220","OG1RF_RS12225","OG1RF_RS12230","OG1RF_RS12405","OG1RF_RS12720","OG1RF_RS12785","OG1RF_RS13000","OG1RF_RS13005","OG1RF_RS13010","OG1RF_RS13015","OG1RF_RS13020"
"ENTFA_As_1 (GE) - TPM",0.910921910125162,0.280153768657729,0.529565890075442,-0.224870303910297,-0.334225803584217,1.76991903692188,0.904091064988241,0.459320033623041,0.883510936816362,1.09194928849587,0.830042346803435,0.866431585245011,-1.08755619444452,0.950242844271357,0.596563430527088,0.207650971387269,0.227967284649792,-0.179372396395517,-0.536568271637179,1.01370832835694,1.59067218723433,0.36279981822264,0.15625667833768,0.707725500301938,0.396865092419298,0.541084775791376,-0.148155989987719,0.647268982666355,1.45916148506846,0.671850867537317,0.997687392999853,0.611187558919878,0.881004304574402,0.393933016447985,-1.08385471847836,-0.851354748293167,-1.06086594853947,1.69394551905016,-0.0236009170670808,-0.250724983621856,1.70279468990053,-1.05731791392186,0.758634375514494,0.863388150787589,1.17107693706729,0.815835143561085,1.15255772205508,-0.25486673961855,-1.20046123901133,-1.18110851793668,1.11551221382293,0.926976988071639,0.63881559275429,-1.17597794719314,0.495535700797868,0.0675669410072844,0.107445764838081,0.474994287941418,0.585072262054448,1.17402052735096,1.12658951754449,-1.4971374458353,0.132579239373106,0.97952664041978,1.04181321651778,0.728111188470657,-0.591967837460257,0.883429847139569,0.540038325952845,1.57292819232286,1.1723526440922,0.863031779177755,0.523698654143424,1.00385864963627,0.995048586285805,1.46750188869294,0.619977337057936,0.961807174364215,0.179079155159689,-0.0358193260713311,0.663191180722221,0.218031534541976,-0.56552520936186,1.04507342705204,-0.124146119632316,0.774970462141721,0.676652737050898,0.618960852898687,1.23522996369476,1.06127330036501,0.91144877871601,1.59576105394371,0.985231539951726,1.04656859922998,-0.17158337050513,-0.478370027110755,0.0929071168027127,0.903661864113311,0.217943697714348,0.204406595236716,0.196865065041874,-0.94554871002746,0.491566107427819,0.568033958778828,0.811849659541568,0.454243739554412,0.945190941017781,0.916709465964813,1.32763163241572,1.66164056589147,0.131710787274788,1.33322768427597,2.51248641764996,-0.913079223466852,1.33539889727105,1.38089287051593,0.153318689244473,1.10849991544555,1.40356903154397,1.22026317213421,1.33000052698726,1.40054518674277,0.367339384488144,-0.46392142456537,1.15059211784034,0.628933967694285,0.84740625436423,1.27504241954685,1.1656800928073
"ENTFA_As_2 (GE) - TPM",1.36345194393019,0.685843575499061,0.747794090984066,0.551501344698145,0.0375281512565242,1.97952390026775,0.865343530674877,0.532617722944243,0.40245773907296,0.484828963304327,0.692696391435053,1.34164332627717,-1.04872055592525,0.655911582294685,-0.287032668242664,-0.00144711980820054,-0.403955926694528,-0.165937131717913,-0.169173532915441,1.33558312800121,1.3011418893952,0.227553026209695,-0.0270723315079506,1.1758783989905,0.968038656078211,0.510892452328947,0.0679269542995021,1.60238807624472,1.14289749677618,0.930654590729447,1.35919400916161,1.47165333081057,1.51664025128352,0.761940029608552,-0.735170145286293,-1.10331136215181,-1.22513980716357,1.88594319854378,0.70442640293232,0.207492970779,1.57858714296675,-1.23576538849593,0.864348748521176,0.812356548660227,1.096820147771,1.39277147294748,1.61712390312878,-0.30717996593193,-0.70775355525632,-1.01522545602838,0.898375441673207,0.890260905221075,0.945401348327359,-0.961870543689117,0.474920523515929,0.351494131686669,-0.0441930398136067,0.719275649202708,1.07168547135,0.384922927596191,-0.303790050563593,-1.33286592134878,0.00828711189025755,1.22014887990579,0.833682309151966,1.0356022711625,-0.762918242099397,0.817727772116559,0.78861741766867,2.08012916768012,1.64173837930811,0.581380655378888,1.06420223706864,0.936922401368083,1.11206744320165,1.12544228276051,0.580167825880029,1.36077229797421,0.204865679615647,0.376945750428466,0.727632664511354,0.873028432981876,-0.221651771403604,1.33224168870387,0.86117847036855,0.98857630714873,0.176216828444357,1.83761527611275,1.12155197796865,1.30678636959963,1.2554354321577,1.7563919373621,-0.0552581543360479,0.119912292030703,-0.0490038181465129,-0.776310837021049,-0.275732157080071,1.13116467841992,-0.170397953165123,0.0433493415294075,-0.390473427703029,-1.12555573144633,0.0268931992013773,0.537158195034537,0.790307760768177,1.19020579048483,1.0953387241555,0.881733433328039,1.29420854056494,1.1478183761733,0.0183292440918082,1.38367262564266,0.908428478287771,-1.10216710873566,1.47717231192281,1.64587362167179,-0.165046401374931,0.826142600754558,1.31227489585489,1.31778230819862,1.44784088688069,1.33215047025077,0.135735748556529,-0.910743487574383,0.431107384155493,0.855874703000228,1.32543970366073,1.92179077550505,1.51737707584694
"ENTFA_As_3 (GE) - TPM",0.486186803000622,0.526180915082027,0.318131880917873,-0.113353252416879,-0.0907779124196387,1.61403614113949,1.10560840767267,0.469605700926828,0.548086203351341,1.36505860973403,1.2367849275717,0.747461869444588,-1.10644798419643,0.58984798747011,0.352480719386744,0.120352893996347,-0.207201248265969,-0.4543605159684,-0.48124702563099,1.07564236751361,1.08119400300452,0.235681082716167,0.0115959631118167,1.04688044888444,0.80979872695903,0.614474202427314,0.054076803197776,0.882880707865793,1.21143172076813,0.833874711224094,0.698593984201672,0.521017696977409,0.382366180027851,0.241986878110321,-0.723500140421145,-1.09592840943314,-1.21618055174055,1.95989721745022,0.304568368454314,-0.114043374565207,1.19123744640539,-1.22092968622558,0.844111885142144,0.529964332748858,0.753135229308071,0.834508908730236,1.24017810290833,-0.133648180392195,-1.21068634443972,-0.995423412331998,0.740070815245919,0.646234832354168,0.532520641094496,-1.09277003168848,0.589365502102099,0.116289321520097,-0.186200924409243,0.498490641193261,0.905258854124059,0.852161215587842,0.298241288144468,-1.49590361360621,-0.187799428251742,0.76406975867581,0.951979380450142,0.625052731309739,-0.632324473394897,0.657532181133252,0.58095472324294,1.70201176438869,1.02310547119424,0.902578026069697,0.329673318887738,0.602408182698614,0.951520304565724,1.17287147709777,0.301180440238581,0.89745525297449,0.328637805320806,-0.0478166859168033,0.154399641355452,0.406271203311529,-0.752197110969746,0.841543586127697,1.16804401321837,0.428990091664506,0.17336203899582,0.831328060420096,1.35498184796837,1.49745703991161,0.934855180155495,2.02379532592683,1.04583030116175,0.549401962602724,0.0521794579322718,-0.953988529882037,-0.294453595808171,0.979037905827795,0.318881058136132,0.114643942548182,0.161497720211663,-0.957468719590031,0.00166841715801284,0.679149127690514,0.831700844728928,1.29835011596592,0.885290278871589,1.05741829960722,1.37811800578717,1.44294261992699,-0.00309777120961623,1.20215220653762,1.65117300057207,-0.882936372647305,1.31127061398992,1.45930086121753,0.779154606354311,1.2729959725389,1.35184758212378,1.60007859419359,1.39408043211325,1.41598745389318,0.243431304242254,-0.418460682652881,0.931819193339312,0.466398523535423,0.744700896005608,0.974886683295284,1.33222145006895
"ENTFA_Bs_1 (GE) - TPM",1.03749921278024,0.842603509820166,1.60816491002962,1.30505016858746,1.47255646400083,0.410187247830468,0.549316508716938,0.227615780744006,0.965546693938947,2.18014160237298,0.162779019422553,0.0545037146547333,-0.881718875155413,0.285468333235726,-0.091235380317366,-0.123079630453489,0.403638964047315,-0.526119866736167,-0.796115597504676,-0.168028545306185,0.494888010626484,0.11091206515096,-0.467151254186383,0.700987903212845,0.886392700091803,0.28736696720126,0.0170814686198847,0.30900862270832,1.28709263178023,-0.603787844910456,0.857210185987791,0.873418722085148,0.303630788535748,0.341764634697993,0.837256256208084,0.0570178781505498,-0.858602265907032,-0.445557409790385,-0.0655079679704878,-0.44119903870297,0.159679725979019,-1.28500730736863,-0.0738153447331965,-0.418990218559502,-0.467745623148592,0.782194703536389,0.107695420601981,0.861079366606714,-0.528412617525546,-0.610197362084722,0.740109797888627,0.12748181197114,0.223316482630192,-0.177574710251006,0.211308331424588,0.21441193885226,-0.226777977151473,0.649500923440391,0.243228897508628,-0.130480276485924,1.02473463551167,-0.95638965811446,-0.436373432339967,1.09651554653681,0.447486050408745,-0.106086458128856,-0.297214084930872,-0.00743962548766716,0.920921683614334,1.34402449764007,0.236736728990896,0.355893717864842,0.346299572708544,-0.093629156079752,-0.1580543554201,-1.06111682651943,-0.119726716523893,0.503876132154108,-0.554345422070782,-0.395797741121441,0.350632421414821,0.565341153800954,-0.595699616784794,0.914688100273823,0.0811677738974554,0.96829292357323,0.151159381480002,-0.666675582919981,-0.569722103394579,0.557336023982069,1.20616059284373,1.13274439242071,0.0147821313787201,-0.209400448081995,-0.38914831549394,-0.562622146968339,-0.055187371686768,0.787302700546959,-0.696940695589695,-0.79768373541893,-0.289620635320297,-0.843844243963628,-0.335591798180661,0.489313007607785,0.69867031265253,1.06730565670492,0.594980497393167,0.667154268481035,0.962578951599975,0.650548895161096,-0.174656431967704,-0.221743097265022,0.660614777692805,-0.0142389162285154,0.641312962875965,1.29528669743745,-0.0952036494267013,0.246884049334744,0.455237854248317,0.155876293204246,1.66576755954668,0.628627607645754,0.454360407865115,-0.709057523080378,0.323836071522331,0.412941214285588,0.999876085302506,1.17532118413578,0.375863289180597
"ENTFA_Bs_2 (GE) - TPM",0.449995438118629,0.3801336316783,1.43124788412049,0.380270266797498,0.65424965804987,0.175949137922548,-0.0115671441105907,0.311514408742851,-0.706835983692527,0.102082607574658,0.332478028989042,-0.0875701766843234,-0.429545660398642,-0.213491872815322,-0.346554460074819,-0.193866165136607,-0.0984316595524814,-0.386851333285328,-0.904676890696791,-0.235064840626598,0.206786036724689,-0.432552883309476,-0.534908281771882,1.08976181423231,1.00363664669409,0.0837474764343159,1.51803327192127,0.288998955029323,0.699751720216654,-0.144462709113281,0.753137067538543,1.13201578398307,0.454257893049308,0.647468896763422,0.807846810116742,0.206754976497644,-0.411503290081646,-0.746707140779432,-0.0939681118105674,-0.169906024819812,0.00633378613914383,-1.31489384173987,-0.196812573801178,-0.400133126887643,-0.510505367414182,0.612657065136674,0.404957692678363,-0.0497339941500567,0.19968753834195,-0.142995784359336,0.350495616581931,0.00476654651851419,-0.259857665459747,0.507270221070468,-0.4134397883149,0.125041263830672,0.304718519078789,-0.595218159770262,0.565598803466137,-0.876162619174475,-0.645750947046303,-0.124499275758572,0.0668998486773554,0.373067059569616,-0.242630966595505,-0.256336154666243,0.499930706209542,-0.10751475334384,0.867634295430983,0.605374740383249,1.15031676238715,0.0333046848209493,0.496906724824529,-0.22067574403181,-0.386502341529649,-1.23934576805205,0.24201879412656,0.56065454426362,-0.403444823230301,-0.174759549871794,0.433176133198812,1.22282627117595,-0.0685445836069134,0.43060120762558,0.395953263808962,0.460093479624917,-0.0162872112115202,-0.285125079179415,0.149330282240524,0.713981988384943,2.33561870665366,1.72449149996647,-0.231300634936287,-1.13284119398452,-0.17516685064764,-0.274270720172842,0.158916355621036,1.44831688381596,0.0741887700998081,-0.624545900636647,-0.276013311140586,0.0678573600266453,-0.470263068380743,0.168825368159271,0.661058816280888,0.828233073447609,0.770850424590021,0.608183388101988,0.322717834579954,0.134227975662055,0.230523664786332,-0.684587969539322,-0.353351929183948,0.202231539437854,0.55228749993864,1.65043526729422,0.0228207658860875,0.426569972835573,-0.285850678858582,0.393231395638644,0.964924866978085,0.495692654649443,-0.434712240628101,-1.07805002388868,1.25254115738791,1.41469704618274,1.7596844092004,0.629773120374808,0.470575145811732
"ENTFA_Bs_3 (GE) - TPM",0.337539464957398,0.767177067067386,1.03334754467393,0.98398080883261,1.15550031240758,0.311502559957698,0.402377246168478,0.720276442240241,0.00191711287883008,0.511075006170139,0.983326905555734,0.604075665589152,-0.707482707737265,0.25830695736462,-0.139469614633988,-0.497928908592964,0.313029217007334,-0.543005225374482,-0.580447778260342,-0.339595610215026,0.494350617646958,0.0242061182432612,-0.345057994696433,0.357631578413049,0.423115726706085,0.36978195634798,0.577206444918139,-0.266449803251921,1.16079424655912,-0.931452106543323,0.276160874003947,0.39452281175288,1.02558888332363,0.659271324742525,0.62763119123263,-0.611000786498596,-0.868541840455196,-0.686867777627643,-0.111648887327238,-0.137117579690141,-0.131474149632953,-1.12047834919395,-0.612185567504864,-0.742705087541613,-0.625721422922293,0.936951428002259,-0.506475268508943,0.726540505977921,0.146377835384591,-0.677132492802682,0.650767604081736,1.2427323722948,-0.319233738129687,0.0836106646591978,0.209852194959986,0.877950736019817,0.205895759065299,0.200121801067826,0.103408985232031,-0.266900900174594,0.457327379898045,-0.343045279177011,-0.153675407376148,1.06434250882291,0.0711851943516297,-0.0520689336549098,-0.317796384187591,-0.484307371071039,0.634256505667093,0.954584060747423,-0.0125809785598594,-0.145431210110804,-0.000914407145574663,-0.372518348145492,-0.539554745897336,-1.23400432365745,-0.103606236281745,0.147573425162298,-0.454398928003803,0.151289010179982,0.2225232561397,0.43104109326807,-0.747671852330176,0.791520114220838,0.775920208658045,0.487507621713127,0.42766574549351,-0.485663851269175,-0.79975533482413,0.413220784276888,1.6397063126926,0.462077420559365,0.299493063012662,0.0971587911770991,-0.310801780980072,-0.1260663524641,-0.0557801309649652,0.481964279565204,-1.04534687630868,-0.881420000517523,-0.801949385720071,0.793479525601496,-0.117188007162174,0.300520235178491,0.945724394392203,1.1260146494641,0.986065348097661,0.789139033254993,0.74534288440656,0.501674517301517,-0.358143972437582,-0.353261529593959,0.141719128667684,0.155279091213675,0.615613077992748,1.22189929525569,-0.157957209947895,-0.138828899654859,0.240096876437904,0.281934204950489,0.628637863485032,0.71822279887129,0.109557225677852,-0.875458040974297,-0.0919798420439933,0.54355744529684,0.764393939685458,0.680480908095558,0.512263716465155
"ENTFA_Ctrl_1 (GE) - TPM",-0.125825307000857,0.135438144750135,0.0863934977017732,-0.327056465895373,-0.0803934428694064,0.547028300914936,1.00045727150658,0.843011524399344,-0.370460052923952,-0.257375128572271,0.76100243398517,1.07327343012248,-0.98609593400641,-0.818308095684621,-0.487352929889527,-0.676181335602079,-0.658544649280247,-0.187512431960028,0.287028375678798,-0.0612285988049745,-0.5290356698128,-0.0372718789614237,-0.144873345396367,-0.0329100771137719,-0.116840651259151,0.0960314272519887,0.0730537595428894,-0.199725749296685,0.925474933129566,-0.373516468393551,0.415325406233211,0.730463946399258,-0.0674778081205329,0.00182476193886395,-0.994751401149514,-0.666497202321929,-0.946839049217864,-0.504897831572991,0.856776798505063,0.63636144977044,-0.278261410384372,-0.236609863921847,0.20728645912951,0.291472007516516,0.32519679449771,0.75105925500956,-1.02480286924949,-0.412945380057142,-1.22622220572507,-0.566737862106505,0.393543513295911,-0.447707302077816,-0.0493501085957382,-0.38454043107182,0.132025761618653,-0.373128362544464,-0.416085826757327,0.389561551847471,0.0598499539358025,0.0531336465772319,0.0174268309145066,-0.829044977344878,0.191716780307373,0.596020538445832,0.18868077499641,-0.540749314185281,-0.740530167836235,0.160155578569436,0.755755970022482,0.771162013497181,-0.0742428936039652,0.20288046294796,0.354870313543622,-0.0104941318707098,-0.4999879894039,-0.334995969995935,0.0373125355597944,0.144784284842371,-0.418607586703708,-0.133486958169123,-0.0983478069934756,1.0682164002772,-1.01174311046845,0.312281960995882,-0.200150763227668,0.507747501016875,0.223776854638027,0.468729524664668,0.207988211632887,0.758461255515008,-0.274714794282548,-0.328481391399146,-0.781002116836862,-1.01749685948404,-0.206740576755269,-0.542398751348487,-0.11296379741015,0.133100241957469,-0.393066980197333,-0.456545265539412,-0.416361253607227,-0.285126644275098,0.0247497274587199,0.0227982716852631,0.134592626418019,0.271621636684987,0.331191587868804,0.169657738681895,0.166982548210084,0.360874920487675,-0.346926145816133,-0.150074860467482,-0.0256201092501763,-1.03253954147716,0.125152910691759,0.121026766759322,-0.282103969660605,0.262840971325741,0.353613694023795,0.338308576100934,0.512872914974682,0.371421360877509,-0.571559670081616,-0.579690243578487,-0.344753347539375,0.283461632445844,0.490745693293772,0.0972998380297472,0.781625832219847
"ENTFA_Ctrl_2 (GE) - TPM",0.102798796937556,0.220292301768599,-0.414288760237562,0.0225778378920656,0.0292115417726887,0.152339287278408,0.362512710904243,0.84059841273929,-0.657755701057751,0.347712265305524,0.571990229163418,-0.165946212372579,-0.52670140521056,-0.336521438830136,-0.43207575253521,-0.879218746088506,-0.274440441879583,-0.160604384841109,1.41925689594162,-0.183987318176975,-1.05314752328957,-0.390270128450336,-0.500033032108,0.388841114831188,-0.347240037825818,1.3782593352068,-0.110921943499315,2.19194103604348,0.590238961146451,-0.112546588881431,0.755630193099741,0.410062927453681,1.03885338650683,-0.0434413216563995,-0.672279455943009,-0.663954803328686,-0.529865563461286,-0.513809727886306,0.632997725355065,1.0408887339326,-0.234065192414076,0.318435019840655,-0.337749402828222,0.0836923859247344,-0.289501086429918,0.12812208658828,0.134864819786592,-0.17853610025261,-0.464243386780913,-0.740327409578948,0.0678914565068147,-0.12120375349725,-0.794655517946298,-0.538625136277838,-0.187103619073586,-0.158140152861401,0.173151975962601,1.076801874652,0.434430731049731,-0.508238506645426,-0.186023309470564,-0.735760549298034,0.132548466506648,-0.238017007698577,-0.497199142905379,-0.726556064827539,-0.870776771747807,-0.250589442165778,0.52067090972166,-0.075161743899523,-0.640910262869917,-0.195360058585889,-0.219870595554885,-0.0286169481797445,-0.0212528919747963,-0.767092708275285,0.0975083916158709,0.108535594152335,0.224397190090074,-0.301278837974212,-0.452133684113544,0.434556071637903,-0.19592986401202,0.198068036325477,-0.361410579003469,0.560918735830413,0.830657450127991,0.510416485551428,1.91954001007045,0.450744424794454,-0.520910181088874,-0.380436685973012,-0.802655381164874,-1.1288151232552,-1.29396447704646,-0.933710139724811,-0.334887666718959,-0.734129645192759,1.38563859501575,-0.834101884444419,-0.983660934684931,1.22562667967474,0.339625938073191,-0.0551268493750309,0.0386106298369755,0.118802443460504,0.40043636228928,0.332516436412851,0.00519112974924783,-0.129178229946107,-0.924387485929663,-0.474567415835399,0.0430059214963499,-0.94118947926395,-0.550344979474822,0.198683741399936,0.909020633480375,0.518660198701457,-0.780210914245819,-0.23999724524419,-0.483616577434931,-0.156090236728581,-0.883929971299991,-0.12939213102836,-0.0628039007205771,0.902304343863351,0.468238486758217,0.393946657640265,0.445010470986004
"ENTFA_Ctrl_3 (GE) - TPM",0.0466615734651527,0.175315291157472,-0.31593793832284,-0.237040127381864,0.293153119550916,-0.0420875798889585,0.367604731178114,1.02524741757246,-0.762493330906033,0.104549172791335,0.119141972045352,0.210135432765423,-0.49371218254388,-0.519352104546403,-0.725980088508767,-0.77375428149769,-0.572872033290227,-0.0812543215022901,0.24219434401154,-0.452605286746713,-1.07093212827536,-0.574167942569475,-0.131717074656527,-0.300395248889003,0.0996136826420341,0.180369113269365,0.0204665753440939,1.57414905474854,0.287175069565824,-0.248297832670141,0.63231953368832,0.324915752166119,1.04115582764022,0.00393512609343617,0.156676554550545,-0.621849532680613,-0.377393853123914,-0.556217922986544,0.615970343674066,1.18123890900825,-0.11090943112087,-0.292580513324228,-0.413460005032005,-0.24249269565826,-0.124208284173234,0.26546078201699,-0.67309691095047,-0.663258340716821,-0.938732870603563,-0.857044702791072,0.0284129270112915,0.164602733693141,-0.998715820827023,-0.745638251383951,-0.242786568669112,-0.164486730209364,-0.511208665069599,-0.474789421742981,0.514171235965835,-0.872001281220845,-0.790221082386441,-0.45050009202052,0.166767374148611,-0.0561733467937625,-0.844736228987857,-0.537002947388289,-0.503490809534915,-0.63786754521025,0.606964174720991,-0.164497881312685,-0.518261994732133,-0.213655004700068,-0.377394478303719,0.319289797461237,-0.555933144667133,-0.824707794561289,0.223894580288383,-0.0123458262352926,0.0706420279488153,-0.480326305294398,-0.532231722279203,0.473693041539965,-0.514681820051795,0.0895421914042749,-1.31415125215852,0.640584893287344,1.2404812147714,2.0353747415262,0.255354349583281,0.463227062419244,-0.218793616264401,-0.506930848480714,-0.801963560220835,-1.0448406343975,-0.782498864499387,-0.919525464150449,-0.406141481121125,-0.703408091029876,0.174718609435982,-0.815016738247631,-0.370375610941467,0.176589135076241,0.261148308839295,-0.174330855630348,0.293462505434546,0.149998198559095,-0.137832165004319,0.0129451400320105,-0.144198281329706,0.211125623475539,-0.644364360632957,-0.684289052096265,-0.306495772329475,-0.840757191177945,-0.682495405410088,0.0211641081776649,-0.239442196203138,0.300552378019106,-0.381718554397839,-0.485392787334536,0.124865584915577,-0.379556332414753,-0.927105652838372,-0.169218435690291,-0.271935909503056,0.998634108679778,0.232744841028482,0.0583922189991646,0.622991547185551
"ENTFA_Li_1 (GE) - TPM",-0.463305037383112,-0.192107600429442,0.12131522748722,-0.509142143462466,-0.589175950495256,-0.715011042704765,-1.5984923062214,-1.51726039007673,0.959444834709973,0.0959853298322744,-0.623155491870358,0.196745957764091,-0.331526961727747,-0.362921057900368,-0.410734934225769,-0.501803160242196,-0.641209151055924,-0.666993509493313,-0.304405659092695,-0.382790619777879,-0.513855265044999,-0.320926943555098,-0.298049622326875,-0.961070614745282,0.165731779573134,-0.0658154754788067,-0.170950837135021,-0.504967815021173,0.19393524093301,-0.368279732742241,-1.09415863095549,-1.00406103383608,-1.02577300149987,-0.968777527932554,-0.872123426156405,-0.364491445366475,-0.665124390887567,-1.18732209936547,-0.095844161839233,-0.313551132362509,-0.70133317469471,-0.431608955318648,-1.19652077998881,-0.946418412863866,-1.3025259231436,-0.343889601485667,-0.869615492282138,0.0656479592559664,-1.38275710338843,-0.340165528572861,1.10759764234318,-0.743235065502151,-1.05787116041367,-0.458414571235634,-0.479091621260899,-0.114569888140398,-0.195174085495244,-0.219396643032238,-0.669209822669629,0.479349328114713,-0.135807898066895,-0.305208978197726,-0.136148640426683,0.197200657821166,0.563142180163801,-0.941160074185389,-0.732038973873679,-0.466534368084434,-0.372836494138168,0.471832870648918,-1.02107460938984,-0.36639825776815,-0.687555171606298,-1.36780819218786,-1.20315917849574,-0.822646679940157,-0.7593111904726,-0.737342135443167,0.0659360338102837,-0.374146128148643,-0.402306572231064,-0.575024756850948,-0.673391730523288,-1.02491252417145,-0.156549237328066,-0.190457864204244,-0.348918089699204,-0.50046441484998,-0.98373127307261,-0.53671050171023,-0.436195400136839,-0.805074364447727,-0.689263603099448,0.346270916575217,-1.52865969360057,-0.512627235050581,-0.153549231299896,0.590308399376535,-0.494913799417098,-0.277257271837381,-1.19312219008215,-0.0922289246339474,-1.28164332940697,-1.31937976919312,-1.48681253360034,-1.40206697674043,-1.45182545587325,-1.53968626749881,-1.58757338894847,-1.49332793284685,-1.03852796871083,-0.792567002465282,0.222147770451445,0.605167272946689,-1.58258873473059,-0.407464969687593,-0.453778934901016,-1.0738629817967,-1.16603306227691,-0.895120460045691,-0.880971440117262,-0.571782768226812,-0.729156759371964,-0.350144991628943,-0.705148628151924,-1.08087367629517,-1.00999954081353,-1.32784794444174,-0.681972419302515
