"","OG1RF_RS00685","OG1RF_RS01630","OG1RF_RS01635","OG1RF_RS01640","OG1RF_RS01925","OG1RF_RS01930","OG1RF_RS01935","OG1RF_RS01940","OG1RF_RS01950","OG1RF_RS02520","OG1RF_RS02525","OG1RF_RS03265","OG1RF_RS05185","OG1RF_RS05190","OG1RF_RS05195","OG1RF_RS10820","OG1RF_RS10825","OG1RF_RS12045","OG1RF_RS12050","OG1RF_RS12055","OG1RF_RS12060"
"ENTFA_As_1 (GE) - TPM",0.604886749577115,-0.345531291769525,-0.190322771839755,-0.0986102557459168,0.40697203345401,0.205831229955776,-0.0568269411279831,-0.00390832864604266,0.492845900254451,0.713661624575566,0.844408791966002,-0.554127084948495,-0.382109867748827,-0.329480880027001,-0.332770582355426,0.0900172599275397,-0.0121381373893512,-0.154811041503201,-0.0333667804209007,0.0983880707740986,-0.036504759338048
"ENTFA_As_2 (GE) - TPM",0.679367079221679,-0.457987215748854,-0.376526890936181,-0.280814578577716,0.378239829147419,0.128869599626944,0.0988776892394632,-0.269586876404145,-0.0871798721835308,1.21666334042075,1.10225264930141,-0.513837789477398,-0.247915474272785,-0.280790421256911,-0.34063166222266,0.125578817102008,-0.0321076194148581,-0.238835256628946,-0.191493344469927,-0.0327288925471232,-0.38523810927563
"ENTFA_As_3 (GE) - TPM",0.920251379293836,-0.362673453207303,-0.336761126982787,-0.191190258680329,0.288978391398378,-0.0704426659464579,-0.214463418751746,-0.142738678845421,0.652954154494904,0.29702854578393,0.540694035911432,-0.516741086002477,-0.21997737034559,-0.293395606133514,-0.363555808399442,0.149928876285739,0.0615652152784108,-0.207419783237782,-0.102425213243085,0.144430236908204,0.0352990802116689
"ENTFA_Bs_1 (GE) - TPM",-0.149868488438403,-0.406525545863998,-0.205314425103726,-0.0522900911857014,0.0963053257854029,-0.181113929703551,-0.458039523101847,-0.377421218414618,-0.171197069046672,0.223663369010125,0.334683298236215,-0.577567975403394,-0.486581943131645,-0.375548338311619,-0.366393014792299,-0.0118168465658406,-0.175932165652485,-0.290054894649034,-0.270439618940547,-0.359812406280635,-0.616715258734191
"ENTFA_Bs_2 (GE) - TPM",-0.492425725499877,-0.612400678830932,-0.467454073425499,-0.240404956473576,-0.119914182331219,-0.428800509324396,-0.790130393433193,-0.330635878470504,-0.747094157490454,-0.248025703282309,0.0376427140298322,-0.573241885678777,-0.479578230320345,-0.329849225045932,-0.35844131879069,-0.0975647162940144,-0.0680614734144152,-0.272296849102929,-0.452892325546123,-0.62587135021429,-0.631114963326073
"ENTFA_Bs_3 (GE) - TPM",-0.603691578933992,-0.351512704577569,-0.366789759358944,-0.022283628288773,-0.127289300262238,-0.438334163963231,-0.667867424500821,-0.60967479143412,-0.00838298911277571,-0.423726464538455,0.248628476799871,-0.548994496670926,-0.439606597945001,-0.299806404385176,-0.376349073780759,-0.0805316973450725,-0.017788860937578,-0.236860689358374,-0.325915472227564,-0.360834108909774,-0.529610275621571
"ENTFA_Ctrl_1 (GE) - TPM",-0.191664022475161,-0.0502899670784354,0.05867060172572,0.0887278359549132,-0.345209886914326,-0.457209123699345,-0.328706479324429,-0.650371792449498,-0.82829772389901,-0.28709144306456,-0.298136149257797,0.129338875717601,-0.262661180530749,-0.172870773816141,-0.238565621660586,-0.245395920195176,-0.206405103245496,0.120540698489603,-0.219578370913031,-0.3127505552597,0.674352043412209
"ENTFA_Ctrl_2 (GE) - TPM",-0.622750683646537,-0.322533411931823,0.191007625896303,0.376311746928291,-0.331453834795933,-0.627028397397936,-0.633276169583932,-0.668266596751337,-1.16994938668059,-0.824378394425895,-0.0472730437329349,0.074511989138952,-0.310466485856087,-0.284580443997613,-0.255834503307508,-0.201765597602283,-0.0772682433188108,-0.368566523000194,-0.49389679280333,-0.803960109487363,-0.223138092913584
"ENTFA_Ctrl_3 (GE) - TPM",-0.466643655358487,-0.274764854142417,0.118408226899476,0.410532280891997,-0.264537022696817,-0.575361383963893,-0.688150894992811,-0.528727960571209,-1.2866792853772,-0.762499891159969,-0.12458812620818,0.0631488889944903,-0.255912990796608,-0.297901244503719,-0.268912305856188,-0.20565250090323,-0.0827591225773207,-0.385861400022949,-0.46320836837055,-0.574469460825165,-0.411967751188507
"ENTFA_Li_1 (GE) - TPM",-0.0168083279729308,1.58138625775661,1.25533449627959,1.11329466365128,-0.730698412560942,-0.826674166806923,-0.708239523166991,-0.610646439781183,0.582249579995439,-0.86869289052662,0.107039670649751,2.05305946280149,-0.0911140016672706,-0.104408425253064,-0.251167089829295,-0.144893893552984,-0.400864285144375,-0.212932095350897,-0.30047027081158,0.189334635934604,0.806460614182046
"ENTFA_Li_2 (GE) - TPM",-0.0481822122539162,1.80387434604881,1.18362371599473,0.946036069527356,-0.753011708078502,-0.711402246493235,-0.464662827326088,-0.44602391294422,1.07866613965964,-0.415402993041474,0.157186694573935,2.07887847217555,-0.122771580591729,-0.167956894976435,-0.243920064179853,-0.113699264738946,-0.0882496201751716,-0.22692220266569,-0.165033812984236,0.1322449031927,0.750095208015895
