"","OG1RF_RS00430","OG1RF_RS00520","OG1RF_RS00670","OG1RF_RS00675","OG1RF_RS00680","OG1RF_RS00935","OG1RF_RS01375","OG1RF_RS01380","OG1RF_RS01465","OG1RF_RS01470","OG1RF_RS13290","OG1RF_RS01800","OG1RF_RS01890","OG1RF_RS02115","OG1RF_RS02165","OG1RF_RS02205","OG1RF_RS02250","OG1RF_RS02365","OG1RF_RS02545","OG1RF_RS02550","OG1RF_RS02565","OG1RF_RS02630","OG1RF_RS02665","OG1RF_RS02840","OG1RF_RS03120","OG1RF_RS03165","OG1RF_RS03170","OG1RF_RS03175","OG1RF_RS03185","OG1RF_RS03190","OG1RF_RS03355","OG1RF_RS03385","OG1RF_RS13365","OG1RF_RS03955","OG1RF_RS04025","OG1RF_RS04500","OG1RF_RS04505","OG1RF_RS04605","OG1RF_RS04655","OG1RF_RS04780","OG1RF_RS04790","OG1RF_RS04900","OG1RF_RS04905","OG1RF_RS05105","OG1RF_RS05125","OG1RF_RS05610","OG1RF_RS05690","OG1RF_RS05855","OG1RF_RS05880","OG1RF_RS05885","OG1RF_RS05925","OG1RF_RS05930","OG1RF_RS05935","OG1RF_RS06020","OG1RF_RS06070","OG1RF_RS06240","OG1RF_RS06245","OG1RF_RS06520","OG1RF_RS06705","OG1RF_RS06730","OG1RF_RS06740","OG1RF_RS06790","OG1RF_RS07010","OG1RF_RS07125","OG1RF_RS07130","OG1RF_RS07180","OG1RF_RS07185","OG1RF_RS07210","OG1RF_RS07395","OG1RF_RS07490","OG1RF_RS07555","OG1RF_RS07910","OG1RF_RS07915","OG1RF_RS07920","OG1RF_RS08180","OG1RF_RS08185","OG1RF_RS08220","OG1RF_RS08320","OG1RF_RS08330","OG1RF_RS08335","OG1RF_RS08415","OG1RF_RS08705","OG1RF_RS08760","OG1RF_RS08925","OG1RF_RS08930","OG1RF_RS08935","OG1RF_RS08980","OG1RF_RS09370","OG1RF_RS09535","OG1RF_RS09540","OG1RF_RS09760","OG1RF_RS09765","OG1RF_RS09805","OG1RF_RS10195","OG1RF_RS10365","OG1RF_RS10470","OG1RF_RS10600","OG1RF_RS10605","OG1RF_RS10615","OG1RF_RS10765","OG1RF_RS10770","OG1RF_RS10780","OG1RF_RS10865","OG1RF_RS11090","OG1RF_RS11305","OG1RF_RS11310","OG1RF_RS11330","OG1RF_RS11370","OG1RF_RS11400","OG1RF_RS11465","OG1RF_RS11600","OG1RF_RS11630","OG1RF_RS11655","OG1RF_RS11800","OG1RF_RS12430","OG1RF_RS12465","OG1RF_RS12470","OG1RF_RS12500","OG1RF_RS12585","OG1RF_RS12600","OG1RF_RS12675","OG1RF_RS12820","OG1RF_RS12845","OG1RF_RS13180"
"ENTFA_As_1 (GE) - TPM",1.08199151294239,-0.44568197915341,-0.592275050011371,-0.688541217355033,-0.735033203574505,0.385009578606879,-0.684535664539166,-0.411758870418184,0.767850884686036,0.213168157358116,-0.0179807296075913,0.310279554536011,-0.241045098897595,0.195704958232721,0.1863998952617,0.965669962169051,0.173551592674064,-0.325809880402825,0.0934190155549991,0.084330188854159,1.45935049520043,0.0257017567255216,-0.265592223366282,-0.392456033145078,-0.560773741551385,0.317903867141067,1.16020174590835,0.533257894639618,-0.648420105844685,-0.594986186968233,1.0030552365449,-0.194922737481936,-0.350067291989634,-0.044253995145715,0.249550804205309,-0.328515459646915,-0.424235737306253,0.381893204427267,0.448403743921016,-0.735127209160936,-0.305439645162789,0.429641457609858,-0.0752912923990385,0.483163777407044,0.421374717330628,0.217221533592509,0.341126478441964,0.0580537695369495,0.592858651178083,-0.465096473720657,-0.0688617213267246,-0.362079800712557,-0.672057097065867,0.590279594699271,-0.569222203725673,-0.00281373145753618,0.0283301586423183,-0.27950384183421,0.713109422623118,-0.530096443413493,-0.35516393074645,0.65373569972598,0.70714393240336,-0.0584894827185658,-0.458439085849783,-0.00440420737941211,0.22008744811923,-0.309146539052819,0.18613374798207,-0.246939744583589,0.435445053422095,-0.00949222197499089,-0.749992087946541,-0.319556514220136,0.604797542430703,0.130547508920707,-0.89073301502889,0.416845098706839,0.1651521775458,0.361840330115703,-0.185670974390728,0.194175350313185,-0.426441339130499,1.18733440585106,0.602213359289433,0.627818843702484,-0.140353430975429,0.996649677967802,0.870568160738233,0.297834378383823,0.0537362311320879,0.141754878577058,0.319142684226757,0.242244088160127,0.254528394522466,0.235811156324673,1.4693313961725,2.24603615515307,-0.316236758507631,0.444685059873806,0.81507032167147,0.689835964468222,0.883038397863347,0.192710270062069,0.529298084286613,1.53324320818001,0.282653735127412,0.0772030341192778,0.926750115439258,-0.329594308029889,-0.457219065261508,-0.748663472815279,0.407335846429053,0.130812296312006,0.340306085242146,0.193055519589662,1.36966947667683,-0.352262446018802,-0.120801634055897,0.574884805365642,-0.296053032839026,0.80920591424784,-0.899097328830476,-0.145269759993819
"ENTFA_As_2 (GE) - TPM",1.00043613828457,-0.377596162126013,-0.948276725993186,-0.917064782919938,-0.79686932534262,0.121465434148369,-0.689224891905875,-0.447849861338436,0.696603708409812,0.783410159280827,-0.0166168293165461,0.400763320993363,-0.184590211648601,-0.00284260615570967,0.0871450619949272,0.453526243442988,-0.313574829785671,-0.473297958328085,-0.164665462130107,0.0651700892370556,1.13555578688744,-0.302069987116722,-0.105663563857508,-0.446893221183009,-1.05189458530407,0.381929112274837,0.787360419150643,0.500400391228106,-0.665942239379882,-0.684090136722602,1.29039597069575,-0.324950377184465,-0.588396546646156,0.00786510799996635,0.32348348775697,-0.402368056171708,-0.399677755085614,-0.0962517317423768,0.209090676091407,-0.68689508135693,-0.334392528803165,0.202792717874341,-0.140182152618522,0.407082573572602,0.295529459866776,0.293349888831192,-0.479873118208717,0.113728661450596,1.54308174001355,-0.29248771220853,0.195511701328795,-0.0281249279739431,-0.448649974077594,0.175571229427685,-0.0955793144091382,0.195065437193226,0.0289512052900342,-0.184063667910357,1.15689656709909,-0.68682594971988,-0.228471961982298,0.333633686663766,0.654695769645333,-0.277064183443234,-0.346571781591928,0.544736688218182,0.808993900775663,-0.296372909117545,0.398631756585569,-0.112784540932751,0.102703796449256,-0.279831958893916,-0.547673291867584,-0.808736382455367,0.53485452852258,0.0451542782735236,-0.583197516476339,0.310954503568453,-0.142013588738868,-0.114469173752674,-0.324050009690759,0.370728998582013,-0.538895004064607,0.806611751625291,0.57932900049146,0.415067216082086,0.0892509941071029,0.603580093699285,0.731979233542671,0.198372589842664,-0.137904316868566,-0.300546012657438,0.765482587698673,0.0368697354510032,0.041804097519461,0.102240826652773,0.858430423508869,1.66504347965037,-0.487676204894437,0.298597983184962,0.564781297883153,-0.422194834564491,0.253022652164233,0.323536409595671,0.834891895803072,1.75438856595873,-0.188774351270428,0.220556176020979,0.913551118510604,-0.612120566940945,-0.494406976991452,-0.761597429284786,0.51890344044087,-0.24161695880155,-0.241973238423492,0.226371741907899,0.451930768339855,-0.527210950941954,-0.0921328787462874,-0.133710893022779,-0.250005356751593,0.926482505753718,-1.0322658342297,-0.350098042510034
"ENTFA_As_3 (GE) - TPM",1.11005023181914,-0.251520659570952,-0.723844256344524,-0.652455912108198,-0.78083895251504,0.157625574268616,-0.668013764563202,-0.532031562073975,0.61025752019753,0.32095933129971,0.0528444296900727,0.776560064067047,-0.179787237384214,0.368245636891464,0.260343632070646,0.496358601800648,-0.00356534804316777,-0.374512435537559,-0.204554836577127,-0.0754875666226896,0.484033886596684,-0.231525050219291,-0.256740838223292,-0.378703295568015,-0.690516501835118,0.0899260268737353,0.726911968593707,0.916052087919551,-0.492698126648371,-0.542671339926518,0.360426907868536,-0.46273816875676,0.695859122463656,0.0427226448416441,0.3096892089692,-0.507147499452887,-0.644131574819406,0.0527020432599045,0.567914136007719,-0.65947000215379,-0.112939910259256,0.349783392284691,-0.127305859993141,0.472567338965863,0.301485656731658,0.121327699009239,0.0627576134244977,-0.106276179805874,1.24130917657475,-0.181566485869653,0.0685445904203852,-0.142888899377403,-0.332463568629384,0.451192347757917,-0.392572300225809,-0.0609159220003664,0.662122973660319,-0.382276436540554,1.07835560379577,-0.550476435182684,-0.207789002249391,0.796144904744201,0.203120165039553,0.100477317044202,-0.378921739094099,0.108292874415032,0.237971457865153,-0.384082196253626,0.572888439893857,-0.37000722993727,0.477324393316412,-0.691822208058981,-0.015377302067637,-0.817720440700698,0.508067094123011,0.605000764664128,-0.726186410904001,0.447060371878097,0.321193635685963,0.266270441865207,-0.156691260295948,-0.383870987726485,-0.530492973848724,0.938449612392301,0.543518972661125,0.848418877344927,0.262367262213466,0.435150402615729,0.785879913555247,0.2022845459654,-0.0454296610435856,0.0542816372752145,0.27306203593137,-0.0412266705308559,0.36506348287958,0.198426547108251,0.991605023714129,1.7101180933172,-0.651357242770997,0.329896559749118,0.762293954076448,0.747401728493403,0.870188343173812,0.237601421467589,0.701587778401655,1.30924284430493,-0.305578929339403,-0.0545489773816562,0.838398355726133,-0.600487613495095,-0.225784959871393,-0.822951531714354,0.627759162521686,-0.169081484632277,0.271255165670271,0.15771037277311,0.678814442973064,-0.432004097839898,-0.0128641249953535,0.472144756921182,1.59940584135346,1.62048842371465,-0.746372277535892,-0.317620255917732
"ENTFA_Bs_1 (GE) - TPM",0.729395065663162,-0.165546559593191,0.420272399848902,-0.235035309433785,-0.681503829720176,-0.99008674507684,-0.328420388527911,0.455269025277568,0.543069270175874,0.2909958534546,0.833035334799865,0.781929974213699,0.421117244990492,0.694935177741753,0.957767734574796,0.866872373581774,-0.944670186357028,1.09186936165801,0.0604777884695241,0.444558837925224,0.704654568685339,-0.335092598025943,0.55846234443933,-0.36342791658878,0.54489215174547,0.0172150725276268,0.271392083791826,0.295425245810308,-0.527394204235308,-0.761798933731088,-0.340128037214954,0.293666143538014,1.02853559099181,-0.572344498044495,0.564167656987041,-0.429524597825082,-0.734589370203502,0.237992868558333,-0.173039468994372,-0.065567699584,0.166672716220722,-0.395981214233054,-0.559208346368484,-0.711977504084634,0.802242666890933,0.152210723434972,0.298074266631965,0.478651847775145,-0.286139801166277,-0.165110201773576,1.22134839313534,0.957712197994065,0.0940658881937127,-0.359735486936909,-0.00938318180081103,0.378793794843768,-0.359587441036278,0.0586565141688271,0.144115585606753,0.401754734517492,-0.301042222731125,0.24473430116919,0.88163058070598,0.292929756267934,0.00485348001892667,-0.0594052044424316,1.63779012768517,-0.387099512149517,-0.353463079686514,0.234478137783052,0.255224190593636,-0.17208438372329,-0.0263871173120189,0.128605780069413,0.152253815999199,-0.28309643895631,-0.0922488694088079,0.026770221460943,0.639168634774879,0.888345789507844,-0.0124990150676007,-0.25467800859803,-0.0545083509115238,-0.182686169548311,0.57637561196447,-1.07586594148808,-0.162411211253222,0.334182985862956,0.0939513565537137,0.104491359893574,0.28665256473621,0.281146887204838,1.32870964896806,-0.846270193437282,0.495643628445125,0.00309370804671958,0.577026144003385,0.80394301972295,-0.399174791212286,0.285322045560269,0.964050576752127,1.10529975082666,0.84409337468284,-0.218905292321677,0.87398158257631,0.271547154939466,1.56836439142935,-0.0859436080139501,0.0458900938937944,-0.5393353767263,0.381346447550385,-0.176304879882129,1.29886385463476,-0.879248826748422,-0.199329268238904,-0.312415242699878,1.29867510145341,0.924573730307135,-0.0620908255568051,1.84487967689125,1.72746578521001,0.462725001431189,-0.44559605879771,0.418575622377334
"ENTFA_Bs_2 (GE) - TPM",1.39995816284634,0.832944396374574,0.327365636582882,-0.261698681937182,-0.489363729806327,-0.999642475727467,0.359615920410793,0.852966077404462,0.250955360378525,0.415142361466931,-0.295394696263059,1.68047507984424,1.12135107540093,0.594189314382557,1.15661109568398,0.71170834152058,-0.690907368391344,3.23800962294534,-0.0626592412606162,0.759926656976766,0.720777424978619,-0.55434057572815,0.994468462641822,-0.185560202594481,1.67193961887533,0.81157782911382,-0.053381255707504,0.0455259115538361,1.29413719311717,1.00064074031284,-0.608343922953689,0.416473867020541,1.94081626714275,-0.483283138356206,0.304836855403717,-0.408210357139577,-0.743944005780219,0.708804687984588,0.148813675123485,0.601298381619592,0.504180714640965,-0.495845101459597,-0.512041714534447,-1.21697497077167,0.968843278672707,1.37958011564863,-0.0468771843354454,0.896656707722634,-0.548315755145122,0.713497318182798,0.647594593772205,0.740313333935409,0.17144593611986,-0.853107787163094,0.615228052415596,0.350439083309795,0.677208471736081,0.613785347474168,0.35030415378562,0.702968137463565,-0.413001346425841,0.583710998067159,1.13090172346322,0.220748184879124,0.33040771494344,1.17931313450473,2.50040763238616,-0.441365438355649,-0.813340273309585,0.426488712391627,-0.1692145502303,-0.101532327401724,0.188154114411866,0.397493743522914,0.45254704849629,0.612156182394458,0.108158568579168,0.420052010624418,-0.168008140288949,-0.160928417726798,0.79958744283945,0.144901119276294,0.340664525751867,-0.142062169330197,0.365616968480269,-1.11526078291,0.254611156578608,0.0191873275575156,0.5833279060189,-0.072095032291377,0.214334525390169,0.0686743304409888,1.03359686876428,-0.634414521467452,0.66437836728911,-0.329991460735087,0.860465742419938,1.02827882957963,-0.920446830790135,0.016474111581905,0.35541956432574,-0.0947294111920682,1.2381128253765,-0.179806717190024,0.589228663334936,-0.42628028993711,1.83473826251447,0.665631470224865,-0.170334405991192,-0.843555793127854,1.27873448059808,-0.325549558513281,1.92466399774165,-0.846305941946981,-0.46584790072052,-0.529046185763491,0.345484866277243,2.10242076630285,-0.440778929806852,1.12753693759249,-0.436685040917904,0.267689566902855,0.0908290157415164,0.419553699735284
"ENTFA_Bs_3 (GE) - TPM",0.604925363115133,-0.704333018604765,0.345366643380533,-0.426624773490708,-0.583923606605595,-0.886423745229541,-0.0711134961038901,0.328555817380036,-0.0551337755960413,0.192585655913573,0.607231543761548,0.9480664547614,0.428449003324147,0.645828022627497,0.980519380245038,0.429815855951701,-1.00321837745033,1.40442311009711,0.039448933911898,0.685231208673693,0.270146115477275,-0.438328216718152,0.603428114032102,-0.368534412486782,0.568599620150082,-0.17045290650715,-0.00290018370888144,-0.51793970673229,-0.436879073230141,-0.341522560470553,-0.678243290907983,0.0366294390210062,1.06384316458209,-0.92619586243741,0.512832600526785,-0.337073722107721,-0.722634558433432,-0.169833039477398,0.0306078184056624,0.128184996762069,-0.0299654662217004,-0.673528727416535,-0.480330057862427,-1.31935075328657,0.642352732415642,0.21999923036954,1.8284144173452,0.261431042851921,-0.520984161168453,-0.0711997815521022,0.821505430620205,0.513926062797502,0.143792364475227,-0.408974524154008,0.133775131176811,0.416852356088987,0.556694055122663,1.09498808523404,0.392345039475292,0.533846729958988,-0.247336670464673,0.892503335800348,0.700157767165327,0.730753043902325,-0.148989207459839,1.07056467752172,0.998720469741049,-0.44494345986146,-0.19246951266791,0.192878475988537,0.199435390114661,0.104006390362731,0.105385907623413,0.0245994776631581,-0.194941039682886,0.122425454554144,-0.203513201436321,-0.0913840135479043,0.33557081947912,0.0472861821467879,0.0660047206354643,0.817268410483665,-0.0677430387541281,-0.240873083677972,0.294376030254282,-1.09160205499278,-0.288757729323705,-0.388881672089327,-0.127273570213821,-0.0905350305170361,0.519628547586319,-0.0773437520218662,0.675700644564386,-0.663288547876093,0.788182862435856,-0.0718634476674079,0.4703536299945,0.506773596052791,-0.401424664294171,0.202854722823166,0.260120539404416,1.52572008770423,0.244605066863878,-0.200366924184871,0.58922870342061,0.0573155400907698,0.789352766434437,0.281192651366587,-0.18878323876001,-0.453367715259195,0.304151431920215,-0.619285651751411,0.936464816223649,-0.829793150322795,-0.484642497285273,-0.385346810861899,0.370272820043024,1.20258739433055,0.129503371867617,1.12317374782655,-0.447324504916918,-0.125344061019385,-0.306368551548627,-0.181516083596369
"ENTFA_Ctrl_1 (GE) - TPM",-0.781313860666337,-0.848306750504287,-0.767958688392229,-1.01259147769376,-0.995386717390913,-0.0199215960306935,-0.720303725958426,-0.642020042813539,-0.151603055076267,0.473381415731083,1.02390433238384,-0.753914530392578,-0.463704499894756,0.613252441525863,0.651920019899473,-0.666764560370389,-1.32899136163557,-0.663886682649154,-0.550826768708937,0.18367652198779,-0.6417843938093,-0.812113165037688,-0.0575181299857771,-0.702648699928926,-0.863784027002604,-0.98936661028564,-0.406622240839403,-0.584883830729533,-1.07976383742104,-0.828104303463103,-0.214468197823748,-0.785431056777302,-0.996278660779862,-0.691743372092048,1.01111318416187,-0.534454824565066,-0.388228333075932,-0.107920295335379,-0.635654121359549,-0.364767592387364,0.571795787333423,-0.813370565712104,-0.802333621961713,-0.0426361727323642,-0.192744558052226,-1.06809454420199,-0.00960884796525969,-0.366844053408139,0.255690823693714,0.498245351040282,0.187127004168194,0.489306894791047,0.62374103037009,-0.551600280081209,-0.194571476206404,0.625491048944768,1.49765066424995,-0.802596304601559,-0.558413439390571,-0.749754678433222,0.21190831681329,0.628586536471768,-0.556512893316238,-0.579534370956114,-0.664302523992521,0.0382248663308676,0.346669898897649,-0.200406434500881,-0.358385060618972,0.441948032490662,-0.310432608108701,-0.170797529122293,-0.211367839344712,0.208176489303459,0.466102465216958,-0.284246945892372,-1.44360361268281,-0.887124771049816,0.61934213180782,0.637720043570859,-0.493281878051661,0.0423204390811792,-0.457734054747994,-0.154516440688399,0.833711894978486,0.720269986224474,-0.935670986315856,0.132530263153457,0.29445877237969,-0.0643323425385851,0.111188226798978,-0.25516991930553,-0.41527691737168,-0.00183626482606851,-0.441070632995132,0.658445407516959,-0.231482188228811,-0.449246575458011,0.275923265988672,0.237856431464254,0.193594380567404,-0.330106968187957,-0.131426122783178,0.679467254172393,0.221187554969328,-0.0340085884659361,-0.555674238484348,-0.520922830577734,-0.282011258026145,-0.864000733436716,-1.10933917656712,-0.974360605263919,-0.799396167825128,1.64307271352319,-0.0587180119090394,-0.149952039952231,-0.83053134437787,-0.523792278592971,0.497921446480121,0.0240767991057871,0.162633058591525,0.604952107612561,-1.29335749138496,0.0599472911359964
"ENTFA_Ctrl_2 (GE) - TPM",-0.904250013535087,0.194839829687187,-0.986267998613691,-1.37771702051027,-0.879558932081302,1.60691884908372,-0.636051456484579,-0.814876018982917,-0.712748982776931,-0.590511075707335,0.217366844976619,-0.341955973004213,-1.03884440066274,0.00215530873086837,0.00212350781477528,-0.885090514094729,-1.59705950641728,-0.812925414026736,-0.672801462484658,0.631660445769563,-0.751195125678598,-0.958846189559318,0.155747829489612,-0.983425361671036,-0.680576206903668,-1.58837075233141,-0.477889088660199,-0.595169369511135,-0.865680790290233,-0.763629363944725,-1.21611412744822,-1.1149190897065,-0.776892060305144,-1.14173432692382,0.529662944769709,-0.467383825380202,-0.433313516055661,-0.414500728729687,-1.09026937509087,-0.3248131430673,-0.205651408358433,-0.919103115144588,-1.15080316719444,0.134946852068985,-0.637322218736823,-1.41617798493898,0.417142466836015,-0.190073154325465,-0.289016545481847,1.10094737476248,-0.453003257399185,-0.310732291114141,-0.224292239644925,-1.0222085363474,-0.699612958892527,0.51144931914783,2.00641915061677,-0.850883662115377,-0.99198816896361,-0.989227552220931,-0.0465321440274009,-0.160327362596363,-0.994127755760613,-0.822396643411102,-0.913017940207767,-0.685278055404244,-0.354558434509743,-0.24933142542011,-0.624782442075041,-0.0952695061028524,-0.124026629410559,-1.40824202556095,-1.31294196965917,-0.218276028088641,-0.707468848022502,0.556623090899411,-1.53828717648024,-1.1076334812912,-0.697558537970189,-0.51569803101156,-0.219079507355817,1.10558427807716,0.85593308373161,-0.488456827318389,0.324366624415748,2.99482504294999,-0.56390939015957,0.459809127070136,-0.515942570346277,0.169402636503359,-0.354757909287608,-0.917973012072745,-1.09541678730779,-0.995477554275637,-0.787311988717913,0.18298183291741,-0.346777196672593,-0.823893877035074,0.45732173816731,-0.465239150215442,-0.348084243806879,-0.957850466399491,-0.707990207230512,0.130938319540686,-0.138445029566021,-0.65383396883785,-0.975328888804061,-0.642556619663081,-0.572799182245814,-1.23243566159802,-1.70948931505994,-1.10374406590547,-1.3832122111898,1.74626630676142,-0.942891287701145,-0.472953744233199,-1.29202775603361,-0.686854505059064,0.198404285146253,-0.511920128268169,-0.15026136434154,-0.0899063949882622,-0.539403669796992,-0.535906574893107
"ENTFA_Ctrl_3 (GE) - TPM",-0.832347269568747,-0.44868773680884,-1.02143516087879,-1.27531385712366,-1.03329734720583,0.746283482366007,-0.761663733339908,-0.88348851269655,-0.628930299488257,-0.633734204247274,0.126428435965776,-0.588338587977715,-0.773024573970193,-0.174395742425028,0.135443977596798,-1.08744202324332,-1.54797859814276,-0.661705536909746,-0.658235658615733,0.46183249843405,-0.837685058174132,-0.909103273197726,0.154106135603891,-1.09693034613142,-0.508757688208246,-1.38776434415885,-0.756045485855722,-1.0327688704998,-1.08655247704327,-1.09874791349473,-0.85448959150112,-1.25346110376008,-0.884118624657254,-0.860306860558074,0.670719569815859,-0.603507143741626,-0.352135025932596,-0.107271070994363,-0.992494018664558,-0.425395729520871,-0.17982324468229,-1.09986256118844,-0.885161728119448,0.517161864272371,-0.665034479253528,-1.26142036170862,-0.515680915386495,-0.511334727419424,-0.425542060887351,1.46950464644649,-0.618511019145097,-0.391341187488993,0.210654411824912,-1.08284849788718,-0.670610383951315,0.282861933380283,-0.236673427539631,-0.783927271915193,-0.990344272865256,-1.20995339405124,-0.0458943701093448,-0.40496673701172,-0.930775780170581,-0.897655985097868,-0.559241152514312,-1.20884373592068,-0.411116346410384,-0.27919395387947,-0.684598678319666,0.0215102258657962,-0.756684130001384,-0.794323445884573,-0.60244527303976,-1.05880859160663,-0.531268566883968,-0.729715448065994,-1.52489467246284,-1.13692633680809,-0.512386373179383,-0.58325894630123,-0.133933924648633,0.831737088823574,1.35936500951445,-0.547306487643804,0.51387271572463,2.5768979952967,-0.87673421669488,0.942984714824749,-0.638071602013855,-0.19059234713907,-0.442038033978365,-0.87010855668119,-0.701661500376251,-1.03035930285849,-0.70587165600604,0.384940922699225,-0.642751385238358,-0.728210847571884,-0.243474980025014,-0.508050713503626,-0.4192323318717,-0.913912599919298,-0.662872521199095,0.315836474740795,-0.0274144293804888,-1.00539525770207,-0.928035913947312,-0.652368790344759,-0.676871397102648,-1.11023532702181,-1.60457817015073,-1.14273224465896,-1.24620369436869,2.09116753300619,-1.07054150943344,-0.372006769527414,-1.35411254965241,-0.543339486473995,0.074901999972649,-0.794212765242511,0.543881940985061,0.0798909659000567,-0.808605650960924,-0.255268802308723
"ENTFA_Li_1 (GE) - TPM",-0.364787250246512,0.989677102910654,0.86531561013132,1.06959432249015,0.792657540334989,0.732956949669471,-0.452876336018327,-0.710516488303496,1.48531605801861,0.596797607069694,-0.600485055830514,1.00386946630287,0.391215683093864,1.10037138686264,0.850860410048576,-0.3618493710611,-0.929868250273878,-1.05319867953476,-0.438874919757606,1.49765494826397,-0.424527865912367,-0.661463645632843,1.30332221548678,0.284773114204148,-0.913074949749995,-0.633887973825449,-1.01280146953018,-0.752519039958992,-0.867449632093698,-0.820633880550685,0.129843087305522,-0.0501744670052222,-0.339424300111105,0.0843732776905761,1.05243510211809,-0.70760802822349,-0.44734386789413,-0.410991302193206,-1.16454212993407,0.0646304636562127,1.01098927874029,-0.622615485619244,-0.671193272846605,-1.46063047370191,0.39583815930816,-0.830250171584469,0.307452296775462,0.0986725906342514,0.47265138218268,0.126358792901218,0.66491371632162,0.000598276421585703,0.037083065301941,0.380971493156828,0.103145706331867,1.22488375630263,0.106786569250832,-0.8948653623866,-0.504179208810688,0.362390305414145,1.63198975033095,0.0810170154772529,0.242829854242191,-0.336421027510427,-0.519174762987872,-0.790050820335901,-1.3298261175026,-0.253582695514861,0.717874064066788,0.423647680353786,0.918333014699679,-0.424625234475533,1.01770741705033,0.409503814140661,-0.309259213288283,-0.450590296358862,-0.138108921837922,-0.026662684429694,-0.0169529567228716,0.226152334668715,-0.348074080448439,-0.144987737941728,-1.27383290886243,-0.0524261797976675,0.262255356865008,-0.393250021400707,0.121596551387352,-0.23316166443678,0.731681937752661,0.770347812458429,1.37292870005346,0.211095281899579,-0.727617545207411,-0.585578679222365,0.474054182067722,-0.41796345912844,0.00160630537490422,-0.304257269826641,2.93643475821249,0.545939531759639,0.535649122613255,1.37303699634826,0.31235736535002,0.256226794028844,0.10370254858391,0.0725990044051178,-0.359793898011153,-0.17785292113996,-0.844547993286994,0.606606514636732,-0.528206263677234,-0.187996433933867,-0.73830388828211,-0.761193989696639,-0.82347936889462,-0.303417379120945,0.0568920449536919,0.704426001288391,0.946504713819253,-0.143562207692604,1.78916551209568,-0.134103767916436,-0.612156145016672,-0.629015478096523
