"","E2348C_RS00900","E2348C_RS26225","E2348C_RS05865","E2348C_RS09860","E2348C_RS09865","E2348C_RS10195","E2348C_RS10960","E2348C_RS12410","E2348C_RS12480","E2348C_RS15535","E2348C_RS18490","E2348C_RS27645","E2348C_RS19135","E2348C_RS19140","E2348C_RS19195","E2348C_RS19200","E2348C_RS19205","E2348C_RS19210","E2348C_RS19620","E2348C_RS24350","E2348C_RS24355"
"EPEC_As_1 (GE) - TPM",2.13706481360903,3.27386156863999,1.31153529872099,1.65960983545196,1.7728135598994,2.1157352389961,0.754865801093096,2.47825161079903,3.13562638030818,1.62177653359457,2.02497940914036,2.19608403965572,2.60955479093629,3.01841395516104,1.93724691308094,2.49625441928881,2.81699616230202,2.65138958856192,1.9844865077929,1.62673300233342,2.26015977203544
"EPEC_As_2 (GE) - TPM",1.86734305739081,2.27023228195375,1.40383194857564,1.43729004628082,1.90419432351626,1.13461614674899,0.389889490704307,1.67591792566924,2.90431723823043,1.29262388324412,1.36120118151064,1.53908294463255,0.782240068947486,2.43166398978084,2.34129620746628,2.28926073226116,2.41703866812679,1.92011316656456,1.87725970650923,0.859493650911528,1.52688393092961
"EPEC_As_3 (GE) - TPM",0.704410566718566,0.940226304549521,1.1969663452211,0.456786036216415,0.815695062992353,0.917580472724904,0.286257723624631,1.73867366918317,1.92559472276746,0.616126279572618,0.584749609863398,1.86239341614143,1.19948110240641,0.675389310588549,1.29598200076233,1.02766751225793,0.912090876433244,0.706233233203607,1.76060990993636,0.570600921425322,1.07081425929159
"EPEC_Bs_1 (GE) - TPM",-0.710526760948632,-0.497793319332049,-0.633892849334212,-0.859116137782956,-0.790258646310091,-0.297755499203323,0.542215859748801,0.279665097670369,-0.305496578608305,-0.223169678854534,-0.95384728614725,-0.220702552304976,-0.192685234231286,-0.146627135538896,-0.250501581478318,-0.130855162461524,0.0336190721737189,0.040483367250945,-0.609869353734391,-0.31156582647486,-0.333136713593028
"EPEC_Bs_2 (GE) - TPM",-0.21611735352531,-0.110149090109455,-0.310579703373542,-0.484611156759086,-0.447163661956825,0.512501046429786,1.06601080126182,0.499768766622305,-0.153063229021908,0.401537100435967,-0.529740377480089,0.200558468851434,0.637864744601453,0.334308601973645,-0.0666819998105851,0.233597515529312,0.355854890271088,0.531393973703887,-0.607034199479371,0.231225713806296,0.227096318783361
"EPEC_Bs_3 (GE) - TPM",-0.345712560459349,-0.181746313615659,-0.887919692292864,-0.770796690135086,-0.737964575008193,0.378681995090302,0.798277371604712,0.499565899731441,-0.163971260507268,0.115530487253638,-0.680382950612187,-0.0284369413208477,-0.380853762500195,-0.0202344402652117,-0.181975577316296,0.0901654348240167,0.245381360772705,0.293102610832512,-0.605628194144524,-0.128273752456961,-0.237804715867927
"EPEC_Ctrl_1 (GE) - TPM",-0.603170499733975,-0.747683980813204,-0.340207950713847,-0.694971904666266,-0.701757852832415,-0.22233487874757,0.0100661467029329,0.0196740983830658,-0.563574379064816,-0.606773066050918,-0.87633286062415,0.967773919982137,-1.03881259934691,-0.741192467225634,-0.559664910008187,-0.513490837017965,-0.363472975386615,-0.317611130090238,-0.59337667551241,-0.433411368179825,-0.60565343668934
"EPEC_Ctrl_2 (GE) - TPM",0.369939630449869,-0.604943216909774,-0.68909170316858,0.202337928043139,-0.564614381611446,0.414645175595615,0.3951105191262,0.897357743953505,-0.49604052456834,0.354073503763769,-0.370923639958362,-1.23418934383739,0.348647745162543,-0.171529981366481,0.064154791387242,0.545507576315729,0.622882159001061,0.24686402167526,-0.700469503922071,0.539993542599699,-0.250716495269546
"EPEC_Ctrl_3 (GE) - TPM",-0.323134647203953,-0.485732502543204,-0.00421556574577713,-0.275977339261373,-0.266306529152536,0.229896531475902,-0.132181811907047,0.596485276825374,-0.196564368674749,-0.455247336212802,-0.403445339326328,0.0521609871047228,-0.0539698615780639,-0.605168201926876,-0.226243759704771,-0.0502935801117905,0.207811997294748,0.319315933901932,-0.643916180101479,-0.110281099696572,-0.543814529394759
"EPEC_Li_1 (GE) - TPM",-0.672619136021431,-0.528281563477069,0.779674578280517,-0.512653538235332,-0.587043839231467,0.268141815404473,-0.29892285594353,-0.719205290128483,-0.216322962153124,-0.542145592537193,-0.929210593187644,-0.0968897452324537,-0.752499777543292,-0.449644113029969,-0.210988128432027,-0.41442861127862,-0.164648478274509,-0.285170675760191,0.510694028130966,-0.276368727907738,-0.420193435390636
"EPEC_Li_2 (GE) - TPM",-0.09682237557623,-0.323589405272727,1.02011093812167,-0.354573760447711,-0.327299184575432,0.254399046536062,-0.848959280948163,-0.298581565940314,-0.108780560756707,-0.514737228279379,-0.724716018567609,-0.304324381727743,1.41064445755078,-0.108287033498722,0.271582989544095,-0.315012470223668,-0.156549836386842,-0.10743936884654,0.162005432698022,-0.0557386009270653,-0.327271597651235
"EPEC_Li_3 (GE) - TPM",-0.158181036750804,-0.22669523966904,1.28245497834927,0.196482124155323,0.302489511990184,0.787511077756908,-0.520213515718927,-0.301328364986096,-0.0207087765454706,-0.188088906093219,-0.527135780541056,0.766621572557653,-0.816135955919759,0.13535404099775,0.114047846044736,-0.114728638632385,0.133093136214318,0.0380620772777109,0.562021801890617,0.360794685101862,-0.04922811613887
"EPEC_Mig_1 (GE) - TPM",-0.239116691603425,-0.619833272947053,-0.329784112603666,0.00447109209360088,0.0562875886280302,-0.659253814408188,0.0165479131104805,-0.210505411906485,-0.357146142444899,-0.326033269411327,0.683353094608055,1.29977776259597,-0.285837354153634,0.0113733631061206,-0.825093768140568,-0.429196579877957,-0.715117118170239,-0.825970783942502,-0.880922985790763,-0.481662565101205,-0.153965642000711
"EPEC_Mig_2 (GE) - TPM",-0.762817013970717,-0.781778360244041,-0.076287569108411,-0.241936458978952,-0.0376915481589962,-1.13026002500856,-1.11873975930175,-0.199312476133138,-0.529230188842214,-0.081296411440879,1.08333841903768,-0.468488843376633,-0.371903893904414,-0.790908122122608,-0.962720206443575,-0.879766648625868,-1.01289474802534,-1.17132480853079,-0.880922985790763,-0.84740552884448,-0.645407798089763
"EPEC_Mig_3 (GE) - TPM",-0.766236043136596,-0.508024728270037,0.340307924377568,0.05907931273808,-0.152000417662636,-0.808888568534479,-0.919902171178462,-0.900777147949536,-0.610768933861526,0.166096515312575,0.642631592175137,0.548818916364127,-1.42176640089991,-0.58971286585263,-0.777551676399052,-0.795505165481843,-0.77802984865754,-0.940131737520575,-0.703744269025327,-0.438602033130889,-0.482876594336258
