"","E2348C_RS01230","E2348C_RS02195","E2348C_RS02560","E2348C_RS02565","E2348C_RS02570","E2348C_RS02580","E2348C_RS02585","E2348C_RS02590","E2348C_RS02600","E2348C_RS02605","E2348C_RS02610","E2348C_RS02615","E2348C_RS02620","E2348C_RS02975","E2348C_RS03395","E2348C_RS03740","E2348C_RS03755","E2348C_RS03835","E2348C_RS03955","E2348C_RS04040","E2348C_RS04050","E2348C_RS04295","E2348C_RS05035","E2348C_RS05170","E2348C_RS05340","E2348C_RS05875","E2348C_RS05945","E2348C_RS06060","E2348C_RS06300","E2348C_RS06365","E2348C_RS08235","E2348C_RS08490","E2348C_RS08850","E2348C_RS08855","E2348C_RS09120","E2348C_RS09805","E2348C_RS09875","E2348C_RS10150","E2348C_RS10405","E2348C_RS10775","E2348C_RS12320","E2348C_RS12325","E2348C_RS12475","E2348C_RS13230","E2348C_RS13845","E2348C_RS14210","E2348C_RS15385","E2348C_RS27420","E2348C_RS15740","E2348C_RS15745","E2348C_RS15750","E2348C_RS15755","E2348C_RS17840","E2348C_RS18055","E2348C_RS18200","E2348C_RS18240","E2348C_RS18810","E2348C_RS19755","E2348C_RS19905","E2348C_RS20080","E2348C_RS20085","E2348C_RS20090","E2348C_RS20095","E2348C_RS20100","E2348C_RS20105","E2348C_RS20110","E2348C_RS20885","E2348C_RS21415","E2348C_RS21420","E2348C_RS21460","E2348C_RS21470","E2348C_RS21625","E2348C_RS21630","E2348C_RS21635","E2348C_RS22295","E2348C_RS22460","E2348C_RS22645","E2348C_RS23865","E2348C_RS24600","E2348C_RS24605","E2348C_RS25135"
"EPEC_As_1 (GE) - TPM",0.794531455457859,-0.190792865357497,-0.444679623324597,-0.501634632488233,-0.438339546648675,1.23826203400712,0.562228409792397,0.416282408935792,0.316055553543414,-0.478914966690316,-0.442269897183166,-0.441817258511783,-0.326787239631452,-0.694606756913184,0.175204618948138,0.66113948313831,-0.704786032321778,0.42199896949049,0.445901075941578,-0.284790289738813,-0.194359199273103,-0.143554380299559,0.973320376621026,0.0285117264822813,-0.73128941538808,0.475258080651608,-0.641717510213764,0.9019970642097,0.919828783823872,0.338162625265826,0.863190159539546,0.00996976681709445,0.20743525730503,0.592690525361203,-0.112173445072511,-1.28960579027834,-0.588129714282415,-0.777573880124968,0.966538942260968,-0.0962964742890173,-0.428545289939571,-0.341357484774742,1.11144025487734,0.642136514639479,-0.0307129178574719,-0.454531611723376,-1.20985213858715,1.08913758649163,-0.279764485274015,0.504114882559634,-0.122549886021687,0.358945016001591,-0.265496788407148,1.09715469253141,-0.978604178282899,-0.181882427611559,-0.0610970595193339,0.465609252999239,-0.600688938684925,-0.0975679312647115,-0.263980252108189,-0.385247396374216,-0.0558048486193427,0.749487226398484,-0.310075339286436,0.971594577565545,0.706140190324941,-0.490919379843157,-0.423433842603971,-0.0104537726216577,0.659422211141926,0.792363626412997,0.893006186498332,0.0600034772844435,0.0536615956721888,-0.465689530554423,-0.133727283893835,0.331973717224154,-0.342710831937074,-0.400548090386147,0.576401789283109
"EPEC_As_2 (GE) - TPM",0.567259526654598,-0.208432438770898,-0.457518009367168,-0.511119319321739,-0.41518153271977,0.933939115222727,0.974206787149618,0.690470534302084,0.279615661611435,-0.458257706506818,-0.45847817768607,-0.377248917206325,-0.375977437183305,-0.703020121338478,0.134539476714265,0.287418068187809,-0.858925702902216,0.14219151083092,0.327677268965504,-0.0600671053476163,-0.167486470349513,-0.34286524845582,0.831231658203728,-0.30397099578478,-0.973254941538728,0.384066796578758,-0.111498741345666,-0.58055088245606,0.808622238768306,0.688620479029315,0.735625601264789,0.0254663976441161,0.107684039523618,0.515426520406788,-0.13219842705038,-0.622039274040266,-0.653957097909938,-0.911209219455291,1.20126933575587,0.0586535087400264,-0.426977156415204,-0.342697613292647,0.76161283475306,0.307786900178456,0.0693786808503639,-0.485091558836814,-1.20085588678349,-0.106121421152627,-0.284212904488789,0.301641322223679,-0.167350267664876,0.228501796642461,-0.256907993739422,0.960145093339373,-1.09225748463121,0.0184586930168804,-0.0713116209477954,0.654831791486686,-0.542389122110235,-0.080358919336142,-0.300081543313116,-0.337802567333754,-0.0183302168848168,0.97620365067625,-0.32980344205338,0.865590261851982,1.54028104037956,-0.526549033184872,-0.447541574964361,-0.321500682468615,1.24395882442584,0.486405190893632,0.649058172887023,0.0526358217817001,-0.280239961643461,0.0323388445166948,0.0790364790834973,0.852050143754795,-0.329990067802783,-0.703968218259931,0.890435964756583
"EPEC_As_3 (GE) - TPM",0.667456760530698,-0.236830368515285,-0.553890621399555,-0.575554812816863,-0.522383272248068,0.0389090668055187,0.662503239807637,-0.2725641454726,-0.271171284333358,-0.509917787570002,-0.480874622804778,-0.415594864571947,-0.255793168296396,-0.706037094553625,0.0747470611943325,0.56918000175503,-0.247761792202882,0.160953525499522,0.292366976504118,0.0790005833650406,-0.142012300156856,0.254957420277241,0.422947710296544,-0.156999341599197,-0.725708013558468,0.223721456823714,0.214590579150416,-0.549678403301329,0.394393078931847,0.375476882730309,0.665066102651422,-0.205792869874064,-0.0878940937927711,0.0882407403299079,-0.21027340808133,-0.968005528380259,-0.849600767888,-1.13266777690907,1.18027061277025,-0.0585303255321335,-0.467019282801384,-0.51309623197792,0.710619612120713,0.386428466921433,-0.396406601231017,-0.509135836259453,-1.17290099907335,1.49870468929862,-0.437259918712314,-0.170014778054812,-0.294304339411751,-0.0232159127168587,-0.399256139143217,0.159770409950376,-1.09274540916428,0.168735264291761,-0.0312116845202744,0.584357862114724,-0.415991493041764,-0.211802346343573,-0.321260294313344,-0.492569081548593,0.088486814063123,0.868830519094756,-0.274979001988236,0.888490258140989,0.736363408077787,-0.448643080378127,-0.38469866198545,0.120773607261543,1.16283500983414,0.167080748386034,0.816206781307288,-0.328340693286609,-0.146928615619632,-0.271075848670805,0.283027385298203,0.201847530034625,-0.445780708543281,-0.622415106710195,-0.392390526742604
"EPEC_Bs_1 (GE) - TPM",0.268948602347829,0.119171380955031,-0.581188714174331,-0.633351758770099,-0.740944509562582,-0.642567341180001,-0.717498922527272,-0.768888006554431,-0.724232436899411,-0.52669513771367,-0.511330291906923,-0.512846968279092,-0.554329399997307,0.162454698746308,-0.523696695831071,-0.228276202548847,0.657766093398216,0.452030709809676,-0.00730122512945452,-0.923858147930347,-0.532773088634406,-0.332507440267292,-0.302982492899088,0.0328486339760737,0.188240929000394,-0.785797308309557,0.547286498599257,-0.0217907742819633,-0.601133226523229,-0.842147236157003,-0.642527874304634,-0.681094242949517,-0.524292015294373,-0.460028939593157,0.0251944144885019,-0.507000891073095,-0.610690321057614,-0.520938810847724,0.538850173923336,-0.209093220249822,-0.513870305962712,-0.51309623197792,-0.57506684489893,-0.26510626143632,-1.00104355298356,-0.329604093716729,0.127167363480923,-0.230558557902294,-0.49635270455996,-0.567453390593558,-0.529096112232374,-0.613759591022363,-0.618506225550377,-0.894036229197275,-0.345160452813579,0.0166653811236035,-0.610298343037222,1.00073367231361,0.536358925653629,-0.562691183554451,-0.505149240439317,-0.496137792695646,-0.363089975437257,-0.592027346346488,-0.379976019776182,-0.471552988730894,-0.487003322249205,-0.564232604501668,-0.506604357934621,0.130077642486019,0.681238975343508,-0.280751094343879,-0.270327907119037,-0.147531450843806,-0.28194582069196,0.0756812045172743,-0.563245587909942,-0.876596365469642,0.265686417062117,-0.0195211569195434,-0.873947518195711
"EPEC_Bs_2 (GE) - TPM",0.561909915794263,0.068757869047563,-0.589450591927074,-0.651160479765183,-0.742406614956631,-0.654952176440201,-0.755498738089496,-0.740386085640238,-0.73725980370285,-0.520213438744724,-0.52345457283169,-0.515811282180087,-0.499539131019426,-0.47761717673217,-0.68759372556743,-0.415363811929716,0.629163880910046,-0.174695651385715,-0.317182055387272,-0.481939186434684,-0.569994017162219,-0.161023786363769,-0.253259140731403,-0.0897999380208741,-0.03037979283571,-0.0346256929245143,-0.28527157325734,-0.0145368009853576,-0.353930698682811,-0.71543695756365,-0.518692225878734,-0.687705659503925,-0.168456619819649,0.0867749347690061,-0.31054637788589,-0.836421877443078,-0.419238272984748,-0.38706654190789,0.297188789335273,-0.470651874869782,-0.502089024519149,-0.463103373595207,-0.204356613512801,-0.250729367477472,-0.975147932841866,-0.430221195910504,0.240441610059371,0.656377468490477,-0.493922881750919,-0.565956197364952,-0.525686261884952,-0.597902846479606,-0.621590180503089,-0.958341216754617,-0.516802301533155,-0.106725837114618,-0.572299717582496,0.542347524159306,0.289541597338624,-0.541631421077958,-0.502487346748373,-0.497712694393979,-0.316574650516126,-0.493399690504891,-0.39155108657384,-0.512569834755193,-0.420660759704646,-0.570563694768223,-0.502639144620998,-0.240327546026873,0.0792673879360927,-0.475915281017543,-0.0900784605911086,-0.357866038530369,-0.558083493499219,-0.0660549925084415,-0.474516789274157,-0.465887936177826,-0.0517820865814023,-0.0944658333821877,-0.862189041492155
"EPEC_Bs_3 (GE) - TPM",0.609511952434522,0.336645173645264,-0.594101165938565,-0.644904956296664,-0.746820840427863,-0.653710000483979,-0.881288251208815,-0.740918234983278,-0.741443494084823,-0.535592721875688,-0.519256313510584,-0.519363352753332,-0.517035956236985,-0.243732356346908,-0.671789222275122,-0.762183606064917,0.0188066501956258,0.0614876437453492,-0.326386009074983,-0.560771580546162,-0.698214991864644,-0.470935259270037,-0.413747983543797,0.146559959198657,0.164909967696774,-0.56850408494033,0.161797074473832,-0.224447161343831,-0.410004606886875,-0.831610139319344,-0.710098786646477,-0.697201494982838,-0.283417236345908,0.129676259209781,0.233742808840719,0.11897723234062,-0.566650973153883,-0.572591346201666,0.0972865544381443,-0.577412702140179,-0.4968348562223,-0.51309623197792,-0.299363902185299,-0.640693917593823,-1.02751919711272,-0.607026864319785,0.368534687541874,-0.500406528300583,-0.51419209720941,-0.587793181340529,-0.559221758642556,-0.640057198541792,-0.635838068843982,-0.967020117684525,-0.562926871360684,-0.296712524829243,-0.618184699434343,0.346680337817673,0.412834780476135,-0.56272483450258,-0.503140590296755,-0.529653353828129,-0.3548422656898,-0.599632142408605,-0.360833882608255,-0.646863154892441,-0.438724959180652,-0.568278000411153,-0.509637935130172,-0.358802457870728,-0.340847441725941,-0.426386973725639,-0.236977177324151,-0.308952397246479,-0.345162319741563,0.00327900959186782,-0.475482594989045,-0.659574874087275,0.0740516324576828,-0.0247445416084758,-0.893439822986519
"EPEC_Ctrl_1 (GE) - TPM",0.507638229498024,-0.155426443724677,-0.549616726197113,-0.656018968257862,-0.71689078243014,-0.619177451217815,-1.06483265005183,-0.736175902382648,-0.700428609763568,-0.490686483124378,-0.488103510250851,-0.49564133321645,-0.568046689303314,0.0249694644656711,-0.443395217048414,-1.05201593120381,0.0168358218522458,0.895400227372037,-0.305137109243763,-0.749337699314345,-0.596442316522648,-0.123309936214481,-0.789735251981293,0.499415797129039,0.505420478854316,-0.473157382230244,-0.909966737882719,-0.790720562981807,-0.585397299708307,-0.881037789329497,-0.829530037463042,-0.658376563282433,-0.759659230600658,-1.00659999367113,-0.336625811756231,-0.315805331675443,-0.518085846961571,-0.152433650956579,0.237040464338693,-0.193481299966206,-0.475858271090246,-0.51309623197792,-0.548340115880258,-0.721274830163049,-1.0520201150024,-0.386737035790138,-0.13067972781826,-0.500406528300583,-0.485194949957712,-0.511028959854643,-0.499638258242198,-0.58398263959218,-0.658055339774059,-0.838602590052583,0.231392948349273,-0.684915927600584,-0.754351289719204,0.523160178897859,0.51835820993089,-0.537075330228623,-0.520182044545939,-0.5024942971573,-0.326603690148352,-0.560354291192546,-0.402322215831171,-0.695082315723947,-0.367473195108514,-0.544530509107693,-0.482248916018747,0.255909162698791,0.285926432871876,-0.355818672349203,-0.759825612591396,-0.323121127614697,-0.8610120519311,0.485550798675566,-0.41673875244422,-0.721249405476772,0.359897542702429,-0.0244697694511045,-0.927319307487118
"EPEC_Ctrl_2 (GE) - TPM",0.0738797544717286,0.0299795297802924,-0.586552257876527,-0.650737238972722,-0.738560750792697,-0.657459101347087,-1.11072219352068,-0.755049587105958,-0.721632605547778,-0.534074272630798,-0.519365501312823,-0.500700430543085,-0.598050905958406,-0.347416651655523,-0.530820941109604,-0.573270503970958,0.139442503409923,0.169748384586588,-0.494477742528606,-0.815913981903316,-0.683332689551534,-0.483882386358454,0.0185332098048193,-0.036957658706459,0.0869401596366585,-1.40664871553609,0.108705247295494,-0.67058875571528,-0.613760228149174,-0.875867020109707,-0.865003972507028,-0.667908241069263,-0.673854034353215,-0.63385292995298,-0.305266966775102,-0.777550063658365,-0.0993879247890097,-0.415843653970219,-0.215640817093605,-0.423218751465862,-0.511110913763596,-0.404400392024404,-0.748567079733777,-0.383461339613738,-1.080977129921,-0.578463448409724,0.260413535093146,-0.500406528300583,-0.453618630138085,-0.605802340333428,-0.563098101651757,-0.632911631827679,-0.661235381929628,-0.858947406988855,0.991122486433569,-0.143121080774335,-0.66848426935303,0.213181811037084,0.752288047027771,-0.483781769237249,-0.533628388725724,-0.519846686842727,-0.404118335237858,-0.598924126260467,-0.396776120589425,-0.602355013390605,-0.313847845332957,-0.570404255322907,-0.497296445222611,-0.456730473494216,-0.26141811354424,-0.319941549865029,-0.592512098014026,-0.629879392116242,-0.781269105885071,0.0249983390446147,-0.765939335610818,-0.320561368339569,-0.164404747543148,-0.375642967417007,-0.934032831058076
"EPEC_Ctrl_3 (GE) - TPM",0.110121694074116,-0.0790682500379212,-0.586354332958408,-0.646108968393414,-0.74821212759482,-0.687215485975302,-0.97549710110706,-0.8037966871455,-0.760487977839779,-0.53525734896574,-0.524304744185767,-0.522725897963649,-0.552401325808504,-0.225120200228113,-0.61114083481194,-0.633065329552809,1.29269786341151,-0.394301891323735,-0.483427779908732,-0.532327758669774,-0.637750833859463,-0.732298691150041,-0.573145206372463,0.11678146486517,0.0232512242180993,-0.719874615710528,-0.909966737882719,-0.721605052433019,-0.328398473140507,-0.879851332129374,-0.895168366525178,-0.704075524418504,-0.591801913237876,-0.517636293188286,-0.144358547444619,0.0527850551815215,-0.489115291798299,-0.377172478159082,1.01664928203355,-0.605463325388894,-0.524812875480891,-0.51309623197792,-0.550265524121547,-0.666107707407691,-1.06231211007541,-0.498527907385298,0.119535559707161,-0.500406528300583,-0.532834996321818,-0.612177869698666,-0.576583713381279,-0.636080863955841,-0.653466006222216,-0.942544034414475,0.264075431342672,-0.936666766974226,-0.70748805663138,0.111492946773216,0.431911504472084,-0.539486545542077,-0.542268632014231,-0.530832566596955,-0.374462283998032,-0.669155479209952,-0.430392636451285,-0.719852367814996,-0.474843482119072,-0.558488721409149,-0.506104034831651,-0.762133372697214,-0.504239694618293,-0.439340569794154,-0.483941888637416,-0.502474520068896,-0.935809322600939,-0.0649291654131809,-0.66234824622956,0.139684881183107,0.164512790989698,0.0124385137521058,-0.936941378725456
"EPEC_Li_1 (GE) - TPM",1.42098210135311,2.65602438488111,2.90436320793524,2.47804509448114,2.13146475991175,1.67832598542347,1.85995734095211,2.16624383129735,1.38520780134651,2.29071485096167,2.20036386350182,2.43725243832392,2.31510251911818,2.86424690253857,2.48592437233103,1.6269723627501,1.46800558139384,2.09226063769359,3.27104016846782,2.39261239578414,2.02545524796689,1.39629147375335,2.40271155804362,2.03312166006536,2.80193897587934,2.59805808926248,0.544805706954984,2.34297100255714,1.35167359184946,1.97794051797177,1.33023542748484,2.00115339551603,1.66914109697379,0.766794372088453,3.42691164570824,2.00403996757899,2.23890193901108,2.15088091956454,-1.16086035865571,3.31104551956645,2.16139851797974,2.7467185255604,2.24785114194436,3.18276342553106,1.91553179088032,3.27616791066053,1.73306648578231,-0.500406528300583,2.8584327139669,2.31176498325444,2.44858610382706,2.53962883271714,2.68066499241365,2.24907368170935,2.16426822409511,2.83904722210561,2.76322714718913,2.79709187479181,1.61023442893052,1.50239046283207,1.90992074924227,2.40707861140813,2.97320639268108,1.26055418596493,2.98763345109952,2.5218562285034,2.43583619547402,1.96961392958375,3.02927890732894,2.65906687115742,1.94819756644216,2.19244789385721,2.26979188470386,2.00289102798031,1.789465972965,4.20419491118153,2.12684612074829,1.44030481231779,2.27815129238046,1.78942622707599,1.83094156793208
