"","E2348C_RS00385","E2348C_RS26280","E2348C_RS26310","E2348C_RS01840","E2348C_RS02995","E2348C_RS03520","E2348C_RS03525","E2348C_RS03825","E2348C_RS26480","E2348C_RS26525","E2348C_RS07095","E2348C_RS08830","E2348C_RS26955","E2348C_RS09510","E2348C_RS09635","E2348C_RS09655","E2348C_RS10555","E2348C_RS27080","E2348C_RS27095","E2348C_RS10970","E2348C_RS11225","E2348C_RS11230","E2348C_RS11450","E2348C_RS11455","E2348C_RS11490","E2348C_RS11805","E2348C_RS12135","E2348C_RS27215","E2348C_RS27225","E2348C_RS13365","E2348C_RS27295","E2348C_RS14295","E2348C_RS27385","E2348C_RS15875","E2348C_RS27460","E2348C_RS16055","E2348C_RS18950","E2348C_RS19300","E2348C_RS20480","E2348C_RS21020","E2348C_RS22595","E2348C_RS23270","E2348C_RS23300","E2348C_RS23395","E2348C_RS27945","E2348C_RS24405","E2348C_RS24850","E2348C_RS24970"
"EPEC_As_1 (GE) - TPM",1.44551044106173,-0.203141750771829,0.767443312783729,-0.0148317604734276,0.254006299414153,0.280433942258022,-0.531802811995037,-0.22981594501784,1.07477170642574,0.614108807695379,1.74636328338725,0.798982588659415,0.911698493201451,0.0840274886440077,-0.225819354830116,0.242518726058142,0.58234359085168,-0.510510432355797,0.0815967313038142,0.647571413667882,-0.1830584728693,-0.332015511008091,0.100083203285333,1.07461861061385,0.974233630889578,0.076924221589028,0.692385751652419,0.443121318996235,0.402574239708749,-0.637266166750083,-0.055055288397551,-0.648809857706083,0.697096202324074,-0.365556790637421,0.238271283700515,0.443255739919325,-0.000960607883518291,1.22935802475483,0.471113640878513,1.0922982494829,0.625204500693664,0.123479479395492,1.62802189315711,0.50604702314656,0.608756552528886,1.28507323651599,-0.13735841746024,0.3033789168907
"EPEC_As_2 (GE) - TPM",0.710579703550171,-0.203141750771829,1.25411024225488,-0.163362328033312,0.178715616773812,-0.0138146494790158,0.907366283833297,-0.363296158244916,-0.207445085443356,-0.0309041468760952,1.39460427440844,0.603685445754384,0.303816322665216,0.713183005585549,-0.0678890095924297,0.237650206063427,0.448848189689196,0.8442126921896,0.236531151478509,0.633612920769962,-0.270257304547218,-0.197826490599477,0.34242062377537,1.05902033377781,-0.281312099289224,0.027753884742028,0.536405369477241,0.321990964882639,1.56094141195643,0.142672033043566,-0.711698078871534,-0.648809857706083,0.502662687106828,-0.43626513947576,0.929216158651979,0.147711592906801,-0.112392640525573,0.839993246525816,-0.50699673638268,1.75349274437916,0.611870368281704,-0.0277445943014842,1.87124257096871,1.30755228925098,0.461346772986744,1.45790313299897,-0.0691985141534402,0.426645444092181
"EPEC_As_3 (GE) - TPM",1.0148064657563,-0.203141750771829,0.992763760688568,0.013689582855976,-0.352358428655542,0.223065897430117,-0.0105956539702966,0.0997355869497668,-0.207445085443356,0.943927403792694,1.66193138482153,0.514660679102054,-0.338535984167735,0.226644849438327,-0.0985411277435955,-0.0326476454026014,0.290696499975768,-0.510510432355797,1.05882986566861,-0.0163724230435892,-0.0509237724108321,0.331722286682635,0.559515583458159,0.605936842415877,1.46985574478955,0.211010829115347,0.572211525710135,0.0782876282374609,0.943739528954213,0.278631873967243,-0.711698078871534,-0.648809857706083,0.875884834219696,-0.32571553678943,1.89037946408942,1.68135769386816,0.22184199378385,1.24921077013014,-0.0969522442562985,2.64067271148988,1.67951534958386,-0.731509242691113,1.11875012643168,0.360315185817242,0.347737592445802,0.420663710228994,-0.178937665285025,0.191438808224563
"EPEC_Bs_1 (GE) - TPM",-0.38725513090842,-0.203141750771829,-0.432390360075748,-0.217922714600646,-0.45397106469695,-0.0966897852389377,0.171743306330758,0.705133592521,-0.207445085443356,-0.665928588578149,-0.364508783391029,-0.388285225199659,-0.386419058625598,-0.611391485815562,-0.265690852614846,-0.381386753466919,-0.55274472669122,-0.278717956049516,-0.453821712965276,-0.136764163203806,-0.270257304547218,-0.468331967163518,0.496557489292094,1.08226284854234,-0.0349633239363383,-0.117731641411799,-0.6774866962122,-0.366055285313212,-0.0347945158510973,0.338209001797348,-0.488748967086853,-0.542867751776278,-0.230304521129794,-0.0175135703332231,-0.46362784655671,-0.753657635508371,-0.330119654066725,-0.128827634429636,-0.50699673638268,-0.325677768185952,-0.5033967181769,-0.654301430505371,-0.451789887889194,-0.718770057364173,-0.581547160466414,0.00729685226819084,-0.563968647809163,-0.170546937502684
"EPEC_Bs_2 (GE) - TPM",-0.449734460585893,-0.203141750771829,-0.141332402369214,0.126380789373824,-0.520725119205504,0.102352265070358,0.0713893406190182,-0.198780185781971,-0.207445085443356,-0.665928588578149,-0.207568382153082,-0.346984087010303,-0.415518460521037,-0.645280900971471,-0.242477801725199,-0.139229649567259,-0.0457635520670323,-0.510510432355797,0.187613820476905,-0.380177844330638,-0.270257304547218,-0.309606009480174,-0.253838638768721,-0.0641356727146565,0.226571237662543,-0.145614281254019,-0.12379205429579,-0.23922806604153,-0.213875429538974,0.0860527028574786,-0.711698078871534,-0.285487850698728,0.0264460462335793,0.532011305931127,0.14933709615985,0.488587408331136,-0.13848437271518,0.486111105879009,0.119401065726335,-0.315948934097912,0.550814158676666,-0.633397346858994,0.30027714159834,-0.748521441772727,-0.287470651517261,-0.572004749670798,-0.603921094136243,-0.246977660898671
"EPEC_Bs_3 (GE) - TPM",-0.306141442348303,-0.203141750771829,-0.432390360075748,0.135523719502966,-0.136690716935823,0.600709897727675,-0.255836951177228,-0.273656787293813,0.077164527465957,-0.452834194091638,-0.352717086982372,-0.232152351054553,-0.190318821887557,-0.693655936475111,-0.186039498459115,0.0340722345422719,0.0914168305030027,-0.510510432355797,-0.133863814169122,-0.408201863020654,-0.0960600604536336,-0.468331967163518,0.16227221701711,-0.345580122915825,-0.180766535400363,-0.125430273639592,-0.401947017976706,-0.295642826241538,-0.493097942692656,0.37932838601132,0.381448873129636,-0.441030980653849,-0.670867705351732,0.480844245902004,-0.229930346162314,0.48966071149451,-0.0378700772643477,0.453676800548694,-0.18133462809285,-0.376274179435053,-0.189529735143868,-0.1395306456034,-0.0210329171603367,-0.518276126383191,-0.43230678509445,-0.16745430937233,-0.549426209391789,-0.266744532880833
"EPEC_Ctrl_1 (GE) - TPM",-0.750257851183089,-0.203141750771829,-0.432390360075748,-0.164740557843331,-0.427333382897852,-1.07920594958026,0.111210271311163,-0.475343210654533,-0.207445085443356,-0.665928588578149,-0.511042386947441,-0.399087345064646,-0.590424662970675,-0.668024213184858,-0.203827086021257,-0.381386753466919,-0.625340939403015,0.0191122570531978,-0.0629965800166905,-0.447359042660418,-0.134961454716334,-0.468331967163518,-0.0808700464757924,-0.519771510874485,-0.650842669633318,-0.378837607947029,-0.829798758366616,-0.195406557324873,-0.604912238894592,-0.375865798995854,-0.202281595199165,0.319458723825512,-0.327842762138927,-0.0890633109621744,-0.46362784655671,-0.628151146910306,0.0103577891134363,-0.194000914679936,-0.203473691061686,-0.952193815400244,-0.704818787298716,-0.536698292138193,0.169820929361648,-0.609628932489044,-0.6261365195624,-0.467672055727957,-0.533448772969164,-0.10695834739659
"EPEC_Ctrl_2 (GE) - TPM",-0.795644866674937,-0.203141750771829,-0.432390360075748,0.250668669224026,-0.466677937216612,-0.247472514897176,0.255083313776824,0.597622667602112,-0.207445085443356,-0.665928588578149,-0.357779042448429,-0.791216186110877,-0.590424662970675,-0.110837861129146,-0.114279502195518,-0.381386753466919,0.117714757817532,-0.510510432355797,-0.563302657680228,-0.0961587466887687,-0.270257304547218,-0.468331967163518,-0.642253254639085,-0.15422222692365,0.0246484115873974,-0.196745957704757,-0.710392873051411,-0.564142160674691,-0.392361507323835,-0.569924141540457,-0.296099730309512,-0.253837535236419,-0.227291652017301,0.626143583035848,-0.46362784655671,0.969475196011971,-0.0523472073990093,-0.0357505816767681,-0.50699673638268,-0.822340158892283,-0.929075597142029,-0.548336396285085,-0.5011079148029,-0.668142287756278,0.161261628548856,-0.333891945064461,-0.615571270537238,-0.505989941363892
"EPEC_Ctrl_3 (GE) - TPM",-0.37140631494015,-0.203141750771829,-0.31365448878889,0.0686571216056706,-0.150443432646091,-0.850370370815735,-0.0396634020622596,0.352688097425493,-0.207445085443356,-0.665928588578149,-0.454644007524101,-0.584788507167428,-0.590424662970675,-0.848978177799321,-0.265690852614846,-0.381386753466919,0.292034117291116,-0.510510432355797,-0.180386128887199,-0.691865423734138,0.0403946313180727,-0.468331967163518,-0.15570453857214,0.314178878663208,-0.264023158823592,-0.327448649618727,-0.822998600144216,-0.163896812656647,-0.604912238894592,-0.219868330728374,-0.321808768339293,-0.0930010328271292,-0.602062871985352,0.39509314043225,-0.46362784655671,1.36929177287153,-0.069530293921152,-0.170211979711024,-0.50699673638268,-0.32632533103423,-0.6487448041656,0.5208489810237,-0.622279716641375,-0.80576160769634,-0.659565683260213,-0.562200190168467,-0.444807216288266,-0.382746271503104
"EPEC_Li_1 (GE) - TPM",0.0268226262951165,-0.203141750771829,-0.432390360075748,0.282523757909767,-0.454289402713879,-0.484363262694853,-0.531802811995037,0.526945067441534,-0.207445085443356,0.201810691792265,-0.511449457665941,-0.200586024561402,-0.590424662970675,-0.374613717080952,-0.265690852614846,-0.381386753466919,-0.178599160209833,0.415081081694189,-0.563302657680228,0.0714034977647621,-0.270257304547218,-0.098695442775801,-0.850588268715694,-0.688649287767255,-0.949292957987176,-0.550894367525226,-0.00151099037673922,-0.636038502769817,-0.604912238894592,0.71884503683286,0.178580196461687,-0.648809857706083,-1.03512723136244,-0.779578818890639,-0.46362784655671,-0.0712419068501245,-0.330119654066725,-0.508076577882306,-0.50699673638268,-0.857853972832797,-1.08357727335483,-0.509773993269704,-0.453025424943487,1.29368121468419,0.227356984035878,-0.229637487343821,-0.646245732846024,-0.616938879223568
