"","E2348C_RS05115","E2348C_RS06125","E2348C_RS26765","E2348C_RS08660","E2348C_RS08665","E2348C_RS09400","E2348C_RS27250","E2348C_RS16040","E2348C_RS16050","E2348C_RS16740","E2348C_RS16775","E2348C_RS20125","E2348C_RS20130","E2348C_RS20135","E2348C_RS20145","E2348C_RS20150","E2348C_RS22710"
"EPEC_As_1 (GE) - TPM",-0.365133675857234,-0.110485453017473,-0.840797944568406,-0.686098116572908,-0.900127493320402,-0.647224069654048,-0.479586489260982,-0.405343677098994,-0.58032083625817,-0.432442810085275,-0.675256733300914,-0.659664267338826,-0.802114992305611,-0.885992867690339,-0.851904773809851,-0.831094108702727,-1.46105543650409
"EPEC_As_2 (GE) - TPM",-0.271222335842182,-0.000573324648986547,-0.651275785122003,-0.648616687033713,-0.861536323199932,-0.713653622647557,0.0212409246524346,-0.0473944656956971,-0.393891232769581,-0.660583797937615,-0.705282794323187,-0.64967881912207,-0.744314437427545,-0.784203835497668,-0.78262749040842,-0.776619145525217,-1.1133375661347
"EPEC_As_3 (GE) - TPM",-0.227877460546245,-0.431467979346542,-0.711856055477985,-0.709974016760525,-0.876881684839182,-0.665535218644475,-0.144965879764818,0.0623858992427302,-0.523985688151964,-0.225658862162069,-0.690514142026943,-0.571972776595438,-0.769280799611475,-0.804755673690418,-0.690930799736021,-0.609652606301331,-1.08921501100122
"EPEC_Bs_1 (GE) - TPM",0.94864279417896,-1.04290032044455,0.534636996141103,0.454153621267775,1.02469416311435,1.16164578748889,0.462832436901928,1.07677593614005,-0.0161586384730262,1.23895762227903,0.81994093459878,0.459326524267022,0.608814163231656,0.771947752594694,0.687854222948427,0.877636698824768,0.620584976374241
"EPEC_Bs_2 (GE) - TPM",1.36496337221787,-1.03183329891009,0.286371204553988,0.840209978832573,1.12662564232668,0.493789069869236,0.449165249647648,1.11240270847872,1.53376950424309,0.0884885627207454,-0.197133132843467,1.44729161116488,1.06056342205453,1.64530898372468,1.80285571807709,2.03779312473669,0.599517721947479
"EPEC_Bs_3 (GE) - TPM",1.70093115779307,-1.09335595148531,0.825524704593538,1.31856411696762,1.60550843031296,1.16291567404434,0.156259517263445,1.84837275777856,2.42447910315467,0.206773388397067,0.550526946140736,1.32390311618616,0.847703750157315,1.63426325353659,1.74803699269447,2.00699520684559,0.524713314704458
"EPEC_Ctrl_1 (GE) - TPM",0.766468619170158,-0.963162336530611,0.870847678813023,0.408631436620981,0.528616155611331,0.668895859451172,0.141849723901216,-0.0844162930967521,-0.428813893167563,0.334045580135809,0.773793745038292,0.457498291543215,0.278453942875656,0.667771386955585,0.819877004870081,0.562797901744452,0.87527933467879
"EPEC_Ctrl_2 (GE) - TPM",0.654410946379937,-1.18142418607428,-0.3063786409097,0.336703901666544,1.0001147431364,0.509379334300737,-0.265574309866446,0.424048312387366,0.354568579914725,-0.0521337608195186,-0.0406899304774302,0.922236209877381,0.419423839692749,1.06330865093248,0.589414982499162,0.594676052354416,-0.354097416442371
"EPEC_Ctrl_3 (GE) - TPM",1.17511693139968,-1.11029426933877,0.281751079878011,0.738397453384293,1.17943523771336,1.30804458291392,0.401943414964901,0.64490157278703,0.287966848063746,0.156663142557521,0.49709131582644,0.970638142442939,1.24203845819913,1.54868428663539,1.46695894296145,1.36790413525155,0.202622054076519
"EPEC_Li_1 (GE) - TPM",-0.690780492113454,0.960008530956744,-0.782768770806423,-0.698190887830357,-0.654426981431584,-0.96369265487175,0.903989265666798,-0.647120917437451,-0.722078853810741,-0.639103066594946,-0.826694751247508,-0.862559383164981,-0.691678078772978,-0.621492442170817,-0.714650572526395,-0.701210874972181,0.0182165603374115
"EPEC_Li_2 (GE) - TPM",-0.69875768107175,1.87461755850372,-0.706529182983216,-0.787964446139511,-0.670494419666007,-0.921567308620366,0.227406531479357,-0.647120917437451,-0.722078853810741,-0.478148330859691,-0.886684138582895,-0.827816614149724,-0.606175910464263,-0.512663799410977,-0.619829602743014,-0.504585186420724,-0.0925557804171136
"EPEC_Li_3 (GE) - TPM",-0.608443410324729,0.490335784224405,-0.736356212250896,-0.601588237711418,-0.422087368078071,-0.693761262854602,-0.184119972905378,-0.647120917437451,-0.548157559689645,-0.627351454758026,-0.944695059288744,-0.722218559886385,-0.476120842443038,-0.235234915808327,-0.497394908702845,-0.502414262224338,0.311512248837533
"EPEC_Mig_1 (GE) - TPM",1.86289659866203,-1.3152538385417,0.0792791768501418,2.31034694171632,1.61680165357382,0.496829316776002,2.38279832419502,-0.647120917437451,0.582758123087379,1.79066467267816,1.3791771174286,1.30137704121168,1.85716490717078,0.773964649631147,0.97604981524247,1.16038419299956,1.94082190130712
"EPEC_Mig_2 (GE) - TPM",3.54264532118063,-0.911512660266852,0.0041239411022749,2.18663910723503,1.10992916944048,1.02299370319979,2.16640133215841,-0.647120917437451,0.48389384639048,1.77626562890883,3.15547438849026,1.81393586158695,2.21428818767515,1.24287586411381,1.68224204154787,1.6613619806425,1.58431465406734
"EPEC_Mig_3 (GE) - TPM",1.13208127045912,-1.02529448923736,2.95654306663075,2.56142802428605,1.9878189191983,2.21408912310301,0.727990071325938,3.86029453438095,3.38890082674237,1.69638908105317,2.04545734966607,2.91878679837028,2.84303103894966,2.03524692230664,2.67740113716949,2.78906066352788,1.81034232372189
"EPEC_Nd_1 (GE) - TPM",-0.587471243393346,0.286413470640019,-0.0367077819436571,-0.619909887339275,-0.672670591208313,-0.800109683869372,0.319175272099157,0.0161516073512951,-0.549239869984872,0.216272373070758,-0.406891664518856,-0.838003870611182,-0.729168134966774,-0.86748044998009,-0.949520119100115,-0.896347416963717,1.26114049523102
"EPEC_Nd_2 (GE) - TPM",-0.748855535912946,1.42944084746399,0.146118757840471,-0.660951237084296,-0.732587689031012,-0.877760811178287,-0.21443735539084,-0.647120917437451,-0.722078853810741,0.277829382134747,0.501283297913991,-0.856437801503891,-0.765237927052854,-0.85062904852623,-0.940889172628898,-0.884964535460118,0.41287951985533
"EPEC_Nd_3 (GE) - TPM",-0.735078477198739,0.517176686141935,-0.236774016802302,-0.648645592435316,-0.733559406682314,-0.805122739298806,0.486008129749627,-0.647120917437451,-0.722078853810741,0.333774890617226,-0.216710064605026,-0.770724834424988,-0.753087559850976,-0.844176989618122,-0.946582387436351,-0.895538180000058,1.15599161677712
"EPEC_Ns_1 (GE) - TPM",-0.857754790089362,1.85068928961381,-0.606520389594741,-0.819268608275338,-0.908876731726255,-0.960232992565011,-1.17742379315589,-0.647120917437451,-0.571070150518285,-0.851923271673477,-1.01022629457642,-0.903660731130564,-0.75663056716488,-0.826198725770253,-0.785113784019826,-0.807245343548772,0.6629330730644
"EPEC_Ns_2 (GE) - TPM",-0.857754790089362,1.82305550168125,-0.314047283794299,-0.815304971946634,-0.854857166668664,-0.947345884971507,-0.674767896783697,-0.344943795949132,-0.722078853810741,-1.16210240597155,-0.933101327321739,-0.883324918448907,-0.760505347053997,-0.768204520108282,-0.704756603134461,-0.766708965822193,0.172793760034704
"EPEC_Ns_3 (GE) - TPM",-0.816201052238362,0.998198181828353,-0.912639581609492,-0.733277439391823,-0.832231723951539,-0.910738706952943,-0.469025323441985,-0.239231455402341,-0.722078853810741,-0.711578757462426,-0.71052298104569,-0.907178360573626,-0.612796671796123,-0.572943607508982,-0.438672977702213,-0.390549997209113,-0.0290274434788045
