"","E2348C_RS00355","E2348C_RS01500","E2348C_RS26305","E2348C_RS26350","E2348C_RS02370","E2348C_RS26375","E2348C_RS03610","E2348C_RS03615","E2348C_RS26430","E2348C_RS03660","E2348C_RS03775","E2348C_RS03800","E2348C_RS04365","E2348C_RS04450","E2348C_RS04480","E2348C_RS05110","E2348C_RS05185","E2348C_RS05240","E2348C_RS05330","E2348C_RS05450","E2348C_RS05555","E2348C_RS05910","E2348C_RS06035","E2348C_RS06075","E2348C_RS06495","E2348C_RS06590","E2348C_RS06650","E2348C_RS26695","E2348C_RS26845","E2348C_RS08565","E2348C_RS26950","E2348C_RS09560","E2348C_RS09630","E2348C_RS27030","E2348C_RS11265","E2348C_RS11975","E2348C_RS12085","E2348C_RS12130","E2348C_RS13325","E2348C_RS13605","E2348C_RS27275","E2348C_RS13680","E2348C_RS14165","E2348C_RS15110","E2348C_RS27495","E2348C_RS27500","E2348C_RS17970","E2348C_RS27620","E2348C_RS18975","E2348C_RS27660","E2348C_RS19525","E2348C_RS19570","E2348C_RS19835","E2348C_RS20445","E2348C_RS27780","E2348C_RS22525","E2348C_RS24270","E2348C_RS24340","E2348C_RS24770","E2348C_RS25020","E2348C_RS25210"
"EPEC_As_1 (GE) - TPM",-0.235013139975587,1.23503627446987,0.40029512446967,-0.166666666666667,1.14421622647638,0.661597930015141,0.371178184828991,0.187415595123334,-0.252409803568811,-0.287057712300744,-0.562491719786757,0.287656786333437,1.99857111777313,-0.546870963786677,0.595275642257434,-0.389278968705873,-0.0519558501658911,-0.556718890544368,0.0489785335856387,-0.0270951378775853,1.31096116206462,0.47572206563159,0.511066210869678,-0.314060641295759,0.0927054503260701,0.316344420402781,0.845557676239511,0.40693747246639,0.496062177389917,0.0884569893271274,0.699841314112243,-0.299672149257866,-0.0904422700619183,-0.225550146067174,0.337590714312315,0.310893626949743,0.086555199641945,1.22557803728463,0.258857575696307,-0.252923113702622,1.06159259807553,1.55440204521145,0.785550366536389,1.01677837797106,0.191471690432078,-0.364899020216439,0.636987663645026,0.296633360807488,1.09690710626894,0.482050364894995,0.773791080321186,-0.175442400138105,0.985715123432505,0.106925742014492,0.237423597612517,0.425942161440269,0.256303606907837,0.0410198559895771,0.43093018519349,0.0694457417539046,-0.24545023412628
"EPEC_As_2 (GE) - TPM",0.142496134844427,0.712381304388442,0.71568105070979,-0.166666666666667,0.824885076810514,1.35670978194167,0.312302641593532,0.179259490475939,-0.253987018728848,-0.211301842611091,-0.131233177292691,-0.591009331348705,0.847046731373069,0.658930191532164,0.868806989744619,-0.425315012630649,-0.204341342614658,-0.556718890544368,-0.120520275766889,0.371952175539593,0.282290710816168,0.464359285950859,-0.330662170659102,-0.314060641295759,0.385645781653143,0.534342455972999,-0.804552772262716,-0.237326236398958,0.380546920140533,1.04593780573952,-0.248769507626128,-0.128597243952088,0.231352811206458,-0.335689019450398,-0.132269869536641,1.43664656395278,0.910529553721383,1.42319918822141,-0.143487027848669,-0.252923113702622,0.0199671256236197,-0.083681008833961,0.237265555463795,0.927868238654049,0.027556854971982,1.01619946696071,0.50904116551795,0.0711261257291782,-0.100290733656486,0.0561875487311755,-0.402164956015362,0.472879168058058,1.00438858479904,0.280896727480204,0.116632413645561,0.0865049266347421,0.667249421583134,-0.0527157440790431,0.573815215363256,-0.160774253806722,-0.278094222234489
"EPEC_As_3 (GE) - TPM",-0.247040882897564,1.70971419448971,0.492730382479793,-0.166666666666667,0.487807273537275,0.710903512696192,0.05817160145226,0.106188346997329,0.0538704402722964,-0.234966788992338,-0.198062624439136,0.0529100806726201,0.294893223646333,0.884755615849776,0.965745460834821,-0.139581689930661,-0.3543670305572,-0.556718890544368,-0.290516469844005,-0.296340518983978,0.871189314277028,2.39157622130937,-0.330662170659102,-0.314060641295759,1.50478973733756,0.898625211288099,0.735742174530482,0.0327626936954071,0.064483906210126,1.53808061893122,-0.248769507626128,-0.473459279872837,-0.173998345211455,-0.321126743101365,-0.441457495262788,0.179405039642085,0.201970804981274,1.61967058383399,0.231277437522321,-0.252923113702622,0.00908268559231941,1.22423969792719,0.703638160994922,0.525957603567679,0.248568535946537,0.413153157784063,0.67484457530719,0.424955083596375,0.172235914936454,-0.363080460193611,0.65977875307443,-0.210723285746861,1.03374470088763,0.208573745696123,-0.167688200917526,-0.0162711181766087,0.590755798701438,-0.266201424237289,0.537867948989983,-0.387429118809353,-0.161137858950227
"EPEC_Bs_1 (GE) - TPM",-0.550640713635333,0.346420009541148,-0.19057675728377,-0.166666666666667,-0.0340810355221488,-0.479319549930477,-0.436331995308669,-0.502917238942628,-0.454531421524392,-0.364014617299609,-0.267339201389799,-0.127828006176374,-0.144718620665731,-0.653473175418696,-0.340418198403789,0.351546395309523,-0.251689737723979,-0.224274003083897,-0.382208740315264,-0.499391746746054,0.452229208916375,-0.744997947859773,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.283619731830104,-0.264492965387481,-0.0185801788683965,-0.408655392545472,0.0544621932312829,-0.248769507626128,-0.473459279872837,-0.456658981575366,-0.39011637658143,-0.229850078007465,-0.530707337605872,-0.425684338143913,-0.287470287574918,0.0230093939356209,-0.252923113702622,-0.311140838186886,-0.489215034221555,-0.290234425456555,0.568483864398677,-0.18311912759363,0.265248414853638,-0.346172761341314,-0.391484259797282,-0.360072566264787,-0.363080460193611,0.601811940331718,0.495930914614403,-0.275284227740362,-0.401372268647275,-0.460108263363283,-0.531330298420365,-0.585289629507824,-0.531283266852931,-0.373281352898287,-0.387429118809353,0.157858294125205
"EPEC_Bs_2 (GE) - TPM",-0.56726010169747,0.0804108115728658,-0.275429935813579,-0.166666666666667,-0.380942755792593,-0.502269988461918,-0.410751746419127,-0.553537356759446,-0.454531421524392,-0.364014617299609,1.46192349140794,0.0624232946010163,-0.328896425352989,-0.298888437051042,-0.236496321454696,0.53217030312924,-0.3543670305572,-0.556718890544368,-0.390084427846104,-0.0452095033940626,0.278711944063454,-0.213402411084911,-0.330662170659102,-0.314060641295759,-0.332582284076309,0.770636721682663,-0.353001692661537,0.043989874694242,0.213822563948422,-0.480786151308204,0.303508498583551,-0.473459279872837,-0.411555742968818,-0.326243108744256,-0.441457495262788,-0.573784635716145,-0.472013610513135,-0.000786571634433296,0.501187833981637,-0.252923113702622,-0.298469138662698,-0.489215034221555,-0.342659969112968,-0.506576972413895,-0.198752089822783,-0.364899020216439,0.264275277726583,-0.441615611260325,-0.263483328221452,-0.363080460193611,-0.351639637982645,-0.266682009225189,-0.288707708019656,-0.372661938315634,-0.392424815737282,-0.576721379461739,0.068007344620698,-0.711681122798054,0.140041004314202,-0.254433620965239,0.355674783027939
"EPEC_Bs_3 (GE) - TPM",-0.565084264157269,-0.358725162935566,-0.164124537570861,-0.166666666666667,0.0872270028169075,-0.684885213624739,-0.296636841497095,-0.614194303545435,-0.387234975523886,-0.364014617299609,0.0163759388169717,-0.34868788920914,-0.534167385794055,-0.510389131306405,-0.296193926279397,0.51590905032628,-0.3543670305572,-0.556718890544368,-0.499230785257848,-0.366562708172215,-0.320960966670805,-0.241646691580755,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.218003797723255,0.386292836398304,-0.237326236398958,-0.337684039391238,-0.291170908880165,0.698751162545443,-0.473459279872837,-0.598528964000635,-0.317059883374544,-0.441457495262788,-0.621172501358755,-0.431977421795954,0.00931678010739913,-0.0570082406601405,-0.252923113702622,-0.578250105524551,-0.489215034221555,-0.417494175729908,0.341430813903573,0.0297047415762118,-0.364899020216439,-0.391935168469393,-0.441615611260325,-0.0976422023607947,0.481079133451826,0.088253143947178,-0.393821694401348,-0.548195284311023,-0.409952483280625,-0.460108263363283,-0.176116870844362,-0.0248722494360296,-0.623229832366608,-0.0733356827221964,0.981620329825986,0.368723185781053
"EPEC_Ctrl_1 (GE) - TPM",-0.505497866074369,-0.472457634964056,-0.272821579740159,-0.166666666666667,-0.638851606139596,-0.790482571245822,-0.472122604116825,-0.614537530200198,-0.454531421524392,-0.364014617299609,0.1119023462195,-0.0181366003666717,-0.365937712816175,-0.363662094629448,-0.340793967364822,0.598227330409853,-0.3543670305572,0.0377533431766709,-0.39031756745568,0.625368943542583,-0.332880584152011,-0.657667125968916,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.472330225172996,-0.122916993072306,-0.237326236398958,-0.313788104970006,-0.544096353541779,-0.248769507626128,-0.473459279872837,-0.437570571067511,-0.347560133616243,-0.441457495262788,-0.339821909212006,-0.750482462148108,-0.630625166873486,-0.300540454643145,-0.252923113702622,-0.549800854844103,0.144951511739135,-0.657771348565509,-0.0420256503853366,-0.292716290379728,-0.364899020216439,0.0680484463066843,-0.441615611260325,-0.495215411873663,-0.363080460193611,-0.238032989877022,-0.393821694401348,-0.432207074879943,-0.420965877001334,-0.460108263363283,-0.161865008000918,-0.585289629507824,-0.642982604781847,-0.241407798259758,-0.387429118809353,0.0309361436981322
"EPEC_Ctrl_2 (GE) - TPM",-0.44403639201249,-0.717374989854426,-0.323276355008595,-0.166666666666667,-0.279984914530111,-0.581908029404007,-0.405405505443903,-0.196267407914498,-0.454531421524392,-0.364014617299609,-0.562491719786757,-0.114907495301632,-0.660651511563468,-0.59872506331676,-0.596509667704546,0.589857687968719,-0.3543670305572,-0.36811183769839,-0.460770173676768,-0.122400160584412,-0.607797732358886,-0.27824365530595,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.248180758104723,-0.332028415990391,-0.237326236398958,-0.207226524129814,-0.636865144401354,-0.248769507626128,-0.473459279872837,-0.448359454345461,-0.39011637658143,-0.441457495262788,-0.752284717392015,-0.447755165325806,-0.79131119673443,-0.308647554986154,-0.252923113702622,-0.42293420635497,0.0281584266242216,-0.429396755243536,0.376937733971146,-0.292716290379728,-0.364899020216439,-0.44319648704889,-0.348166004316414,-0.495215411873663,-0.0956329377558119,-0.321877049949524,-0.393821694401348,-0.819298059332533,-0.384547650298838,-0.460108263363283,-0.238268211274366,-0.585289629507824,-0.711681122798054,-0.475914654144153,0.190895779355771,0.311515186260798
"EPEC_Ctrl_3 (GE) - TPM",-0.529955867840677,0.10392827250163,-0.215022593729871,-0.166666666666667,-0.433346838048187,-0.67104250091504,-0.472122604116825,-0.733675533382881,-0.0944952221755479,-0.364014617299609,-0.304413069186317,-0.653021587764445,-0.209524532149975,-0.879024598142992,-0.58827616449129,0.596140847108256,0.0047532954615313,0.100485947887853,-0.772863211018771,-0.15426906174787,-0.239237454950634,-0.651055011347572,-0.330662170659102,-0.314060641295759,-0.50721938789288,0.394986099170392,0.2624374379127,-0.237326236398958,-0.0951375008156448,1.26535561000015,-0.248769507626128,-0.473459279872837,-0.715381702882782,-0.39011637658143,-0.441457495262788,-0.530917593875796,-0.111481346709982,-0.300507512844922,0.0225153774104072,-0.252923113702622,-0.135767197903041,-0.489215034221555,-0.229276803155522,-0.321791679600102,-0.292716290379728,-0.364899020216439,-0.386666168345627,-0.353946824956847,-0.495215411873663,-0.363080460193611,-0.17063335678904,-0.393821694401348,-0.710700874090576,-0.387103513048886,-0.460108263363283,-0.417963202422545,-0.418721031655098,-0.606522304191383,-0.475914654144153,-0.387429118809353,0.172973010771336
"EPEC_Li_1 (GE) - TPM",-0.623029887242301,0.275026257689911,-0.213137225378136,-0.166666666666667,-0.520307505745662,-0.238427956706492,-0.329203885128189,-0.857796960866754,-0.180494322582598,-0.364014617299609,1.20540862879161,-0.478558369647182,0.884512227349862,-0.879024598142992,-0.605547277428596,-0.6302491064968,-0.3543670305572,-0.556718890544368,0.564243406651332,1.56960082937787,-0.896973123541147,-0.604380599013712,-0.330662170659102,-0.314060641295759,-0.50721938789288,-0.827185585090572,-0.0181420226251571,-0.237326236398958,-0.482487806230391,-0.607654765077155,-0.248769507626128,-0.473459279872837,-0.0534899386176004,-0.39011637658143,-0.441457495262788,0.200957782667999,-0.588359864284984,-0.956165436471034,-0.281784995016465,-0.252923113702622,-0.750645901629153,-0.489215034221555,-0.657771348565509,-0.449241605601084,-0.292716290379728,-0.364899020216439,-0.668548918206561,-0.441615611260325,-0.495215411873663,-0.363080460193611,-0.295476826426969,-0.393821694401348,-0.705127850958789,-0.421976151802959,-0.460108263363283,-0.576721379461739,-0.585289629507824,-0.231439119823515,-0.475914654144153,-0.387429118809353,-0.31012588942444
