"","E2348C_RS01545","E2348C_RS04740","E2348C_RS26530","E2348C_RS06050","E2348C_RS06570","E2348C_RS09725","E2348C_RS09730","E2348C_RS11435","E2348C_RS11515","E2348C_RS11990","E2348C_RS13385","E2348C_RS13395","E2348C_RS13475","E2348C_RS13665","E2348C_RS20555","E2348C_RS23200","E2348C_RS27950"
"EPEC_As_1 (GE) - TPM",0.295071072038835,-0.152080045036482,0.0148260523042099,1.95927114934283,-0.300974628507922,-0.558574277575014,-0.510215763189314,-0.257299096956078,-0.54721927108374,0.547248177285779,-0.408167101654046,1.38430736395413,0.615645693190571,0.697228015224531,2.0285261461873,-0.030043714820438,-0.0745623835864943
"EPEC_As_2 (GE) - TPM",0.154085484551554,-0.185293004934172,-0.317728665655899,2.18221498095496,0.225435812141828,-0.558574277575014,-0.510215763189314,0.045491210084897,0.849580850114609,-0.0244087320330075,-0.411378528619769,1.24101380368209,0.607156041059318,0.392831941388258,0.200306183908733,0.645063854772094,0.528460263403505
"EPEC_As_3 (GE) - TPM",0.450438862016346,-0.126239488268718,-0.317728665655899,0.490949004311415,0.160503416820595,-0.558574277575014,0.504243879625753,-0.306992792133263,0.170757381689709,-0.456638933210774,0.0429322579261648,1.3548606109311,0.622315522948916,0.162851098791683,1.31110900778038,-0.0852240556402724,-0.277683282970586
"EPEC_Bs_1 (GE) - TPM",-0.237348621152185,0.143606783789301,-0.0919048841887542,-0.412410914576873,-0.295314357463387,-0.558574277575014,-0.304812076843939,0.270597400081526,0.204281332509629,1.14807047252127,0.857071703755832,0.68927164587996,-0.472311329824665,-0.109173703791365,-0.0674688874640013,-0.371595342887516,-0.277683282970586
"EPEC_Bs_2 (GE) - TPM",-0.314008521886503,0.0485340192661888,-0.317728665655899,-0.603269011084703,-0.472538202254551,-0.558574277575014,-0.510215763189314,-0.564889848044668,0.219173509572464,0.325082606359529,0.498093807796393,-0.113813420670571,-0.218949372908116,0.180608003973797,-0.226438815529104,-0.0733200421197277,-0.277683282970586
"EPEC_Bs_3 (GE) - TPM",-0.168681260660993,0.177417322447886,-0.317728665655899,-0.746475994336421,-0.301324608854686,-0.558574277575014,-0.510215763189314,0.45923436930905,0.36938158973191,0.106193121433955,0.687558528335897,-0.102675223038153,-0.472311329824665,0.310176436650267,-0.39418128013494,0.310722885493132,-0.277683282970586
"EPEC_Ctrl_1 (GE) - TPM",-0.18719253516139,0.0367803858472375,0.198256151113513,-0.364823300364469,0.221392062133161,-0.558574277575014,-0.510215763189314,-0.0876385903429067,0.102532275519384,0.104954537749267,-0.5004404166036,-0.781300984182017,-0.472311329824665,-0.566871166078786,0.247078498248218,-0.371595342887516,-0.277683282970586
"EPEC_Ctrl_2 (GE) - TPM",-0.371963409157308,0.102621772916025,-0.317728665655899,-0.435111454077694,-0.412767154306168,0.0275776143860819,-0.510215763189314,-0.564889848044668,-0.38408052905552,-0.295437504597777,-0.29876635712852,-0.458796602487595,0.353988414810642,-0.272174450775962,-0.396054697774484,-0.155422570442939,-0.277683282970586
"EPEC_Ctrl_3 (GE) - TPM",-0.246739881523138,0.130542337399276,-0.317728665655899,-0.454372557373661,0.117782534969036,0.541210444330518,-0.510215763189314,0.896194900450242,-0.542544242102075,0.346893138059352,1.37953518559195,0.126361508360152,-0.472311329824665,0.558968654872717,-0.204626186288019,0.0340051773135606,-0.277683282970586
"EPEC_Li_1 (GE) - TPM",-0.440979176811191,-0.417429752805537,-0.317728665655899,-0.746475994336421,-0.605514967082617,0.697057024730764,1.13021633472053,0.269175087395013,-0.101647611061648,-0.261500627325495,1.41219442041617,-0.435872945731526,0.117710834896776,-0.568278409618583,0.0961327899299202,0.55455811143562,-0.277683282970586
"EPEC_Li_2 (GE) - TPM",-0.323662799970442,-0.419441364756861,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,-0.564889848044668,-0.874485223191053,-0.772882778634336,0.0658186443891967,1.95974260605666,-0.472311329824665,2.5285212016899,-0.72327802628914,-0.371595342887516,-0.277683282970586
