"","E2348C_RS00205","E2348C_RS00215","E2348C_RS00325","E2348C_RS01385","E2348C_RS01565","E2348C_RS01570","E2348C_RS01575","E2348C_RS01815","E2348C_RS26370","E2348C_RS02705","E2348C_RS02710","E2348C_RS02770","E2348C_RS03090","E2348C_RS04150","E2348C_RS04460","E2348C_RS06540","E2348C_RS06585","E2348C_RS07000","E2348C_RS07005","E2348C_RS07010","E2348C_RS07030","E2348C_RS08655","E2348C_RS08765","E2348C_RS08900","E2348C_RS08955","E2348C_RS08960","E2348C_RS08965","E2348C_RS08970","E2348C_RS09115","E2348C_RS09385","E2348C_RS09390","E2348C_RS27015","E2348C_RS10765","E2348C_RS10770","E2348C_RS11130","E2348C_RS12260","E2348C_RS12370","E2348C_RS12375","E2348C_RS12380","E2348C_RS12535","E2348C_RS12800","E2348C_RS12805","E2348C_RS12945","E2348C_RS13655","E2348C_RS14920","E2348C_RS16120","E2348C_RS16385","E2348C_RS16735","E2348C_RS18260","E2348C_RS18265","E2348C_RS18270","E2348C_RS18275","E2348C_RS18280","E2348C_RS18300","E2348C_RS18305","E2348C_RS18310","E2348C_RS18315","E2348C_RS18735","E2348C_RS18740","E2348C_RS18745","E2348C_RS18750","E2348C_RS18755","E2348C_RS19715","E2348C_RS19980","E2348C_RS20180","E2348C_RS20585","E2348C_RS21820","E2348C_RS22475","E2348C_RS23940","E2348C_RS23945","E2348C_RS24325","E2348C_RS24330","E2348C_RS24335","E2348C_RS24595","E2348C_RS24840","E2348C_RS25115"
"EPEC_As_1 (GE) - TPM",-0.358262009713768,-0.588827822751583,-0.0983469878006095,-0.45856555788567,0.483048175334257,-0.523979046788826,0.227756943620402,0.769833603699835,-0.166666666666667,-0.466283145934225,-0.31138467663528,-0.260089523836782,-0.044937752311643,-0.0767778176669645,-0.057596759443828,-0.532689538261578,0.457551446182375,0.476282229961971,0.716388811263085,-0.369040978552622,-0.158510913035943,0.733041023882897,-0.325094622276947,-0.243751575921949,-0.494282670841096,-0.492945604214173,-0.36421665361474,0.576081280424574,-0.562054042208506,0.955831855098508,-0.260676855278133,-0.224711494878711,0.035423848422555,0.527701957842559,-0.560148976006805,-0.568020902051453,-0.347184530874136,-0.47487867413712,-0.619036297588363,0.57780185692862,0.671073016020136,0.598176174339729,-1.01656297718815,-0.385467827266064,0.53222840309418,-0.126663415496189,1.09888690464708,-0.482789733339146,-0.39792653806081,-0.396937553311037,-0.410337767305012,-0.468940279639217,-0.459698919129084,0.292903991615098,-0.528000298893155,-0.455947551230174,-0.374585326893298,-0.730398276456228,-0.500783790970369,-0.440114660780771,-0.707081685296164,-0.594181121830374,-1.27369499496235,-0.00382084461571728,-0.297674455161021,0.620959159191712,0.8371596797801,0.286499865333013,-0.454964658151897,-0.401812201275752,-0.209472801199119,0.60666972848603,0.216328702569087,0.159476618412069,0.60382485178111,0.725303462485404
"EPEC_As_2 (GE) - TPM",-0.553496060262291,-0.316309636830036,-0.0219940206181894,-0.253226041792371,0.942204409720277,-0.365691137157024,0.0783086426896852,1.52012166477647,-0.166666666666667,-0.3943087544551,-0.0158690316201612,-0.281069302153669,-0.317618298406568,0.318472073276989,-0.06282267511654,-0.494427064753286,0.0680138851902556,0.92482493908544,0.387390519504994,-0.374813785544476,-0.295080199341621,0.649441265413712,0.665215329925431,-0.205381710405958,-0.482914239121201,-0.483147837317244,-0.32799474724122,0.584427777708761,-0.53731519807711,0.218552600003186,-0.189764132283672,-0.552401149768629,-0.156077239974406,0.190158490519695,-0.470157839736293,0.228115461121347,-0.372491960966301,-0.472143411539344,-0.601029471529141,0.294217593198317,0.441404703839762,0.542307726345613,-0.89209072015215,0.373315432817058,0.770631142414804,-0.541739100140198,0.713931399024392,-0.628349636716267,-0.389635636630764,-0.399823410451048,-0.406649864591177,-0.461436977507014,-0.464036853235115,-0.0148318357051779,-0.468717592598954,-0.449174576520841,-0.164791625189896,-0.66002290955149,-0.565842445790604,-0.495518059399785,-0.584197676763276,-0.608174451864916,-1.19850681246965,0.192674333054256,-0.454384049146061,-0.391498697011501,0.232139679649647,0.673106835846468,-0.44682758566594,-0.376726771098687,0.0762642198401145,0.339586456306258,-0.624672784808012,0.25284776960682,0.217471790672382,0.895910196551759
"EPEC_As_3 (GE) - TPM",-0.469356711263898,-0.327916897834052,0.0229177316581676,-0.746293011442413,0.475684927002934,-0.389044805073841,0.463868824510812,0.882693271366631,-0.166666666666667,-0.258292212374642,-0.301799620538793,0.435165370408989,1.00192028512327,0.025867035111546,0.676471689441177,-0.566826795886931,1.2364117048192,0.991522209864224,0.953760049764961,0.0627926933422439,-0.128975989825338,0.711166205135691,1.77327751508824,-0.121283755258257,-0.4784187843441,-0.385677953136415,-0.336132014932728,0.584662872173665,-0.369113815424662,0.741582970908098,-0.200077006315581,-0.414795318865355,0.139279111340911,0.456868919172746,-0.395758782472509,0.00130190922214603,-0.381000140470591,-0.473651916872192,-0.621287326456728,0.55457899678273,1.37550564877233,0.391167151620179,-0.758266814257965,-0.11407078859511,0.671636344971521,-0.523170900596527,0.244875690761341,-0.624828277184429,-0.396236066927531,-0.405841734712616,-0.411244269699825,-0.465088568986623,-0.466026932924967,0.324162529806638,-0.435657886808529,-0.466273844466012,-0.220649136984227,-0.743185254274226,-0.525298330745357,-0.474020390349687,-0.583198735149397,-0.523611441861237,-1.0442788516289,0.766594466911956,-0.386829011127685,1.00325561202102,1.14087452370091,0.641075011722642,-0.442805704534296,-0.359414840768794,-0.314378883257411,0.0014328066312885,-0.376233244042019,0.054216203165112,0.207646208796657,0.736744757582352
"EPEC_Bs_1 (GE) - TPM",-0.102400154928686,0.593986675670543,0.960262971252019,-0.595519721039777,-0.724752410676619,-0.425342733733763,0.532584272406114,-0.116575792338887,-0.166666666666667,0.057767073261398,0.156785755359917,-0.186137158223959,0.332584113600847,0.345371343497451,0.182235053597771,-1.05789518128078,0.348711028652534,0.0770090098481902,-0.0368556876244406,0.174978346995605,-0.158443152873648,0.195845757407281,0.156534580323163,-0.123816378462341,0.485544128552909,0.222650367079644,-0.0108200637478869,0.0423909140806752,0.202681502865888,0.172764310320447,0.391830325611283,-0.357019188370448,0.286626456952633,0.147733551615042,-0.621327009978809,0.248486178154368,0.129970951465981,0.104001905401666,1.00252230200973,-0.131356819467372,-0.539358871837135,-0.671555940735384,1.29938248397851,0.499813073424901,0.311169254890639,0.763213413431063,-0.0234215242174406,1.6842364452121,0.243246514509125,0.172557459016265,0.506562600220363,1.05840730902527,0.999922265685269,-0.36179258951742,-0.364183124086669,-0.179738862676468,0.120504424482701,-0.0971228919074673,-0.0450865927542529,0.1582508792374,0.175615640311412,0.228382870639978,0.744051359898465,0.113326221275862,0.442512378274636,0.0396944569308558,-0.214816904587626,0.603513811110565,0.222241612440509,1.01210742619881,0.446338977766198,1.1443537383505,1.03196399171832,0.28282343269516,-0.827869091796735,0.470322179102625
"EPEC_Bs_2 (GE) - TPM",-0.190921268935736,0.0912005843278197,-0.247020696404851,-0.479880838866072,-0.562945885134458,-0.590332530475685,-0.190640655977774,-0.417582240588262,-0.166666666666667,-0.227936679715533,0.450514043564343,0.0348356845603239,0.359070696462857,-0.193118135733553,-0.142451921965813,-0.918537470234289,0.870013765853695,0.285786500650938,0.288997729284479,0.207207239957544,-0.0611501742204941,0.662566720835453,0.0358187952061726,0.722573845719982,0.34771116948118,0.118570511646574,-0.0651151036171775,0.373679443329409,0.115557156247757,0.226004707683942,0.142243670161892,0.128988107214708,0.748346250531429,0.453502026608683,-0.517392455683232,1.12203294566764,-0.461494000931618,-0.377770504384564,-0.35325971903661,0.642606795711502,-0.160296327640715,0.458550385219723,-0.223385904443951,-0.476574546709265,0.168471567126609,-0.0309434356505904,0.450407016620901,-0.0587029829255236,-0.113844446740836,-0.189210994595047,-0.106107871505195,-0.0837789187683678,-0.132743281928389,-0.218838085884151,-0.530020637710405,-0.460754690192574,-0.612390691373359,-0.421098202369575,-0.442804673097853,-0.31180356112802,-0.544273083097689,-0.536538184252579,0.51685841717807,0.494855528569545,-0.000655156249618019,0.508639832838576,-0.309583577778479,-0.319087892887383,0.0895706840181356,0.585335407027349,0.16053740556797,0.514594957185917,1.01390677895995,0.108662816929385,-0.540630589065683,1.07866957008806
"EPEC_Bs_3 (GE) - TPM",0.0136142514690295,0.390091896747332,-0.148630907642827,-0.695577590396608,-0.593249420617252,-0.589966199870155,-0.311039140659499,-0.521381702548019,-0.166666666666667,0.886979089990521,1.12604027261944,0.0587620833333544,0.134612549005355,-0.171477357345192,0.610570045092923,-1.01366513366154,0.0731182589626702,0.374725861367731,0.306694436974251,0.150104052957649,0.130115810904827,0.917549267749414,-0.438586463273257,0.459537672893114,1.1748507259201,0.882325897701335,0.581683528171349,0.450955631766481,0.220660959776958,1.11786305045795,0.978950776403183,0.0908684024656473,0.857462492680062,0.455353482878681,-0.581156790956661,0.851610829590521,-0.317393943441981,-0.196128806405664,0.321159520782863,0.986104646795023,0.434895763958918,-0.290800197773357,0.531258585639998,-0.146887771463735,0.194357251520968,0.894575694942517,0.473379701089749,0.961696652556195,-0.204993512178105,-0.229080890903333,-0.14058020565949,0.0423818948929545,0.0504884887976062,-0.319718872388681,-0.4756658917123,-0.382415107792757,-0.379856464542182,0.0159892327127581,-0.326099279242082,-0.149355800941968,-0.290399512114986,-0.34057576378654,0.548345935084449,0.0869986418437148,0.309736461069247,-0.185138475291797,-0.247780661189808,-0.174532298109734,0.588287787772116,1.42293916006771,-0.0216408174384808,0.687066453857823,0.299901026799905,0.241156428164538,-0.114719825481711,0.723158740772629
"EPEC_Ctrl_1 (GE) - TPM",-0.0494556391319715,0.785400241157289,1.11401537810373,-0.600871612027347,-0.553080407689863,-0.387476661696995,0.279644170869074,0.782548836038196,-0.166666666666667,-0.553754147235647,-0.074141087814626,-0.165652755388315,-0.58607618018973,0.242008211352248,-0.207751992516338,-1.01453293771485,-0.693103430466067,-0.189384464177264,-0.316710803807817,-0.343602682880729,0.0584923307284521,0.503845535888989,-0.291270081134712,0.106235811698616,0.56389701576018,0.232879238959765,-0.054917065348171,0.0520004808061224,0.250936462464207,-0.399494196235792,0.0791551361273875,-0.70421139788824,0.0731940415757206,0.0280634016698056,-0.649096934393394,0.690520383931852,0.164449039456661,0.292943061616625,0.935916050947414,-0.297079199677929,-0.0547133222007381,0.650049856665489,1.16352970075687,1.36586711054278,0.285723381695464,0.335622064619239,-0.172840023979904,2.02079191638743,0.395080685983028,0.344173941899158,0.622130352950533,0.967727574002188,1.28523717269286,-0.34510588261067,-0.364301275407343,-0.307935229255437,0.201507552894908,-0.0859125848620258,-0.179957526779787,0.338415419701023,-0.26881409222723,0.517926791009439,0.519417541272843,0.179076557050657,0.563262912200935,0.214887217290647,-0.0507736784179967,-0.350404571996704,0.388982222613889,0.91361912908564,0.701005630674463,0.173858131332051,1.83408953607044,0.461736972032243,-0.760093700377967,-0.065429733725709
"EPEC_Ctrl_2 (GE) - TPM",-0.331309469636,0.19769300206767,-0.58458324529341,-0.285603463017594,-0.908363355105098,-0.688595738111566,-0.424964143300912,-0.302017815069869,-0.166666666666667,-0.302458506182154,0.616114829272809,0.350395400484381,-0.243582148622998,-0.291545149274507,-0.303436549148163,-0.929355505773991,0.763427495982919,0.392134558175674,-0.0475127409880497,0.503939276348994,0.0888045084883618,0.584098402228698,-0.545186956098399,1.78362234107131,0.373895130594282,0.0212407203143134,-0.109027848964692,0.0562827285030481,0.181895530521327,-0.255203976362774,0.186255762437325,0.197650338727776,0.793734045966305,0.146802462213241,-0.713265250752294,0.542055689575703,-0.424047322728046,-0.325179314697157,-0.264473443955599,0.477544129511237,-0.149276391600746,0.755644732961115,-0.255817143262324,0.000714692154370937,0.595767059980377,-0.0216959048536146,0.0958561829681145,-0.12740069043599,0.0636778745166947,-0.0328209656252502,0.00692060836566868,0.0224715941110521,-0.101020869369709,-0.389020040573957,-0.567102467347517,-0.488075116579429,-0.798138181568577,-0.299110735174624,-0.456859345644188,-0.236596700003472,-0.644101207192386,-0.377221774974509,0.455909973367542,0.76174778995671,-0.115851489073828,-0.0438770826067921,0.734407890631713,-0.715833795125913,0.0635263287153371,0.274571938718889,0.62883881027529,0.561756664262165,-0.0713088270776115,0.0188846648045913,-0.465632090746686,0.242713638581575
"EPEC_Ctrl_3 (GE) - TPM",0.0631415142356687,0.187877139234036,-0.448482927030535,-0.347729807166308,-0.644324850967523,-0.775587727121046,-0.148379919636282,-0.0443020859807756,-0.166666666666667,0.291329508229816,1.33542788548345,1.05382943653,-0.264768931777641,-0.235708789290506,2.45386344018776,-0.436723729895525,2.95070853833617,0.164407391659559,0.765765962539648,0.306559588491384,-0.0774687979813605,0.443495465847354,0.212302249031614,1.37639161662339,1.19605951287948,0.922872332541879,0.577189346010459,0.629499983106044,0.0421359901457626,0.744806528062713,0.736829921745804,0.0732358623803959,0.495154167386766,0.354574836681626,-0.639341370579533,-0.00252646909151021,-0.250889239667942,-0.125000902175884,0.380687623133646,0.461531929626103,0.882701331439478,0.238046779954486,1.31922255667397,0.359286602923542,0.12823642328563,-0.219416820168111,-0.738896022523284,0.39107435147418,-0.0587419585828735,-0.126215395165886,-0.0239317922179319,0.121886374867313,0.184412652419552,-0.402446827340051,-0.514637731779074,-0.457631982777705,-0.780821683620859,-0.34391108519418,-0.329249837478287,-0.211170360413143,-0.679878811272176,-0.176381615540693,0.332589666960534,0.366781740546742,0.17993613976653,0.482642704657089,0.414109759902452,-0.454850460995173,0.669230552768022,0.985453515157564,0.95332399223242,0.353667407478204,-0.69036150631952,0.557116997106247,-0.307628303099508,-0.00118258144409864
"EPEC_Li_1 (GE) - TPM",-0.300349059844592,-0.720009506106009,-1.31471161645972,-0.111025408747289,-1.13796208494136,-0.722240898264227,-0.951995206003296,-1.18150826526068,-0.166666666666667,-0.322823568404112,-0.486350636182743,1.79947985509868,-0.58607618018973,-0.487904189534341,0.180686678368923,1.40756729182152,0.346937469507574,-1.52339452613824,-0.440344981271111,-0.551603651440491,-0.67489299346379,-0.953483451155518,-1.47462894330286,0.180160811274286,-0.574102344752288,-0.573639365504017,-0.557885057701685,-0.796785169862728,0.438876740735483,-0.621740796461001,-0.712052178416745,0.556025363283269,-0.321833915911565,-0.743929955641946,0.820198804210268,-0.920752664226821,-0.523353357624724,-0.408719322816745,-0.501210647869935,-0.615088422905296,-0.954683783271845,-0.646038858981075,-0.780184083077521,-0.686705874218296,-0.17797802969326,-0.558769722882574,0.0296210162673872,-0.604200358748314,-0.388044415487414,-0.383730677132508,-0.399440863145767,-0.432113968240826,-0.430434515394038,-0.738225256170757,-0.488945732420672,-0.522773293911678,-0.781080740590001,-0.663406081013348,-0.588132705904385,-0.44686484112901,-0.747338663292928,0.136289328288789,-0.686413377094704,-0.0455600412844358,-0.367711235625393,-1.19015882833696,-0.0199290046571244,-0.88595769928853,-0.512154839341511,-0.554955798602115,-0.171491148334383,-0.487183304676335,0.462032409096907,1.17197899440812,-0.135054728007659,-0.273431728461759
