"","ETEC_RS00185","ETEC_RS00325","ETEC_RS00865","ETEC_RS27320","ETEC_RS00870","ETEC_RS02625","ETEC_RS03035","ETEC_RS03415","ETEC_RS27575","ETEC_RS03545","ETEC_RS04325","ETEC_RS05310","ETEC_RS06020","ETEC_RS06310","ETEC_RS06330","ETEC_RS06370","ETEC_RS06880","ETEC_RS07255","ETEC_RS07270","ETEC_RS09025","ETEC_RS09525","ETEC_RS09530","ETEC_RS10075","ETEC_RS10320","ETEC_RS10395","ETEC_RS10400","ETEC_RS10425","ETEC_RS11100","ETEC_RS11110","ETEC_RS11115","ETEC_RS11120","ETEC_RS11150","ETEC_RS11155","ETEC_RS11885","ETEC_RS11900","ETEC_RS12555","ETEC_RS12640","ETEC_RS12905","ETEC_RS14155","ETEC_RS14160","ETEC_RS14500","ETEC_RS15295","ETEC_RS15300","ETEC_RS15305","ETEC_RS15385","ETEC_RS15920","ETEC_RS16225","ETEC_RS16230","ETEC_RS16880","ETEC_RS17125","ETEC_RS17595","ETEC_RS17600","ETEC_RS17605","ETEC_RS18660","ETEC_RS19290","ETEC_RS19295","ETEC_RS19315","ETEC_RS19320","ETEC_RS19325","ETEC_RS19330","ETEC_RS19335","ETEC_RS19340","ETEC_RS19345","ETEC_RS19375","ETEC_RS19380","ETEC_RS19385","ETEC_RS19390","ETEC_RS19395","ETEC_RS19400","ETEC_RS19405","ETEC_RS19410","ETEC_RS19415","ETEC_RS19520","ETEC_RS19870","ETEC_RS19905","ETEC_RS19965","ETEC_RS19980","ETEC_RS20005","ETEC_RS20150","ETEC_RS21530","ETEC_RS21755","ETEC_RS21975","ETEC_RS22380","ETEC_RS22510","ETEC_RS22520","ETEC_RS22775","ETEC_RS22845","ETEC_RS23090","ETEC_RS23095","ETEC_RS29005","ETEC_RS23100","ETEC_RS23105","ETEC_RS29160","ETEC_RS24750","ETEC_RS24755","ETEC_RS24760","ETEC_RS24765","ETEC_RS26940"
"ETEC_As_1 (GE) - TPM",5.46253848004987,-1.76452990042228,2.07475529287022,2.11047760305797,3.00007749237072,3.55779877222662,-0.938615127467716,-1.7983165177751,2.57077630402017,2.15347363654445,5.83333333333333,3.10671078176542,3.5083299324948,3.10390308087383,2.9178065223266,2.42807372230543,3.52979495561873,-0.853133569643635,1.44786835645321,0.858654473582922,4.28151830420944,3.35638266543166,1.47297678807468,2.82803441716535,2.21774333710792,1.55575210842301,-1.62859404214105,2.09876556786848,3.33146090220046,2.17276254323961,2.09961235837683,1.97164812837309,1.74044914399617,2.65611003057159,2.03848117243334,1.82043731145435,3.43418457996919,2.10777100730753,1.60340077874123,2.532311474196,2.71928334932356,2.44300442624377,2.73299533528608,2.06456748170089,-1.31690691508963,-1.43788732215415,3.40540748746696,2.15468056676402,1.11447657667568,1.11962040755428,3.81835943553624,4.00737363994456,3.10388239031442,1.98795681072037,3.85019494596804,3.07031553419988,2.17737292341822,2.60917341090745,2.29714634360457,1.69071629748257,2.32851854851018,2.65058890011822,2.41321876684688,1.64370453782582,2.49552399313431,2.66911002505739,2.75769366465227,2.63480993249786,2.38442094905855,2.64410760633587,2.9568130238673,3.07628825347271,1.58030123556226,2.02576812048339,2.1860516627784,-1.84963958290479,-1.64480209231708,1.75539579057222,0.919935416527077,0.791881831486103,4.09946404382243,4.39227286730975,0.666095605458253,2.70385245697174,1.1066776810791,-1.66625994901057,2.70556472400091,2.09230837011277,2.4182618619188,3.25004488694861,2.92065441246368,3.2652599628101,4.09018770572998,4.17562820384846,4.0542697960707,4.1211043129149,3.32123502381865,2.55052841948106
"ETEC_As_2 (GE) - TPM",-0.216241206612379,-1.57893157752436,1.55862912518435,1.436887118657,1.83114229126245,2.50908410313528,-0.728791554814639,-1.71463832747598,2.28294042108379,1.3309451168225,-0.166666666666667,1.66944920193629,1.9967187390675,1.61894137292053,2.3533803977924,2.15370891350187,0.567561481287518,-1.44220743808602,2.63943212986389,1.10515045154793,1.65062228667721,1.85726517351008,1.87957681474748,1.95078874965485,1.34548726105067,1.49013950695743,-1.11528854775749,2.38475880241989,1.11357519951553,1.51609840705064,0.875028297815335,2.0852711595395,1.89615305579735,2.6003067827628,1.30050554633452,1.0845122014743,2.05321467538672,1.55705442883501,1.47119237807031,2.20336865535952,0.902115921429178,1.18987724944283,2.88722222026547,1.31267383769703,-1.5474555098388,-1.20287624151125,2.89777219905635,2.16077330484246,2.65701031729582,1.21306344493847,1.55778019848982,1.59113598815035,0.405565728805498,2.0957465877662,2.07305355466813,1.95338393502085,0.881582641251703,2.07232845047116,1.84634372301691,0.79360417512931,1.05506671635228,1.23172773003306,1.14738011752625,1.85725938080433,2.20767063542995,2.39575003432218,2.19524940528651,1.80877590703386,1.80678787335079,1.27059676420257,1.50004351580603,1.28202889163926,0.788605039096449,2.02735584160288,1.65046106316943,-1.67243699822073,-1.51236741410454,0.46729716288736,2.38816721746477,2.54405224334611,2.15621941539071,3.67954242270694,2.69485766260841,0.949535896560566,0.320934538910972,-1.29249274559204,1.93630671443432,1.48011804365964,2.3619945080731,3.13054384407368,2.61119237949128,2.1600699111155,-0.239139141364064,1.80389172970878,1.81211688140113,1.53757261267808,1.37364732793342,1.96035547050914
"ETEC_As_3 (GE) - TPM",-0.216241206612379,-1.42299235554441,0.126701866858829,0.0870766217994589,0.743064826459301,1.18864725026488,0.0717058549125279,-1.12371351662939,0.694433019482418,0.526694362581764,-0.166666666666667,-0.0436361511364324,2.71392277019056,0.462693959875006,2.10519917178073,1.80131066465576,-0.263106851230895,-0.312211846545105,2.17636984581321,1.82160192960272,0.12580499438209,0.216512903316685,1.90742458572896,1.00215057498627,1.78797273320804,1.09358609664504,-0.571443545561288,1.10187174023492,1.36185519198898,1.35342579246151,1.50171752722383,1.55429887957576,0.369894382799657,1.29960956921944,0.645051272644599,0.0205971747051017,0.330060156620168,1.0423608117352,0.438149267187163,0.535527062273878,-0.30815879606601,0.142948440883313,0.894869853497233,0.203860749879221,-0.676473661151733,-1.52381704135922,0.969825335594033,0.161376683094701,0.252223630281894,3.21895007685201,0.662131344655213,0.326715427667941,0.865525109780846,1.64055652389078,0.53667828340231,0.146718962931695,1.09507144159653,0.866354998367631,0.559719796165618,-0.244703673053599,0.165585676762253,0.490843829586018,0.163310553981321,1.0737300889165,1.0469059049637,0.932493050580067,0.908099965160285,0.494735881315434,0.396735091574565,0.0987735337564069,0.264618592838512,-0.0625561669113562,0.0749242707870783,2.54203068706315,2.57341908672514,-1.19612520792742,-0.182312730770316,3.68212233437757,0.475189923069825,1.00229279074154,1.20722062257565,0.257747131927456,1.27985194818123,1.1725301905225,-0.300779039664337,-0.878559490616925,0.440608060738062,0.588634254349322,1.03225594437544,1.21484290660415,1.17875449620424,1.39345797636088,4.0405431006482,0.628374495208298,0.7007975801413,0.667316947608943,0.431070565692324,0.776071951141628
"ETEC_Bs_1 (GE) - TPM",-0.216241206612379,1.37047973739218,-0.684149634433283,-0.577286588191298,-0.660569352553811,-0.100679845193856,-0.463885175950889,-0.939152889121318,-0.129534391854641,-0.582056722628158,-0.166666666666667,-0.279300476454231,0.247896747741656,-0.588758169866194,0.225722386204925,-0.257464276822734,-0.107750551289636,0.968718540160255,-0.529065205383717,1.37399711468199,-0.522599057889021,-0.50570870357458,1.13944815356561,0.39523284912429,0.774233264112359,0.880438885329765,1.20830436177557,0.816748934337954,1.05540937927506,0.916149873224388,0.844651506197243,1.02939959536657,1.55646986506597,-0.463653990132626,-0.561161408484788,-0.347404117454541,0.194388693395567,0.386327635994793,-0.563173526338525,0.0296193467603296,-0.0667830305400763,-0.303737915159557,-0.0179672316705797,-0.11843117683728,0.20131761180185,0.235553443301506,0.223137296223603,-0.200905041298544,0.478870155625645,1.04903121904726,-0.210750050567607,-0.656593240002443,-0.193223737184155,-0.171343436087161,0.0312118413035764,0.247452025262238,-0.923486719888406,-0.147340925393003,-0.522257102518924,-0.189783007741226,-0.433002373801518,-0.103124197592647,-0.118497803132146,-0.370241350599277,-0.296348432983351,-0.238918087051414,-0.324509440638902,-0.385904924694034,-0.264410564259537,-0.305257661098628,-0.256201008631412,0.101968655860947,-0.393208967351968,-0.820427677182932,0.380260222233615,1.62193419998586,0.557603113404254,0.268434491601585,-0.00122062999207669,0.166332802186704,-0.202897359246586,-0.252410982483156,0.568204361954624,0.394403061949807,-0.445607338797855,0.32045947617097,-0.942576326158213,-0.383423382090458,-0.469352347795675,0.283697869276093,0.257444102990753,-0.0166150006698272,-0.239139141364064,-0.04476479491018,0.0611436870001202,-0.00621958541053053,-0.431426737293501,-1.06337961188911
"ETEC_Bs_2 (GE) - TPM",-0.216241206612379,-0.307846922171029,-0.626142886475809,-0.586936307334701,-0.522711176472674,-0.119901086580807,0.240400337670347,-0.75416492996666,0.232787682397085,-0.490330919910056,-0.166666666666667,-0.281011507588558,0.416403596108258,-0.494663938352173,-0.164996768668478,-0.378222995489905,-0.192281413325317,0.116567307350491,-0.179657110718084,0.833761707993051,-0.514110766584254,-0.693988444425682,0.743343657164787,0.208501278466773,0.630953051333972,0.626193503430358,0.876371767462394,0.600689753492007,0.843627964862704,0.696147398103398,1.01617455456968,1.23216418455946,0.394205611582137,-0.257802493988505,-0.437187791504441,-0.461589850256418,0.0276871431635479,0.423702493900232,-0.569043419440951,0.0576594671849922,-0.151916096266751,-0.0337219195145916,0.232954494365388,0.0725588558448359,0.820420744657178,0.125553064878346,0.0480608001614118,-0.26277152714118,1.2407313079239,0.952607849919739,0.035645863261567,-0.410738064220061,-0.858588307450537,-0.12592611245798,0.0236847560957325,0.351289788059993,-0.931429146512902,-0.166354357513069,-0.379424235472523,-0.25284861172482,-0.261407131838411,-0.170433327502146,0.0708992928643538,-0.296909362264781,-0.0601154443970645,-0.105132885408037,-0.10021046567093,-0.322326413798986,-0.130553269612796,-0.146124271261043,-0.0775786321311914,0.0188223988256951,-0.283403515996563,-0.909831132805727,0.261941369232937,1.10397017808503,0.361137713463623,-0.0254267902990552,0.0422530836879552,-0.0260693930840653,0.060454220127588,-0.252410982483156,0.0884361825810112,-0.0449129976208261,0.809744518525333,0.128933353202947,-0.415604364874743,-0.589677580122891,-0.448741702691668,-0.045925708542523,0.42667271423765,0.494464564442276,-0.239139141364064,-0.0854103630898931,-0.0732163754484159,-0.157807181658846,-0.238783116972151,-1.03256743332653
"ETEC_Bs_3 (GE) - TPM",-0.216241206612379,-0.679809292857968,-0.5116822299683,-0.486550771461773,-0.581355769066842,-0.119022465107082,-0.412054016931173,-0.729483078636379,0.299694101855673,-0.331933325575946,-0.166666666666667,0.230196376133888,-0.302086453705842,-0.210535971881605,-0.177729050707633,-0.548715432942609,0.0256103691276892,0.389084359584663,-0.385670531425021,-0.0993501848714718,-0.446356231635092,-0.359156558023098,-0.299084421497306,0.793401108588837,1.19964002242516,1.34765431400328,0.867184661159556,1.05797477899465,0.942557460511573,1.4653050362508,1.10913955796127,1.64188356941363,2.6593884842627,0.49882744916617,-0.342290322142824,-0.598275781534143,-0.0639596857663811,0.258676201411066,-0.344395689019094,0.0156363627719675,0.261630648409346,-0.134738625799596,0.2112877944175,0.412567866235335,0.113562169732892,-0.119746303445242,0.407338811108429,-0.129877316754123,-0.590478511611207,0.0754824990669068,-0.473997676059936,-0.626891454694741,0.226470188224586,-0.257838207045118,0.673380278278816,0.877559378281054,-0.133597570355287,0.0126075585776451,-0.0727883733607833,-0.0639061534756154,-0.0555913214060203,-0.145891550120048,0.209845753351076,-0.0660695896579652,0.316900639763423,0.115409303267207,0.0401841387365999,0.19444589477075,0.116331975704769,0.243382740513648,0.0558148164226632,0.385465679973965,-0.0910317740053133,-0.444675900918556,-0.492734248876558,0.792794674518902,0.150608363578771,-0.630778614661848,-0.315569120251983,0.425750360960926,-0.475907118733355,-0.252410982483156,0.169674620931566,-0.939978632357149,-0.697000142330978,0.0069612094987649,0.00541415273319605,-0.293744329799979,-0.368223227050967,-0.287760365333779,0.409110556130578,0.440617827702271,-0.239139141364064,0.214006321606163,0.078153276817599,0.131988001931851,-0.383537751367868,-1.05225797375188
"ETEC_Ctrl_1 (GE) - TPM",-0.216241206612379,2.43661452799377,-0.827771605730922,-0.661041042855961,-0.883074220505812,-0.259309112444593,-0.658900708803155,-0.636939764770693,0.197347038949751,-0.101293385857299,-0.166666666666667,-0.198149887281817,0.57531695336501,-0.261552412187116,-0.085143020420256,-0.249202378349771,-0.254241141652595,0.869963691836248,-0.66805277033005,1.95144726146576,-0.674125507142884,-0.4436640715261,0.903465388986589,0.0166483797778414,0.804898686287188,0.528567985827657,1.41936303700609,0.822172742845963,0.663625488821013,0.666335578340329,0.448314558300171,1.09322997536581,0.11931263689212,-1.14318353780666,-1.37102593859872,-0.308958414246437,-0.529582815207642,0.0127520622673285,-0.404974642572542,-0.0520890033922931,0.0527507941691912,-0.703322191018603,-0.481962767175554,-0.471449325725178,0.344301168679657,-0.104879777417835,0.498315239155906,-0.110627940790415,-0.590478511611207,1.41026048654161,0.156717375001149,-0.402900801251123,1.78737781755842,-0.484377749954704,-0.0905510932537951,-0.203516703704338,-0.759292872466082,-0.512885047100414,-0.698326096626686,-0.604352362708617,-0.724109829147716,-0.567694130207825,-0.483793023270915,-0.538471926574033,-0.502201485643856,-0.561661306056073,-0.554105225273841,-0.435182161763382,-0.484798768462926,-0.467850174295455,-0.262890391846663,-0.236865048384493,-0.536644916797713,0.129192059060713,0.456160687743417,1.23967183300323,0.0813169746547747,0.311668169525347,0.0140660415030538,0.163594238658056,0.166152163222249,-0.252410982483156,-0.110571616862714,0.722930674480762,0.323489615344225,0.292707577993045,-0.807853947285466,-0.531275087691383,-0.642824877250857,-0.261918973189239,-0.119761061241091,-0.108069379990137,-0.239139141364064,-0.271393961643796,-0.190488341196619,-0.13995646140454,-0.458436388107102,-0.256431336126243
"ETEC_Ctrl_2 (GE) - TPM",-0.216241206612379,0.837701012058533,-0.907671955558344,-0.658366060143269,-0.487681486191742,-0.175062306733431,-0.0470345099023274,-0.398097135676422,-0.951022654014261,-0.132010470499247,-0.166666666666667,-0.156296001201825,0.213128840424383,-0.525300552217336,0.448941700353133,-0.295759276886961,-0.384899260079324,1.73982193447295,-0.37912706587138,2.01334390862441,-0.853013807449084,-0.475959834519897,-0.151136079313101,-0.0943334742976026,1.02032193318437,1.05497253770921,1.09492201734628,0.925369325230865,0.750614820948726,1.0584358545881,-0.0085788710649808,0.894499142389661,0.189152550152337,-1.21795688568101,-1.26958371053626,-0.295264490111169,-0.0398014954552176,-0.29531395796134,-0.151595396185288,0.571013405987988,0.191694737672625,-0.145651900726964,-0.471131343022792,-0.198017271114993,-0.721753528253094,0.734393529180571,0.272719502818919,0.0700416581632117,-0.590478511611207,0.973274348115711,-0.259378330894204,0.153934039300448,0.695325439784853,-0.432804245554586,0.288053695570118,-0.214578740789287,0.592845893615547,-0.520246767659741,-0.336802544081896,-0.746287484520111,-0.285396909455019,-0.526396822831151,-0.350126536933003,-0.575033581093556,-0.111298453558043,-0.310148296744505,-0.398967109504764,-0.340756267556862,-0.537166881135485,-0.311538381688652,-0.240306944198225,-0.0377629303873614,-0.387481658388361,-0.616742122519384,0.693772257054843,0.610890541631068,-0.0429516485540882,-0.138229559268095,-1.02471300599999,-0.520326878688377,0.43592830335142,-0.252410982483156,-0.119730557141225,-0.273298873734755,-0.697000142330978,0.0166858477584827,-0.348865188265327,-0.707733240916709,-0.552857776524874,-0.362689039610353,0.0676758901891004,0.236878897387423,-0.239139141364064,-0.190973865591796,-0.2797071581505,-0.0813138456960026,-0.262220440196281,-0.709176000398611
"ETEC_Ctrl_3 (GE) - TPM",-0.216241206612379,0.929311942485831,-0.6954043519832,-0.375311505754946,-0.543450328609725,-0.056937629202296,-0.802030847294736,-0.65399421918756,-0.0190293255801378,-0.160116811278314,-0.166666666666667,-0.0627386580426747,-0.329397287342859,-0.479112568567975,0.069631629002481,-0.593166430198422,-0.112776298320556,-0.218076151273119,-0.474614499837355,0.474034526558854,-0.604381275568166,-0.432022153491735,-0.295768137155405,0.0942991102968552,1.67488049817679,1.71506500243171,0.711849558844756,1.23984693379142,1.60899721587069,1.79253588582168,1.85903687113181,0.91100729345992,0.708837269799226,-0.726229425651479,-0.793167698634675,-0.540799949114601,0.0373209703552587,-0.142868392255894,-0.45483061631707,0.0794861242230952,0.450563464424334,0.0781958904183192,-0.0973731902709235,-0.200598050987657,-0.593165877847512,0.190419114975635,0.438174551316714,0.20555266154876,2.61969007559022,0.019289785075065,0.48416191291114,0.576294115201509,0.778082184365235,-0.328734063546438,0.485779788114856,-0.023416928662986,1.61453821618424,-0.340503354608973,-0.29622700003433,-0.335915659103684,-0.11851417405687,-0.165562025439107,0.107995473728871,-0.524602451447355,0.195487910566562,-0.128084043391135,0.126161071303043,-0.0475492531827199,0.0376837906226581,-0.085987647655503,0.08362900283513,0.290344319024064,-0.214858309045334,-0.702558369185668,-0.553332541526932,0.114683167581718,-0.389016844411657,-0.668357572817374,0.686281386389531,-0.344943597196711,0.261556689119121,-0.252410982483156,-0.847468339330379,-1.16824502997077,-0.697000142330978,0.338668735991113,-0.312413841680493,-0.602546757502682,-0.583873564883319,-0.399259399063337,0.0604744629986134,0.338212005061387,-0.239139141364064,0.342811867560509,-0.199783882313105,-0.0424381572311504,-0.127483635448002,-0.448968780308316
"ETEC_Li_1 (GE) - TPM",-0.216241206612379,-1.27328568295085,0.290033616081157,0.410568089976396,1.42599494948687,-0.0426843287084461,-0.37598223931415,-0.37109923489148,-0.689378123255745,-0.403249527088419,-0.166666666666667,-0.199469057589809,-0.0483933004342492,0.213437988552774,0.421090809165416,2.02382761322052,0.274833915596098,-0.350439252284341,-0.573101532968811,-0.624159407671597,0.0104849525092317,-0.326302190327375,-0.000482865072070561,-0.72047854314209,-0.371683968362659,0.287966813421765,-0.999717867207989,-0.175796767015573,0.413086907129276,0.202779422005754,1.05870105600174,-0.793955416518703,-0.862738291213413,1.43978123145562,0.449601339612554,1.00753324779867,0.537675282580192,0.101868699333873,0.226895107953485,0.353068270138599,1.08606082608097,-0.0902428204599236,-0.374495506928138,-0.458382322926736,-0.704926786467271,-0.561997204118017,-0.368054825677174,-0.126243245930805,-0.590478511611207,-0.088950470136585,-1.25139665201395,-0.566287526290684,-0.173901758448231,-0.532052012730844,0.00867198488775282,-0.0215148082789779,0.704335035494155,0.0128217244861992,0.42620012547201,1.11490127463938,0.407737923491767,0.472408760103953,0.212282954581266,1.2315810050247,0.737175325000598,0.795094091944294,0.804890465720457,0.19712774691431,0.672669903417653,0.864849492713982,0.134677236574994,0.515379149827206,0.622206352478645,1.75676412721467,0.630166654540296,-0.358546941115157,-0.514592705711916,0.971372088526822,-0.0164233032987506,0.394944969231143,0.477568168814239,-0.252410982483156,-1.27707055848381,1.12389895992337,0.333605365187006,0.197671273211396,-0.696299625830264,0.375662215465098,-0.139598870454813,-0.615923223270224,-0.0308522951884256,0.556094443885442,-0.239139141364064,-0.475676343077368,-0.33547230817062,-0.477892104195436,-0.458961814554392,0.331059919628591
