"","ETEC_RS00070","ETEC_RS00075","ETEC_RS00510","ETEC_RS02420","ETEC_RS02640","ETEC_RS02810","ETEC_RS02905","ETEC_RS06435","ETEC_RS07805","ETEC_RS10275","ETEC_RS10600","ETEC_RS13405","ETEC_RS15230","ETEC_RS16775","ETEC_RS18715","ETEC_RS30155","ETEC_RS19745","ETEC_RS19825","ETEC_RS19830","ETEC_RS19865","ETEC_RS21070","ETEC_RS22820","ETEC_RS22825","ETEC_RS23570","ETEC_RS24450","ETEC_RS26385","ETEC_RS26420","ETEC_RS29400"
"ETEC_As_1 (GE) - TPM",0.573377602118789,-0.00787055699864966,-0.0765539178206383,0.232732444677256,-0.216134378714906,0.137509862744842,0.545903598866308,-0.124001801925985,-0.157091159329117,-0.876082119274759,0.357986697821399,-0.354175525452212,-0.791031432683358,-1.14436479470364,-0.705963183947812,0.303262880405088,0.713264101142265,-0.444784317334288,-0.170299249964921,-0.667631745906478,0.86319714806906,-0.398988675130492,-0.480623884229586,-0.576424360403999,-0.108652075397441,-0.219380352468164,-0.743450902703733,-0.443955889891963
"ETEC_As_2 (GE) - TPM",-0.30676797557493,-0.479979515700184,-0.311292170233059,-0.969806673780544,-0.207763215613104,0.0316794682462151,-0.335096022404068,-0.389053793545894,-0.613704901092454,-0.591236406444441,0.263434746240049,0.164194556310992,-0.842528788791657,-1.15220971030853,-0.45123113203024,-0.0343469340713795,0.391091855359704,-0.40642091459367,-0.414819370067824,-0.310866110808056,-0.181589969991865,-0.700511654654332,-0.890888873878006,-0.336948381628881,-0.169789289652763,0.198150339168645,-0.219618819124742,0.325700254818723
"ETEC_As_3 (GE) - TPM",-0.475420258433054,-0.863409652568962,-0.240346889977926,-0.645402143868133,-0.378491681670835,0.047149341000613,-0.395497874126875,-0.686629378018166,-0.590995576757128,-0.209334822949442,-0.433266947464943,-0.428641365454197,-0.88131976978551,-0.657739955861184,-0.522526204687334,0.754003021833893,-0.130525635966953,-0.0852904564088756,-0.663201165528227,-0.867329051413421,-0.298385245223512,-0.682171173440312,-0.953473619331496,0.0866014735841916,-0.0914875769866453,1.0522184866462,2.1178224886112,1.39066193661889
"ETEC_Bs_1 (GE) - TPM",-0.423030092731638,-0.224686562025066,0.388672903746145,0.125916689058807,-0.0747243603436942,-0.377450940193602,-0.257535050917075,-0.240762344781399,-0.499885411331474,1.078770842262,0.488572870376745,0.188671381649285,-0.518648218134237,0.434028761906388,0.571763802538041,0.123708788764968,0.0976154611620199,-0.125512353063824,0.026063926488694,-0.21566033771587,-0.393415325943287,-0.165929418477455,-0.206671836261294,-0.500442016784375,-0.434007168980305,0.439166501161901,-0.375643021858712,-0.861616571406127
"ETEC_Bs_2 (GE) - TPM",-0.360671841059793,-0.205764082441061,0.0415676984614954,-0.453661435145213,-0.290450515523197,-0.0970847291926875,-0.279532223657825,-0.360555578311906,-0.849931053622484,1.11384919667998,0.480957785524738,-0.216822333020067,-0.398770969626106,0.299633801619022,0.3038556624391,-0.383546672871875,0.3418482257305,-0.560904197046016,-0.381555758094775,-0.453717261261304,-0.229823850360065,-0.113100408077335,-0.144686226681119,-0.449474515817614,-0.316752108959899,0.742778842941424,-0.110756690101426,-0.681192150800388
"ETEC_Bs_3 (GE) - TPM",-0.0940217582715848,0.407679561151973,0.129024092770987,-0.347102931500949,0.0136002037517883,0.138203696959791,0.529468986782052,0.0535573220696669,-0.0270406562095116,0.770030933967144,1.22858184892988,0.503405162164512,0.234055767264302,1.11593416004691,1.75363758076682,-0.438143310510513,0.513946742674218,-0.655318542945951,0.142311229902091,-0.380174016594676,-0.0970595211857606,0.0829715403579332,0.0509293907002607,0.150206046036142,-0.101056782960309,1.0654327057379,0.340463316816242,-0.423845218414907
"ETEC_Ctrl_1 (GE) - TPM",-0.455770401880878,0.0759304399876676,0.668229253286821,0.29334664912392,-0.218276805880022,-0.279209164627471,0.0144857178040908,-0.151869183077068,0.0898629467415605,1.16245757628852,-0.139961191795395,0.715805376639334,-0.600010418943449,1.16578750843418,1.39469078338875,-1.28805056147043,0.219229391164593,0.764585417739912,0.327735029046048,0.488903841020992,-0.556855364887057,0.439706108521679,-0.12596651621347,-0.594191314761337,-0.486567097929893,1.33805172394104,-0.592513423033182,-0.866156643612976
"ETEC_Ctrl_2 (GE) - TPM",-0.500049646835243,-0.179677178413182,0.609513126309251,-0.606868441329101,0.0643478848710491,-0.0893479433412537,0.464507352414211,-0.229918237914494,1.12798009775623,0.809230464163566,-0.0256707987207409,0.671420767520288,-0.329152923237123,0.63538228001136,1.2627948135451,-0.665835300703942,0.734641624395848,1.67608701679132,1.14198068714313,0.26577481188245,-0.539705883099583,0.488121351751183,0.440107157662991,-0.669487585079068,-0.346325968525913,-0.367291358786488,-1.05028569043813,-0.93152233257914
"ETEC_Ctrl_3 (GE) - TPM",-0.181637600111509,0.616928593279305,0.928869017153417,0.118901974652665,0.114543658352903,0.215696941318784,1.62602902224245,0.0491345419329468,0.937260204901798,0.559152134359908,-0.398273180090041,0.543369427997865,0.124825561575392,0.89261912220227,1.17404741988375,-0.510527777577081,0.549272074225998,0.881986501140332,0.626095882306444,0.0774529399847425,0.149601884880936,0.836421792250595,0.226890846255899,-0.349292507063749,-0.145061891287357,0.928557159733067,0.0282583656517438,-0.556513819809076
"ETEC_Li_1 (GE) - TPM",2.3812304217603,1.9454926941622,1.99065953763311,0.95085228467109,2.04488369949991,1.26980029369819,1.36760263797773,1.11860490242358,2.03060294764973,0.666421538022669,1.43658824152196,0.993576530849586,1.60076367957119,0.535741588805707,2.62699797149833,1.75669404203104,1.82355579348249,1.78956382128424,1.89154707251618,0.593705436983558,3.38610233254085,1.36363905092097,0.938536272424441,1.9711633427213,1.02907309802129,0.364182722439256,1.90277019589597,1.27964402163469
