"","ETEC_RS00090","ETEC_RS00100","ETEC_RS00695","ETEC_RS01415","ETEC_RS02235","ETEC_RS02380","ETEC_RS02715","ETEC_RS03105","ETEC_RS03490","ETEC_RS03520","ETEC_RS29750","ETEC_RS03775","ETEC_RS04040","ETEC_RS27675","ETEC_RS04610","ETEC_RS05485","ETEC_RS05965","ETEC_RS06210","ETEC_RS06520","ETEC_RS07140","ETEC_RS07365","ETEC_RS07580","ETEC_RS07810","ETEC_RS08225","ETEC_RS08355","ETEC_RS08740","ETEC_RS08915","ETEC_RS09810","ETEC_RS10660","ETEC_RS10755","ETEC_RS10785","ETEC_RS11410","ETEC_RS11675","ETEC_RS11860","ETEC_RS11870","ETEC_RS11890","ETEC_RS13095","ETEC_RS13475","ETEC_RS13520","ETEC_RS13550","ETEC_RS15100","ETEC_RS15110","ETEC_RS15395","ETEC_RS15400","ETEC_RS15405","ETEC_RS15475","ETEC_RS15555","ETEC_RS16350","ETEC_RS16485","ETEC_RS16565","ETEC_RS16580","ETEC_RS17370","ETEC_RS17905","ETEC_RS17920","ETEC_RS17940","ETEC_RS17945","ETEC_RS18040","ETEC_RS18045","ETEC_RS18200","ETEC_RS18530","ETEC_RS19720","ETEC_RS28775","ETEC_RS19935","ETEC_RS20030","ETEC_RS20270","ETEC_RS20275","ETEC_RS20330","ETEC_RS20980","ETEC_RS20995","ETEC_RS21165","ETEC_RS28895","ETEC_RS21595","ETEC_RS21860","ETEC_RS21920","ETEC_RS22230","ETEC_RS22550","ETEC_RS22850","ETEC_RS23150","ETEC_RS24440","ETEC_RS24575","ETEC_RS24650","ETEC_RS24655","ETEC_RS24795","ETEC_RS24810","ETEC_RS25060","ETEC_RS25925","ETEC_RS25955","ETEC_RS26260","ETEC_RS26265","ETEC_RS26310","ETEC_RS29365","ETEC_RS29395","ETEC_RS26430","ETEC_RS26460","ETEC_RS30330","ETEC_RS26555","ETEC_RS30360","ETEC_RS26920"
"ETEC_As_1 (GE) - TPM",-0.739643786045762,-0.119394085658997,-0.184887286277061,0.0485896044360738,-0.19798077504543,-0.333808551091181,0.189968715896583,-0.562031610855185,-0.290267700447944,-0.0815740706828868,-0.306215969213103,-0.409338298107964,-0.0121119557719691,-0.041410137667418,-0.343982806682515,-0.20818851757,-0.474616331766079,0.341158751577276,-0.560682354765027,0.520436042113525,0.231521587452956,0.147021737403254,0.600153418061633,1.13143475511887,-0.598417878054867,-0.663857095080446,-0.504183856622361,-0.304923969983076,-0.646482971620059,-0.608633174887127,0.0351175889538887,-0.0253367514204944,-0.0219354396568169,0.334689994731466,0.503743530031536,1.46543725113389,-0.689816190375829,-0.0940004835209496,-0.346197994390852,-0.56230601432484,-0.19348690870596,-0.311033101670035,-0.985919620856574,-0.222216731772349,-0.025908950018942,-0.047307187548406,-0.551322560106614,-0.666960959092102,-0.130489676941363,-0.528642655526389,-0.0402663554489767,-0.513216276762268,-0.438559721934566,-0.135338636327037,1.42525333111266,-0.0346780095880809,-0.0854078415136682,-0.373738537027656,1.42338433705873,0.114019506022251,0.756494783400203,1.6963400356928,-0.688481846928611,-0.512401860330138,-0.441676324561647,-0.479305437926611,-0.179587981163069,-0.429969134367578,-0.409566766877711,0.594214023363874,-0.104875049350122,1.10644171278775,0.309749637993978,0.0990931826504916,0.432657188791244,-0.961108704507205,0.45711613998066,-0.542631635111576,0.204433995791355,0.939424987092543,-0.530692392614784,-0.476276780191316,-0.3903774392383,1.32380485807985,-0.476694695095699,0.576788675936298,0.701822586492186,-0.77638602186483,-0.552266446821934,-0.623330548330743,-0.608334146657004,-0.54820719870925,-0.375876557836397,-0.434797383698904,0.243564957695942,-0.0927435236431191,-0.137592372606017,-0.483490426288546
"ETEC_As_2 (GE) - TPM",-0.581278763602012,1.00837845809059,0.220556492397674,0.640475425877008,-0.530418570288409,0.75516265390802,1.00442394138177,-0.109621987463516,-0.153623873479982,0.587294228490887,0.52381073984708,-0.105617030396987,0.803526040406114,-0.3033155425263,-0.236424232204206,-0.139430350009811,0.0232344685056037,0.593653397113999,0.0462236484305874,0.206039070333504,1.41870783580566,0.849241615908885,1.44731399408,0.549231673080287,-0.0449936006033076,-0.143572112164054,-0.432649221399856,-0.480693448971665,-0.592414666225141,0.178164221544664,-0.218482036373269,0.291979148512869,-0.0879176451120523,0.221013493980255,-0.245161652345885,1.23396082532966,-0.257569275949563,-0.427175394787539,0.19549359328921,-0.453889682933895,1.44564644334326,-0.146609754684242,-0.311764601662777,0.820033421769475,0.841977841493572,0.805716592624885,-0.181575468283582,1.67281218837343,1.06659992364545,-0.729600476691158,-0.250079607052667,-0.502215502929345,-0.350246897806046,0.612986596869979,1.39926838137514,-0.188231010581076,0.620830731327324,0.13748869350838,1.48922932739147,0.836009276202243,1.17104616873812,1.29601281938569,0.502047403585583,-0.299776114952037,-0.204414151772093,-0.45419517009677,0.359909854165744,-0.562145979974129,-0.381743368106312,1.12587331454296,-0.119973646790365,1.7010751321923,3.28399090041152,0.627296729843318,0.848489045066405,-0.876953712609645,1.26532517274841,0.304241257172986,1.19745273406625,1.00301563001452,-0.6300637083106,-0.182044639971938,-0.611954574222339,0.649675305930426,0.36187266395964,1.54974859529235,1.57989540354165,-0.752171968977951,-0.418097153682403,-0.563675878891813,-1.11455915830058,0.439327222322234,-0.00832036622043736,-0.248868591868372,1.45612871685313,0.516857910716696,-0.0816518599572167,-0.463401431589755
"ETEC_As_3 (GE) - TPM",-0.720579485162249,0.191874125700496,-0.421436278666231,-0.0926092461422666,-0.27261653834967,0.283876971990832,0.719490291104452,-0.615832510639208,-0.39975795695184,-0.282769535219937,0.0200251846352883,-0.30080536615642,1.47189405529585,-0.49646411952823,-0.614926948498375,-0.303885560024806,-0.360654728295601,0.213759780170398,-0.521008993754642,-0.526224539576867,-0.260847130839753,0.291362217990324,0.536459748671913,1.14832418785399,-0.562668137001021,-0.746760416293239,-0.431429108784808,-0.422519012900158,-0.648780782351745,-0.654344693913826,-0.659508242419791,-0.160111797194016,0.154543007826241,-0.0797983932834817,-0.223359452165991,0.664301712717657,0.0875415925682799,-0.283033076764684,-0.42048764576068,-0.564422919274264,0.0886484559572901,-0.409638445887893,-0.0220645809894328,0.0920097845930979,0.142460557984584,-0.350931484278951,-0.0855757542593087,2.2219547904831,-0.0310619217264497,0.2812324116818,-0.387717633388927,0.387085862804944,0.15742152842814,0.423110233297186,2.32485897270835,-0.0432106649444375,-0.441308195487945,-0.352586311234175,1.20098202062407,0.100412503006158,0.485109216496543,0.634858235943367,0.372546058751019,-0.0889386276127611,-0.683902876368174,-0.531653953623739,-0.743608054931866,-0.649377433293798,-0.572031151572739,-0.0468731992770283,-0.421858391130778,0.549632047948743,1.1581161492599,0.064955323679272,-0.135932702246805,-0.760812253117892,0.459013074816891,-0.1789131322578,0.352871358601452,0.584176351206326,0.00431311657102368,0.142148563726183,-0.474327934105991,1.08902694555867,-0.111093480650122,0.0193465653803309,0.921774459247973,-0.669517965382356,-0.151066474611475,-0.620412020322598,-1.17347692241137,0.841450129433052,-0.438700589477003,-0.352307260121758,0.172866430636634,-0.152595894170784,-0.680913243226097,-0.786438808981927
"ETEC_Bs_1 (GE) - TPM",-0.930065462238295,-0.374485457988507,-0.849001926537863,-0.754336697583207,-0.328199115695609,-0.688590807283872,-0.648307240689794,-0.443860910065509,-0.33746191662671,-0.598551759854656,-0.613000223641456,-0.623858890164837,1.23666756274835,-0.413291795467715,-0.690739342942533,-0.414903556421567,-0.481738308347929,-0.303783265186267,-0.870864742513792,-1.27845540549504,-0.29019554614826,-0.414639602197246,0.0831109496281341,-0.362870581454477,-0.607197806393664,1.24712745532198,-0.557156931356994,-0.579717893318682,-0.595505149239065,-0.639768738302012,-0.223838580541824,-0.458335384744084,-0.256157296168818,-0.362911460388315,-0.536572467729538,-0.546324522324474,-0.681295575672611,-0.595747512237251,-0.406853297818019,-0.689020655693358,0.288760065473492,-0.600097199791824,-0.201912763528295,-0.597147974367032,0.0461429953282225,-0.350931484278951,-0.390488999835404,0.270334427265533,-0.902062404029939,-0.0433770131609006,-0.254511294010783,-0.0450560762217308,0.250952017822725,-0.781941678664148,-0.0911390384903666,-0.312078906657252,-0.536880031868183,-0.429817624246747,0.196423824429591,-0.179501535211453,-0.357294456247129,-0.0398189911353661,0.357496872737853,-0.852958747282092,-0.808308547266347,-0.790556930884683,-0.47012795138964,0.133741458737587,-0.625611328927691,-0.338412919735053,-0.421858391130778,-0.485359795603854,-0.294047470262256,-0.140453190878675,-0.579859172820989,-0.10985325011023,-0.356623393575748,-0.585776326110645,-0.46729086748599,-0.233588116923249,-0.120019909327257,-0.536104006290008,-0.409595544541688,-0.213016560152872,0.170100821462011,0.485103318268406,-0.424276489662816,-0.601970455928548,-0.258428189218407,-0.639892832960995,-0.53459470634692,-0.694481611384971,-0.443690007559597,-0.348907319417066,-0.185407358766354,-0.698453689682494,-0.656883892572024,-0.788700065143797
"ETEC_Bs_2 (GE) - TPM",-0.972116325769776,-0.520552167748136,-0.780690992443321,-0.672346739701566,0.0744644602030674,-0.291942316995904,-0.761651536302239,-0.714214982703656,-0.581028337955358,-0.618692922577532,0.0869142401204415,-0.660546877015647,1.36424974070254,-0.439464501757835,-0.670319733699524,-0.475609193144772,-0.573648176800066,-0.439928470829647,-0.922713393612591,-0.933417884929023,-0.457759994999408,-0.820899328435743,-0.134287608431971,-0.134692526919116,-0.899042609963588,0.801920512429368,-0.556078747932322,-0.62621952469905,-0.739255473213875,-0.862079580834238,-0.28647623370776,-0.491892476856371,-0.270131488371216,-0.15704891847602,-0.100660318257438,-0.334688731870246,-0.835635109314967,-0.474486749239222,-0.330876479828206,-0.672559354187383,0.130309324800212,-0.648642705552753,-0.012987377990669,-0.342564019123544,-0.327415192429089,-0.350931484278951,-0.646866292014353,0.110408587248073,-0.348967680268096,-0.290816176401522,-0.614958470193177,-0.123865638060436,-0.0874536127506234,-0.103843585319227,-0.175400943295444,-0.17937704488747,-0.61234603188689,-0.539121365375528,0.479509125742576,-0.562802682457808,-0.351431415265505,0.208316667403598,-0.828772409323532,-0.675494989438202,-0.998599740430747,-0.601850206916569,-0.323891019073375,-0.309949053796702,-0.572317888701586,-0.932823003269629,-0.421858391130778,-0.0280776696701426,-0.326871995061166,-0.198653515358064,-0.515383091645969,0.152471984166423,-0.0110216126361797,-0.375698951402544,-0.544031390693891,-0.466685163334994,-0.364366586747003,-0.613940895754673,-0.540674686442898,-0.00713634934690331,0.266168926340683,-0.249786454607562,-0.3834263038261,-0.721149242476048,-0.53756550918528,-0.734859170584171,-0.134510412728175,-0.587179337259279,-0.46840886308271,-0.732848369972244,-0.468380014589618,-0.601604926343098,-0.673183999737406,-0.689844564187929
"ETEC_Bs_3 (GE) - TPM",-0.741522551362396,-0.643327966277532,-0.623783098193001,-0.697311487572647,0.194483278014841,-0.683317167685899,-0.579251782051198,-0.770078170189833,-0.00694172708426673,-0.470092130796621,-0.75316288648324,-0.620529619195371,0.107481143831954,-0.383249455777091,-0.596564575427188,-0.542827718703683,-0.523066235297127,-0.431212736014041,-0.524313708289008,-1.19103481180974,0.0272177747818978,-0.472186326363453,0.415616862996699,-0.422080538207274,-0.462414089472127,0.600129752767865,-0.587921030932546,-0.640050164897007,-0.635618967253131,-0.727664894229947,0.805063079968266,-0.542525872968192,-0.366125059748243,-0.292431395783889,-0.530876811826716,-0.496791392099299,-0.39149687356113,-0.632330502353156,-0.338051938616817,-0.746913658035261,-0.612816106103427,-0.617272497749733,-0.126801948523024,-0.545934966208456,-0.306126300094226,-0.350931484278951,-0.485819745250618,0.653447498384322,-0.487882580608442,-1.07907917154654,-0.372618622311469,-0.638833908905575,0.00546814820275237,-0.195255517698848,0.800422482177379,0.790108559825521,-1.06177592280952,-0.609257842851993,0.893510546695944,-0.905804628757762,-0.389694670576519,-0.545788206346263,0.375367670711824,-0.616264803406256,-0.879065989001415,-0.658106318378817,0.0312936788295777,-0.678968465771603,-0.527538243430085,-0.511173439544812,-0.254773936509146,-0.147734976684794,-0.646710106146439,-0.249958710701937,0.1150750649481,-0.561403432130795,-0.328926991836496,-0.318751581147913,-0.347083246932078,-0.676515329218223,-0.802876876629826,-0.625628319491482,-0.715011629458136,-0.46132876818417,-0.834133799254419,0.469237591256984,-0.545410347720097,-0.516737733001279,-0.45843102204181,-0.711439717859844,0.478557354935685,-0.156001162197896,-0.237173532881416,-0.757069001207377,-0.0631473889900362,-0.628772032661113,-0.579695933650304,-0.457770460173864
"ETEC_Ctrl_1 (GE) - TPM",-0.922060820332408,-0.710114733557558,-0.569423019317862,-0.715580710585773,-0.993291406758697,-0.661385991716735,0.634056923879698,-0.505232583255507,-0.489085312534901,-0.764252979809164,0.10028971809728,-0.548435503333502,-0.27055233345763,-0.379993791987297,-0.882920106865636,-0.372931834269051,-0.695493844626785,-0.673052789673487,-0.987507213359068,-1.2345888359206,-0.573823951426097,-0.75562657788504,-0.118901600640867,-0.231967199731745,-0.759581942667049,-0.405484041970962,-0.634048722702887,-0.622856775118287,-0.84686672188442,-0.908015608823911,-0.659508242419791,-0.513440711667568,-0.343631808490813,-0.465822834685464,-1.12714712195798,-0.976681419882059,-0.689578663624594,-0.392942928580543,-0.372681335348055,-0.688161761521445,-0.30642279788157,-0.530006128675427,-0.912357996224783,-0.483767927039972,-0.641854777975145,-0.350931484278951,-0.381626596915054,-0.825607797696611,-1.18726679203157,0.322344457913168,-0.614958470193177,-0.028119745296075,-0.240497965640587,-0.617068659262988,-0.677213924990839,-0.54196754314342,-0.706653797108767,-0.522459662190969,-0.0520242020698736,0.337274171688854,-0.980486064433974,-0.912491070682369,0.271726647894634,-0.850650392902087,-0.576751158316876,-0.300447432975334,0.454937701378533,0.273316071139537,-0.650293747784855,0.127593050473557,-0.421858391130778,0.00113899548079674,-0.813990807006203,-0.272202772973676,-0.526545201832359,-0.0336508124783332,-0.217061955711126,-0.179878761113204,-0.465042089735236,-0.438826986723089,-0.802876876629826,-0.323617212341477,-0.301748690056468,-0.403844480971941,-0.579304265731443,-0.188847462273314,-0.383387949387222,-0.794965937773921,-0.40405886256605,-0.666945452143281,-0.281186977529892,-0.852850283508125,-0.592141778455392,-0.794014616043865,-0.444121818590332,-0.643805718921687,-0.770257587779749,-1.06820301432861
"ETEC_Ctrl_2 (GE) - TPM",-1.09100102394886,-0.985874555430215,-1.17980340333398,-0.853328221755593,-0.280026496030113,-0.852832783193188,-0.243078252312256,-0.490202034907277,-0.618734067765142,-0.522110656377481,-0.75316288648324,-0.807485007345557,-1.04105832754272,-0.680878038537028,-0.992824535597047,-0.276948425679053,-0.629695316773907,-0.88674247572535,-0.715828421698096,-0.806119510143326,-0.534097835258225,-1.14751606806556,-0.00799719800091019,-0.107670380160567,-0.0678179592468752,-0.757324505443605,-0.40722487158519,-0.484309797911582,-0.84686672188442,-0.908015608823911,-0.659508242419791,-0.78234830116831,-0.408950614570862,-0.857510488135744,-1.73897739400653,-1.24450689898656,-0.424459892816476,-0.75474410032244,-0.703957727710362,-0.746913658035261,-0.343094711509819,-0.72363028693518,-0.729322816744402,-0.665449404387109,-0.357989494601698,-0.350931484278951,-0.774308275797393,0.256528420835786,0.207671638220402,-0.585426708236599,-0.614958470193177,-0.217322810088991,-0.38069086673565,-0.518627079406326,-0.677213924990839,-0.778780107411103,-1.06177592280952,-0.716242473495322,-0.28345990799168,-1.0725981349463,-0.701884139282453,-0.912491070682369,0.389610069154194,-0.674827008881845,-1.01394197501445,-0.65283429389803,-0.14872486563341,-1.13939066634913,-0.707229948607024,-0.212725161061004,-0.421858391130778,-1.42531089009203,-1.05678273670725,-0.565956771608525,0.132719942224306,0.700114790678554,-0.898269602603322,-0.964105752820366,-0.922384878055576,-0.582026040813505,-0.802876876629826,-0.393170505993315,-0.278295142769477,-0.71860206441702,-1.19152137738659,-0.783128813767505,-0.870238857050844,-0.812438626441084,-0.393928540573485,-0.637344702183147,2.43125742000752,-0.988788191149547,-0.584130453634545,-0.652578643242061,-0.91125334852503,-0.646291001587681,-0.770257587779749,-0.926130607516753
"ETEC_Ctrl_3 (GE) - TPM",-0.852089599232506,0.0337814770165174,-1.04438598763861,-0.742440758243821,-0.618929462404615,-0.670434913728269,0.512326183625154,-0.770078170189833,-0.5143661449155,-0.581048555233258,-0.75316288648324,-0.728290457847055,-1.04105832754272,-0.747012710606341,-0.683175239626051,-0.376209570585178,-0.628466045717858,-0.649743364730656,-0.690192889469171,-1.10093605100242,-0.563753257177784,-0.630955907943768,0.0647454011049442,-0.304820957328687,-0.6854599929006,-0.534185818639463,-0.496415513145586,-0.744108347472862,-0.469574894916129,-0.263797158078077,-0.659508242419791,-0.603965183132248,-0.521300410808916,-0.917026432194745,-1.45656753707447,-0.844232448916058,-0.25090418809678,-0.530056313811247,-0.668587881691737,-0.746913658035261,0.0974059705323421,-0.58914317237315,-0.541736693053919,-0.0461283157781457,-0.651548490244158,-0.350931484278951,-0.688972572276778,0.444462308068631,-0.686132775285063,-0.042691747103667,-0.614958470193177,-0.554896175210213,-0.360846142592582,-0.912590320288542,-0.677213924990839,-0.778780107411103,-0.930465126793135,-0.668473413379612,-0.355561273415993,-0.178910623619697,-0.453366646514434,-0.912491070682369,-0.954897069613522,-0.541464704314467,-1.02985233008285,-0.549725165500078,0.118691518245863,-0.051729553602536,-0.605772613529838,-0.771376871564999,-0.421858391130778,0.128284285855268,-0.360485788636801,-0.476576138324062,-0.277595288756272,0.500869534760531,-0.545894031278013,-0.550336639873616,-0.95324337263521,-0.232420824469328,-0.802876876629826,-0.478741603402396,0.201842855285511,-0.675654377450463,0.496457835669048,0.173519274261751,-0.788943646481672,-0.823216154554579,-0.613162493584026,-0.656865754204484,1.57611030571954,-0.735255089840144,-0.256437928420639,-0.44759099431733,-0.235005977953597,-0.567618246562329,0.250780786518176,-0.895870832574284
"ETEC_Li_1 (GE) - TPM",-0.0782915360683983,-0.985874555430215,-1.11816031677366,-0.857798709108271,-0.141228707670282,-0.654963817463198,-1.24654849386828,-0.502607263712373,-0.622941716369374,-0.795573342302935,-0.75316288648324,-1.0451681822057,-0.729800830049847,-0.164283654913434,-0.444697645063557,-0.607608473625013,-0.589663844042818,-1.49483998734343,-0.738684720236659,-0.820834204399924,-0.787200134855968,-0.831596709689963,-1.51242709404063,-0.514975428360569,-0.971027125768299,-0.768743211568335,-0.704337924851022,-0.783532551247992,-0.84686672188442,-0.908015608823911,-0.659508242419791,-0.820582459537953,-0.878344296943566,-0.768593054148231,-0.660851832094222,-1.01238219507256,-1.26580242966583,-0.623603907495689,-0.855116697430796,-0.390907959720442,-1.56217197450596,-0.996482722404445,0.149782449105883,-0.688336503959828,-1.00490611763886,-0.350931484278951,-0.783773359969265,-0.786531109436272,-1.03857692255206,-0.13553554536284,-0.614958470193177,-0.951100077768577,-0.955679317045341,-1.18287797976784,-0.677213924990839,-0.778780107411103,-1.06177592280952,-0.716242473495322,-0.767979153812507,-1.0725981349463,-0.82850248396315,-0.018093300715038,-0.454630306252808,-0.370686662143877,-0.0399050528580116,-0.787562077931248,-1.00508904754688,-1.61942984940008,-0.706003448406226,-1.18446238347348,-0.421858391130778,0.856380654738136,-0.475500845223562,-0.72416938914492,-0.730841270176846,-0.614342524530749,-0.648727408244683,-1.29271864055768,-0.835013403239421,-1.01379021400492,-0.802876876629826,-0.664086140938556,0.537066770131979,-0.496930987400848,-1.56285139647564,-1.01063407284042,-0.943958239701383,-0.251054496600435,-0.763595918227336,-0.619458381915716,0.572206593595985,-0.0981205458206964,-0.650077793161181,-0.636319823292792,-1.23115046770541,-0.863044372849068,-0.770257587779749,-0.702355636275929
