"","ETEC_RS00555","ETEC_RS01450","ETEC_RS27375","ETEC_RS01745","ETEC_RS01925","ETEC_RS03085","ETEC_RS29755","ETEC_RS04290","ETEC_RS04435","ETEC_RS06085","ETEC_RS06470","ETEC_RS27165","ETEC_RS27895","ETEC_RS08210","ETEC_RS08490","ETEC_RS09045","ETEC_RS09420","ETEC_RS28055","ETEC_RS10680","ETEC_RS10795","ETEC_RS10850","ETEC_RS11530","ETEC_RS11960","ETEC_RS11965","ETEC_RS12475","ETEC_RS30015","ETEC_RS28360","ETEC_RS14440","ETEC_RS28410","ETEC_RS14940","ETEC_RS28555","ETEC_RS17355","ETEC_RS28675","ETEC_RS19840","ETEC_RS20655","ETEC_RS21505","ETEC_RS22560","ETEC_RS23135","ETEC_RS23310","ETEC_RS29045","ETEC_RS23965","ETEC_RS26355","ETEC_RS29380","ETEC_RS29485"
"ETEC_As_1 (GE) - TPM",0.0853283707761812,-0.315239749155544,0.979215098659761,-0.42686261500463,-0.15503699769224,-0.17224514842524,-0.308515819672299,-0.285607992391735,-0.360716561312914,-0.311473665359131,0.403777886434382,-0.113327019982348,2.40429950964521,1.93064763963577,-0.39467815257746,0.677436048684796,-0.260787986613937,0.0650257926760088,0.712980188684299,0.382014237636642,-0.397247883173852,-0.265089196824545,-0.96797878248618,0.738187084047207,-0.394224180394117,0.218751301852826,0.0652285491039332,-0.413188240154042,-0.331349595903254,-0.248242088422246,0.14384041591796,0.64471057698046,0.868709407231435,0.0958853922926715,-0.307056557848102,0.0939171855844834,0.385565165863922,0.00954888111514122,0.622680954708298,0.372787880868019,0.80310751059105,-0.274267866455751,-0.0783143032970785,-0.282970659490946
"ETEC_As_2 (GE) - TPM",0.506601384291551,0.641689019379143,1.40657038137146,1.33607488167797,-0.185093655308505,0.581354379287108,-0.308515819672299,-0.514494459186995,-0.360716561312914,0.694524225588237,1.76230162145626,-0.292491216830225,-0.341037185894671,-0.436572082311865,1.06244364703501,1.42770187142436,-0.260787986613937,-0.146280546186205,2.14377530455306,1.4539451375898,0.0669403616364725,0.188451066609268,-0.646335832909429,-0.23745675206173,-0.394224180394117,2.1267035858445,0.551484624404496,-0.261284565343786,-0.331349595903254,0.83736315618891,1.40296340954718,0.207053840653293,1.20051778721338,0.519357459778174,-0.307056557848102,0.242961838839397,-0.0620441408153212,-0.516084854674536,1.62504964066261,0.536870785226691,0.9176969643212,-0.494126938983783,0.3168745475769,-0.282970659490946
"ETEC_As_3 (GE) - TPM",-0.422342646158597,0.678027313356616,-0.604615827172333,0.233310258503996,-0.214254584587604,1.00708817490847,-0.308515819672299,-0.288232644797727,0.365842657153062,-0.311473665359131,0.867194366070617,0.150283063576442,-0.341037185894671,1.31848394049226,0.653858573179819,-0.40504490860442,0.0802187205435204,0.0583888738019518,0.457188018613109,0.07562460685801,-0.0358864294653296,0.0879830120517665,-0.64567167069257,1.46203138063151,0.0604489696272919,-0.460363024312163,-0.226814841820527,-0.413188240154042,-0.331349595903254,0.250813227939883,-0.356702305624093,-0.0114142231866152,3.28585038879674,-0.3721762370209,-0.0635825868313001,-0.276446000113724,-0.47248707503264,-0.516084854674536,1.15758084272192,-0.235323423329143,-0.301011261024799,-0.27678900135216,-0.334989174702059,0.108294633624215
"ETEC_Bs_1 (GE) - TPM",-0.268336542453129,0.314964422396979,0.057637195564421,-0.650337029163388,-0.390279530747606,0.56281650216502,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,-0.0167349585911153,-0.180119344623953,0.519901074785397,-0.436572082311865,0.0682747695229628,-0.40504490860442,-0.260787986613937,0.212268444611808,-0.587111439621511,-0.245455427632046,-0.397247883173852,-0.265089196824545,-1.07027524123018,-0.717723581577803,-0.394224180394117,-0.460363024312163,-0.188213662103442,-0.413188240154042,0.566405321102239,-0.140169961472492,-0.0505908673936723,-0.535609164287358,0.410269491453464,-0.0786077535574606,-0.307056557848102,-0.22749280913036,-0.162097989332737,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.342789628614555,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Bs_2 (GE) - TPM",-0.522482889225455,-0.315239749155544,0.529461648843308,-0.650337029163388,-0.729574539849166,-0.944944672418819,-0.308515819672299,-0.514494459186995,-0.360716561312914,0.0288865291933409,0.437377119195765,-0.292491216830225,0.396121163402871,-0.436572082311865,-0.261988196841305,-0.0174980903665477,-0.260787986613937,-0.202935224152347,-0.352802932266549,-0.643718749104058,1.17324448683571,0.118527542383964,-0.048997857637128,0.0559183871233403,-0.0237187422236013,0.998444697014917,-0.21439844662887,-0.284703963939249,-0.331349595903254,-0.673052271006855,-0.421062472783423,-0.153538973331669,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.353677722380388,0.330751814130722,2.48965785334673,-0.235323423329143,-0.931220065286344,-0.257986940203699,-0.334989174702059,0.142143275100495
"ETEC_Bs_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,1.62165070090568,1.23438538520895,-0.453439516152797,-0.582903695814328,-0.308515819672299,-0.0319029099702956,0.672397339938821,-0.311473665359131,0.858844827683352,-0.292491216830225,-0.341037185894671,2.05898881302976,-0.57784952127826,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.449217719228548,-0.802785803905851,-0.397247883173852,-0.265089196824545,0.187977913484092,-0.557194633367666,0.333101661978592,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.673052271006855,-0.497612918364206,-0.779170723460532,0.935380032746666,-0.3721762370209,-0.307056557848102,0.0591620688390369,-0.664469616167824,-0.516084854674536,-0.485232308867954,-0.235323423329143,-1.16624019209781,0.432988864971703,-0.334989174702059,1.38608095926563
"ETEC_Ctrl_1 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.0813661936883003,-0.116644322278899,0.366595459513589,-0.308515819672299,0.651005626270843,0.263048164255957,-0.311473665359131,-0.311438421394162,0.163664818901921,-0.341037185894671,-0.436572082311865,0.450708552007744,-0.40504490860442,-0.260787986613937,0.959835312000838,-0.22627894601414,-0.425719892366633,1.4641656565374,-0.265089196824545,1.35605287369145,1.91788795510714,-0.101465106009773,1.268677177195,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.456737033874382,-0.316151309896554,-0.614387382286532,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,0.482745809563733,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.052017278014711,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Ctrl_2 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.220133801020973,-0.944944672418819,-0.308515819672299,-0.514494459186995,-0.360716561312914,-0.311473665359131,0.700685948143061,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.260945214372262,-0.40504490860442,-0.260787986613937,2.60068546608424,-0.608079234753653,1.58800540470307,-0.397247883173852,-0.265089196824545,0.843812955112442,-0.953508542979288,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.673052271006855,-0.497612918364206,0.613910435759869,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,0.947061486774536,0.898140296808018,-0.485232308867954,-0.235323423329143,-1.16624019209781,-0.494126938983783,-0.334989174702059,-0.282970659490946
"ETEC_Ctrl_3 (GE) - TPM",-0.522482889225455,-0.315239749155544,1.38345776733145,1.03273497406079,-0.191999901149948,-0.944944672418819,-0.308515819672299,2.07125393207936,-0.360716561312914,-0.311473665359131,-0.244069243884186,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.0527138422413204,-0.40504490860442,-0.260787986613937,1.66575841285349,-0.736483986748363,-0.245086673781335,-0.397247883173852,-0.265089196824545,1.11017464486839,1.87778306521383,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,0.286770527106197,-0.229222226152218,0.195720117415319,-0.361013015507295,-0.3721762370209,-0.307056557848102,-0.45846052179791,-0.161567422123228,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.342244797617407,0.333794797183166,0.148290188423631,-0.282970659490946
"ETEC_Li_1 (GE) - TPM",-0.522482889225455,-0.315239749155544,-0.604615827172333,-0.650337029163388,-0.515635408634149,-0.944944672418819,-0.308515819672299,0.662558810946836,-0.360716561312914,-0.311473665359131,-0.61660425613777,-0.292491216830225,-0.341037185894671,-0.436572082311865,-0.782021071502824,-0.40504490860442,-0.260787986613937,-0.513755984755483,-0.0138620707774547,-0.802785803905851,-0.397247883173852,-0.265089196824545,1.59586052492819,0.0131113300627751,-0.394224180394117,-0.460363024312163,-0.370339198857189,-0.413188240154042,-0.331349595903254,-0.673052271006855,-0.497612918364206,-0.779170723460532,-0.361013015507295,0.831331944823284,0.959537339987788,-0.45846052179791,-0.233451717925968,-0.516084854674536,-0.485232308867954,-0.235323423329143,-0.60360628895782,-0.494126938983783,-0.334989174702059,-0.282970659490946
