"","ETEC_RS05140","ETEC_RS05145","ETEC_RS06410","ETEC_RS27775","ETEC_RS07285","ETEC_RS07965","ETEC_RS08110","ETEC_RS29880","ETEC_RS09945","ETEC_RS09950","ETEC_RS14725","ETEC_RS15765","ETEC_RS15770","ETEC_RS15880","ETEC_RS16885","ETEC_RS16900","ETEC_RS20350","ETEC_RS22010","ETEC_RS22455","ETEC_RS24280","ETEC_RS24830","ETEC_RS25935","ETEC_RS29500"
"ETEC_As_1 (GE) - TPM",-0.469982957601549,-0.30911939504774,-0.124208981708931,-0.583401584373984,-0.498717288624583,-0.360699147200582,-0.0323737944023212,-0.166666666666667,0.0380328751437952,0.152849302014034,-0.543317157561849,-0.296747261029598,-0.295369615948295,-0.387521349906821,0.365985818504842,-0.304587985464011,0.00583896250285725,1.46660535492594,-0.683595106380859,-0.437523972943861,-0.300840475261715,0.0509935967764045,-0.31566094122518
"ETEC_As_2 (GE) - TPM",-0.292799492760053,-0.304878040429204,-0.348344969514838,-0.670816231140502,-0.482958075889582,-0.495191207349509,0.300985466710347,-0.166666666666667,0.299309832054408,0.810914512953371,-0.547476616794568,-0.29698258650662,-0.296649305743883,-0.388404976442443,0.606308309263308,-0.76018240994103,-0.0983972021969779,0.592909616090651,-0.505676959677031,-0.477374526612672,-0.28388774207899,0.151991613083908,-0.31566094122518
"ETEC_As_3 (GE) - TPM",-0.154181899889102,-0.304839720109082,-0.442048803160516,-0.620560569882159,-0.28334527513777,-0.315905745900073,0.409613394184338,-0.166666666666667,0.159721350437244,0.521771419466137,-0.475802891410306,-0.296870197464858,-0.295465244425769,-0.376561981749426,0.381763728287984,-0.733177412200085,-0.444923552263521,0.68638699690888,-0.413866154658894,-0.305092033296526,-0.272427586503349,0.4243356835849,0.0147981197638842
"ETEC_Bs_1 (GE) - TPM",0.346877565463972,-0.273965548041602,-0.40426485183367,-0.627344142407643,-0.243014187568483,-0.462115170686442,0.0921647235318967,-0.166666666666667,-0.523634051203192,-0.446600248474173,-0.402498816000003,-0.298786770873449,-0.292614062593054,-0.414174677541636,-0.396725239146779,0.928911310590748,-0.0406829983182113,-0.576817233134539,0.241920597494376,-0.960806591863087,-0.293690589470471,-0.926875639202058,-0.31566094122518
"ETEC_Bs_2 (GE) - TPM",0.0912572231829505,-0.291556283913288,-0.421875532314655,-0.68472753413923,0.107471094553225,-0.471526535774997,0.122267584719886,-0.166666666666667,-0.523634051203192,-0.453466314836174,-0.37175953515932,-0.299395176741715,-0.295294914748551,-0.407823488592092,-0.399815629394464,0.333192833166057,-0.739986653283018,-0.464589627339397,0.267151864175761,-0.655680473253059,-0.295157096472442,-0.702769830540577,-0.31566094122518
"ETEC_Bs_3 (GE) - TPM",0.262795131637319,-0.273090931861469,-0.337740239524053,-0.68613702853257,0.114118993985764,-0.448560918474823,0.282786219214159,-0.166666666666667,-0.523634051203192,-0.0930066547820939,-0.413101804698939,-0.296969956825619,-0.295716717571821,-0.350146840957016,-0.49197709029688,0.693465912116272,-1.21570417385515,-0.416363447993925,0.132272634166068,-0.352356025838801,-0.296039474183631,-0.81912279212347,-0.31566094122518
"ETEC_Ctrl_1 (GE) - TPM",0.686237086888621,-0.230352341525334,-0.397157352228452,-0.670589743539952,-0.0031494538216404,-0.340208674399474,0.322410908122124,-0.166666666666667,-0.303631512090914,-0.49435645659484,-0.32541007881452,-0.297903665755458,-0.293414564993996,-0.428678414064709,-0.359038238968083,0.905110035337898,-0.430950753583376,-0.591479457986803,0.387964412158258,-1.0281657435955,-0.295850999491432,-0.477382914942911,-0.31566094122518
"ETEC_Ctrl_2 (GE) - TPM",0.651717434541408,-0.244579876399235,-0.367820320644436,-0.761048182752455,0.556958140820446,-0.448073660922973,0.514345387469868,-0.166666666666667,-0.523634051203192,-0.49435645659484,-0.274703228763953,-0.293761236974981,-0.298269681299102,-0.416270083307963,-0.443361245463867,-0.215675573952149,-1.24338194706905,-0.391053559791325,0.601061071600152,-1.30074374168281,-0.282978925323102,-0.777657945787347,-0.31566094122518
"ETEC_Ctrl_3 (GE) - TPM",0.558243465183289,-0.203532313696926,-0.359160154856204,-0.761048182752455,0.464050304449342,-0.433756990748229,0.2025077096951,-0.166666666666667,-0.0355420993260277,-0.49435645659484,-0.35487863513726,-0.299485412489207,-0.300854150959716,-0.459016421509633,-0.688539962216385,-0.241124271317819,-0.297330751208043,-0.363668451189541,0.202411920337639,-0.721739641879925,-0.28362818983865,-0.664350047274549,-0.31566094122518
"ETEC_Li_1 (GE) - TPM",-0.64519824127371,-0.316620545865921,-0.0376434225079851,-0.761048182752455,0.311080667322937,0.131123543048372,1.29241562916959,-0.166666666666667,-0.523634051203192,-0.49435645659484,0.253829869321687,-0.290336078291685,-0.281616445145198,0.0924808487621247,1.60520385790271,-0.991329949028686,-0.496701123009839,-0.14693889291446,1.53551595097357,0.710136859988672,-0.283363253094976,1.19108441033986,-0.31566094122518
