"","ETEC_RS27365","ETEC_RS02065","ETEC_RS27485","ETEC_RS03200","ETEC_RS27595","ETEC_RS04330","ETEC_RS04425","ETEC_RS27860","ETEC_RS27900","ETEC_RS11360","ETEC_RS11375","ETEC_RS29950","ETEC_RS13435","ETEC_RS13710","ETEC_RS30030","ETEC_RS28455","ETEC_RS30100","ETEC_RS28705","ETEC_RS19150","ETEC_RS28790","ETEC_RS20475","ETEC_RS20770","ETEC_RS21195","ETEC_RS21375","ETEC_RS22595","ETEC_RS24250","ETEC_RS25410","ETEC_RS25605","ETEC_RS29385"
"ETEC_As_1 (GE) - TPM",-0.320152795380475,0.204342142497878,-0.109274579676102,-0.599525697331697,1.68900425037752,-0.166856803872065,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.208464973126311,-0.255577330118568,0.419430732256995,-0.244803064499805,-0.777647009601629,0.168995105289373,-0.220701108130833,-0.288552950735814,0.12004022180119,-0.202731698845133,0.0699907282346617,-0.314485157882316,-0.208959236283379,0.727758653152708,-0.58570812584945,-0.342193075649517,0.53611754269292,0.373140316737117,-0.0603098096000833
"ETEC_As_2 (GE) - TPM",0.150348114728789,-0.372604928085128,0.289808863352525,-0.599525697331697,-0.515122845801336,0.42071770174503,0.0746108273039552,0.347940007552559,-0.1993586657831,0.692888627756124,1.00893416442461,0.364133105368463,-0.247176552219588,0.740684417824956,0.509397291651861,-0.380113199907806,-0.220701108130833,1.55359250874295,-0.423959520580367,0.300166868546881,-0.426558037768579,0.0223180500437162,0.359858487470415,1.36601775968042,-0.210185203210618,-0.633080011745759,1.56689758656309,0.284235768671759,-0.324846945099995
"ETEC_As_3 (GE) - TPM",0.77867442472612,0.440098911759569,-0.00532104555367584,-0.288125947401764,-0.0652579247938328,0.520826672184248,-0.232746508026063,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.0045270108336983,0.270321796042161,0.18263278604291,0.522379631836651,-0.231192514921494,-0.380113199907806,-0.220701108130833,-0.288552950735814,1.18932549088078,-0.202731698845133,0.0642967789758703,-0.315859843111671,0.396248614788018,0.628638704867821,-0.222762833784849,0.150616339903402,0.644037482397708,0.332616525711281,0.30059824166421
"ETEC_Bs_1 (GE) - TPM",1.07420633204682,-0.273174250836857,-0.412048944001789,-0.00679863942739086,0.512394569096545,-0.0329593247252541,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.156030686773836,2.03471184810797,-0.112890348168171,-0.244803064499805,-0.143030173014193,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,0.0167713243633164,0.0307144889212975,0.754137248960741,-0.446814102843926,0.629708631217966,0.0355349352660571,0.0854744067497531,-0.095545112348924
"ETEC_Bs_2 (GE) - TPM",-0.320152795380475,-0.348348690109214,-0.313494804226576,-0.599525697331697,0.437475845418109,0.0605516406177111,-0.404573741412368,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.514424791924127,0.20653594140163,-0.335343856543133,-0.244803064499805,-0.324849916902186,-0.380113199907806,-0.220701108130833,-0.288552950735814,0.160324298313943,-0.202731698845133,-0.426558037768579,-0.176848992191059,0.092572403488616,0.131416238267904,0.113217800829538,-0.485418732797314,-0.168437640436759,0.130989601285908,-0.375825870599376
"ETEC_Bs_3 (GE) - TPM",-0.320152795380475,0.25857897622041,-0.317869606700997,0.064655697893663,0.306790698798162,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,1.45845552284171,0.756332844336756,-0.344276974856366,-0.244803064499805,0.247975444383097,-0.380113199907806,-0.220701108130833,-0.288552950735814,0.149533709266528,-0.202731698845133,-0.426558037768579,1.33496512280694,1.09842962343406,1.32362266453636,-0.0954835638305818,-0.492088494833468,-0.514199446980056,0.828490330233494,-0.10647398919343
"ETEC_Ctrl_1 (GE) - TPM",1.56657478664761,0.265208141172321,-0.269613791214309,-0.599525697331697,-0.51446812318472,-0.246503342471766,0.191698222767479,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.148277481759447,1.04988406896756,0.327567993883066,-0.244803064499805,-0.387119253596198,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.193045594984453,-0.0983614309457338,-0.677763959785507,0.437584758313218,-0.591880281791532,0.243118211116188,-0.181949323755964
"ETEC_Ctrl_2 (GE) - TPM",-0.320152795380475,-0.796042219513559,-0.550379580336352,-0.599525697331697,-0.775962276448753,0.250874502232006,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.232443852320477,-0.658078807266103,0.392641007285811,-0.244803064499805,-1.03024864599759,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,0.537259275537453,-0.860637322024527,-0.677763959785507,-0.8465699190274,1.45998470501435,0.709760432752842,-0.455334421276786
"ETEC_Ctrl_3 (GE) - TPM",-0.320152795380475,-0.796042219513559,-0.550379580336352,-0.599525697331697,-0.389199492773343,0.628136356431982,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.153432036262949,-0.658078807266103,0.45287855958654,-0.244803064499805,-0.649760576284236,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,1.37137877393969,0.218526455915601,-0.11479793297933,-0.677763959785507,-0.8465699190274,0.0361622770222888,0.22501749963018,-0.655508130112736
"ETEC_Li_1 (GE) - TPM",-0.320152795380475,0.0613739045514431,-0.550379580336352,-0.599525697331697,-0.247789774351676,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.637487157070561,-0.658078807266103,0.338934009511728,-0.244803064499805,-1.03024864599759,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,0.0569219342620282,-0.879010996907003,-0.677763959785507,0.882608803971519,-0.912621260826266,0.900060257932056,-0.655508130112736
"ETEC_Li_2 (GE) - TPM",-0.320152795380475,-0.403997820267566,-0.550379580336352,-0.105720723625618,-0.775962276448753,-0.693181341769217,-0.0749467866466072,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.523692538366329,-0.0271275217332621,-0.46606624494142,-0.244803064499805,-0.634276615429628,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.77127629954468,-0.309095010297117,-0.533459528330644,-0.583020395019832,-0.51766354847456,-0.427708116746498,-0.305626359423875
"ETEC_Li_3 (GE) - TPM",-0.320152795380475,-0.433259504866176,-0.550379580336352,0.0858963211793531,-0.775962276448753,-0.693181341769217,-0.304486005819589,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.424934735497274,-0.0742209054909455,-0.8190502237862,-0.244803064499805,-0.48062285651313,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.448083414206118,-0.437074406778797,0.323739061973604,-0.114934329407324,-0.775566792421691,-0.234759470242908,-0.655508130112736
"ETEC_Mig_1 (GE) - TPM",-0.320152795380475,-0.796042219513559,1.38598078786056,-0.599525697331697,1.02748719912993,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,1.51604511940166,0.519853744344372,2.14640999285638,-0.244803064499805,1.63103769710623,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,0.61814246042912,2.11228414802067,-1.27516841251549,0.938660866608277,-0.8465699190274,-0.359606840307184,1.02640941006821,0.324291268721702
"ETEC_Mig_2 (GE) - TPM",-0.320152795380475,1.63941385553595,3.47666702863829,-0.599525697331697,-0.775962276448753,-0.693181341769217,3.47857163407654,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.998106167876881,1.30171725822093,0.825553636329007,-0.244803064499805,0.814642818304769,3.63033280973898,-0.220701108130833,-0.288552950735814,3.54917579103046,-0.202731698845133,-0.426558037768579,1.31675491867825,0.0945588659365227,1.53800467156024,0.666906841243012,-0.8465699190274,-0.452579858665204,1.35029891148105,-0.383816426991701
