"","ETEC_RS00155","ETEC_RS00360","ETEC_RS00495","ETEC_RS00505","ETEC_RS00560","ETEC_RS00575","ETEC_RS00675","ETEC_RS00810","ETEC_RS00840","ETEC_RS00930","ETEC_RS00960","ETEC_RS27360","ETEC_RS01775","ETEC_RS02560","ETEC_RS02565","ETEC_RS27495","ETEC_RS02845","ETEC_RS03320","ETEC_RS03325","ETEC_RS03335","ETEC_RS03460","ETEC_RS03560","ETEC_RS03690","ETEC_RS03805","ETEC_RS03920","ETEC_RS03930","ETEC_RS04010","ETEC_RS04165","ETEC_RS04825","ETEC_RS04975","ETEC_RS05170","ETEC_RS05450","ETEC_RS05755","ETEC_RS06200","ETEC_RS06205","ETEC_RS07095","ETEC_RS07500","ETEC_RS07600","ETEC_RS07640","ETEC_RS08325","ETEC_RS08420","ETEC_RS08710","ETEC_RS08930","ETEC_RS08935","ETEC_RS09075","ETEC_RS09080","ETEC_RS09085","ETEC_RS09370","ETEC_RS09540","ETEC_RS09765","ETEC_RS09770","ETEC_RS09775","ETEC_RS09780","ETEC_RS10205","ETEC_RS10215","ETEC_RS10370","ETEC_RS10595","ETEC_RS11055","ETEC_RS11160","ETEC_RS11320","ETEC_RS11825","ETEC_RS11830","ETEC_RS11835","ETEC_RS11845","ETEC_RS11915","ETEC_RS12100","ETEC_RS12880","ETEC_RS13060","ETEC_RS13075","ETEC_RS13390","ETEC_RS13525","ETEC_RS14565","ETEC_RS14580","ETEC_RS14780","ETEC_RS15130","ETEC_RS15155","ETEC_RS15245","ETEC_RS15360","ETEC_RS15380","ETEC_RS16275","ETEC_RS16425","ETEC_RS16470","ETEC_RS16800","ETEC_RS17010","ETEC_RS17145","ETEC_RS17220","ETEC_RS18655","ETEC_RS18695","ETEC_RS18710","ETEC_RS18790","ETEC_RS18875","ETEC_RS18885","ETEC_RS19110","ETEC_RS19220","ETEC_RS19645","ETEC_RS19970","ETEC_RS19975","ETEC_RS19985","ETEC_RS20145","ETEC_RS20985","ETEC_RS20990","ETEC_RS21015","ETEC_RS21020","ETEC_RS21025","ETEC_RS21035","ETEC_RS21055","ETEC_RS21075","ETEC_RS21210","ETEC_RS21215","ETEC_RS21310","ETEC_RS21600","ETEC_RS21605","ETEC_RS21665","ETEC_RS21770","ETEC_RS21990","ETEC_RS21995","ETEC_RS22000","ETEC_RS22050","ETEC_RS22575","ETEC_RS22615","ETEC_RS22620","ETEC_RS22625","ETEC_RS22720","ETEC_RS22755","ETEC_RS22960","ETEC_RS23000","ETEC_RS23010","ETEC_RS23280","ETEC_RS23730","ETEC_RS24390","ETEC_RS24640","ETEC_RS24815","ETEC_RS24875","ETEC_RS24890","ETEC_RS25065","ETEC_RS25415","ETEC_RS25505","ETEC_RS30275","ETEC_RS25960","ETEC_RS26125","ETEC_RS26930"
"ETEC_As_1 (GE) - TPM",-1.07286386883585,-0.501026553786821,-0.926555312998484,1.2207519107779,2.31987753368187,-0.672583934845137,0.266259480202547,0.12206917382931,-1.34961267474035,-0.317221596408125,-0.199059561977197,-0.218599336780279,-1.0327230645069,-1.04351132688939,-1.08432112536439,0.863924229095341,-1.39618202876939,-0.425747398971481,-0.693230293846505,-0.61236057080845,0.964377882008005,0.327121336323959,-1.39715922887737,0.589570694716445,-1.11935882915435,-1.24121076353526,-1.34373418584352,-0.502643237405911,-0.873603796235413,-0.204268144995208,-0.653176183499653,-1.00712838536349,-0.11141784012166,-0.88763287694952,-0.928911912053434,0.542906356750781,0.880842807028744,0.396708274180893,1.75088515455169,1.14311390307247,0.56696827693352,0.826894071679989,-1.22365957456106,-1.12920626663221,2.61193115729313,3.7751274786825,3.32008011551515,-1.18053433814594,-0.547761623332143,-2.05623431055388,-1.06630153766217,-0.866164569448741,-0.935872044589811,1.46396407337214,-0.0872545856862227,-0.431120450074154,1.32176777259326,-0.819614805221529,0.435265128953451,-0.656924783147906,-1.30281760049826,-1.32944536841756,-1.02981546138094,-1.22958266024936,0.902697869243967,1.15715733519175,-0.471083220363435,0.230248197654433,0.518033550607041,0.0594908041495386,-0.41083520113622,-1.38165544780542,-1.11496395164217,0.0231795977478844,-0.625046124654381,-0.575439067684801,0.370000811367336,0.570425192460643,-1.49825649842684,0.944672287001056,-0.598759125625789,-1.61419995402172,-0.50862597887637,1.03456005584037,0.297355012494095,-0.0241307525077443,3.52018390885196,-0.237285130290016,-0.820548229880781,-0.652682958021446,-1.0434827585344,0.134098092231148,2.14256300671535,0.334613655792508,1.4204769441956,-1.5753787732905,-1.28733177580172,-2.12113220146704,1.09670417176919,-1.0631769209284,-1.07230953414621,1.79789261095374,2.63158763742858,1.54354769708975,2.3440871251715,-0.182615035072081,2.79767136681082,-0.111534380335253,-0.61148707747906,1.14979137098798,-0.406110092770358,-0.937325386961123,0.501609245202596,-0.0324703445598029,-0.843136908331088,-1.02809558298212,-1.06141181204799,-0.294720898039713,-0.894771280403941,-0.745144528192945,-0.801906826211141,-0.779206577006327,-0.545538859691078,0.417873318416952,-0.772268437591849,0.0331060656991732,1.18427584987467,-0.295127693733274,-1.31948278187831,3.28376254300893,-1.44738954603095,-0.19830041129505,-0.726161612909201,0.140172727840709,-1.13778852702908,0.613635871307244,0.0493603526310069,-0.669290431239676,-0.26319351153948,-0.545138180076888,2.51858925110498
"ETEC_As_2 (GE) - TPM",-1.07282768127384,-0.743636064519806,-0.985973038712631,2.20597653377614,0.57261580157646,-0.281247091176005,1.12166964955011,2.00537616173619,-0.794963972488997,0.811795965372998,1.57046532596394,1.40549797573946,-0.638774393554667,-0.664722808154686,-0.791109291917358,0.13667206449747,-0.903183195055602,-0.422236734648496,-0.510946844474041,-0.430535142267609,0.406356657718095,0.881845740976191,-1.26359951713431,1.22042257389108,-1.0187762643123,-1.10007068103438,-1.23793866100303,-0.284709224788157,-0.0570972248924724,1.60154020185601,0.91216912630232,-0.902822121340505,0.545427539185337,-0.680297712821403,-0.296452965012972,0.765886789706994,0.818944083254742,1.74600207051863,1.48043750561901,1.46984583593882,0.878358031518915,1.61399542269322,-1.12362017539947,-0.758864316388694,0.473760958113408,0.944351423357084,1.54039715098618,-0.891704025729974,-0.567482142062362,-1.63374167279903,-0.795599788584792,-0.88810473921519,-0.82386606455842,0.874584237774641,1.87370962985577,0.243753896666499,1.71349766882088,-0.600713350555299,0.849925758244093,-0.68548515769465,-1.15229099909403,-0.977420281481198,-1.0406354266741,-1.10911030115574,-0.00603791673963354,1.95091545696379,0.0434087204812032,1.28745979406925,1.52376898472087,-0.054189826216992,0.0248922971480764,-0.557558556871684,-1.07368842500296,0.444898000480868,1.36424301354467,-0.261596437659122,1.34636604836565,1.54566971575953,-1.42122688523594,1.78420769902631,0.11027941490174,-1.93720465773249,-0.557498168216358,0.286623049702959,1.02698956769541,0.515127393871323,1.82222246673992,0.156311707910673,-0.362210251650619,-0.988303935672011,-0.668584987661993,1.31916624426907,0.612711731119916,0.796403538594447,1.6245522589332,-1.46211096115471,-1.13176838893505,-1.84154290672757,2.27503608454336,-0.934096969744127,-1.07166927522616,1.25360807940149,1.87096534742445,1.85254262374488,1.73684684087782,0.801721736496922,1.76183317900483,0.614846558549532,-0.677970796458184,2.37940024605777,-0.441439393078239,-0.625802774415073,2.41819165384107,0.277664196460508,-0.419332988370268,-0.639404379193826,-0.693841335560877,0.6647457295733,-0.659416596047339,-0.648361414004542,-0.716975263182989,-0.693671030399582,-0.397010987661873,2.53496763113638,0.00374265982474336,0.826516694091563,1.25516749610211,0.26007766121504,-0.70980622334528,1.85843574645298,-1.09795151293712,-0.216578492282796,-0.525605404304126,-0.113099204427069,-0.601381836047077,1.35689094421373,0.43258423924448,-0.304350400278578,1.69808145662561,-0.756980625488906,1.93866476622791
"ETEC_As_3 (GE) - TPM",-0.629667001123549,-1.13157829565567,-0.819281943256667,0.797567009777079,2.22430775246538,-0.452143222836855,0.488158355743934,-0.274322682377495,0.470502574793494,-0.25491855215175,0.126864690084399,2.10816088330331,-0.742329496195775,-0.550048937354873,-0.777017592190727,0.293843141216764,-1.03246798775037,-0.482401741448326,-0.739597198762825,-0.637754959283827,1.12923874174858,-0.093263187340753,-1.14479947624282,0.937196512811302,-0.752379608896074,-0.772456896353664,-0.922025304641632,-0.107598927614295,-0.491879481164103,-0.0432555184986323,-0.284361730389488,-0.478963291323338,0.261999973970173,-0.594699295901126,-0.177617702389275,-0.0902869030175338,-0.916508549392523,0.737150712144364,1.81888528005289,-0.207354873069657,0.179390944221262,0.670476500302608,-0.168030654144956,-0.430781136463496,-0.0114300604221179,-0.0539628066480838,0.101275556178153,-0.830912085727867,-0.761445825522927,-1.77729054511962,-0.886049039101182,-1.04988905707918,-0.901593970887627,0.745005166898017,0.377907153220698,0.787163534793112,0.538927728902852,0.0974467326874474,0.312893055196272,-0.746037557047383,-1.01132494393825,-0.898407179286367,-0.680712593000117,-0.993119272035878,-0.247723165337954,0.833065856298683,-0.536972457133652,0.52886980727829,0.697427440719031,0.428028333133062,-0.23911691584385,0.0592290828661901,-1.03203836802108,-0.071109629833911,-0.43187857637404,-0.598422494167823,0.603353543525684,-0.141011121809879,-0.545849364723701,1.92590730762643,0.949331002898006,-1.4580966039508,-0.379112093689869,-0.443107013955011,-0.0305112737637512,0.626866790326698,0.667359084348394,-0.354999860261563,-0.169083128872761,-0.355869339257964,-0.258377530547361,0.683400328999654,-0.611652971356036,0.662963040643135,0.713923765028467,-1.29806958858173,-0.855695348982219,-1.4367245962354,0.686496897583876,-0.761521801263867,-0.643919370754531,1.60511170222689,1.8352948323801,1.30828046800687,2.09911015930613,0.336238484194261,0.193914126830005,-0.214149404384089,-0.764658829779179,0.84646863422285,-0.388926548358952,-0.450127046792336,0.828763212079366,1.09889706398637,-0.142022282374097,-0.285978935885875,0.14324034741716,-0.406246760909866,-0.358041636317289,-0.109748904353609,-0.359289636246194,-0.376991168652977,-0.0990930016611162,0.677425349833062,-0.0614125628289873,0.374772036429408,0.793223915812946,0.320436651982215,-0.15014864882858,0.372904825637019,-0.914148005056897,-0.0685132586493903,-0.129717178625102,1.08927491017241,-0.681925199910372,1.64751606930601,-0.386163610586636,-0.188251853159029,0.425074878854958,-0.233447531552191,0.500457203165861
"ETEC_Bs_1 (GE) - TPM",1.10149817961483,-0.958852061877563,0.443638972729476,0.527472761873873,0.036148523394166,1.20623116677358,-0.597783043306218,-0.496383223987736,0.272546225721355,0.181777027462285,0.249528587037164,0.0735985386718694,-0.855689446948631,0.133405573207233,-0.370647443744087,0.317480927845805,-0.340587809902937,-0.798013638927218,-0.770287837434371,-0.696268029458227,-0.0489874962606094,0.1497323778923,-0.392333234746796,0.249616763890822,-0.37037593512555,-0.128363266830547,-0.602233027218861,-0.782871456768988,-0.389069250952311,-0.265115132757231,-0.457695416144123,-0.168016776814891,-0.391924272538383,-0.219733416377823,0.127913582618961,-0.509808762474374,-0.0846679000551457,-0.173731626406449,-0.217513493578738,-0.338650816065588,0.157705393165892,0.296394509273346,0.381636891358757,0.0554170221986723,0.120564965720088,-0.258886924586527,-0.270860973056077,-0.20923679396251,0.0307256725075703,0.884287405619264,0.203952651822807,-0.69506725572292,-0.696486102787458,0.0728050633320586,-0.404990086360187,-0.492512350394704,1.22031370064648,0.0279109974145509,0.81894761560804,-0.744887625609194,-0.149767253966673,0.238826338386294,0.190722720753715,0.0388339243959071,-0.534246301926009,0.173278761247557,-0.301288008216194,-0.306439216496382,0.147384100966976,0.488275455935858,0.232529202125985,0.194434456273082,-0.184281884660308,-0.714776434696486,0.1500867321145,-0.791872663346917,0.010198950860951,-0.329949520792269,0.321986000904366,0.369100855857582,0.130671011643743,-0.0680312272331259,0.560514913469505,-0.448521393409464,-0.618258388034965,0.197790649929333,-0.517715292879067,-0.507671810082213,0.670299493768112,-0.339830085984227,0.45941335963738,0.678327655831754,-0.373008912491437,-0.388078978329142,-0.324248368969592,0.624849630561246,0.382627728136266,0.461177217806022,-0.0900577617798189,0.0194382449598694,0.512420257410095,0.0970552034856582,-0.445921205291836,-0.299160516298443,-0.395096687382895,-0.323445999758002,-0.196005502143413,-0.832454596605446,-0.749758254570165,-0.381818332736603,-0.310981922506452,-0.594082402067599,-0.093269060666876,-0.30555343458987,-0.59570083824111,-0.254031667260789,-0.282419602018952,-0.102376457139324,-0.488464447533784,-0.18838953512519,-0.386409769448032,-0.442185363894254,-0.896258316538025,-0.51171309441409,-0.188791652241958,-0.413888053806599,0.948004771369242,-0.291236723480109,-0.204818717617844,-0.206265757909381,-0.139902086233331,-0.779655462443196,-0.464642866519941,0.163103986795713,-0.602930147651291,-0.26943418634224,-0.622572105547531,-0.567644988515021,-0.365703206968312,-0.756980625488906,-0.849278957515685
"ETEC_Bs_2 (GE) - TPM",0.686450738252198,-1.23229388184912,0.136956239393299,0.421465514344948,0.087947108342622,0.576202167047955,0.0773648336753035,-0.533282309826629,0.485669650776421,0.14795777004971,-0.472147821519119,0.13829420064769,-0.770820999044168,-0.0588782420028137,-0.136050831711207,1.10628566904386,-0.673113143361228,-0.737167878591944,-0.755510701370726,-0.75217322958722,-0.0594219695240419,-0.0505331718279813,-0.494028056155828,0.0695309319186016,-0.381155646708091,-0.704752271107273,-0.360138796540546,-0.689873998485396,-0.36294082419349,-0.543731693424145,-0.539921947011778,-0.209582746804363,-0.33636593933272,-0.315198442188045,-0.0526152996916971,-0.468674113713181,0.192347990675394,0.018792776941805,-0.274641003826599,-0.627583910393329,0.301096823515979,-0.373122374350436,0.217503243556239,-0.0915517008968038,0.136078836112483,-0.224911165785104,-0.155066149450797,-0.597296128196757,0.286307098071137,0.0132028071501146,0.0522408896014263,-0.732898599065417,-0.372441831730471,-1.09399914350084,-0.305236976415073,-0.632784216141991,0.627838193291001,0.430752731850484,0.532661884309843,-0.79716031330548,-0.377394787278189,-0.219946175995551,0.0252475845783115,-0.0988323546918652,-0.889637900589071,-0.362728508568851,-0.18591872453951,-0.110816273613605,0.426224777807836,0.267955175497295,0.100305574170218,0.25597745613561,-0.29188274427705,-0.884634428108839,0.157387455549293,-0.401675704340246,-0.180597184165871,-0.252406762747883,0.757605919775741,-0.28156469121879,0.170601159562017,-0.233658767171901,0.474579637269618,-0.564373643426002,-0.780133536872551,0.0984293470191961,-0.349957830978171,-0.422735433088228,0.28382906449777,-0.470909509254666,0.753581671018874,0.042805728825726,-0.560309650546259,0.0198594326316463,-0.383324065155254,0.627504938704517,0.250850433652694,0.40962952703067,-0.142753995262859,-0.193862434391921,0.333489041938369,0.831347017393829,-0.155699923656535,0.325998004589906,-0.79632850891714,-0.0750793571165213,-0.221334283546755,-0.673787777468101,-0.840140716795297,-0.487605249193708,-0.569200234772703,-0.483742746340686,-0.463180612414541,-0.564858176351289,-0.543958256073291,-0.362611924546183,-0.363627508591473,-0.414750467855458,-0.405462443109512,-0.118972995812855,-0.275630084359107,-0.416855356012099,-0.0356294573432898,-0.598321298366448,-0.442183512613832,-0.234238698790337,0.633473758840626,-0.330094872577799,-0.497374087839064,0.0620514684574041,-0.0831326728962321,-0.566882885913173,-0.474025551070992,-0.605504383726936,-0.783750588278901,-0.223188463171823,-0.657436153440525,-0.545599157002812,-0.428053739848011,-0.415686034657683,-1.03899166099404
"ETEC_Bs_3 (GE) - TPM",-0.100434383661915,-1.14501993081319,0.249919096953197,0.0487173677584554,0.442547406110037,0.0409633529092959,-0.103856928864588,0.461939532002687,0.268630165410777,-0.0424190416813648,0.505975790038126,-0.277104993850931,-0.461291121235812,0.0218045058737549,-0.49479481758485,0.563697674330181,-0.441445926201643,-0.529456979408056,-0.804702122752222,-0.75934312726124,-0.0359052806118747,0.198373612340409,-0.188313548439948,-0.119898378010201,-0.3143078842637,-0.535440748014091,0.254032926254,-0.578601101472659,-0.48209958001761,0.188910945487617,-0.443508325575876,-0.0967188587573465,-0.288334300822917,-0.512301950711443,-0.218222316355823,-0.289422499975797,0.76917410503255,-0.19749356726669,-0.257110787865793,0.0708017968991399,0.408796809281462,-0.580233057523525,0.152584998425815,0.0497742733368207,-0.206918147429318,0.375173541177966,-0.203519831819392,-0.188327562160923,0.218307008116967,0.576130350171525,-0.00856496779870795,-0.548232551397127,-0.141968458667665,-0.930566068344887,-0.248353782151974,-0.812201306349957,0.579720090337496,0.159683155801404,0.923862214332985,-0.740998069874711,-0.445339647143004,0.179534428873353,0.318453516871312,-0.31425330151118,-0.154637980235007,0.444877937416007,0.137882211816893,-0.363317981149932,0.632477205681221,0.745350333454847,0.128162801382858,0.238839693000207,-0.00734857215009491,-0.768698303575355,1.00105419480763,0.504988048606295,-0.116229970032403,0.331977554760166,0.0105228529826227,0.40070865167259,-0.146504410939572,0.217283563047723,0.49130111823044,-0.366683627227906,-0.334100652167459,-0.318911408656474,-0.367331253737905,-0.510234140355498,0.458173104578671,-0.57812010198538,0.66366302993288,0.333346533860885,-0.278540878879945,-0.559402579614852,0.170751610274224,0.288690763958505,0.019629351254286,0.454334281746646,0.847637931996233,-0.0673596109369514,0.0206203043476557,0.418456385620358,0.068295829984861,0.281596627682914,-0.622558810583497,0.138369693901925,-0.0182173071356128,-0.640126965095877,-0.619588422160194,1.11960068663206,-0.622941016389666,-0.628018705071002,-0.239601869141102,-0.486325813472294,-0.487933649348281,-0.215308988526095,-0.39218594051634,-0.0371812409452942,-0.679333650323231,0.0410192273863003,-0.128456207663105,-0.420099361636216,0.503820965180742,-0.37900802404324,-0.475541336209041,-0.494044963695977,0.645961040519634,-1.28351439266504,-0.206106142291796,0.229666844898991,-0.0412777917656791,-0.644043761699018,-0.542846281664464,-0.66901851440192,-0.681002228063202,-0.562591347330923,-0.634096032450622,-0.440761335124463,-0.207121795263988,-0.756980625488906,-0.883718098201164
"ETEC_Ctrl_1 (GE) - TPM",2.39975031664529,-0.758410521875466,0.308703738848693,0.350803562016253,-0.625794097084877,0.608451153898818,-0.255843469870598,-0.68027266330125,-1.09775820867873,-0.254154848852683,-0.136756826738252,-0.720768365362827,-0.406963137018068,-0.0828185509153578,-0.224820350125022,-1.06443275876072,0.22199442242694,-0.546692579806754,-0.644517162776635,-0.768134885857789,-0.713659184618627,-0.160045803951446,0.226617872748529,0.171077598517028,-0.527309332563922,0.212735988534988,0.200407097683919,-0.727238205987136,-0.425645846513107,0.189654944077506,-0.274428189622359,0.126196556587244,-0.356167599915625,-0.356400753225589,0.17581764238192,-0.053059793735775,0.0699375478023571,0.0413154572093823,-0.75158870067284,-0.863408905067948,0.478731549838981,-0.592049132317079,0.770236393958605,0.0887293553268487,-0.722207270195504,0.117642019887748,0.283784737767973,-0.0379616909076379,-0.0756180445557148,0.799213683301204,0.357660447519906,-0.754662276413952,-0.26482744913431,-0.304589286019361,0.0483114357668076,-0.676061950983509,-0.0620303919660939,0.172919225146336,0.712273785654781,-0.724211160648171,0.608405929547975,0.733945128815295,1.28840425003632,0.0802843763464576,-1.27163225769397,-0.225894816750677,-0.0903106129692174,-0.160916237857712,-0.161036588200259,0.228923103646104,-0.250474862314247,-0.267963264225015,0.138669204619229,-1.03439556770786,-0.418716280851245,-0.615538502832724,-0.374466963063767,-0.271114901863761,0.21924132681086,-0.628194139241632,0.406676748882784,-0.112725376989703,0.148689173927478,-0.990034675395358,-0.892807981726349,-0.21360256153078,-0.501981005960994,-0.343790945008223,0.894227979945037,-0.797430763463683,0.799480568268613,0.171571923500821,-0.897579220975424,-0.821417206153534,-0.25552686934562,0.617422497249527,0.529771526980525,0.416351486950589,0.278203531662356,0.0636839067983235,1.17934968834936,-0.0283246335884558,-0.930160022270713,-0.334654916371326,-1.15399564660984,-0.674822402761582,-0.828499184987874,-0.569342506083815,-1.41010550672745,-0.494377731104088,-0.618461816194422,-0.742731172706539,0.0257007673084175,-0.353298780473528,-0.433690918594489,-0.0325767575603607,0.0421941443372247,-0.378737349006699,0.0319430286380463,-0.198919549479428,-0.340595745827789,-0.158145185912896,-0.00944236179176336,-0.535977547857668,-0.39564947773051,-0.409509332882017,0.321443315745592,-0.190701649241676,-0.69639309252722,-0.66165991248329,0.122039863823111,-0.264064124401373,-0.108798684214416,0.0246832905122962,-0.448342506875909,-0.524801843112663,-0.88268979498674,0.0258410482446259,-0.0384262315735484,-0.756980625488906,-0.568015296255117
"ETEC_Ctrl_2 (GE) - TPM",1.89021870423667,0.255232768134128,0.398495721052412,-0.414906939021237,-0.926337187258683,-0.382036148553976,0.853778415980872,0.261387459830225,0.969878740472408,-0.000534798341875906,0.0494571093063165,-0.860239163047209,-0.658843065930562,0.430485411519963,-0.451801336388081,-0.840873842186204,0.00138478350489606,-0.520405821979788,-0.430744273704139,-0.737349865208791,0.260677374235112,-0.100013343642048,1.05540421610715,0.132112715001456,0.369928270963591,0.18738202317515,0.829163171543689,-0.560649889988349,-0.537741265248801,-0.346248386774857,-0.474984846039216,0.0345677121545782,-0.348129238827643,0.0421516052582534,0.243722411606957,-0.981131057287065,0.320078278816596,-0.809513696967689,0.0180835230749757,0.722874507750446,-0.651572788395929,-0.746752247057971,1.07747586619773,0.171817360010567,0.384968554501048,-0.152332675160252,0.0605640796533328,-0.192364746840123,0.0743638166749488,0.705357131493961,0.566371544424557,-0.030491145436914,0.678182254156548,0.157316665912441,0.607766354544152,-0.352092150593881,0.66746504336335,0.273802692508909,0.0500069326804094,-0.698025339044012,-0.39111853434692,0.712498789418061,2.55583808377986,-0.150071591849237,-1.74666624960782,-0.564119673289107,0.0527064216565851,-1.17426173976264,0.446613725415219,0.978311108836951,-0.46212916597112,0.56314764435753,0.565644799498135,-0.657326359880246,-0.6237896959411,-0.583627837643977,-0.597599981707519,-0.967565679814907,-0.497749849089023,-0.787995106462287,0.492245841683368,1.39969285027859,0.865133591901189,-0.65014334947322,-1.22330114087281,-0.70728889248357,-0.528389399950528,-0.434993475727251,1.98130997330155,-1.00797774111211,1.86323523453203,0.0621354455190418,-0.575882878797877,-0.647553836875708,-0.455588190437746,0.382886841757129,0.321789098266824,0.0846224849239312,-0.017484331358061,0.375812828122509,1.9155400941747,-0.396470699962228,-0.889420012191226,-1.05579185403611,-1.68353991376639,-0.87958178490245,-0.500923943932689,-0.612506892578046,-0.856863508805473,0.770629145392281,-0.274662125869573,-0.882692031700517,0.113303606180763,-0.447393018634338,0.133326141315755,0.203270659351407,0.198493331607902,-0.528971515418399,-0.239655837922656,0.0241448587816618,-0.0392973990625081,0.120925673652242,0.981294065794042,-0.61841351252698,-0.470674252923763,-0.663252095319666,0.362574916942968,-0.217141644135127,0.0210759002454896,-0.62011366532385,0.701967262457696,-0.472329461579285,0.143032579375542,0.122112073090136,-0.450908724780631,-0.50697195562706,-0.979583663465312,0.0143978149526252,-0.878956813189967,-0.756980625488906,-0.791433140970215
"ETEC_Ctrl_3 (GE) - TPM",0.708087258464553,-0.553681691552118,0.505225916271658,0.0870529227588344,-0.481819094905503,0.126725987182224,0.918835887189831,0.878610618391027,-0.362779309464683,0.689576096641228,0.0150289354611796,-0.392829454796368,-0.179239715425463,0.513822271840644,-0.532125826800599,-0.0774047645140762,-0.378829156994623,-0.114382264949664,-0.66612865181348,-0.594244909874021,0.445058011591649,-0.648931689370041,0.348549969481581,0.0171267947076137,-0.102489681664043,0.00486173163140134,1.58484902469601,-0.543220785135185,-0.417767680255801,-0.204227038056064,-0.482555938813929,-0.0933043808729234,-0.640262174236956,-0.417757765450078,-0.332886137425689,-0.283089426826906,1.03562818747595,-0.353314149675353,-0.139553093363354,-0.50956041082812,-0.350418379866653,0.806287991841356,0.544646097684313,0.0078947403714662,0.121780464403241,-0.832727309688416,0.121247230525974,0.369019166235372,0.186208508410241,-0.377043871702748,0.382755417389847,-0.662033504626046,-0.067703050664296,-0.510211035519161,0.528640958677436,-1.07764193634695,0.984893471151841,0.141541118126977,1.12245396226164,-0.735206008148909,0.0563741359522027,0.83197825586017,0.664417549187635,0.418068651563057,-1.22222701238774,0.174990393882784,0.704502646979705,-0.555734058965309,0.0422816875153603,1.02161449227242,-0.175609287395812,0.0155001735007077,0.785602772883492,-0.986668986220591,-1.05852674008017,0.906713155568922,-0.086133382156714,0.067169002397966,-0.193438300080523,-0.542139668109666,0.0832529520538239,0.0653718566088615,0.494501467844371,-0.433782841754067,-0.915744495640615,-0.432088315187078,-0.29510386386773,-0.146978125641359,0.85058767669879,-0.700032927668359,0.998923513961278,-0.2879689062192,-0.339373066301016,-0.952175582158096,-0.423687479258834,0.256894169519694,-0.0957401602348148,-0.41156510937525,0.649894291865573,-0.083719691445203,1.01794259359579,-0.422362728751311,-0.411694082916231,-0.858756703114168,-1.23556439924275,-0.796626249515376,-0.66486078065872,-0.720407994707524,-0.8630452295402,0.696115452212331,-0.628477108538099,-0.165561955659205,0.00950050326153048,-0.537540116631582,-0.188792344445402,0.1365086784368,0.117774059618692,-0.345840664837502,-0.545634936248359,0.265722497308425,-0.123980707970572,-0.0561897112582824,-0.359010378530631,-0.881242689854401,-0.396162958399317,-0.936641203396592,0.41870478707189,-1.01846996281465,-0.503028565376021,-0.381346058899942,0.448107919003586,-0.380451198228815,0.234797718867825,-0.0395606864248666,-0.601941194587179,-0.493433732832155,-0.741261880046752,-0.130002755492616,-0.567163092119399,-0.756980625488906,-0.333426688900091
"ETEC_Li_1 (GE) - TPM",0.313487930059805,0.836726973893993,1.10905015929963,-1.41961730826047,-0.926337187258683,1.62958409126597,0.0322912797065305,-0.66759173632478,-0.294565396304548,-1.3815598764243,-0.0602840858218179,-1.15716976580743,0.710941749026514,1.77604046538067,1.15011969642065,-1.26520336123287,0.366517200269035,1.77636962266341,0.792136042665092,1.27396568440402,-1.08371059280956,-0.926389434204321,0.761210185063042,-1.1290163040421,1.38386973738727,0.0977400262514826,-0.400232267257882,1.77624088457337,1.78247420346211,-0.830575974444769,-1.52333811281022,0.29333984182696,-0.846952378467031,1.51088773922323,0.71701442551072,-1.59841494556909,-1.6709520446572,-0.815725341945724,0.205884934678081,-0.903355320642587,-0.941431822433167,-1.09513308473136,1.7977607139749,1.20982142742793,-0.0429023163895336,-0.428493949507485,-0.57681533492171,0.844239691404632,1.84553128135366,-0.316200245367394,0.668149020154593,0.187942495634748,0.723343048035558,0.101853347969106,-1.31497424432623,-0.934859679881488,-0.775837132837588,1.35258821791896,-0.973221204268323,1.90055695199055,1.31737829154461,0.784513680894864,1.54649197857735,-0.162113803085763,-0.620777120689341,-0.940692333017629,-0.164572364984488,-1.24363163740101,-0.687387029059774,-1.40070110174247,-0.524269875042941,1.845485605548,1.41611380193833,-0.466619715765263,-1.61124417968842,-0.504339473098992,-0.968880405710529,-0.417430098144862,0.53373596186872,-0.901594485621856,0.97481657153302,-0.472548159563022,1.27026133146212,-1.1761167040477,-0.386592565971835,-0.776356813405791,-0.982386696119404,-0.893327136396735,0.956124102843335,0.844441452644456,1.20296334855957,-0.939228168756283,-0.863825104316514,-0.125916114632287,-1.03658401023329,-0.364641602136632,-0.306029214177606,-0.458999942085157,-0.942879025554949,1.20865350602244,0.680717031587821,-1.10461600417268,-0.695355049293753,-1.08882141844159,-1.24592651825152,-1.67979680102068,-0.241139741194371,-1.33328135779801,0.862164754781392,-1.27741531217137,1.75428318643265,1.33476243027745,-1.01290625792496,0.875400654414035,0.795464363138722,0.683551589176466,-0.0706627318893598,-1.01885008756772,0.337345594084259,0.0134233033926832,-0.0711067283387509,-0.142276184970077,1.01075421681808,-0.761812525174903,1.3475994788644,-1.41850340840088,-1.17050266333839,0.989083796158268,1.26902835391246,-0.690947512540351,0.746033514982711,0.704201026816445,0.911291789972656,1.53816362774939,1.40298356977508,-1.24509404779468,-0.897647878736248,1.05949899185614,-1.09272357371252,-0.212278602758641,0.361135745238147
