"","ETEC_RS00230","ETEC_RS01195","ETEC_RS01290","ETEC_RS01550","ETEC_RS01620","ETEC_RS27415","ETEC_RS27510","ETEC_RS29745","ETEC_RS04310","ETEC_RS04320","ETEC_RS04415","ETEC_RS04420","ETEC_RS07275","ETEC_RS08240","ETEC_RS08560","ETEC_RS09095","ETEC_RS09785","ETEC_RS11390","ETEC_RS11395","ETEC_RS11525","ETEC_RS11535","ETEC_RS11930","ETEC_RS14120","ETEC_RS28435","ETEC_RS28510","ETEC_RS17340","ETEC_RS21385","ETEC_RS28935","ETEC_RS30190","ETEC_RS29020","ETEC_RS24735","ETEC_RS24785","ETEC_RS25310","ETEC_RS29285"
"ETEC_As_1 (GE) - TPM",-0.386193633003131,-0.288941418706765,-0.433561513128608,0.295760029073445,0.282385706226961,-0.166666666666667,0.323863002814305,-0.236555466666076,-0.32713932324446,-0.41655418225752,0.177659931014729,-0.123530357941902,-0.0902554431585399,-0.0933135642128093,-0.617592423201226,-0.185324082762506,-0.233480917621854,0.224940500805712,-0.375772857373564,-0.111587685496445,-0.0963711563036027,-0.0675511514715011,-0.292793056028044,-0.407850583181893,0.307335387879455,0.71096420425909,-0.208971683977211,-0.166850037483565,-0.183760970606093,-0.171953973962435,-0.647255790518725,1.17559323410581,0.618797145485337,-0.298814651670378
"ETEC_As_2 (GE) - TPM",-0.489646179721566,0.538739677545165,-0.368794934681268,1.24232129865103,0.514757438199936,-0.166666666666667,-0.027906211332628,-0.236555466666076,0.609442968191204,-0.41655418225752,-0.377683808809899,0.161127969181202,0.15859856648968,0.14006026422666,0.205519934075389,-0.235749432606933,-0.233480917621854,0.103173132318449,0.456988352748261,0.623286732926717,0.0757213961257291,-0.184469480143376,0.640829034261901,-0.407850583181893,0.0611389686047882,1.774761822359,1.56012642738568,-0.436772402483056,0.52994711276058,-0.124980285432881,0.237868680924641,1.42910612963547,1.00677843327722,-0.298814651670378
"ETEC_As_3 (GE) - TPM",-0.331973004478759,-0.735517020031875,-0.446325324920789,-0.31991595987116,0.499573401518559,-0.166666666666667,0.457001119560594,-0.236555466666076,-0.181317130482192,-0.41655418225752,-0.240439912140065,-0.125650447903382,-0.449301155144205,-0.244889696302586,-0.489437054654078,-0.297372614021749,-0.233480917621854,-0.045634812983521,-0.218809924831181,1.1782674224476,-0.261305395075367,-0.0564199629741645,0.0205951300037537,-0.407850583181893,0.397690969720821,1.13940264426908,0.971677796141949,-0.436772402483056,0.67543472673019,-0.346044205920562,-0.296263560934385,-0.0990997274491764,0.73856832095886,-0.240384831758566
"ETEC_Bs_1 (GE) - TPM",0.279102826549483,-0.417349865057859,-0.208568691054814,-0.435442884037931,0.346617682555517,-0.166666666666667,-0.2116645199218,-0.236555466666076,-0.32713932324446,-0.41655418225752,0.144783990147997,-0.0764953369081958,-0.449301155144205,-0.244889696302586,-0.129723344288105,-0.513933319934337,-0.233480917621854,0.42681457649625,-0.455627875830817,-0.0450439319291528,0.465910770623166,-0.193742301035089,-0.183568923549916,-0.407850583181893,-0.207834125998819,-0.109870728728735,0.82260141511844,-0.267476962813079,1.06357385717772,-0.346044205920562,-0.644037193060553,0.23498309169452,-0.086002730595516,-0.298814651670378
"ETEC_Bs_2 (GE) - TPM",0.152960905905104,-0.414396421845807,-0.550387633451185,-0.363685122890698,0.260491510344837,-0.166666666666667,-0.391012668681615,-0.236555466666076,0.306610178249643,0.915151276599903,-0.377683808809899,0.0887371516842748,-0.449301155144205,-0.0820891021587923,-0.478350241359153,-0.27863779178438,-0.233480917621854,0.283702490126624,-0.455627875830817,-0.373158035079376,0.635884577100853,-0.232986678454376,-0.145716906384914,-0.407850583181893,-0.504534593343483,0.152417358785326,-0.112520230204083,-0.436772402483056,-0.297318100837969,-0.346044205920562,-0.726839910032964,0.434053979316974,0.369463615485002,-0.298814651670378
"ETEC_Bs_3 (GE) - TPM",0.704623889448024,-0.4690167697356,-0.862144877600815,-0.430051820199156,0.110256550966426,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,0.106290394273026,-0.0849576820700421,-0.308415734682669,-0.449301155144205,0.394286235280699,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.0108872949749251,-0.455627875830817,-0.373158035079376,0.610582377369384,-0.359375649689225,-0.722131543839851,-0.407850583181893,-0.0726214558974833,0.392859422545078,0.646275320324524,-0.436772402483056,0.155707582885027,0.0210132084152101,-0.88681307822031,-0.184711216611844,0.191963616836478,-0.298814651670378
"ETEC_Ctrl_1 (GE) - TPM",-0.751526907189546,-0.621972158923057,-0.0115957475046477,-0.554810764103919,-0.533245977201286,-0.166666666666667,-0.391012668681615,-0.236555466666076,0.424007212346935,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,0.292805900860891,-0.328206465413095,-0.237223521814159,0.0976974705622925,-0.407850583181893,-0.726644058766345,1.00689654422891,0.146622313144685,-0.436772402483056,-0.767718553047357,-0.346044205920562,-0.397677061246021,0.00443477840272185,0.290613203471642,-0.298814651670378
"ETEC_Ctrl_2 (GE) - TPM",-1.63403763701374,-0.41137976993602,1.44812637077011,0.290962104255426,-0.49912520694507,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,1.11647653825659,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,0.854744152407994,-0.455627875830817,-0.373158035079376,1.83983197769519,-0.832392548523188,-0.722131543839851,-0.407850583181893,-0.726644058766345,-1.04678604365275,0.491033850035714,-0.436772402483056,-0.767718553047357,-0.346044205920562,-0.577590720532261,-1.89494979813527,-1.15255738108706,-0.298814651670378
"ETEC_Ctrl_3 (GE) - TPM",-0.328760627057752,0.957949429668244,1.24771242017634,-0.688987975888108,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,0.228352112099738,0.517254491067526,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,1.92485847389061,-0.568586609977523,0.145791067251945,-0.373158035079376,0.466704795013178,-0.624497788185164,-0.722131543839851,-0.407850583181893,-0.726644058766345,-1.12880342300218,1.29126701309978,-0.436772402483056,-0.217967330833998,-0.346044205920562,1.02043770746223,-1.01995288100136,-0.35211213347069,-0.298814651670378
"ETEC_Li_1 (GE) - TPM",-1.27753413997184,0.569326435331743,1.55388881619658,-1.06993532580342,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,1.19004544031325,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,0.791656444444636,-0.455627875830817,-0.373158035079376,-0.734167195926113,-0.174966134240266,-0.170161086879959,-0.407850583181893,-0.1949180441982,-0.275574230481316,-0.554592688286332,-0.436772402483056,-0.767718553047357,-0.346044205920562,-0.151084219024106,-1.26143595832692,-0.0594502181495388,-0.298814651670378
