"","ETEC_RS27355","ETEC_RS01720","ETEC_RS01735","ETEC_RS01755","ETEC_RS02050","ETEC_RS03270","ETEC_RS05520","ETEC_RS06505","ETEC_RS06600","ETEC_RS06775","ETEC_RS09800","ETEC_RS10840","ETEC_RS10860","ETEC_RS11520","ETEC_RS12865","ETEC_RS12950","ETEC_RS13345","ETEC_RS30045","ETEC_RS14190","ETEC_RS30050","ETEC_RS14360","ETEC_RS14480","ETEC_RS14850","ETEC_RS30075","ETEC_RS15835","ETEC_RS15905","ETEC_RS17520","ETEC_RS28670","ETEC_RS18480","ETEC_RS19130","ETEC_RS20365","ETEC_RS21750","ETEC_RS23320","ETEC_RS24230","ETEC_RS24295","ETEC_RS25570","ETEC_RS26345"
"ETEC_As_1 (GE) - TPM",0.544104936613171,-0.389960708655048,-0.486559716884351,-0.326054329753315,-0.689798404411664,-0.0154405194674388,-0.511157181815835,0.448526054955282,-0.224019367855339,-0.190847663934565,0.519714159980356,0.16303914761165,-0.586996923387134,-0.235019529040796,0.264789410694292,-0.504782806700137,-0.0463915708517449,0.298056833292243,-0.24568325095994,-0.184638426888044,-0.321850497763298,-0.541946925261466,-0.603384353218006,0.0579625496082284,0.464678738127807,-0.952533440221905,0.577307717636984,-0.175625452691111,-0.993709417358943,0.305846274957047,-0.231072105385433,0.0309068970990511,-0.145301833857367,0.206913351731238,0.807332233394254,-0.384089836279104,-1.01969749762347
"ETEC_As_2 (GE) - TPM",0.790629638742322,-0.389960708655048,-0.614625460321675,0.685001817769024,0.93322575700377,0.0631563327490528,-0.332950102252237,0.327687364125331,-0.368856227158824,-0.121470324392845,-0.0670143031641322,-0.266161775720793,-0.586996923387134,0.476384327497509,0.162053377197384,-0.0503513272356219,-0.767283951893951,0.447531734889831,-0.24568325095994,-0.184638426888044,-0.546764667065384,-1.02894092806987,-0.313037361007318,-0.382922177113229,0.950806009533124,-0.344713915517934,1.16594833376308,-0.175625452691111,-0.77724323226889,0.0408143418462518,-0.313402397974686,-0.0823627950610621,0.909766030860316,-0.110099320676773,-0.0413094938174853,0.170480205657943,-0.815248469458181
"ETEC_As_3 (GE) - TPM",-0.369545748682907,-0.261220056916826,-0.108236631258459,-0.326054329753315,-0.538600624189665,0.269168561134322,-0.249987805681239,-0.0794673846600833,-0.22568021958749,-0.61386693244329,-0.199847983424912,-0.0907178166371538,-0.482119727870459,-0.169769479450284,1.24985337913593,-0.0802120126649649,-0.622080488308907,-0.255915428255236,-0.24568325095994,-0.184638426888044,0.0343768306646448,-0.819294247963457,-1.18557478231188,0.0529069031802988,-0.0459561953461908,-0.24040997895585,0.353827017410267,-0.175625452691111,-0.633095046792515,0.297521888887072,-0.440121304906232,-0.0747414982769422,-0.151465356219637,0.253679667203735,0.673898561655869,-0.260963245666557,-0.613593210365615
"ETEC_Bs_1 (GE) - TPM",-0.369545748682907,-0.389960708655048,0.18860351082761,-0.326054329753315,0.0766714196835156,0.0586638260212255,-0.470547049029961,-0.338949096446522,-0.187172729023814,-0.525427634967108,0.330970481636473,0.0411887539232898,-0.586996923387134,-0.452015781411091,-0.124772849407863,0.0732411205891434,-0.204566453227019,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.434912831195466,-0.377953920576383,0.345273005481533,-0.382922177113229,0.29935921375251,-0.167623318717409,0.530416371037149,-0.175625452691111,-0.193370938586152,0.0352163231958598,-0.359975740734955,0.203846586757059,0.440930811305568,-0.0443157734888009,-0.34040008127553,-0.399187210447958,0.0958317333371311
"ETEC_Bs_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,0.0731206528860274,0.101535119642715,-0.263622419532943,-0.306730063281066,-0.556486721744333,-0.338949096446522,-0.368856227158824,-0.61386693244329,-0.295891413772777,-0.581164113916749,-0.586996923387134,-0.426356995324061,-0.165021092620827,-0.221495914992697,-0.395022629119718,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.288003182634225,-0.890092454883282,-0.606253486270404,-0.382922177113229,-0.545012944945783,-0.228680127436016,-0.503031845572564,0.146329205046484,-0.0374077928754237,-0.420093392383426,-0.465431015824865,-0.0348118288057037,0.279368297639691,-0.484045658221246,0.0706158770140728,-0.570638341448181,0.07721002502301
"ETEC_Bs_3 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.344607549882995,-0.326054329753315,0.40351596586221,-0.306730063281066,-0.109837821781937,-0.338949096446522,0.241901107307303,-0.539541319177354,0.187022321566277,-0.0581301261030161,-0.586996923387134,-0.356869373332427,-0.404715307847527,-0.699635643329263,-0.563825544641232,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.00795478345803735,-0.297644831959872,0.34627061207851,-0.382922177113229,-0.190201904049792,0.116185018847474,0.220853559805509,-0.175625452691111,-0.423705815523399,-0.420093392383426,-0.358133084806483,-0.0724395139362519,-0.305040675502707,0.139194199926269,-0.432465663405853,-0.10141043663048,0.401314726109851
"ETEC_Ctrl_1 (GE) - TPM",-0.369545748682907,-0.389960708655048,0.0374910101703743,-0.326054329753315,-0.211235986984422,-0.306730063281066,-0.53531339862907,-0.338949096446522,-0.368856227158824,0.0143926804472834,-0.21147326359957,1.94517999200752,-0.0467626802446832,-0.817091787586279,-0.404715307847527,-0.603999969067102,-0.428983689576605,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.313436206083691,-0.623255139679258,-0.603144353159547,-0.382922177113229,0.311886226691992,-0.116024129512717,-0.243304928295152,-0.175625452691111,0.172686693797166,-0.420093392383426,-0.488809791110329,-0.287356482768592,0.685682916629832,0.196279371834411,0.546350349098452,-0.639116217668256,1.01319396922215
"ETEC_Ctrl_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,-1.67615966067541,-0.306730063281066,0.188188248724912,-0.338949096446522,-0.368856227158824,-0.23448711681065,0.731218052991374,-0.581164113916749,-0.586996923387134,0.748982024520854,-0.404715307847527,-1.16043498759122,-0.42717904385258,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.287018580840012,-0.546955796813021,-1.26585168088653,-0.382922177113229,-0.545012944945783,-0.439782427239533,-0.950587875727769,-0.175625452691111,-0.544085717958462,-0.420093392383426,-0.576844114651156,-0.297012391559132,-0.682800396929014,-0.869375649505161,0.320072134824084,0.390112021790242,1.3555977177196
"ETEC_Ctrl_3 (GE) - TPM",1.35071817461194,-0.389960708655048,-0.132369206587328,-0.326054329753315,1.72864606920984,-0.306730063281066,-0.0696685012147844,-0.338949096446522,0.721966020824237,-0.0828800551851636,0.164722783532675,0.352982850926445,-0.586996923387134,-0.543103620228011,-0.404715307847527,-0.337440079283266,0.457580062030334,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,-0.774598248224091,0.636049570257589,-0.382922177113229,-0.545012944945783,0.416228677990167,0.0955185791553368,-0.175625452691111,0.147414965864502,-0.420093392383426,-0.576844114651156,0.101824793627868,-0.00811556574913242,-0.644210439013542,-0.917302271816691,-0.639116217668256,0.823846055941374
"ETEC_Li_1 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,0.43733310649304,-0.306730063281066,-0.670787591032996,-0.338949096446522,-0.368856227158824,0.292543532221337,-1.01149301167845,-0.581164113916749,-0.0414075318611762,-0.817091787586279,-0.404715307847527,-1.16043498759122,0.00989166351473904,-0.255915428255236,-0.24568325095994,-0.184638426888044,1.57160078549719,-0.066824883443407,-0.0983978893752281,-0.382922177113229,-0.545012944945783,-0.725187352113129,-0.950587875727769,-0.175625452691111,-0.0704232326517943,-0.420093392383426,-0.399030162052978,-1.22397832318359,-0.682800396929014,-0.561884655999221,0.265226755254249,-0.639116217668256,-0.480331542273717
"ETEC_Li_2 (GE) - TPM",-0.369545748682907,0.222494255300247,0.991395885030418,-0.326054329753315,1.15853176951596,-0.306730063281066,-0.253733171493134,-0.338949096446522,0.0852290751778619,-0.17179062314364,-0.187778995290679,-0.581164113916749,-0.254376998412637,-0.817091787586279,-0.0548823366596501,-0.989137650868001,-0.163789595378854,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,-0.0638368615905255,-0.715556023668972,-0.382922177113229,-0.0174237708791514,-1.05530993214483,-0.841720100330348,-0.175625452691111,0.166970360839066,-0.420093392383426,-0.305832321883736,-0.650079351327288,-0.682800396929014,0.16166890597048,0.164095357398091,-0.439229717496951,-0.684352245015472
