"","ETEC_RS00200","ETEC_RS01565","ETEC_RS02185","ETEC_RS03140","ETEC_RS27545","ETEC_RS03175","ETEC_RS03445","ETEC_RS03610","ETEC_RS04155","ETEC_RS27655","ETEC_RS04360","ETEC_RS06140","ETEC_RS06510","ETEC_RS29835","ETEC_RS06540","ETEC_RS06685","ETEC_RS07605","ETEC_RS08365","ETEC_RS08615","ETEC_RS27975","ETEC_RS10865","ETEC_RS28140","ETEC_RS28155","ETEC_RS11585","ETEC_RS12005","ETEC_RS12010","ETEC_RS13910","ETEC_RS14460","ETEC_RS14785","ETEC_RS14810","ETEC_RS14865","ETEC_RS14895","ETEC_RS15185","ETEC_RS15440","ETEC_RS16280","ETEC_RS16505","ETEC_RS16515","ETEC_RS16570","ETEC_RS16595","ETEC_RS16605","ETEC_RS28525","ETEC_RS20035","ETEC_RS22235","ETEC_RS22670","ETEC_RS22810","ETEC_RS29085","ETEC_RS24475","ETEC_RS24670","ETEC_RS24845","ETEC_RS25030","ETEC_RS30255","ETEC_RS25235","ETEC_RS25240"
"ETEC_As_1 (GE) - TPM",-0.832365431901243,-0.452206503781624,-0.706408743488628,-0.199423669232801,-0.197547122104747,-0.467046645214525,-0.025964537026532,-0.354283555147854,-0.166666666666667,-0.258152681322988,0.180082548854999,-0.260941796424468,-0.47297016602567,-0.00531918054224406,-0.563642615950185,-0.397723474639724,-0.0588236467145511,-0.12422831001011,-1.11166098403836,-0.188150674015304,0.162885460817826,0.00602384029474783,-0.288415813901119,-0.794811191352223,0.142557452738501,-0.304171861201286,-0.692044000201217,-0.436677932092356,-0.310408635646431,-0.467374411629324,-1.06442026364629,-0.780772555012703,-0.303951564199227,-0.169590960971451,-0.473842354575197,-0.20054302008758,0.0809796474330656,-0.0122350207156485,-0.189805589438658,-0.103818628149443,-0.486092713552081,-0.332995383927014,-0.450281729674396,-0.0340239723220587,-0.172163732686237,-0.0472368323535305,-0.2319310165071,-0.276277093557773,0.19724325152573,-0.541629252064488,-0.319768849860819,-0.243720952034951,-0.0848894499325611
"ETEC_As_2 (GE) - TPM",-0.284963299950958,0.813891570481291,-0.0704027449741314,0.217231915293607,-0.134162489608962,-0.05654607839193,0.28611103231878,-0.462861649849914,-0.166666666666667,-0.258152681322988,0.55344675052304,0.544839035107926,0.112648075936187,-0.187230179855274,-0.540506309786361,-0.397723474639724,0.338754617400411,-0.618235752327498,-0.832094607862694,-0.188150674015304,-0.793895717362803,0.781212029023567,0.0597824400342455,1.90835459562115,0.979586769326597,0.252717152767573,-0.0154038766574757,-0.626654549090126,0.0178571591735091,-0.145230133542401,-0.735200545394646,-0.0131576986523789,-0.397464523415574,-0.379099909626388,1.10570147850753,-0.270544232521901,1.25879015921414,-0.0327517412127661,0.324606308221587,0.201767909822205,-0.456289904416566,0.0928523227811653,0.742726071052949,-0.522375056697884,-0.157601435085463,0.110632913666481,1.33421029101941,1.44517869449458,-0.479234109801731,0.0632105190249155,0.521260527631932,-0.041240386863721,-0.349250105955179
"ETEC_As_3 (GE) - TPM",-0.835431048685929,0.815180325357773,-0.471239233811936,-0.227623347340344,0.0131310215555472,0.0123033272422794,-0.580803416132122,-0.3555286253592,-0.166666666666667,-0.182071588013878,0.250563175844146,0.643446674400336,-0.47297016602567,-0.187230179855274,-0.517069362168247,-0.397723474639724,0.0170658284623874,-0.335657984824097,-0.954049572567195,-0.188150674015304,-0.0845384268523515,-0.147974247377375,-0.514570326798447,0.371872313705118,0.381019056759791,0.0103626271564468,-0.0843219168625845,-0.571242733933521,-0.288467729296458,-0.248369410568331,-0.910359679205686,-0.548768463278407,-0.219091142045208,-0.511183590265662,0.0539635750077826,-0.203914242651303,0.0149011652503207,0.582520583371433,-0.111067122847262,0.00483646793595923,-0.268986710686393,-0.336990842956429,-0.317605558510665,-0.422855804713696,-0.150362702759006,-0.199472600623203,0.396232409479787,-0.39461520740251,-0.568563289967329,-0.390924786118149,-0.49817199553915,-0.357264538134104,-0.0393477403696059
"ETEC_Bs_1 (GE) - TPM",0.241706418692416,-0.411376725501749,-0.538093292821727,-0.408975069480186,-0.346791379312768,-0.467046645214525,-0.266242393957729,-0.0542602433934749,-0.166666666666667,-0.258152681322988,-0.606053655226044,0.240883810842324,-0.47297016602567,-0.187230179855274,-0.683489085849785,-0.397723474639724,0.00725045114110355,-0.417975326009317,-0.328920543800612,-0.188150674015304,-0.193802093494831,-0.340163403313328,-0.372726105403878,0.226843550765754,-0.607218216664695,-0.692656643786767,-0.490187934940593,-0.739456902686082,-0.480056958026561,-0.295781923426647,0.457757722355882,-0.0253648508435745,0.0505969057423169,-0.488543852969765,-0.113859280255425,-0.199507937004289,-0.658088853903791,-0.810815327060615,-0.314361690942918,-0.687234456780205,-0.0423368941446681,-0.681424949181421,0.223157104148075,-0.447229551237077,-0.165755399241786,-0.334408050512474,0.209545369876934,-0.590380581455843,-0.484131915733636,-0.233595467324525,-0.49817199553915,-0.499321015696538,-0.391842971927368
"ETEC_Bs_2 (GE) - TPM",-0.180863729470407,-0.440321674551907,-0.484486579306318,-0.342276762213049,-0.0435665932871678,-0.119834056536246,-0.20184083742107,-0.113006204656924,-0.166666666666667,-0.258152681322988,-0.102160784719975,0.184946773178789,-0.47297016602567,-0.187230179855274,-0.519652252537669,-0.272704856410978,-0.281359874510717,-0.279846166691323,-0.538623697377283,-0.188150674015304,0.490644782764285,-0.406189951135435,-0.514570326798447,-0.0799489539301917,-0.607218216664695,-0.590247362437841,-0.347037635446154,-0.910461911010964,-0.549925633769843,-0.195187542343095,0.398668349022611,1.10705546051527,-0.0404736173792101,-0.229521814266866,-0.47386440359713,-0.431382620554666,-0.568359900626413,-0.238881234498287,-0.434202853177446,-0.561910710458493,-0.477913497744071,-0.587867112058598,-0.16197356541887,-0.379186953700767,-0.16789891071484,-0.236057591412717,-0.627647942599437,-0.611013002348833,-0.200320002365392,-0.28890573599669,-0.210750707078467,-0.454850683410057,-0.472883731371805
"ETEC_Bs_3 (GE) - TPM",-0.197832979738603,0.402470443859254,0.206608314106059,-0.298556193282734,-0.343875910109295,-0.467046645214525,0.100914621256856,-0.462861649849914,-0.166666666666667,-0.0958800823337855,-0.11530435077975,-0.559365627943704,-0.47297016602567,-0.187230179855274,-0.474503183000788,-0.397723474639724,-0.200541864697275,-0.0347877288412757,0.0456807067157807,-0.188150674015304,-0.793895717362803,-0.645023243722063,-0.514570326798447,-0.372422562683999,-0.607218216664695,-0.341791166440141,-0.356827220939314,-0.957036217085205,-0.651858835307356,-0.863112521907193,-0.845280758391645,0.316835604553805,-0.24470130315764,-0.595361165598957,0.00565198720700502,-0.370562680083838,-0.868204997900828,-0.609398217063097,0.532757061691673,-0.441215937247603,0.334983755402683,-0.681424949181421,-0.450281729674396,0.0144240640985776,-0.172093394157049,-0.397104360625214,-0.323376062798938,-0.0102573403977361,-0.212918367771393,0.189977870150753,-0.49817199553915,-0.136700956348632,-0.126509553126713
"ETEC_Ctrl_1 (GE) - TPM",-0.963575399329402,-0.204079525655188,0.163262003690409,-0.345981885056222,-0.689922756378919,-0.467046645214525,-0.252648084296753,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.602970774230424,-0.721050160028855,1.09259831082818,-0.187230179855274,-0.745202218805394,0.194985800571603,-0.089451461976367,0.0577005774865759,-0.209802798788424,-0.188150674015304,0.424097377439454,-0.0537177505918764,-0.226673113471753,0.0767966715418615,-0.607218216664695,-0.162013943426475,-0.405913036174663,-0.846632568495538,-0.207292015383852,-0.719175658552421,-0.246114057179215,0.392400041192559,0.00073881671646214,0.0550510881992273,-0.324616111341074,-0.494535171506786,-0.726049394960612,-0.549894911944621,-0.311252769861918,-0.687234456780205,-0.596545567471229,-0.237870232228629,-0.108566780371545,0.0474308622479801,-0.167331564547232,-0.397104360625214,-0.667123194411297,-0.442615831428868,-0.478221912142933,-0.227888029053767,-0.49817199553915,-0.462549395009716,-0.669496969031906
"ETEC_Ctrl_2 (GE) - TPM",-0.811992474115072,-0.61270029678795,-0.418173015116038,-0.643547363074707,-0.689922756378919,-0.467046645214525,-0.854994471065475,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.813852506764338,0.104235301171088,-0.47297016602567,-0.187230179855274,-0.867092480173296,-0.397723474639724,0.174909533927012,-0.32233789115245,1.09614821950633,-0.188150674015304,-0.793895717362803,-0.799404169323289,-0.514570326798447,0.486990650270481,-0.607218216664695,0.118419710251544,-0.213188229317003,-0.723697637886863,-0.324590267879994,-0.558901351374951,0.333559582636734,-0.166406232733502,0.0567720562117461,-0.595361165598957,0.429545784550054,-0.494535171506786,-0.868204997900828,-0.896101732518102,-0.523915743098756,-0.687234456780205,-0.00219557233603475,-0.681424949181421,-0.450281729674396,-0.584167662796147,-0.167916121603907,-0.397104360625214,-0.501604495794369,2.95973282061732,-0.711605795993196,-0.205731307086736,-0.49817199553915,-0.156745658774501,-0.199892028104491
"ETEC_Ctrl_3 (GE) - TPM",-0.495671475942735,-0.61270029678795,0.0700668765778364,-0.467501740386404,-0.48390771166222,-0.467046645214525,0.422052851317933,0.763753615314271,-0.166666666666667,-0.258152681322988,-0.501947996363573,0.145263225751942,-0.47297016602567,-0.187230179855274,0.469223225035825,0.478922852967035,-0.735806400077969,0.401594792802436,0.0459218726384082,-0.188150674015304,0.106840291286319,0.0277761465689077,-0.514570326798447,-0.431663351079713,0.33392340796856,-0.279761834203984,0.284443382829388,-0.793743761258099,-0.292702414726179,1.47867460142532,0.178596350945575,-0.72016802043187,-0.246256320382668,-0.595361165598957,0.801182805592016,-0.494535171506786,-0.868204997900828,-0.896101732518102,-0.523915743098756,-0.687234456780205,-0.180614045837937,-0.681424949181421,-0.450281729674396,-0.687273579534761,-0.168960830031919,-0.397104360625214,-0.156202532860014,-0.303082426482047,-0.52373055465896,-0.0408612592750201,-0.49817199553915,-0.395048101308223,-0.743997208861225
"ETEC_Li_1 (GE) - TPM",0.275101699192044,-0.61270029678795,0.486746856278971,-0.643547363074707,-0.689922756378919,-0.467046645214525,-1.18255475148067,-0.462861649849914,-0.166666666666667,-0.258152681322988,-0.813852506764338,-0.721050160028855,-0.47297016602567,-0.187230179855274,-1.15769238512769,-0.397723474639724,-0.735806400077969,-0.771042124071856,-0.128503092144731,-0.188150674015304,0.436170906311029,-0.422865098941529,-0.514570326798447,-0.926115663821088,-0.607218216664695,-0.78546292371058,-0.242616320258961,0.157944186600274,-0.659521147968075,-0.863112521907193,-0.563033490949959,-1.01822234369509,-0.465332979983356,-0.595361165598957,-0.593542592797314,-0.494535171506786,-0.293946036499743,-0.896101732518102,-0.523915743098756,-0.687234456780205,-0.0285395396826708,-0.681424949181421,-0.450281729674396,-0.599391528467133,-0.189840983596885,-0.397104360625214,-0.815769865878603,-0.733887233483528,-0.555869724325967,-0.618300270557625,-0.49817199553915,-0.603456129435213,-0.811087655103185
