"","ETEC_RS29650","ETEC_RS01540","ETEC_RS01665","ETEC_RS01670","ETEC_RS01930","ETEC_RS02045","ETEC_RS04355","ETEC_RS04405","ETEC_RS04490","ETEC_RS05045","ETEC_RS05460","ETEC_RS06595","ETEC_RS06635","ETEC_RS06650","ETEC_RS06675","ETEC_RS06755","ETEC_RS07530","ETEC_RS07785","ETEC_RS08090","ETEC_RS08290","ETEC_RS08765","ETEC_RS09535","ETEC_RS28065","ETEC_RS28075","ETEC_RS10835","ETEC_RS11500","ETEC_RS29960","ETEC_RS11985","ETEC_RS28295","ETEC_RS29995","ETEC_RS13100","ETEC_RS14165","ETEC_RS14330","ETEC_RS14340","ETEC_RS14400","ETEC_RS14845","ETEC_RS14890","ETEC_RS15840","ETEC_RS15845","ETEC_RS15850","ETEC_RS15925","ETEC_RS28475","ETEC_RS16500","ETEC_RS16525","ETEC_RS28505","ETEC_RS16730","ETEC_RS16995","ETEC_RS17005","ETEC_RS17550","ETEC_RS18035","ETEC_RS18130","ETEC_RS18490","ETEC_RS18580","ETEC_RS19795","ETEC_RS19925","ETEC_RS20705","ETEC_RS20765","ETEC_RS28900","ETEC_RS21590","ETEC_RS22045","ETEC_RS23145","ETEC_RS23450","ETEC_RS29055","ETEC_RS23575","ETEC_RS23630","ETEC_RS23675","ETEC_RS29070","ETEC_RS24245","ETEC_RS24880","ETEC_RS25000","ETEC_RS25155","ETEC_RS25400","ETEC_RS25595","ETEC_RS29340","ETEC_RS30310","ETEC_RS30365"
"ETEC_As_1 (GE) - TPM",-0.272356371528024,-0.310708533280819,-0.69757741747445,-0.503268811007664,0.42285196342101,-0.255339947215594,-0.295933497098875,0.179574957994823,-0.0370059132742435,-0.273460389052946,0.340715988192361,-0.565261085482216,-0.211265357298336,-0.280163980368591,-0.406713260197598,-0.541416004266717,-0.0756242553344829,-0.395679992571171,-0.272376930023643,-0.908020855906122,-0.0450836882950698,0.536292826543254,-0.0829112831162751,-0.0557361352523474,-0.003753058418007,-0.263653139311664,-0.140465804699714,0.13096018903069,0.615248278793978,-0.105855124008163,0.124975609549946,-0.922852464114468,-0.214577032845162,-0.137016118966332,-0.729648972550269,-1.09861000190189,-0.281711771929281,-0.164707908949514,-0.505407586897586,-0.210985036020863,0.141286725599241,-0.235709814492098,-0.336635933866313,0.0416697732150876,0.523114233139028,-0.631313075739838,0.271011054862235,0.160479471408462,0.580815251947586,-0.166666666666667,0.239523680181412,-0.855634714756061,0.114657764773558,0.361970367346984,-0.114473879656567,-0.166666666666667,-0.419219596979593,-0.029912550899457,0.951057137000284,0.89384884567043,-0.195687622632142,-0.39578745484615,0.0403825533502307,0.0987577187444304,-0.345738144813488,-0.293350546738236,-0.242086216354851,0.0790651923743579,-0.143415411936442,-0.120598862176044,-0.166666666666667,-0.126544266926858,-0.484840318281744,-0.176290784390651,-0.409346136873678,0.0237979196076204
"ETEC_As_2 (GE) - TPM",-0.0278796536155268,-0.310708533280819,0.297966203738094,0.407866663747654,-0.649527689275695,-0.224653255461661,0.132579011614854,-0.361317575888459,-0.416555807702871,-0.273460389052946,-0.158595601552961,-0.569452419256531,-0.211265357298336,-0.317713178751623,2.051833954105,-0.421489140927741,-0.200926290828499,-0.422053750834938,-0.564181601930195,-0.890202730211935,-0.229038693897079,1.35748202613967,1.07642263970737,-0.374989041654894,-0.566878774288888,0.235571147390676,-0.883864919689666,0.389547794156285,0.936820532247058,-0.288151630074015,0.000835715393832888,0.362863584379867,-0.0133915390066705,-0.0309740638347918,-0.188680134338864,-0.571983983744152,0.321770016354943,-0.229593722969429,-0.225366057779787,-0.590376887329069,0.0524019740899769,-0.235709814492098,0.553788540501938,1.2904897089366,1.55896386409332,0.249527394574655,0.34665363557885,0.0645331861513437,0.0467630720390867,-0.166666666666667,-0.102231005191013,-0.829749747416366,-0.141102116462548,0.441173569958933,0.710958298720023,-0.166666666666667,0.930327364391092,0.734873484474721,0.827981876667715,-0.21521842311781,-0.321660634150043,0.273509293524215,-0.0640235711938728,-0.352775478723359,-0.252487990859873,-0.0281115969094929,-0.121982624455722,-0.141471777939493,-0.387835145663145,-0.201166734243338,-0.166666666666667,0.377583823157559,-0.408789662642814,-0.214981807279319,-0.409346136873678,-0.185028557977141
"ETEC_As_3 (GE) - TPM",-0.274177195369817,1.32880551734424,-0.378710011298337,-0.207795586855012,0.122177755555241,-0.348277082397828,0.00386798637347822,-0.311830738758486,-0.492988107242922,-0.273460389052946,-0.301887983689527,-0.122168408896877,-0.211265357298336,-0.332178517500633,0.475381677020056,-0.259464952944022,0.170669282084558,-0.538866088661641,-0.564181601930195,-0.316715339927064,-0.229038693897079,-0.485633910521299,-0.29964490217232,-0.374989041654894,0.268123714360856,-0.342457062340735,-0.761385832950744,-0.317640695931489,0.159787077457554,0.252466679340206,-0.364128028409946,-0.579364887227762,0.212413108868653,-0.520185194417088,-0.33692859025331,-0.769420771481528,0.589808332422345,-0.166745906911554,-0.506194793923019,-0.0278148680528537,-0.221193362681428,-0.235709814492098,-0.241642779849528,0.318934914823522,1.05443244079186,0.919583453674986,-0.358574384612418,0.25632424236386,0.157345401781005,-0.166666666666667,-0.596129403889498,-0.519684672585566,0.141657902403899,-0.102167388580705,-0.00683368305508726,-0.166666666666667,-0.19246169078655,-0.033945477474791,0.64607903170513,0.515681270170102,-0.202687709215712,-0.119205488576999,0.0519610883052098,-0.326944608672697,-0.200551309164462,-0.161324971445815,-0.467197612418086,-0.524999884464346,-0.0509070804923062,0.161724783410474,-0.166666666666667,1.33892774870312,-0.0704127005939828,-0.428430384027307,-0.127699435729549,0.299954014132756
"ETEC_Bs_1 (GE) - TPM",-0.431143822375256,-0.310708533280819,-0.431402057889834,0.518074886753672,-0.653961560234273,0.209603497035681,-0.448457743344016,-0.0990795319470595,0.488175134901934,-0.273460389052946,-0.645705474967321,-0.57352040059032,-0.211265357298336,-0.253998917775586,-0.0819680791932421,-0.559005059705207,-0.200926290828499,0.700197577803479,-0.381161568357154,-0.77626703311966,-0.229038693897079,0.496810078261437,-0.29964490217232,0.0254821169181492,-0.566878774288888,-0.710837265699622,-0.262184533655334,-0.40612910724191,0.357823214561552,-0.288151630074015,-0.278094382638424,-0.129383852013763,-0.237460163054127,0.194437371882331,-0.307793642816477,0.174463163062432,1.4219621548041,-0.342434365219172,0.200968794923475,-0.273103880430259,-0.140843761152579,-0.235709814492098,-0.433858807113383,0.187768795102826,-0.0263427675441283,0.0642879930153514,-0.156685578165922,-0.20333690767427,0.379534465328508,-0.166666666666667,-0.229979471996742,0.634879960977035,-0.0453111846785385,0.423679008530988,-0.707861935275158,-0.166666666666667,-0.53458286441376,-0.381609541914715,0.589739162395649,-0.21521842311781,-0.423263939717432,-0.781805248934653,-0.519088413643555,-0.696991653016636,0.114849711495561,-0.145974499955471,-0.687204811665364,0.801044809260152,-0.390899456202165,-0.572460260162734,-0.166666666666667,-0.193822409282232,-0.334586374495428,-0.428430384027307,-0.0519499592842022,-0.548191356998754
"ETEC_Bs_2 (GE) - TPM",-0.431143822375256,-0.310708533280819,-0.155265066516316,0.0799551115518379,0.220520036706802,-0.310692680154855,-0.448457743344016,-0.224709908980902,-0.0806294870661742,-0.273460389052946,-0.805456586592053,-0.702031707277176,-0.110291454478017,-0.383013672231868,0.0550569065438584,-0.379620343014431,-0.200926290828499,0.165683538657988,-0.564181601930195,-0.979022164683847,-0.229038693897079,0.372199303795533,-0.29964490217232,-0.374989041654894,1.55001258487197,-0.550737649875864,-0.48464039799806,-0.40612910724191,0.0634820962760186,-0.288151630074015,-0.626086303090915,-0.399601267608122,-0.122961322183496,-0.476267503013772,0.164636028667924,-0.520067615960884,-0.112914128388762,0.0393404210146049,-0.131658499079135,-0.454548073085295,-0.148513608543618,-0.235709814492098,-0.433858807113383,-0.532616619737397,-0.125875011588379,-0.0785401432775657,-0.15731414971599,-0.240925174410791,-0.292815858666238,-0.166666666666667,-0.552760893410864,-0.495375858009344,-0.227168467691354,0.219103426486112,-0.252785542970548,-0.166666666666667,-0.286770649749639,-0.192739175597631,-0.465641839746564,-0.21521842311781,0.996917641577814,-0.645371753354425,-0.395608266019573,-0.417462672824092,-0.266864618255824,-0.283344352441255,0.268955908709636,-0.524999884464346,-0.533432408245897,-0.645639284701825,-0.166666666666667,-0.262167190222371,-0.291863154649713,-0.428430384027307,-0.409346136873678,-0.548191356998754
"ETEC_Bs_3 (GE) - TPM",-0.0963512816870222,-0.310708533280819,0.602050131841629,0.702438765661495,0.399759414473272,-0.0414213196009101,-0.448457743344016,0.139952016643411,-0.188689340247784,-0.273460389052946,-0.805456586592053,-0.666045371578331,-0.211265357298336,-0.383013672231868,-0.507377864545363,-0.271342715639133,-0.200926290828499,0.0721260656330491,0.358693856391565,-0.143785989179499,-0.229038693897079,0.469203332179566,-0.29964490217232,-0.374989041654894,-0.566878774288888,-0.553694379354154,0.683541555937543,-0.40612910724191,0.0516621696948263,-0.288151630074015,-0.456586418486926,0.0240675945838272,-0.174152608879376,-0.776067261600835,0.561599892585699,-0.602360746782786,-0.245548320500335,-0.155072292037119,0.00491403448279272,-0.457056567951453,-0.759870693888085,-0.235709814492098,-0.023883175273039,-0.532616619737397,-0.427725466158947,-0.449902685988431,-0.415287129495201,-0.464778176546376,-0.40007866547076,-0.166666666666667,-0.611421587162676,-0.650594954635273,-0.108513808131116,0.435768934254234,-0.563331567340706,-0.166666666666667,-0.0481116570147418,-0.0108449483883993,-1.01709345951916,-0.21521842311781,-0.323478487842133,-0.438124440649848,-0.490581510295392,-0.70901806844803,-0.345738144813488,-0.0486072256643548,-0.21795366870822,-0.206592351572976,-0.640132333816375,-0.276635276975874,-0.166666666666667,-0.64504928990296,0.0202616809769579,-0.428430384027307,-0.409346136873678,-0.548191356998754
"ETEC_Ctrl_1 (GE) - TPM",-0.431143822375256,-0.310708533280819,1.958015010016,0.0234233066643874,-0.282636368480313,0.336220082518537,-0.0601276154397628,-0.272019970531348,-0.300388959620613,0.548870871571677,-0.156971941434984,-0.0409665299219508,-0.211265357298336,-0.383013672231868,-0.722148498379462,0.354019635424846,-0.200926290828499,-0.420730138834634,-0.564181601930195,-0.0151581009620068,-0.229038693897079,-0.578471925037435,-0.29964490217232,-0.374989041654894,-0.566878774288888,-0.710837265699622,-0.25296135158696,0.0496846629979783,-0.576537808209043,-0.288151630074015,-0.684012647877428,-0.437296327110282,0.247852284914131,-0.118352844852898,0.696043166361275,0.194340728254645,0.183437250257962,-0.342434365219172,-0.0497076958965192,0.536553233369976,-1.05036883973971,-0.235709814492098,0.0612043936716829,-0.532616619737397,-0.718628906240476,0.0863136663187987,-0.147960597161206,-0.464778176546376,0.514635608101133,-0.166666666666667,0.076332498980322,0.539934519637648,-0.305600885705526,0.733591890477747,0.0150563066048478,-0.166666666666667,-0.53458286441376,-0.381609541914715,-0.679447145931912,-0.21521842311781,-0.417583633700379,-0.4858199385571,-0.648901461333851,-0.313483283622558,-0.158769709941701,-0.428475081585794,-0.687204811665364,-0.524999884464346,1.38331142017779,-0.645639284701825,-0.166666666666667,0.744692350519843,-0.332357223542595,-0.428430384027307,-0.409346136873678,-0.548191356998754
"ETEC_Ctrl_2 (GE) - TPM",-0.431143822375256,-0.310708533280819,0.809346698572358,-0.464557111748847,-1.01458637170687,0.16323306849687,-0.448457743344016,-0.450169135910648,-0.761592104630376,-0.273460389052946,-0.805456586592053,-0.904385925209312,-0.211265357298336,-0.383013672231868,-1.04941517786352,-0.648841446099521,-0.200926290828499,-0.576944414763054,-0.564181601930195,0.413144323858074,-0.229038693897079,-0.645526393089871,-0.29964490217232,-0.374989041654894,-0.566878774288888,0.492318080081901,0.449552445627959,-0.40612910724191,-0.576537808209043,-0.288151630074015,-0.684012647877428,-0.248730941687394,-0.230705582979582,-0.492490318442127,-0.0509683375138906,-0.806148087613975,-0.948737275636059,-0.342434365219172,0.53415756005927,1.45114161422663,0.939436891890207,-0.235709814492098,-0.433858807113383,-0.532616619737397,-0.718628906240476,-0.00508672279400658,-0.744785168347895,-0.464778176546376,-0.881988333630083,-0.166666666666667,-0.60128383716249,0.174111976139511,0.105283213370542,-0.999225108739537,-0.503816667337449,-0.166666666666667,0.706963279145736,-0.381609541914715,0.571165506313968,-0.21521842311781,-0.806139920130662,-0.110327491011128,-0.417428356390519,-0.610714967826118,-0.345738144813488,-0.428475081585794,-0.687204811665364,-0.524999884464346,-0.105562715125462,-0.645639284701825,-0.166666666666667,-0.27633517714216,-0.484840318281744,-0.428430384027307,-0.409346136873678,-0.548191356998754
"ETEC_Ctrl_3 (GE) - TPM",-0.431143822375256,-0.310708533280819,-0.941625364775556,0.519086760449708,-0.29285953834613,1.53424016018976,-0.448457743344016,-0.450169135910648,-0.761592104630376,-0.273460389052946,-0.805456586592053,-0.0530259372785208,-0.211265357298336,-0.383013672231868,-0.0813279734161327,0.0253772500484593,-0.200926290828499,-0.167482352551236,-0.564181601930195,0.154189758255248,-0.229038693897079,-0.0706171665692808,-0.29964490217232,-0.374989041654894,-0.566878774288888,-0.710837265699622,0.982410231076992,-0.40612910724191,-0.576537808209043,-0.288151630074015,-0.277825809087149,0.942363051771994,-0.577317546409087,-1.06107405947316,0.868636783564119,0.594323435014179,-0.111466220685493,-0.342434365219172,-0.574057075285378,-0.590376887329069,-0.70736962332238,-0.235709814492098,-0.433858807113383,-0.532616619737397,-0.718628906240476,-0.677531325752122,-0.450540817010842,-0.464778176546376,-0.709848677590825,-0.166666666666667,-0.229405523554534,-0.0375352206567134,-0.649821623463485,-0.14491776500417,1.4051563047197,-0.166666666666667,-0.100160234069339,0.280581879295213,-1.04262228881598,-0.21521842311781,-0.518792939313558,-0.366381739214333,-0.755558494859475,-0.0936626270841132,0.20733297693299,-0.428475081585794,1.82706505178044,-0.524999884464346,0.482157680874875,0.452772360719313,-0.166666666666667,-0.687366529218767,-0.484840318281744,-0.111936955282497,1.73644974352795,-0.548191356998754
"ETEC_Li_1 (GE) - TPM",-0.431143822375256,-0.310708533280819,1.56841760986423,0.0336797305869593,-0.521782664254853,-0.330710290396328,0.33590126733077,0.269491241076496,1.10150744247339,-0.273460389052946,-0.805456586592053,-0.904385925209312,-0.211265357298336,-0.383013672231868,-1.04941517786352,-0.648841446099521,-0.200926290828499,-0.237527615553383,-0.564181601930195,0.370761978952773,-0.229038693897079,1.07794201797783,-0.29964490217232,-0.374989041654894,-0.566878774288888,-0.710837265699622,0.390450058352709,-0.40612910724191,-0.576537808209043,0.649311827498389,-0.684012647877428,-0.671367669809299,-0.0887505735080344,-0.285407463859393,-0.53775408311575,-0.478773714622221,-0.948737275636059,-0.342434365219172,-0.574057075285378,-0.590376887329069,-0.0624755196230496,-0.235709814492098,-0.433858807113383,-0.532616619737397,-0.718628906240476,0.270313119436072,-0.744785168347895,-0.464778176546376,-0.881988333630083,-0.166666666666667,0.325048659374281,-1.08287055653877,-0.633828614897198,-0.999225108739537,-0.167180959932954,-0.166666666666667,-0.53458286441376,-0.381609541914715,-1.25569826376149,-0.21521842311781,0.763491702127594,-1.22259121354542,-0.540129921972646,-0.308934685611244,-0.345738144813488,-0.428475081585794,-0.687204811665364,1.02820853258754,-0.640132333816375,0.254371033627565,-0.166666666666667,0.599503662148613,-0.176851108311673,-0.428430384027307,-0.409346136873678,-0.548191356998754
