"","FTS_RS00355","FTS_RS00370","FTS_RS01760","FTS_RS01930","FTS_RS01935","FTS_RS02115","FTS_RS02120","FTS_RS02265","FTS_RS03265","FTS_RS10260","FTS_RS03810","FTS_RS03875","FTS_RS04150","FTS_RS04300","FTS_RS04615","FTS_RS04630","FTS_RS05170","FTS_RS05175","FTS_RS05185","FTS_RS05190","FTS_RS06395","FTS_RS07685","FTS_RS08180","FTS_RS09335","FTS_RS09355","FTS_RS09360","FTS_RS09365","FTS_RS09370"
"FRAT_As_1 (GE) - TPM",0.266094435745216,-0.457754076686379,-0.686404770306221,-0.340478672637186,-0.257723188320617,-0.0608614225439457,-0.40684670452244,0.132571406932297,0.660876583511352,-0.210666549578278,0.632352197498157,1.02794701318832,-0.189192338864534,-0.410918521398916,0.128199499208052,-0.626393183230999,-0.54784695190087,-0.5298114921318,-0.512454593508536,-0.435413466941475,0.20601033330413,-0.588793048679681,-0.638367138730026,0.763124982850229,-0.308998060201279,-0.259211047852901,-0.271840968776952,-0.142841927765522
"FRAT_As_2 (GE) - TPM",0.334139352813021,0.484867662548203,0.178465935061169,-0.315285188546547,-0.283815720139242,-0.102580986108224,-0.394909976252058,-0.128156279002325,0.0366998021006102,-0.210666549578278,-0.415599102020195,0.769009100683113,0.107038996956177,-0.317983706814854,0.62171340124247,0.409199325383177,-0.69159706877601,-0.720018117642842,-0.469188274598575,-0.373551780541429,-1.28910711878071,-0.442981146944813,-0.516334889357304,-0.0225757659323771,-0.302931095023127,-0.232739436253112,-0.231129682245864,0.356239732972494
"FRAT_As_3 (GE) - TPM",-0.0933158179728687,-0.530003266437704,0.848226825962119,-0.335029062690926,-0.220015033307435,0.525455213094258,-0.139534098655928,-0.334356850096705,1.05959195005649,-0.210666549578278,1.17324269395383,1.07184033360615,1.08893317800361,0.59428000926252,0.612263920431844,0.784427517082862,-0.427787120189468,-0.273790712905703,-0.0746768007821892,-0.0478889729250565,0.4575037176862,-0.289483318824557,0.729510857702781,0.640377106126578,-0.303837139807166,-0.282614865819169,-0.279726561563739,-0.0985968463102317
"FRAT_Bs_1 (GE) - TPM",1.39406030660914,0.238577492319907,-0.467862301232037,-0.211253515481483,-0.25966229134203,0.101210577348739,-0.00137912197417058,1.56448712467072,1.77162916392542,-0.210666549578278,-0.490583070874247,1.12475084790682,0.551025555105881,0.454395075749121,-1.61541952370886,-1.65411455261346,-0.408440544507436,0.148475613126816,-0.049634353381529,-0.124067692025628,0.706710189978148,0.782269755661644,-0.699317400851153,1.87435532165338,-0.256060206480398,-0.194164067355995,-0.0521250757089366,0.769658958958646
"FRAT_Bs_2 (GE) - TPM",0.221684615956078,0.544865263621067,0.073619676655296,-0.144629649478125,-0.26993341123104,-0.105274875255223,0.0489587238877723,1.082718842002,-0.0799881969080911,-0.210666549578278,-0.739915676207729,0.362994804403061,0.199143097498668,0.170941438550184,-1.30746745405803,-0.591635572947183,-0.486913041060663,0.388299440762069,-0.0660242906652654,-0.0198732048090659,0.755060784494321,1.30770134994073,-0.643053564517861,0.196569588009963,-0.259014311368956,-0.19804464133866,0.0520058260471938,0.686437588221743
"FRAT_Bs_3 (GE) - TPM",1.44762163217144,-0.554825338853972,-0.666899280732695,-0.310965064994405,-0.340924662417804,-0.273275328908589,-0.519542881752659,1.46741444328908,1.56163635453845,-0.210666549578278,-1.27973555244013,0.557302091043245,0.210769661423264,-1.10586212456967,-1.30029644919075,-1.90702394057046,-0.438598720456175,0.0664627053305629,-0.481928009417635,-0.354262215467415,-0.843370647481514,1.41886105664091,-1.33153763033601,0.820752264518295,-0.234285602206015,-0.0598999351962359,0.10981302415965,1.31015348707863
"FRAT_Ctrl_1 (GE) - TPM",0.0160959105789997,1.20923962830039,-0.409939510857707,-0.313276607320555,-0.194769440907335,0.207820021222731,-0.313657048648454,-0.464058529429447,0.839451756975218,-0.210666549578278,0.0411340521727149,0.568309788377894,0.145324259926269,-0.0360098209194481,-0.0800831636861069,0.319750228922944,-0.464479571823468,-0.575152518765353,-0.50277351373897,-0.430990598240474,0.00808203240879504,-0.686019315112606,0.376662505999071,0.459642809665628,-0.302516451866532,-0.275249207479584,-0.205229003391171,-0.0135902908436834
"FRAT_Ctrl_2 (GE) - TPM",0.329560174681062,0.672680478954,0.0198684672591798,-0.343656490260486,-0.302595678625631,-0.113925777869706,-0.283962545919932,-0.044841160791453,0.460990636771147,-0.210666549578278,0.472901473074877,-0.609067050868816,-0.3127921857483,-0.832786064035961,0.627397775971195,-0.288459336643542,-0.47925736275805,-0.605443263907341,-0.486556748325475,-0.422997116539597,-0.164538719603381,-0.460236891926366,-0.744438034690489,0.761141230700337,-0.312987250015941,-0.269704435682505,-0.26349992984114,-0.292376579374276
"FRAT_Ctrl_3 (GE) - TPM",-0.402119022221881,0.0709663696621721,-0.109626482150169,-0.328212428933258,-0.290651026159776,-0.139718833135452,-0.487650672972028,-0.157407977282929,0.0454080339332015,-0.210666549578278,0.0403574867392324,-0.362557817522064,-0.729512918000391,-0.778485874161272,0.228915407538991,-0.409794958356328,-0.685192580122935,-0.697334702626354,-0.481983617865665,-0.399848255653149,0.427952221623941,-0.299568338482392,-0.809508025800098,-0.0872194382071209,-0.305419921903736,-0.276069669002521,-0.28131359100656,-0.280647671320058
"FRAT_Li_1 (GE) - TPM",-2.46630697655931,1.27393799513971,1.4032356824456,1.84025219073433,1.02932191218781,2.34811421623631,1.84964258942869,-1.90920525545223,-2.27342608556919,-0.210666549578278,2.47307428225232,-1.88710130848268,2.14160966824758,2.51280026479601,1.34316882728878,2.11887941005451,3.05466829840304,3.66063876373047,3.46709353400941,3.654828812088,2.15978976060443,2.68627620360564,2.89830603174115,-1.69332826332376,4.16988082564192,4.25096928519773,4.85750231608877,3.99096696938378
