"","FTS_RS00065","FTS_RS00375","FTS_RS00415","FTS_RS01285","FTS_RS01290","FTS_RS01295","FTS_RS01310","FTS_RS01315","FTS_RS01320","FTS_RS01325","FTS_RS01330","FTS_RS01335","FTS_RS01340","FTS_RS01355","FTS_RS01380","FTS_RS01520","FTS_RS01670","FTS_RS01985","FTS_RS02620","FTS_RS02625","FTS_RS02955","FTS_RS03280","FTS_RS04030","FTS_RS04545","FTS_RS05290","FTS_RS05705","FTS_RS05710","FTS_RS06430","FTS_RS06685","FTS_RS06810","FTS_RS07595","FTS_RS07790","FTS_RS07825","FTS_RS08090","FTS_RS08200","FTS_RS08380"
"FRAT_As_1 (GE) - TPM",1.23352671249972,-0.025509741252124,-0.15873361155147,0.327553653840598,0.680650661997754,-0.192505378555973,0.652104955029317,0.574816734833883,0.42343913368172,0.592404046474324,0.825794960728832,0.657677799363753,0.647033902046823,0.950555091223676,0.844044345561295,-0.622205092982015,-0.903785078012524,-0.504702636778165,-0.704004968803065,-0.750971639235729,-0.699951854346481,0.30536535195676,0.978435765319282,-0.77403619030655,-0.464048827503768,-0.533033553056682,-0.56241221224462,-0.423699317956805,0.789435982328059,-0.567796386402622,0.011275925930471,-0.785238032013308,1.27875151223616,-0.927372730454406,0.123651994650869,-0.261701097047449
"FRAT_As_2 (GE) - TPM",-0.00418175806789305,1.39086230976549,0.158356873891431,0.64339829361969,0.303149156041087,0.210875566907721,0.326047323022554,0.580940492298525,0.819301887272546,1.07086420230457,0.812466629209737,0.713273571985992,-0.0131722397621884,0.246028039468285,0.488942790652408,-0.26199874771732,-0.238701578760533,-0.31925620817669,-0.52115010833827,-0.825521635908435,-0.445264434713965,0.45893686042449,-0.326609932849326,-0.764602584949808,-0.528513657288759,-0.35739988124602,-0.651239538647735,-1.17206949731874,0.285213975597827,-0.728784900630013,0.122121945449723,-0.649367869397917,0.901175616185157,-0.391364561845607,-0.190498253038839,0.190938457360011
"FRAT_As_3 (GE) - TPM",0.275328782816373,-0.537483530832242,0.240305512908268,-0.362375694029757,-0.769898541762604,9.95188132690042e-05,-0.34982188731117,0.435854597648305,0.155948897975684,0.0343066443014838,0.0921142666358284,-0.272391958845764,0.436164939354666,1.44788257620842,-0.280162800928035,-0.192107714291494,-0.714308395837251,-1.11774767949379,-0.792888637022337,-0.7189505527145,1.08966750354584,0.577821580059013,0.0317569137481054,-0.549366425467616,-0.585181798127048,-0.696997048024608,0.0681796134467297,0.147264718654392,0.666692781492228,-0.57662569430415,1.46309416887948,-0.703637714248154,0.920568460521025,1.42698796472121,0.588508798160281,0.0113859321399884
"FRAT_Bs_1 (GE) - TPM",1.61322583160985,1.1236287197845,-0.999578913745351,0.83263665027346,0.493548463105304,0.27734579669384,-0.256172213951279,-0.267456100734609,0.832152337366688,0.957246787467978,0.387279439512646,0.205678081505513,-0.353783924449029,-0.461819491356946,-0.596600123332991,-0.00488727943897669,-1.55259551621545,-0.321370194460039,-1.01423942816281,-0.555857125799297,-0.643432033886443,-0.536193250528186,-0.68901921228794,-1.07853806737944,-1.12255107219771,-1.1720603379778,-0.935184787444128,-1.0079278660634,0.379241357313994,-0.327590565409984,-0.521601918909826,-0.506330916414082,-0.855797263830377,-0.706377747382395,0.687893012329123,-0.528181404677198
"FRAT_Bs_2 (GE) - TPM",0.591768482613756,1.20772488409897,0.816782301310669,0.981623285961916,0.337175790223649,0.658851832684238,-0.155992510767765,-0.414269437655587,0.117859383930992,0.466882643292933,0.0425694961206686,0.0430490857863951,-0.410673835074608,-0.311961293250351,-0.666600002699036,2.38398558853222,-0.583560208926064,-0.222166215972157,-0.900321866691935,-0.588963043933176,-0.616180429423697,-0.641579316345761,-0.741054028865715,-0.887924129290238,-1.05007720903839,-1.18009148088835,0.429902531056405,-0.910157839642641,0.708177856534694,-0.571862096211451,-0.169994427367919,-0.0421584814940493,-0.894262863545776,-0.377840960193335,0.599378440394453,0.387930886781779
"FRAT_Bs_3 (GE) - TPM",0.616670481073578,-0.313352625963181,0.991629262520623,1.0156776547974,0.617564204564192,-0.104849259434799,0.166765311708128,-0.108368518709119,0.370149184261454,0.481791026275103,0.404711452255919,-0.0554590461337747,-0.910120258742717,0.0019214578765219,-0.565545061289287,2.2448920362869,-1.43187350439771,-0.570038488877183,-0.996099583966276,-1.06468634182146,0.0952623774190608,-1.07896201640692,-1.50213756499604,-0.806106963245848,-1.08265347652587,-1.15202570558589,-0.354013866968464,-1.14873059659914,0.788937411591863,-0.422801110804324,-0.728024987781955,-0.0850685793372311,-0.182145853707936,-0.641654373903043,0.407351865450276,1.14761579517361
"FRAT_Ctrl_1 (GE) - TPM",0.361522638111699,1.11962873812122,-0.0701047828141837,-0.147860276647416,-0.823118637831728,0.030220086273805,-0.262846581789467,-0.224804826903387,-0.317208065578082,0.164032158116074,-0.0735313402997548,0.155709033374511,0.226528632582355,-0.520956455855659,0.421971642720419,-0.283678164393182,-0.418327802893419,-0.356662451098517,-0.15531452826853,-0.408333448095479,0.0662995714072033,0.144199357821103,0.691525222339546,-0.512297277626296,-0.320181735658711,-0.538508136010885,-0.319873059479787,-0.113013809066278,-0.0699077954068328,-0.62415140039333,0.123833449731153,-0.441773932859732,0.268994937847095,-0.0693930069965212,0.270758431049228,0.69976059730389
"FRAT_Ctrl_2 (GE) - TPM",0.253836074200129,1.37237709687077,-0.307389700031482,0.965001537707928,0.712289078169327,0.724071216146281,1.4974018687158,1.03200471443989,1.70370086585693,1.00394233614408,1.57736864838497,1.11878982244682,1.1404012807661,1.79747849223002,0.633031411056142,-0.552096784352132,-0.445188802271121,-0.565562457682947,-0.559904555112485,-0.770334625975127,-0.796352361293588,0.125579841671076,-0.0557074166758866,-0.797474556160462,-0.976864876185902,-0.510457271479052,-0.938316903850009,-1.07906266204105,-0.225036876464351,-0.789290661579985,-0.642673041832628,-0.788489582477078,1.41692577448699,-1.12180042038005,-0.149658514407022,-0.24587065186652
"FRAT_Ctrl_3 (GE) - TPM",0.378256794565858,1.01431027190121,-0.255101527983621,0.857222298500821,0.769146230329911,0.528534810131561,1.06930481735445,1.0283243644475,1.06645870676112,0.667193022083966,1.42706903553686,1.27005042198171,1.46052506412258,0.97866349668258,0.746325824390078,-0.390809593464499,-0.548084521343144,-0.957527746550826,-0.684207042990692,-0.924262800677123,-0.630993289799693,-0.018330881216614,-0.331794075824037,-0.63703039204616,-0.853077303243951,-0.464756573273348,-1.09642100527763,-0.81508556019685,0.774375937629654,-0.884160775925348,-0.628530321171401,-0.90663306497231,1.07759492460896,-1.23983750762318,-0.0812857516391334,-0.327159934532743
"FRAT_Li_1 (GE) - TPM",1.01338019301641,-0.0379326900196384,-1.1940278587932,2.01448971076087,2.42486870669972,3.08426710654911,0.463922976552864,1.06895197560919,1.30208763075773,1.17555653530133,1.60607614602719,1.63591286759393,1.58216016556372,1.70906035904908,1.01780997010215,-1.09525025464644,-0.41195682039218,-0.725329029220714,-0.845189487486905,-1.0127055280076,-0.853022319474779,-1.50826754578915,-0.782620027907607,-0.804184691857877,-0.691527252993594,-0.989610445842783,-1.04558856391352,-1.26461067781412,1.21146281233237,-0.938951025553724,-1.13913851828223,-1.09363678040293,1.84726873820769,-0.357753374378418,-1.25075536081231,-1.8656910055611
