"","NTHI_RS00060","NTHI_RS01340","NTHI_RS01345","NTHI_RS01350","NTHI_RS01515","NTHI_RS01630","NTHI_RS01730","NTHI_RS02015","NTHI_RS02195","NTHI_RS02200","NTHI_RS02205","NTHI_RS02610","NTHI_RS02940","NTHI_RS03220","NTHI_RS03645","NTHI_RS03855","NTHI_RS04370","NTHI_RS04445","NTHI_RS04710","NTHI_RS04715","NTHI_RS05345","NTHI_RS05540","NTHI_RS05950","NTHI_RS05955","NTHI_RS05960","NTHI_RS05965","NTHI_RS05970","NTHI_RS06360","NTHI_RS06365","NTHI_RS06370","NTHI_RS06375","NTHI_RS06520","NTHI_RS06525","NTHI_RS07845","NTHI_RS07870","NTHI_RS08170","NTHI_RS08435","NTHI_RS08835","NTHI_RS09260"
"HINF_As_1 (GE) - TPM",1.04179374146373,2.28185353798391,2.94743036983411,2.1745306925608,1.39371719606598,1.5419876777754,1.90176194862451,1.85981275162409,2.5687496514858,3.19370693213736,2.8566663032121,1.35669776043189,2.1991400451955,1.84858806505522,1.22966782443558,2.50456045546161,1.09870674611242,2.97308183346457,3.73179963752003,2.9776577158836,2.16042011891763,3.44591908418362,2.41552370983925,2.94792758826142,2.9831998982294,3.35016487248474,2.68532737886633,3.33259230898591,3.27836398173481,3.21683953530605,3.40060339192168,3.20191333622111,2.20759082787484,2.02345553132866,2.16313346674763,1.98095903741207,1.71552005246773,1.47362636033687,0.573868620233084
"HINF_As_2 (GE) - TPM",1.38911114312338,1.58441677956395,2.31708322106175,2.28696506072947,1.53526940565604,2.06777750062861,1.4376586919149,1.31479896115436,3.47495655461309,3.10907281441435,1.80301385811352,0.838098322852717,2.5375802649455,2.02077005972332,0.681608148075081,1.09491927536383,0.853144110772224,1.86970792236654,2.75422342834541,3.28603684244109,2.23146114769939,2.32081232331675,2.63294397403071,3.14858526596717,2.40130859314874,1.85260242154143,1.59544218971916,3.07830139384494,3.28180107499384,2.84159464078172,2.86275034265787,2.57500726915641,2.63295004480636,1.50077235822604,1.90961693237902,1.44496418244738,2.14606664376424,2.01078277320475,0.690786856642727
"HINF_As_3 (GE) - TPM",1.95845481724636,0.694449005137796,0.666092736781432,0.902353741888015,1.15741660277114,1.38020734515181,1.46602919237997,0.726578686194056,1.23354218737929,0.698145274267789,-0.138923330511371,-0.0151653156757064,1.27044965386286,2.89456984645257,1.17840988291346,-0.61212319742786,1.35704091648645,0.260389182241608,0.472201604642177,0.373281240137992,0.833315876749981,0.65208994296558,1.06385490895645,0.300401595252816,0.000252647246011736,-0.0670413700009977,-0.279225868905102,0.190453274955168,0.0930148991022032,-0.0423679649542341,0.869038682582611,1.50054326788657,1.87633099941742,0.886474061688164,-0.0465840530693981,-0.566784840495673,-0.290447299534402,-0.227480879728583,0.804831830506932
"HINF_Ctrl_1 (GE) - TPM",-0.217029883108159,-1.02897635070921,-0.599625144047864,-0.59100313464473,-0.856369331618162,-0.55563528605299,0.361225139940089,-1.01403059314774,-0.630109037991073,-0.569727454417912,-0.657239020878413,-0.89741632369578,-0.860900307810141,-0.251132448043772,-0.936765032331993,-0.709585186555616,-0.869893752858085,-0.46828984907797,-0.40226627667417,-0.695968446068709,-0.410008605090821,-0.000466493345684295,-0.788551770946263,-0.656687193168883,-0.619256254454729,-0.685190900942342,-0.670074108076637,-0.578168431050402,-0.606457182331195,-0.638649136110328,-0.710353141198444,-0.714075790616734,-0.916139567223772,0.0154824981208459,-0.595080296962623,-0.950604503463836,-1.25833476085616,-0.673459529164075,-0.520920146964943
"HINF_Ctrl_2 (GE) - TPM",-0.884869638023281,-0.383975815111104,-0.520646869049734,-0.828517027079545,-0.743749530925031,-0.841694757258451,-0.459041451860414,-1.2139576686412,-0.522506973434258,-0.401944784842343,-0.46187009563308,-0.589245994386634,-1.24944317044493,-0.384408253573392,0.010600374154122,-0.697423975483065,0.233297217961662,0.20118012052307,-0.58382198099785,-0.790994758948985,-0.958531767979035,-0.106045585741447,-0.579032892419757,-0.574783013127367,-0.47938723150585,-0.458100392685563,-0.444505775251631,-0.654671982661126,-0.643348529130555,-0.66555769385874,-0.717165502096572,-0.819741828650769,-1.04899370573487,0.819209634077125,-0.552481526351262,-0.88350880272404,-0.966745062306868,-0.509607763926632,-0.59195481690864
"HINF_Ctrl_3 (GE) - TPM",-1.05249632998853,-0.423985835025115,-0.643117524575571,-0.869960708461058,-1.65349965223938,-1.3249314000997,-0.885064004905914,-0.994266564221104,-0.594293714829898,-0.453112847226513,-0.471101759126956,-0.775528700459754,-1.23263678877054,-0.518856085204155,-0.847352700858393,-0.413951656425705,-0.842533527356506,-0.373843332242731,-0.604988563503527,-0.739523193318825,-1.31261042256514,-0.0310001509846945,-0.671923895249237,-0.61442664847274,-0.575871874899741,-0.535393271570559,-0.491699827079783,-0.616137757331501,-0.595974697523769,-0.63066607945192,-0.686388516646116,-0.652936601877762,-1.01090053612888,0.102680886860878,-0.600054922725205,-0.864557788559772,-1.23193607668015,-0.756884791809494,-0.963167445156782
"HINF_Li_1 (GE) - TPM",-0.957052854653003,-0.363221879749413,-0.467389490965957,-0.878952658457514,-1.10262459301005,-0.391094549769704,-0.443865693639972,-0.895685954994455,-0.550134088010644,-0.505737240527913,-0.55563831907019,-0.786777221178917,-1.19190989031077,-0.610526638595226,-0.429041561560829,-0.200150478699168,0.0580059330975123,-0.576185107056044,-0.677795746596027,-0.435289658548935,-0.528646714250849,-0.13722569654951,-0.442882165883156,-0.545724318960281,-0.605292581804836,-0.640324556892515,-0.620203194887195,-0.630944809360816,-0.577853208687884,-0.503377134544688,0.134417245755134,-0.711156274873716,-0.629098683514486,-1.32626005767991,-0.426620301663472,-0.537893650844618,-0.737185027083525,-0.383995750700613,-0.685589757933375
"HINF_Li_2 (GE) - TPM",-0.398185119488624,-1.05913289786567,-0.856940602304081,-0.512815142740416,-0.316260002196505,1.3459510768232,0.058344593771015,-0.544352563761982,-0.596131711573019,-0.606181583080755,-0.688409394785691,-0.165902581467734,-0.793086322579676,-0.681436634936222,-0.121169718000147,-0.729797537129327,-0.410943251239326,-1.35476777082893,-0.316117974555898,-0.40281696935918,0.18221129954093,0.100712140654468,-0.776365608186679,-0.63388207335023,-0.628050266592001,-0.714980792219579,-0.737652473683504,-0.392475643767106,-0.398337909029364,-0.347071336143358,-0.0491036205440312,-0.735971134411063,-0.676095750613914,-1.28396950473398,-0.624874929697581,-0.704158402175259,-0.553410364438576,-0.596703477367049,-0.328710496688529
"HINF_Li_3 (GE) - TPM",-0.360574462282106,-0.525674995600236,-0.533748184913866,-0.645284871539686,-0.281967232799184,0.196907929185974,0.256655222125362,-0.360321316239321,-0.562379234215935,-0.464072106063855,-0.567210511353491,-0.494166583229073,-0.723042884056678,-0.509852929885915,-0.0954469182687439,-0.173553489387694,-0.453252449003262,-0.0875728376489357,-0.308401053405784,-0.348713456198644,0.229834783449946,-0.292763784608554,-0.617599179751648,-0.583936004218844,-0.506214118820319,-0.552770438901932,-0.570892667864312,-0.310167953313958,-0.364984262625209,-0.302473667508116,-0.0680793997341034,-0.532387680071908,-0.41349288171951,0.0206637587441046,-0.557747411931887,-0.678473228559994,-0.637436499229346,-0.699575584842864,-0.442944418439823
"HINF_Mig_1 (GE) - TPM",-0.367728171090703,0.806972646952459,1.58542597309455,1.13602151640273,0.140155978277212,0.881770702685429,-0.460395272049822,0.474012105275229,-0.337143429894659,-0.258459856498029,-0.599617108270934,2.38948192567607,-0.565665298942306,-1.01563999238158,1.25590334171644,-0.855028189494434,1.50903127815205,-1.39619973959788,-0.674713609365477,-0.54289870837866,-1.52972735470966,-1.67713440607234,0.609028000584972,-0.0237717723240086,-0.156547127143753,0.0444075974045142,-0.149046591338566,-0.430181753410937,-0.434213616016345,-0.511085085244747,-0.419897998007843,-0.916810109359123,-0.853681841682013,-0.418675742294134,0.848075099587254,1.15003355490057,0.127137113038658,1.73976550237048,0.599906017083853
