"","NTHI_RS00860","NTHI_RS00940","NTHI_RS01310","NTHI_RS01440","NTHI_RS01745","NTHI_RS02000","NTHI_RS02230","NTHI_RS02405","NTHI_RS02410","NTHI_RS02505","NTHI_RS02600","NTHI_RS02740","NTHI_RS02930","NTHI_RS03015","NTHI_RS03090","NTHI_RS03505","NTHI_RS03815","NTHI_RS03860","NTHI_RS04590","NTHI_RS04720","NTHI_RS04975","NTHI_RS06935","NTHI_RS06940","NTHI_RS07365","NTHI_RS07405","NTHI_RS07570","NTHI_RS07635","NTHI_RS08160","NTHI_RS08180","NTHI_RS08200","NTHI_RS08470","NTHI_RS09160","NTHI_RS09360","NTHI_RS09495"
"HINF_As_1 (GE) - TPM",-0.100614077276679,0.825646497066376,0.822751317383735,0.69948322341152,1.07549382554764,-0.0328959515281293,1.63110764811368,-0.34938006128832,0.0406003993500073,1.13148089025202,1.38628812320982,0.227067572817847,0.641788881942856,0.254313984680279,0.996843155238417,0.833057042668425,0.275521645026221,0.598656025678226,-0.0635140180768873,-0.0313544150950246,0.190383977271156,0.458228227144506,0.437581213060697,-0.0415434899940033,-0.173201382759815,0.792944392941998,-0.138870604157478,0.88278639556263,0.887287080268077,0.526991196214037,0.0295347642364743,0.14704446815537,-0.0814937547463499,2.00408558003522
"HINF_As_2 (GE) - TPM",0.0206922454968709,1.32053011223374,0.652898954934197,0.495370703482613,0.862054646509895,-0.174988082922055,0.957437895862372,-0.912658784590655,-0.692712825440048,1.03076056758381,1.2332714123299,0.345020670848084,1.01558886749444,-0.266864491191025,0.833757311851576,0.770316441370746,0.26361439174201,1.08303540310217,-0.073972610514485,0.357489425579648,-0.21456520764438,0.450880780955412,0.745667803437679,-0.0541750900003605,-0.0606501428192618,0.710060049808616,-0.460424761950614,0.912159237152675,0.674474688804297,0.133426039170524,0.0999299367877198,0.157532099614021,-0.398901441777609,1.85291570660988
"HINF_As_3 (GE) - TPM",0.0384226404857714,1.45721004899789,-0.0517092128444515,-0.253969769244399,0.913479277016302,-0.45324060163407,0.199418372607203,-0.398127815632345,0.134096260516772,1.62440498890332,1.77881183377484,0.334953627905019,0.397831902146241,-0.353095285389288,-0.451773235103144,-0.0346606708123594,-0.323436965178575,0.238026581972295,0.226337963411361,-0.260402991106662,-0.821913769812324,0.625235188704654,0.346561786269743,-0.294703358124828,0.00519193744231624,0.390477012951637,-0.396019128038466,0.197624719045848,0.447479299912118,0.682695747409676,0.686441488858245,0.501813379211389,-0.517533337045783,0.595296122598706
"HINF_Ctrl_1 (GE) - TPM",-0.0347338316769438,-0.81417475298117,-0.68797947823763,0.0483311250044528,-0.0778355714100541,-0.621072148141845,1.11015741438317,0.127028645707156,0.139243841535985,0.68863002108734,-0.917595143248802,-0.870446392673445,-0.966437793770929,-0.701588472679261,-0.316927268237766,-0.94505648961677,-0.669009484134564,-0.165225625624416,-0.818829570385704,-0.386672080235246,-0.845702951275536,-0.805514274187702,-1.32595173046893,-0.329646675024902,-0.371111392481433,-0.457075216669194,0.454332756497285,-0.389855497591123,-1.17413020515021,-0.14343021004551,-0.0931717600465032,-0.661334098810738,-0.593880429591039,-0.837625923930069
"HINF_Ctrl_2 (GE) - TPM",-0.206003414513121,-1.53647456194302,-0.60124866942352,-0.000993443705817843,-0.64147324196129,0.29042791166788,0.298669776483699,1.24056155518518,0.109480405694644,-0.643684738515491,-1.44473161546735,-0.701394339716139,-1.1429988762423,-0.279716655420945,-0.297145619348358,-1.03403971901317,-0.551634529782827,-0.999917715965785,-0.396902151649477,0.155514555256056,0.166448969740965,0.209707994220196,-0.375346913937643,-0.00857495982684913,-0.64805682814765,-0.694830398840289,0.641126535690687,0.626414643752042,-1.01673546476726,-0.105233316796727,0.350626835356704,-0.549757178822868,-0.203598671148758,-0.718445955096637
"HINF_Ctrl_3 (GE) - TPM",0.037114263592439,-1.5630230067767,-0.70283265425532,-0.180094451914654,-0.715319145060256,-0.10298485583057,0.766280520957217,0.277761411725893,0.0960528762249862,-0.791650083400255,-1.43134832022059,-0.955864984465329,-1.18860347052748,-0.652974793937535,-0.475468508453016,-0.986582767867484,-0.553181085732967,-1.09159045539272,-0.713506494799625,-0.386500403033531,-0.0456459441878451,-1.12600709411531,-0.658393097652505,-0.0942271767966366,-0.292262426208853,-1.36244614418405,0.777169737955483,0.226016114474235,-0.979291259987111,-0.515140998044093,-0.191415125773073,-0.770646765929538,-0.420196160851478,-0.551290311694739
"HINF_Li_1 (GE) - TPM",-0.193963091140683,-1.06042871712201,-0.394759813900476,0.631267059745411,-0.49972010069763,-0.816138535272611,0.779592918219944,-0.335404807536507,-0.650946267946137,-0.618522027144911,-0.842399860618227,-0.617406167237156,-0.892385851578568,-0.444225879375349,0.470199905295398,-0.964618586209878,-0.39833891136862,-1.19350809043761,-0.488934042120523,-0.710587723470198,-0.279472098155123,-1.2023631246939,-1.33249468758211,-0.487884297789412,-0.613183802323373,-0.853910939284067,0.115714627961061,-0.667195339567298,-1.0040440902295,-1.06898057699102,-0.513205898014242,-0.948115507674441,-0.470734763981525,-0.151378370416928
"HINF_Li_2 (GE) - TPM",-0.573178421469045,-0.720975401273125,-0.614131143947495,0.840464307167021,0.0768257506907431,-1.07765778361769,0.387142308511924,-0.580583991451321,-0.292485077316404,-0.533575847625465,-0.555904427251956,-0.434614981682353,-0.942724335986172,-0.396023583187678,0.291541566504698,-0.952362472798019,-0.523201377342727,-0.876841758224368,-0.649158665936901,-0.518694727290286,0.0938611979396684,-0.510282871599649,-1.36405502492321,-0.402430033361343,-0.812922382734655,-1.02276873784765,0.39324883880339,-1.09239615691191,-0.458037560475623,-1.45827145519187,-0.168628760587506,-0.606511058363501,-0.496356276651697,-0.860393194520247
"HINF_Li_3 (GE) - TPM",-0.332360719596223,-0.607656424275072,-0.570920431123841,0.678953036552772,-0.315688012047555,-0.763200989152774,1.27848493081071,-0.0783479907129682,-0.115314338932984,0.017184050398569,-0.484158993937127,-0.471836217288307,-0.875750269909366,-0.268744297230328,-0.0212482319439712,-0.748603650710076,-0.445490829128319,-0.751404547496214,-0.503132648728699,-0.673860495711826,-0.0924486215486746,-0.850330409911042,-0.652963704127592,0.0556626563245286,-0.497881454071521,-0.465527410508688,0.161232054036042,-0.674250578875562,-0.92250813181773,-1.12507066292054,-0.0213523894289885,-0.53866884377166,-0.376438559090404,-0.642818871807475
"HINF_Mig_1 (GE) - TPM",1.50950948719378,2.36578028611853,1.1911775503632,-1.78913258943518,1.11013083105558,2.34815554107957,-1.49268814377595,0.639074417811163,1.07229845892411,1.15518758484821,1.66576771681392,1.34210101325902,1.59229969917562,2.49739950807626,-0.476160470308785,1.54220583415435,2.96051356740801,1.4658811478776,1.52726709036387,2.40540159703962,-1.9324127983353,1.74184792794809,0.935025452375552,2.86916783757436,2.02971089305299,2.55282321376604,1.49117814564396,-2.08361795888856,1.21200595144238,2.12538926604022,2.69981012756271,2.76485490877446,2.49241132988828,0.73432464724767
