"","NTHI_RS00070","NTHI_RS00075","NTHI_RS00080","NTHI_RS00085","NTHI_RS00115","NTHI_RS00120","NTHI_RS00125","NTHI_RS00205","NTHI_RS00215","NTHI_RS00220","NTHI_RS00365","NTHI_RS00865","NTHI_RS00870","NTHI_RS00885","NTHI_RS00915","NTHI_RS00920","NTHI_RS00925","NTHI_RS00935","NTHI_RS01020","NTHI_RS01180","NTHI_RS01300","NTHI_RS01315","NTHI_RS01375","NTHI_RS01465","NTHI_RS01500","NTHI_RS01680","NTHI_RS01840","NTHI_RS01945","NTHI_RS01950","NTHI_RS01955","NTHI_RS01960","NTHI_RS02075","NTHI_RS02140","NTHI_RS02180","NTHI_RS02240","NTHI_RS02290","NTHI_RS02295","NTHI_RS02370","NTHI_RS02375","NTHI_RS02415","NTHI_RS02425","NTHI_RS02430","NTHI_RS02435","NTHI_RS02460","NTHI_RS02485","NTHI_RS02605","NTHI_RS02645","NTHI_RS02650","NTHI_RS02655","NTHI_RS02660","NTHI_RS02665","NTHI_RS02755","NTHI_RS02775","NTHI_RS02810","NTHI_RS02815","NTHI_RS03240","NTHI_RS09570","NTHI_RS03325","NTHI_RS03350","NTHI_RS03490","NTHI_RS03510","NTHI_RS09575","NTHI_RS03670","NTHI_RS03735","NTHI_RS03745","NTHI_RS03765","NTHI_RS03775","NTHI_RS03780","NTHI_RS03850","NTHI_RS03865","NTHI_RS03920","NTHI_RS04285","NTHI_RS04310","NTHI_RS04315","NTHI_RS04375","NTHI_RS04410","NTHI_RS04415","NTHI_RS04500","NTHI_RS04525","NTHI_RS04530","NTHI_RS04840","NTHI_RS04940","NTHI_RS04950","NTHI_RS05085","NTHI_RS05120","NTHI_RS05235","NTHI_RS05325","NTHI_RS05400","NTHI_RS05445","NTHI_RS05480","NTHI_RS05555","NTHI_RS05660","NTHI_RS05710","NTHI_RS05740","NTHI_RS05745","NTHI_RS05750","NTHI_RS05780","NTHI_RS05825","NTHI_RS06030","NTHI_RS06060","NTHI_RS06065","NTHI_RS06075","NTHI_RS06385","NTHI_RS06450","NTHI_RS06455","NTHI_RS06460","NTHI_RS06505","NTHI_RS06510","NTHI_RS06745","NTHI_RS06750","NTHI_RS07460","NTHI_RS07515","NTHI_RS07690","NTHI_RS07815","NTHI_RS07820","NTHI_RS07910","NTHI_RS07945","NTHI_RS08080","NTHI_RS08225","NTHI_RS08380","NTHI_RS08420","NTHI_RS08440","NTHI_RS08445","NTHI_RS08480","NTHI_RS08485","NTHI_RS08735","NTHI_RS08875","NTHI_RS08895","NTHI_RS08900","NTHI_RS08905","NTHI_RS08960","NTHI_RS08965","NTHI_RS09130","NTHI_RS09230","NTHI_RS09310"
"HINF_As_1 (GE) - TPM",-0.721187400882194,-0.626457790543419,-0.750942780899103,-1.18512599293926,-1.09946547867809,-0.709989013800247,0.00506114939069193,-0.385956159835206,-0.686760898382936,-0.65302512489839,-0.179958013126805,-0.275494550496159,-0.0689378754283595,0.608502728980811,0.356952829153496,0.386826585970355,0.583121865940376,-0.0167341859450898,-0.216881477730363,0.954805922228595,0.114395686746139,0.444737671337669,0.149476837262878,-0.668361184891389,0.515302166701744,-0.291419991394755,0.752208245732731,-0.521436207171401,-0.66301451166593,-0.53678171191745,0.12635629961683,0.538413723939094,0.862529580898116,1.15490531450893,-0.0680610660819561,0.977662342750904,0.293997310113968,-0.427972557668433,-0.0800354904100446,0.702606864467248,-0.180723243282676,0.103623210529118,0.00959071543476882,0.0219464220266031,0.662036926301044,1.25760790768017,-0.579840621951107,-0.401303568588425,-0.408652764868368,-0.488008307881321,-0.470717896864963,-0.296642306698567,0.259841689265093,0.129464625419907,0.0787031603951828,0.0991610088976244,-0.722746652494567,0.101457024026121,0.23253624051854,-0.76637984818036,0.298204780918755,0.0617656030583622,-0.377262841044705,0.567370306444031,0.176177726224274,-0.386730366846783,-0.227372143356264,0.289242273982628,0.573025120722617,-0.0108196097002254,0.437408098333484,0.45407249704341,0.601886211928089,0.640914824701189,0.135009609659361,-0.188041542025124,0.0702334001934557,1.17132831170841,-0.404217104364356,-0.0986569297046021,0.014969855847624,0.700328739935291,-0.499601651938017,1.0716956990738,0.291308473379497,1.18340337193053,-0.486795448575472,-0.181155559721538,0.490692107022042,0.152208446355645,-0.398698899311053,-0.586752339887873,1.51534683025958,-0.622581524468438,-0.471974390985309,-0.456603719085088,-0.353712401337795,0.634595022146381,0.222379126209394,-0.125572941839906,-0.406788284905315,-0.423121374815429,-0.315674797884527,-0.538965947614892,-0.668544242371688,-1.09230765957352,-0.323758086991316,-0.104578541261411,0.554132007671612,-0.113296637865053,-0.504963609741763,0.962450842924284,-0.1781674776149,1.12986058035611,1.51793184057128,0.9649122452542,0.0298322459664615,-0.461137693955819,0.443759050849113,-0.385602043382957,-0.249878531855119,-0.450937237335958,0.217967037525962,0.0985020107569331,0.388309182816953,0.916607357894408,0.605980172304403,0.28524365715357,-0.628180758267515,-0.709237472382961,1.31369675816018,0.68027992447204,0.2479722894776,0.469287607693765,-0.2042627649234
"HINF_As_2 (GE) - TPM",-0.293715538558418,-0.677631758551651,-0.877224328216296,-1.18341305471994,-1.01728433414777,-0.616630933175606,-0.799273445997382,-0.575554316497861,-0.764554424165257,-0.686531932434619,-0.373727118974098,-0.375452931891017,-0.148775108187407,0.982631669040309,0.234191359749156,0.267621301237464,0.276642079787265,0.354052352770891,-0.157167749988727,0.759677467132659,0.483851910070623,0.265958216586512,-0.1334598712308,-0.50829940162678,0.428216420656536,-0.279135930059724,0.654522184003941,-0.384292253960673,-0.559919771457342,-0.444482240528022,0.53205134645262,0.0886482530694717,0.675847231623178,1.17620532667282,-0.125444329982449,0.203584317330809,0.45183089674568,-0.481696607512995,-0.122940385697408,0.306908763580501,-0.208343256710844,-0.00808276019958273,0.295950563768568,-0.530314783682003,0.14314138910784,1.2603233133535,-0.92676339235489,-0.882691406181681,-0.721453604148592,-1.03782438258163,-0.408218509904971,-0.247313934993575,0.10972103645687,-0.282594090912263,-0.352570205150971,0.413885077835513,0.023528443298955,0.0485933270503592,0.152693757714084,-0.653595605208828,0.26771334490902,-0.187251699491089,-0.164615945605778,1.65277970550539,-0.0924499033564422,-0.382723155187229,-0.160589847466208,-0.0557070306718372,0.674345778420748,0.501416389721951,0.230588164468625,0.228445430994236,0.414817463323356,0.848821382275962,-0.0407630459111819,-0.27615365205207,0.241646358445604,0.637646428465008,-0.392196990783473,0.581488930492529,0.266300878066498,0.935608209253198,-0.503233188036647,-0.675652665903389,0.357834495948893,0.813391043862588,-0.143149103635871,-0.137958684252715,0.246340555236263,0.457155818147277,-0.362189184134543,-0.558446320132152,1.31128858422416,-0.604913114295583,-0.471770974796446,-0.483539273974949,-0.353216694476077,0.51610055192882,0.152839869092345,-0.238993745515412,-0.446550985561339,-0.252028312239531,0.355004410175303,-0.62095320695274,-0.594346494708885,-1.02357797082559,-0.17040531823171,-0.139245403001911,-0.11101275787506,-0.175332536624997,-0.251385842969973,1.01021275975246,-0.218638912036024,0.728954780108679,0.829123786646424,0.728620845390208,-0.110961934335398,-0.431943268243571,0.487696004216043,-0.254259217658517,-0.25637983563164,-0.448822749364184,0.326780039988592,-0.0185687649839524,0.18841453468402,0.923921739965874,0.278122807937278,0.697787337402314,-0.611490986475974,-0.712500847949494,1.11519024085704,0.439239453877302,0.182386531972881,0.517404093825574,-0.0899790923884778
"HINF_As_3 (GE) - TPM",-0.548795157906401,-0.650144902169678,-0.544778304337951,-0.385333652260677,-1.23978844952606,-1.519201292491,-1.28923682353918,-0.443428764414008,-0.894496103499636,-0.722252341052564,-0.425469589618525,-0.129570193497101,0.0212427610995717,1.1783050628883,-0.486892055840573,-0.394151792596407,-0.490535027379208,-0.0275297416483479,0.114870409189208,-0.623788814200779,0.249992009192337,-0.51225982808546,0.00858597358772144,-0.541602422817643,0.774592324454236,-0.376671435694164,1.37562853330051,-0.686473511274661,-0.800467836132881,-0.682690578400015,0.486363850349818,-0.254684007707623,1.18501031404076,1.90146343065239,-0.257304648894775,0.341526391390381,0.0327168995575893,-0.376907024406901,-0.274566388082944,0.719680492307974,-0.0643110768448508,-0.195065591440864,-0.41016459725507,-0.280324526451943,-0.421895496970626,-0.0767291245692818,-0.996502096840666,-0.893329043346909,-0.735115375411434,-0.821047303140808,-0.462692844907242,-0.406986609278532,-0.519341999493779,-0.629260831292265,-0.812053069457703,0.0861786116212871,0.263659223007566,0.58508965642457,0.489905185852812,-0.945217568566921,-0.395396399069131,0.0634971174893809,-0.117717139495008,0.693949451264909,0.904038342869808,-0.311250716397491,-0.30186006724199,-0.358266899697533,1.28989550895991,1.46849860573076,-0.0410571030074699,-0.327102666836023,1.396529098915,0.906775386025669,-0.735623682554132,-0.285273536668295,-0.140779863282942,1.87711954886126,-0.603388764737737,0.129708970898482,0.121586525110126,-0.30008402416927,-0.522767697386864,-0.591510159716102,0.142215130223239,0.751262048725804,-0.514765731425362,-0.691909416742702,0.0564412716027302,0.101429818396488,-0.441900350975967,-0.716603973566605,0.908142341241307,-0.612865980301587,-0.479375405436292,-0.543680791110161,-0.361042176367684,0.239945705502688,-0.0852254515247574,-0.323616649278237,-0.405657424638876,-0.416796870033775,-0.146788426405573,-0.670876235189861,-0.741496442906687,-1.22031679808112,-0.334415120284779,0.259412210463646,0.263224908479644,-0.345514570594363,-0.532398458726421,1.94208560677758,-0.696128116057145,0.00478594367185678,0.374360404507448,0.535450405789801,-0.318843978936432,-0.125490462751946,0.25135427467985,-0.481512930980091,-0.54621572016283,-0.459747627569604,-0.444449937675789,-0.346855667943748,-0.131224854183327,0.328588039348659,0.735043843441694,1.246177855512,-0.598859966713811,-0.757979927182885,-0.225523232832822,-0.433544866917054,-0.256767051492045,-0.0222932768818339,0.0660090115647646
"HINF_Ctrl_1 (GE) - TPM",-0.247113160791738,-0.523575946034163,-0.545782007945934,0.163511806803227,0.250914626983675,0.571501494063718,0.527466485316184,-0.87163250440421,-0.926856706245135,-0.763695513057889,-0.725331363287613,0.14037500431963,-0.347023643292816,1.13802973574809,-0.586892574413021,-0.739837176407374,-0.818835888643201,-1.23135672551859,-0.479414999530983,-0.592309756970173,-0.872469589233489,-0.842039520562815,-0.884307107177103,0.258310919093188,0.728642611955931,-0.620937500712273,0.170161124289461,-1.23881597951961,-0.842924428767008,-0.621042781482406,-0.541939624279001,0.256048412309577,0.399249344192243,0.899335686065869,-0.514141100028703,-0.792807847051526,-0.347596530529057,-0.752333818342271,-0.525598668493941,-0.326623896459994,-0.491371890249616,-0.569409821007731,0.117473546349211,-0.542407715136797,-0.684018602479503,-0.763274735514278,-0.983392346838883,-0.47445886199618,-0.808769657475528,-0.972923074187353,-0.553245847430982,-0.535057168152952,-0.870157633452454,-0.793315521059447,-0.488318983417265,-0.498542077412178,-0.636298391704252,1.18428102369437,-0.498193325487886,-0.891664116825803,-0.795926600526034,-0.223760625700958,-0.323833328455457,0.724442565175959,0.972862419040748,-0.304060314488963,-0.577453606464375,-0.886873308493178,-0.336773820575848,-1.13423747881309,0.422691534746184,-0.546329267298596,0.843937218804165,0.888525694913099,-0.404483627442554,-0.536245121453395,-0.574609005815581,0.866133768280744,-0.724507773514523,-0.949453119436973,0.0836686950804753,-1.4061262019523,-0.524897270306424,-0.428244674853612,-0.814374887496259,0.276863811869667,-0.552262293485119,-1.0372987537896,1.09303524258644,0.326251224423222,-0.531080393918826,-0.70962149156225,-0.381193947742216,-0.552688168394281,-0.448777583791865,-0.502464461027192,-0.362202759945283,-0.208176509061298,0.424520517922455,-0.491552768699578,-0.411586780071067,-0.490591044646987,-1.4155446154216,-0.697812521790546,-0.681368120049474,-0.79109651986913,-0.29138733348047,-0.0727446630597576,-1.06029099663794,-0.441315340489382,-0.908378354467065,0.958920531978671,-1.24703636558306,-0.728203016531567,-0.941737213795267,-0.802999137593059,-0.315952448255268,-0.750801475239471,-0.0743064539998367,-0.250664785803344,-0.689607033473741,-0.459712213612223,-0.687763630627217,-0.447923381391302,-0.541753986152939,0.597793230187653,1.13666880959481,1.78035302696081,-0.603792457569434,-0.746188082855125,-0.633182209664863,-0.363059311135542,-0.719173959968951,-0.634420568608927,-0.4877983318254
"HINF_Ctrl_2 (GE) - TPM",0.201147702678924,-0.908126694025507,-0.530381773759742,0.0391018042415797,0.255273601473747,0.753005146539585,1.03735249007652,-0.611316615800618,-0.916731338206205,-0.772809712020817,-0.848646468525304,0.693002583090313,0.320219960734639,-0.31815874098284,-0.612956160992846,-0.792964145465727,-0.830534055504339,-1.42671597220097,-0.525845015267152,-0.625323396712545,0.102118053617927,-0.393066140963415,-1.07723517898892,0.0237092349598089,-0.0157136695529655,-0.814746199926853,-0.360230846640597,-0.782069299639955,-0.514585400419572,-0.437349912916661,-1.11252391836249,0.8452694960385,0.409336650687252,0.026288938096901,-0.458989088435978,-0.516871401154604,-0.613294652910715,-0.637877415610744,-0.458658747419849,-0.483481682879291,-0.510316788077867,-0.882702177605659,-0.379253972972662,-0.295082536402404,-0.834811248882001,-0.730646753183316,-0.261073270473412,-0.514242867685883,-0.844072392329549,-0.47429067296412,-0.487336184139155,-0.685812957105884,-0.436610406902266,-0.206907700647164,-0.755245587752647,-0.733588664140862,0.20985250270351,0.750306451309847,-1.0135948833908,-0.736936950613907,-0.700566262258871,-0.326336334757415,-0.251739406363212,-0.522000384546731,0.456308003794205,-0.359720261498967,-0.544874327832604,-0.785336219169641,-0.468059326357013,-0.996506928411995,0.451124578911729,-0.444096104355429,-0.125307000770927,-0.37471439138043,-0.2740083757192,-0.697755360339442,-0.532901856677078,-0.0840961717550552,-0.647196851135757,-0.733295678743327,-0.762120132471668,-0.651124427338838,-0.524683263542321,0.54044848554595,-0.996499525273734,-0.412106529078711,-0.627733628713813,-0.929881352435371,0.776297527045261,0.776421722907427,-0.52046760313411,-0.416200822872203,-0.716246523854735,-0.474147468607099,-0.400599052563015,-0.419591576683644,-0.365145962666115,-0.658999710583328,-0.358331728741333,-0.284236283101364,-0.46317420881889,-0.340009359525606,-0.843492320313122,-0.65093236180768,-0.736139796277823,-0.64743055000573,-0.664310288969199,-0.308052527768545,0.185664721310047,-0.309049391996386,-0.26993004958659,-0.249803227346465,-1.20442446051592,-0.798610403652612,-0.767567110391283,0.633253984282276,-0.478420473621464,-0.264356341902955,-0.956870787993135,-0.485373506658146,-0.846827401554914,-0.464389043339768,-0.646844865561748,-0.394629359414627,-0.469143451607902,0.00487934672456397,1.69942454714853,-0.0117864202960271,-0.543351753723286,-0.748722236375367,0.65064636809492,0.241347110156848,-0.673307046402649,-1.07459890265754,-0.897975976925863
"HINF_Ctrl_3 (GE) - TPM",-0.176890444826737,-0.587292518148528,-0.561587628479175,-0.24315928747837,0.110347807074861,0.811672431066407,1.23760459126694,-1.04384110229683,-0.960300598482685,-0.752408809700528,-0.78144334831429,0.476116786649434,-0.155749379466936,0.836660691267873,-0.611115905317278,-0.770813356264454,-0.774574661310648,-1.34710851177642,-0.610025671323024,-0.606805130617015,-0.671405187390848,-0.827281324288103,-1.11158661488484,0.0271392989085074,-0.0841652791377919,-0.743946302956729,-0.221401871273754,-1.24281391287042,-0.912868496942979,-0.554391668124081,-1.3233285789339,-0.0789712562935036,0.329611261628764,-0.428046312557088,-0.625041207040387,-0.736543128142787,-0.554394258642927,-0.805443206185061,-0.662315924227726,-0.592141462641705,-0.607138014911843,-0.734717479358143,-0.198174273442937,-0.801461877643112,-0.836587261911897,-0.8499503978848,-0.849953714020368,-0.665515770131295,-0.917615872036109,-0.923335769181123,-0.587367376246755,-0.611204119672302,-0.5035057073858,-0.534251344491072,-0.522357313402017,-0.655969379082581,-0.349257837823071,1.19421076794662,-0.735895094217727,-0.784157999038455,-0.707623308946015,-0.338846042957897,-0.463569140148897,-0.194026317965331,0.448999953830323,-0.487704040657251,-0.586496604247165,-0.860508987448149,-0.933123668380499,-1.34810220822072,0.411794046500662,-0.403030872011046,0.258716697457883,-0.368441199143229,-0.393473460892901,-0.680141435129561,-0.672262173041802,0.279151488290456,-0.758117884798589,-1.27294696786718,-0.52105002354368,-1.38872813587148,-0.522974208556261,-0.0996462731282449,-0.99576924298033,-0.727407799895785,-0.93012612141879,-0.891824998630937,0.558929245874223,0.681191599558821,-0.616726182965836,-0.61483031069364,-0.76589964426884,-0.477021830920676,-0.409840039557613,-0.432319522972706,-0.364904404571085,-0.594510057986444,-0.568140426612159,-0.423565260378185,-0.512784629031454,-0.381499036101414,-1.54124442701915,-0.746332167507244,-0.83167902017954,-0.656022640202496,-0.412011925697347,-0.229734320478151,-0.655139195544823,-0.550810901743255,-1.00627095777276,0.416019173555145,-1.29191399845042,-0.787156178913829,-0.297592616074692,0.376020127147621,-0.507184275229842,-0.341005288886132,-0.0775395467399393,-0.31933504933933,-0.826110525440055,-0.462312219051171,-0.694745639761784,-0.422329116525232,-0.522534883645029,0.366261568251684,0.969249293279508,0.94128305216348,-0.55276440365606,-0.730181028966118,0.524763929331809,-0.336661749774959,-0.732353878603208,-1.07383816890059,-0.703284832264865
"HINF_Li_1 (GE) - TPM",-0.642206935433864,-0.858974465905909,-0.488884606302648,-1.04732187750235,0.583797670209506,0.543396609653795,0.934897987001718,-1.02539105559766,-0.961114504029185,-0.766825322470667,-0.684792814894095,0.253971076513227,-0.69527859177143,0.824124618781229,-0.435638419656489,-0.554371651942232,-0.638118416331659,-0.954316861078889,-0.923210478480883,-0.255345062802652,-0.827539887478739,-0.645978715971689,-0.784918919018797,-0.942879790066543,0.598884686831574,-0.658205027812563,-0.157870328867402,-1.28607233533673,-0.744018380610249,-0.437601674677154,-1.0470779152399,-0.196065053255185,0.650338363455596,-0.0892718741704261,-0.398555478742171,-0.776430620165499,-0.613126244023548,-0.84667597833477,-0.627452900489907,-0.684802957023376,-0.507199712065419,-0.650356684496372,-0.243313066091392,-0.383406435029526,-0.480606613099891,-0.496167607121692,-0.93560669094308,-0.831144160663199,-0.89140162879798,-0.873195373372538,-0.550556070267411,-0.480475563832468,-0.640086074656584,-0.911431588036214,-0.693398902563271,-0.816393242423291,-0.437825333046564,1.0388987273658,-1.07184656299146,-0.618074305869411,-0.556715002838928,-0.216170854109536,-0.666508129978204,-0.539657294538251,0.0703148668260742,-0.267069950160993,0.190134212597802,0.27582839958959,-0.782569005159572,-1.03389400389311,0.340863517064202,-0.479626118805701,0.178822484454703,-0.451948921973842,-0.382035116719473,-0.343430728460756,-0.566622015808614,-0.228442316228073,-0.422229971514083,-0.268440246845159,0.229980190160255,0.491178145013959,-0.523153828124404,-0.806129236133142,-0.912795832520836,0.545947166465562,-1.02642472207755,-1.07680073895538,0.12696428993965,0.950575506036372,-0.622102975602606,-0.615402459470256,-0.568732036240519,-0.535933610966262,-0.414622807637508,-0.340367246950503,-0.361362831128779,-0.263329873496927,-0.946300295626746,-0.278858076019999,-0.565361349579142,-0.474002362995622,-1.21610182248469,-0.75848497033334,-0.926462408829128,-0.840503652799226,-0.333601045512678,-0.450221420922617,-0.717024362037285,-0.59863376517977,-1.71675808341994,0.198261606744185,-0.884542268868312,-0.537748849084613,-0.87983551223332,-0.129047899503344,-0.358849348116336,-0.928874624074141,-0.615216706323807,-0.341747429460074,-0.821745429488839,-0.459992765760397,-0.507863061100802,-0.422977024399423,-0.265673460409818,0.770393943936929,0.182317444551229,0.309298872703046,-0.624034253807018,-0.742513514719134,-0.0307185780463994,-0.0894778080494183,-0.628851218454993,-0.578257554103926,-0.927554835241103
"HINF_Li_2 (GE) - TPM",-0.697834477764701,-0.490057264681043,-0.306721436203371,-0.793917741474476,1.25759192918219,0.504261895822515,-0.0446257742455669,-0.599452811897371,-0.890695318825379,-0.729929787703188,-0.737900790716402,-0.145439442641993,-0.458402080082234,0.876521993764612,-0.596497734332681,-0.698742561804072,-0.71122549712204,-0.578211882624995,-0.744046832786969,-0.392091874997457,-0.648466096800205,-0.910415718742955,-0.351809368299985,-0.745837027391909,0.272088028451601,-0.581011544593214,0.497270008113178,-0.811225405006574,0.151783267694294,-0.157709878200656,0.118015085562438,0.217787680300488,1.4499163495567,0.409065157834437,-0.531774419626112,-0.565926644304428,-0.288576249346706,-0.905763457785664,-0.554443333738107,-0.808728887921128,-0.458925756289571,-0.346415272454813,-0.433234162379565,-0.212700100381633,-0.519251718905224,-0.402065361079272,-0.693478820666179,-0.409432324168219,-0.354578039160264,-0.180114989137587,-0.238089505434001,-0.461540024202173,-0.336780509238856,-1.08983237286315,-0.843361980906529,-0.692620399275511,-0.651113691761676,0.0996548971636194,-0.882623780695569,-0.636458051060286,-0.595208827605112,-0.478514933250708,-0.426448308491902,-0.0726567469806254,-0.227158357563467,-0.372870613476987,0.30811619333663,1.09548609984267,0.750556877618309,-0.131715875189071,0.24145836537429,-0.550633729638771,1.2646505257408,0.310452722974519,-0.292155256262216,-0.445677894234942,-0.480172835634793,-0.0513683980206301,-0.430036119941583,0.769364471971931,1.24705782573107,-0.184108578522662,-0.512148394932249,-0.76664502358099,-0.541920222637846,0.825788051083111,-0.299629958419068,-0.618579196011849,-0.560316755502002,1.71167470320279,-0.411386541622515,0.129407027611297,-0.775562416696275,-0.535333124629766,-0.440552276281901,-0.496538362598768,-0.360859427534607,0.463506893589192,-0.702863550981963,-0.154318597051126,-0.392437854321891,-0.196146193823781,-0.454875802494011,-0.618609424565852,-0.94707387301157,-0.942698868887071,0.0627846951227116,-0.307604580666246,-0.606638825804892,-0.676213161197591,-0.971626568395566,1.00269414647567,-1.0642026564489,-0.63045928469184,-0.866577588308565,-1.23696433788786,0.150069413343826,-0.360162857917434,-0.392090647157025,-0.140390143886216,-0.525648194223496,-0.456075918296526,-0.661358310383974,-0.42447357663139,-0.414330814493874,1.07030130348873,0.675634303516487,1.08878859094759,-0.586652039087039,-0.688987378130606,-0.873720594867861,-0.346169731146634,-0.719221130797043,-0.319124441844478,-0.777180439689346
"HINF_Li_3 (GE) - TPM",-0.336718022468063,-0.368560112123052,-0.48488842981744,-0.4710716027624,0.625446228879492,0.726895024221171,0.543365240882824,-0.561414854490279,-0.809745149177677,-0.669105290902567,-0.715914666025316,0.0104941526260765,-0.644467258073512,0.824330530726746,-0.548183178483426,-0.63808476377088,-0.686736774217329,-0.771615904717819,-0.6068313513105,-0.451330680454927,-0.432187340966499,-0.825896998430122,-0.444013379622278,-0.61953663111545,0.988166574393275,-0.550098083272405,0.156374642691396,-0.52975352820439,-0.430414607640727,-0.381972656815865,-0.155442161872175,0.799282522908295,1.22520541228693,0.64209655575581,-0.440262510207925,-0.641827709958848,-0.325694026026796,-0.950137051421453,-0.504005480921239,-0.512419473496124,-0.489069887031062,-0.391710324900614,-0.319559731230896,0.0708741037680807,-0.456902621588582,-0.51653946907909,-0.715958304734673,-0.177108933086171,-0.28962436078574,-0.446018948520134,-0.363222457315722,-0.331142947650693,0.0378054614511125,-0.871307391262766,-0.234651607385446,-0.730493868955928,0.0243025653281449,1.01466081639888,-0.856036167525982,-0.598686754009073,-0.589670829403396,-0.351186363265734,-0.295599386586254,0.276048212238743,0.622558790764578,-0.166450098265169,0.325689785703195,1.05399762238994,0.324569137719552,-0.727635201863446,0.229112812354948,-0.391814528927412,1.23529580995323,0.576437011984103,-0.384057919614028,-0.18770011515844,-0.435772345215863,-0.909605627856622,-0.197829737781476,0.696050028153965,1.09746915929783,0.20709149115424,-0.493265499949349,-0.890339271540033,-0.763311284270704,1.17431712139277,-0.336431269180888,-0.611885674504935,0.00498931880410837,1.0460976173794,-0.404628771541636,-0.0923370596844126,-0.430640265217113,-0.458288390901681,-0.411777283995686,-0.438062186326593,-0.360670229600905,-0.0601394924083072,0.0762290273236293,-0.36190292859864,-0.412826497035033,-0.256788201528081,-0.965225669764542,-0.694950843866871,-0.822377507737534,-0.982988878070945,-0.12325363481667,-0.316213604298671,-0.387196365276497,-0.468256052390543,-0.95107956693019,0.740289217652757,-0.933644838259361,-0.565145541007868,-1.11483295521615,-1.21254776673721,-0.0538568905103996,0.363545781365009,-0.864082270897384,-0.140240687978738,-0.537829940023275,-0.456542962217436,-0.637193981112631,-0.42462108558119,-0.41506903278634,0.637295804501789,0.587567681825129,0.848663666951539,-0.517635336193995,-0.621657532577285,-0.783530558887057,-0.244681763746201,-0.688121812030406,-0.178771671042772,-0.847234970882541
"HINF_Mig_1 (GE) - TPM",2.17112760846276,2.16552330344367,2.46947813656966,2.30980581559327,-2.54872679343527,-2.35007265766587,-1.69755645819888,1.53662674629982,1.86110224528819,2.94717458091511,2.48176062142644,0.976391499586063,1.99281099506697,-2.56300273118291,2.78495664062176,3.45569355178448,3.35222836903447,2.55659464372548,2.06054909470519,2.3718604808697,2.76436687172591,1.64557220430471,2.81554171345223,2.84130411040588,-2.23899520252845,2.09126303534562,-2.30634534934887,1.97002418154563,2.88708869614134,3.25441986780615,2.04514371193839,1.75560478736454,-2.20067420845084,-2.44666101359531,2.67974842896344,2.90992461223038,3.30336267043021,2.54432445510795,3.04924648337244,3.65425249950118,3.00863596903385,3.07545877159669,2.0587192829461,3.55873830455797,2.70608832382035,2.50423978613064,2.02529462399488,2.30668774601673,2.46663811440315,2.10990075987706,3.38291767777393,3.82548468706878,2.75733239849735,2.61493791159127,3.21005479340414,2.67957511819749,1.63067489214589,-2.28753493044788,3.1942141002375,2.08285339103187,2.85945083524647,2.09339146410539,2.28451780360459,-2.68209545231521,-2.54992243783942,2.75679587829827,2.68192593534159,2.87972460166595,3.24403036335955,1.80960927334071,2.59771008206777,1.85395960603788,-2.35783458023115,-2.7721192455705,1.87991490879683,3.83374874051119,3.57074749305569,-2.64436611977874,2.22892203401639,-2.38548239161587,-2.47927974817277,2.5173358163478,2.38047601454808,1.88643997100976,2.10368971519228,-2.00132741876288,2.54203483593794,2.26713916112943,-2.23544184474127,-2.28097339209509,1.80603983266184,3.12492712781902,1.33619117720568,2.17180544770814,3.06730611188566,1.86522644013576,3.45212928569527,2.84707428496116,3.12160098179343,3.02520090082535,3.03582711634954,0.988641340447107,1.66530909849147,3.04518615046373,1.30215626212862,1.08833603943229,2.40983056677144,2.64124568366462,3.25551200791873,2.96399927294434,2.81885090511141,-2.4098183790895,2.36981607040112,2.85630932875318,2.53788592871356,2.92206483452617,3.72490171279247,1.85324881057416,2.09599605336861,1.32032313609754,3.14413778583499,3.34550239595618,3.13539972370607,2.9797719925607,3.06129357356202,-1.88597862767138,-2.45056996865852,-3.23591569039725,1.36864670872119,1.76989436033808,-1.88856385507207,-2.32878606092429,3.50413892682426,2.52001448936037,2.42872617897023
