"","NTHI_RS00325","NTHI_RS00795","NTHI_RS00800","NTHI_RS00805","NTHI_RS01025","NTHI_RS01060","NTHI_RS01355","NTHI_RS01615","NTHI_RS01620","NTHI_RS02110","NTHI_RS02625","NTHI_RS02800","NTHI_RS02805","NTHI_RS03630","NTHI_RS03800","NTHI_RS04165","NTHI_RS04230","NTHI_RS04235","NTHI_RS04240","NTHI_RS04340","NTHI_RS04405","NTHI_RS04465","NTHI_RS04470","NTHI_RS04770","NTHI_RS04920","NTHI_RS05060","NTHI_RS05065","NTHI_RS05370","NTHI_RS05385","NTHI_RS05700","NTHI_RS05705","NTHI_RS05755","NTHI_RS05760","NTHI_RS05765","NTHI_RS05895","NTHI_RS05900","NTHI_RS05905","NTHI_RS06020","NTHI_RS06245","NTHI_RS06255","NTHI_RS06310","NTHI_RS06315","NTHI_RS06425","NTHI_RS06430","NTHI_RS06435","NTHI_RS06635","NTHI_RS06645","NTHI_RS06735","NTHI_RS06740","NTHI_RS06920","NTHI_RS06925","NTHI_RS07475","NTHI_RS07535","NTHI_RS07950","NTHI_RS07955","NTHI_RS07960","NTHI_RS07970","NTHI_RS08255","NTHI_RS08755","NTHI_RS08950","NTHI_RS09380","NTHI_RS09390","NTHI_RS09395","NTHI_RS09400","NTHI_RS09405"
"HINF_As_1 (GE) - TPM",-0.159871325046188,-0.424965408866188,-0.359746553413798,-0.282001077586577,-0.0936613177191478,0.0120806109584361,-0.0800866702318599,0.187695919731634,0.478570341342745,-0.410940557545348,-0.0891630474655333,-0.108007438004992,-0.705303344900903,0.0622491958945108,-0.193136141831,0.0580321070827703,-0.141524313262832,0.084753764279371,0.116184967326348,0.161830548371187,0.0109145040237873,0.0141776092955547,-0.540413062769589,-0.102336609742168,-0.35491636370719,-0.343309424686319,-0.340150838418935,-0.321014745398694,-0.338475662899332,-0.0812257293143883,1.00902829190307,-0.19381553884276,-0.440519788090767,-0.342663445066431,-0.536258173830495,-0.454127385929445,-0.472525869458553,-0.322855389811864,-0.213236632562187,-0.274929357937555,0.077084886022421,-0.325767930098224,0.126238341439306,-0.302757884148684,0.215827175351821,-0.433839618463127,-0.131010526882612,-0.318058789090915,-0.334949963657928,-0.631653328370441,-0.425315778699467,-0.215920798147885,0.00382190620475497,-0.417004932116356,-0.402169003590797,0.205647908416357,0.764240196168768,0.310578078494133,-0.151368329303658,-0.237340906195423,-0.0332505694650023,-0.000196243873244165,-0.657099935033998,-0.529874406974681,-0.449891303879062
"HINF_As_2 (GE) - TPM",-0.276644602695929,-0.496520938384391,-0.439922687846418,-0.287372125372898,-0.619878428736292,-0.219519292209593,-0.265114081069805,0.327203765726404,-0.0345375706854083,-0.556512712591883,0.0276075023353214,-0.426413113855649,-0.565150911004775,-0.0297140096401002,-0.139759430472517,0.226629714258648,-0.288059941771269,0.184711753633107,0.00517776982671238,1.21909646540953,0.0975779903159927,-0.0432195364150514,-0.702858120408991,0.493918151810868,-0.393080372313542,-0.428518862180759,-0.469140815307691,-0.370421351617265,-0.371474945145259,-0.339293484857582,0.974572989923651,0.365145828849093,0.400445155462214,0.0273084698249719,-0.546632042038928,-0.478910556843798,-0.523818101281428,-0.481952654647271,-0.119573308119714,-0.315085685197716,0.318865486367246,-0.263829243496555,0.203196068260619,-0.222147408417883,0.21012009825575,-0.524521392737059,-0.450854969230764,-0.0231378876405747,-0.307169171777106,-0.458258732051365,-0.271277929083457,-0.209273259010982,0.0650822315392235,-0.311449952830215,-0.217065360467602,-0.000510472311191189,1.31862562128627,0.320627337455642,-0.323310216870942,-0.0793025021199025,-0.123204620094479,0.0469243450748363,-0.372735409638488,-0.466341522486848,-0.39647041563236
"HINF_As_3 (GE) - TPM",0.0255514106045759,-0.324296404633387,-0.262137679533386,-0.312886450099935,-0.229898997765991,-0.108822012291052,-0.56398784701684,0.150199899338706,-0.137793958917776,-0.444673515193804,0.363371881792209,-0.789370452823348,-0.614784435031123,-0.0958647880088258,-0.32200477706571,0.139330547266756,-0.511996533363483,0.470260754871352,0.1514362585951,0.775916077154133,-0.509937969536108,0.763130215225362,0.0716075400353473,-0.735063834079766,-0.39886056829888,-0.485353536353269,-0.506969973370383,-0.0315539305094496,-0.205885586231129,0.0739262772114742,1.0338075381103,-0.174570731367433,-0.465302583309994,-0.370608800311124,-0.370193056486032,-0.29629575351721,-0.430305819378425,-0.475481328888645,-0.570497460510707,-0.298812897345081,0.238290860331249,-0.309783016888689,0.0956228703399661,-0.0535697575228007,0.210041275252835,-0.747496103462142,0.268121931788366,0.286053219206451,-0.117496708280592,-0.549961609385865,-0.601716354011547,0.304182242915973,-0.166859864987988,-0.74607513490442,-0.638648674294629,-0.721308328516083,0.111577591227998,0.155239549631426,-0.260672176990153,0.40126238776069,-0.29013573762078,-0.331572318098759,-0.702817030717194,-0.68419522094681,-0.0593947884751468
"HINF_Ctrl_1 (GE) - TPM",0.443458621916441,-0.292064424400038,-0.285956358987234,-0.229799778573851,-0.571836578633757,-0.431625563167991,-1.13851653984619,-0.0378162848701282,-0.227191345908265,-0.820711563723818,0.280647272739267,-0.862210289786137,-0.665771311287811,0.039549102067426,-0.376676884416248,0.022489198552075,-0.345565103844603,-0.189494869658795,0.0671761595245218,-0.641111763468634,-0.988354556719261,-0.258692940874409,-0.33417299077215,-0.448598931471589,-0.40206136621882,-0.543068386818734,-0.648437742143659,0.0268143746278626,-0.053245645535051,-0.211193588384006,-0.386098384291959,0.375887160275502,0.172153246787003,0.446989682282423,-0.688355281634357,-0.68367386048669,-0.489884867474228,-0.497672193694813,-0.813172495915533,-0.40046616784556,0.238067326044229,-0.574683507387535,-0.630291106180167,-0.41063833790684,-0.37846805552786,-0.721524344345645,-0.536980884896693,-0.667364286103024,-0.0861154464145502,-0.542146082880406,-0.66579884539021,-0.381640596690914,-0.585585107158967,-0.746736452389721,-0.410560411263676,-0.893655384494126,-1.32829579023083,0.616730325984779,-0.811851149675881,-0.223975362311835,-0.414156695267758,-0.673085008124686,-0.61337892290809,-0.716944328477961,-0.523284295199102
"HINF_Ctrl_2 (GE) - TPM",0.331443832863585,-0.265840776133819,-0.39881944464538,-0.245101498985504,-0.333440355168457,-0.164128671562191,-1.03279261802014,0.0853115599178519,0.334664039665065,-1.01922838392575,0.438191234451519,-0.488842777892389,-0.957597774890849,-0.559367253059419,-0.48119945649961,-0.102416168136936,-0.698158912911871,-0.998906170239218,-0.399959009919637,-0.192830811533433,-0.788852125597052,-0.756254606940804,-0.798525908433991,-0.57305409061339,-0.429045881334267,-0.583149605403778,-0.845572210569976,-0.172010826387183,-0.228209275736421,-0.377330612532068,-0.562101489606321,0.399477372628571,-0.0964218613570829,0.382651103185802,-0.672664132220819,-0.536672533527294,-0.480470105640831,-0.343186804917107,-0.225032624825867,-0.314548474576606,-0.596045891734058,-0.98119768949174,-0.65418752749267,-0.482557455615045,-0.60673850139748,-0.573503466857727,-1.18144096060159,-1.01651065183626,-0.248143034508447,-0.48470770032351,-0.596870945925743,0.943210605038876,-0.749741211944326,-1.0327869631503,-0.627887633945189,-0.841595699968824,-1.0639164573242,0.76200853501882,-0.568617185560267,0.202586230352881,-0.449572905295087,-0.720743821913727,-0.649470756265971,-0.471659901559462,-0.557429658235527
"HINF_Ctrl_3 (GE) - TPM",0.196693331438611,-0.27537561224318,-0.385854717590604,-0.314166350787572,-0.75084757270715,-0.365815790954509,-1.0541736301708,0.0540545169029728,-0.393790923917262,-0.964214084867031,0.210438195200653,-0.390253438266217,-0.690791153345671,-0.320341667524366,-0.39158757128435,-0.238498060315673,-0.529324423141606,-0.769996883027473,-0.382777743409889,-0.0831170329117367,-1.11308673040267,-0.94656940068843,-0.772301934426342,-0.438709820382084,-0.460359252695227,-0.589034519698362,-0.956102548494636,0.0364101498718918,-0.103799424892135,-0.263517682107883,-0.719180508246069,0.275788472600495,0.0257939378542695,0.389287713731221,-0.773313478881931,-0.681933635860993,-0.516051176446602,-0.463050604812028,-0.325225904239351,-0.36076004627667,-0.649736902200608,-0.673910497850349,-0.691599019419848,-0.584712742404648,-0.52592805330751,-0.523549193985929,-1.0858356029753,-0.725585300046216,-0.497201318119313,-0.496436487985471,-0.489266654915455,-0.0561027477733425,-0.848679728904214,-0.746879605251692,-0.278203171457767,-0.596980115899965,-1.24347808623433,0.831930102960774,-0.717455825280716,0.0345466024601548,-0.540417262240224,-0.709382842783268,-0.64110437225988,-0.4850609849312,-0.365413754605599
"HINF_Li_1 (GE) - TPM",-0.337665069031825,-0.196056451229071,-0.487619974759559,-0.503209459963505,-0.563913604836639,-0.395484987150554,-1.16525887769494,-0.246852252256044,-0.898402323957709,-0.824584057274895,-0.549795596898859,-0.790000708576277,-0.789506376845383,-0.239309156651041,-0.417474871636452,-0.359581564980627,-0.386381253687318,-0.417298682788428,-0.523576009419406,-1.03956739101318,-0.939827946636484,-0.0544616540769692,0.104395450193159,-0.0595705299535757,-0.44491538022938,-0.628786138529626,-0.914044481897112,-0.198606189911809,-0.274006118836432,-0.577886398145851,-0.531781394995261,0.191273067401438,-0.266166870269621,0.706123618297281,-0.775791070546796,-0.807541785002953,-0.536684860919519,-0.540329612530187,-0.505787912879126,-0.394061329516469,-0.771578826341484,-0.589583330261612,-0.516880779089218,-0.47389561432687,-0.584425548094829,-0.746513806734408,-0.615955913964999,-0.662001800995367,-0.544346933937734,-0.486171896464389,-0.6097499755886,-0.252566981309161,-0.850057928444094,-0.854331213093087,-0.704056728077851,-0.596475538675017,-1.32446956141709,1.1061565442206,-0.556848135523655,-0.529263735368265,-0.571119213624119,-0.677220210584725,-0.590424449622953,-0.431542617276977,-0.436902245951503
"HINF_Li_2 (GE) - TPM",-0.401242545272138,-0.318109931893987,-0.140680144358238,-0.398746928015788,-0.889004465420057,-0.35477677458826,-0.968634144178645,-0.207722827148012,-0.868510356526699,-0.613387013751221,-0.551715582181749,-1.0462277028876,-0.800854834918309,-0.306403520559122,-0.337525490279637,-0.11719344083294,-0.4234482617759,-0.0215415161243361,-0.184650729892144,-1.33077358069558,-0.810455718518228,0.397572228835684,0.292557513440408,-0.0462320588441655,-0.426062697729029,-0.654076046952676,-0.949736259064891,-0.226797961437174,-0.300167338138492,-0.515183061947949,-0.228874626269214,-0.661987841918896,-0.273193553005465,-0.507411358382806,-0.634761056468545,-0.726406703078698,-0.5372237340562,-0.605166676495816,-0.285979990373635,-0.345323612536885,-0.418365723958667,-0.408936241575409,-0.816131920556309,-0.476568371500476,-0.564866647174082,-0.776569739390108,-0.714141565339417,-0.765015276744011,-0.509239952942938,-0.600016884112107,-0.777961236268016,-0.0650158667427974,-0.623117107134503,-0.758456494467434,-0.652883614967166,-1.09902877034627,-0.825526486449072,1.87937294412991,-0.342021388790392,-0.309528235835628,-0.380488433139838,-0.704665946186284,-0.602947923578456,-0.584365912285116,-0.414368025659476
"HINF_Li_3 (GE) - TPM",-0.00714569845883519,-0.137339419438257,-0.295921266330473,-0.394116236227727,-0.784927185966792,-0.516565683608666,-0.867841823839466,-0.201872747829448,-0.70300304832225,-0.706300122456327,-0.188392027517395,-0.925254772944018,-0.692067558603189,-0.268627394524939,-0.345363947936293,-0.180532250479548,-0.386626420794739,-0.322372856616049,-0.115945018920698,-0.495729000449694,-0.923612482586059,0.367111840518976,0.427532860828322,0.0278253899100695,-0.476539707823621,-0.582593128810114,-0.753121998213517,-0.200673149956683,-0.254773278742142,-0.223779320440172,-0.499404629654187,-0.551458157485616,-0.398888125046344,-0.188888642068151,-0.659245311011236,-0.718578753954568,-0.518675434116637,-0.610673998730928,0.050478181377627,-0.407890624543049,-0.294961723633742,-0.326828881332199,-0.574362034828912,-0.397743285531596,-0.434609325641336,-0.582437504973624,-0.709586700743538,-0.493022358553352,-0.394137176220846,-0.75979688736639,-0.49967560510201,0.370578407571572,-0.704721020595805,-0.738330092854869,-0.482621037454955,-0.372538710585193,-1.07510539318947,1.34785008372964,-0.365917404375791,-0.353260318678131,-0.425716058684624,-0.689198102092187,-0.534780291341645,-0.571994513155204,-0.515491599748081
"HINF_Mig_1 (GE) - TPM",-0.86731819855962,-0.544735916812486,-0.990806818489551,-0.635229837215377,-1.10854994046991,-0.60544410946559,-0.59988049173059,-0.925869356949309,0.465878763183731,0.231713186171206,-1.04336380508894,-1.27621993492127,-0.544209800340224,-1.60887687522381,-0.505856020337572,-0.439534826033901,0.50205934190535,-0.440761877950886,0.697112676108196,-0.770738670610981,0.299435877144586,0.400533136358312,1.74148645676372,-1.67991952878051,-0.727839122093931,1.00116366712757,-0.177072568823284,-0.634666406816786,-0.578831468170338,-1.07551852164634,-1.12520239382,-1.1075280411844,-1.06406092897847,-0.929984102064713,-0.904808758424869,-0.57571705621494,-0.482882984625317,-0.740108293726846,1.74599702747333,-0.520386423227579,-1.14530096998337,-0.582709901397258,-0.569953393772212,-0.723363935583732,-0.782423157542342,-1.1504719495864,-1.20470387561182,-0.870120544132399,-0.377836282643867,-0.81815129850419,-1.11630872961483,0.0883186838740421,-0.855836853626686,0.131039148342068,-0.356288353520841,0.522282990153285,-1.06860661725938,-0.56044031806785,-1.07012869825298,-1.69417247656567,-0.835700449453353,-0.668467795811008,-0.688554010214659,-0.852888278934962,-0.896122319618998
