"","NTHI_RS00440","NTHI_RS01270","NTHI_RS01380","NTHI_RS01565","NTHI_RS01765","NTHI_RS02025","NTHI_RS02345","NTHI_RS02350","NTHI_RS09540","NTHI_RS02555","NTHI_RS02565","NTHI_RS02570","NTHI_RS02705","NTHI_RS02710","NTHI_RS02715","NTHI_RS02870","NTHI_RS02875","NTHI_RS02880","NTHI_RS02885","NTHI_RS02890","NTHI_RS02895","NTHI_RS02900","NTHI_RS02970","NTHI_RS03055","NTHI_RS03060","NTHI_RS03145","NTHI_RS03155","NTHI_RS03160","NTHI_RS03285","NTHI_RS03545","NTHI_RS03550","NTHI_RS03555","NTHI_RS03960","NTHI_RS03990","NTHI_RS04075","NTHI_RS04130","NTHI_RS04135","NTHI_RS04275","NTHI_RS04475","NTHI_RS04650","NTHI_RS04775","NTHI_RS04780","NTHI_RS05075","NTHI_RS05570","NTHI_RS05870","NTHI_RS05875","NTHI_RS09650","NTHI_RS06120","NTHI_RS06340","NTHI_RS06570","NTHI_RS06695","NTHI_RS06700","NTHI_RS07480","NTHI_RS07525","NTHI_RS07780","NTHI_RS07785","NTHI_RS07795","NTHI_RS07900","NTHI_RS08055","NTHI_RS08360","NTHI_RS08945"
"HINF_As_1 (GE) - TPM",-0.342476972955578,0.88649452074011,1.41485844548825,-0.613338514333403,1.51552691421108,0.693429185079603,-0.112831138726279,-0.248279943564382,-0.424869187405236,0.43477955892555,0.383829700061352,0.220112380690267,0.865057314426491,0.945896709338319,0.796160710163232,0.155453168658075,-0.254992804167296,-0.159547466211007,-0.377733588172068,-0.152210161147492,-0.367144581872564,-0.439643553379886,0.0543469755751974,0.477893391409138,0.499530200142113,0.651240529523521,0.00514311567863169,-0.243138727806102,0.682961063042246,0.678811724885863,0.178723789597043,-0.596582584747384,1.41311234100265,0.529961792429655,0.445901174028261,0.211570011810536,0.0248609798607522,0.700607581136786,1.99928701684797,1.11316997406091,-0.194241585875827,-0.287174883596625,-0.901564408615523,-0.5673083458561,0.396835773230786,0.470398042526834,1.0457559248262,-0.814783830585673,0.00507522919129099,-0.0594184783364055,0.657364522748006,0.326606839950558,0.405378401372919,1.08288907383022,-0.549902778246951,-0.905740319378686,-0.244332396948968,0.442718174161824,0.909109644501234,0.299725670696661,-0.131838337788275
"HINF_As_2 (GE) - TPM",-0.00597634015510159,0.733043148566229,1.08937320434858,-0.208202500112475,1.05775409661314,0.549840385542044,-0.0976223866150416,-0.378353697529622,1.49600548785835,0.484914062442335,-0.0694360424183375,0.609822815342891,0.861737202667339,0.681851596790274,0.457616734591542,0.530175327119576,0.296340096320062,0.237205986635371,0.193443935885156,0.172104262379343,0.0366401528968542,0.167570015710644,0.510720183154935,0.53947603763556,0.956435114589669,0.384527290982397,0.0736065372458522,0.114641543620908,0.444351999015107,0.273848200167956,0.012265096339695,-0.488033803077575,0.485900195856943,0.618649371715485,0.165616842336786,0.0257183205514458,-0.020618851898977,0.972891134424323,1.41842869811452,1.47879095075174,0.547027602271274,0.633157925719112,-1.19283595466836,-0.549020326883746,0.652925662333222,0.907500649656856,1.2829212733291,-0.273617609082542,-0.126382239059675,1.13386348808113,-0.0356987690457257,0.0304914393809205,-0.673936789347653,0.795385038245636,-0.650810222263852,-0.987221372691475,-0.294547919325365,0.443386445839572,-0.439412339010314,0.17990863870674,-0.00931741289227934
"HINF_As_3 (GE) - TPM",1.28620702944918,2.04051908878332,0.692367181380872,-0.3272103933098,1.39940064502475,0.0292792698078472,0.0624000158816593,-0.123760869569447,-0.430527719402114,0.0203458041539792,0.410087661261121,1.37387388151209,1.09423726835116,1.15792959101076,0.901844223354333,0.320318332640586,0.075124186779123,0.193113285464028,-0.0304988621033293,0.184894201430854,0.141512124323162,0.872198766965047,1.21100620328173,0.557633593290726,0.374119737745237,0.119260209581224,0.798233436235471,0.711517226638687,-0.0536688650062389,-0.905896141290164,-0.280582846569895,-0.491983322749917,0.197984845731143,1.106675891634,-0.811832294515906,-0.209048590756825,0.00296272831163186,0.744814298148206,2.14251936101834,0.0192844274880015,0.0341288734794494,0.13698125420267,-0.531356895704143,-0.845487543275407,0.754844365155313,1.26317519147015,0.52741375144497,-0.0184742578641796,0.441688139886928,0.269085606907409,0.557931855385057,-0.0587887970027784,0.950045230459799,-0.171468189037636,-0.988323129414964,-0.927483153080385,-0.232362811876399,0.910982021899073,-0.754162183640832,0.597650782947876,-0.0804436165052589
"HINF_Ctrl_1 (GE) - TPM",0.91335326883855,1.11192647039308,-0.773365006530907,-0.431580601328673,-0.387377237698978,-0.992244249125525,-0.607217765070653,-0.646133087498415,1.02146701977623,0.886183563674356,0.365688717759623,-0.134118395221841,0.888351994378528,0.760367355772767,1.16615310600822,0.628584202443395,0.855293385211099,0.881725108450896,0.858435064663,0.735789749610558,0.77298411421904,0.908355900157714,0.644135132111452,1.08604640021718,0.962274745196246,0.732751132287176,0.753322274854473,0.961966505398212,-0.70812747310243,0.569706781940922,0.729105251785099,0.686506514607491,0.502639940513203,0.993456244540196,-1.13657326548819,-0.714479634754435,-0.56837910529452,1.08279862267031,0.669888531547035,0.268437705430062,0.247242641947266,0.211240330820552,-0.724733154755092,-0.494735877904708,0.778493830447588,1.07139864240629,-1.14067390438377,0.496086594601906,0.609091058713504,0.184234318446626,-1.47527641817284,-1.07817305926375,0.632069306538494,0.183362736980861,-1.10275293140875,-0.955888682604168,0.587747998774123,1.36522210543303,-1.34893599167961,0.779501957058542,0.391972830185386
"HINF_Ctrl_2 (GE) - TPM",0.000331990999018231,1.05701031240341,-0.694341891096255,-0.757188362393355,0.898764681538144,-0.127431517035566,-0.747761817395673,-0.93561527232669,0.401497774620378,1.19056413011034,0.295982723511523,0.276926809229421,1.33226647518803,1.8714805886116,1.58870619172491,1.26923258229102,0.55521426117218,0.900805122200213,0.949964953644907,0.821321360822499,0.373646354377197,0.0799962116248043,0.27284892378359,1.46671371396303,0.886990321310069,1.04924819833417,0.502581032010521,0.913984138931079,-0.352011019125834,-0.302972430857032,0.446725115978866,1.13621770287425,1.13739471577561,0.173204611627504,-1.08377257148753,-1.08040994368936,-1.41954651225828,1.76286722709605,0.456290817412922,2.10878391894826,-0.223010902049589,-0.0857363535214227,-0.495751029525908,-0.832552626693593,0.965637885009282,1.21372511067944,-1.30199506145349,0.546607198783503,0.888963200454918,-0.0167402429821864,-1.18568817344331,-1.41143275653193,0.926431308985235,1.41254916029745,-1.04679689304233,-0.894933754453592,1.22515379270979,1.27144576382983,-1.55141186548563,0.926386639254191,0.577782027916862
"HINF_Ctrl_3 (GE) - TPM",0.306919815645165,0.526893998508983,-1.00974689329092,-0.711900678967627,0.533431080538349,-0.559308768996598,-0.893870407926233,-0.926779106739459,0.31563463453319,1.42749134547008,1.20972189193074,0.390787103996282,1.37001962533179,1.25022794855106,1.12811817088115,1.03436007970712,0.908306405715412,0.989973160249374,0.834730989740518,0.990314185898066,0.845259331866316,0.176626834959378,0.442393914545672,1.26315570250107,0.926930415682559,1.46236696631263,1.18364586786802,2.03836339287318,-0.719114068334966,0.0299947749623042,0.363759235446027,0.886775640517145,0.333376922489934,0.795008695728557,-1.18949358908456,-0.938898443635586,-1.19373967808313,1.17065986026668,0.23628142041831,0.82446339532221,0.0536038718787259,0.173394917496717,-0.723002660931949,-0.779617785505329,0.887986798440547,0.972958289779187,-1.62765714006592,0.380562021339519,0.683105911639014,0.102821906759589,-1.17896850622756,-1.32164828444039,0.133544080058488,1.81579843723613,-1.06712407532409,-0.835814406862916,0.747330276036754,1.10117569863305,-1.43397475151448,1.03287693870109,0.611921471238676
"HINF_Li_1 (GE) - TPM",-0.0150364948723008,0.722009592948764,-1.63285437251523,-0.581957288685766,0.759417086887415,-0.721396131611351,-0.971124060174706,-0.786226053985469,1.00384381374227,0.577256373810242,1.50016426966223,1.25627403088754,1.01110167449161,1.03866857196216,0.620756505744382,0.692195300421339,0.993551242809023,0.78111804322213,0.817610466598049,0.940299074376307,1.05716848064478,0.586103546199993,-0.0187263506370038,1.11538766692274,1.24979019232342,0.782049641745298,1.56292081450246,1.93493122963254,-0.618238640764621,0.996574336971573,0.953797433752408,0.838342080902732,0.441379090633452,0.47767472730723,-1.27759717929876,-0.942262208938409,-0.767199421033997,-0.497472242667261,1.01498164157684,1.19514713536138,0.441815238588019,0.73136186080952,-1.02481801014011,-0.843724473968826,1.33189502578193,1.3105749992505,-0.55383005076151,0.417057067748123,0.443773966569968,0.353211195424496,-0.908264390741225,-0.475724920202843,-0.0670228314694368,0.0308178439079948,-1.10706572450707,-0.978435876579811,0.726406971636426,0.64277758807244,-0.944966209630788,0.344167650029891,-0.0421600901431239
"HINF_Li_2 (GE) - TPM",-0.318685679646714,1.53602354837781,-1.20664075458721,-0.191443610764903,0.684343208097114,-1.48158749702843,-0.840732414868973,-0.747159349586246,-0.357972746980576,0.272236392924781,0.368946160778413,1.2835838995581,0.614575745749643,0.229660403118577,0.328560375325105,0.232457360337908,0.60238797181295,0.383751339341922,0.86470448616516,0.497759649300604,0.726052219753995,1.3322325371551,0.134152308158965,1.06603129959603,1.16606032585286,0.528999113738488,1.18301657168738,0.840209285351022,-0.886991533730217,1.23896445995223,1.43827396864763,0.706349323136533,0.615451498712418,1.40966802086766,-1.10349428795324,-0.710755427024064,-0.80572526420713,-0.354993468823338,1.05212760010508,0.350732143314845,0.280294292728919,0.677819918850871,-1.54286974761803,-1.05466264556646,1.56354543557811,1.17930352183719,-0.638741376174845,0.703131090888711,0.125665493371059,0.746546308576696,-0.266831726830874,-0.28243932313395,1.14903525603672,-0.115995180524708,-1.02452072165255,-0.848644717153761,0.157290746857279,1.25076872070907,-0.977374298574459,0.297373218075461,-0.228370702759314
"HINF_Li_3 (GE) - TPM",0.0794478207876277,1.38424269426925,-0.970843968336338,-0.295689735666361,0.513065045784976,-0.769757843580297,-0.853503241420668,-0.61424080678271,0.199142513813548,0.25135116677523,0.615101440845751,0.691727716739038,0.500124339527254,0.34945020785024,0.73024978473922,0.410116748256564,0.563369189795345,0.662626313225197,0.58495334259775,0.656813310756845,1.04710767742223,1.14752336374687,0.132696558631167,0.570544215252162,0.828518320862879,0.861205598507151,0.658573315295566,1.06116061157236,-1.04164846165933,0.716434255979438,0.788314289525648,0.932389486255939,1.13265630102055,1.13561959487335,-1.10165040200054,-0.482246219901548,-0.534058536879979,0.246392652156498,1.06828851486871,-0.151427643070912,0.25923494181398,0.0739416159994963,-1.31099782498463,-0.867701435042466,0.694624948448262,0.600959648502178,0.0351797708119097,0.363210514674949,0.31456813980018,0.154515079898779,0.0795896014196779,-0.221824101123729,1.25372233081663,-0.101724612062772,-0.937471143688893,-0.800941955879294,0.203410966287974,1.27424647574827,-0.474523824426998,0.667766837389058,-0.104096751848424
"HINF_Mig_1 (GE) - TPM",-0.932122906553421,-0.757439616287514,0.852177076540232,0.781230279949366,-1.7942453608252,-0.0278382717608279,0.498166855372815,1.60473179059734,-1.57068457343078,-2.03456223060816,-2.04984363810542,-2.14967194669443,-1.80961127106072,-2.07472333728703,-2.11055769440769,-1.33358009746694,-1.44782953813288,-1.49121566886014,-1.5050439968489,-1.4169074486629,-1.39527139790112,-1.45616448398378,-1.74753265921944,-1.66171493337388,-1.77786145475727,-2.49434223253586,-1.97678030231663,-2.02598912372206,0.308313999675927,-2.17922437199578,-1.91752309150395,-2.04525572744724,-2.16536715744721,-2.68202488414852,1.25174951073075,2.1946944508497,2.05820661459047,-1.8839095074242,-1.67276115133338,-1.51271349136648,-1.44446018911532,-1.40381376920627,1.50710422743196,-0.218820324782044,-1.72780953001852,-1.78806861059674,1.61825675824078,-1.03547013151079,-0.178003318532889,-1.2197241777868,0.356848842993096,1.09635214076424,-1.05866806458632,-0.275779244960525,0.949842890891255,0.532560160851044,-1.81843760938604,-2.34190109791044,1.85321454933531,-1.70278932992385,-1.70774108014783
