"","NTHI_RS00705","NTHI_RS00845","NTHI_RS00945","NTHI_RS01220","NTHI_RS01625","NTHI_RS01635","NTHI_RS01705","NTHI_RS01750","NTHI_RS01755","NTHI_RS01760","NTHI_RS01860","NTHI_RS01910","NTHI_RS01915","NTHI_RS01920","NTHI_RS09535","NTHI_RS02265","NTHI_RS02270","NTHI_RS02275","NTHI_RS02280","NTHI_RS02285","NTHI_RS02335","NTHI_RS02340","NTHI_RS02355","NTHI_RS02360","NTHI_RS02365","NTHI_RS02635","NTHI_RS03030","NTHI_RS03085","NTHI_RS03235","NTHI_RS03250","NTHI_RS03255","NTHI_RS03345","NTHI_RS03530","NTHI_RS03560","NTHI_RS03675","NTHI_RS03760","NTHI_RS03875","NTHI_RS04025","NTHI_RS04400","NTHI_RS04810","NTHI_RS04955","NTHI_RS05170","NTHI_RS05275","NTHI_RS05600","NTHI_RS05605","NTHI_RS05610","NTHI_RS05945","NTHI_RS06135","NTHI_RS06200","NTHI_RS06275","NTHI_RS06320","NTHI_RS06680","NTHI_RS06685","NTHI_RS06690","NTHI_RS06730","NTHI_RS06815","NTHI_RS06820","NTHI_RS06825","NTHI_RS06830","NTHI_RS06835","NTHI_RS09670","NTHI_RS06950","NTHI_RS09690","NTHI_RS06960","NTHI_RS07830","NTHI_RS07835","NTHI_RS07840","NTHI_RS08340","NTHI_RS08375","NTHI_RS08750","NTHI_RS08785","NTHI_RS09030","NTHI_RS09110","NTHI_RS09115","NTHI_RS09120","NTHI_RS09125","NTHI_RS09165"
"HINF_As_1 (GE) - TPM",-0.174077655955698,-0.439671771525778,-0.138188888461576,-0.463441735165737,0.17900750102122,-0.54893430074314,0.0739321956460266,-0.386245432857083,-0.393840314900963,-0.345844269717214,0.237842883066978,-0.250033793565784,-0.261269970936038,-0.589805666923834,0.736004899146383,-0.275768482609108,-0.657349626591641,-0.687219733283884,-0.611853720830311,-0.539007168890451,0.575325660513806,-0.188894262669396,-0.603576376902223,-0.48758128940951,-0.530414305194201,0.289828476453779,2.28362127395757,0.343644334726453,-0.0342926085405052,-0.407652397160005,-0.525496650006667,-0.513555294438496,-0.501732065505548,-0.297848615205443,0.493688306112328,-0.172992734462073,0.458311787335606,0.258193384711853,-0.0696936260236951,0.887847487417684,-0.4770019297821,-0.111176349065085,-0.506922834326103,-0.419895271672419,-0.401025247058638,-0.458325633175879,-0.176102766785045,0.943926208903605,0.185177402234502,0.757946800626063,0.13179468655656,0.137701011312793,0.0463994794552545,-0.171704455314943,-0.0363998492664992,-0.527362338079709,-0.425040976557502,-0.503561162403413,-0.621928414154417,1.27765542761941,1.72992565026625,-0.0171083598439746,0.11354862805864,-0.164884781890512,-0.44016432751525,-0.429601518577474,-0.381407420972106,-0.0549098702604479,-0.795024143904017,-0.314488587739702,0.249304613790051,0.368061440951336,-0.614376662017566,-0.693691244747602,-0.726255746614733,-0.426482706671581,0.183089065367096
"HINF_As_2 (GE) - TPM",-0.174077655955698,-0.449114352513488,-0.0373662622803082,-0.469860092644796,0.404347279625271,-0.393764601490145,-0.0465078865498261,-0.35042476014515,-0.367662560008538,-0.420754129207299,-0.100464858142197,-0.266276514310065,-0.274705877734262,-0.438614513913588,-0.297006429985073,-0.024360717583266,-0.677241833839661,-0.601758594772169,-0.61585457288916,-0.543968578010905,-0.0594937533986939,-0.219250096109911,-0.454426486547363,-0.452897781069399,-0.371022345431799,0.022930330917772,1.26725323429541,0.088409871489018,-0.208151491544248,-0.325638054501406,-0.52977730058565,-0.506686016705158,-0.267587514168883,-0.190283053801122,0.214555804114558,-0.152163543538913,0.157872193066469,0.300461935885232,0.0577521089780782,0.598469367698295,-0.565138525716024,-0.372218718969037,-0.503904857042006,-0.424497524863457,-0.398205119166456,-0.432005566211147,0.211870772997476,0.494535760678452,-0.190660016219908,0.345098598220865,0.0947990432744413,0.395327803892091,0.447576865213332,-0.326301192077065,-0.181359290384497,-0.543186243414406,-0.493987376859101,-0.554097282405878,-0.550119092795354,0.327090483229443,0.350126861950332,0.0328230578466754,0.142928723281959,-0.142759608480996,-0.454097188848878,-0.443733104981027,-0.474643462309348,0.0219086366534832,-0.665988456873748,-0.295375940605082,0.271436832478504,0.24093036368226,-0.592416414883519,-0.823036971496137,-0.800533930853831,-0.232122169093108,0.0574412084509647
"HINF_As_3 (GE) - TPM",-0.174077655955698,-0.411775824080534,-0.109424716927774,-0.550285535007481,-0.0669284537788772,1.05635681890123,-0.0425444200694445,-0.347413284882517,-0.357629364894572,-0.428867908339376,-0.546323296623904,-0.569549492560817,-0.436964857493908,-0.587012163331684,-0.410328243804787,-0.229882493676861,-0.432820407033562,-0.479776621426965,-0.603148508103304,-0.55648840435753,0.29823246552139,-0.196274898188773,-0.249991983034505,-0.273669115727069,-0.273267008641487,-0.52851010877443,0.241905436288523,-1.0877610787659,-0.428341651121217,-0.295002225984831,-0.418929357183462,-0.541492097828914,0.0177124519872242,-0.734972711444437,-0.223073937613542,-0.227804807348613,0.157073397843211,0.604581307095701,-0.113397415802867,-0.188304923436567,-0.566487258068242,0.475665958369388,-0.510960281302095,-0.401774730118795,-0.422403207311128,-0.434760310452647,0.182905179934623,0.692036173577149,-0.434194360789019,0.358979176081997,-0.663424831963104,-0.483824949713106,-0.531255122472654,-0.397470114225844,-0.403756405933756,-0.584029589378785,-0.678769405496836,-0.56561460941799,-0.769356604622566,0.874877987306176,-0.108657448340351,-0.386938415387838,-0.348148788127441,-0.350556795060861,-0.485677108353867,-0.46616339540337,-0.598103094660716,-0.128125418947392,-0.758755091853598,-0.316482866322779,-0.233637951730186,-0.523460263962935,-0.437085429982703,-0.555478279199121,-0.617364210084722,-0.340350415020112,-0.640122808922889
"HINF_Ctrl_1 (GE) - TPM",-0.174077655955698,-0.44581061539445,-0.776798269102638,-0.446127492149052,-0.509378001913739,-0.206390327956407,-0.57387581457788,-0.517844539231352,-0.463017402891878,-0.620513707992315,-0.132297511091515,-0.847762554114615,-0.660688358620533,-0.648690273937852,-0.679664515044093,-0.79668552225929,-0.685984158378262,-0.563586581996477,-0.587859701536948,-0.534029958660054,-1.16117025419952,-0.471804630420582,-0.876673983125039,-0.482523995563309,-0.444597567534732,-0.409337895431031,-0.955574313656156,-0.404144915121859,-0.317889493628721,-0.232204268324986,-0.380736586715393,-0.505814084988061,-0.69915651059294,0.476790094593464,-0.04712466391299,-0.623769285244058,-0.101630835468304,-0.566572504879086,-0.584647707209551,-0.529045436889003,-0.386273261828051,0.616390716525763,-0.496532186743165,-0.548417994443669,-0.532286546238627,-0.518616503807153,0.14739596920178,-0.477467422387237,-0.685263142849135,-0.492841475630844,-0.623659778004223,-0.910693086865426,-0.584195942424954,-1.09725899804174,-0.539606952153456,-0.618928842567817,-0.611666662017405,-0.636130568141893,-0.780245527748568,-1.22670352649767,-0.614014740503996,-0.771268164412277,-0.48491711161671,-0.369598199097818,-0.506363068554999,-0.640130622333963,-0.615115316192894,-0.676248656299212,-0.490333322366618,-0.350864071656969,-0.57602709020652,-0.0180386257883801,-0.0830601534156485,-0.726526503445961,0.0868745819858432,-0.287762626972226,-0.529788224187591
"HINF_Ctrl_2 (GE) - TPM",-0.174077655955698,-0.48041074573619,-0.804983451201257,-0.43423534053884,-0.558005954268864,0.242028358051829,-0.858923304242124,-0.56680150570028,-0.556635950289298,-0.594776810841,-0.63743672928077,-0.338941794486833,-0.620584976348589,0.31010770185454,-0.17943343401082,-0.701892529898073,-0.607946582884287,-0.694402722047309,-0.637109074977257,-0.567186368132161,-0.586460329465741,-0.574267736047731,-0.46892286799524,-0.265100572318235,-0.488251845143998,-0.253064362206146,-0.967113482993771,-0.688710955847709,-0.385693930289164,-0.643505693558465,-0.512911655915496,-0.536580497522474,-0.875683760948845,0.0719808359689001,0.168863823464345,-0.747116811058566,-0.340438724562904,-0.993832668630582,-0.661908729003471,-0.910686449549157,-0.682505962340243,0.735456781134644,-0.521293718142722,-0.577678086057368,-0.558644737392712,-0.531306628260734,0.217076710506515,1.01481432633219,1.42479507905669,-0.351049446920902,-0.307308681965193,-1.02310865335919,-1.17833683347915,-1.52874944747074,-0.560192796101006,-0.633504810236372,-0.530959534623222,-0.650840652126432,-0.752179772833797,-1.61042600757736,-1.5978416452324,-0.0446947304011258,-0.627189301063441,-0.550386285463341,-0.54605695942473,-0.572129974384228,-0.552741909205447,-0.67742168411739,-0.422896735639388,-0.376277520956279,-0.75106414653463,-0.745951351269393,0.229992244734246,0.797083593925511,0.11361157943441,-0.230084777041195,-0.273364324710128
"HINF_Ctrl_3 (GE) - TPM",-0.174077655955698,-0.46544691763364,-0.969350858025167,-0.413144009524477,-0.717223489964893,-0.0659572639577776,-0.877105537997022,-0.633199739805972,-0.542587597358754,-0.641740089777154,-0.202763279566414,-0.496038877498119,-0.549026922821792,-0.610320402279723,-0.75063596740301,-0.868491834593608,-0.75315716014745,-0.724786999554826,-0.644820036825281,-0.567120320230267,-0.944163936471909,-0.69322506512978,-0.715478939387673,-0.492533283278761,-0.566205600506317,-0.591032202709049,-1.11110093247858,-0.677039720412892,-0.368863759720657,-0.560284745345243,-0.467436393697104,-0.514826728827125,-0.826157397107184,0.328260934255014,0.211429500577265,-0.7200663764099,-0.0783743310160094,-0.833410427726819,-0.632593897602093,-1.15448838696878,-0.595372711067733,0.86718653820409,-0.507471260259858,-0.591261482561536,-0.555137664567952,-0.516884447814082,0.407137663896037,0.0370871034025409,0.131563906402717,-0.218205925990678,-0.44387028268752,-0.914975634087791,-0.930115093939215,-1.34744168019773,-0.521526246913694,-0.647731042926571,-0.517957979006168,-0.651677423893378,-0.923552570597189,-1.64324942809442,-1.30090652252002,-0.276375368855659,-0.583998493850552,-0.482654378224184,-0.530678842197535,-0.622164589559159,-0.512939874129523,-0.725835321011122,-0.35160078491374,-0.376040817262962,-1.03756063676181,-0.453180451544143,-0.676856304325956,0.329787760938971,-0.0464506891972697,-0.284509786553779,-0.319285682310366
"HINF_Li_1 (GE) - TPM",-0.174077655955698,-0.0963751889574006,-0.438037617443203,-0.487490399394274,-0.0362912845672763,-0.6775281171954,-0.91494129210218,-0.030110132240783,0.0442528798760941,-0.138367284848004,-0.123091456384202,-0.322466915023752,-0.446100823450192,-0.615846230184575,-0.567793894953794,0.0221381791490841,-0.115798435352499,-0.162032397450104,-0.301456822788619,-0.315611942909093,-1.00521814878362,-0.674164365817559,-0.500540012767769,-0.531195809378225,-0.516709865012876,-0.755220966989751,-0.523067159689181,0.284594081313851,-0.316554542777455,-0.430476168724281,-0.460832343897829,-0.52934433604435,0.817890147482592,0.346117391183724,0.347003970900039,0.639658871554498,-0.0901195841659124,0.941285198036525,-0.681773877321876,-0.00609853426133396,-0.253361072507777,0.824618201016377,-0.513206669614849,-0.18422138979503,-0.158884703516669,-0.157455492711597,0.705948926639497,-0.67829923615241,-0.216103676511558,-0.216490269161387,-0.263339762120346,-0.711392997292206,-0.506482472559676,-0.745145935698319,-0.515662558801886,-0.614242121560816,-0.554836139168188,-0.650351427641504,-0.82372327027589,-0.560332210182967,-0.698963350626829,-0.783204328473644,-0.568984010690119,-0.340257277127266,-0.543858776433286,-0.650080335089906,-0.601909858785543,-0.62701833614958,-0.374049997797336,-0.350906142957435,-0.886416156451076,-0.145403486737701,-0.556130092603416,-0.290460080845945,-0.314600165142006,-0.853563489108247,-0.171555113338408
"HINF_Li_2 (GE) - TPM",-0.174077655955698,2.31683034324849,1.16997456692796,-0.471128603701015,0.353050669101072,0.5140806340489,-0.0791773466001029,1.7679837355912,2.29086953303418,1.90752021345199,0.212136965268584,-0.391607748232167,-0.362931576937817,-0.601296661403062,-0.887768733081967,1.03313333096575,1.85071110799316,1.20531668829384,0.622252595928959,0.477194136174393,-1.02485216380898,-0.719588583081895,-0.718968654847666,-0.537847419479542,-0.246633595760171,-1.12892816157504,0.668169178383634,0.523085383681907,-0.280650457168729,-0.366996809527567,-0.460211020867848,-0.48603401169959,2.11752042624672,-0.300927564947424,0.0143136316105132,2.3471584802687,-0.267330755464942,1.52352299232974,0.256041250943986,0.580724086898731,-0.627138629091339,0.612781749832703,-0.535090302395765,2.26482591737639,1.91164144840037,2.1085132620437,0.781619591706078,-1.34192193152533,0.0210442220068733,0.583013456264488,-0.533767672667834,-0.594935741228228,-0.710260004989613,0.881819667505498,-0.444426533827073,-0.620308595824512,-0.610021832211012,-0.613875148925661,-0.856958447966779,0.886261926899844,-0.888220798332678,-0.748120258364343,-0.403353640607619,-0.264009284941081,-0.516838734832637,-0.565394778547088,-0.553956001265521,-0.0268512484529797,-0.487491911150728,-0.305094940563919,-0.628522563580396,0.383270000106777,-0.275525489350055,-0.581571515203716,-0.311212969058242,-0.714540718998112,0.36278705388159
"HINF_Li_3 (GE) - TPM",-0.174077655955698,1.95060007476926,1.23900369206088,-0.442125670652155,0.123369115008166,-0.329484930243219,0.0397856534343007,1.68928781634958,1.83085598410546,1.64692083714392,0.148335287680646,-0.73000980179229,-0.465531194566526,-0.561311915551169,-0.528462216289113,0.967239417672435,1.44120100095902,0.679228624474715,0.320267550346374,0.244209525101114,-1.23190889667326,-0.622603885537255,-0.761005334986448,-0.555000259338417,-0.459440581229008,-0.70452187765513,-0.139699228097848,0.267639293371779,-0.383517683582014,-0.405002044264347,-0.472847779341577,-0.526159316441307,1.51207256905169,0.0146904695717016,0.17411258968278,2.33534286438657,-0.0752024671187718,1.58443236136272,-0.20307749566527,0.508859753404241,-0.479502020287143,0.729991334877183,-0.528094559817544,2.12772790877145,1.87150563123531,1.85176884716804,0.33871490876022,0.128908532493427,0.0629940935723033,-0.2473790292893,-0.118546549304268,-0.73028452254319,-0.220490897119032,0.868110480340509,-0.343105316173304,-0.598030975098294,-0.598327556229016,-0.634167344725376,-0.817137146594288,0.695962566161471,-0.18802262861428,-0.496960656094662,-0.486882944695169,-0.319260246643713,-0.528397857239169,-0.622463378068776,-0.572295279744093,-0.125895111918275,-0.478995798478404,-0.324747166910748,-0.657188123572404,0.817313787907075,-0.440243366940128,0.00655870360291864,-0.296554356375619,-0.679203910050831,0.19160037197865
"HINF_Mig_1 (GE) - TPM",-0.174077655955698,-0.421661217781913,0.074055798675526,1.62031997263071,-0.644675636384906,0.0492360738732706,0.402591770422061,-0.527478217339693,-0.723356950177089,-0.79636186307728,-0.229727708960051,-0.753356581377034,-0.494562030290215,-1.05631665605983,0.577786411105512,0.642334593031741,1.08131015757239,1.47405904970759,0.977199047297185,0.76972440267824,-0.295740170494094,-0.704623821496826,1.09945351864108,0.66070105566738,0.725601027204151,1.96875448755588,-0.678174422278432,-0.797027417315837,1.44694045194841,0.572721662378432,1.30561173165229,1.57815598955446,-0.228855559405702,-1.64458078864597,-1.6204392296227,-0.603473799304693,-0.432480770078476,-1.1579916708597,1.19643306855082,-0.958620369186464,-0.952465101837551,-1.54043656969974,1.90960591147602,-0.525410509422888,-0.405575081236253,-0.399107424772936,-1.21911820755888,0.649775240876082,1.36038535546557,0.162655867424264,-0.315120144029051,-0.678129984753741,-0.656620240976527,1.53455115851616,-1.24311772683961,1.47651062527289,1.30806260623049,0.701934444021434,0.945880177903553,0.702917295444695,-0.581280692814355,1.0303755375434,0.0164930897723843,-0.0974005793440175,0.216561009180532,0.253915287749009,0.704565834256576,-0.191650575247681,0.10084688025277,-0.29725896564945,-0.416541580080377,-1.10210286821995,-0.772777567283422,-0.606052490164185,-0.346223997183534,0.17565643639148,-0.0487046842202041
"HINF_Mig_2 (GE) - TPM",-0.174077655955698,-0.425351512712531,-0.234239879967469,2.10793814707069,-0.779811653786195,0.147268455476307,0.169459765822055,-0.556491426367349,-0.69874968091131,-0.783370967711729,-0.415053739848328,-1.13161935377421,-0.816906396529692,-0.898340237767773,1.35948090271273,0.767682803977018,1.14307783404565,1.31222247250555,0.857942735610468,0.54531484802039,0.0810141528806242,-0.185462428647285,1.58158509708336,1.19609406737662,0.660495854512093,1.46178765455174,-0.140123321978554,-0.0690413571360067,1.16158868439455,1.03720319794304,1.95042978876218,1.26725673158371,-0.32088438017721,-1.73309986769265,-1.45520846918199,-0.655836289758584,-0.427998339172187,-1.23568720706723,0.45096421525997,-1.3486125823705,1.4741813682722,-1.3905302255473,2.39119266093619,-0.560989983263018,-0.425772067537408,-0.434384882980075,-1.32722902299816,0.193498625539937,1.81217443592765,1.33936910207871,-0.445558466629459,-0.83808986944551,-1.19418388019798,1.44364069195206,-1.21389236397626,1.31480840865426,1.01111463991735,0.513721761304846,0.608831078219085,-0.188234393346152,-0.720993824868735,0.417865532858388,-0.169787912619995,-0.122047961737353,0.696033255078103,0.598186654948057,0.599715738227825,0.0141979177546274,0.735141676588679,-0.334710544152873,-0.784515781825294,-1.8486226705879,-0.657269672198963,-0.0836579956742815,-0.719627259416183,-0.302628837660835,-0.585452040607745
"HINF_Mig_3 (GE) - TPM",-0.174077655955698,-0.431804851640265,-0.359589583137455,2.07957652869747,-0.941868802301189,0.459227691106811,0.076696532439745,-0.567945080644548,-0.671345209598452,-0.856223326756184,-0.614040529911305,-1.1475375450516,-0.81946957563867,-1.04365759811473,-0.307406476187136,0.720479112422722,2.00779338381136,2.1191197727042,1.13162802450711,0.584810765518167,-0.355789310149817,0.32408902506956,1.59758741585971,0.817051383565508,1.072184299977,1.00231093514638,-0.0158011082571776,0.202432685738146,1.62359226417628,1.83569003181617,2.22721449753808,1.15328859731027,-0.540161884051713,-1.71542224877594,-1.33185669917778,-0.72733087363222,-0.43402568380668,-1.249241838466,0.0506883751156538,-1.61287598528757,3.08021404900731,-1.45728845634672,2.68454728227861,-0.545275260869505,-0.436722499877191,-0.447501958224438,-1.28219843794279,-0.411715872771735,2.08657531079994,1.07614367298456,-0.385548965578318,-0.759158194524948,-1.11297571629983,1.5217975927735,-1.17593149446258,1.68227447837404,0.767419522981895,0.498576275824055,0.835827542785368,0.428499120842358,-0.607117335260206,0.506589227098298,0.256393237432692,-0.0044225991382879,0.777925286849853,0.928556422371954,0.909296373160856,-0.118747674938484,1.01811549278677,-0.339036549656781,-0.398403964447199,-1.81414580810061,-0.985399684391405,-1.12833354111287,-0.954231756953159,-0.577553547401524,-0.443179976409223
"HINF_Nd_1 (GE) - TPM",-0.174077655955698,-0.434686447405894,-0.730771419238535,-0.459067713681835,0.162431428603846,0.260924262878682,-0.0609774903265827,-0.559098114564754,-0.515175642625906,-0.594468472479063,-0.980002682151958,-0.387707453416132,-0.285651970768092,-0.437123742186043,-0.69996585171733,-0.6897655578191,-0.801608772381497,-0.732586507963052,-0.525781058062866,-0.526204696875492,0.0705317468609288,-0.166712537364881,-0.368077241102773,-0.375456013187366,-0.272608660267624,0.157730367952509,-0.265016128797729,-0.340288623128212,-0.327366276073806,-0.64421640406479,-0.586991637020193,-0.569420851284351,-0.706647544521756,1.86232540893504,0.936736470373347,-0.686651546126973,-0.523485939903356,-0.754396198431545,0.0424350784951828,-0.647727899941468,-0.627601107604593,0.25067607998161,-0.498902485872438,-0.496859235423914,-0.490355516268995,-0.462068345717359,-0.240702681717274,-0.53147954923852,-0.543242648380494,-0.362436991709373,0.703720437986269,-0.129293459863118,0.0517969670010274,-0.810201656816449,1.20617405524571,-0.553772690092712,-0.629498152533466,-0.549489634755932,-0.724565886336666,-1.13888887880994,-0.775482824554998,-0.607455352776211,-0.544505095534437,-0.45380785551413,-0.399240617857056,-0.432028820552862,-0.50828007794342,-0.38300480641932,0.89557235495803,-0.305871627191515,1.15514178123678,1.07352052636019,0.799350695428816,0.659116379172773,0.201442804006955,0.201338458358128,0.74556276020374
