"","NTHI_RS00135","NTHI_RS01205","NTHI_RS01510","NTHI_RS02300","NTHI_RS02835","NTHI_RS02840","NTHI_RS02845","NTHI_RS02850","NTHI_RS02855","NTHI_RS03225","NTHI_RS03305","NTHI_RS03310","NTHI_RS03315","NTHI_RS03515","NTHI_RS03520","NTHI_RS03905","NTHI_RS03910","NTHI_RS04050","NTHI_RS04180","NTHI_RS04185","NTHI_RS04190","NTHI_RS04195","NTHI_RS04200","NTHI_RS04320","NTHI_RS04870","NTHI_RS05005","NTHI_RS05685","NTHI_RS05885","NTHI_RS06035","NTHI_RS06090","NTHI_RS06095","NTHI_RS06100","NTHI_RS06105","NTHI_RS06110","NTHI_RS06445","NTHI_RS07315","NTHI_RS07630","NTHI_RS08545","NTHI_RS08870","NTHI_RS09045","NTHI_RS09315"
"HINF_As_1 (GE) - TPM",-0.310581839935993,0.222468156917988,0.51177017312298,-0.357408622329274,-0.308467525077404,-0.663051169950541,-0.727526725447623,-0.534936938957005,-0.654979744780555,0.954244488356317,1.41672757652231,0.676803989093562,0.859286848205067,-0.065413103740851,-0.105637954122116,-0.311064650974443,-0.394201991869921,0.045003181965995,0.133746715787064,-0.0740464077205476,0.372646377545313,1.02377113025742,0.0912544057343425,1.13423568848023,0.517736553217992,-0.865303431221216,-0.13202026850872,-0.404631074578812,0.0247479652590739,-0.756452534841803,-0.538709995264666,-0.310283368225151,0.0243542484871775,-0.495361527942895,0.606849687070808,0.363881878592268,-0.744928403621859,-0.680341386202969,-0.379532665478733,0.0287682013308394,0.830896409677823
"HINF_As_2 (GE) - TPM",-0.111087628711854,-0.145814515687279,0.556294802196163,-0.842389814874258,-0.324428556492308,-0.715587405985872,-0.721297567004203,-0.657938716604142,-0.858295256923122,0.823610041261345,1.72685330025748,0.623134032782774,0.00356272158143673,0.268659861209311,0.0723756669867005,-0.0531116047685502,-0.228382543106471,-0.324443852556159,0.159127020656736,-0.038371406996694,0.182583344451351,1.32661893120609,0.230428660526634,0.990127978859525,0.194391551423449,-0.415018038854292,-0.122748928476569,-0.767836223629567,0.150728381036036,-0.988084341793355,-0.773780285252714,-0.383230734005842,0.279846880875848,-0.480033176430504,0.202031206356939,0.156373772915041,-0.596417006263697,-0.644846467966945,-0.0846205791195592,-0.414424143345313,1.7269792654172
"HINF_As_3 (GE) - TPM",0.502308078964363,1.33837317373886,0.263839691851306,0.362606766271635,-0.106536581013259,-0.502292145476897,-0.977687875756275,-0.867280488249698,-1.06372805201579,0.848474397578745,-0.171442424063873,-0.0179293047241523,-0.11796462593955,-0.234474051983021,-0.453832810614179,-0.698829768010835,-0.736337940035301,0.328434395169846,-0.232025976011418,-0.812894649403018,-0.241382781937748,0.411011765112503,-0.466308322572374,1.7908236842454,-0.333625097203519,-1.78411440588363,-0.341700705752532,0.338499031414084,-0.221828163883107,-0.960515059620636,-0.784423183461034,-0.718626723850336,-0.562322270025505,-0.828894118149621,0.31742483099611,-0.181971768352505,-0.136033602019127,-0.400454784202603,0.136266170232406,-0.707521009648384,0.279497414480495
"HINF_Ctrl_1 (GE) - TPM",0.867376694986934,1.41519651384938,0.15659201873067,1.08047061099181,-0.387628531677807,-0.685872360447755,-1.13957651119213,-1.25499683695519,-1.02238872531832,-0.439592583729578,-0.644627067155587,-0.000339724661158928,-0.448693769750912,-0.185211885219322,-0.224718620141888,-0.683355267786746,-0.674960795450727,0.765501435101538,-1.20039714907673,-0.907216741304049,-0.867359460052077,-1.80299097096915,-0.931978149071766,0.627787297220078,-1.30067402969997,-0.910054995211248,-0.256573800298595,0.867104552320485,-0.973576028975376,-0.928141908620387,-0.845911416933924,-0.751940378042291,-0.872362716503977,-0.886306033743008,-0.418886774787672,-0.68535475770886,0.813039060332878,-0.826721173611928,-0.463185863915237,-0.731195304313786,-0.422666793165368
"HINF_Ctrl_2 (GE) - TPM",0.88835058011611,1.27702944916644,1.05838460868156,1.19022322395672,-1.0136382799148,-0.773218261896627,-1.47124310851992,-1.09281510104086,-0.698342682437011,-0.615258867713125,-0.815836857039736,-0.505624332018231,-0.737659822675202,-0.449161198885252,-0.401533988013609,-0.704006719928628,-0.6825138352505,1.85216241177457,-1.39666478477967,-1.13645329906836,-1.96912293574289,-1.34314970099721,-1.20021179418891,-0.210298787577832,-0.910688974665635,-0.0706926709755278,-0.432410234346447,0.86515512103493,-1.08342042845445,-0.972568206988593,-1.00310017633618,-0.842067667641705,-0.919278953226864,-0.970123668829722,-1.0213686056233,-1.70597595787357,0.786323373948866,-0.705377523515945,-0.814302564885988,-0.602381071468357,0.759295054727976
"HINF_Ctrl_3 (GE) - TPM",0.1839604514495,0.320503598460218,0.686243833984841,0.810272930317184,-0.601560468415359,-0.818273165071578,-1.03545108361493,-0.605902145526847,-0.843086759505472,-0.736638568178066,-0.651183512338841,-1.01320719335866,-0.473321935454846,-0.312944775454905,-0.28247743784558,-0.739857667464651,-0.664085258799265,1.03499826249902,-1.460355404046,-1.26664951814377,-1.59803241552182,-1.44968803097806,-0.967815622589652,-0.473510600007423,-1.10552350156098,0.14826269592352,-0.292606968568214,0.561535935659964,-1.28207971150276,-1.01154359963156,-0.885549557985021,-0.791777700883101,-0.918038628075381,-0.910915944118854,-0.746904342264416,-0.90386511611186,1.18189049670038,-0.618330640564021,-1.33262224475974,-0.497298219418161,0.764088257886242
"HINF_Li_1 (GE) - TPM",-0.0298228052157018,0.137250229243124,0.807735502508694,-0.0929091713883282,-0.532689082742164,-0.800770100102241,-0.737488907668531,-1.2372245266992,-1.08726754309198,-1.33535569190986,-0.451612160932663,-0.267416301534987,-0.69592314679493,-0.241722893872343,-0.194775158853662,-0.469942169303019,-0.57557018457432,0.014048944157308,-1.02150373832594,-1.01985511106092,-0.626959708849264,-1.10913189611832,-0.81724518665691,-0.234052128554707,-1.01024439529085,-0.177505705447957,-0.211395735226216,-0.0497233826677921,-0.818002493691974,-0.933595532290746,-0.884461297429954,-0.934502667893291,-0.91467026254525,-0.792692648715624,-0.517783117760661,-1.03740280132948,0.848515649874484,-1.10041659995034,-0.523880793803082,-0.368688890128184,0.59805561037123
"HINF_Li_2 (GE) - TPM",0.377739687119803,0.131487112620639,0.858086905034099,0.518710887394643,-0.575050167627899,-0.772768000045472,-0.899870535869686,-1.47234445128995,-1.41080859969072,-0.34144306031066,-0.87060895795689,-0.20525487304573,-0.336833964303875,0.0580508095084049,-0.175064676735839,-0.336054359234026,-0.507983979194512,-0.433236988183571,-0.804561311839959,-0.146672154087444,-1.01501018592992,-1.16166943072535,-0.767346170789384,-0.0529050719386573,-0.740760033414558,-0.861254890086678,0.000315463513359514,-0.158677902024307,-0.50500767070232,-0.871271299041824,-0.884287120981346,-0.792976787053614,-0.841643186302305,-0.711122519674981,-0.687659389339344,-1.18881922371586,0.49956528066786,-0.859663777860061,-0.461972232271214,-0.237940016932532,0.396855211784341
"HINF_Li_3 (GE) - TPM",0.254691011836301,0.29891222557803,0.705013611283938,0.908526517667787,-0.605648520505985,-0.668736932060136,-1.03654498571308,-0.902107852149717,-1.67314844869927,-0.258976820681605,-0.846887948582573,-0.0422430890293337,-0.516969729659642,-0.169363656202558,-0.207749901838941,-0.507731748031135,-0.569864709922594,-0.247238863973241,-1.02522118581246,-1.10608618736785,-0.265347111953583,-1.31320840782317,-1.02118245452768,0.624109645717757,-1.0893847248002,-1.08611136489794,-0.173926078678617,0.324096243419644,-0.63285310884925,-0.731671372623634,-0.67448712052494,-0.737469852742208,-0.788765228386541,-0.708479247449551,-0.681248889693991,-1.81249068524705,0.701780025589817,-0.656327835784812,-0.70490163294911,-0.363481745256508,0.0148043619154097
"HINF_Mig_1 (GE) - TPM",1.63999748613423,-0.0833841805357223,1.34204114744891,2.04191399830342,-1.54267392302918,-1.63776512519152,-1.2299503647804,-1.03681113700547,-0.211592213426071,-1.80294414322146,-1.70621464976165,-1.0831355326424,-1.21795642007937,-1.49278212968906,-1.45345244904638,-1.05711267424079,-0.964885978204919,0.84877735713743,-1.11386362343917,-1.08185333985001,-1.46045179141124,-0.404017002423064,-1.07589681582925,-1.88359029786875,-1.95601989442877,-0.267118710267062,-1.2497608505401,2.14395913884417,-0.683866246042773,-1.0650544213659,-1.2428614177583,-1.22208709244247,-1.18663321835285,-0.535264367723478,-1.24102051385826,-0.949659636875847,1.13243751725387,-0.929753119258731,-0.727321744639733,-0.962180393868675,1.71577807551541
