"","NTHI_RS00240","NTHI_RS00290","NTHI_RS00340","NTHI_RS00395","NTHI_RS00825","NTHI_RS00880","NTHI_RS01105","NTHI_RS01370","NTHI_RS01590","NTHI_RS01710","NTHI_RS01720","NTHI_RS01930","NTHI_RS02520","NTHI_RS02695","NTHI_RS03785","NTHI_RS03795","NTHI_RS03900","NTHI_RS04060","NTHI_RS04065","NTHI_RS04290","NTHI_RS04365","NTHI_RS04430","NTHI_RS04800","NTHI_RS05295","NTHI_RS05410","NTHI_RS05415","NTHI_RS05425","NTHI_RS05695","NTHI_RS05720","NTHI_RS06010","NTHI_RS06015","NTHI_RS06025","NTHI_RS06335","NTHI_RS06910","NTHI_RS06915","NTHI_RS07660","NTHI_RS07980","NTHI_RS07995","NTHI_RS08000","NTHI_RS08155","NTHI_RS08165","NTHI_RS08245","NTHI_RS08250","NTHI_RS08355","NTHI_RS08365","NTHI_RS08475","NTHI_RS08830","NTHI_RS08840","NTHI_RS09350","NTHI_RS09470"
"HINF_As_1 (GE) - TPM",0.212761343321584,-0.173046743832498,1.55716768913947,0.576497066490044,1.06760496374031,1.69325024979868,1.57155491771151,-0.013825025340255,0.398500559487252,-0.71159272212991,-0.579520689675878,2.03748326259856,0.425221514550589,1.70757942044409,-0.224471223688574,0.50486112142087,-0.264412160145627,0.00549476623033461,-0.610885363577163,1.37714911433976,0.21415796153236,0.729298629854966,0.354084670636613,1.1983901677723,1.1491925577432,0.400238523807774,0.190252445251694,0.49063844509562,-0.0570881333362541,1.41096209989756,1.01584814402204,0.295219504803502,-0.154031760128499,0.836497130248477,1.15363216714711,0.332275919838805,0.633608495289492,1.0977537295222,0.798568379537848,0.509257748225107,1.38240001851582,0.399961757756352,0.298925630618538,0.967257358226413,0.570845897758304,0.323031391274224,0.61129713882606,0.413873854133336,1.47562260932952,-0.790673278580265
"HINF_As_2 (GE) - TPM",0.718573014698327,-0.303102975074346,0.983310697758125,0.845753657001348,1.24537700695379,1.41088757709899,1.89458825852557,0.158641204569386,0.736634355713054,-0.751874130517469,-0.569059538277861,2.32013964784733,0.783600868670016,1.36121479026922,-0.131284274907972,-0.160229265511934,0.0409884060070582,-0.013763013624305,-0.685263900147602,1.59131969493639,0.123249373007649,0.551128199620061,-0.361831689908405,0.519582106844637,-0.0447954414589582,-0.20745276202964,0.526901883559541,-0.0445308994041029,0.162265899814742,1.51425724003037,0.793999403547664,0.318447583830836,0.713479918301079,0.720593879394545,0.498894049166155,0.0472492640485446,0.12171894646846,1.50511003760661,1.30735029634577,0.579197414812126,1.30018269384951,0.534114048700151,0.251420715658993,1.86732993604244,0.558890014745495,0.428533446589823,0.163617498909026,1.04031801501914,1.5408286417762,-0.0914392337589351
"HINF_As_3 (GE) - TPM",1.07940847499492,-0.630719045899037,1.47791326968981,0.740598563380136,0.715196492936906,1.63338127207619,0.715142974196841,0.668193621145133,0.486519705649124,-1.08713141720246,-0.787546978820955,1.57280949959462,1.50236821692382,1.53060616277623,0.130623602037033,0.174654113934451,-0.638060520890639,-0.68986737815677,-0.851478128662436,1.58385887118943,-0.171874110085369,-0.375428796728259,0.823764115625183,-0.366879654081816,-0.296852108598675,-0.264435166455177,0.0249072425273981,-0.0524152522093637,-0.220158681972954,1.89652667473913,0.511500458069377,0.297369191303258,1.67406609827864,0.0537141006730615,0.59895392658269,0.00956437074253067,0.634414449618053,-0.207249814275721,0.938331148230285,0.136938898665048,1.269947150836,0.0418904415106554,0.133727827968962,0.516804571082672,0.220278301684833,1.08689293526018,-0.315448449668315,1.14476307917955,1.22945942081926,-1.1434962890105
"HINF_Ctrl_1 (GE) - TPM",0.371651435424507,-0.535796665463016,-0.287669819800103,0.405081556550488,-0.727725432936913,0.274419503722644,-0.271467487803232,-0.303931779014666,-0.373737674156612,-0.994950530957267,-0.819392032965064,-0.0953690294070477,0.67399713204948,-0.163269735295861,-0.401620516626309,-0.193503483308795,-0.429919298568668,-0.299347478764494,-0.939036152168001,0.445300010434319,-0.189508390534834,-0.263384004257527,0.1665632529581,0.0819509982387855,-0.0396981128656014,0.0730192771975468,-0.331131923119352,0.136055918246647,-0.380424458230255,0.240472335906918,-1.02422693259038,-0.397363589644002,0.836252552930107,-0.354074644427721,-0.286074470002597,-0.306325913430685,0.566813226433384,-0.592061722263295,-0.44936137526025,-0.444343435554932,0.155030204763483,0.231753430595514,0.281122760729297,-0.0832405640856499,-0.524006301120622,-0.43868189275538,-0.803650436565488,-1.08247315187852,-0.730615036395824,-0.311610175946222
"HINF_Ctrl_2 (GE) - TPM",0.159781913420886,-0.582984499500411,-0.221748896432881,-0.180714464253361,-0.925922260643125,-0.1070617444353,0.386180104083889,-0.545129735653028,-0.860433237972227,-1.20098223104248,-0.838885648276199,-0.135649407834955,-0.285876979630406,0.708130923816777,-0.536760480025938,-0.782548767010306,-0.784789306690333,-0.419757204539577,-0.945673432507752,-0.421981405250115,-0.864614289810194,-0.482504374689938,-0.388961118981755,-0.112288313237912,0.0588437159128682,-0.204354803753171,-0.816044132890887,-0.125119574803314,-0.554197012275004,-0.467476498397948,-0.951996527302342,-0.522384018752113,0.0227247751938409,-0.452502474628925,-0.189083315612298,-0.435606985949374,0.73653417894621,-0.403073641398665,-0.538867912263101,-0.063948130724086,-0.679456016408805,0.322171876339552,0.348098652874493,-1.16198665875443,-0.411601232776706,-0.766741245987341,-0.868384385366638,-0.982188816258087,0.0437598318847736,0.0127474883897615
"HINF_Ctrl_3 (GE) - TPM",-0.734973242810167,-0.682448675795088,-0.67820856680782,0.201078088839344,-1.24405956431138,0.0147887899725149,-0.723113805632239,-0.638378306585285,-0.980035851158369,-1.16458240334809,-0.826178885184359,-0.553889340205162,-0.10847972568991,0.11047531343916,-0.687141411906961,-0.595090635277407,-0.611376173696542,-0.502698607905406,-0.969560592337495,-0.621434770066339,-0.496536997041798,-0.371263355127844,0.115177190943097,-0.0595415579639074,-0.77062306669124,-0.197248852403502,-0.313174751964907,-0.206817984789788,-0.58035765509398,-0.0800951252105751,-1.26408446294382,-0.541477886459285,-0.526866326025885,-0.365067078526545,-0.437530611278714,-0.709432722107349,0.517306199760643,-0.643104663827181,-0.791722689586582,-0.480739948730361,-0.627229421922034,0.201168289212961,0.266739244628728,-1.03843300146107,-0.662797190704026,-0.162729464434517,-0.84636253590929,-1.03754146686761,-0.0315392021391986,0.116751351933019
"HINF_Li_1 (GE) - TPM",-0.705279681960792,-0.650185558731237,-1.0658859928154,0.456791039189319,-1.07151763966446,-0.660723462943737,-0.309388190975731,-0.531024413076189,-0.52237871927068,-0.972607998024304,-0.801056139270362,0.0363391302055083,-0.517539243930095,-0.405440225149365,-0.327222529130893,-0.590596181307401,-0.445850559726854,-0.31895019763232,-0.944051989232997,-0.558223684899752,0.126257878506967,-0.231300810364835,0.204566866483785,0.219612838520148,-0.378495784467127,-0.505555483856729,-0.617849321898286,-0.0906118791871329,-0.636699999598295,-0.058179451371959,-1.38055330885208,-0.664892513806697,-0.216381408847058,-0.0407942130041466,-0.8018029480873,-0.424155486500397,0.414462200405793,-0.650381555876965,-0.811806827928808,-0.603167829393112,-0.353462685142716,-0.574984602609462,-0.700533989396456,-0.619191798182227,-0.610771530818422,-0.911639896284853,-0.68874783801874,-1.17392891824327,-0.572035737245905,0.605447083098484
"HINF_Li_2 (GE) - TPM",-0.620241431535472,-0.611293315909603,-0.931023528347718,1.54238255837357,-0.154639297142997,-0.30020027113981,-0.180694896434289,-0.130948542262767,0.690887308607987,-1.18937998440315,-0.762764353306809,-0.436372684229093,-0.436837899188468,-0.343614115635694,-0.374323061040606,0.0203019777373426,-0.216668600807963,0.0105016370211178,-0.837719115681099,0.13576659597155,-0.0369821104647208,-0.127012381165862,0.611656219314205,0.436515776626937,1.03571714424021,-0.0287318802206959,-0.29356587526571,0.196231172954037,-0.306011857384446,0.211417673283036,0.26932820634258,-0.470750584993341,-0.447886966765802,-0.397188285959835,-0.52364444188438,-0.500639681111725,0.348844796000002,-0.591214308491306,-0.799794130223601,-0.745875956702453,0.0718555948939721,-0.756620535101966,-0.849339235512397,-0.0528962947385887,-0.568843941078298,0.562503425623942,-0.469313871503667,0.888984214583701,-0.713508732632524,0.354638445744783
"HINF_Li_3 (GE) - TPM",-0.202370482110728,-0.384144473630616,-0.568790676283121,0.544256083425068,-0.53089224231842,-0.236223483753129,0.0353899359469654,-0.076889145752254,0.126702361783105,-0.927502856737261,-0.634524553052733,0.142091090025348,-0.0711891721095829,-0.0922407432892486,0.178489210238546,-0.220851804475874,-0.0416569009557702,-0.103526646164106,-0.803647105328578,0.338768039186398,0.561053276981264,-0.119096627305408,0.285408514137499,0.54883734148877,0.874709706212643,0.32515630171218,-0.633137519252152,0.713182687680713,-0.610672655197288,0.277804778497438,-0.299236764989522,-0.362286625814722,0.15846053515063,0.329977468852209,-0.485233708415895,-0.0229276262513247,0.88547491443715,-0.512658918320417,-0.852246035184057,-0.243940208019037,0.452380866928861,-0.606645504961683,-0.760883585723639,-0.258647962954848,-0.354813244453679,0.0781692129761009,-0.498701068640543,0.296550267788392,-0.689819717409285,0.282125631255775
"HINF_Mig_1 (GE) - TPM",-1.10524179959692,-0.505634401874277,-1.07104154506262,-1.06780251199256,-1.397400322507,-1.49837004555194,-1.34201803128789,-0.686704137587682,-0.984186099801055,-0.348624159757001,-0.216985954072526,-0.251040110115148,-1.61101839536777,-1.31640691729001,-0.616169184900748,-0.670447699615736,-1.03403554221767,-0.632020467198732,-0.275088762981025,-1.81935819851755,1.16737378417432,-0.554559605558546,-1.94254029331379,-0.588163700140315,-0.827856512227353,-0.963475891185712,-0.769523913112463,-1.98309221309899,-0.719462532736075,-1.49630684767636,-1.09102276881212,-1.02059230239137,-0.714840771868183,-0.490087329093974,-1.44467318349012,-1.21547436174073,-1.31684808999882,-1.00264559815288,-0.937060795141773,-1.60797319146375,-1.52023072074503,-0.493593864853162,-0.175463538845849,-1.06047674411791,-0.770815461525573,-0.712120616539529,-0.123189080603054,-0.358918865997728,-1.43798086301894,-0.233941739052051
