"","NTHI_RS00010","NTHI_RS00050","NTHI_RS00055","NTHI_RS00285","NTHI_RS00315","NTHI_RS00815","NTHI_RS00820","NTHI_RS09525","NTHI_RS00895","NTHI_RS00905","NTHI_RS01305","NTHI_RS01410","NTHI_RS01770","NTHI_RS01775","NTHI_RS01895","NTHI_RS01900","NTHI_RS02005","NTHI_RS02020","NTHI_RS02030","NTHI_RS02035","NTHI_RS02040","NTHI_RS02210","NTHI_RS02215","NTHI_RS02220","NTHI_RS02225","NTHI_RS02440","NTHI_RS02725","NTHI_RS02770","NTHI_RS03135","NTHI_RS03275","NTHI_RS03290","NTHI_RS09510","NTHI_RS03715","NTHI_RS03720","NTHI_RS04325","NTHI_RS09600","NTHI_RS04485","NTHI_RS04745","NTHI_RS05125","NTHI_RS05130","NTHI_RS05300","NTHI_RS05305","NTHI_RS05310","NTHI_RS05320","NTHI_RS05420","NTHI_RS05690","NTHI_RS05835","NTHI_RS05840","NTHI_RS05845","NTHI_RS05850","NTHI_RS05975","NTHI_RS05980","NTHI_RS05985","NTHI_RS05990","NTHI_RS05995","NTHI_RS06000","NTHI_RS06125","NTHI_RS06150","NTHI_RS06155","NTHI_RS06165","NTHI_RS06175","NTHI_RS06240","NTHI_RS06415","NTHI_RS06605","NTHI_RS06610","NTHI_RS06625","NTHI_RS09675","NTHI_RS07330","NTHI_RS07335","NTHI_RS09700","NTHI_RS07450","NTHI_RS07455","NTHI_RS07530","NTHI_RS07565","NTHI_RS07810","NTHI_RS08105","NTHI_RS08110","NTHI_RS08400","NTHI_RS08910","NTHI_RS09235","NTHI_RS09275","NTHI_RS09295"
"HINF_As_1 (GE) - TPM",-0.984444087317417,1.5188245954991,1.04572875519697,-0.752158081979449,-0.0654245976094451,0.128121949360522,0.227850811569289,0.0890280569700626,0.857545155281896,0.175861783998382,1.06114012316685,1.08028961916913,0.868537403270774,0.9424774560835,-0.366540360407131,-0.342436080506626,0.617845432417638,0.244345194287154,0.956568517192139,0.192461296869653,0.561243926762395,1.4282818871179,0.793288315906411,0.476407320323811,0.147335917094121,1.06571661920189,1.08994029402505,-0.495420020981536,1.59658414533001,0.672564070633608,0.21264524791452,0.724273070358417,0.875384397014068,0.719281145405261,0.162029972253117,0.476243786536751,1.17207565878439,-0.309033031424535,0.00779734267192069,0.173137614738083,0.586074703665299,0.516263460934194,0.898360947284604,0.86463175778651,1.18290094673359,0.905092840030967,1.03149311200107,1.51202134529106,1.61082830818861,1.67837572825122,2.64316003743933,1.50861132978473,0.556183985831649,0.130176492350895,0.312827660422316,0.162706761815978,0.27599951583095,0.656887740163069,0.446727305329743,0.543426472566694,-0.33222053822219,0.109172697880075,1.13919144079831,0.297411699490373,0.299858289118891,1.39295818571475,0.843330978188164,0.190308656121888,0.6592392871159,1.16598732075855,0.356348359268624,-0.0162787987985414,0.887356624342913,0.448928839206454,-0.321834551048402,0.0479578145143756,0.0754307691483366,-0.499341130727761,0.646739385901235,0.666395842360436,-0.0114292320166373,0.728207112592643
"HINF_As_2 (GE) - TPM",-0.725634720253111,1.20353186817286,0.587606179603864,-0.436014855318876,-0.32673173160697,0.0744131141953302,0.189152221840427,-0.104682226057778,0.727701838837048,0.0557456255958588,0.326289213984557,0.789341135117603,1.44599021644791,0.635476816527945,-0.0821289221507102,-0.144655953713436,1.08886464214745,0.726937149018751,0.721392392475439,0.640140619410188,0.579416585998863,0.523776064331089,0.143956040900535,-0.126573828828339,0.0421722937518068,1.47776837070517,0.577786509767017,-0.577787022155381,1.39297729199231,0.165820406489646,0.193867060321333,1.13261576073742,0.0642865212290518,0.407727565691693,0.046036649114818,1.75529839703623,1.10452284177927,-0.26320797480775,0.324523366015659,0.212439779846005,0.61981912471581,0.0215339202093878,0.399242285180511,0.740209587055399,-0.254386525890356,0.75904491392893,0.179402718903539,0.69841853960686,1.17488412471995,1.30599044676188,0.953392121804156,-0.0582310592242939,-0.13474048390701,-0.358471190413442,0.5482893206702,0.220870759954932,0.652195650414073,0.786831444027524,0.452621183444252,0.583615009013449,-0.144605845151177,-0.186741478703041,0.830350839807103,0.671851414251906,0.612981205736896,0.709361855037293,0.861253205473286,0.293883527613108,0.589185212884276,0.610759176955195,0.27981358152247,0.208838147888882,0.0746517163498848,0.538534006870305,-0.374348459976478,0.315129493415726,0.631086534621675,-0.613584352341095,0.535520877932454,0.743804223098278,-0.0391723811312228,0.238326225414543
"HINF_As_3 (GE) - TPM",-0.389664181645199,0.691294434542037,1.3692122510183,0.0897346902429996,-0.0692121400079933,-0.0433483772467145,-0.0688225413188892,1.18478503169622,0.105041243681082,0.333721666454738,-0.792968850189519,0.134750667136062,0.28926254268935,0.849542885587227,-0.232821364696758,-0.259250628156082,0.436188733960442,0.0221280551967511,-0.166648640646226,0.874748284700002,0.045877954397189,-0.29384312405191,-0.352332532829857,-0.389052030048366,-0.447072852454189,0.96961251704632,0.589994360824146,-0.525040141585732,-0.566875687104816,0.0492524653820823,0.00730144172320901,-0.104209659877791,-0.282841440449494,0.665085857886211,-0.397997083390203,-0.0272348781492204,0.650836666694905,-0.0479836276931933,0.138672202236215,-0.307162295016137,0.181964029477153,0.354204940376135,0.139201424465091,0.00953686358114707,1.04271211709825,0.213303898001504,-0.478158897987734,-0.50924206481804,-0.46322872776761,-0.328766455357318,-0.144910790161443,-0.359868942780765,-0.405786449434121,-0.423961340113615,0.00147292593977883,0.606046382695665,0.629404236755174,0.565116849387061,0.676797222564519,0.579476456478388,-0.347547970933133,-0.00170198218940149,-0.146756698282786,0.843330745299543,0.332275064005174,-0.869038015530076,-0.118674272791096,-0.829410581606122,-0.887731239567869,0.266344146628199,-0.0556446035434619,0.248586166578168,0.232985749355375,0.0309065308464467,0.334867137385036,-0.278094644595314,-0.629445750050822,-0.63247773931579,0.525461465319568,0.25489284150099,1.29580826735688,-0.181293643043916
"HINF_Ctrl_1 (GE) - TPM",-0.0583799361502478,-0.347273971634845,-0.891113225441845,-1.02657416705336,-0.485870900044248,-0.169142924046828,-0.222072034107162,-0.845640474491751,-0.00616369183491857,1.14881442078848,-0.854699419759731,-0.200189343367038,-0.778467168301958,-0.149917957209362,-0.1084873524251,-0.354564045612446,-1.00659533749639,-0.877291436904195,-0.886456311494158,-0.783302136728545,-0.954946546635219,-0.540331873682099,-0.527572743885095,-0.642667087259059,-0.581365757850727,-0.743623555245573,-0.817271619653181,-0.60071372559106,-0.226873425752598,-0.850386780391804,-0.742709611539935,-1.13284325541357,-0.370766942414347,-0.238735952357995,-0.73545679834756,-0.166665916457136,0.219273752216594,-1.02549412199766,-1.04458624203803,-0.667515070017073,-0.442933952295934,-0.301536881774092,-0.534230221493338,-0.555500650103053,-0.364132851540031,-0.732234301601316,-0.583417731712126,-0.652957340060783,-0.736109541478626,-0.740698568897709,-0.693331583510918,-0.652441112665524,-0.746079414394427,-0.64444045233834,-0.526777864048509,-0.564719720944734,-1.04003414678375,-0.149926605894258,-0.199011594448754,-0.825789391454103,-0.127583708234912,-0.218134843900094,-1.28194181154638,-0.405091190746955,-0.416169445842939,-0.879737457308441,-0.890876937727263,-0.690769992089591,-1.03467091521173,-1.37424597975594,-0.612311877739256,-0.33414605964583,-1.04375365664824,-0.747203746593345,0.536310826656593,-0.555169511526531,-0.773433343141242,-0.69272161653827,-0.449353924282965,-0.628884169344271,-0.624156115155921,-1.10642938280198
"HINF_Ctrl_2 (GE) - TPM",-0.818622059316355,-0.746967062727956,0.307201656940044,-1.0942198239743,-0.233092029402988,-0.458959427300867,-0.546989973525665,-1.36461359950805,0.176178966657181,1.74948185815245,-0.839986892577753,0.737974744322641,-0.89286792151649,-0.63744309361685,-0.156241728594175,-0.402704697061661,-0.634860489958346,-1.16074188310853,-1.15011081280772,-0.518043673275554,-0.356562015872359,-0.313171123232284,-0.355060490350658,-0.487080166876829,-0.379989201302679,-0.628779302476889,-0.837515699713044,-0.363538753127514,-0.0171585545423919,-0.94642432394713,-0.509424030422743,-0.763388292361171,0.166996202015311,-0.609600245651497,-1.1533757037131,-0.24823855543264,-0.652014558666181,-1.08157483925103,-0.935390856435032,-1.12024458761224,-0.0102709468551003,-0.33462002617031,0.829743799217403,-0.50200443407165,-1.35804884176866,-0.618515341460414,-0.312429403392715,-0.515536640640546,-0.519823100670413,-0.583171843853538,-0.496376073433216,-0.416814589851376,-0.470627938446579,-0.388706609487802,-0.288456384151914,-0.491639962353798,-1.45301340773756,0.0640170299613065,0.395520221744896,-0.763413736994869,1.17599785253929,-0.0150939340740675,-0.475149138345415,-0.797009989226495,-0.54400906476813,-0.823632737655551,-1.11098131009182,-1.23101009053513,-0.976728725121151,-1.27230705602803,-0.113677073566145,-0.26388195732628,-0.607279368960395,0.780318959782591,-0.0313599440983608,-0.721243372434011,-0.751672800291527,-0.752655355139911,-1.39317151182846,-0.0820689665722696,-0.41438287880626,-0.653458463931006
"HINF_Ctrl_3 (GE) - TPM",-0.578667047699022,-0.791070942282768,-0.138854511920318,-0.962302458069273,-0.78292736644351,-0.129687420443386,-0.355161103620445,-0.945127896031407,0.0842079085006218,1.22770293404235,-0.787037503010179,-0.271024297966347,-1.27341012814245,-0.568312439584704,-0.160411160599058,-0.425209560684479,-1.15082473225869,-1.11462196731683,-1.31564143737417,-1.11478018567021,-0.798301259394127,-0.369664562587765,-0.39069846477185,-0.429415781458954,-0.503311115663687,-0.978925983086463,-1.21539904829396,-0.460985374651673,-0.203941473170828,-0.918423030561934,-0.751939416905271,-0.991144101937089,-0.283736334691763,-0.970655335535747,-0.983371553057391,0.155153340574902,-0.027347838440113,-0.858393669545439,-1.07963097398356,-1.1781054038968,-0.424342039936819,-0.628102523433796,0.216098516852762,-0.381540828435573,-0.497324087003852,-1.0838427006487,-0.380187745620412,-0.491302338197794,-0.528323118486435,-0.564584083412159,-0.511251726760772,-0.476989965964422,-0.574496727354994,-0.523710040636728,-0.619134926682271,-0.666677223426065,-1.21789058566901,-0.295126745857556,-0.264420526775717,-1.00994773520456,0.36502270251664,-0.447111612364064,-0.623672915164905,-0.590772821252686,-0.853332675936199,-0.826151413444135,-0.539215943235616,-1.09459902484165,-1.1705924986334,-1.41351341924117,-0.570312519925848,-0.320220379594712,-1.12216062672528,-0.749184440818745,0.15324518427794,-0.596320350326405,-1.04193223866295,-0.831905971977564,-0.972538294114106,-0.769030794147863,-0.700407464991318,-1.02703322219346
"HINF_Li_1 (GE) - TPM",-0.647060903307607,-0.849421364336215,-1.19160640250041,-0.342131328506793,-0.66884545975965,0.408213323363016,0.42007717579682,-1.11556465523497,-0.15174810974966,1.14648513659135,-0.659531145654213,-0.520313291590664,-0.999916977868258,-0.67430975597948,-0.00201684035017542,-0.415961274240644,-1.10968418047862,-1.4379750275844,-0.920879270034777,-0.973544505074427,-0.748516956307476,-0.42376661780281,-0.444859974674503,-0.512968432867432,-0.506539055131903,-0.507674712338984,-0.611874490728566,-0.635320962145286,0.311742335343401,-0.795992797384949,-1.2441496012941,-1.01812420437249,-1.18288702235387,-0.483537629713068,-0.492588403772147,-1.08835019889011,-0.618618422478216,-1.12907696216484,-1.05255699522877,-0.360953084181323,-0.430429662192323,-0.482392922376729,0.364497347210026,0.0303190335550332,-0.821601402460426,-0.914481503900491,-0.53318756938787,-0.587721190959428,-0.645000933595151,-0.524226021264872,-0.61163677424498,-0.639916974939893,-0.568328679993053,-0.612421210295747,-0.670278233809411,-0.481495318297288,-1.23406403350925,-0.615691853389063,-0.334450197249768,-0.993346753785196,0.0363529193382584,-0.0595870288165847,-1.12501829275896,-0.67022758000244,-0.873732547029899,-0.666330126569468,-0.734654545921863,-1.41150954269733,-0.865294389091205,-1.01587828473041,-0.257786746471864,-0.663418665475697,-0.678759678948652,-0.776460473819898,0.137822072523686,-0.59459242010211,-1.17544426022827,-0.606701619763783,0.0338141684139435,-0.304892019698036,-0.426718199106449,-1.26729780117499
"HINF_Li_2 (GE) - TPM",-0.424682235128448,-0.666959900368121,-0.656598573753646,-0.599608937651626,-0.783980397929617,-0.0943244710893465,0.321965183115725,-0.323961049585324,-0.423575684348482,0.365680657694098,-0.552434962518103,-1.24884471500946,-0.674230703835171,-0.30004365184252,-0.0659882709536024,-0.321048439509204,-1.05463134068733,-0.935313714659308,-0.812611891144506,-0.118528970019563,-0.2034558282803,-0.569465139712293,-0.528485035834081,-0.686220352837773,-0.671588940621565,-0.491840558180095,-0.328845600169766,-0.643022207190218,0.10022397863628,-0.784132002519705,-0.899083678160624,-1.07338909369567,-0.507239226653699,-0.741424233011207,-0.436278829684619,0.0020447381770898,0.263657144360116,-0.638694013923397,-0.731388009927237,-0.135265952994264,-0.312222189343016,-0.348332883370534,-0.30930863335633,0.00394493049223167,-0.903576474037361,-0.675457801881405,-0.651525335681773,-0.712500292858981,-0.769459270250013,-0.785350418843233,-0.72061221954865,-0.742598286630284,-0.635127027344492,-0.653920370579182,-0.411258660628592,-0.725757141688258,-0.570427018121638,-0.0423336906321864,-0.187031519074206,-0.674021122560948,0.00256410902776565,0.0299405342448603,-0.637635922306657,0.0690264383209803,-0.0216588560536537,-0.776061137265351,-0.871039715858846,-0.987207477433649,-1.07679696685665,-1.23474342730042,-0.816439835474838,-0.589529372647337,-0.594310739742817,-0.0608937810704709,0.341648263667573,-0.903570664522522,-1.13426358952373,-0.489737420140693,0.66230880546434,0.027760398021178,0.0439845997505091,-1.13267464983506
"HINF_Li_3 (GE) - TPM",-0.188959345313708,-0.364080342781719,-0.962111195254236,-0.76543956230479,-0.439913440960016,0.196077232010227,0.255597275680642,-0.93036787043827,-0.139590541346572,0.94330570870634,-0.578358392391908,-0.955100347218277,-0.669677711098236,-0.278513756252137,-0.0347595530248819,-0.351421977550137,-0.647249891275192,-1.26717152393159,-0.587279364006714,-0.684173801819014,-0.383554370399764,-0.511268063887685,-0.446068396278243,-0.499799574889224,-0.498572348355909,-0.449195975396309,-0.126941414515898,-0.582565067304048,0.146972167001444,-0.760974203243269,-0.616003438986195,-1.23995906405097,-0.510236654150212,-0.235777172667092,-0.406379823224302,-0.983111023563033,-0.048871845168774,-0.577051821589599,-0.470512477846648,-0.281746652389162,-0.152217471613796,-0.11097635030346,0.149107916546392,0.0373691233076999,-0.555859396952335,-0.267556513224345,-0.545717998783583,-0.632228764872883,-0.678066841608386,-0.656208498215147,-0.642196569672834,-0.593470581699033,-0.552592561772497,-0.517454839209022,-0.532963630323238,-0.612517657667211,-1.07527823603768,-0.276981867069937,-0.235427524727325,-0.858726494899543,-0.166866973781899,-0.249422178397274,-0.791781768385398,0.241994120915726,-0.170190966465327,-0.719086523013856,-0.891238839792431,-0.719473777663986,-1.10064219856765,-1.21744895323548,-0.60517411083038,-0.514081133442973,-0.680673337267911,0.332531159460131,0.822743319341691,-1.2147151311166,-1.21840193281488,-0.642237232235722,0.190763480237695,-0.480170478590955,-0.416672267155152,-1.38852621277667
"HINF_Mig_1 (GE) - TPM",0.930982427897036,-1.13608651541727,-0.939222750058064,0.0786354708794972,1.2019839021329,-1.05456888937889,-0.942945337495867,1.23945102841396,-1.76694585639144,-1.70595041695368,0.710062699641038,0.0812031390003054,0.470643461779793,-0.232680883187286,-0.80478065892766,-0.455848603622198,0.363877081968551,-0.835352844878122,0.538492314339437,-0.968468832384561,-1.70712804832027,-0.559246182907969,-0.534039665990409,-0.593537640527802,-0.455273818802601,-1.08904078976858,-0.675888633904912,-0.163825840854098,-0.655300717695729,-0.117402626733862,-0.0341010013836308,-0.399668546458521,-0.909563884895948,-1.20593232948103,0.0591321156319952,0.213412765789244,-0.416899754359888,1.35766783301195,0.128921112952862,-0.0906786543208082,-0.522173586544117,-0.0408590862412161,-1.02216351816827,-1.1134406576953,-0.406065010061955,-1.07874970606646,-0.227568640129645,-0.0411925710151536,0.0247076352948181,0.110468740407869,-0.212188106797316,0.176656230865968,0.236935976049876,0.000846443648070735,-0.311034773585382,-0.598032820942199,1.22051577654247,-1.07052455083794,-1.01107862861355,0.497525408683522,0.278075338067946,-0.995686018206838,-0.846611443363045,-0.649354668159624,-0.341431109473773,0.437697840678554,-1.24377818051787,0.709138354632618,0.476307423226516,-0.00111378107974182,-1.11870514719443,-0.395752329192318,0.194256543786922,0.796988836853045,1.75247684637894,-0.297682327276587,-0.477874611186874,-0.896989276023803,0.838318150339498,0.596101452494252,0.3253188161393,0.772957188969437
