"","HPG27_RS00360","HPG27_RS00435","HPG27_RS00440","HPG27_RS00540","HPG27_RS00695","HPG27_RS00700","HPG27_RS00730","HPG27_RS00735","HPG27_RS00745","HPG27_RS00930","HPG27_RS01070","HPG27_RS01245","HPG27_RS02295","HPG27_RS02395","HPG27_RS03065","HPG27_RS03150","HPG27_RS03380","HPG27_RS03395","HPG27_RS03400","HPG27_RS03405","HPG27_RS03875","HPG27_RS04470","HPG27_RS04480","HPG27_RS05505","HPG27_RS05965","HPG27_RS05975","HPG27_RS05980","HPG27_RS05985","HPG27_RS06545","HPG27_RS06550","HPG27_RS06555","HPG27_RS06560","HPG27_RS06565","HPG27_RS06570","HPG27_RS06575","HPG27_RS06580","HPG27_RS06585","HPG27_RS06590","HPG27_RS06595","HPG27_RS06600","HPG27_RS06605","HPG27_RS06610","HPG27_RS06615","HPG27_RS06620","HPG27_RS06625","HPG27_RS06630","HPG27_RS06635","HPG27_RS06640","HPG27_RS07670","HPG27_RS07710"
"HP_G27_As_1 (GE) - TPM",0.677231675404832,1.83395445865125,2.71135252176707,1.70275098309618,0.838296476393168,1.09704081190672,1.80636317384536,1.46259600832803,2.35799004082744,1.93539669550389,1.42181666011351,0.313047377517117,2.10243541088063,1.00105713920657,1.47974336043297,0.916562048401397,1.05189917236926,1.05872740367805,0.943342656289175,1.12618449036737,0.851095712489763,0.692710548156133,1.46214593363723,2.26047245361058,1.13084877618389,1.34163462483725,1.84471114013063,1.51123692505393,1.30073334740705,2.02146931632459,2.09551388261519,1.79105466747278,1.69119652241057,2.1426149555945,1.76678017507263,1.47029607382184,1.9773401505195,1.99033327651911,1.7624109482785,1.89749755742184,1.72310369272853,1.56854556068935,1.50118281664131,1.25516868223221,1.72658621249551,1.88603669472513,2.13464575672501,1.5858106361303,-0.908091833870794,1.30144326522969
"HP_G27_As_2 (GE) - TPM",0.6369321567651,2.16634192930913,2.31387830349149,1.25045150981404,-0.191558396436604,0.651453817105246,1.78708418831183,1.29312112073087,1.12003852953519,1.05986778334063,1.3357590151445,-0.0222753372982829,1.35709296905941,1.03504480652873,1.45288755825117,1.14201119851965,1.49057644090869,0.97811130472177,0.882208875125704,1.22590545328259,0.551541450860094,0.916913019080854,1.52013502074698,1.62229668745569,0.78549681171046,1.41917173039881,1.11308263413765,0.881230821831109,1.45704837468055,1.22483154286147,1.19269772396348,1.09367570127052,1.54797102778604,1.4081101096774,1.66037722823722,0.518430262369465,1.13795266282511,1.22831192686872,1.00978958669541,1.2916486072134,1.35615391126672,1.54694071396287,0.912916788620448,1.47701558260285,1.52511656861325,1.51851898105733,2.1085473402324,1.80572088619756,-0.884545013188243,0.996222869734081
"HP_G27_As_3 (GE) - TPM",0.507147561626837,1.43813118358147,1.82014398633113,0.728095207483786,0.470125349867939,0.30998421497287,1.68210946982331,1.04631957793796,1.07737095304252,0.571391228057968,0.833175776911688,0.187080445714078,0.81844049492088,1.18134703417748,0.968171106975878,0.469716861264056,0.586070010862981,0.27522923691448,0.443926820233069,0.369741221503502,0.371329562604256,-0.651495915366179,1.29472274477237,0.043063925585548,-0.0366710771420127,0.162911021374754,0.61301853638649,-0.114520647120146,0.663800483394663,0.683453206141976,0.676114226225335,0.360072612503154,0.541387504363081,0.250525891080571,0.646082505663244,0.873473896571646,0.259677872097253,0.440369697323845,0.830715204361692,0.377978640656144,0.559295881888559,0.283099586644723,0.404225696052938,0.439113967850501,0.302555048189157,0.481635632088642,1.03361625598123,1.17660800546607,-0.473380554247027,0.080201204985457
"HP_G27_Ctrl_1 (GE) - TPM",1.34614182627278,0.435115515844154,1.13020269614942,0.879881753445003,0.128004060353526,0.329694141942529,-0.357420207125071,-0.305273280233523,0.0722707093357919,0.261660453008123,0.130842998774579,1.29976997370396,0.718444033728307,0.72530537640857,-0.993714016292375,1.25581452120221,1.0433967465148,1.16036873557585,1.00694856504004,1.22440926564749,0.0378730324571937,0.779618512727444,0.46481748154633,0.165052612668723,0.438991062436977,1.41301454407967,1.2894246289588,1.17941919559771,0.785471051359719,0.442159024639493,0.617790828635621,0.67045915770549,1.14752118467713,-0.00480514196731548,0.957605747899183,0.665056890307747,1.00878705920473,1.23658073335333,1.35162028776197,0.701222786670774,0.941494773637234,0.531667108050653,0.512913631526076,0.846524086664602,0.931659884069558,1.14254677328233,1.10631415694576,1.04932687124061,-1.01072765445314,-0.720318949382647
"HP_G27_Ctrl_2 (GE) - TPM",1.50279153392878,0.628778935526042,0.795459757500149,1.01042593387943,0.65376899567549,0.46011755132692,-0.101611245410294,0.352107397705173,0.0632843415339358,0.415150895589951,0.369751681291685,1.20519599834514,0.932745496636014,0.261993224936828,-0.733691595141913,1.71027952867057,0.954986167254961,1.56858010474061,1.39392120518794,1.56232404726473,1.04513764108575,-0.212728804953954,0.446200086859286,-0.0253480894927648,0.807963252016744,1.74704423062853,1.26648117305963,1.85896851825801,0.558218193522429,0.873119139127237,1.62996135819811,1.24393773414958,1.05340534360574,2.0890946901916,0.962667795831124,1.26965445516413,1.19931547648,1.84071978490447,1.99385170859827,0.720780036638415,0.950422326424301,0.713950953976382,1.40569405547597,0.912049554259455,1.89280427860841,1.64697354131443,1.71077291798721,1.60351674681111,-1.07609831334942,-0.675533083601016
"HP_G27_Ctrl_3 (GE) - TPM",1.52324592323142,0.084601593899428,0.631343039130416,0.59641231819267,0.111206241429129,0.404113778196371,-0.174781553578232,-0.0510280720103784,-0.167285537743512,0.720368989732273,-0.034152838678828,1.09246910172267,0.850541707102265,0.635757951379405,-0.733254197938215,0.950718934505311,0.383906466905978,0.86091199480203,0.670424686566432,0.461819111543378,-0.464985654995084,-0.422452263354921,0.321354212785895,-0.0163658107451322,-0.0560919900789528,1.0433253300322,0.942363105616014,1.02448005878347,0.187026185841218,0.0981395225530673,0.237376561398399,0.274929932045515,0.492324011839624,0.346522414746334,0.18050909130155,0.0442113310723745,0.591954873346397,0.894971426191996,0.781270862611796,0.583797112566206,0.428306365688354,0.580909624283315,0.87328357177905,0.358746560503518,0.907224258163064,0.932887094244852,1.31223245380377,1.72188072232906,-0.940601888335148,-1.05324069435681
"HP_G27_Li_1 (GE) - TPM",-0.595542111165317,-0.956291703173825,-0.858841408030723,0.609545820030634,2.15186286415827,1.98142496665839,-0.158788966948554,0.52866351358875,0.293351395260245,0.127309513078584,-0.394851480138875,-0.0245171781643139,0.923522993054904,-0.811908755967168,-0.555478629547306,-0.249790520660986,0.438863998493137,-0.107555880286556,-0.085216929747679,-0.557964475748509,2.09053579020036,0.194717113464482,-0.343706529696873,-0.0276296197240096,0.47680759520621,-0.0223180990644749,0.496157253274288,-0.498926589067721,0.487135400409818,0.48847262060336,0.756703491136295,0.623657896753455,0.943111303658735,0.410387936668728,0.957073946144469,0.413830058326558,0.559242859646523,0.768273001937802,0.846086182038891,0.374434386572978,0.522249551680152,0.409075699615753,1.00253499170493,0.0749898300697784,-0.0239443882180346,-0.215676471161337,-0.310006296765708,-0.139541529943445,0.0364755619161457,-0.354829175976644
"HP_G27_Li_2 (GE) - TPM",-0.577714021858955,-0.943973367501697,-0.8829461180226,0.216092348078306,1.73937262645834,1.30363874798477,0.314875510139045,-0.0122472870139953,-0.254766023812673,-0.453072012123922,0.254609169659889,0.229218676516109,-0.252672932936037,-0.37847481190774,-0.151812567919101,-0.211240987081222,0.0759870355850338,-0.137516156008694,-0.0768035043812091,-0.399927069866053,1.74146618082581,1.36378214616836,-0.378547902903539,-0.56062723202903,0.223954543554387,-0.461764986660503,-0.210066786548644,-1.18222030054893,0.57447455083932,0.0705241881041966,0.171545312187937,-0.240937133023097,0.465205903375004,-0.268691262529245,0.456648678493181,0.192575518028312,0.413654882975483,-0.0464678692258731,-0.0767347857328564,-0.587680557559756,0.292120358694074,0.0091371164849385,0.178041475184229,0.396151887047683,-0.449788291258005,-0.409171825904534,-0.784912860646034,-0.356621737179433,-0.27659048415278,0.363889812060039
"HP_G27_Li_3 (GE) - TPM",-1.02570990960692,-1.37701648307822,-1.29758836673249,-0.329216187044602,1.84219638224699,1.13612836305846,-0.0732010546296273,-0.150541920673347,-0.614795031691435,-0.621159735109944,-0.536876916947968,-0.605286928461455,0.330576074442584,-0.553364603245295,-0.464640406103854,-0.732229676636803,0.232100707684849,-0.530725709363257,-0.460346591651105,-0.642236044122259,1.605451875328,-0.469725747018444,-0.809199274130286,-0.826005385332672,-0.494752612467669,-0.767304708672701,-0.207615856004454,-0.903770112335091,-0.167174314919175,-0.581480017492172,-0.358346836100212,-0.477054674657442,0.172124308821605,-0.664182318469994,0.141213400386493,-0.250744175607736,-0.347602885554375,-0.127874464684763,-0.0883139186371412,-0.43410057981877,-0.0362014291214151,-0.359303884123358,-0.244626546738683,-0.644102968699844,-0.924630201736984,-0.961524227038485,-1.18730050097976,-0.622879593304845,0.370888205751214,-0.0424096728789683
"HP_G27_Mig_1 (GE) - TPM",0.954821569457296,0.318386806371489,-0.9057970163458,-0.302940586620533,-0.195882278789067,2.06194004004299,0.892353284843932,0.744581061035155,0.942494155216538,0.155126633241548,-0.220091957836642,1.11974967619414,1.68806767160767,1.09500533331387,0.66064400800534,-0.299361845788753,-1.47593853352158,1.17162800694789,-0.993295256185892,-0.168149658610053,1.26269474127183,2.0581936141253,-0.223841447692122,1.42777075958775,1.76378381554221,0.463339145409524,-0.892392288618998,0.674393992559583,-0.475269837792012,1.40741879563001,-0.264624975798177,1.59982819967178,0.133490056796782,0.404135017436301,-0.0737815786600857,0.441957953832956,0.873167916969238,-0.761677340279286,-1.07138776800902,1.4889098466575,0.498589469172246,1.11538778726103,-0.209733139866432,0.420720832825196,0.388995442623017,-0.126723966125375,0.134683702280144,-1.40138528174801,-0.833614928999286,1.68804247203277
