"","HPG27_RS00420","HPG27_RS00605","HPG27_RS01100","HPG27_RS01110","HPG27_RS01530","HPG27_RS01535","HPG27_RS01990","HPG27_RS02370","HPG27_RS02465","HPG27_RS02560","HPG27_RS03095","HPG27_RS03330","HPG27_RS03335","HPG27_RS03485","HPG27_RS03490","HPG27_RS03835","HPG27_RS03880","HPG27_RS03935","HPG27_RS04285","HPG27_RS04290","HPG27_RS04350","HPG27_RS04410","HPG27_RS04515","HPG27_RS04680","HPG27_RS04685","HPG27_RS05295","HPG27_RS05310","HPG27_RS05785","HPG27_RS05790","HPG27_RS05800","HPG27_RS05865","HPG27_RS05905","HPG27_RS05910","HPG27_RS05915","HPG27_RS05920","HPG27_RS06125","HPG27_RS06200","HPG27_RS06730","HPG27_RS07125","HPG27_RS07885","HPG27_RS07930","HPG27_RS07935","HPG27_RS07985","HPG27_RS08345"
"HP_G27_As_1 (GE) - TPM",-0.602335569027959,-0.831973605659999,-0.256350227031604,1.37342243690448,-0.159240522196666,0.0108163565382104,-1.18238058726055,0.0400623909230659,-0.447018826282181,0.646446687882388,-0.797135816263907,-0.332413778142229,-0.260017275542876,2.20120069771259,1.63603676608018,0.344754058932722,0.98545586077002,-0.20060029978314,-0.545879812020106,-0.829187457920413,0.616304604648143,-0.511801172868155,-0.930818903097068,-0.388250939878412,-0.761799153772561,-0.746984891691935,-0.912287946761493,-0.221763071336346,-0.91553027521332,-0.572924385847386,-0.362360384641205,-0.557347638720805,-0.0978770151358453,-0.164193300728705,-0.125033589384043,-0.566919247790417,-0.513955050387925,-0.0742625829205906,-0.290423385567448,-0.605896995653651,-0.609792038595767,-0.71646799841102,-1.18182754426996,-1.34234920392768
"HP_G27_As_2 (GE) - TPM",-0.501170583846726,-0.642838286296746,-0.0245812638397836,0.513360570794778,-0.316202112503774,-0.144422429888098,-1.31775709414302,0.178333371052192,-0.612969091743914,0.385719181473969,-0.583402677028279,-0.455176147108714,-0.348665100270751,1.35031923649224,2.0866358864314,0.0786908148069223,0.657665953919145,-0.157038697087556,-0.597029889130499,-0.968077253090688,0.369675936623408,-0.537636917911625,-0.313301383623902,-0.710650007095524,-0.738179389009515,-0.818288228359278,-0.970382524821708,-1.04433165594502,-1.02772831040134,-0.593607100685147,-0.413666927954993,-0.376220976822744,-0.0966691504262204,-0.185655782142223,-0.260793839887787,-0.700321947375965,-0.51463114880255,0.144295816142454,-0.124836602073704,-0.738947631037157,-0.638191667382405,-0.63574019022511,-1.08535127562379,-1.34746612277949
"HP_G27_As_3 (GE) - TPM",-0.055227354966353,0.865343746249012,1.18671139968261,-0.225004417201586,-0.363309312087539,-0.206748568004391,-0.473155410888169,0.856915501910712,0.189900490805477,1.00270030120364,0.0262818735751435,0.215624039428613,0.458029216913194,-0.083837405403817,0.222768050408309,0.527049584265827,0.820064603654287,-0.463835988888556,-0.739905050735415,-0.568081300165596,-0.125628732283578,-0.139271196568623,0.0220768589915907,-0.423302995588963,-0.436631989779428,0.253556896353899,-0.460506280006342,0.442832561995801,-0.373558015052761,-0.0359934289152943,0.151812434192548,0.761833730187364,1.1993945511581,1.05263060187591,1.08858472686146,0.0434949747518919,-0.196946316517275,0.471054462984741,-0.0860510496574485,0.304204221487085,-0.884147075409476,-0.899173090254489,-0.319903043794774,-0.0940784818476547
"HP_G27_Ctrl_1 (GE) - TPM",-0.130679257441798,-0.846993029486868,-0.459930273818382,-1.20008596309907,0.313950267181549,-0.0418010613364196,-0.377983973972013,0.286990356701212,-0.100192744450015,0.196157332533392,0.189840073909891,-0.523552713232036,-0.895060727740629,0.0833686597390676,-0.418486332968735,0.223744550693801,0.935492202304663,-1.54902297727544,-0.553563912707142,-0.581540859868578,0.792168017605824,-0.751977660005788,0.0427555460042184,-0.181752354066279,-0.429568856412788,-0.611890649987622,-0.435310258645491,-0.64874662622686,0.412011334758582,-0.923585813543042,-0.763688040112019,-0.296443863758498,-0.40432216665562,-0.22515007801392,-0.24051448835992,-0.130739786199882,-0.487026257542556,0.804479238914551,1.23237326386318,0.131303527359534,-0.535992195700497,-0.381623723336865,0.539672553624394,0.132825195796369
"HP_G27_Ctrl_2 (GE) - TPM",-0.465501931421282,-0.918195555877446,-0.408179255708952,-0.65855687019384,0.510135162978256,0.0986223892239754,-0.158669944453532,0.256729810806937,0.0837411182004188,0.371979661461075,0.384194883229858,-0.396718223786769,-0.768335623487616,0.344042815334988,0.725495336636919,0.703878809350069,1.11122243266347,-0.837815945992812,-0.545039324398837,-0.474876548972785,0.634423032347759,-0.45580608542604,0.729957854477051,0.121204561291597,-0.345336516559707,-0.313095161901008,-0.0130058283998643,0.839037737433143,0.21735711664836,-0.953687138570257,-0.737851903915714,-0.274477266726475,-0.147966160689348,-0.112808181785701,0.168177838411235,0.421221034594381,-0.402855552340531,0.974908658815933,1.4576309327385,-0.408489486123473,-0.586226876716233,-0.411064007117002,0.500507380582664,0.270997062091904
"HP_G27_Ctrl_3 (GE) - TPM",0.440178833843732,-0.409123047713517,-0.0265167964288172,0.160935543170723,0.666308085363507,0.573839702407204,-0.426522599044796,0.161037145258373,0.168736111972408,0.143501809950323,0.667940382963874,0.261780610278192,-0.597655673886254,-0.795362376000317,-0.776178620887332,0.169366685017073,0.503447575626328,-1.06404882762544,-0.671183041973953,-0.780155115293456,1.08740540971522,-0.0262965310680327,0.26098132197296,0.280153369793978,0.168215949275817,0.114024303866528,0.16693090062538,1.3309259911898,0.875158624820721,-0.731331192353677,-0.687486079438437,0.309272013187672,0.274049075727408,0.425021880549931,0.322998301025376,0.120427607538598,0.242904164245339,0.911758219992207,1.43991238320528,-0.0473619244070647,-0.658342042984678,-0.742735422321899,1.55933815256288,0.558168081153196
"HP_G27_Li_1 (GE) - TPM",1.06377789174173,2.02748320019424,1.18562857825184,-1.1644882173493,2.7723189138012,1.5792923657396,2.27941231344627,1.44121988289201,1.85930642407527,1.39023155096392,1.58437224824716,0.813812645485451,-1.17800869294589,-0.351231011109065,-0.764216695759944,1.86140001329115,1.81783517371143,1.92731519370813,2.23258780254748,1.19809294811585,2.10772389087227,2.07174213673605,2.72602755248201,2.18179999693787,2.45624705342488,0.565075533073352,2.53156632881336,0.721630463467124,1.93005163779542,2.17077656786092,-1.19756493225227,1.6007396464853,2.02182512430249,1.88515294032695,1.83364904052472,1.91589393796407,1.32814762287704,1.52444634004588,1.74938610683789,2.06293675955386,2.21302444678775,1.88260359233274,1.21290526289354,1.31922790809997
"HP_G27_Li_2 (GE) - TPM",1.89684472768476,1.88738180840028,1.05629492376828,-2.13386860214935,2.20104985207011,1.87470904640922,2.22496849670681,1.79760466202128,1.77566630633262,1.34165642802991,2.26889232785819,1.53747452060277,-1.32499309204251,-0.789273105543717,-0.661421054584238,1.43049149343335,1.82898362454618,2.31870079594802,2.75153887251814,3.71072394305484,2.43678914282467,2.07156221277683,2.44939266870586,1.87867462926381,2.13419120250838,1.55724008813425,2.38586395050821,0.775184283530902,1.54594144398471,2.67492502989831,-1.13702848553872,2.03073739089403,2.29759572190131,2.26298541491142,2.01317459156647,2.90865453127512,1.65624884533611,1.40093870338205,1.19260249389417,2.36440469534899,2.25640999344442,2.78321766192603,1.01590852583518,1.06433032198623
"HP_G27_Li_3 (GE) - TPM",1.99863544988753,2.40317597197714,1.7567348047118,-1.42859399658945,3.04051725905539,2.10077464018583,1.82398049894767,1.76656984529431,2.86958184820752,1.65644091991168,1.89625796419978,1.30734854119171,-1.02733935033508,-1.1959675056286,-1.76868684421676,1.01866183597461,1.78625554529927,1.54068985971099,1.82565662866565,1.424099294581,2.56044821585233,2.938009356867,2.30148329310935,2.59908296065248,2.68776074262981,0.978238790465502,3.36218006384843,1.20233660084855,1.71328638471556,2.92360180253572,-0.852610953306788,1.96469322681184,2.11681027014892,2.14827003545933,2.17085772306118,2.88966028362208,3.03064670267332,1.66391714340515,1.53636242905262,2.49067611859094,2.03261829508093,1.85264215871597,2.23704097288778,1.27996451974683
"HP_G27_Mig_1 (GE) - TPM",0.548111868279912,-1.29878923759325,-1.04639322730167,-0.291240643774165,-0.566044525387663,-1.27808715225761,0.129839770935275,-0.972784452514754,-0.734728815631114,-0.625935386355221,-1.06972203220402,-0.761772868206945,-0.801155700370413,0.232343590367009,0.696014098859603,-0.628703248364374,-0.391112360637146,-1.7197037293486,-0.336452060971539,-1.01636690150116,0.0620833781977749,-0.189344597183086,-0.973298844634748,-1.60788916046677,-0.266713438106407,-1.18951754471709,0.944462315376605,-1.58133913073139,-0.57636540605221,0.475432695912496,-0.17762512733969,-0.698133366964244,-0.507602998238701,-0.611621632920536,-0.827175948099809,-0.312900971744691,-0.0246861737212737,-1.1026712464792,-0.913678066916586,0.141865919331269,-0.199270864775536,-0.804862775642626,-1.06050487709844,-0.625754248784665
