"","HPG27_RS00030","HPG27_RS08070","HPG27_RS00245","HPG27_RS08095","HPG27_RS00310","HPG27_RS00315","HPG27_RS00320","HPG27_RS00350","HPG27_RS08100","HPG27_RS00430","HPG27_RS00480","HPG27_RS00485","HPG27_RS00560","HPG27_RS00655","HPG27_RS00880","HPG27_RS00940","HPG27_RS01045","HPG27_RS01065","HPG27_RS01130","HPG27_RS01140","HPG27_RS01395","HPG27_RS01585","HPG27_RS01625","HPG27_RS01725","HPG27_RS01735","HPG27_RS01795","HPG27_RS08155","HPG27_RS02340","HPG27_RS02345","HPG27_RS02350","HPG27_RS02455","HPG27_RS02570","HPG27_RS02575","HPG27_RS02590","HPG27_RS08180","HPG27_RS02660","HPG27_RS02700","HPG27_RS02730","HPG27_RS02900","HPG27_RS03060","HPG27_RS03115","HPG27_RS03180","HPG27_RS03555","HPG27_RS08195","HPG27_RS03725","HPG27_RS03730","HPG27_RS03735","HPG27_RS03815","HPG27_RS03965","HPG27_RS08230","HPG27_RS04365","HPG27_RS04370","HPG27_RS04380","HPG27_RS08245","HPG27_RS04570","HPG27_RS04650","HPG27_RS04675","HPG27_RS04725","HPG27_RS04815","HPG27_RS04830","HPG27_RS04850","HPG27_RS04865","HPG27_RS04870","HPG27_RS04875","HPG27_RS08265","HPG27_RS04890","HPG27_RS08270","HPG27_RS04900","HPG27_RS04975","HPG27_RS04985","HPG27_RS04995","HPG27_RS05000","HPG27_RS05005","HPG27_RS05010","HPG27_RS05015","HPG27_RS05065","HPG27_RS05070","HPG27_RS05075","HPG27_RS05110","HPG27_RS05125","HPG27_RS05130","HPG27_RS08275","HPG27_RS05430","HPG27_RS05530","HPG27_RS08285","HPG27_RS05540","HPG27_RS05685","HPG27_RS08290","HPG27_RS05700","HPG27_RS08295","HPG27_RS06060","HPG27_RS06225","HPG27_RS06395","HPG27_RS06435","HPG27_RS06495","HPG27_RS06655","HPG27_RS06710","HPG27_RS06750","HPG27_RS06765","HPG27_RS06935","HPG27_RS06945","HPG27_RS06950","HPG27_RS07110","HPG27_RS07115","HPG27_RS07120","HPG27_RS07275","HPG27_RS07445","HPG27_RS07610","HPG27_RS07625","HPG27_RS07820","HPG27_RS07950","HPG27_RS08015"
"HP_G27_As_1 (GE) - TPM",-0.344424738320254,-0.307046723726262,-0.37422177208321,-0.187885248963341,-0.45847320070399,-0.453459353980686,-0.554026572271508,-0.512879373223917,-0.294343218298798,0.962808258231681,-0.530789100146156,-0.00813273792719792,-0.0856353882290922,-0.314455574237255,1.28233291724825,-0.173140963352454,-0.249353260775752,-0.80363515619528,-0.243086555469138,-0.623532720502648,1.71564720516431,-0.750712369095805,0.0522387751895157,-0.653951062658238,-1.09647758216695,-0.339990208966155,0.209913516528012,-0.254556059474293,-0.645925402368472,-1.00215662185287,-0.31938277471209,-0.1015379184517,0.328096919932922,-0.603707617579429,-0.656285702835701,-0.467465547715394,-0.330580189271016,0.466192336544404,-0.966260765134762,-0.179488191599453,-0.373605115617497,-0.0524461952331352,-0.213762249660484,-0.289302609207853,-0.148071735334109,-0.600924132958536,-0.784811078110224,-0.0508424534198352,-0.0430300132882269,-0.257821077103063,-0.858271096328483,-0.688153432063182,-0.40272711009644,-0.641704202899275,-0.481087103336772,-0.306687084999194,-0.411139708867678,0.271626667546802,-0.372473793861547,-0.366877771734437,-0.434115304917052,-0.766855053128416,-0.264501402764037,-0.7728313108748,-0.420788280079806,-0.345700601718971,-0.593504886312189,-0.266603580726322,0.830085460949448,-0.0674558386802168,-0.583587415863755,0.657075050508513,-0.65395851469401,0.12704632946491,-0.32294663394999,-0.459895552119352,-0.127950805416535,-0.481197209545137,-0.544361379837912,-0.417024562664678,-0.34188896436311,-0.23398875763217,-0.930872933355195,-0.58908525512005,-0.338408099123728,-0.635467855475094,-0.521739225744543,0.784157014588325,-0.506005043754227,-0.407164378706423,-0.849864840569455,0.614995756117111,-0.382840930919021,-0.289684188071967,-0.984496287709378,-0.30214445087408,-0.16017716345818,-0.306506772463768,-0.220733308570282,0.0937342688260629,-0.203691446590935,-0.270428016905708,-0.486514234550487,-0.345606516979509,-0.339187893904004,-0.518966362069627,-0.139968614341746,-0.245651189254676,-0.201115740466887,-0.141340891935112,-0.376930509012594,-1.27828554911515
"HP_G27_As_2 (GE) - TPM",-0.406461514716823,-0.307046723726262,0.130046146803555,-0.323275513315366,-0.453715512342871,-0.538813684414642,-0.589574754191815,-0.491971627853893,0.107063974824594,0.967246739060177,-0.504255190666013,-0.16156995454638,-0.275629557409378,-0.33948843800758,1.38156904962225,-0.491432798467225,-0.0470382058397554,-0.408476677475495,-0.0693629251997563,-0.553840789558284,1.61526560344914,-0.45352068755361,0.0275920766558789,-0.60127866621705,-1.06998571149871,-0.378084209588822,0.0679056039442832,-0.324502104937405,-0.701604909482661,-0.561835754481805,-0.0349817257950377,-0.471645318548834,0.164905619059268,-0.57364668410088,0.0402764986300766,-0.52439753999366,-0.500867559278327,0.403382233175515,-0.787922563573521,-0.185813779881747,0.0298627499709269,0.062044506105661,0.39714021912989,-0.149366562626191,-0.260009684811673,-0.3884973078882,-1.24781477376211,-0.022419076216824,0.474535088299637,-0.438548248593672,-0.439546748772819,0.0387588006971614,-0.40764757989593,-1.29028964105427,-0.0392980122607942,-0.408979695672117,-0.316677501897529,1.15879023643816,-0.255402250694972,-0.370272997638299,-0.545029085876555,-0.764079214538372,-0.299643142260766,-0.499086059434498,-0.358952573005445,-0.308121154297352,-0.458022612993246,-0.347540435784276,0.777668133774894,-0.953432115047404,-0.27274033665243,1.06261000506653,0.254345240610979,-1.01777212966527,-1.04655659458849,-0.379111019669312,-0.129818561569723,-0.697396232728167,0.220163026930338,-0.618541490258809,-0.268543591514193,-0.134993128019755,-0.821534566961354,-0.480069727379713,-0.424445847161746,-0.376468676851536,-0.364000185586811,0.865050070415058,-0.432562825321316,0.0864237863446417,-0.81207720959366,0.59667044953947,-0.385339068184547,-0.339762109726402,-0.895498199050302,-0.0360375525097904,-0.103098464887379,-0.34286390126792,-0.486267622035484,0.221701996108927,-0.165029852678576,-0.20775586059857,-0.591407905445396,-0.33175386929401,-0.358828176870793,-0.243654484912962,-0.079749830103975,1.05858465266101,0.00593529530245439,-0.268625953290671,-0.260462715102176,-1.34580718786657
"HP_G27_As_3 (GE) - TPM",-0.405635761878296,0.785697053055107,-0.210099205494039,0.150869101326834,-0.317065042183295,-0.315600113385562,-0.370903465786526,-0.251377374772601,-0.475200254830964,1.33345798746448,0.45601642703213,-0.0930660248412821,0.111466679339087,0.21604114300934,1.25176335353701,-0.206499147859126,-0.131993101348337,0.173261357376471,-0.108892163745049,-0.236039088576103,0.653221237738399,0.140223737711977,0.330875183978663,0.0508538545132793,0.510015612310061,-0.393465316146903,-0.245292601226818,-0.17780761581199,-0.0538552922988606,-0.649377589051665,-0.13487785857279,-0.471645318548834,1.47524561607435,0.00392474837995477,-0.169883165193245,-0.279127077388847,-0.649919262895852,0.443023914317668,-0.679529312721125,-0.159648060545013,-0.134507387880864,2.15342151147014,0.00840898859530844,-0.270965927449871,-0.0575758297545907,-0.0128837938999385,-0.991018716051945,0.104838586648351,0.382382556565272,-0.366211023204719,0.309963780180576,0.811537317221466,-0.231567395225535,0.234972646727399,0.346032704165248,-0.408979695672117,-0.448520522496596,0.971472527340784,-0.494431257426545,-0.178981092848723,-0.501314612003253,0.159907569440646,-0.278459603451056,-0.474582394464312,-0.319486207063406,-0.294606680264638,-0.336669286074205,-0.290189460975004,0.53772942821223,0.226667865475851,0.013299475889913,1.22870413892378,-0.0851217419779554,0.558191904554243,-0.342547599365953,-0.302297341050536,-0.0681955136310957,0.0444666953874279,0.39624480776819,-0.261163643165638,-0.238316098801694,-0.0276586133459716,-0.314102781067683,-0.228555555589229,-0.249437626999727,-0.174163797722604,-0.152390145508814,0.694318108692164,-0.117870440064698,0.876984121370075,-0.449970198856241,1.05906144417696,-0.196440117125965,-0.167284789191513,-0.340740035853977,0.20168580059357,0.196801435103961,0.35246696069699,1.086941404487,0.289602460002139,-0.274959562193315,-0.305097389086935,0.0804224239413099,-0.318955402318936,-0.316463897209794,-0.295589023650782,-0.0420826521257048,-0.189474429525328,0.171553907559287,0.0778874124974175,-0.288372356341471,0.942623597994367
"HP_G27_Ctrl_1 (GE) - TPM",0.0469124259404998,-0.307046723726262,-0.491196760614622,-0.199747791320985,-0.270871034511452,-0.156172318071221,-0.28994061569308,-0.213740774964465,-0.552781438057197,-0.149940353851515,0.0935741605039483,-0.386679767227888,-0.856844663048122,0.175441431867139,0.678052905057861,-0.326001286498423,-0.219770143225904,-0.508338557953839,0.142246907271528,-0.0708161105913121,-0.582602998055948,-0.268443629312835,0.423774586415043,-0.815348773643399,-0.557135866486687,-0.227085024129429,-0.21792884306997,-0.285177197922277,-0.609851406133877,-0.62501257471982,-0.274215099286241,-0.471645318548834,-0.577908097616728,-0.370946909120264,-0.307325671560921,-0.0576054575623906,-0.779847647486695,-0.492912245189402,-0.172027505189386,-0.158011275885664,-0.443872218018307,-0.299857508135595,-0.238925416167686,-0.769383956850822,-0.414820300893347,-0.416434701986914,-0.484905191742796,-0.276592663778204,-0.676717822033457,-0.359381411056654,0.0433309580936985,-0.379533431767571,-0.308207149664484,-0.439143413385724,-0.626405035201648,-0.0393064197136585,-0.430313358987065,0.684396204684424,-0.716027359536887,-0.672822209728339,0.0238503556205322,-0.0402445025160372,-0.407508546333908,-0.963281742254879,-0.361273409254625,-0.263148824375243,-0.262424816369041,-0.214009081212689,-1.22235628756599,-0.340879289516119,0.685532343676722,-0.0538773363762412,-1.01330969159397,-0.389773603349678,-0.337791550646849,-0.37131597642357,-0.658865243254054,-0.674258045599069,-0.961852020522729,-0.472096559631079,-0.283364631456393,-0.141684692069622,-0.263543317423974,-0.538505830896039,-0.391008658888929,-0.317826284137058,0.122390102526332,-0.377335309410149,-0.179560324179227,-0.259127640925733,-0.0570104287827369,-0.219616000382344,-0.33787007685322,-0.782257134053186,-0.686130509923473,-0.7828791639205,-0.265865625894995,-0.536406200867211,-0.238482038400042,-0.327352593466479,-0.368842453381737,-0.317300010115715,-0.553045448755262,-0.320137459048569,-0.285895102134893,-0.494317067430838,-0.222111082044737,0.949885184776903,0.0114200539187031,-0.292272551307439,0.397354195788091,-0.452458553083082
"HP_G27_Ctrl_2 (GE) - TPM",0.157959614012463,-0.307046723726262,2.19766853920137,-0.125054146662005,-0.237358727018551,-0.364496465423757,-0.687052297141218,-0.314526635679976,-0.153828348176233,-0.350258675416614,0.0230251740110271,-0.371891539613209,-1.12057933384612,-0.198325102237971,0.416666485980897,-0.545862121441216,0.267909492718902,0.571473987515656,0.172179524875903,-0.306231610309092,-0.347735900232195,-0.399018937197726,0.357450999128502,0.0646670054742568,-0.973183016641237,-0.178164807440145,-0.107255987659716,-0.542409020991934,-0.389108513947351,-0.469751018224057,-0.306589339664441,-0.471645318548834,-0.552761693818203,-0.666868693505821,-0.472258293990902,-0.134031955059249,-0.893968469314031,-0.633785713280281,0.0268475401687616,-0.204831567222338,-0.842511316843683,-0.221133212319932,-0.167192393361203,-0.716148750988159,-0.297473253802715,0.826454780449191,-0.653090309904345,0.0213757251243946,-0.588715271428668,0.156630290578308,-0.0861083955733489,0.496430277377568,-0.29031862842975,-1.03157557104314,0.665121605169165,-0.408979695672117,-0.245673281944971,0.686744078644891,-0.480493690954862,-0.062407467685428,0.0207405029910765,-0.494583997392929,-0.496961523250536,-0.3010855534423,-0.392874657146642,-0.275860970923727,-0.668453750236721,-0.146802168655196,-1.19705298427281,-0.656678119609816,-0.513530673054417,0.0908892731796243,-0.186078799397052,-0.884429825732625,-0.630300824079099,-0.260051399937887,0.110412588461841,0.0128338291920709,-0.741398130389539,-0.727492487815328,-0.25687583744862,-0.351326864824693,-0.463876039705926,-0.988880719654745,-0.380141548272854,-0.465757161885384,-0.176586215094518,-0.0761143841531035,-0.226951694664935,0.518671001362958,-0.0165652213130886,-0.147599009532079,0.103677959748731,-0.173923964435183,-0.758680523847655,-0.343493317984263,-0.352878189577964,-0.52959031967797,-0.584844979898332,-0.300728654036848,-0.332364453207605,-0.250448677573157,-0.722044556885484,-0.278613692595325,-0.347755236461639,-0.585526948142228,-0.129869567262969,1.41776999559691,-0.00688330974596886,-0.00988152659964443,0.577757478619473,-0.829049371565893
"HP_G27_Ctrl_3 (GE) - TPM",0.0725076311177388,-0.307046723726262,0.275695143967238,0.00518575362781115,0.0165254597672722,-0.0595000379335645,0.318441536148912,-0.391642786949072,-0.404213800125366,0.0784788629635445,0.177474140604608,-0.34734647716531,-0.198810090790117,0.413939304416465,-0.22345065647771,-0.28790218760899,-0.0970487267073082,-0.0161582281856792,0.285848214814165,0.0548944262174287,-0.657892733439561,-0.436103068428534,0.00399627278535955,0.261418163605077,-0.542565613249275,-0.307225785450399,-0.14761602526367,-0.241267985542608,-0.331511812420483,-0.491506075411459,-0.365540372176961,0.166642419110624,-0.494500088562807,-0.353127779027898,-0.493988592318111,0.0123471165703235,-0.553701402356803,-0.726174010706158,-0.359647920905212,-0.283048902393025,-0.800739453113504,0.224250970399641,-0.334297132531742,-0.465040169487928,0.040618859728449,-0.21288750708321,-0.363164277237484,-0.0942956549825656,-0.186087077091952,-0.438548248593672,-0.422079463843577,-0.379050911297944,-0.212292969787429,-0.526753883288492,-0.174035147333854,0.0026529215848611,-0.154661716861198,0.28381216965115,-0.710480682822414,-0.305476983312616,-0.280043099656138,-0.0724818474204377,-0.415432330683414,-0.77406276705839,-0.322556415586296,-0.243394805199617,-0.477681076925,-0.137696152736781,-0.959691043931955,0.554872953453614,-0.196142228186626,-0.346595836896017,-0.503464594372796,-0.486477630029548,0.0198083060561105,-0.544248098647474,-0.248077656678787,-0.387423574032598,-0.606928577408505,-0.558267040176384,-0.139127457777377,-0.162986307974091,0.0286289441222151,-0.34657974662289,-0.301731937432524,-0.241018037228889,-0.11368483567222,-0.269695829668558,-0.136707247530415,-0.895795343665173,0.399087194009177,0.0180555834958433,-0.110179635538363,0.427423953465463,-0.290377263154066,-0.299919508298672,-0.264160109484682,-0.408554392278346,-0.144317125491936,-0.101618762876449,-0.290134015160577,-0.259732678752856,-0.200335668626228,-0.326654325063935,-0.288420701643412,-0.444951644794392,-0.2028289019946,-0.358395191330185,0.127045370322751,-0.420753236135492,0.617668277807162,-0.520970728143253
"HP_G27_Li_1 (GE) - TPM",-0.432874072539986,-0.307046723726262,-0.093901660850636,-0.496905807519549,-0.0865475114307682,-0.431857616345997,-0.70529011259365,-0.476354249714345,-0.0935366721332822,-0.588041531095598,-0.170809729480255,-0.551876692284541,-0.658792689401639,-0.60134599220095,-0.0134162364194949,-1.05256101191942,-0.922993628747229,-0.135288636167013,-0.574186643723071,-0.182096298031869,-1.04474880921839,-0.0607499549623031,-0.810311911646352,-0.814597531651709,-0.421954951024088,-0.371513330711971,-0.371493209776251,-0.274536073328704,-0.397077257830874,-0.378773767415191,-0.750879375616524,-0.471645318548834,-0.64905246898415,0.310732208878328,-0.264229091143622,-0.264372850989687,-0.691149174019896,-1.21402746407972,2.00710392492313,-0.784805711892442,-1.11848062484138,-0.762580100013753,-0.518301962142055,-0.835503040618591,-0.595118909606413,-0.518239832029093,-1.21736466585501,-0.882016864961853,-1.33101845420203,-0.39097014218211,0.258561428835857,-0.349311061247211,-0.361371161359762,-0.864541557613161,-0.625947793759397,-0.408979695672117,-0.235753374369388,-0.0884271918643885,-0.822884247270446,-0.65375994702433,-0.115308771378099,-0.433725227211104,-0.249127100289534,-0.874025328637612,-0.291377990093404,-0.318809793007601,-0.312186678017447,-0.259156023476766,-0.865277755773171,-0.542724729541126,-0.881744070595592,-0.552026029228095,-0.883529791271975,-0.9589788823839,-1.25503773436449,-0.507119458329466,0.0473225851933833,0.912725927742679,0.209945833179565,0.0435976787464986,-0.244627068939873,-0.32772426480236,-0.0561536610031727,-0.527270292404688,-0.358205600365579,-0.649260156325324,-0.224658024885178,-0.383179834202692,-0.764429125015333,-0.774674303177983,-1.04268340963102,-1.24430289759041,-0.562721611139952,-0.441112479951823,-0.685535420175114,-0.747380734463087,-0.404096610611268,-0.713425133370234,0.283426162887203,-0.20258052241738,-0.45966368130034,-0.334113681319765,-0.458036386041868,-0.276808391077091,-0.287041831948414,-0.907369974575334,-0.285550240788586,-0.369827883941225,-0.561017428855902,-0.351144660129348,-0.605397302127577,-0.249736381800392
"HP_G27_Li_2 (GE) - TPM",-0.475290369561731,-0.307046723726262,-0.857902803461727,-0.554062793415632,-0.382536463232209,-0.575093349864782,-1.21569259061683,-0.596563595311755,-0.475467845473399,-0.417581852369633,-0.342608790001725,-0.706385587365176,-0.478351097296115,-0.781206574405679,0.483269882267284,-1.10158511904476,-1.2007160343569,-0.150270619624954,-0.708942387993426,-0.0319286061832859,-1.08913961072413,0.106309084553214,-0.545096092491642,-0.890968636598714,-0.551524527484423,-0.389991426231868,-0.24683354950625,-0.179390853335931,-0.340450122477596,-0.267313874676345,-0.622222873650088,0.901285227505898,-0.764998786554089,0.687686468473862,0.3177721525776,-0.42532280503078,-0.814062099644291,-1.01515458130884,1.48178130621339,-0.876026606206689,-0.825047934952885,-0.951127100153438,-0.444503661934509,-0.933434075235374,-0.710827876373762,-0.914914104135165,-1.23584518678543,-0.83933306583956,-0.973288760705934,-0.438548248593672,0.194821744883639,0.278890033023733,-0.520795123175014,-0.958306172153226,-0.270996842898011,-0.408979695672117,0.428856804422055,0.3103840688803,-0.597725518940366,-0.00531157930430708,-0.350744122734609,-0.858269181564104,-0.581426064848318,-0.704025319639125,-0.419567924030686,-0.349263807281956,-0.217683453528087,-0.375799238826841,-0.472057134138113,-0.826211856961253,-0.168178958977655,-1.01812168668655,-1.19242518291645,-0.783337889222785,-0.81487194556492,-0.578576005676833,-0.204868952984265,0.198281931483189,-0.194920139948451,-0.201462014658439,-0.354392170411303,-0.48678108757853,0.354309862615226,-0.525720093138024,-0.527597599809756,-0.712723183115665,-0.335163568630912,-0.385432329220408,-0.707268383447174,-0.681926513654258,-0.718202044378458,-0.8001914327015,-0.539722832272122,-0.331171793150867,-0.793812187763085,-1.07216531537902,-0.473957846822003,-0.562710174297932,0.487226566103722,-0.165146929733598,-0.319235140370355,-0.452067155732255,-0.546433943469232,-0.336120526501271,-0.383184993392699,-0.69088827158177,-0.385134032029903,0.412402494013513,-0.506416956409372,-0.509776755537599,-0.762856812539876,-0.229779406141214
"HP_G27_Li_3 (GE) - TPM",-0.47955199453387,-0.307046723726262,-0.857902803461727,-0.439279977683749,-0.207629850175883,-0.202050469703188,-0.380431856459533,-0.537760172132865,-0.342380254643947,-0.689215169461598,0.0476321223309334,-0.455141050475275,-0.00776273130660635,-0.803080421160676,0.126079319692104,-1.20716125475544,-0.820655162470491,0.0927834561383083,-0.556701617951677,-0.0133696065770125,-1.18643902522109,-0.132896323676643,-0.439873038166826,-0.842457353661708,-0.453422153532308,-0.389851644664389,-0.44728067405938,-0.387853905006662,-0.18802704536509,0.0909491560766659,-0.885111428791005,-0.471645318548834,-0.754951843073623,0.48932531720814,-0.589320746818597,-0.344093773696651,-0.773921538109659,-1.11301092697171,1.4407588416583,-0.872257813857534,-0.765664320601944,-0.767603203495515,-0.523974753196449,-0.70678930610615,-0.667470342091088,0.299290355379945,-0.65618304562355,-0.844271293984202,-0.942770322963572,-0.340458498046708,0.621237139978815,0.984411756639476,-0.243431283644817,0.0759283546961558,-0.387357841480901,-0.256301459144085,-0.11318881669176,-0.118837808041218,-0.578279491394314,-0.423138449318325,-0.389314503689187,-0.68490939362768,-0.3781459382944,-0.647886814067287,-0.43241093384239,-0.349968477023583,-0.287072261844596,-0.405673293950347,-1.0777023773421,-1.01304785975763,-0.396270110565374,-0.464442927855225,-0.396992442869022,-0.567086211499689,-0.306217924313345,-0.463318888082601,0.0941461240785631,1.09587092312556,0.129239715131182,0.316944505772812,-0.269053029874795,-0.403223171081243,-0.16607622021116,-0.414498813801414,-0.370545783474496,-0.579927485429816,-0.285875749541807,-0.311821152657415,-0.678811316424852,-0.935151109974297,-0.570601703201109,-0.985713888822153,-0.705863869434297,-0.488410963083165,-0.708958544248354,-1.00629918316632,-0.464129696833624,-0.63864356689495,-0.707846795149269,-0.125915082954307,-0.183492544676517,-0.35579763243186,-0.573071289995629,-0.298431666273031,-0.365046111878428,-0.805153057428617,-0.343677142874185,0.932604766182814,-0.457208160994405,-0.425731475514798,-0.641127595422273,-0.181700440618175
"HP_G27_Mig_1 (GE) - TPM",-0.225168268160142,-0.307046723726262,0.0952792694778068,-0.789217852234138,-0.481222375947474,-0.634907701237886,-0.375692359554364,-0.614021695309654,-0.552781438057197,-1.06123257155846,-0.986268917621838,-0.678854817551435,-0.333705545355166,-1.00319014743599,-0.777424099039133,-0.642535294965749,-0.949235230960001,-0.563001111585732,-1.09851853763176,-0.967491300088103,-0.966776773344713,-1.20246989183097,-0.512407608616199,-1.00857109530445,-1.27904557558835,-0.462828609101007,-0.69205167252732,-0.4409601564,-0.920630182415305,-0.705116290824242,-1.1220314656633,-0.471645318548834,-0.78111520283408,-1.15757938987402,-1.37261059571855,-0.615521707651938,-0.818114559217407,-0.757221742336513,0.518473822909993,-0.606570574560222,-0.825547644924154,-0.746817295661661,-0.944747516414632,-1.24496944233011,-0.799670612092103,-0.965312907966236,-1.32374793304322,-0.976696163008919,-0.97651801291881,-0.438548248593672,-0.719161581530391,-0.903970007139924,-0.512888986643814,-0.499792377346676,-0.542970830828611,-0.408979695672117,-1.3050715238519,-0.471679687618831,-0.751796021287949,-0.834930786825643,-0.602275322620132,-0.674517137155538,-0.33845038222259,-0.209142929006614,-0.590241061946342,-0.439872499297518,-0.663398762752266,-0.454160823193408,-1.66552238595618,-0.715506256144197,-0.881744070595592,-1.3023243378683,-1.10967315681878,-0.842881033160434,-0.77015525081997,-0.876127101655223,-1.26689707380798,-1.39756852408876,-1.27872998726748,-1.27934976317665,-0.54140841867217,-0.562369341871265,-0.667734738695093,-0.715048098850951,-0.542384720508127,-0.890665606923697,-0.477486162277483,-0.822095138295502,-1.09511522692592,-1.19525851787588,-0.430738777440453,-1.16051134703341,-0.850645512817135,-1.06179938934575,-0.558471764757811,-1.29709598237284,-0.64615034279753,-0.484781874222184,-0.0522335715482777,-0.705904579831401,-0.86275190590307,-0.529595403189527,-0.967876604064978,-0.319968829533131,-0.400688629956528,-0.686557931299348,-0.571614713643158,-0.638368262923868,-0.877944121306344,-0.560750196116811,-0.800977857540774,-1.21865908257751
