"","JHP_RS00425","JHP_RS00635","JHP_RS00665","JHP_RS00725","JHP_RS00730","JHP_RS00735","JHP_RS00925","JHP_RS01100","JHP_RS01125","JHP_RS01235","JHP_RS01480","JHP_RS01485","JHP_RS01995","JHP_RS02025","JHP_RS02255","JHP_RS02325","JHP_RS02410","JHP_RS02835","JHP_RS02935","JHP_RS02995","JHP_RS03090","JHP_RS03235","JHP_RS03335","JHP_RS03415","JHP_RS08050","JHP_RS03640","JHP_RS04085","JHP_RS04210","JHP_RS04400","JHP_RS04535","JHP_RS04560","JHP_RS08140","JHP_RS05145","JHP_RS05185","JHP_RS05515","JHP_RS05525","JHP_RS05765","JHP_RS05830","JHP_RS05845","JHP_RS05850","JHP_RS05855","JHP_RS05860","JHP_RS06105","JHP_RS06170","JHP_RS06350","JHP_RS06355","JHP_RS06390","JHP_RS06395","JHP_RS06400","JHP_RS06405","JHP_RS06410","JHP_RS06415","JHP_RS06420","JHP_RS06425","JHP_RS06430","JHP_RS06435","JHP_RS06440","JHP_RS06445","JHP_RS06450","JHP_RS06455","JHP_RS06460","JHP_RS06465","JHP_RS06470","JHP_RS06475","JHP_RS06480","JHP_RS06590","JHP_RS06725","JHP_RS06730","JHP_RS06775","JHP_RS07480","JHP_RS07550"
"HPJ99_As_1 (GE) - TPM",1.45345359038677,0.864972663414203,-0.286091920324696,1.56337551603886,2.15600233147147,1.2133342787996,1.11901511303508,1.74130236186566,0.46605147817593,0.0231488977510567,0.237449892151383,0.669097846540781,0.371577271113337,0.609201644125359,1.48451365431305,0.381539711205931,1.49377592990875,-0.316855932184186,0.451524077243693,0.0931410480381275,0.748121537681164,1.03573158464854,0.859790539979253,0.0862225372457923,0.48051045069488,0.985898719720872,-0.175892441930125,-0.539245182807188,0.658734343895814,-0.197613610412115,-0.244258830208199,0.417672915984316,-0.309830358942959,0.39883254302042,0.475763575598441,0.601877629213071,-0.173382815273014,0.791559761345828,1.08333386542588,1.18187547062946,1.09790496856989,0.594930347392074,-0.0133551389272489,0.576470975990212,0.722900303153315,0.667863338070996,1.10233474806584,1.20509144591622,1.38665054151988,1.61675318054886,1.23280936240513,1.71664570365212,1.23548821765854,1.36909348276226,1.25349499263306,1.64186232908336,1.98171182656072,1.92958155394952,1.82768524728648,1.56531605130082,1.57432557131858,1.43516499006354,1.68476582436717,1.71367182443582,1.3340623262751,0.487787586262085,0.235285230835221,0.521642166722655,-0.606349601305276,0.58573735051893,0.0345183346538558
"HPJ99_As_2 (GE) - TPM",2.23153565528806,1.04714359913838,-0.615143584172692,1.69244186172983,1.35928373543431,0.926056858360768,0.938028824963563,0.839909033796156,0.182355243752097,0.0953937407828795,0.321801108755161,0.694419864456994,-0.606226893465491,0.10790285446635,1.03673301249373,0.591158580470129,1.33629266709934,-0.698380933961028,-0.836717401516474,-0.247125119428179,0.552507408966785,1.25920583494427,0.573058570296063,-0.351990957091829,0.381293510957111,0.676877050432315,-0.444910021077331,-0.564828246508707,0.554690903451131,0.0444085635155105,-0.0989711269124965,0.0785369489708973,-0.389691144862647,-0.195667954209605,-0.187720404813526,0.0265993638430442,-0.869056099901337,0.307411882731447,0.831571782483345,1.43375747418694,0.916354381930193,0.35944005644622,-0.274853328934428,0.808184940818798,0.692796300791766,0.613303543514066,0.930147340501115,1.01966740831202,0.931425376965327,1.1642602238604,1.22695647208118,1.63055615178428,0.875782446837751,0.138393760910036,1.00378276819465,1.29131959573208,1.03297026912089,1.30049325876125,1.16341204908766,1.36773395113238,1.26195731624581,1.39189884024329,1.29214050189535,1.58945272233124,1.55283036088982,0.20084557339892,-0.0265478537054667,0.12830560109566,-0.553354532536837,0.0215002538618674,-0.588832780662358
"HPJ99_As_3 (GE) - TPM",1.10158419020328,0.179192751454318,-0.876414846155266,1.23387294936891,0.714903769556297,1.40543480036548,0.530402625036107,-0.262393547033069,0.714190819288385,-0.0439521254416364,-0.638482326078941,0.0219730144329792,-0.811692590588331,-0.231000289580683,-0.0262573235900677,0.153965797419261,0.162118632079857,-0.261348951010022,-0.485179672562186,-0.412866669513005,0.43201918655556,0.507805006850184,0.288889995749727,-0.188481407214175,0.0431226126642319,0.240411550693046,-0.196360774960582,-1.07347519824706,0.241654738086361,-0.554360578444606,-0.33271248685345,-0.138479223221437,-0.584485812597714,-0.471154705796657,-0.230239479551336,-0.0751906730149579,-0.598441796092633,-0.261266926777669,0.182928100258261,0.28203024366324,0.0699849927824023,-0.132318171978164,0.0848857192779195,0.532184472337093,0.182063250309542,0.184776645902519,0.608746921697766,0.640745735886764,0.891230421740869,0.228151465858798,0.240318595162316,0.380555847521592,0.471039613714232,0.900947561827128,0.558038119529993,0.245876241758786,0.781201512506439,0.860535379110947,0.678312139320325,1.03607824330917,0.750716213060912,1.22818112946188,1.52547225918529,0.882237361257815,0.759211877191373,0.805022645991744,0.0519984420786032,-0.180775861081256,-0.736510412962746,-0.591004672961236,-0.809043981967418
"HPJ99_Ctrl_1 (GE) - TPM",0.255819778050972,0.70519552217759,-1.12824059267285,-0.782403769484258,-0.577068331297266,-0.19125860942656,0.111017896946632,0.0978215200679296,-1.40588017989018,1.43437866625371,0.505488605305423,0.654961751081831,-1.39644337203437,-1.0825155125225,-0.386064429294154,0.5526616086676,0.73997672676074,-1.16170553137936,0.885813482628964,-1.03319961897035,0.991375718063421,-0.377927928469655,0.260401761481527,-1.83824368873237,-1.64233485907357,-0.210075374386688,-1.38901295687709,0.712463677051977,0.809768976178834,-1.51546011683503,-1.1347495751079,-1.25617760454762,-0.847693496738695,-1.60884728367756,0.238716917523216,0.606046390154146,-1.03846463638084,0.558801987825537,0.255548015642908,0.99275178698398,1.19267783950799,0.455232379410552,-1.28516999372644,-0.00739685834476713,0.34166619000457,-0.0122842578652538,0.000870896615895261,-0.289287642120237,0.188030034330256,0.194740503077498,-0.0485954297292833,-0.129321798398861,0.152328094892925,-0.579503103592293,0.104822002679085,0.175968252282973,0.25956023104335,-0.0656106167775989,-0.00766890344530119,-0.117407791582928,0.109817445750595,-0.43943519190282,0.0601979070079062,0.219569539728499,0.202385510160293,-1.3602363878522,0.548039835562971,0.266098851146938,-0.673841909527513,-1.52651856679373,-0.841515458970823
"HPJ99_Ctrl_2 (GE) - TPM",1.0606983916083,2.02050930493035,-0.220556393642904,0.92392298271551,0.661303736315611,1.58833295309555,1.01927123899314,1.25976176990729,-1.25199571045859,1.35131810314722,2.29535155024116,1.99877149157849,-0.421105842275983,-0.268780217536331,1.32006961631847,1.82245236432045,1.93441473612227,-1.09920662221556,2.41368096118954,-1.01263051708618,2.19929602292788,0.298046038307647,1.59321055364032,-1.02037645889338,-1.44856554014594,0.246548596242658,-1.29818812963324,1.93959414578121,1.32290114605194,-1.78008238178512,-1.30357304922151,-0.795752511844487,0.202363978825925,-0.996290534986295,1.4560533507073,1.67170619537716,-0.570394153079047,1.55408134011391,1.27042771267477,2.00399058032136,2.16630495602283,1.94645423384858,-1.2538370458546,0.382522044495221,1.13894955096463,1.5720291039162,1.4249458113198,1.61102290489722,1.34523293983865,1.01928646423598,1.91698783224649,1.21470616758049,0.959388047831633,0.595742477312554,1.2672763900919,1.40141308880257,1.13321390950454,1.10973147034492,1.29782458339003,0.390722047392447,0.0725390872566521,0.808218707639426,0.892116490258667,1.77280872673095,1.66272620717013,-1.28967694547806,2.37147496929003,1.96533963722144,-0.617125237284507,-0.974509691137324,-0.536163001719185
"HPJ99_Ctrl_3 (GE) - TPM",0.806395332395224,1.57531390039408,-0.752967484336294,-0.0306169542280312,0.704923353264498,0.105534224218217,0.922296727599137,0.745263645334687,-1.09856842633156,1.27631606985593,2.0465981963848,1.35668207630911,-0.399294756660289,-0.861326703955198,0.587569384268205,1.12033270316771,0.730297463165706,-0.754719650179728,0.838605330795813,-0.962354724096899,0.866101244945946,0.398025634438096,1.18185486142272,-1.23241063337427,-1.00244089961612,0.0478089009225431,-1.76192434731815,1.21908404207924,0.793001322792719,-1.24896489915044,-0.904771618312252,-0.841223385532656,-0.761338759645477,-0.941291529182097,0.656325217894878,0.666453970442141,-0.346528517960947,0.999585921171833,0.880146584086449,1.36783950141387,1.35797873528897,1.08863246594878,-1.13370717417153,0.762737492918957,0.85435872241872,0.836488132961147,0.527019321912709,0.771517609666327,0.750801979059771,0.855624924676002,0.391956459206624,0.835456148353455,0.532307175087725,0.329573631759133,0.611110117945775,0.817493894083479,1.12639151286618,0.655654777004721,0.765995573343582,0.324738571957823,0.438145425860061,0.393909512748906,0.618914590643422,0.812963107465291,1.34390436670826,-1.10557772506691,1.36769878706275,0.860588739116008,-0.871930352018177,-1.06427295738607,-0.429779539763922
"HPJ99_Li_1 (GE) - TPM",-0.570788298650185,-0.0859565914509857,0.443190077802682,0.978697920759749,0.205374071833602,-0.216366012070797,-0.0158311765848324,-1.23272694952897,-0.346558404039296,-0.195957246576059,0.225751341315565,0.246737505731078,1.87343145981727,1.18505554361616,2.10122759948405,-0.758624123688921,0.0301262036104023,-0.884738626294466,-0.640596783896731,-0.698538695420143,-0.811363266536842,0.743832356310375,0.219811421305183,-1.30844453729079,-1.0760454119274,0.514291364438298,0.762047018759709,1.97460777799058,-0.448667738368704,0.0791871338697767,0.794115273430318,-0.381018057616548,0.596555822510431,0.8236011289231,-0.752882539727662,-0.809973626926811,-0.401299315183867,-0.322653039991812,0.180434482791683,0.182901804586209,0.441535757316387,-0.36199914477233,0.398738059175664,0.158776831684836,-0.377553384309042,-0.152838121314389,-0.0552900191009886,-0.3202344779657,0.105320324848837,0.0476152795775633,0.0436209182796787,0.361116845411688,0.15397127311086,-0.735186984234856,0.207163938465014,0.0993620184995728,0.129690359336527,-0.223132564028341,0.16911263766068,0.25206100715627,-0.00359939778793949,-0.245930411054234,0.390149771304858,-0.0617171108017205,0.224738736057922,-0.352935055480582,-0.757912380932322,0.277027868162353,-0.156769636553605,0.806853950990385,-0.446065494948367
"HPJ99_Li_2 (GE) - TPM",-0.892983614869449,-0.75493747638676,0.265369783321939,0.14835061698344,-0.646034937726039,-0.530115348704742,-0.547924941289642,-1.93067603898214,0.600668829697853,-0.327873727421799,-0.202788826008795,-0.551943457626284,0.837742388724148,0.689028153837351,0.990073716418149,-0.849754000004153,-0.753808570145858,-1.14533513339475,-0.267901317697236,-0.796253634212095,-0.825685878005861,0.842211357118927,-0.0787871171217412,-0.446781332230335,-1.30290930231569,0.144479397580592,0.550690544251648,1.12675866938759,-0.208128805506726,0.84631169205564,0.554266449462538,-0.647816500270603,0.725126020557438,1.04859192605111,-1.11580485109603,-1.2047410222799,-0.450517526172164,-0.972251203578907,-0.241608793662375,-0.609792278875224,-0.575672020126666,-1.07586277225984,0.952432418871879,-0.117175972772719,-0.600243832245692,-0.83902481793521,-0.704613813567798,-0.715009669407913,-0.0248628175658524,-0.396634684604883,-0.526685723453148,-0.217514510339222,-0.242646209089551,-0.542939286876962,-0.0583976261358471,-0.439737910305892,-0.533788901916544,-1.00751558019992,-0.300977431231448,-0.125473897573009,0.141174507717108,-0.215185944341907,-0.291420270716693,-0.101027918955083,-0.526159190360979,0.648661841564987,-1.27032829517387,-0.335260750036624,0.0209400752542234,0.115898312098748,-0.596714048675649
"HPJ99_Li_3 (GE) - TPM",-0.633707197584816,-0.740099177787066,0.593999386940264,-0.234155549469321,-0.628084714777232,-1.3460901380819,-0.0992022046469521,-1.93502440018868,0.780868179977215,-0.571821175869984,0.377389940683116,-0.189232900599212,1.68720671659758,0.777142585032953,1.04148118527138,-1.12457342963193,-0.689715192104601,-0.738827802201355,-1.06635253197062,-0.588166779117908,-0.958216215393231,0.417895826214595,-0.214599333415289,-0.0973248041761854,-0.730150455606079,0.243051901451875,-0.227945018129655,1.62721342562664,-0.417237402974406,1.18568233161252,0.750039283686684,0.00463269552724422,0.363622184560177,1.82748433634806,-0.97860992507647,-1.04007828940931,0.202733858427579,-0.716811965082493,0.00781573386516297,-0.78326102938525,-0.37974298437708,-0.512727829833525,1.08704526100541,0.317552065324577,-0.504495743958211,-0.543723705927618,-0.570652911275475,-0.19775871458472,-0.223360603013391,-0.385864831952749,0.148826312321038,0.531250069523159,0.0669147835076705,-0.717043224144912,-0.329470191032391,-0.672650617700901,-0.331059866257848,-0.508993047297448,-0.00864182510498806,-0.525474422277757,0.480227132191932,-0.382152871912831,-0.193145711555701,-0.101822351355303,-0.433505184964421,0.833345417905247,-0.975259193687353,0.0517649503788177,0.118399120194573,0.504148662141056,-0.331829559094469
"HPJ99_Mig_1 (GE) - TPM",0.182759541170371,1.11000767115741,-0.270771650637937,-0.797993237850381,0.330058119463822,-0.21419353605132,-0.310893288714256,-0.312725430183418,-0.949636985108277,0.352219249555657,-0.0922823148123909,1.5076594648574,-0.426120832577623,-1.20897928642376,-0.056746906863283,-0.0117038207349297,0.868193160965823,-0.822758697799126,0.302523556365689,-0.440579187474195,0.118001995011873,-0.424390821140877,0.302229654000093,-0.452810951464661,-1.10033963429641,-0.537367111752952,-0.830740111343185,-0.875712550574614,0.0889988745302,-1.76604353982076,-1.9545076743258,-0.714072814171643,-0.429668600859278,-0.671844262899081,1.84826503062534,1.24414385799816,-0.876243441600021,0.524041393621436,-0.0467079795674283,0.649556790126156,-0.47208951905557,0.900529278918555,-1.17077038413474,-0.151656479328684,-0.0995211063907459,0.645693965004726,0.500735456823237,0.538403900743769,0.0948774369669976,-0.195527250904668,-0.302187971625492,0.710021964178346,-0.487237408710255,0.656772831980555,-0.179463695749637,-0.149354273339728,-0.509332426807588,0.908763570095795,-0.366978457191717,0.211681801658812,-0.194833317856238,0.409947498912973,0.0882004674520972,-0.587107740595394,0.124819922295802,-1.00715631240275,0.360718808973681,-0.346212352879034,-0.719953707239719,-0.987399494844148,-0.931238193131707
